2#apa#apa19#app1982/Q  0.372 1.024  0.228 1.096  0.028 1.160  -0.186 1.167  -0.386 1.129  -0.538 0.976  -0.691 0.824  -0.814 0.647  -0.917 0.459  -0.994 0.261  -1.031 0.052  -1.066 -0.158  -1.066 -0.374  -0.994 -0.573  -0.933 -0.763  -0.781 -0.915  -0.625 -1.061  -0.410 -1.061  -0.194 -1.061  0.005 -0.993  0.209 -0.924  0.397 -0.821  0.537 -0.659  0.679 -0.512  0.801 -0.346  0.803 -0.130  0.803 0.085  0.803 0.301  0.708 0.494  0.612 0.687  0.474 0.850  0.308 0.984  0.132 1.096  -0.056 1.164  -0.203 1.101  -0.152 0.892  -0.100 0.683  -0.048 0.473  0.004 0.264  0.057 0.055  0.109 -0.154  0.156 -0.321  0.178 -0.270  0.294 -0.408  0.360 -0.607  0.425 -0.808  0.538 -0.985  0.630 -1.175  0.731 -1.349  0.803 -1.493
2#apa#apa19#app1982/O  0.296 0.618  0.251 0.755  0.204 0.890  0.102 0.991  0.001 1.093  -0.117 1.155  -0.261 1.155  -0.404 1.155  -0.447 1.038  -0.548 0.936  -0.650 0.835  -0.728 0.716  -0.777 0.584  -0.777 0.441  -0.777 0.297  -0.777 0.154  -0.777 0.010  -0.777 -0.133  -0.777 -0.277  -0.777 -0.420  -0.727 -0.552  -0.649 -0.671  -0.548 -0.772  -0.469 -0.890  -0.397 -1.013  -0.295 -1.114  -0.194 -1.216  -0.068 -1.259  0.075 -1.259  0.219 -1.259  0.362 -1.259  0.493 -1.205  0.564 -1.106  0.585 -0.970  0.674 -0.860  0.738 -0.732  0.743 -0.590  0.743 -0.446  0.743 -0.303  0.743 -0.159  0.743 -0.015  0.743 0.128  0.698 0.261  0.634 0.389  0.570 0.518  0.506 0.646  0.442 0.774  0.373 0.899  0.261 0.976  0.207 1.065
2#apa#apa19#app1982/T  -0.326 0.617  -0.326 0.461  -0.242 0.339  -0.197 0.194  -0.128 0.054  -0.048 -0.079  0.009 -0.211  0.009 -0.368  0.022 -0.522  0.060 -0.674  0.093 -0.826  0.093 -0.983  0.093 -1.139  0.093 -1.295  0.093 -1.451  0.093 -1.608  0.049 -1.530  -0.009 -1.384  -0.066 -1.239  -0.123 -1.094  -0.180 -0.948  -0.237 -0.803  -0.294 -0.657  -0.351 -0.512  -0.409 -0.366  -0.466 -0.221  -0.523 -0.075  -0.580 0.070  -0.637 0.215  -0.694 0.361  -0.751 0.506  -0.809 0.652  -0.828 0.804  -0.763 0.934  -0.614 0.952  -0.458 0.952  -0.307 0.918  -0.159 0.869  -0.002 0.868  0.146 0.823  0.297 0.785  0.453 0.785  0.599 0.741  0.746 0.701  0.902 0.701  1.058 0.701  1.214 0.701  1.371 0.701  1.516 0.712  1.516 0.868
2#apa#apa19#app1982/H  -0.733 0.874  -0.752 1.058  -0.825 1.111  -0.825 0.909  -0.825 0.706  -0.823 0.504  -0.733 0.322  -0.733 0.120  -0.733 -0.083  -0.733 -0.286  -0.733 -0.489  -0.649 -0.671  -0.641 -0.872  -0.641 -1.075  -0.549 -1.240  -0.552 -1.400  -0.581 -1.199  -0.610 -0.998  -0.638 -0.798  -0.667 -0.597  -0.696 -0.396  -0.724 -0.196  -0.629 -0.044  -0.462 0.043  -0.261 0.048  -0.062 0.034  0.123 -0.044  0.325 -0.044  0.511 -0.115  0.709 -0.136  0.749 0.039  0.765 0.242  0.781 0.444  0.796 0.646  0.812 0.848  0.827 1.050  0.736 1.215  0.736 1.249  0.736 1.046  0.736 0.844  0.736 0.641  0.736 0.438  0.736 0.235  0.736 0.033  0.736 -0.170  0.736 -0.373  0.736 -0.575  0.736 -0.778  0.749 -0.975  0.828 -1.145
2#apa#apa19#app1982/O  0.356 1.285  0.219 1.285  0.081 1.285  -0.053 1.278  -0.151 1.182  -0.274 1.121  -0.372 1.035  -0.433 0.912  -0.522 0.809  -0.593 0.693  -0.648 0.568  -0.648 0.431  -0.648 0.294  -0.648 0.156  -0.648 0.019  -0.648 -0.119  -0.648 -0.256  -0.648 -0.393  -0.599 -0.519  -0.548 -0.644  -0.548 -0.782  -0.480 -0.891  -0.383 -0.988  -0.286 -1.085  -0.189 -1.182  -0.092 -1.280  0.027 -1.326  0.164 -1.326  0.301 -1.326  0.439 -1.326  0.465 -1.208  0.526 -1.085  0.557 -0.955  0.557 -0.818  0.557 -0.680  0.557 -0.543  0.557 -0.405  0.557 -0.268  0.557 -0.131  0.557 0.007  0.557 0.144  0.512 0.271  0.456 0.395  0.456 0.532  0.417 0.661  0.356 0.783  0.295 0.906  0.256 1.034  0.217 1.163  0.155 1.285
2#apa#apa19#app1982/W  -1.113 0.689  -1.254 0.829  -1.246 0.973  -1.159 0.811  -1.053 0.645  -0.986 0.459  -0.947 0.266  -0.884 0.078  -0.796 -0.100  -0.732 -0.283  -0.700 -0.476  -0.656 -0.668  -0.597 -0.849  -0.503 -1.019  -0.428 -1.142  -0.427 -0.945  -0.352 -0.764  -0.350 -0.566  -0.350 -0.367  -0.332 -0.172  -0.274 0.018  -0.274 0.216  -0.264 0.413  -0.201 0.602  -0.182 0.796  -0.122 0.980  -0.045 0.885  0.010 0.710  0.038 0.521  0.107 0.339  0.114 0.142  0.202 -0.036  0.291 -0.213  0.380 -0.391  0.469 -0.569  0.558 -0.746  0.641 -0.911  0.762 -0.990  0.946 -0.976  1.023 -0.809  1.056 -0.618  1.099 -0.430  1.099 -0.231  1.099 -0.033  1.099 0.166  1.099 0.364  1.066 0.558  1.023 0.749  1.023 0.948  1.023 1.146
2#apa#apa19#app1982/T  0.207 0.942  0.044 0.942  0.040 0.784  0.040 0.621  0.040 0.458  0.040 0.295  0.040 0.132  0.040 -0.031  0.040 -0.193  0.096 -0.343  0.123 -0.499  0.123 -0.662  0.128 -0.824  0.201 -0.970  0.207 -1.131  0.272 -1.279  0.291 -1.437  0.342 -1.588  0.371 -1.728  0.300 -1.581  0.229 -1.435  0.158 -1.288  0.087 -1.142  0.016 -0.995  -0.055 -0.848  -0.126 -0.702  -0.197 -0.555  -0.268 -0.409  -0.339 -0.262  -0.409 -0.115  -0.480 0.031  -0.551 0.178  -0.622 0.324  -0.693 0.471  -0.764 0.618  -0.835 0.764  -0.823 0.858  -0.743 0.942  -0.581 0.942  -0.418 0.942  -0.255 0.942  -0.092 0.942  0.071 0.942  0.234 0.942  0.397 0.942  0.559 0.942  0.722 0.942  0.876 0.951  0.960 1.030  0.960 1.193
2#apa#apa19#app1982/O  0.149 1.069  0.014 1.069  -0.122 1.069  -0.257 1.069  -0.393 1.069  -0.528 1.069  -0.620 0.975  -0.620 0.840  -0.696 0.736  -0.791 0.640  -0.791 0.504  -0.791 0.369  -0.791 0.234  -0.791 0.098  -0.791 -0.037  -0.791 -0.173  -0.747 -0.298  -0.676 -0.411  -0.581 -0.507  -0.503 -0.616  -0.442 -0.737  -0.382 -0.858  -0.321 -0.979  -0.243 -1.083  -0.122 -1.144  0.005 -1.189  0.134 -1.232  0.268 -1.237  0.404 -1.237  0.525 -1.202  0.621 -1.107  0.696 -0.996  0.747 -0.873  0.747 -0.737  0.747 -0.602  0.747 -0.466  0.747 -0.331  0.747 -0.196  0.747 -0.060  0.710 0.069  0.667 0.198  0.618 0.324  0.568 0.450  0.517 0.575  0.462 0.699  0.401 0.820  0.326 0.932  0.251 1.045  0.159 1.144  0.064 1.240
2#apa#apa19#app1982/W  -1.118 0.968  -1.159 1.157  -1.153 1.186  -1.094 0.995  -1.002 0.811  -0.970 0.613  -0.917 0.420  -0.846 0.227  -0.781 0.032  -0.749 -0.168  -0.699 -0.359  -0.602 -0.535  -0.562 -0.731  -0.471 -0.915  -0.379 -1.099  -0.275 -1.274  -0.160 -1.388  -0.086 -1.213  -0.086 -1.008  -0.086 -0.802  -0.086 -0.597  -0.086 -0.391  -0.086 -0.186  -0.086 0.020  -0.086 0.225  -0.086 0.431  -0.086 0.636  -0.086 0.842  -0.013 0.963  0.061 0.788  0.102 0.592  0.135 0.394  0.195 0.199  0.240 -0.002  0.281 -0.203  0.305 -0.403  0.397 -0.587  0.523 -0.746  0.676 -0.873  0.857 -0.813  0.871 -0.614  0.945 -0.426  0.973 -0.227  1.019 -0.032  1.019 0.174  1.019 0.379  1.019 0.585  1.079 0.781  1.092 0.984  1.092 1.189
2#apa#apa19#app1982/A  -0.448 0.230  -0.678 0.190  -0.787 0.003  -0.824 -0.228  -0.899 -0.450  -0.899 -0.689  -0.824 -0.898  -0.810 -1.124  -0.716 -0.950  -0.674 -0.718  -0.598 -0.496  -0.598 -0.256  -0.598 -0.016  -0.598 0.224  -0.596 0.463  -0.523 0.691  -0.516 0.929  -0.448 1.158  -0.397 1.386  -0.373 1.620  -0.204 1.735  -0.018 1.605  0.089 1.393  0.147 1.161  0.303 0.984  0.332 0.749  0.419 0.526  0.506 0.303  0.603 0.085  0.609 -0.154  0.680 -0.376  0.723 -0.606  0.760 -0.837  0.843 -1.061  0.906 -1.274  0.890 -1.252  0.725 -1.078  0.561 -0.903  0.397 -0.728  0.233 -0.554  0.068 -0.379  -0.096 -0.205  -0.262 -0.031  -0.184 0.080  0.050 0.056  0.278 0.005  0.518 0.005  0.746 -0.067  0.977 -0.106  1.207 -0.146
2#apa#apa19#app1982/L  -0.272 1.521  -0.272 1.615  -0.272 1.663  -0.284 1.570  -0.313 1.481  -0.343 1.391  -0.355 1.298  -0.355 1.203  -0.355 1.109  -0.355 1.014  -0.355 0.920  -0.355 0.825  -0.355 0.730  -0.355 0.636  -0.355 0.541  -0.355 0.446  -0.355 0.352  -0.355 0.257  -0.355 0.162  -0.355 0.068  -0.355 -0.027  -0.355 -0.122  -0.355 -0.216  -0.355 -0.311  -0.355 -0.406  -0.355 -0.500  -0.355 -0.595  -0.355 -0.690  -0.355 -0.784  -0.355 -0.879  -0.294 -0.825  -0.227 -0.758  -0.160 -0.691  -0.087 -0.637  0.007 -0.637  0.102 -0.637  0.197 -0.637  0.291 -0.637  0.386 -0.637  0.481 -0.637  0.575 -0.637  0.670 -0.637  0.765 -0.637  0.844 -0.675  0.920 -0.720  1.010 -0.739  1.095 -0.781  1.171 -0.836  1.238 -0.902  1.305 -0.969
2#apa#apa19#app1982/T  0.047 0.725  -0.033 0.800  -0.033 0.633  -0.033 0.466  -0.033 0.299  -0.033 0.132  -0.033 -0.035  -0.033 -0.202  -0.033 -0.369  -0.033 -0.536  -0.033 -0.703  -0.033 -0.870  -0.033 -1.038  -0.033 -1.205  -0.033 -1.372  -0.033 -1.539  0.047 -1.672  0.003 -1.574  -0.052 -1.416  -0.106 -1.258  -0.161 -1.100  -0.215 -0.942  -0.269 -0.784  -0.324 -0.626  -0.378 -0.468  -0.433 -0.310  -0.487 -0.152  -0.542 0.006  -0.596 0.164  -0.651 0.322  -0.705 0.480  -0.760 0.638  -0.889 0.725  -0.872 0.806  -0.705 0.806  -0.538 0.806  -0.371 0.806  -0.212 0.757  -0.050 0.725  0.117 0.725  0.284 0.725  0.450 0.709  0.614 0.676  0.778 0.644  0.945 0.644  1.108 0.653  1.245 0.725  1.413 0.725  1.423 0.881  1.342 0.968
2#apa#apa19#app1982/Z  -1.016 1.083  -0.814 1.156  -0.582 1.156  -0.357 1.100  -0.133 1.070  0.074 1.011  0.276 0.938  0.486 0.885  0.536 0.751  0.423 0.566  0.232 0.439  0.063 0.282  -0.130 0.158  -0.313 0.021  -0.488 -0.128  -0.652 -0.292  -0.802 -0.468  -0.942 -0.653  -1.016 -0.854  -0.917 -1.045  -0.732 -1.158  -0.506 -1.189  -0.282 -1.236  -0.050 -1.236  0.170 -1.186  0.393 -1.148  0.602 -1.068  0.813 -1.019  0.731 -0.906  0.553 -0.758  0.374 -0.610  0.195 -0.463  0.016 -0.315  -0.163 -0.167  -0.342 -0.019  -0.520 0.128  -0.699 0.276  -0.871 0.431  -0.712 0.503  -0.480 0.503  -0.249 0.493  -0.024 0.436  0.197 0.365  0.421 0.307  0.651 0.286  0.882 0.286  1.114 0.286  1.346 0.286  1.578 0.286  1.665 0.431
