2#tos#f1#f1020059/#  -0.760 0.880  -1.123 0.684  -1.280 0.631  -0.857 0.631  -0.435 0.631  -0.017 0.672  0.405 0.681  0.827 0.681  1.249 0.681  1.031 0.533  0.652 0.348  0.273 0.163  -0.107 -0.023  -0.486 -0.208  -0.810 -0.427  -1.162 -0.617  -1.156 -0.715  -0.734 -0.715  -0.312 -0.715  0.091 -0.616  0.513 -0.616  0.927 -0.665  1.245 -0.613  0.992 -0.276  0.739 0.062  0.485 0.400  0.232 0.738  -0.021 1.075  -0.354 1.230  -0.511 1.163  -0.511 0.741  -0.511 0.319  -0.511 -0.103  -0.511 -0.525  -0.511 -0.947  -0.490 -1.262  -0.335 -0.869  -0.180 -0.477  -0.024 -0.085  0.131 0.308  0.286 0.700  0.437 1.094  0.387 0.893  0.387 0.471  0.387 0.049  0.387 -0.373  0.387 -0.795  0.387 -1.217  0.387 -1.640  0.486 -1.962
2#tos#f1#f1020059/^  -0.766 -0.282  -0.815 -0.379  -0.865 -0.476  -0.942 -0.553  -1.038 -0.600  -1.139 -0.641  -1.196 -0.711  -1.242 -0.744  -1.175 -0.691  -1.098 -0.614  -1.021 -0.537  -0.944 -0.460  -0.853 -0.406  -0.762 -0.361  -0.736 -0.255  -0.692 -0.160  -0.615 -0.083  -0.559 0.007  -0.524 0.110  -0.490 0.213  -0.425 0.297  -0.348 0.374  -0.312 0.471  -0.251 0.562  -0.160 0.616  -0.147 0.717  -0.134 0.813  -0.025 0.813  0.081 0.792  0.186 0.765  0.244 0.699  0.347 0.662  0.444 0.613  0.527 0.552  0.562 0.449  0.618 0.357  0.689 0.280  0.792 0.246  0.873 0.175  0.917 0.079  0.944 -0.026  1.036 -0.066  1.141 -0.093  1.242 -0.133  1.343 -0.173  1.377 -0.259  1.377 -0.368  1.447 -0.448  1.520 -0.527  1.567 -0.616
2#tos#f1#f1020059/_  -0.531 0.496  -0.531 0.407  -0.547 0.329  -0.634 0.308  -0.720 0.286  -0.807 0.264  -0.893 0.240  -0.978 0.211  -1.063 0.183  -1.148 0.155  -1.233 0.127  -1.318 0.098  -1.346 0.029  -1.277 0.008  -1.188 0.008  -1.103 -0.019  -1.018 -0.047  -0.933 -0.074  -0.843 -0.074  -0.754 -0.074  -0.664 -0.074  -0.575 -0.074  -0.485 -0.074  -0.396 -0.074  -0.306 -0.074  -0.216 -0.074  -0.127 -0.074  -0.037 -0.074  0.052 -0.074  0.142 -0.074  0.231 -0.074  0.321 -0.074  0.410 -0.074  0.500 -0.074  0.589 -0.074  0.679 -0.074  0.768 -0.074  0.858 -0.074  0.947 -0.074  1.037 -0.074  1.126 -0.074  1.212 -0.090  1.292 -0.130  1.375 -0.155  1.465 -0.155  1.554 -0.155  1.644 -0.155  1.733 -0.155  1.823 -0.155  1.913 -0.155
2#tos#f1#f1020059/`  -0.413 1.187  -0.505 1.187  -0.597 1.187  -0.689 1.187  -0.723 1.128  -0.723 1.036  -0.810 1.032  -0.853 1.032  -0.761 1.032  -0.723 0.978  -0.723 0.886  -0.723 0.794  -0.723 0.702  -0.723 0.610  -0.673 0.567  -0.581 0.567  -0.533 0.497  -0.492 0.414  -0.450 0.332  -0.405 0.254  -0.323 0.213  -0.241 0.171  -0.158 0.130  -0.076 0.089  0.006 0.048  0.088 0.007  0.171 -0.034  0.206 -0.105  0.206 -0.197  0.206 -0.289  0.225 -0.362  0.317 -0.362  0.409 -0.362  0.501 -0.362  0.516 -0.439  0.516 -0.531  0.516 -0.623  0.516 -0.715  0.516 -0.807  0.516 -0.899  0.526 -0.981  0.618 -0.981  0.671 -1.020  0.671 -1.112  0.739 -1.136  0.831 -1.136  0.923 -1.136  1.005 -1.161  1.070 -1.226  1.135 -1.291
2#tos#f1#f1020059/|  0.091 1.493  0.015 1.493  -0.060 1.493  -0.083 1.493  -0.009 1.491  -0.009 1.416  -0.009 1.340  -0.009 1.265  -0.009 1.189  -0.009 1.113  -0.009 1.038  -0.009 0.962  -0.009 0.886  -0.009 0.811  0.008 0.738  0.032 0.666  0.041 0.592  0.041 0.516  0.041 0.441  0.041 0.365  0.091 0.340  0.091 0.264  0.091 0.188  0.091 0.113  0.091 0.037  0.091 -0.039  0.091 -0.114  0.091 -0.190  0.091 -0.266  0.091 -0.341  0.091 -0.417  0.091 -0.492  0.091 -0.568  0.091 -0.644  0.043 -0.694  -0.019 -0.736  -0.087 -0.763  -0.110 -0.816  -0.110 -0.891  -0.110 -0.967  -0.110 -1.043  -0.110 -1.118  -0.110 -1.194  -0.110 -1.269  -0.110 -1.345  -0.110 -1.421  -0.100 -1.495  -0.076 -1.566  -0.060 -1.639  -0.060 -1.715
2#tos#f1#f1020059/4  0.068 1.330  0.097 1.325  -0.030 1.172  -0.120 1.004  -0.276 0.865  -0.427 0.724  -0.481 0.531  -0.640 0.411  -0.710 0.241  -0.889 0.142  -0.993 -0.025  -1.030 -0.211  -0.946 -0.272  -0.744 -0.318  -0.534 -0.318  -0.330 -0.331  -0.152 -0.409  0.057 -0.409  0.267 -0.409  0.477 -0.409  0.681 -0.448  0.890 -0.455  0.959 -0.434  0.888 -0.237  0.816 -0.040  0.744 0.157  0.673 0.354  0.601 0.551  0.529 0.748  0.458 0.945  0.306 1.067  0.107 1.134  -0.058 1.216  -0.114 1.100  -0.023 0.927  -0.023 0.718  -0.023 0.508  -0.023 0.298  -0.023 0.089  -0.023 -0.121  -0.023 -0.331  -0.023 -0.540  -0.023 -0.750  -0.023 -0.960  -0.023 -1.169  -0.023 -1.379  -0.023 -1.589  -0.008 -1.797  0.049 -1.998  0.114 -2.194
2#tos#f1#f1020059/5  -0.036 1.119  -0.190 1.093  -0.190 0.912  -0.190 0.731  -0.190 0.550  -0.190 0.369  -0.138 0.239  -0.138 0.058  0.024 0.040  0.205 0.040  0.335 -0.012  0.496 -0.081  0.581 -0.227  0.633 -0.386  0.633 -0.567  0.633 -0.748  0.580 -0.913  0.469 -1.055  0.376 -1.208  0.294 -1.338  0.127 -1.400  0.057 -1.554  -0.123 -1.554  -0.253 -1.605  -0.344 -1.515  -0.340 -1.334  -0.336 -1.154  -0.331 -0.973  -0.327 -0.792  -0.323 -0.611  -0.319 -0.430  -0.314 -0.249  -0.310 -0.068  -0.306 0.113  -0.301 0.294  -0.297 0.475  -0.293 0.656  -0.473 0.657  -0.536 0.807  -0.638 0.950  -0.604 1.114  -0.426 1.119  -0.245 1.119  -0.064 1.119  0.117 1.119  0.294 1.095  0.465 1.038  0.643 1.017  0.812 0.965  0.993 0.965
2#tos#f1#f1020059/6  0.623 1.474  0.471 1.474  0.333 1.534  0.206 1.618  0.062 1.644  0.023 1.531  -0.125 1.509  -0.231 1.433  -0.231 1.281  -0.231 1.129  -0.286 0.993  -0.345 0.859  -0.345 0.706  -0.345 0.554  -0.360 0.404  -0.402 0.259  -0.402 0.107  -0.402 -0.046  -0.402 -0.198  -0.402 -0.350  -0.402 -0.502  -0.402 -0.655  -0.320 -0.773  -0.231 -0.888  -0.185 -1.021  -0.067 -1.114  0.078 -1.146  0.230 -1.146  0.378 -1.126  0.521 -1.089  0.674 -1.089  0.680 -0.943  0.693 -0.804  0.794 -0.752  0.794 -0.600  0.794 -0.448  0.737 -0.319  0.689 -0.187  0.554 -0.121  0.402 -0.121  0.249 -0.121  0.097 -0.121  -0.055 -0.121  -0.203 -0.157  -0.317 -0.236  -0.435 -0.292  -0.565 -0.363  -0.683 -0.458  -0.790 -0.566  -0.915 -0.633
2#tos#f1#f1020059/8  0.390 0.520  0.390 0.330  0.390 0.409  0.469 0.581  0.537 0.755  0.537 0.946  0.537 1.136  0.524 1.321  0.369 1.407  0.179 1.407  -0.012 1.407  -0.202 1.406  -0.285 1.267  -0.418 1.156  -0.505 0.997  -0.546 0.816  -0.546 0.625  -0.475 0.460  -0.305 0.375  -0.221 0.215  -0.083 0.092  0.078 -0.006  0.160 -0.142  0.335 -0.216  0.469 -0.311  0.574 -0.452  0.636 -0.588  0.685 -0.729  0.685 -0.920  0.685 -1.111  0.636 -1.252  0.459 -1.282  0.278 -1.318  0.092 -1.352  -0.099 -1.352  -0.289 -1.352  -0.466 -1.307  -0.616 -1.190  -0.743 -1.068  -0.779 -0.886  -0.793 -0.698  -0.793 -0.508  -0.749 -0.344  -0.631 -0.205  -0.496 -0.070  -0.324 0.004  -0.163 0.103  -0.001 0.202  0.157 0.301  0.291 0.422
2#tos#f1#f1020059/9  -0.100 -0.085  -0.100 -0.265  0.031 -0.281  0.079 -0.136  0.154 0.019  0.286 0.137  0.394 0.275  0.438 0.444  0.438 0.624  0.438 0.804  0.438 0.984  0.438 1.164  0.361 1.305  0.181 1.305  0.001 1.305  -0.177 1.285  -0.351 1.242  -0.497 1.157  -0.597 1.008  -0.726 0.887  -0.773 0.732  -0.818 0.563  -0.818 0.383  -0.786 0.210  -0.719 0.049  -0.568 -0.021  -0.397 -0.040  -0.217 -0.040  -0.037 -0.040  0.133 -0.005  0.272 0.108  0.399 0.235  0.563 0.273  0.547 0.382  0.528 0.210  0.499 0.037  0.403 -0.111  0.259 -0.219  0.215 -0.394  0.214 -0.573  0.160 -0.735  0.048 -0.875  0.034 -1.050  -0.025 -1.219  -0.055 -1.393  -0.055 -1.573  -0.055 -1.753  -0.055 -1.933  -0.011 -2.102  -0.011 -2.282
2#tos#f1#f1020059/A  -0.553 -0.751  -0.724 -0.880  -0.876 -1.032  -1.024 -1.103  -1.024 -0.888  -0.844 -0.781  -0.752 -0.591  -0.710 -0.380  -0.656 -0.173  -0.566 0.022  -0.447 0.200  -0.415 0.408  -0.351 0.607  -0.208 0.763  -0.173 0.976  -0.125 1.180  -0.092 1.391  0.072 1.509  0.159 1.701  0.355 1.732  0.474 1.603  0.560 1.414  0.560 1.199  0.560 0.984  0.560 0.769  0.560 0.554  0.560 0.339  0.560 0.124  0.560 -0.091  0.560 -0.306  0.577 -0.519  0.603 -0.731  0.640 -0.942  0.656 -1.153  0.707 -1.279  0.568 -1.115  0.429 -0.951  0.291 -0.787  0.152 -0.623  0.013 -0.459  -0.126 -0.295  -0.295 -0.195  -0.510 -0.195  -0.681 -0.152  -0.466 -0.152  -0.251 -0.152  -0.037 -0.165  0.176 -0.195  0.391 -0.202  0.603 -0.238
2#tos#f1#f1020059/B  -0.104 1.377  -0.003 1.540  -0.021 1.360  -0.139 1.135  -0.154 0.874  -0.154 0.611  -0.154 0.348  -0.154 0.085  -0.154 -0.178  -0.154 -0.442  -0.154 -0.705  -0.154 -0.968  -0.154 -1.231  -0.154 -1.494  -0.154 -1.757  -0.154 -1.547  -0.154 -1.284  -0.154 -1.021  -0.154 -0.758  -0.154 -0.495  -0.154 -0.232  -0.154 0.032  -0.154 0.295  -0.154 0.558  -0.186 0.808  -0.390 0.969  -0.405 1.223  -0.346 1.427  -0.083 1.427  0.177 1.413  0.416 1.304  0.549 1.121  0.549 0.858  0.549 0.595  0.448 0.374  0.248 0.311  0.085 0.182  -0.130 0.034  -0.268 -0.028  -0.005 -0.028  0.258 -0.028  0.480 -0.128  0.549 -0.352  0.549 -0.615  0.549 -0.878  0.422 -1.088  0.210 -1.206  -0.037 -1.232  -0.292 -1.282  -0.555 -1.282
2#tos#f1#f1020059/C  0.436 0.819  0.376 0.863  0.351 0.951  0.258 0.997  0.214 1.057  0.110 1.057  0.078 1.129  0.022 1.177  -0.077 1.145  -0.174 1.111  -0.267 1.064  -0.330 0.984  -0.387 0.897  -0.472 0.842  -0.565 0.796  -0.639 0.737  -0.639 0.634  -0.651 0.531  -0.676 0.431  -0.698 0.330  -0.698 0.226  -0.698 0.122  -0.698 0.018  -0.698 -0.085  -0.698 -0.189  -0.698 -0.293  -0.691 -0.395  -0.659 -0.494  -0.610 -0.583  -0.537 -0.656  -0.443 -0.693  -0.342 -0.718  -0.244 -0.751  -0.150 -0.793  -0.047 -0.793  0.057 -0.793  0.161 -0.793  0.265 -0.793  0.368 -0.793  0.472 -0.793  0.576 -0.793  0.680 -0.793  0.783 -0.793  0.887 -0.793  0.991 -0.793  1.091 -0.773  1.190 -0.740  1.292 -0.733  1.377 -0.687  1.450 -0.614
2#tos#f1#f1020059/D  -0.276 1.066  -0.276 1.277  -0.381 1.382  -0.381 1.173  -0.431 0.971  -0.434 0.761  -0.434 0.550  -0.434 0.340  -0.434 0.129  -0.434 -0.081  -0.434 -0.292  -0.434 -0.502  -0.434 -0.713  -0.434 -0.923  -0.434 -1.134  -0.389 -1.337  -0.377 -1.172  -0.372 -0.961  -0.366 -0.751  -0.361 -0.541  -0.356 -0.330  -0.350 -0.120  -0.345 0.091  -0.340 0.301  -0.335 0.511  -0.329 0.722  -0.434 0.867  -0.330 1.013  -0.119 1.014  0.091 1.014  0.301 1.014  0.501 0.948  0.705 0.908  0.822 0.778  0.959 0.622  1.095 0.468  1.193 0.287  1.200 0.079  1.200 -0.132  1.125 -0.302  0.953 -0.424  0.779 -0.541  0.597 -0.645  0.418 -0.756  0.231 -0.846  0.032 -0.897  -0.091 -1.068  -0.246 -1.201  -0.435 -1.253  -0.540 -1.359
2#tos#f1#f1020059/E  -0.471 0.943  -0.727 0.943  -0.957 0.969  -0.837 1.024  -0.588 1.065  -0.339 1.121  -0.086 1.145  0.166 1.169  0.413 1.226  0.669 1.226  0.924 1.226  0.794 1.120  0.542 1.078  0.289 1.036  0.054 0.970  -0.187 0.883  -0.390 0.784  -0.390 0.528  -0.390 0.272  -0.390 0.017  -0.390 -0.239  -0.390 -0.495  -0.390 -0.751  -0.350 -1.001  -0.350 -1.257  -0.300 -1.338  -0.265 -1.084  -0.230 -0.831  -0.195 -0.578  -0.160 -0.324  -0.251 -0.118  -0.431 -0.035  -0.226 0.043  0.022 0.093  0.268 0.133  0.524 0.133  0.755 0.040  0.731 -0.127  0.555 -0.312  0.379 -0.498  0.203 -0.684  0.012 -0.846  -0.154 -1.004  -0.378 -1.121  -0.147 -1.121  0.108 -1.121  0.364 -1.121  0.616 -1.104  0.866 -1.080  1.107 -1.000
2#tos#f1#f1020059/G  0.253 1.014  0.296 0.826  0.195 1.030  0.120 1.215  -0.066 1.316  -0.231 1.416  -0.459 1.416  -0.621 1.304  -0.816 1.187  -0.954 1.013  -1.068 0.816  -1.177 0.617  -1.204 0.396  -1.204 0.168  -1.204 -0.059  -1.204 -0.287  -1.204 -0.514  -1.045 -0.662  -0.878 -0.744  -0.651 -0.744  -0.423 -0.744  -0.196 -0.744  0.008 -0.656  0.198 -0.530  0.382 -0.396  0.497 -0.211  0.670 -0.096  0.705 0.126  0.604 0.068  0.604 -0.160  0.604 -0.387  0.604 -0.615  0.604 -0.842  0.679 -0.995  0.791 -1.132  0.768 -1.015  0.642 -0.826  0.516 -0.636  0.390 -0.447  0.263 -0.258  0.133 -0.072  -0.061 0.010  -0.250 0.048  -0.041 0.031  0.170 -0.041  0.397 -0.041  0.625 -0.041  0.853 -0.041  1.080 -0.041  1.308 -0.041
2#tos#f1#f1020059/I  -0.606 1.282  -0.606 1.145  -0.652 1.122  -0.514 1.122  -0.376 1.122  -0.239 1.113  -0.104 1.086  0.033 1.082  0.171 1.082  0.308 1.082  0.444 1.066  0.577 1.042  0.706 1.002  0.672 0.992  0.535 0.977  0.398 0.962  0.270 0.921  0.149 0.864  0.108 0.746  0.075 0.616  0.075 0.478  0.075 0.340  0.075 0.202  0.075 0.065  0.075 -0.073  0.075 -0.211  0.075 -0.348  0.075 -0.486  0.032 -0.606  -0.009 -0.727  -0.045 -0.850  -0.109 -0.924  -0.246 -0.924  -0.384 -0.924  -0.522 -0.924  -0.660 -0.924  -0.797 -0.924  -0.759 -0.924  -0.621 -0.924  -0.483 -0.924  -0.346 -0.928  -0.213 -0.962  -0.075 -0.964  0.063 -0.964  0.200 -0.964  0.337 -0.971  0.468 -1.012  0.602 -1.044  0.740 -1.044  0.878 -1.044
2#tos#f1#f1020059/J  -0.546 0.910  -0.657 0.861  -0.664 0.840  -0.543 0.840  -0.422 0.840  -0.300 0.840  -0.182 0.858  -0.063 0.875  0.058 0.875  0.180 0.875  0.296 0.897  0.414 0.910  0.535 0.910  0.657 0.910  0.778 0.910  0.712 0.910  0.591 0.910  0.469 0.910  0.350 0.896  0.267 0.840  0.182 0.784  0.182 0.662  0.182 0.541  0.216 0.454  0.216 0.333  0.244 0.223  0.251 0.105  0.251 -0.017  0.251 -0.138  0.251 -0.259  0.264 -0.379  0.286 -0.496  0.286 -0.618  0.286 -0.739  0.286 -0.860  0.251 -0.967  0.226 -1.083  0.171 -1.191  0.087 -1.270  -0.019 -1.309  -0.140 -1.309  -0.262 -1.309  -0.383 -1.309  -0.487 -1.260  -0.599 -1.214  -0.701 -1.148  -0.805 -1.086  -0.899 -1.012  -0.971 -0.920  -1.032 -0.824
2#tos#f1#f1020059/K  -0.422 1.635  -0.607 1.682  -0.748 1.520  -0.748 1.289  -0.748 1.057  -0.743 0.826  -0.670 0.606  -0.655 0.376  -0.648 0.145  -0.610 -0.084  -0.562 -0.304  -0.510 -0.528  -0.468 -0.753  -0.468 -0.985  -0.468 -1.217  -0.467 -1.443  -0.353 -1.241  -0.238 -1.040  -0.124 -0.838  -0.010 -0.636  0.104 -0.434  0.218 -0.233  0.333 -0.031  0.447 0.171  0.561 0.373  0.675 0.575  0.789 0.776  0.904 0.978  0.839 0.948  0.713 0.842  0.605 0.717  0.533 0.631  0.352 0.495  0.147 0.430  -0.044 0.300  -0.234 0.166  -0.431 0.048  -0.569 -0.045  -0.748 -0.098  -0.565 -0.184  -0.372 -0.279  -0.144 -0.325  0.058 -0.433  0.282 -0.490  0.449 -0.624  0.648 -0.743  0.875 -0.778  1.090 -0.860  1.260 -0.979  1.492 -0.979
