3#apb#apb40#app4052/O  -0.020 0.838  -0.134 0.755  -0.247 0.671  -0.309 0.545  -0.371 0.418  -0.433 0.292  -0.494 0.165  -0.557 0.039  -0.619 -0.087  -0.682 -0.213  -0.745 -0.339  -0.808 -0.465  -0.861 -0.594  -0.882 -0.733  -0.903 -0.873  -0.924 -1.012  -0.859 -1.117  -0.748 -1.204  -0.618 -1.205  -0.480 -1.176  -0.342 -1.147  -0.207 -1.113  -0.093 -1.030  0.021 -0.947  0.134 -0.864  0.248 -0.781  0.359 -0.694  0.452 -0.588  0.545 -0.483  0.638 -0.377  0.731 -0.272  0.815 -0.160  0.875 -0.033  0.935 0.095  0.994 0.223  0.996 0.358  0.974 0.497  0.952 0.636  0.866 0.747  0.778 0.857  0.682 0.956  0.553 1.014  0.425 1.071  0.296 1.129  0.158 1.137  0.018 1.132  -0.123 1.126  -0.226 1.032  -0.328 0.935  -0.430 0.838
3#apb#apb40#app4052/.  1.638 -0.047  1.571 0.010  1.504 0.068  1.437 0.125  1.370 0.183  1.303 0.240  1.236 0.298  1.169 0.355  1.102 0.412  1.035 0.470  0.950 0.486  0.862 0.497  0.775 0.508  0.687 0.519  0.600 0.530  0.512 0.541  0.425 0.552  0.337 0.563  0.250 0.548  0.164 0.531  0.077 0.514  -0.009 0.496  -0.096 0.479  -0.166 0.427  -0.233 0.370  -0.300 0.312  -0.367 0.255  -0.434 0.197  -0.501 0.140  -0.568 0.082  -0.635 0.025  -0.702 -0.033  -0.771 -0.087  -0.842 -0.140  -0.913 -0.193  -0.983 -0.245  -1.054 -0.298  -1.068 -0.380  -1.068 -0.468  -1.068 -0.556  -1.068 -0.645  -1.001 -0.691  -0.922 -0.731  -0.843 -0.770  -0.764 -0.810  -0.685 -0.849  -0.606 -0.889  -0.527 -0.928  -0.448 -0.968  -0.369 -1.007
3#apb#apb40#app4052/5  0.399 1.174  0.248 1.204  0.098 1.113  -0.038 1.002  -0.173 0.890  -0.285 0.759  -0.372 0.606  -0.404 0.439  -0.339 0.292  -0.209 0.174  -0.045 0.127  0.129 0.098  0.299 0.056  0.467 0.007  0.637 -0.040  0.807 -0.082  0.964 -0.149  1.083 -0.272  1.101 -0.446  0.994 -0.583  0.869 -0.704  0.719 -0.795  0.569 -0.887  0.408 -0.955  0.245 -1.022  0.082 -1.087  -0.082 -1.148  -0.247 -1.208  -0.413 -1.264  -0.580 -1.320  -0.745 -1.291  -0.826 -1.188  -0.777 -1.019  -0.729 -0.850  -0.681 -0.681  -0.632 -0.513  -0.584 -0.344  -0.535 -0.175  -0.487 -0.006  -0.439 0.162  -0.390 0.331  -0.342 0.500  -0.293 0.669  -0.245 0.837  -0.196 1.006  -0.101 1.149  0.020 1.276  0.182 1.336  0.351 1.385  0.519 1.434
3#apb#apb40#app4052/2  -0.477 1.180  -0.433 1.265  -0.349 1.321  -0.255 1.350  -0.154 1.357  -0.055 1.353  0.040 1.317  0.135 1.281  0.229 1.245  0.309 1.187  0.379 1.113  0.448 1.039  0.518 0.966  0.557 0.874  0.586 0.777  0.616 0.680  0.646 0.583  0.632 0.485  0.609 0.386  0.586 0.287  0.562 0.189  0.539 0.090  0.487 0.005  0.427 -0.077  0.366 -0.158  0.306 -0.240  0.246 -0.321  0.179 -0.397  0.098 -0.457  0.017 -0.518  -0.064 -0.579  -0.145 -0.640  -0.226 -0.701  -0.308 -0.761  -0.390 -0.820  -0.472 -0.880  -0.554 -0.940  -0.637 -0.997  -0.732 -1.031  -0.820 -1.075  -0.785 -1.086  -0.691 -1.049  -0.594 -1.023  -0.495 -0.999  -0.396 -0.975  -0.298 -0.952  -0.198 -0.934  -0.098 -0.921  0.003 -0.907  0.103 -0.893
3#apb#apb40#app4052/n  0.279 0.984  0.247 1.063  0.136 0.960  0.025 0.857  -0.086 0.754  -0.197 0.651  -0.288 0.532  -0.372 0.406  -0.456 0.280  -0.540 0.154  -0.624 0.028  -0.706 -0.100  -0.786 -0.228  -0.866 -0.357  -0.947 -0.485  -1.022 -0.615  -1.022 -0.766  -1.022 -0.918  -0.971 -1.056  -0.896 -1.187  -0.780 -1.278  -0.654 -1.294  -0.536 -1.199  -0.444 -1.080  -0.357 -0.956  -0.270 -0.832  -0.201 -0.698  -0.133 -0.562  -0.065 -0.427  -0.034 -0.281  -0.016 -0.130  0.002 0.020  0.019 0.171  0.056 0.317  0.104 0.460  0.152 0.604  0.200 0.748  0.279 0.876  0.429 0.871  0.547 0.777  0.653 0.670  0.748 0.552  0.842 0.433  0.955 0.336  1.088 0.264  1.221 0.191  1.359 0.134  1.505 0.092  1.651 0.112  1.796 0.153
3#apb#apb40#app4052/d  -0.270 0.828  -0.364 0.695  -0.435 0.547  -0.498 0.397  -0.533 0.237  -0.567 0.077  -0.602 -0.083  -0.638 -0.243  -0.673 -0.403  -0.694 -0.565  -0.714 -0.727  -0.714 -0.891  -0.682 -0.890  -0.652 -0.730  -0.630 -0.568  -0.614 -0.405  -0.599 -0.242  -0.564 -0.083  -0.518 0.074  -0.472 0.232  -0.434 0.391  -0.402 0.551  -0.370 0.712  -0.338 0.872  -0.282 1.026  -0.220 1.177  -0.148 1.324  -0.031 1.360  0.097 1.264  0.208 1.144  0.314 1.020  0.400 0.880  0.487 0.741  0.571 0.601  0.649 0.457  0.727 0.313  0.804 0.169  0.860 0.016  0.895 -0.143  0.931 -0.303  0.960 -0.463  0.947 -0.626  0.933 -0.790  0.907 -0.947  0.803 -1.074  0.699 -1.200  0.578 -1.308  0.437 -1.390  0.296 -1.473  0.154 -1.555
3#apb#apb40#app4052/S  0.494 0.847  0.538 0.949  0.581 1.050  0.613 1.155  0.635 1.263  0.571 1.345  0.482 1.365  0.381 1.320  0.280 1.276  0.189 1.216  0.103 1.147  0.017 1.077  -0.069 1.008  -0.149 0.934  -0.215 0.845  -0.280 0.756  -0.346 0.668  -0.385 0.570  -0.385 0.460  -0.385 0.350  -0.376 0.243  -0.311 0.154  -0.246 0.065  -0.178 -0.022  -0.091 -0.089  -0.003 -0.156  0.084 -0.223  0.180 -0.276  0.281 -0.320  0.382 -0.364  0.477 -0.420  0.570 -0.479  0.602 -0.572  0.560 -0.663  0.478 -0.737  0.389 -0.801  0.288 -0.845  0.187 -0.889  0.086 -0.933  -0.016 -0.973  -0.122 -1.004  -0.228 -1.034  -0.334 -1.064  -0.440 -1.095  -0.547 -1.124  -0.653 -1.153  -0.759 -1.182  -0.866 -1.211  -0.975 -1.217  -1.086 -1.217
3#apb#apb40#app4052/t  -1.308 0.048  -1.246 0.068  -1.100 0.068  -0.953 0.066  -0.807 0.055  -0.661 0.044  -0.514 0.033  -0.368 0.028  -0.221 0.028  -0.074 0.028  0.072 0.028  0.219 0.037  0.365 0.049  0.511 0.062  0.657 0.068  0.804 0.068  0.849 0.171  0.822 0.315  0.794 0.459  0.767 0.603  0.740 0.747  0.713 0.891  0.686 1.036  0.659 1.180  0.632 1.324  0.538 1.333  0.464 1.216  0.412 1.079  0.360 0.942  0.304 0.806  0.247 0.671  0.190 0.536  0.132 0.401  0.075 0.266  0.029 0.127  -0.013 -0.014  -0.055 -0.154  -0.096 -0.295  -0.138 -0.436  -0.179 -0.576  -0.220 -0.718  -0.260 -0.859  -0.300 -1.000  -0.349 -1.137  -0.410 -1.271  -0.470 -1.405  -0.518 -1.543  -0.552 -1.686  -0.587 -1.828  -0.644 -1.963
3#apb#apb40#app4052/.  -0.234 1.647  -0.246 1.576  -0.258 1.504  -0.270 1.433  -0.282 1.361  -0.294 1.290  -0.305 1.219  -0.317 1.147  -0.329 1.076  -0.341 1.004  -0.353 0.933  -0.365 0.862  -0.377 0.790  -0.389 0.719  -0.401 0.647  -0.413 0.576  -0.424 0.504  -0.395 0.442  -0.355 0.382  -0.315 0.321  -0.274 0.261  -0.234 0.201  -0.194 0.141  -0.154 0.081  -0.114 0.020  -0.074 -0.040  -0.034 -0.100  0.007 -0.160  0.047 -0.221  0.087 -0.281  0.127 -0.341  0.167 -0.401  0.207 -0.462  0.248 -0.522  0.288 -0.582  0.328 -0.642  0.353 -0.709  0.367 -0.780  0.381 -0.851  0.396 -0.922  0.410 -0.993  0.424 -1.064  0.438 -1.135  0.452 -1.206  0.467 -1.277  0.481 -1.348  0.495 -1.419  0.509 -1.490  0.523 -1.561  0.538 -1.632
3#apb#apb40#app4052/I  -0.627 0.865  -0.639 0.848  -0.512 0.815  -0.380 0.797  -0.247 0.789  -0.114 0.789  0.020 0.789  0.153 0.794  0.285 0.804  0.418 0.815  0.551 0.826  0.683 0.846  0.814 0.868  0.946 0.889  1.078 0.903  1.181 0.910  1.055 0.867  0.929 0.823  0.803 0.780  0.677 0.736  0.551 0.693  0.464 0.605  0.405 0.485  0.342 0.368  0.276 0.252  0.210 0.136  0.141 0.022  0.069 -0.090  -0.003 -0.202  -0.076 -0.314  -0.151 -0.423  -0.227 -0.533  -0.303 -0.643  -0.374 -0.755  -0.444 -0.869  -0.514 -0.982  -0.585 -1.095  -0.698 -1.091  -0.826 -1.052  -0.953 -1.012  -1.024 -1.045  -0.898 -1.071  -0.765 -1.071  -0.632 -1.063  -0.501 -1.040  -0.370 -1.017  -0.239 -0.993  -0.111 -0.956  0.017 -0.918  0.145 -0.881
3#apb#apb40#app4052/n  0.072 0.750  -0.013 0.642  -0.098 0.533  -0.193 0.435  -0.295 0.342  -0.397 0.250  -0.499 0.157  -0.603 0.068  -0.709 -0.019  -0.816 -0.106  -0.922 -0.194  -1.022 -0.288  -1.119 -0.385  -1.216 -0.483  -1.322 -0.570  -1.372 -0.623  -1.269 -0.532  -1.177 -0.431  -1.087 -0.326  -0.998 -0.221  -0.907 -0.119  -0.807 -0.024  -0.707 0.070  -0.607 0.165  -0.497 0.247  -0.386 0.329  -0.267 0.394  -0.135 0.433  -0.031 0.346  0.043 0.235  0.092 0.106  0.132 -0.025  0.168 -0.158  0.244 -0.265  0.350 -0.352  0.474 -0.402  0.609 -0.432  0.742 -0.449  0.871 -0.401  1.000 -0.354  1.123 -0.294  1.239 -0.220  1.354 -0.145  1.447 -0.046  1.529 0.064  1.583 0.189  1.612 0.322  1.612 0.460  1.602 0.596  1.575 0.731
3#apb#apb40#app4052/f  0.778 0.321  0.838 0.417  0.874 0.525  0.925 0.627  0.971 0.730  1.013 0.836  1.037 0.947  1.046 1.059  1.034 1.169  0.951 1.214  0.840 1.190  0.743 1.133  0.648 1.071  0.553 1.009  0.470 0.933  0.397 0.846  0.324 0.759  0.252 0.672  0.179 0.585  0.110 0.495  0.048 0.400  -0.014 0.305  -0.076 0.210  -0.138 0.115  -0.200 0.020  -0.260 -0.077  -0.319 -0.174  -0.378 -0.271  -0.437 -0.368  -0.496 -0.465  -0.549 -0.565  -0.598 -0.667  -0.648 -0.770  -0.697 -0.872  -0.738 -0.977  -0.776 -1.085  -0.796 -1.196  -0.790 -1.099  -0.776 -0.986  -0.762 -0.874  -0.748 -0.761  -0.727 -0.650  -0.711 -0.538  -0.632 -0.575  -0.552 -0.655  -0.453 -0.710  -0.352 -0.761  -0.245 -0.799  -0.136 -0.831  -0.027 -0.862
3#apb#apb40#app4052/i  0.124 -0.107  0.082 -0.202  0.039 -0.297  -0.010 -0.388  -0.060 -0.479  -0.109 -0.570  -0.159 -0.661  -0.209 -0.752  -0.254 -0.846  -0.297 -0.940  -0.341 -1.034  -0.374 -1.133  -0.403 -1.232  -0.443 -1.328  -0.419 -1.416  -0.387 -1.328  -0.358 -1.229  -0.329 -1.129  -0.299 -1.030  -0.270 -0.930  -0.240 -0.831  -0.211 -0.731  -0.181 -0.632  -0.152 -0.532  -0.122 -0.432  -0.093 -0.333  -0.064 -0.233  -0.034 -0.134  -0.005 -0.034  0.025 0.065  0.054 0.165  0.084 0.264  0.113 0.364  0.143 0.463  0.172 0.563  0.201 0.663  0.231 0.762  0.260 0.862  0.290 0.961  0.319 1.061  0.349 1.160  0.378 1.260  0.408 1.359  0.437 1.459  0.466 1.558  0.472 1.648  0.381 1.667  0.287 1.626  0.253 1.549  0.253 1.445
3#apb#apb40#app4052/n  -0.292 0.339  -0.291 0.300  -0.388 0.196  -0.485 0.091  -0.574 -0.020  -0.661 -0.133  -0.749 -0.246  -0.837 -0.358  -0.933 -0.463  -1.039 -0.558  -1.146 -0.653  -1.249 -0.751  -1.343 -0.859  -1.279 -0.807  -1.189 -0.696  -1.099 -0.586  -1.005 -0.478  -0.909 -0.373  -0.813 -0.267  -0.717 -0.162  -0.626 -0.052  -0.535 0.058  -0.445 0.169  -0.353 0.278  -0.248 0.375  -0.144 0.472  -0.033 0.561  0.085 0.631  0.159 0.514  0.207 0.379  0.242 0.241  0.267 0.101  0.303 -0.036  0.363 -0.166  0.447 -0.276  0.559 -0.364  0.701 -0.366  0.844 -0.365  0.969 -0.297  1.091 -0.225  1.179 -0.113  1.267 -0.000  1.314 0.132  1.348 0.271  1.361 0.412  1.361 0.555  1.352 0.697  1.332 0.838  1.307 0.979  1.323 1.082
3#apb#apb40#app4052/i  0.031 0.173  0.049 0.065  0.028 -0.040  -0.009 -0.143  -0.046 -0.247  -0.092 -0.346  -0.145 -0.442  -0.198 -0.538  -0.251 -0.635  -0.303 -0.731  -0.346 -0.832  -0.385 -0.934  -0.423 -1.037  -0.463 -1.140  -0.512 -1.238  -0.558 -1.337  -0.527 -1.360  -0.432 -1.306  -0.384 -1.212  -0.348 -1.108  -0.312 -1.005  -0.277 -0.901  -0.241 -0.797  -0.205 -0.693  -0.169 -0.589  -0.134 -0.486  -0.098 -0.382  -0.062 -0.278  -0.027 -0.174  0.009 -0.070  0.045 0.033  0.080 0.137  0.116 0.241  0.152 0.345  0.188 0.449  0.223 0.552  0.259 0.656  0.295 0.760  0.330 0.864  0.366 0.968  0.402 1.071  0.437 1.175  0.473 1.279  0.509 1.383  0.545 1.487  0.580 1.590  0.518 1.654  0.413 1.685  0.402 1.744  0.497 1.688
3#apb#apb40#app4052/t  -1.306 -0.258  -1.211 -0.320  -1.053 -0.320  -0.896 -0.320  -0.738 -0.321  -0.580 -0.327  -0.423 -0.333  -0.266 -0.339  -0.108 -0.351  0.048 -0.366  0.205 -0.381  0.363 -0.390  0.520 -0.399  0.677 -0.402  0.835 -0.402  0.840 -0.267  0.822 -0.111  0.803 0.046  0.785 0.202  0.766 0.359  0.748 0.515  0.729 0.672  0.711 0.828  0.692 0.985  0.674 1.141  0.655 1.298  0.637 1.454  0.567 1.438  0.466 1.317  0.365 1.196  0.272 1.069  0.185 0.938  0.097 0.807  0.010 0.676  -0.068 0.540  -0.126 0.393  -0.183 0.246  -0.241 0.100  -0.292 -0.049  -0.334 -0.201  -0.375 -0.353  -0.417 -0.505  -0.458 -0.657  -0.501 -0.809  -0.545 -0.960  -0.588 -1.112  -0.631 -1.263  -0.671 -1.416  -0.711 -1.568  -0.750 -1.721
3#apb#apb40#app4052/e  -1.036 -0.549  -0.889 -0.507  -0.742 -0.465  -0.609 -0.393  -0.483 -0.306  -0.357 -0.220  -0.228 -0.137  -0.099 -0.055  0.030 0.027  0.159 0.109  0.290 0.189  0.420 0.268  0.551 0.348  0.682 0.427  0.800 0.523  0.908 0.631  1.016 0.739  1.124 0.847  1.225 0.963  1.245 1.081  1.119 1.105  0.971 1.066  0.824 1.024  0.683 0.963  0.543 0.902  0.403 0.842  0.262 0.781  0.122 0.720  -0.007 0.639  -0.135 0.554  -0.262 0.469  -0.389 0.384  -0.517 0.300  -0.607 0.183  -0.673 0.045  -0.739 -0.093  -0.805 -0.231  -0.839 -0.377  -0.839 -0.530  -0.839 -0.682  -0.768 -0.816  -0.689 -0.947  -0.605 -1.072  -0.466 -1.135  -0.326 -1.198  -0.187 -1.261  -0.040 -1.289  0.113 -1.289  0.266 -1.289  0.419 -1.289
3#apb#apb40#app4052/L  0.788 1.699  0.802 1.700  0.760 1.594  0.717 1.487  0.668 1.384  0.602 1.291  0.537 1.197  0.471 1.103  0.405 1.009  0.339 0.915  0.273 0.822  0.202 0.732  0.127 0.645  0.051 0.559  -0.024 0.472  -0.099 0.386  -0.174 0.299  -0.249 0.213  -0.324 0.126  -0.394 0.035  -0.464 -0.056  -0.534 -0.146  -0.605 -0.237  -0.675 -0.328  -0.737 -0.423  -0.779 -0.530  -0.820 -0.636  -0.862 -0.743  -0.905 -0.850  -0.949 -0.954  -0.874 -0.918  -0.778 -0.855  -0.682 -0.793  -0.585 -0.731  -0.480 -0.686  -0.374 -0.642  -0.268 -0.597  -0.163 -0.552  -0.054 -0.516  0.055 -0.481  0.164 -0.447  0.276 -0.430  0.390 -0.437  0.504 -0.446  0.605 -0.501  0.706 -0.555  0.776 -0.644  0.841 -0.738  0.885 -0.841  0.907 -0.954
3#apb#apb40#app4052/o  -0.162 0.772  -0.256 0.659  -0.349 0.545  -0.442 0.431  -0.534 0.317  -0.620 0.198  -0.689 0.068  -0.757 -0.063  -0.825 -0.193  -0.870 -0.329  -0.870 -0.476  -0.870 -0.623  -0.853 -0.763  -0.753 -0.872  -0.654 -0.980  -0.533 -1.052  -0.390 -1.084  -0.246 -1.116  -0.104 -1.116  0.036 -1.072  0.176 -1.027  0.316 -0.983  0.449 -0.921  0.576 -0.848  0.704 -0.774  0.831 -0.700  0.907 -0.576  0.979 -0.448  1.051 -0.320  1.060 -0.175  1.060 -0.028  1.060 0.119  1.033 0.259  0.962 0.388  0.891 0.517  0.820 0.646  0.715 0.740  0.586 0.811  0.458 0.882  0.329 0.953  0.185 0.967  0.038 0.967  -0.109 0.967  -0.256 0.967  -0.395 0.924  -0.532 0.871  -0.669 0.817  -0.763 0.717  -0.829 0.585  -0.895 0.454
