1c#apa#apa12#app1298/a  0.148 0.925  0.071 0.802  -0.007 0.925  -0.176 0.848  -0.358 0.802  -0.532 0.738  -0.675 0.596  -0.838 0.535  -0.937 0.432  -0.999 0.271  -1.164 0.185  -1.208 0.028  -1.287 -0.140  -1.332 -0.323  -1.267 -0.497  -1.208 -0.674  -1.085 -0.751  -0.978 -0.908  -0.784 -0.925  -0.622 -1.018  -0.433 -1.048  -0.232 -1.048  -0.155 -0.925  0.004 -0.823  0.146 -0.680  0.288 -0.538  0.395 -0.381  0.400 -0.185  0.519 -0.103  0.544 0.088  0.642 0.248  0.741 0.408  0.765 0.599  0.765 0.800  0.642 0.878  0.519 0.956  0.410 1.049  0.395 0.863  0.395 0.662  0.395 0.461  0.519 0.383  0.519 0.182  0.599 0.062  0.642 -0.097  0.722 -0.265  0.889 -0.324  0.955 -0.498  1.012 -0.675  1.101 -0.855  1.135 -1.048
1c#apa#apa12#app1298/q  0.333 0.900  0.190 1.023  -0.004 1.023  -0.074 1.147  -0.268 1.147  -0.462 1.147  -0.620 1.060  -0.781 1.005  -0.843 0.837  -0.904 0.668  -1.028 0.597  -1.029 0.404  -1.152 0.261  -1.152 0.066  -1.152 -0.128  -1.152 -0.322  -0.974 -0.338  -0.780 -0.338  -0.586 -0.338  -0.433 -0.237  -0.260 -0.188  -0.122 -0.051  0.037 0.034  0.101 0.173  0.209 0.322  0.288 0.483  0.333 0.659  0.333 0.853  0.333 0.752  0.266 0.586  0.209 0.415  0.209 0.221  0.209 0.027  0.209 -0.167  0.209 -0.361  0.209 -0.555  0.237 -0.737  0.333 -0.892  0.333 -1.086  0.333 -1.280  0.464 -1.393  0.580 -1.387  0.675 -1.232  0.734 -1.080  0.828 -0.980  0.948 -0.836  1.036 -0.663  1.075 -0.478  1.199 -0.408  1.323 -0.338
1c#apa#apa12#app1298/r  -0.552 0.224  -0.552 0.102  -0.552 -0.020  -0.552 -0.142  -0.540 -0.259  -0.453 -0.346  -0.395 -0.444  -0.395 -0.566  -0.395 -0.688  -0.395 -0.810  -0.338 -0.874  -0.239 -0.897  -0.239 -1.019  -0.161 -1.109  -0.082 -1.199  -0.082 -1.321  0.016 -1.345  0.075 -1.282  0.075 -1.160  0.075 -1.038  0.075 -0.915  0.075 -0.793  0.029 -0.717  -0.082 -0.706  -0.082 -0.584  -0.151 -0.491  -0.238 -0.404  -0.239 -0.283  -0.239 -0.161  -0.239 -0.039  -0.239 0.083  -0.239 0.206  -0.165 0.297  -0.082 0.385  -0.082 0.507  -0.017 0.602  0.069 0.688  0.126 0.796  0.181 0.905  0.237 1.013  0.323 1.099  0.410 1.186  0.496 1.272  0.546 1.374  0.563 1.479  0.685 1.479  0.807 1.479  0.929 1.479  1.051 1.479  1.173 1.479
1c#apa#apa12#app1298/s  0.469 1.150  0.327 1.150  0.185 1.150  0.066 1.093  -0.051 1.034  -0.168 0.974  -0.288 0.919  -0.403 0.854  -0.524 0.804  -0.637 0.735  -0.738 0.634  -0.855 0.573  -0.972 0.515  -1.091 0.458  -1.144 0.370  -1.029 0.343  -0.887 0.343  -0.745 0.343  -0.627 0.400  -0.509 0.458  -0.367 0.458  -0.225 0.458  -0.083 0.458  0.059 0.458  0.178 0.403  0.295 0.343  0.413 0.284  0.469 0.165  0.559 0.113  0.666 0.030  0.699 -0.098  0.786 -0.204  0.886 -0.305  0.930 -0.429  0.930 -0.571  0.930 -0.713  0.930 -0.855  0.858 -0.925  0.745 -0.995  0.621 -1.040  0.479 -1.040  0.354 -1.056  0.311 -1.155  0.169 -1.155  0.027 -1.155  -0.115 -1.155  -0.257 -1.155  -0.399 -1.155  -0.541 -1.155  -0.683 -1.155
1c#apa#apa12#app1298/t  -0.148 1.414  -0.030 1.353  -0.030 1.173  -0.030 0.994  -0.030 0.814  -0.030 0.635  -0.030 0.456  -0.030 0.276  -0.030 0.097  -0.030 -0.083  -0.030 -0.262  -0.030 -0.441  -0.030 -0.621  -0.030 -0.800  -0.030 -0.980  0.037 -1.131  0.088 -1.290  0.088 -1.469  0.200 -1.537  0.108 -1.394  0.007 -1.246  -0.095 -1.098  -0.197 -0.951  -0.298 -0.803  -0.400 -0.655  -0.502 -0.507  -0.603 -0.359  -0.705 -0.211  -0.806 -0.064  -0.908 0.084  -1.010 0.232  -1.092 0.317  -1.092 0.329  -0.935 0.352  -0.756 0.352  -0.576 0.352  -0.397 0.352  -0.217 0.352  -0.038 0.352  0.136 0.375  0.296 0.456  0.472 0.470  0.652 0.470  0.821 0.494  0.962 0.588  1.141 0.588  1.320 0.588  1.500 0.588  1.623 0.531  1.741 0.470
1c#apa#apa12#app1298/u  -1.206 0.893  -1.206 0.738  -1.214 0.588  -1.305 0.470  -1.305 0.316  -1.305 0.161  -1.305 0.006  -1.282 -0.143  -1.213 -0.281  -1.165 -0.393  -1.107 -0.490  -1.054 -0.591  -0.998 -0.690  -0.844 -0.690  -0.689 -0.690  -0.534 -0.690  -0.380 -0.690  -0.252 -0.627  -0.117 -0.586  -0.056 -0.492  0.064 -0.410  0.180 -0.361  0.242 -0.232  0.281 -0.094  0.378 0.021  0.452 0.101  0.498 0.222  0.576 0.345  0.576 0.499  0.576 0.654  0.576 0.809  0.576 0.963  0.549 1.091  0.477 1.009  0.477 0.854  0.477 0.699  0.576 0.644  0.576 0.489  0.576 0.335  0.576 0.180  0.629 0.048  0.675 -0.088  0.722 -0.196  0.774 -0.299  0.833 -0.393  0.889 -0.492  1.022 -0.543  1.157 -0.591  1.213 -0.690  1.367 -0.690
1c#apa#apa12#app1298/v  -1.065 1.226  -1.054 1.097  -0.959 1.002  -0.865 0.908  -0.828 0.790  -0.828 0.656  -0.828 0.523  -0.738 0.427  -0.710 0.305  -0.710 0.171  -0.592 0.156  -0.592 0.022  -0.592 -0.111  -0.592 -0.245  -0.544 -0.358  -0.474 -0.463  -0.474 -0.596  -0.408 -0.664  -0.356 -0.745  -0.356 -0.879  -0.244 -0.901  -0.229 -1.019  -0.119 -1.043  -0.080 -1.137  -0.001 -1.082  0.069 -1.019  0.031 -1.019  -0.001 -0.917  -0.001 -0.784  0.013 -0.664  0.117 -0.635  0.161 -0.546  0.235 -0.486  0.288 -0.375  0.353 -0.268  0.379 -0.141  0.438 -0.021  0.514 0.087  0.589 0.189  0.619 0.310  0.713 0.405  0.808 0.499  0.902 0.594  0.944 0.710  1.008 0.817  1.119 0.871  1.180 0.943  1.180 1.077  1.283 1.108  1.298 1.226
1c#apa#apa12#app1298/w  -1.364 0.563  -1.280 0.501  -1.280 0.354  -1.280 0.208  -1.224 0.085  -1.196 -0.050  -1.196 -0.196  -1.168 -0.336  -1.111 -0.469  -1.031 -0.535  -0.969 -0.620  -0.823 -0.620  -0.705 -0.551  -0.578 -0.480  -0.520 -0.369  -0.435 -0.258  -0.375 -0.137  -0.271 -0.033  -0.228 0.095  -0.182 0.222  -0.140 0.351  -0.100 0.478  -0.182 0.414  -0.182 0.268  -0.182 0.122  -0.182 -0.025  -0.182 -0.171  -0.157 -0.307  -0.053 -0.411  0.050 -0.514  0.188 -0.535  0.334 -0.535  0.460 -0.586  0.592 -0.620  0.716 -0.566  0.850 -0.535  0.916 -0.455  1.000 -0.344  1.060 -0.222  1.085 -0.086  1.087 0.060  1.152 0.191  1.169 0.333  1.169 0.480  1.169 0.626  1.169 0.772  1.156 0.913  1.085 1.030  1.085 1.176  1.085 1.323
1c#apa#apa12#app1298/x  1.333 1.254  1.217 1.178  1.181 1.024  1.102 0.912  0.969 0.776  0.834 0.640  0.699 0.505  0.592 0.350  0.496 0.187  0.361 0.052  0.226 -0.083  0.091 -0.218  -0.044 -0.353  -0.174 -0.492  -0.260 -0.663  -0.382 -0.807  -0.539 -0.916  -0.698 -1.021  -0.840 -1.149  -0.850 -1.230  -0.824 -1.041  -0.798 -0.852  -0.772 -0.662  -0.747 -0.473  -0.721 -0.284  -0.695 -0.095  -0.669 0.095  -0.643 0.284  -0.618 0.473  -0.592 0.663  -0.566 0.852  -0.540 1.041  -0.514 1.230  -0.396 1.202  -0.396 1.011  -0.396 0.820  -0.281 0.677  -0.281 0.486  -0.173 0.340  -0.119 0.171  0.016 0.036  0.151 -0.099  0.286 -0.234  0.340 -0.403  0.475 -0.538  0.610 -0.673  0.663 -0.842  0.816 -0.935  0.967 -1.031  1.102 -1.166
1c#apa#apa12#app1298/y  1.328 1.163  1.228 1.026  1.146 0.881  1.027 0.752  0.965 0.599  0.916 0.439  0.836 0.280  0.715 0.149  0.589 0.023  0.486 -0.120  0.395 -0.271  0.268 -0.397  0.173 -0.546  0.061 -0.673  -0.094 -0.760  -0.220 -0.886  -0.320 -1.031  -0.431 -1.141  -0.570 -1.236  -0.696 -1.362  -0.822 -1.488  -0.852 -1.443  -0.811 -1.269  -0.769 -1.096  -0.727 -0.922  -0.685 -0.749  -0.643 -0.575  -0.601 -0.402  -0.559 -0.228  -0.517 -0.055  -0.476 0.119  -0.434 0.292  -0.392 0.466  -0.350 0.639  -0.308 0.813  -0.266 0.986  -0.224 1.160  -0.182 1.333  -0.128 1.263  -0.075 1.137  -0.001 0.989  0.025 0.822  0.044 0.662  0.125 0.565  0.125 0.387  0.226 0.250  0.226 0.071  0.326 -0.066  0.400 -0.214  0.526 -0.340
1c#apa#apa12#app1298/z  -0.676 1.180  -0.544 1.180  -0.411 1.180  -0.279 1.180  -0.147 1.180  -0.014 1.180  0.118 1.180  0.250 1.180  0.378 1.170  0.479 1.093  0.591 1.044  0.629 0.928  0.753 0.919  0.803 0.837  0.775 0.716  0.667 0.658  0.622 0.567  0.504 0.508  0.400 0.429  0.307 0.335  0.213 0.241  0.094 0.209  0.000 0.116  -0.093 0.022  -0.187 -0.071  -0.291 -0.150  -0.409 -0.210  -0.504 -0.302  -0.598 -0.395  -0.676 -0.495  -0.723 -0.608  -0.763 -0.724  -0.850 -0.769  -0.850 -0.901  -0.850 -1.034  -0.767 -1.083  -0.647 -1.054  -0.539 -0.996  -0.434 -0.928  -0.310 -0.909  -0.178 -0.909  -0.045 -0.909  0.087 -0.909  0.219 -0.909  0.331 -0.859  0.448 -0.822  0.580 -0.822  0.713 -0.822  0.845 -0.822  0.977 -0.822
