1b#apb#apb38#app3855/A  -0.501 0.223  -0.383 0.342  -0.432 0.346  -0.524 0.170  -0.607 -0.010  -0.660 -0.201  -0.727 -0.387  -0.811 -0.568  -0.905 -0.743  -0.987 -0.924  -1.056 -1.110  -1.011 -1.111  -0.913 -0.938  -0.819 -0.763  -0.730 -0.585  -0.639 -0.408  -0.534 -0.240  -0.429 -0.071  -0.338 0.106  -0.253 0.286  -0.168 0.465  -0.083 0.645  0.002 0.825  0.104 0.994  0.227 1.151  0.356 1.302  0.505 1.433  0.656 1.562  0.808 1.544  0.876 1.363  0.876 1.165  0.865 0.966  0.839 0.769  0.810 0.572  0.779 0.376  0.746 0.180  0.698 -0.013  0.650 -0.206  0.624 -0.403  0.601 -0.601  0.601 -0.799  0.601 -0.998  0.526 -1.049  0.366 -0.931  0.207 -0.812  0.047 -0.694  -0.113 -0.575  -0.108 -0.495  0.084 -0.546  0.275 -0.604
1b#apb#apb38#app3855/L  -0.094 1.005  -0.041 1.084  -0.007 1.173  0.023 1.263  0.054 1.354  0.063 1.448  0.053 1.474  0.027 1.382  0.001 1.290  -0.029 1.200  -0.059 1.109  -0.101 1.023  -0.144 0.938  -0.186 0.852  -0.224 0.765  -0.243 0.671  -0.261 0.578  -0.280 0.484  -0.312 0.394  -0.346 0.305  -0.381 0.216  -0.415 0.127  -0.445 0.037  -0.464 -0.057  -0.483 -0.151  -0.501 -0.244  -0.530 -0.335  -0.561 -0.426  -0.544 -0.517  -0.518 -0.609  -0.481 -0.696  -0.419 -0.765  -0.331 -0.803  -0.244 -0.841  -0.159 -0.885  -0.077 -0.933  0.007 -0.977  0.103 -0.977  0.198 -0.977  0.294 -0.977  0.389 -0.977  0.485 -0.977  0.578 -0.961  0.667 -0.928  0.757 -0.896  0.847 -0.863  0.940 -0.851  1.036 -0.851  1.131 -0.851  1.227 -0.851
1b#apb#apb38#app3855/M  -0.367 0.281  -0.325 0.335  -0.396 0.208  -0.514 0.107  -0.614 -0.010  -0.711 -0.131  -0.808 -0.252  -0.905 -0.373  -1.012 -0.484  -1.122 -0.594  -1.231 -0.703  -1.318 -0.829  -1.280 -0.872  -1.170 -0.762  -1.073 -0.643  -0.990 -0.512  -0.901 -0.386  -0.804 -0.265  -0.715 -0.138  -0.637 -0.005  -0.563 0.131  -0.498 0.272  -0.431 0.410  -0.332 0.529  -0.235 0.650  -0.127 0.761  -0.017 0.717  0.041 0.581  0.041 0.426  0.028 0.272  0.023 0.118  0.041 -0.035  0.080 -0.150  0.227 -0.122  0.355 -0.036  0.493 0.035  0.633 0.100  0.763 0.183  0.895 0.264  1.036 0.328  1.175 0.395  1.310 0.472  1.451 0.464  1.551 0.350  1.568 0.196  1.549 0.045  1.509 -0.105  1.477 -0.256  1.444 -0.408  1.407 -0.558
1b#apb#apb38#app3855/N  -0.175 0.466  -0.219 0.399  -0.327 0.254  -0.456 0.125  -0.575 -0.012  -0.689 -0.154  -0.797 -0.300  -0.902 -0.449  -1.035 -0.566  -1.195 -0.654  -1.328 -0.777  -1.342 -0.695  -1.249 -0.539  -1.131 -0.401  -1.003 -0.273  -0.892 -0.129  -0.793 0.024  -0.695 0.177  -0.563 0.301  -0.425 0.420  -0.288 0.539  -0.170 0.677  -0.066 0.826  0.064 0.950  0.143 0.958  0.119 0.782  0.072 0.606  0.023 0.430  -0.031 0.257  -0.085 0.083  -0.108 -0.094  -0.095 -0.276  -0.069 -0.455  -0.010 -0.625  0.110 -0.762  0.253 -0.855  0.432 -0.871  0.585 -0.773  0.739 -0.675  0.881 -0.561  1.021 -0.446  1.146 -0.315  1.260 -0.173  1.346 -0.016  1.403 0.157  1.445 0.334  1.486 0.512  1.448 0.684  1.391 0.856  1.347 1.033
1b#apb#apb38#app3855/O  -0.545 0.945  -0.600 0.854  -0.672 0.778  -0.753 0.711  -0.822 0.631  -0.889 0.549  -0.941 0.457  -0.991 0.364  -1.034 0.267  -1.077 0.171  -1.105 0.069  -1.133 -0.033  -1.138 -0.135  -1.108 -0.236  -1.078 -0.338  -1.003 -0.413  -0.928 -0.487  -0.842 -0.543  -0.741 -0.572  -0.639 -0.602  -0.537 -0.629  -0.432 -0.643  -0.327 -0.657  -0.223 -0.671  -0.120 -0.658  -0.018 -0.629  0.083 -0.599  0.185 -0.569  0.285 -0.537  0.386 -0.504  0.486 -0.470  0.586 -0.437  0.682 -0.395  0.760 -0.324  0.839 -0.253  0.917 -0.181  0.986 -0.102  1.053 -0.020  1.120 0.062  1.178 0.150  1.229 0.242  1.263 0.337  1.229 0.437  1.194 0.536  1.110 0.601  1.027 0.666  0.934 0.703  0.828 0.703  0.722 0.703  0.616 0.703
1b#apb#apb38#app3855/P  -0.140 0.348  -0.162 0.253  -0.192 0.108  -0.202 -0.040  -0.213 -0.188  -0.233 -0.334  -0.258 -0.480  -0.294 -0.623  -0.338 -0.765  -0.376 -0.908  -0.406 -1.053  -0.446 -1.195  -0.492 -1.336  -0.517 -1.480  -0.542 -1.467  -0.537 -1.319  -0.530 -1.172  -0.523 -1.024  -0.518 -0.876  -0.532 -0.728  -0.557 -0.583  -0.600 -0.442  -0.643 -0.300  -0.643 -0.152  -0.643 -0.004  -0.620 0.142  -0.593 0.288  -0.562 0.432  -0.486 0.559  -0.406 0.682  -0.286 0.769  -0.166 0.857  -0.040 0.934  0.088 1.008  0.223 1.062  0.370 1.086  0.514 1.085  0.655 1.042  0.797 0.998  0.937 0.951  1.065 0.882  1.178 0.786  1.232 0.650  1.229 0.505  1.190 0.362  1.116 0.248  0.983 0.182  0.850 0.119  0.706 0.083  0.563 0.047
1b#apb#apb38#app3855/Q  -0.153 0.886  -0.239 0.872  -0.432 0.839  -0.608 0.758  -0.764 0.640  -0.912 0.511  -1.061 0.384  -1.133 0.204  -1.149 0.013  -1.130 -0.182  -1.116 -0.378  -1.078 -0.564  -0.958 -0.719  -0.800 -0.826  -0.622 -0.907  -0.429 -0.944  -0.235 -0.965  -0.039 -0.965  0.157 -0.951  0.350 -0.929  0.513 -0.820  0.670 -0.702  0.821 -0.578  0.931 -0.421  1.013 -0.243  1.089 -0.063  1.155 0.121  1.170 0.317  1.153 0.506  1.065 0.681  0.961 0.847  0.833 0.987  0.651 1.060  0.458 1.076  0.264 1.068  0.085 0.989  -0.102 0.930  -0.259 0.856  -0.243 0.660  -0.227 0.465  -0.210 0.270  -0.194 0.074  -0.178 -0.121  -0.162 -0.317  -0.091 -0.373  0.050 -0.466  0.139 -0.640  0.234 -0.811  0.341 -0.975  0.419 -1.155
1b#apb#apb38#app3855/R  -0.446 0.357  -0.494 0.525  -0.501 0.433  -0.519 0.259  -0.537 0.085  -0.559 -0.088  -0.585 -0.261  -0.619 -0.432  -0.665 -0.601  -0.663 -0.772  -0.634 -0.944  -0.657 -1.116  -0.681 -1.288  -0.681 -1.463  -0.624 -1.387  -0.612 -1.213  -0.601 -1.038  -0.590 -0.864  -0.579 -0.689  -0.543 -0.518  -0.502 -0.348  -0.462 -0.178  -0.433 -0.006  -0.411 0.167  -0.383 0.339  -0.327 0.505  -0.257 0.663  -0.155 0.805  -0.020 0.915  0.116 1.026  0.273 1.101  0.437 1.161  0.605 1.207  0.772 1.178  0.941 1.141  1.088 1.083  1.196 0.951  1.125 0.792  1.045 0.636  0.959 0.484  0.874 0.331  0.757 0.203  0.603 0.153  0.494 0.017  0.476 -0.157  0.453 -0.330  0.483 -0.496  0.561 -0.651  0.676 -0.781  0.807 -0.896
1b#apb#apb38#app3855/S  0.474 1.029  0.401 1.099  0.291 1.121  0.181 1.139  0.071 1.152  -0.041 1.152  -0.144 1.117  -0.244 1.067  -0.347 1.029  -0.458 1.029  -0.568 1.026  -0.618 0.929  -0.556 0.852  -0.469 0.783  -0.371 0.729  -0.274 0.674  -0.175 0.624  -0.070 0.586  0.035 0.548  0.140 0.509  0.233 0.447  0.325 0.385  0.416 0.321  0.473 0.226  0.531 0.130  0.588 0.034  0.658 -0.053  0.729 -0.139  0.760 -0.242  0.776 -0.353  0.721 -0.443  0.649 -0.527  0.577 -0.613  0.509 -0.701  0.440 -0.789  0.367 -0.871  0.265 -0.918  0.164 -0.965  0.063 -1.011  -0.040 -1.052  -0.150 -1.074  -0.259 -1.096  -0.369 -1.118  -0.478 -1.138  -0.589 -1.130  -0.701 -1.121  -0.812 -1.113  -0.923 -1.102  -1.034 -1.090  -1.145 -1.078
1b#apb#apb38#app3855/T  0.236 0.353  0.329 0.477  0.474 0.519  0.623 0.508  0.654 0.372  0.654 0.217  0.642 0.063  0.627 -0.091  0.593 -0.241  0.540 -0.386  0.487 -0.532  0.445 -0.681  0.404 -0.830  0.371 -0.981  0.355 -1.135  0.339 -1.289  0.302 -1.439  0.255 -1.538  0.169 -1.409  0.083 -1.280  -0.003 -1.151  -0.089 -1.022  -0.175 -0.893  -0.260 -0.765  -0.346 -0.636  -0.432 -0.507  -0.518 -0.378  -0.604 -0.249  -0.690 -0.120  -0.776 0.009  -0.862 0.137  -0.948 0.266  -1.034 0.395  -1.119 0.524  -1.170 0.646  -1.034 0.716  -0.886 0.759  -0.737 0.801  -0.587 0.842  -0.434 0.863  -0.280 0.884  -0.127 0.905  0.026 0.926  0.180 0.944  0.334 0.933  0.489 0.921  0.643 0.910  0.798 0.898  0.952 0.887  1.107 0.876
1b#apb#apb38#app3855/U  -1.485 0.864  -1.369 0.864  -1.237 0.864  -1.104 0.864  -0.975 0.841  -0.846 0.812  -0.731 0.746  -0.626 0.667  -0.528 0.579  -0.455 0.479  -0.429 0.350  -0.427 0.220  -0.456 0.091  -0.483 -0.039  -0.509 -0.168  -0.551 -0.293  -0.600 -0.416  -0.626 -0.544  -0.640 -0.676  -0.644 -0.808  -0.609 -0.924  -0.507 -1.009  -0.388 -1.063  -0.265 -1.112  -0.142 -1.087  -0.019 -1.037  0.102 -0.985  0.222 -0.930  0.336 -0.865  0.440 -0.782  0.543 -0.700  0.620 -0.593  0.693 -0.483  0.730 -0.357  0.758 -0.228  0.758 -0.096  0.758 0.037  0.749 0.168  0.723 0.298  0.672 0.414  0.579 0.508  0.496 0.610  0.472 0.611  0.604 0.609  0.736 0.618  0.867 0.632  0.999 0.623  1.131 0.610  1.263 0.609  1.395 0.609
1b#apb#apb38#app3855/V  -1.167 1.051  -1.123 1.080  -1.034 1.035  -0.980 0.955  -0.935 0.866  -0.890 0.777  -0.873 0.679  -0.856 0.580  -0.840 0.482  -0.825 0.383  -0.809 0.284  -0.794 0.185  -0.772 0.088  -0.745 -0.008  -0.718 -0.104  -0.690 -0.200  -0.645 -0.289  -0.596 -0.376  -0.547 -0.463  -0.496 -0.549  -0.445 -0.634  -0.387 -0.714  -0.311 -0.779  -0.235 -0.844  -0.137 -0.849  -0.037 -0.851  0.062 -0.863  0.161 -0.871  0.257 -0.844  0.347 -0.806  0.422 -0.740  0.497 -0.673  0.566 -0.602  0.614 -0.515  0.661 -0.427  0.709 -0.339  0.758 -0.252  0.806 -0.165  0.852 -0.076  0.894 0.015  0.936 0.105  0.978 0.196  0.993 0.294  1.000 0.393  1.008 0.493  1.017 0.592  1.028 0.692  1.048 0.787  1.108 0.867  1.164 0.950
1b#apb#apb38#app3855/W  -0.867 0.374  -0.902 0.499  -0.851 0.559  -0.868 0.579  -0.935 0.467  -0.996 0.353  -1.025 0.226  -1.055 0.100  -1.096 -0.024  -1.137 -0.147  -1.127 -0.277  -1.117 -0.407  -1.104 -0.537  -1.070 -0.658  -0.976 -0.670  -0.866 -0.601  -0.751 -0.539  -0.649 -0.462  -0.568 -0.360  -0.491 -0.256  -0.422 -0.145  -0.352 -0.035  -0.273 0.067  -0.172 0.148  -0.072 0.232  0.025 0.311  0.090 0.222  0.090 0.092  0.093 -0.038  0.119 -0.166  0.169 -0.283  0.244 -0.390  0.335 -0.481  0.439 -0.559  0.568 -0.550  0.688 -0.514  0.792 -0.436  0.881 -0.341  0.964 -0.241  1.043 -0.138  1.110 -0.026  1.180 0.084  1.254 0.191  1.328 0.298  1.346 0.425  1.355 0.555  1.369 0.684  1.386 0.813  1.411 0.940  1.462 1.060
1b#apb#apb38#app3855/X  0.874 0.922  1.040 0.856  1.043 0.732  0.961 0.569  0.853 0.424  0.735 0.285  0.617 0.146  0.492 0.013  0.363 -0.116  0.235 -0.245  0.096 -0.362  -0.050 -0.471  -0.196 -0.581  -0.342 -0.690  -0.476 -0.813  -0.610 -0.937  -0.744 -1.060  -0.772 -0.952  -0.767 -0.769  -0.762 -0.587  -0.757 -0.405  -0.751 -0.223  -0.746 -0.041  -0.741 0.141  -0.736 0.324  -0.731 0.506  -0.726 0.688  -0.721 0.870  -0.716 1.052  -0.710 1.235  -0.705 1.384  -0.609 1.239  -0.540 1.071  -0.482 0.899  -0.402 0.735  -0.317 0.574  -0.227 0.415  -0.137 0.257  -0.033 0.109  0.091 -0.025  0.215 -0.159  0.339 -0.292  0.468 -0.421  0.597 -0.550  0.726 -0.679  0.860 -0.802  0.995 -0.924  1.136 -1.038  1.302 -1.114  1.467 -1.189
1b#apb#apb38#app3855/Y  -0.758 0.987  -0.832 1.072  -0.890 0.953  -0.944 0.832  -0.989 0.708  -1.027 0.581  -1.031 0.450  -1.019 0.318  -0.980 0.193  -0.930 0.070  -0.831 -0.012  -0.720 -0.086  -0.590 -0.093  -0.460 -0.077  -0.337 -0.028  -0.219 0.030  -0.107 0.102  0.003 0.175  0.097 0.269  0.190 0.362  0.279 0.461  0.367 0.560  0.437 0.671  0.500 0.788  0.564 0.904  0.641 1.012  0.671 1.028  0.658 0.896  0.643 0.764  0.625 0.633  0.607 0.501  0.574 0.373  0.536 0.246  0.498 0.120  0.461 -0.008  0.433 -0.137  0.404 -0.267  0.376 -0.396  0.348 -0.526  0.324 -0.656  0.300 -0.786  0.277 -0.917  0.253 -1.047  0.241 -1.179  0.229 -1.311  0.218 -1.443  0.206 -1.575  0.219 -1.707  0.235 -1.838  0.251 -1.970
1b#apb#apb38#app3855/Z  -0.787 1.216  -0.803 1.303  -0.627 1.391  -0.457 1.488  -0.254 1.507  -0.051 1.492  0.146 1.447  0.340 1.382  0.529 1.312  0.673 1.168  0.839 1.053  0.853 0.854  0.782 0.665  0.669 0.495  0.517 0.362  0.356 0.236  0.189 0.120  0.022 0.004  -0.141 -0.119  -0.283 -0.264  -0.418 -0.416  -0.527 -0.588  -0.591 -0.781  -0.564 -0.977  -0.406 -1.104  -0.209 -1.158  -0.009 -1.191  0.194 -1.206  0.398 -1.209  0.551 -1.188  0.403 -1.049  0.254 -0.909  0.106 -0.769  -0.042 -0.630  -0.190 -0.490  -0.339 -0.350  -0.487 -0.210  -0.635 -0.071  -0.784 0.069  -0.875 -0.029  -0.735 -0.149  -0.540 -0.210  -0.343 -0.258  -0.141 -0.283  0.061 -0.309  0.264 -0.329  0.467 -0.329  0.671 -0.329  0.875 -0.329  1.079 -0.329
