3#app#app19#app1954/P  -0.446 0.527  -0.411 0.342  -0.328 0.176  -0.264 0.007  -0.214 -0.172  -0.163 -0.350  -0.137 -0.535  -0.062 -0.707  -0.046 -0.894  0.018 -1.069  0.069 -1.252  0.109 -1.435  0.148 -1.524  0.047 -1.363  -0.055 -1.202  -0.156 -1.041  -0.258 -0.880  -0.359 -0.719  -0.461 -0.557  -0.562 -0.396  -0.663 -0.235  -0.765 -0.074  -0.866 0.087  -0.968 0.248  -1.069 0.410  -1.107 0.564  -1.016 0.707  -0.851 0.800  -0.692 0.905  -0.536 0.992  -0.348 1.002  -0.174 1.069  0.017 1.069  0.207 1.069  0.390 1.038  0.570 0.992  0.754 0.953  0.918 0.866  1.071 0.754  1.222 0.639  1.257 0.463  1.257 0.273  1.157 0.128  1.005 0.024  0.893 -0.119  0.723 -0.205  0.543 -0.247  0.374 -0.320  0.209 -0.402  0.018 -0.402
3#app#app19#app1954/l  -0.132 1.629  -0.203 1.626  -0.203 1.551  -0.210 1.479  -0.263 1.426  -0.274 1.356  -0.274 1.282  -0.274 1.207  -0.274 1.132  -0.274 1.058  -0.274 0.983  -0.274 0.909  -0.274 0.834  -0.268 0.761  -0.234 0.694  -0.203 0.627  -0.203 0.552  -0.203 0.477  -0.203 0.403  -0.203 0.328  -0.203 0.253  -0.203 0.179  -0.190 0.107  -0.157 0.040  -0.132 -0.028  -0.132 -0.103  -0.132 -0.178  -0.132 -0.252  -0.122 -0.325  -0.098 -0.396  -0.074 -0.467  -0.047 -0.536  -0.013 -0.603  0.017 -0.671  0.041 -0.742  0.064 -0.813  0.096 -0.879  0.148 -0.932  0.184 -0.997  0.217 -1.064  0.265 -1.120  0.318 -1.173  0.373 -1.221  0.447 -1.221  0.522 -1.221  0.597 -1.221  0.671 -1.221  0.739 -1.205  0.792 -1.152  0.866 -1.150
3#app#app19#app1954/a  -0.532 1.083  -0.681 1.083  -0.791 0.989  -0.911 0.918  -1.028 0.886  -1.044 0.752  -1.193 0.752  -1.193 0.604  -1.193 0.454  -1.193 0.305  -1.193 0.156  -1.193 0.007  -1.145 -0.123  -1.040 -0.228  -0.934 -0.334  -0.815 -0.406  -0.675 -0.428  -0.569 -0.533  -0.436 -0.571  -0.287 -0.571  -0.137 -0.571  0.012 -0.571  0.130 -0.540  0.145 -0.406  0.294 -0.406  0.296 -0.258  0.427 -0.240  0.461 -0.125  0.461 0.025  0.424 0.165  0.357 0.299  0.296 0.433  0.296 0.582  0.151 0.587  0.188 0.472  0.254 0.339  0.353 0.256  0.490 0.227  0.595 0.122  0.626 -0.015  0.689 -0.138  0.795 -0.243  0.900 -0.349  1.026 -0.406  1.160 -0.443  1.266 -0.548  1.371 -0.654  1.486 -0.737  1.619 -0.753  1.619 -0.902
3#app#app19#app1954/s  0.924 0.396  1.038 0.437  1.095 0.567  1.152 0.698  1.071 0.818  1.038 0.959  0.890 0.965  0.736 0.965  0.582 0.965  0.428 0.965  0.283 0.929  0.145 0.860  -0.005 0.842  -0.142 0.773  -0.288 0.738  -0.430 0.686  -0.565 0.613  -0.676 0.508  -0.822 0.459  -0.968 0.410  -1.120 0.396  -1.230 0.290  -1.237 0.138  -1.237 -0.016  -1.125 -0.058  -1.085 -0.172  -0.931 -0.172  -0.777 -0.173  -0.628 -0.211  -0.478 -0.248  -0.329 -0.285  -0.175 -0.286  -0.021 -0.286  0.121 -0.339  0.260 -0.400  0.414 -0.400  0.568 -0.400  0.682 -0.498  0.811 -0.532  0.784 -0.680  0.715 -0.818  0.584 -0.855  0.475 -0.963  0.323 -0.968  0.190 -1.020  0.062 -1.082  -0.092 -1.082  -0.246 -1.082  -0.327 -1.155  -0.440 -1.196
3#app#app19#app1954/s  0.750 0.441  0.749 0.587  0.603 0.587  0.603 0.733  0.457 0.734  0.456 0.879  0.310 0.879  0.163 0.879  0.017 0.879  -0.130 0.879  -0.276 0.879  -0.423 0.879  -0.569 0.878  -0.700 0.812  -0.831 0.747  -0.974 0.733  -1.086 0.651  -1.206 0.587  -1.297 0.531  -1.258 0.401  -1.154 0.298  -1.024 0.231  -0.893 0.165  -0.751 0.148  -0.616 0.100  -0.485 0.034  -0.346 0.002  -0.221 -0.051  -0.114 -0.144  0.033 -0.144  0.179 -0.144  0.324 -0.151  0.455 -0.216  0.586 -0.282  0.717 -0.347  0.848 -0.413  0.989 -0.437  1.042 -0.530  1.042 -0.676  0.976 -0.795  0.872 -0.899  0.769 -1.002  0.630 -1.021  0.484 -1.021  0.372 -1.106  0.251 -1.168  0.105 -1.168  -0.024 -1.210  -0.127 -1.314  -0.274 -1.314
3#app#app19#app1954/p  -0.535 0.937  -0.428 0.852  -0.320 0.704  -0.320 0.511  -0.236 0.338  -0.212 0.151  -0.212 -0.042  -0.212 -0.235  -0.132 -0.409  -0.094 -0.592  -0.008 -0.765  0.004 -0.955  0.068 -1.133  0.112 -1.315  0.112 -1.508  0.146 -1.686  0.220 -1.849  0.112 -1.740  0.038 -1.578  0.004 -1.399  0.004 -1.207  -0.040 -1.024  -0.104 -0.847  -0.116 -0.657  -0.202 -0.484  -0.212 -0.294  -0.241 -0.104  -0.279 0.085  -0.317 0.274  -0.320 0.467  -0.320 0.660  -0.320 0.852  -0.320 1.045  -0.259 1.213  -0.194 1.369  -0.031 1.441  0.137 1.452  0.295 1.369  0.441 1.255  0.577 1.119  0.713 0.983  0.759 0.809  0.759 0.616  0.651 0.468  0.565 0.311  0.398 0.217  0.247 0.101  0.066 0.074  -0.127 0.074  -0.320 0.074
3#app#app19#app1954/l  -0.703 -1.248  -0.613 -1.191  -0.522 -1.134  -0.443 -1.066  -0.335 -0.970  -0.249 -0.858  -0.191 -0.735  -0.087 -0.631  0.017 -0.527  0.119 -0.420  0.185 -0.289  0.277 -0.176  0.309 -0.039  0.375 0.092  0.387 0.237  0.387 0.384  0.387 0.532  0.387 0.679  0.387 0.827  0.387 0.974  0.387 1.121  0.387 1.269  0.333 1.403  0.296 1.542  0.174 1.568  0.027 1.568  -0.078 1.467  -0.158 1.352  -0.158 1.205  -0.249 1.095  -0.249 0.948  -0.249 0.800  -0.249 0.653  -0.249 0.506  -0.249 0.358  -0.249 0.211  -0.237 0.065  -0.201 -0.078  -0.165 -0.221  -0.158 -0.367  -0.158 -0.515  -0.095 -0.647  -0.068 -0.788  -0.031 -0.921  0.055 -1.038  0.114 -1.171  0.114 -1.319  0.228 -1.395  0.296 -1.501  0.387 -1.611
3#app#app19#app1954/a  0.475 0.294  0.475 0.455  0.475 0.616  0.377 0.737  0.263 0.850  0.150 0.964  -0.003 0.983  -0.164 0.983  -0.325 0.983  -0.486 0.983  -0.647 0.983  -0.785 0.928  -0.899 0.814  -1.059 0.811  -1.177 0.708  -1.247 0.576  -1.247 0.416  -1.219 0.266  -1.105 0.152  -1.075 0.004  -0.968 -0.050  -0.903 -0.146  -0.843 -0.282  -0.730 -0.396  -0.730 -0.557  -0.595 -0.634  -0.451 -0.706  -0.298 -0.739  -0.137 -0.739  0.024 -0.739  0.185 -0.739  0.333 -0.709  0.447 -0.595  0.561 -0.481  0.647 -0.356  0.647 -0.195  0.647 -0.034  0.642 0.122  0.481 0.122  0.630 0.122  0.647 -0.021  0.647 -0.182  0.733 -0.308  0.819 -0.433  0.838 -0.586  0.952 -0.699  1.097 -0.739  1.230 -0.805  1.336 -0.922  1.336 -1.083
3#app#app19#app1954/t  -0.284 1.831  -0.167 1.884  -0.167 1.843  -0.167 1.674  -0.167 1.504  -0.167 1.334  -0.141 1.168  -0.088 1.007  -0.049 0.844  -0.049 0.674  -0.049 0.504  -0.049 0.334  -0.049 0.165  -0.049 -0.005  0.008 -0.161  0.068 -0.317  0.068 -0.487  0.068 -0.657  0.122 -0.804  0.185 -0.947  0.245 -1.103  0.331 -1.248  0.420 -1.381  0.488 -1.522  0.638 -1.571  0.559 -1.452  0.453 -1.319  0.347 -1.186  0.241 -1.054  0.135 -0.921  0.029 -0.789  -0.077 -0.656  -0.184 -0.524  -0.290 -0.391  -0.396 -0.258  -0.502 -0.126  -0.608 0.007  -0.714 0.139  -0.753 0.082  -0.712 0.189  -0.542 0.189  -0.415 0.292  -0.251 0.306  -0.106 0.367  0.040 0.423  0.210 0.423  0.380 0.423  0.550 0.423  0.719 0.423  0.889 0.423
3#app#app19#app1954/e  -1.547 -0.367  -1.374 -0.367  -1.201 -0.367  -1.028 -0.367  -0.855 -0.367  -0.682 -0.367  -0.530 -0.318  -0.408 -0.195  -0.259 -0.110  -0.104 -0.033  0.056 0.020  0.229 0.020  0.398 0.030  0.520 0.152  0.643 0.274  0.765 0.397  0.934 0.407  0.969 0.545  0.969 0.718  0.969 0.891  0.915 1.041  0.793 1.164  0.627 1.181  0.454 1.181  0.281 1.181  0.134 1.120  0.011 0.998  -0.141 0.917  -0.295 0.839  -0.386 0.722  -0.437 0.600  -0.579 0.570  -0.579 0.397  -0.579 0.224  -0.579 0.051  -0.579 -0.122  -0.579 -0.295  -0.508 -0.438  -0.386 -0.561  -0.264 -0.683  -0.192 -0.826  -0.141 -0.948  0.023 -0.969  0.145 -1.092  0.298 -1.141  0.471 -1.141  0.644 -1.141  0.816 -1.141  0.989 -1.141  1.162 -1.141
3#app#app19#app1954/s  0.611 0.557  0.730 0.557  0.759 0.648  0.759 0.768  0.759 0.888  0.754 1.002  0.634 1.002  0.514 1.002  0.395 1.002  0.275 1.002  0.156 1.002  0.036 1.002  -0.084 1.002  -0.182 0.950  -0.266 0.865  -0.381 0.854  -0.501 0.854  -0.607 0.821  -0.692 0.737  -0.776 0.652  -0.861 0.567  -0.871 0.452  -0.871 0.332  -0.871 0.213  -0.851 0.113  -0.732 0.113  -0.645 0.035  -0.560 -0.050  -0.475 -0.135  -0.391 -0.219  -0.306 -0.304  -0.222 -0.388  -0.137 -0.473  -0.020 -0.480  0.076 -0.537  0.160 -0.622  0.277 -0.628  0.315 -0.710  0.353 -0.814  0.437 -0.899  0.522 -0.984  0.606 -1.068  0.611 -1.186  0.551 -1.281  0.466 -1.365  0.348 -1.369  0.229 -1.369  0.109 -1.369  -0.010 -1.369  -0.130 -1.369
3#app#app19#app1954/w  -1.130 0.534  -1.071 0.651  -1.013 0.769  -1.013 0.945  -1.013 0.882  -1.013 0.706  -1.013 0.531  -1.013 0.355  -1.013 0.179  -1.013 0.003  -1.013 -0.172  -1.013 -0.348  -1.006 -0.517  -0.867 -0.576  -0.788 -0.733  -0.623 -0.750  -0.448 -0.750  -0.318 -0.639  -0.144 -0.634  -0.001 -0.556  0.155 -0.513  0.155 -0.337  0.155 -0.161  0.155 0.014  0.031 0.067  -0.125 0.021  -0.196 -0.126  -0.183 -0.296  -0.059 -0.420  0.066 -0.545  0.205 -0.634  0.380 -0.634  0.556 -0.634  0.732 -0.634  0.907 -0.634  1.051 -0.555  1.209 -0.513  1.322 -0.384  1.322 -0.209  1.228 -0.072  1.193 0.092  1.115 0.249  1.005 0.384  0.881 0.508  0.793 0.658  0.701 0.806  0.593 0.942  0.514 1.099  0.396 1.227  0.271 1.351
3#app#app19#app1954/e  -1.142 -0.473  -0.972 -0.473  -0.801 -0.473  -0.642 -0.461  -0.627 -0.306  -0.459 -0.298  -0.307 -0.221  -0.154 -0.145  0.015 -0.139  0.168 -0.067  0.321 0.009  0.449 0.119  0.588 0.194  0.691 0.261  0.741 0.411  0.858 0.533  0.851 0.701  0.731 0.821  0.691 0.975  0.573 1.027  0.438 1.113  0.301 1.194  0.131 1.194  -0.040 1.194  -0.142 1.126  -0.214 1.027  -0.384 1.027  -0.531 0.972  -0.652 0.851  -0.772 0.731  -0.809 0.575  -0.809 0.405  -0.720 0.272  -0.642 0.133  -0.597 -0.018  -0.476 -0.139  -0.474 -0.308  -0.353 -0.428  -0.233 -0.549  -0.123 -0.677  -0.047 -0.830  0.035 -0.973  0.205 -0.973  0.371 -0.985  0.491 -1.106  0.611 -1.226  0.749 -1.306  0.901 -1.349  1.022 -1.470  1.191 -1.473
3#app#app19#app1954/r  -0.451 0.037  -0.451 -0.071  -0.451 -0.180  -0.451 -0.288  -0.451 -0.396  -0.451 -0.505  -0.451 -0.613  -0.451 -0.721  -0.451 -0.830  -0.423 -0.926  -0.346 -1.003  -0.296 -1.090  -0.296 -1.198  -0.227 -1.278  -0.150 -1.355  -0.046 -1.365  0.016 -1.319  0.016 -1.210  0.016 -1.102  0.016 -0.994  0.016 -0.885  0.016 -0.777  0.016 -0.669  0.016 -0.561  0.016 -0.452  0.016 -0.344  0.016 -0.236  0.016 -0.127  0.016 -0.019  0.016 0.089  0.016 0.198  0.016 0.306  0.016 0.414  0.016 0.523  0.016 0.631  0.016 0.739  0.016 0.848  0.016 0.956  0.016 1.064  0.048 1.159  0.124 1.236  0.213 1.283  0.322 1.283  0.400 1.356  0.476 1.432  0.582 1.439  0.690 1.439  0.798 1.436  0.874 1.360  0.951 1.283
3#app#app19#app1954/e  -1.303 0.031  -1.422 0.150  -1.360 0.194  -1.192 0.194  -1.025 0.194  -0.857 0.194  -0.689 0.194  -0.522 0.194  -0.354 0.194  -0.187 0.194  -0.019 0.194  0.148 0.194  0.316 0.194  0.484 0.194  0.651 0.194  0.815 0.202  0.934 0.321  0.968 0.474  0.968 0.642  0.877 0.772  0.739 0.843  0.571 0.843  0.404 0.843  0.236 0.843  0.069 0.843  -0.099 0.843  -0.266 0.843  -0.434 0.843  -0.569 0.765  -0.654 0.632  -0.654 0.465  -0.654 0.297  -0.654 0.130  -0.654 -0.038  -0.602 -0.184  -0.483 -0.302  -0.365 -0.421  -0.246 -0.539  -0.167 -0.674  -0.112 -0.808  0.038 -0.882  0.191 -0.942  0.355 -0.960  0.504 -1.035  0.654 -1.110  0.804 -1.185  0.954 -1.260  1.120 -1.267  1.288 -1.267  1.455 -1.267
