3#app#app08#app0854/1  -0.304 1.316  -0.304 1.390  -0.304 1.464  -0.233 1.468  -0.159 1.468  -0.153 1.400  -0.153 1.326  -0.153 1.252  -0.153 1.178  -0.153 1.103  -0.153 1.029  -0.153 0.955  -0.153 0.881  -0.153 0.807  -0.153 0.733  -0.116 0.674  -0.064 0.622  -0.011 0.569  -0.002 0.499  -0.002 0.425  -0.002 0.351  -0.002 0.277  -0.002 0.203  -0.002 0.129  -0.002 0.055  -0.002 -0.019  -0.002 -0.093  -0.002 -0.167  -0.002 -0.241  -0.002 -0.316  -0.002 -0.390  -0.002 -0.464  0.026 -0.527  0.078 -0.579  0.130 -0.631  0.150 -0.697  0.150 -0.772  0.150 -0.846  0.150 -0.920  0.150 -0.994  0.150 -1.068  0.150 -1.142  0.150 -1.216  0.160 -1.288  0.184 -1.359  0.207 -1.429  0.231 -1.499  0.254 -1.570  0.278 -1.640  0.301 -1.710
3#app#app08#app0854/a  0.264 0.442  0.147 0.558  0.031 0.675  -0.085 0.791  -0.244 0.806  -0.408 0.806  -0.573 0.806  -0.738 0.806  -0.881 0.755  -0.998 0.638  -1.114 0.522  -1.194 0.390  -1.194 0.226  -1.194 0.061  -1.194 -0.104  -1.194 -0.268  -1.194 -0.433  -1.194 -0.598  -1.084 -0.652  -0.919 -0.652  -0.754 -0.652  -0.590 -0.652  -0.429 -0.634  -0.282 -0.560  -0.135 -0.487  -0.011 -0.380  0.105 -0.264  0.222 -0.147  0.338 -0.031  0.446 0.089  0.446 0.254  0.559 0.372  0.628 0.508  0.628 0.672  0.607 0.784  0.490 0.668  0.446 0.522  0.446 0.357  0.446 0.192  0.481 0.042  0.598 -0.074  0.714 -0.191  0.831 -0.307  0.947 -0.424  1.063 -0.540  1.178 -0.658  1.252 -0.805  1.325 -0.952  1.423 -1.082  1.540 -1.199
3#app#app08#app0854/r  -0.433 0.267  -0.543 0.267  -0.609 0.224  -0.609 0.114  -0.609 0.005  -0.623 -0.099  -0.701 -0.176  -0.778 -0.254  -0.784 -0.361  -0.784 -0.470  -0.784 -0.580  -0.784 -0.689  -0.784 -0.799  -0.784 -0.908  -0.745 -1.001  -0.668 -1.079  -0.583 -1.138  -0.474 -1.138  -0.433 -1.069  -0.433 -0.959  -0.433 -0.850  -0.400 -0.754  -0.323 -0.677  -0.250 -0.596  -0.201 -0.498  -0.152 -0.400  -0.103 -0.302  -0.082 -0.198  -0.082 -0.088  -0.007 -0.010  0.070 0.068  0.094 0.168  0.101 0.274  0.178 0.352  0.256 0.429  0.333 0.506  0.410 0.584  0.488 0.661  0.565 0.739  0.643 0.816  0.720 0.894  0.798 0.969  0.908 0.969  1.017 0.969  1.127 0.969  1.236 0.969  1.346 0.969  1.455 0.969  1.565 0.969  1.674 0.969
3#app#app08#app0854/e  -0.878 0.633  -1.037 0.633  -1.040 0.477  -0.886 0.471  -0.727 0.471  -0.583 0.405  -0.440 0.334  -0.287 0.309  -0.127 0.309  0.032 0.309  0.191 0.309  0.351 0.309  0.510 0.309  0.670 0.309  0.743 0.395  0.743 0.554  0.687 0.690  0.571 0.796  0.411 0.796  0.252 0.796  0.093 0.796  -0.067 0.796  -0.226 0.796  -0.369 0.726  -0.512 0.654  -0.666 0.633  -0.793 0.556  -0.878 0.431  -0.878 0.272  -0.878 0.113  -0.878 -0.047  -0.857 -0.198  -0.745 -0.310  -0.632 -0.423  -0.519 -0.536  -0.407 -0.649  -0.268 -0.725  -0.125 -0.797  0.027 -0.826  0.187 -0.826  0.337 -0.866  0.479 -0.937  0.627 -0.988  0.786 -0.988  0.945 -0.988  1.105 -0.988  1.262 -0.999  1.414 -1.049  1.565 -1.100  1.716 -1.150
3#app#app08#app0854/^  -1.442 -0.958  -1.320 -0.958  -1.270 -0.886  -1.270 -0.765  -1.270 -0.643  -1.204 -0.549  -1.118 -0.463  -1.032 -0.377  -0.946 -0.291  -0.860 -0.205  -0.774 -0.119  -0.755 -0.005  -0.723 0.104  -0.637 0.190  -0.538 0.243  -0.416 0.243  -0.329 0.326  -0.243 0.412  -0.240 0.533  -0.192 0.634  -0.106 0.720  -0.000 0.758  0.103 0.776  0.103 0.898  0.193 0.930  0.274 0.970  0.274 1.091  0.274 0.990  0.274 0.868  0.274 0.746  0.274 0.625  0.333 0.528  0.419 0.442  0.446 0.331  0.446 0.209  0.446 0.088  0.446 -0.034  0.485 -0.139  0.571 -0.225  0.657 -0.311  0.743 -0.397  0.789 -0.500  0.796 -0.615  0.918 -0.615  1.039 -0.615  1.133 -0.643  1.133 -0.765  1.232 -0.786  1.304 -0.836  1.304 -0.958
3#app#app08#app0854/u  -1.133 1.172  -1.003 1.172  -0.976 1.069  -1.029 0.961  -1.121 0.869  -1.133 0.744  -1.133 0.614  -1.133 0.484  -1.133 0.354  -1.133 0.224  -1.133 0.094  -1.056 -0.004  -0.976 -0.101  -0.976 -0.231  -0.857 -0.242  -0.818 -0.334  -0.773 -0.445  -0.681 -0.537  -0.559 -0.556  -0.429 -0.556  -0.299 -0.556  -0.169 -0.556  -0.039 -0.556  0.055 -0.468  0.156 -0.399  0.285 -0.396  0.377 -0.304  0.469 -0.212  0.561 -0.120  0.596 -0.004  0.634 0.110  0.725 0.202  0.753 0.321  0.817 0.386  0.910 0.424  0.900 0.544  0.770 0.544  0.753 0.431  0.753 0.301  0.753 0.170  0.753 0.040  0.753 -0.090  0.753 -0.220  0.801 -0.338  0.859 -0.455  0.921 -0.568  1.013 -0.660  1.121 -0.713  1.224 -0.740  1.224 -0.870
3#app#app08#app0854/n  -0.891 0.497  -0.891 0.651  -0.738 0.653  -0.735 0.805  -0.735 0.659  -0.735 0.504  -0.735 0.350  -0.735 0.195  -0.735 0.040  -0.735 -0.114  -0.735 -0.269  -0.735 -0.423  -0.735 -0.578  -0.735 -0.732  -0.735 -0.887  -0.735 -1.042  -0.735 -1.196  -0.735 -1.088  -0.643 -0.972  -0.579 -0.844  -0.535 -0.707  -0.425 -0.598  -0.423 -0.444  -0.423 -0.290  -0.318 -0.179  -0.267 -0.045  -0.231 0.101  -0.161 0.239  -0.082 0.370  0.028 0.479  0.046 0.626  0.173 0.653  0.202 0.779  0.326 0.809  0.481 0.809  0.635 0.809  0.790 0.809  0.826 0.690  0.943 0.653  0.982 0.537  1.063 0.416  1.138 0.292  1.138 0.138  1.158 -0.012  1.227 -0.150  1.294 -0.289  1.294 -0.444  1.294 -0.598  1.294 -0.753  1.294 -0.907
3#app#app08#app0854/d  -0.035 -0.688  -0.035 -0.515  -0.035 -0.342  -0.049 -0.174  -0.176 -0.063  -0.349 -0.063  -0.489 -0.143  -0.583 -0.286  -0.659 -0.441  -0.659 -0.614  -0.659 -0.787  -0.659 -0.960  -0.659 -1.133  -0.659 -1.307  -0.541 -1.431  -0.419 -1.553  -0.260 -1.537  -0.137 -1.415  -0.035 -1.284  -0.000 -1.119  0.077 -0.965  0.090 -0.795  0.090 -0.621  0.090 -0.448  0.090 -0.275  0.090 -0.102  0.090 0.071  0.090 0.244  0.090 0.417  0.097 0.589  0.139 0.757  0.181 0.925  0.215 1.094  0.215 1.267  0.215 1.441  0.215 1.614  0.287 1.757  0.340 1.712  0.340 1.539  0.340 1.366  0.340 1.193  0.340 1.020  0.340 0.847  0.340 0.674  0.340 0.501  0.340 0.328  0.340 0.154  0.397 0.005  0.465 -0.140  0.465 -0.313
3#app#app08#app0854/e  -1.039 0.349  -1.039 0.185  -0.925 0.135  -0.780 0.091  -0.665 -0.025  -0.523 -0.079  -0.360 -0.079  -0.196 -0.079  -0.033 -0.079  0.131 -0.079  0.294 -0.079  0.458 -0.079  0.621 -0.079  0.785 -0.079  0.948 -0.079  1.112 -0.079  1.275 -0.079  1.312 0.048  1.312 0.211  1.312 0.375  1.312 0.538  1.173 0.563  1.099 0.652  1.060 0.776  0.896 0.776  0.733 0.776  0.569 0.776  0.406 0.776  0.242 0.776  0.079 0.776  -0.085 0.776  -0.229 0.731  -0.345 0.615  -0.461 0.500  -0.576 0.384  -0.692 0.268  -0.807 0.153  -0.825 -0.003  -0.825 -0.167  -0.825 -0.330  -0.825 -0.494  -0.825 -0.657  -0.825 -0.821  -0.774 -0.933  -0.611 -0.934  -0.611 -1.098  -0.531 -1.228  -0.415 -1.343  -0.299 -1.459  -0.184 -1.575
3#app#app08#app0854/f  0.112 0.613  0.230 0.731  0.293 0.873  0.293 1.040  0.293 1.207  0.275 1.371  0.202 1.521  0.144 1.664  -0.009 1.697  -0.081 1.594  -0.159 1.459  -0.159 1.291  -0.159 1.124  -0.159 0.957  -0.159 0.789  -0.159 0.622  -0.088 0.471  -0.069 0.309  -0.069 0.141  -0.069 -0.026  -0.069 -0.193  0.003 -0.344  0.022 -0.507  0.072 -0.662  0.112 -0.820  0.112 -0.987  0.112 -1.155  0.112 -1.322  0.130 -1.482  0.202 -1.619  0.179 -1.689  0.104 -1.539  0.030 -1.390  -0.045 -1.240  -0.120 -1.090  -0.195 -0.941  -0.270 -0.791  -0.345 -0.641  -0.419 -0.492  -0.494 -0.342  -0.569 -0.192  -0.558 -0.057  -0.406 -0.019  -0.239 -0.019  -0.071 -0.019  0.096 -0.019  0.263 -0.019  0.426 0.002  0.577 0.071  0.744 0.071
3#app#app08#app0854/i  -0.684 0.023  -0.583 0.023  -0.580 -0.074  -0.580 -0.175  -0.580 -0.275  -0.580 -0.376  -0.580 -0.476  -0.522 -0.553  -0.476 -0.634  -0.476 -0.735  -0.476 -0.835  -0.458 -0.928  -0.387 -0.999  -0.373 -1.093  -0.373 -1.194  -0.320 -1.272  -0.260 -1.295  -0.228 -1.200  -0.197 -1.105  -0.165 -1.009  -0.133 -0.914  -0.101 -0.819  -0.070 -0.724  -0.038 -0.628  -0.006 -0.533  0.026 -0.438  0.057 -0.342  0.089 -0.247  0.121 -0.152  0.153 -0.056  0.184 0.039  0.216 0.134  0.248 0.229  0.280 0.325  0.312 0.420  0.343 0.515  0.375 0.611  0.407 0.706  0.439 0.801  0.470 0.896  0.502 0.992  0.534 1.087  0.559 1.183  0.559 1.284  0.559 1.384  0.559 1.485  0.559 1.585  0.559 1.686  0.559 1.786  0.559 1.887
3#app#app08#app0854/n  -0.754 0.647  -0.616 0.635  -0.616 0.484  -0.616 0.334  -0.616 0.183  -0.616 0.033  -0.616 -0.118  -0.616 -0.268  -0.616 -0.418  -0.616 -0.569  -0.616 -0.719  -0.616 -0.870  -0.616 -1.020  -0.616 -1.171  -0.616 -1.321  -0.616 -1.378  -0.616 -1.227  -0.616 -1.077  -0.578 -0.935  -0.511 -0.801  -0.478 -0.658  -0.478 -0.508  -0.478 -0.357  -0.398 -0.240  -0.340 -0.113  -0.340 0.037  -0.340 0.188  -0.265 0.307  -0.159 0.414  -0.063 0.525  -0.044 0.667  0.063 0.773  0.075 0.919  0.213 0.931  0.233 1.061  0.383 1.061  0.521 1.030  0.627 0.923  0.734 0.817  0.840 0.711  0.964 0.647  1.042 0.574  1.042 0.424  1.111 0.302  1.180 0.180  1.226 0.049  1.318 -0.064  1.318 -0.214  1.350 -0.351  1.456 -0.458
3#app#app08#app0854/e  -1.291 0.043  -1.415 0.043  -1.251 0.043  -1.088 0.043  -0.924 0.043  -0.760 0.043  -0.597 0.043  -0.433 0.043  -0.270 0.043  -0.106 0.043  0.057 0.043  0.221 0.043  0.374 0.087  0.520 0.160  0.647 0.260  0.781 0.330  0.920 0.390  1.036 0.505  1.147 0.623  1.147 0.786  1.101 0.904  0.957 0.950  0.834 1.047  0.670 1.047  0.514 1.017  0.368 0.944  0.214 0.904  0.077 0.838  -0.038 0.722  -0.158 0.617  -0.312 0.592  -0.427 0.477  -0.543 0.361  -0.574 0.211  -0.574 0.047  -0.574 -0.116  -0.574 -0.280  -0.574 -0.443  -0.574 -0.607  -0.506 -0.742  -0.390 -0.858  -0.275 -0.974  -0.159 -1.089  -0.043 -1.205  0.102 -1.248  0.266 -1.248  0.387 -1.349  0.533 -1.391  0.697 -1.391  0.860 -1.391
3#app#app08#app0854/d  0.071 0.081  -0.113 0.076  -0.265 -0.008  -0.429 -0.061  -0.560 -0.193  -0.692 -0.324  -0.761 -0.482  -0.821 -0.643  -0.821 -0.829  -0.821 -1.016  -0.734 -1.166  -0.665 -1.323  -0.488 -1.346  -0.324 -1.294  -0.166 -1.225  -0.061 -1.074  -0.018 -0.898  0.065 -0.732  0.149 -0.565  0.199 -0.387  0.244 -0.206  0.249 -0.020  0.249 0.166  0.330 0.333  0.338 0.517  0.338 0.703  0.338 0.889  0.338 1.076  0.338 1.262  0.338 1.448  0.338 1.634  0.338 1.820  0.249 1.761  0.239 1.577  0.160 1.410  0.160 1.224  0.160 1.038  0.160 0.851  0.160 0.665  0.160 0.479  0.160 0.293  0.160 0.107  0.160 -0.079  0.160 -0.266  0.160 -0.452  0.160 -0.638  0.233 -0.794  0.249 -0.973  0.249 -1.159  0.338 -1.256
3#app#app08#app0854/^  -0.793 -1.200  -0.793 -1.055  -0.793 -0.911  -0.793 -0.766  -0.721 -0.651  -0.624 -0.545  -0.560 -0.415  -0.495 -0.286  -0.475 -0.146  -0.414 -0.026  -0.316 0.078  -0.316 0.223  -0.255 0.353  -0.190 0.482  -0.157 0.619  -0.101 0.708  0.002 0.750  0.022 0.886  0.124 0.989  0.161 1.118  0.161 1.263  0.206 1.389  0.308 1.491  0.191 1.502  0.161 1.388  0.161 1.243  0.100 1.124  0.002 1.020  0.002 0.875  0.002 0.730  0.002 0.586  0.002 0.441  0.002 0.296  0.002 0.151  0.002 0.007  0.002 -0.138  0.002 -0.283  0.002 -0.427  0.007 -0.570  0.110 -0.672  0.212 -0.775  0.314 -0.877  0.320 -1.019  0.430 -1.096  0.559 -1.161  0.695 -1.200  0.797 -1.243  0.825 -1.359  0.956 -1.373  0.956 -1.518
