2#apa#apa09#app0950/f  1.106 1.209  1.044 1.332  1.011 1.449  0.873 1.449  0.743 1.409  0.613 1.365  0.483 1.322  0.357 1.270  0.242 1.194  0.134 1.113  0.058 0.999  -0.017 0.884  -0.044 0.749  -0.070 0.615  -0.092 0.481  -0.031 0.359  0.030 0.236  0.064 0.107  0.064 -0.030  0.113 -0.154  0.184 -0.272  0.254 -0.389  0.305 -0.512  0.305 -0.649  0.305 -0.787  0.282 -0.918  0.218 -1.038  0.104 -1.114  -0.011 -1.190  -0.145 -1.215  -0.280 -1.238  -0.415 -1.260  -0.551 -1.274  -0.664 -1.243  -0.698 -1.110  -0.731 -0.977  -0.714 -0.843  -0.688 -0.708  -0.661 -0.574  -0.634 -0.439  -0.607 -0.305  -0.580 -0.170  -0.576 -0.033  -0.482 0.015  -0.359 0.076  -0.237 0.137  -0.107 0.168  0.030 0.168  0.168 0.168  0.305 0.168
2#apa#apa09#app0950/i  -0.366 0.031  -0.444 -0.047  -0.522 -0.125  -0.531 -0.232  -0.531 -0.342  -0.531 -0.453  -0.531 -0.563  -0.531 -0.673  -0.531 -0.783  -0.531 -0.894  -0.531 -1.004  -0.531 -1.114  -0.429 -1.122  -0.319 -1.122  -0.209 -1.122  -0.109 -1.076  -0.011 -1.027  0.088 -0.978  0.186 -0.928  0.285 -0.879  0.384 -0.830  0.477 -0.773  0.555 -0.695  0.629 -0.614  0.678 -0.516  0.728 -0.417  0.777 -0.318  0.740 -0.223  0.682 -0.130  0.625 -0.036  0.567 0.058  0.509 0.152  0.451 0.246  0.393 0.340  0.336 0.434  0.278 0.528  0.220 0.622  0.162 0.716  0.105 0.809  0.047 0.903  -0.011 0.997  -0.069 1.091  -0.127 1.185  -0.184 1.279  -0.242 1.373  -0.300 1.467  -0.358 1.561  -0.416 1.655  -0.473 1.749  -0.531 1.842
2#apa#apa09#app0950/v  -0.235 0.492  -0.350 0.550  -0.466 0.608  -0.582 0.666  -0.698 0.724  -0.773 0.715  -0.773 0.586  -0.761 0.458  -0.720 0.335  -0.679 0.212  -0.638 0.090  -0.597 -0.033  -0.556 -0.156  -0.515 -0.279  -0.504 -0.407  -0.504 -0.536  -0.504 -0.666  -0.504 -0.795  -0.504 -0.925  -0.504 -1.054  -0.460 -1.166  -0.368 -1.257  -0.276 -1.349  -0.235 -1.320  -0.235 -1.191  -0.192 -1.079  -0.100 -0.987  -0.009 -0.896  0.083 -0.804  0.174 -0.713  0.266 -0.621  0.322 -0.509  0.353 -0.384  0.385 -0.258  0.416 -0.132  0.448 -0.007  0.479 0.119  0.510 0.245  0.542 0.370  0.575 0.495  0.667 0.587  0.758 0.678  0.841 0.773  0.841 0.903  0.841 1.032  0.841 1.162  0.841 1.291  0.927 1.385  1.019 1.477  1.110 1.568
2#apa#apa09#app0950/e  -0.158 -0.162  -0.017 -0.162  0.124 -0.162  0.250 -0.101  0.376 -0.038  0.502 0.025  0.628 0.088  0.743 0.166  0.843 0.266  0.942 0.366  0.988 0.488  0.988 0.628  0.988 0.769  0.988 0.910  0.920 0.984  0.779 0.984  0.639 0.984  0.498 0.984  0.360 0.965  0.226 0.921  0.093 0.876  -0.041 0.832  -0.175 0.787  -0.308 0.743  -0.442 0.698  -0.582 0.697  -0.723 0.697  -0.773 0.571  -0.818 0.437  -0.862 0.304  -0.907 0.170  -0.951 0.036  -0.996 -0.097  -0.985 -0.227  -0.922 -0.353  -0.859 -0.479  -0.796 -0.605  -0.733 -0.731  -0.634 -0.831  -0.535 -0.931  -0.433 -1.027  -0.307 -1.090  -0.181 -1.153  -0.055 -1.216  0.071 -1.279  0.197 -1.273  0.323 -1.210  0.449 -1.147  0.575 -1.084  0.701 -1.021
2#apa#apa09#app0950/r  -0.449 0.052  -0.449 -0.055  -0.449 -0.163  -0.449 -0.270  -0.449 -0.378  -0.449 -0.485  -0.449 -0.593  -0.449 -0.700  -0.449 -0.808  -0.449 -0.915  -0.449 -1.023  -0.449 -1.130  -0.449 -1.238  -0.449 -1.343  -0.449 -1.235  -0.449 -1.128  -0.449 -1.020  -0.449 -0.913  -0.449 -0.805  -0.449 -0.698  -0.449 -0.590  -0.449 -0.483  -0.449 -0.375  -0.449 -0.268  -0.449 -0.160  -0.449 -0.053  -0.448 0.054  -0.400 0.151  -0.352 0.247  -0.304 0.343  -0.256 0.439  -0.199 0.527  -0.103 0.575  -0.007 0.623  0.089 0.671  0.186 0.719  0.286 0.751  0.393 0.751  0.500 0.756  0.602 0.790  0.704 0.824  0.806 0.858  0.908 0.892  1.010 0.926  1.111 0.960  1.215 0.983  1.323 0.983  1.430 0.983  1.538 0.983  1.645 0.983
2#apa#apa09#app0950/w  -0.890 0.613  -0.973 0.695  -1.050 0.766  -1.050 0.650  -1.050 0.533  -1.050 0.417  -1.050 0.300  -1.050 0.184  -1.050 0.067  -1.050 -0.049  -1.050 -0.166  -1.050 -0.282  -1.050 -0.399  -1.045 -0.513  -0.962 -0.596  -0.877 -0.661  -0.773 -0.609  -0.669 -0.557  -0.566 -0.504  -0.483 -0.421  -0.399 -0.342  -0.294 -0.290  -0.190 -0.238  -0.088 -0.191  -0.036 -0.296  0.016 -0.400  0.068 -0.504  0.183 -0.508  0.299 -0.508  0.416 -0.508  0.532 -0.508  0.649 -0.508  0.749 -0.469  0.832 -0.387  0.914 -0.304  0.996 -0.222  1.079 -0.140  1.161 -0.057  1.191 0.047  1.191 0.164  1.191 0.280  1.191 0.397  1.164 0.507  1.112 0.611  1.060 0.715  0.979 0.773  0.863 0.777  0.759 0.829  0.655 0.881  0.551 0.933
2#apa#apa09#app0950/h  -0.128 1.616  -0.128 1.733  -0.128 1.851  -0.128 1.804  -0.128 1.687  -0.128 1.569  -0.128 1.451  -0.130 1.333  -0.149 1.217  -0.168 1.101  -0.188 0.985  -0.207 0.869  -0.226 0.752  -0.246 0.636  -0.265 0.520  -0.281 0.403  -0.298 0.287  -0.315 0.170  -0.331 0.054  -0.348 -0.063  -0.365 -0.180  -0.381 -0.296  -0.398 -0.413  -0.399 -0.531  -0.399 -0.648  -0.399 -0.766  -0.399 -0.884  -0.369 -0.989  -0.285 -1.073  -0.263 -1.008  -0.206 -0.921  -0.108 -0.856  -0.010 -0.791  0.088 -0.725  0.174 -0.647  0.245 -0.553  0.315 -0.459  0.386 -0.365  0.457 -0.270  0.527 -0.176  0.550 -0.226  0.550 -0.344  0.550 -0.462  0.550 -0.580  0.550 -0.698  0.550 -0.815  0.550 -0.933  0.615 -1.024  0.685 -1.113  0.685 -1.230
2#apa#apa09#app0950/i  -0.055 0.159  -0.173 0.159  -0.266 0.125  -0.304 0.014  -0.341 -0.098  -0.378 -0.210  -0.416 -0.322  -0.453 -0.434  -0.455 -0.552  -0.455 -0.670  -0.455 -0.788  -0.455 -0.906  -0.455 -1.024  -0.366 -1.087  -0.260 -1.139  -0.155 -1.192  -0.049 -1.239  0.056 -1.187  0.162 -1.134  0.267 -1.081  0.367 -1.020  0.451 -0.937  0.534 -0.853  0.618 -0.770  0.701 -0.687  0.722 -0.593  0.669 -0.487  0.616 -0.382  0.563 -0.276  0.511 -0.171  0.458 -0.065  0.405 0.040  0.352 0.146  0.300 0.252  0.247 0.357  0.194 0.463  0.141 0.568  0.088 0.674  0.036 0.779  -0.017 0.885  -0.070 0.990  -0.123 1.096  -0.175 1.202  -0.228 1.307  -0.281 1.413  -0.334 1.518  -0.387 1.624  -0.439 1.729  -0.455 1.843  -0.455 1.961
2#apa#apa09#app0950/l  0.169 0.730  0.169 0.811  0.169 0.892  0.169 0.973  0.169 1.053  0.169 1.134  0.169 1.215  0.169 1.296  0.169 1.377  0.169 1.358  0.169 1.277  0.169 1.196  0.169 1.115  0.169 1.035  0.169 0.954  0.169 0.873  0.169 0.792  0.169 0.711  0.169 0.630  0.169 0.550  0.169 0.469  0.168 0.388  0.145 0.310  0.123 0.233  0.101 0.155  0.079 0.077  0.057 -0.001  0.034 -0.078  0.012 -0.156  -0.010 -0.234  -0.032 -0.311  -0.054 -0.389  -0.077 -0.467  -0.099 -0.545  -0.121 -0.622  -0.143 -0.700  -0.165 -0.778  -0.183 -0.857  -0.199 -0.936  -0.214 -1.015  -0.230 -1.094  -0.246 -1.174  -0.262 -1.253  -0.278 -1.332  -0.294 -1.412  -0.309 -1.491  -0.325 -1.570  -0.340 -1.649  -0.340 -1.730  -0.340 -1.811
2#apa#apa09#app0950/e  -0.892 -0.092  -0.892 -0.255  -0.839 -0.365  -0.676 -0.365  -0.512 -0.365  -0.349 -0.365  -0.185 -0.365  -0.022 -0.365  0.142 -0.365  0.288 -0.308  0.424 -0.218  0.560 -0.127  0.696 -0.036  0.832 0.054  0.968 0.145  1.092 0.250  1.207 0.366  1.297 0.492  1.297 0.656  1.217 0.769  1.070 0.842  0.924 0.916  0.778 0.989  0.618 1.003  0.455 1.003  0.291 1.003  0.128 1.003  -0.036 1.003  -0.186 0.946  -0.332 0.873  -0.478 0.799  -0.621 0.724  -0.695 0.577  -0.768 0.431  -0.841 0.285  -0.881 0.135  -0.841 -0.023  -0.801 -0.182  -0.762 -0.340  -0.722 -0.499  -0.682 -0.658  -0.643 -0.816  -0.573 -0.958  -0.458 -1.073  -0.341 -1.186  -0.178 -1.186  -0.014 -1.186  0.149 -1.186  0.313 -1.186  0.476 -1.186
2#apa#apa09#app0950/d  0.051 -0.384  -0.019 -0.267  -0.165 -0.168  -0.345 -0.150  -0.532 -0.150  -0.715 -0.171  -0.893 -0.230  -1.026 -0.333  -1.085 -0.511  -1.121 -0.692  -1.121 -0.879  -1.035 -1.013  -0.866 -1.087  -0.679 -1.087  -0.492 -1.087  -0.313 -1.045  -0.139 -0.976  0.035 -0.906  0.187 -0.814  0.271 -0.647  0.285 -0.463  0.285 -0.276  0.285 -0.089  0.285 0.098  0.285 0.285  0.285 0.472  0.285 0.659  0.285 0.846  0.285 1.033  0.285 1.220  0.285 1.407  0.285 1.594  0.285 1.781  0.285 1.716  0.285 1.529  0.285 1.342  0.285 1.155  0.285 0.968  0.285 0.781  0.285 0.594  0.285 0.407  0.285 0.220  0.285 0.033  0.287 -0.154  0.361 -0.326  0.434 -0.498  0.508 -0.670  0.582 -0.842  0.637 -1.018  0.637 -1.205
2#apa#apa09#app0950/r  -0.175 0.023  -0.260 0.107  -0.344 0.192  -0.422 0.259  -0.422 0.139  -0.422 0.019  -0.422 -0.101  -0.422 -0.221  -0.422 -0.340  -0.422 -0.460  -0.422 -0.580  -0.422 -0.700  -0.422 -0.820  -0.422 -0.940  -0.422 -1.060  -0.422 -1.179  -0.510 -1.211  -0.630 -1.211  -0.668 -1.130  -0.668 -1.010  -0.668 -0.890  -0.668 -0.770  -0.668 -0.650  -0.668 -0.530  -0.641 -0.417  -0.588 -0.310  -0.534 -0.202  -0.480 -0.095  -0.427 0.012  -0.345 0.099  -0.260 0.184  -0.176 0.268  -0.091 0.353  -0.006 0.438  0.081 0.519  0.194 0.557  0.308 0.595  0.422 0.633  0.536 0.671  0.649 0.709  0.763 0.746  0.877 0.784  0.990 0.822  1.104 0.860  1.218 0.898  1.331 0.936  1.445 0.974  1.559 1.010  1.679 1.010  1.799 1.010
2#apa#apa09#app0950/i  0.027 -0.327  0.027 -0.211  0.027 -0.096  -0.006 -0.062  -0.088 -0.143  -0.169 -0.225  -0.251 -0.306  -0.310 -0.404  -0.362 -0.507  -0.413 -0.610  -0.421 -0.724  -0.421 -0.839  -0.421 -0.954  -0.421 -1.070  -0.342 -1.152  -0.255 -1.222  -0.140 -1.222  -0.025 -1.222  0.091 -1.222  0.197 -1.201  0.279 -1.120  0.341 -1.027  0.378 -0.917  0.414 -0.808  0.451 -0.698  0.464 -0.588  0.433 -0.478  0.401 -0.367  0.369 -0.256  0.338 -0.145  0.306 -0.034  0.274 0.077  0.243 0.188  0.211 0.299  0.179 0.410  0.148 0.520  0.116 0.631  0.084 0.742  0.053 0.853  0.021 0.964  -0.011 1.075  -0.042 1.186  -0.074 1.297  -0.106 1.408  -0.147 1.515  -0.199 1.618  -0.250 1.721  -0.271 1.831  -0.305 1.913  -0.421 1.913
2#apa#apa09#app0950/n  0.076 0.350  -0.091 0.350  -0.252 0.364  -0.370 0.482  -0.488 0.600  -0.552 0.587  -0.552 0.420  -0.595 0.264  -0.670 0.114  -0.744 -0.035  -0.819 -0.184  -0.865 -0.340  -0.865 -0.507  -0.865 -0.673  -0.865 -0.840  -0.865 -1.007  -0.865 -1.174  -0.865 -1.096  -0.865 -0.930  -0.821 -0.770  -0.768 -0.612  -0.715 -0.454  -0.662 -0.295  -0.610 -0.137  -0.557 0.021  -0.445 0.143  -0.327 0.261  -0.209 0.379  -0.091 0.497  0.027 0.615  0.145 0.733  0.263 0.851  0.381 0.969  0.544 0.978  0.711 0.978  0.878 0.978  1.017 0.950  1.017 0.783  1.017 0.616  1.017 0.450  1.017 0.283  1.017 0.116  1.017 -0.051  1.017 -0.218  1.017 -0.384  1.017 -0.551  1.017 -0.718  1.017 -0.885  1.017 -1.052  1.017 -1.219
2#apa#apa09#app0950/k  -0.160 1.429  -0.240 1.589  -0.289 1.756  -0.289 1.700  -0.289 1.522  -0.289 1.343  -0.289 1.165  -0.289 0.987  -0.289 0.808  -0.289 0.630  -0.305 0.453  -0.344 0.279  -0.383 0.105  -0.421 -0.069  -0.460 -0.243  -0.499 -0.417  -0.537 -0.591  -0.589 -0.762  -0.645 -0.931  -0.677 -1.104  -0.677 -1.027  -0.677 -0.848  -0.641 -0.677  -0.575 -0.511  -0.508 -0.346  -0.442 -0.180  -0.355 -0.025  -0.256 0.123  -0.155 0.269  0.005 0.349  0.170 0.414  0.343 0.457  0.516 0.500  0.691 0.525  0.869 0.525  0.951 0.369  0.967 0.214  0.869 0.065  0.770 -0.083  0.744 -0.254  0.700 -0.409  0.552 -0.508  0.404 -0.606  0.302 -0.747  0.228 -0.908  0.270 -1.068  0.396 -1.194  0.535 -1.300  0.704 -1.357  0.874 -1.413
2#apa#apa09#app0950/i  -0.111 -0.321  -0.111 -0.209  -0.144 -0.130  -0.256 -0.130  -0.302 -0.195  -0.302 -0.307  -0.333 -0.414  -0.369 -0.521  -0.404 -0.627  -0.440 -0.733  -0.475 -0.839  -0.493 -0.948  -0.493 -1.060  -0.415 -1.124  -0.315 -1.174  -0.215 -1.224  -0.115 -1.274  -0.111 -1.168  -0.085 -1.072  0.015 -1.022  0.115 -0.972  0.215 -0.922  0.293 -0.849  0.343 -0.749  0.393 -0.649  0.443 -0.549  0.448 -0.443  0.426 -0.333  0.404 -0.223  0.382 -0.113  0.360 -0.004  0.338 0.106  0.316 0.216  0.295 0.326  0.273 0.436  0.251 0.545  0.229 0.655  0.207 0.765  0.185 0.875  0.163 0.985  0.141 1.094  0.119 1.204  0.097 1.314  0.062 1.417  -0.017 1.496  -0.097 1.575  -0.152 1.672  -0.202 1.772  -0.252 1.872  -0.302 1.972
2#apa#apa09#app0950/n  -0.560 0.084  -0.560 0.223  -0.560 0.362  -0.560 0.502  -0.585 0.536  -0.647 0.412  -0.710 0.287  -0.772 0.162  -0.834 0.038  -0.896 -0.087  -0.959 -0.211  -1.021 -0.336  -1.062 -0.466  -1.062 -0.605  -1.062 -0.594  -1.062 -0.455  -1.016 -0.326  -0.954 -0.202  -0.892 -0.077  -0.829 0.048  -0.723 0.128  -0.598 0.190  -0.474 0.253  -0.349 0.315  -0.230 0.387  -0.114 0.465  0.002 0.542  0.118 0.619  0.233 0.697  0.349 0.774  0.470 0.837  0.609 0.837  0.733 0.799  0.831 0.700  0.930 0.602  0.946 0.469  0.946 0.330  0.946 0.191  0.946 0.051  0.946 -0.088  0.946 -0.227  0.946 -0.367  0.946 -0.506  0.946 -0.645  0.946 -0.785  0.948 -0.924  1.010 -1.048  1.072 -1.173  1.134 -1.297  1.197 -1.422
2#apa#apa09#app0950/g  0.360 1.002  0.263 1.099  0.202 1.222  0.106 1.290  -0.001 1.217  -0.098 1.120  -0.215 1.050  -0.312 0.973  -0.242 0.906  -0.106 0.913  0.017 0.974  0.140 1.036  0.263 1.097  0.378 1.062  0.439 0.939  0.501 0.816  0.555 0.691  0.572 0.555  0.589 0.419  0.606 0.282  0.623 0.146  0.640 0.009  0.636 -0.127  0.614 -0.262  0.591 -0.398  0.568 -0.533  0.552 -0.669  0.552 -0.807  0.467 -0.909  0.369 -1.006  0.272 -1.103  0.175 -1.200  0.043 -1.232  -0.092 -1.259  -0.227 -1.286  -0.348 -1.268  -0.445 -1.171  -0.542 -1.074  -0.639 -0.977  -0.736 -0.879  -0.834 -0.782  -0.889 -0.668  -0.889 -0.530  -0.889 -0.393  -0.849 -0.265  -0.784 -0.146  -0.666 -0.075  -0.548 -0.004  -0.430 0.067  -0.312 0.137
