2#apb#apb31#app3175/S  0.737 0.722  0.834 0.817  0.782 0.934  0.640 0.949  0.499 0.971  0.359 0.995  0.216 0.995  0.073 0.995  -0.070 0.995  -0.212 0.995  -0.353 0.977  -0.490 0.938  -0.625 0.893  -0.751 0.828  -0.851 0.727  -0.856 0.586  -0.822 0.453  -0.732 0.353  -0.595 0.311  -0.459 0.268  -0.317 0.254  -0.175 0.247  -0.034 0.231  0.101 0.183  0.235 0.136  0.370 0.090  0.506 0.045  0.641 -0.001  0.762 -0.074  0.878 -0.157  0.982 -0.251  1.046 -0.378  1.010 -0.507  0.889 -0.583  0.764 -0.649  0.625 -0.681  0.486 -0.714  0.348 -0.750  0.210 -0.788  0.073 -0.825  -0.065 -0.863  -0.202 -0.903  -0.339 -0.942  -0.477 -0.980  -0.616 -1.013  -0.755 -1.045  -0.890 -1.090  -1.023 -1.143  -1.144 -1.218  -1.213 -1.332
2#apb#apb31#app3175/o  0.272 0.792  0.155 0.858  0.033 0.835  -0.069 0.743  -0.162 0.643  -0.243 0.532  -0.325 0.421  -0.410 0.313  -0.497 0.207  -0.583 0.100  -0.645 -0.022  -0.698 -0.149  -0.751 -0.275  -0.789 -0.407  -0.822 -0.540  -0.856 -0.674  -0.863 -0.810  -0.863 -0.948  -0.863 -1.085  -0.808 -1.210  -0.725 -1.296  -0.588 -1.287  -0.454 -1.271  -0.345 -1.187  -0.235 -1.104  -0.126 -1.020  -0.029 -0.923  0.068 -0.826  0.165 -0.729  0.263 -0.632  0.343 -0.520  0.421 -0.407  0.499 -0.294  0.577 -0.181  0.645 -0.063  0.690 0.067  0.735 0.197  0.779 0.327  0.824 0.457  0.848 0.592  0.868 0.728  0.888 0.864  0.831 0.988  0.770 1.110  0.654 1.184  0.535 1.250  0.398 1.250  0.271 1.218  0.162 1.134  0.053 1.051
2#apb#apb31#app3175/l  0.514 1.600  0.465 1.551  0.417 1.502  0.390 1.437  0.363 1.373  0.336 1.309  0.309 1.245  0.283 1.181  0.258 1.116  0.233 1.051  0.207 0.986  0.182 0.922  0.166 0.854  0.149 0.787  0.133 0.719  0.117 0.651  0.100 0.584  0.084 0.516  0.067 0.449  0.050 0.381  0.034 0.314  0.017 0.247  -0.000 0.179  -0.017 0.112  -0.034 0.044  -0.051 -0.023  -0.064 -0.092  -0.076 -0.160  -0.088 -0.228  -0.099 -0.297  -0.111 -0.365  -0.123 -0.434  -0.135 -0.502  -0.147 -0.571  -0.159 -0.639  -0.171 -0.708  -0.183 -0.776  -0.194 -0.845  -0.206 -0.913  -0.218 -0.982  -0.230 -1.050  -0.241 -1.119  -0.253 -1.187  -0.265 -1.256  -0.277 -1.324  -0.289 -1.393  -0.301 -1.461  -0.313 -1.530  -0.325 -1.598  -0.303 -1.656
2#apb#apb31#app3175/l  0.469 1.623  0.476 1.556  0.463 1.487  0.449 1.419  0.436 1.351  0.422 1.283  0.408 1.215  0.395 1.147  0.381 1.079  0.367 1.011  0.354 0.942  0.335 0.876  0.315 0.809  0.294 0.743  0.274 0.676  0.253 0.610  0.233 0.544  0.212 0.477  0.191 0.411  0.166 0.347  0.140 0.282  0.115 0.217  0.090 0.152  0.065 0.088  0.039 0.023  0.014 -0.042  -0.014 -0.105  -0.043 -0.169  -0.072 -0.232  -0.101 -0.295  -0.130 -0.358  -0.159 -0.421  -0.188 -0.484  -0.216 -0.548  -0.240 -0.613  -0.264 -0.678  -0.288 -0.743  -0.312 -0.808  -0.336 -0.874  -0.360 -0.939  -0.383 -1.004  -0.402 -1.071  -0.421 -1.138  -0.441 -1.205  -0.460 -1.271  -0.479 -1.338  -0.493 -1.406  -0.505 -1.474  -0.518 -1.543  -0.530 -1.611
2#apb#apb31#app3175/a  -0.080 0.922  -0.108 1.061  -0.277 0.998  -0.428 0.881  -0.551 0.737  -0.671 0.589  -0.779 0.432  -0.886 0.275  -0.978 0.108  -1.066 -0.061  -1.152 -0.231  -1.228 -0.405  -1.254 -0.590  -1.175 -0.732  -1.003 -0.670  -0.839 -0.575  -0.685 -0.463  -0.531 -0.351  -0.377 -0.239  -0.223 -0.127  -0.087 0.006  0.044 0.144  0.164 0.291  0.261 0.455  0.357 0.619  0.446 0.788  0.521 0.962  0.455 1.053  0.318 0.922  0.199 0.773  0.096 0.613  0.006 0.445  -0.082 0.277  -0.132 0.093  -0.181 -0.091  -0.194 -0.280  -0.194 -0.470  -0.092 -0.629  0.037 -0.756  0.221 -0.806  0.407 -0.837  0.597 -0.829  0.785 -0.807  0.966 -0.747  1.146 -0.686  1.317 -0.602  1.485 -0.514  1.651 -0.420  1.815 -0.323  1.959 -0.203
2#apb#apb31#app3175/K  -0.166 1.471  -0.224 1.284  -0.233 1.069  -0.240 0.854  -0.256 0.640  -0.272 0.425  -0.296 0.212  -0.323 -0.002  -0.349 -0.215  -0.393 -0.426  -0.437 -0.636  -0.478 -0.847  -0.517 -1.059  -0.564 -1.268  -0.624 -1.474  -0.736 -1.654  -0.713 -1.492  -0.664 -1.283  -0.614 -1.073  -0.565 -0.864  -0.516 -0.655  -0.466 -0.445  -0.417 -0.236  -0.368 -0.027  -0.265 0.158  -0.120 0.314  0.045 0.453  0.226 0.569  0.413 0.672  0.614 0.748  0.813 0.831  1.009 0.918  1.205 1.006  1.330 1.043  1.119 1.025  0.912 0.968  0.706 0.904  0.506 0.826  0.337 0.697  0.180 0.550  0.032 0.394  -0.089 0.218  -0.172 0.024  -0.176 -0.187  -0.094 -0.386  0.035 -0.558  0.204 -0.689  0.369 -0.828  0.553 -0.935  0.743 -1.035
2#apb#apb31#app3175/e  -0.439 -0.275  -0.295 -0.241  -0.153 -0.199  -0.015 -0.145  0.121 -0.087  0.247 -0.008  0.372 0.071  0.485 0.166  0.586 0.274  0.688 0.382  0.754 0.512  0.812 0.649  0.868 0.786  0.921 0.925  0.865 1.046  0.759 1.141  0.614 1.171  0.469 1.202  0.325 1.168  0.181 1.132  0.039 1.092  -0.076 0.999  -0.192 0.907  -0.308 0.814  -0.418 0.715  -0.515 0.603  -0.612 0.492  -0.710 0.380  -0.782 0.252  -0.846 0.118  -0.910 -0.016  -0.946 -0.159  -0.972 -0.305  -0.989 -0.450  -0.942 -0.591  -0.895 -0.731  -0.783 -0.825  -0.665 -0.914  -0.530 -0.966  -0.384 -0.991  -0.238 -1.015  -0.090 -1.026  0.058 -1.031  0.206 -1.037  0.354 -1.034  0.502 -1.022  0.650 -1.010  0.797 -0.993  0.944 -0.973  1.091 -0.953
2#apb#apb31#app3175/y  -0.659 0.538  -0.671 0.389  -0.669 0.240  -0.660 0.091  -0.618 -0.052  -0.579 -0.195  -0.545 -0.341  -0.502 -0.483  -0.427 -0.451  -0.337 -0.332  -0.247 -0.214  -0.157 -0.095  -0.067 0.024  0.023 0.143  0.113 0.262  0.203 0.381  0.293 0.500  0.383 0.619  0.473 0.738  0.562 0.857  0.652 0.976  0.742 1.095  0.832 1.214  0.922 1.333  0.942 1.348  0.867 1.219  0.791 1.091  0.719 0.961  0.648 0.829  0.577 0.698  0.507 0.566  0.437 0.435  0.367 0.303  0.297 0.171  0.223 0.042  0.149 -0.087  0.074 -0.216  -0.001 -0.345  -0.077 -0.474  -0.158 -0.599  -0.239 -0.724  -0.320 -0.849  -0.401 -0.974  -0.472 -1.105  -0.534 -1.241  -0.595 -1.376  -0.657 -1.512  -0.700 -1.654  -0.735 -1.799  -0.769 -1.944
2#apb#apb31#app3175/W  -0.725 1.015  -0.832 0.925  -0.881 0.758  -0.912 0.587  -0.936 0.415  -0.962 0.243  -0.969 0.070  -0.954 -0.103  -0.940 -0.277  -0.930 -0.450  -0.920 -0.624  -0.900 -0.797  -0.877 -0.969  -0.826 -1.135  -0.754 -1.290  -0.621 -1.308  -0.502 -1.185  -0.406 -1.040  -0.323 -0.888  -0.249 -0.730  -0.175 -0.573  -0.108 -0.412  -0.043 -0.251  0.022 -0.090  0.074 0.076  0.124 0.243  0.174 0.409  0.206 0.581  0.237 0.752  0.293 0.916  0.277 0.819  0.257 0.646  0.240 0.473  0.228 0.299  0.223 0.126  0.229 -0.048  0.249 -0.220  0.296 -0.385  0.437 -0.410  0.590 -0.328  0.731 -0.225  0.855 -0.104  0.958 0.036  1.062 0.175  1.168 0.313  1.252 0.466  1.323 0.624  1.378 0.789  1.412 0.959  1.451 1.129
2#apb#apb31#app3175/e  -0.791 -0.654  -0.800 -0.788  -0.659 -0.762  -0.524 -0.715  -0.411 -0.624  -0.299 -0.532  -0.189 -0.437  -0.084 -0.338  0.021 -0.238  0.124 -0.137  0.216 -0.025  0.308 0.087  0.401 0.198  0.491 0.311  0.577 0.428  0.663 0.544  0.750 0.661  0.827 0.783  0.894 0.911  0.962 1.039  0.965 1.183  0.917 1.300  0.790 1.368  0.649 1.338  0.512 1.298  0.406 1.199  0.300 1.100  0.200 0.996  0.118 0.877  0.036 0.758  -0.047 0.639  -0.128 0.519  -0.199 0.392  -0.269 0.266  -0.339 0.139  -0.410 0.013  -0.461 -0.123  -0.512 -0.258  -0.564 -0.394  -0.615 -0.529  -0.631 -0.673  -0.644 -0.817  -0.657 -0.961  -0.596 -1.093  -0.528 -1.219  -0.415 -1.308  -0.301 -1.398  -0.163 -1.428  -0.019 -1.442  0.125 -1.456
2#apb#apb31#app3175/s  0.474 1.265  0.448 1.398  0.410 1.525  0.330 1.614  0.216 1.551  0.110 1.468  0.015 1.372  -0.080 1.277  -0.170 1.178  -0.238 1.062  -0.307 0.946  -0.375 0.830  -0.435 0.710  -0.495 0.589  -0.555 0.469  -0.578 0.338  -0.589 0.204  -0.569 0.073  -0.532 -0.057  -0.482 -0.179  -0.397 -0.285  -0.303 -0.370  -0.169 -0.384  -0.038 -0.365  0.091 -0.325  0.219 -0.285  0.351 -0.257  0.483 -0.231  0.607 -0.186  0.721 -0.113  0.841 -0.062  0.963 -0.082  0.950 -0.186  0.844 -0.269  0.738 -0.352  0.633 -0.436  0.528 -0.520  0.416 -0.595  0.298 -0.660  0.181 -0.725  0.063 -0.790  -0.051 -0.862  -0.163 -0.937  -0.275 -1.012  -0.388 -1.084  -0.504 -1.153  -0.620 -1.221  -0.738 -1.283  -0.872 -1.298  -1.006 -1.303
2#apb#apb31#app3175/t  0.666 0.949  0.472 0.988  0.323 0.831  0.191 0.659  0.077 0.474  -0.023 0.282  -0.079 0.073  -0.132 -0.137  -0.191 -0.346  -0.245 -0.556  -0.278 -0.770  -0.318 -0.983  -0.362 -1.195  -0.285 -1.377  -0.072 -1.375  0.116 -1.266  0.297 -1.146  0.467 -1.011  0.644 -0.887  0.825 -0.766  0.803 -0.614  0.620 -0.498  0.436 -0.382  0.252 -0.267  0.069 -0.151  -0.115 -0.035  -0.298 0.080  -0.482 0.196  -0.665 0.312  -0.849 0.427  -1.032 0.543  -1.216 0.659  -1.400 0.768  -1.553 0.641  -1.406 0.495  -1.196 0.440  -0.982 0.410  -0.766 0.387  -0.550 0.366  -0.334 0.348  -0.118 0.331  0.099 0.320  0.315 0.333  0.532 0.345  0.749 0.358  0.965 0.358  1.182 0.358  1.399 0.356  1.616 0.344  1.832 0.331
