1c#apa#apa04#app0445/b  -0.232 1.526  -0.284 1.647  -0.353 1.543  -0.369 1.374  -0.446 1.219  -0.474 1.053  -0.474 0.879  -0.474 0.706  -0.474 0.533  -0.474 0.360  -0.474 0.187  -0.500 0.020  -0.578 -0.135  -0.595 -0.304  -0.595 -0.477  -0.513 -0.451  -0.474 -0.294  -0.425 -0.170  -0.353 -0.069  -0.353 0.105  -0.353 0.278  -0.232 0.330  -0.185 0.483  -0.062 0.606  0.010 0.749  0.133 0.799  0.306 0.799  0.479 0.799  0.531 0.678  0.616 0.590  0.679 0.432  0.737 0.272  0.804 0.127  0.858 -0.024  0.858 -0.197  0.858 -0.370  0.858 -0.543  0.815 -0.698  0.737 -0.839  0.656 -0.978  0.533 -1.101  0.376 -1.139  0.324 -1.260  0.151 -1.260  0.099 -1.381  -0.074 -1.381  -0.232 -1.366  -0.299 -1.260  -0.472 -1.260  -0.595 -1.139
1c#apa#apa04#app0445/h  -0.362 1.887  -0.238 1.866  -0.238 1.721  -0.238 1.577  -0.238 1.433  -0.238 1.288  -0.328 1.181  -0.362 1.050  -0.362 0.906  -0.362 0.762  -0.378 0.621  -0.442 0.492  -0.485 0.358  -0.485 0.213  -0.485 0.069  -0.485 -0.076  -0.485 -0.220  -0.485 -0.365  -0.485 -0.509  -0.485 -0.653  -0.552 -0.770  -0.608 -0.891  -0.608 -1.036  -0.608 -1.180  -0.485 -1.191  -0.459 -1.073  -0.328 -1.040  -0.238 -0.933  -0.211 -0.799  -0.115 -0.695  -0.094 -0.559  0.008 -0.457  0.023 -0.319  0.125 -0.216  0.140 -0.078  0.242 0.024  0.344 0.126  0.446 0.228  0.567 0.284  0.712 0.284  0.748 0.176  0.872 0.155  0.872 0.010  0.906 -0.120  0.995 -0.227  0.995 -0.372  0.995 -0.516  0.995 -0.661  0.995 -0.805  0.995 -0.950
1c#apa#apa04#app0445/a  0.410 0.475  0.410 0.658  0.316 0.802  0.186 0.932  0.177 1.111  0.057 1.174  -0.126 1.174  -0.290 1.155  -0.290 0.972  -0.442 0.941  -0.523 0.839  -0.575 0.708  -0.758 0.706  -0.887 0.577  -0.989 0.436  -0.989 0.253  -1.111 0.120  -1.222 -0.017  -1.222 -0.200  -1.222 -0.383  -1.146 -0.535  -1.016 -0.664  -0.887 -0.794  -0.757 -0.923  -0.574 -0.924  -0.391 -0.924  -0.208 -0.924  -0.057 -0.893  -0.057 -0.709  0.108 -0.691  0.177 -0.576  0.241 -0.458  0.410 -0.443  0.410 -0.260  0.410 -0.077  0.410 0.106  0.410 0.289  0.410 0.472  0.590 0.475  0.643 0.344  0.700 0.185  0.829 0.055  0.876 -0.109  0.876 -0.292  0.893 -0.458  1.076 -0.458  1.109 -0.608  1.109 -0.791  1.159 -0.924  1.342 -0.924
1c#apa#apa04#app0445/r  -0.458 0.200  -0.458 0.081  -0.458 -0.038  -0.458 -0.157  -0.458 -0.276  -0.458 -0.395  -0.458 -0.514  -0.400 -0.609  -0.316 -0.693  -0.270 -0.793  -0.270 -0.912  -0.270 -1.031  -0.270 -1.150  -0.270 -1.269  -0.270 -1.388  -0.270 -1.471  -0.270 -1.352  -0.270 -1.233  -0.270 -1.114  -0.270 -0.995  -0.270 -0.876  -0.270 -0.757  -0.270 -0.638  -0.270 -0.519  -0.270 -0.400  -0.270 -0.281  -0.270 -0.162  -0.270 -0.043  -0.242 0.069  -0.189 0.175  -0.136 0.282  -0.083 0.388  -0.083 0.507  -0.047 0.611  0.037 0.695  0.105 0.786  0.105 0.905  0.178 0.951  0.292 0.955  0.292 1.074  0.348 1.138  0.467 1.138  0.586 1.138  0.705 1.138  0.823 1.138  0.942 1.138  1.061 1.138  1.180 1.138  1.299 1.138  1.418 1.138
1c#apa#apa04#app0445/m  -1.102 0.321  -1.102 0.122  -1.186 -0.042  -1.242 -0.218  -1.270 -0.405  -1.381 -0.558  -1.381 -0.757  -1.221 -0.795  -1.045 -0.738  -0.963 -0.574  -0.823 -0.514  -0.823 -0.315  -0.738 -0.152  -0.684 0.024  -0.684 0.223  -0.612 0.392  -0.471 0.533  -0.405 0.704  -0.331 0.886  -0.214 1.018  -0.126 0.908  -0.126 0.709  -0.126 0.510  -0.126 0.311  -0.126 0.112  -0.126 -0.087  -0.126 -0.285  -0.126 -0.484  -0.008 -0.634  0.174 -0.635  0.314 -0.495  0.455 -0.354  0.572 -0.203  0.665 -0.098  0.779 0.039  0.851 0.221  0.851 0.420  0.963 0.572  1.103 0.713  1.130 0.857  1.130 0.658  1.129 0.459  0.990 0.318  0.990 0.119  0.990 -0.080  0.990 -0.279  1.091 -0.377  1.130 -0.537  1.130 -0.736  1.269 -0.795
1c#apa#apa04#app0445/s  0.796 1.273  0.667 1.273  0.539 1.273  0.410 1.273  0.282 1.273  0.154 1.273  0.025 1.273  -0.103 1.273  -0.206 1.211  -0.296 1.120  -0.410 1.085  -0.519 1.065  -0.519 0.937  -0.582 0.835  -0.672 0.744  -0.707 0.630  -0.707 0.501  -0.707 0.373  -0.644 0.271  -0.554 0.180  -0.519 0.066  -0.499 -0.042  -0.371 -0.042  -0.242 -0.042  -0.123 -0.063  -0.032 -0.154  0.065 -0.230  0.193 -0.230  0.232 -0.320  0.262 -0.418  0.391 -0.418  0.519 -0.418  0.608 -0.458  0.608 -0.586  0.716 -0.606  0.796 -0.655  0.796 -0.783  0.678 -0.794  0.566 -0.835  0.476 -0.926  0.370 -0.982  0.242 -0.982  0.114 -0.982  0.003 -1.023  -0.088 -1.114  -0.194 -1.169  -0.322 -1.169  -0.450 -1.169  -0.519 -1.229  -0.519 -1.357
1c#apa#apa04#app0445/e  -0.686 0.763  -0.579 0.656  -0.458 0.579  -0.317 0.568  -0.317 0.415  -0.186 0.394  -0.034 0.394  0.100 0.347  0.207 0.240  0.347 0.209  0.499 0.209  0.652 0.209  0.804 0.209  0.957 0.209  1.109 0.209  1.162 0.308  1.162 0.460  1.139 0.602  1.031 0.710  0.901 0.763  0.761 0.795  0.653 0.903  0.520 0.948  0.384 0.909  0.276 0.801  0.139 0.763  0.006 0.717  -0.101 0.609  -0.209 0.501  -0.317 0.393  -0.424 0.286  -0.532 0.178  -0.640 0.070  -0.748 -0.038  -0.855 -0.145  -0.871 -0.291  -0.871 -0.444  -0.871 -0.596  -0.871 -0.748  -0.871 -0.901  -0.763 -1.008  -0.656 -1.116  -0.548 -1.224  -0.415 -1.270  -0.278 -1.309  -0.170 -1.416  -0.034 -1.455  0.118 -1.455  0.271 -1.455  0.423 -1.455
1c#apa#apa04#app0445/l  0.097 1.551  0.170 1.551  0.243 1.551  0.268 1.502  0.268 1.429  0.268 1.356  0.268 1.283  0.268 1.210  0.245 1.140  0.222 1.071  0.198 1.002  0.175 0.932  0.152 0.863  0.129 0.794  0.106 0.724  0.097 0.653  0.097 0.580  0.097 0.507  0.097 0.433  0.097 0.360  0.097 0.287  0.097 0.214  0.065 0.154  0.014 0.103  -0.038 0.051  -0.073 -0.007  -0.073 -0.081  -0.073 -0.154  -0.073 -0.227  -0.073 -0.300  -0.073 -0.373  -0.073 -0.446  -0.073 -0.519  -0.073 -0.592  -0.073 -0.665  -0.073 -0.738  -0.073 -0.811  -0.107 -0.871  -0.158 -0.922  -0.210 -0.974  -0.244 -1.033  -0.244 -1.106  -0.244 -1.179  -0.244 -1.252  -0.244 -1.325  -0.244 -1.398  -0.244 -1.472  -0.244 -1.545  -0.244 -1.618  -0.244 -1.691
1c#apa#apa04#app0445/l  0.289 1.681  0.289 1.610  0.289 1.538  0.289 1.467  0.289 1.395  0.289 1.323  0.289 1.252  0.289 1.180  0.289 1.109  0.272 1.041  0.240 0.977  0.208 0.913  0.176 0.849  0.144 0.785  0.137 0.715  0.137 0.643  0.137 0.572  0.137 0.500  0.120 0.433  0.088 0.369  0.056 0.304  0.024 0.240  -0.008 0.176  -0.014 0.106  -0.014 0.035  -0.014 -0.037  -0.014 -0.109  -0.014 -0.180  -0.014 -0.252  -0.029 -0.320  -0.061 -0.384  -0.093 -0.448  -0.125 -0.512  -0.157 -0.576  -0.166 -0.646  -0.166 -0.717  -0.166 -0.789  -0.166 -0.860  -0.166 -0.932  -0.166 -1.003  -0.184 -1.068  -0.235 -1.118  -0.285 -1.169  -0.318 -1.227  -0.318 -1.299  -0.318 -1.370  -0.318 -1.442  -0.318 -1.513  -0.318 -1.585  -0.318 -1.657
1c#apa#apa04#app0445/e  -0.369 0.303  -0.234 0.303  -0.119 0.257  -0.023 0.162  0.085 0.099  0.220 0.099  0.355 0.099  0.490 0.099  0.625 0.099  0.760 0.099  0.857 0.136  0.857 0.270  0.930 0.375  1.025 0.471  1.062 0.590  1.062 0.725  1.062 0.860  0.984 0.916  0.849 0.916  0.714 0.916  0.579 0.916  0.444 0.916  0.310 0.916  0.195 0.867  0.100 0.772  -0.010 0.712  -0.145 0.712  -0.246 0.631  -0.341 0.535  -0.437 0.440  -0.532 0.345  -0.574 0.227  -0.578 0.094  -0.674 -0.001  -0.769 -0.097  -0.778 -0.228  -0.778 -0.362  -0.778 -0.497  -0.778 -0.632  -0.778 -0.767  -0.778 -0.902  -0.778 -1.037  -0.747 -1.159  -0.652 -1.254  -0.557 -1.349  -0.461 -1.445  -0.365 -1.537  -0.230 -1.537  -0.095 -1.537  0.040 -1.537
1c#apa#apa04#app0445/r  -0.235 0.616  -0.235 0.478  -0.235 0.339  -0.235 0.201  -0.235 0.062  -0.235 -0.077  -0.235 -0.215  -0.235 -0.354  -0.235 -0.492  -0.235 -0.631  -0.235 -0.769  -0.235 -0.908  -0.235 -1.046  -0.330 -1.145  -0.420 -1.247  -0.420 -1.385  -0.523 -1.421  -0.605 -1.365  -0.596 -1.236  -0.457 -1.236  -0.420 -1.134  -0.420 -0.996  -0.420 -0.857  -0.420 -0.719  -0.349 -0.609  -0.251 -0.511  -0.235 -0.380  -0.235 -0.241  -0.235 -0.103  -0.235 0.036  -0.154 0.141  -0.056 0.239  -0.050 0.375  -0.050 0.513  -0.024 0.641  0.074 0.739  0.136 0.852  0.140 0.986  0.278 0.986  0.321 1.083  0.370 1.172  0.509 1.172  0.647 1.172  0.786 1.172  0.924 1.172  1.061 1.170  1.061 1.032  1.155 0.986  1.247 0.940  1.247 0.801
1c#apa#apa04#app0445/i  0.066 -0.085  0.143 -0.162  0.221 -0.239  0.233 -0.344  0.199 -0.419  0.090 -0.419  0.066 -0.505  0.046 -0.606  -0.031 -0.683  -0.112 -0.753  -0.221 -0.753  -0.268 -0.816  -0.268 -0.925  -0.268 -1.034  -0.268 -1.144  -0.268 -1.253  -0.268 -1.363  -0.260 -1.373  -0.242 -1.265  -0.224 -1.157  -0.206 -1.049  -0.188 -0.941  -0.170 -0.833  -0.152 -0.725  -0.134 -0.617  -0.116 -0.509  -0.098 -0.401  -0.080 -0.293  -0.062 -0.185  -0.044 -0.077  -0.026 0.031  -0.008 0.139  0.010 0.247  0.028 0.355  0.046 0.463  0.064 0.571  0.082 0.679  0.100 0.787  0.118 0.895  0.136 1.003  0.154 1.111  0.172 1.218  0.190 1.326  0.208 1.434  0.226 1.542  0.233 1.651  0.233 1.761  0.233 1.870  0.291 1.922  0.400 1.922
1c#apa#apa04#app0445/n  -0.385 0.472  -0.507 0.350  -0.594 0.214  -0.606 0.053  -0.778 0.053  -0.950 0.053  -1.090 -0.024  -1.212 -0.146  -1.222 -0.314  -1.222 -0.486  -1.222 -0.658  -1.190 -0.817  -1.068 -0.939  -0.918 -0.993  -0.804 -0.936  -0.783 -0.784  -0.611 -0.784  -0.439 -0.784  -0.385 -0.665  -0.328 -0.517  -0.206 -0.395  -0.084 -0.274  0.033 -0.150  0.033 0.022  0.033 0.194  0.107 0.336  0.229 0.458  0.243 0.624  0.324 0.763  0.446 0.884  0.452 1.054  0.542 1.189  0.664 1.309  0.836 1.309  0.871 1.171  0.871 0.999  0.871 0.827  0.871 0.654  0.871 0.482  0.871 0.310  0.871 0.138  0.783 0.053  0.661 0.003  0.661 -0.169  0.661 -0.342  0.661 -0.514  0.661 -0.686  0.736 -0.784  0.871 -0.821  0.871 -0.993
1c#apa#apa04#app0445/c  1.282 1.056  1.193 1.056  1.103 1.056  1.014 1.056  0.924 1.056  0.835 1.056  0.746 1.056  0.670 1.022  0.607 0.959  0.544 0.896  0.468 0.863  0.378 0.863  0.297 0.843  0.234 0.779  0.171 0.716  0.125 0.646  0.125 0.556  0.115 0.477  0.025 0.477  -0.064 0.477  -0.129 0.417  -0.192 0.353  -0.255 0.290  -0.318 0.227  -0.382 0.164  -0.445 0.100  -0.508 0.037  -0.571 -0.026  -0.634 -0.089  -0.646 -0.174  -0.646 -0.263  -0.646 -0.353  -0.646 -0.442  -0.646 -0.531  -0.646 -0.621  -0.646 -0.710  -0.646 -0.800  -0.632 -0.880  -0.552 -0.920  -0.472 -0.960  -0.392 -1.000  -0.312 -1.040  -0.238 -1.088  -0.174 -1.152  -0.111 -1.215  -0.040 -1.258  0.050 -1.258  0.139 -1.258  0.228 -1.258  0.318 -1.258
1c#apa#apa04#app0445/e  -0.370 0.106  -0.222 0.106  -0.109 0.188  -0.001 0.284  0.146 0.284  0.294 0.284  0.441 0.284  0.569 0.332  0.673 0.436  0.810 0.462  0.958 0.462  1.056 0.511  1.056 0.659  1.056 0.806  0.921 0.819  0.878 0.923  0.804 0.997  0.657 0.997  0.509 0.997  0.362 0.997  0.252 0.906  0.141 0.819  -0.007 0.819  -0.113 0.719  -0.228 0.641  -0.374 0.637  -0.478 0.532  -0.583 0.428  -0.687 0.324  -0.726 0.192  -0.769 0.063  -0.874 -0.042  -0.905 -0.176  -0.905 -0.324  -0.905 -0.471  -0.905 -0.619  -0.905 -0.766  -0.776 -0.786  -0.726 -0.883  -0.679 -1.011  -0.575 -1.115  -0.438 -1.142  -0.291 -1.142  -0.143 -1.142  0.004 -1.142  0.152 -1.142  0.285 -1.202  0.417 -1.268  0.552 -1.320  0.700 -1.320
1c#apa#apa04#app0445/w  -0.646 1.073  -0.646 0.905  -0.789 0.880  -0.839 0.761  -0.839 0.593  -0.908 0.494  -1.032 0.449  -1.051 0.301  -1.220 0.301  -1.224 0.138  -1.224 -0.030  -1.224 -0.199  -1.224 -0.367  -1.179 -0.516  -1.060 -0.635  -0.903 -0.664  -0.735 -0.664  -0.567 -0.664  -0.453 -0.610  -0.424 -0.471  -0.260 -0.466  -0.260 -0.298  -0.155 -0.173  -0.067 -0.041  -0.054 0.121  0.065 0.240  0.184 0.359  0.303 0.478  0.319 0.640  0.319 0.566  0.319 0.398  0.319 0.230  0.352 0.075  0.471 -0.044  0.512 -0.195  0.512 -0.363  0.512 -0.532  0.548 -0.664  0.716 -0.664  0.885 -0.664  1.053 -0.664  1.091 -0.533  1.165 -0.396  1.284 -0.277  1.284 -0.109  1.284 0.060  1.284 0.228  1.326 0.386  1.401 0.537  1.477 0.687
1c#apa#apa04#app0445/i  -0.139 0.488  -0.139 0.358  -0.240 0.328  -0.299 0.257  -0.328 0.139  -0.420 0.047  -0.512 -0.045  -0.604 -0.137  -0.618 -0.262  -0.618 -0.392  -0.618 -0.522  -0.618 -0.652  -0.618 -0.782  -0.532 -0.877  -0.432 -0.950  -0.302 -0.950  -0.299 -1.077  -0.202 -1.110  -0.071 -1.110  0.059 -1.110  0.189 -1.110  0.319 -1.110  0.449 -1.110  0.580 -1.110  0.647 -1.062  0.612 -0.937  0.577 -0.811  0.542 -0.686  0.507 -0.560  0.472 -0.435  0.438 -0.309  0.403 -0.184  0.368 -0.058  0.333 0.067  0.298 0.192  0.263 0.318  0.228 0.443  0.194 0.569  0.159 0.694  0.124 0.820  0.089 0.945  0.054 1.071  0.019 1.196  -0.016 1.322  -0.050 1.447  -0.085 1.572  -0.120 1.698  -0.080 1.766  0.021 1.796  0.021 1.926
1c#apa#apa04#app0445/n  -1.089 0.304  -1.089 0.163  -1.089 0.021  -1.089 -0.120  -0.953 -0.126  -0.874 -0.188  -0.874 -0.329  -0.874 -0.470  -0.874 -0.612  -0.874 -0.753  -0.874 -0.894  -0.874 -0.933  -0.874 -0.792  -0.756 -0.770  -0.660 -0.724  -0.660 -0.583  -0.660 -0.441  -0.620 -0.340  -0.479 -0.340  -0.445 -0.232  -0.421 -0.101  -0.321 -0.001  -0.230 0.102  -0.230 0.244  -0.149 0.304  -0.016 0.312  -0.016 0.453  -0.016 0.594  -0.014 0.735  0.086 0.835  0.185 0.934  0.321 0.948  0.462 0.948  0.604 0.948  0.745 0.948  0.874 0.917  0.973 0.817  1.058 0.711  1.058 0.570  1.058 0.428  1.058 0.287  1.058 0.146  1.058 0.005  1.058 -0.137  1.058 -0.278  1.058 -0.419  1.058 -0.560  1.058 -0.702  1.058 -0.843  1.058 -0.984
