2#apb#apb40#app4068/S  -1.080 -0.810  -1.201 -0.906  -1.276 -1.011  -1.171 -0.899  -1.069 -0.783  -0.972 -0.664  -0.874 -0.545  -0.776 -0.426  -0.671 -0.313  -0.562 -0.205  -0.453 -0.096  -0.344 0.013  -0.235 0.122  -0.129 0.234  -0.022 0.345  0.084 0.456  0.191 0.567  0.293 0.683  0.387 0.804  0.481 0.926  0.576 1.048  0.653 1.181  0.728 1.316  0.796 1.454  0.809 1.428  0.785 1.275  0.758 1.124  0.729 0.972  0.700 0.821  0.671 0.670  0.644 0.518  0.617 0.366  0.590 0.215  0.562 0.063  0.540 -0.089  0.518 -0.242  0.497 -0.394  0.495 -0.548  0.493 -0.702  0.459 -0.850  0.322 -0.906  0.170 -0.883  0.018 -0.854  -0.132 -0.822  -0.278 -0.774  -0.421 -0.715  -0.556 -0.644  -0.687 -0.562  -0.814 -0.476  -0.841 -0.484
2#apb#apb40#app4068/t  -1.105 -1.490  -1.070 -1.303  -0.955 -1.121  -0.832 -0.944  -0.692 -0.781  -0.546 -0.621  -0.401 -0.462  -0.241 -0.317  -0.079 -0.174  0.082 -0.031  0.224 0.132  0.365 0.295  0.506 0.458  0.618 0.643  0.725 0.830  0.833 1.017  0.929 1.210  1.026 1.403  1.103 1.563  0.983 1.387  0.878 1.198  0.772 1.010  0.662 0.825  0.551 0.640  0.441 0.454  0.331 0.268  0.224 0.081  0.117 -0.107  0.010 -0.294  -0.061 -0.497  -0.126 -0.703  -0.156 -0.914  -0.123 -1.122  -0.021 -1.312  0.016 -1.259  -0.098 -1.076  -0.212 -0.893  -0.326 -0.710  -0.440 -0.526  -0.554 -0.343  -0.668 -0.160  -0.781 0.023  -0.882 0.213  -0.776 0.377  -0.576 0.454  -0.366 0.502  -0.151 0.524  0.064 0.545  0.279 0.551  0.495 0.558
2#apb#apb40#app4068/o  -0.369 0.122  -0.369 0.299  -0.496 0.220  -0.636 0.113  -0.776 0.005  -0.865 -0.147  -0.954 -0.300  -1.043 -0.452  -1.103 -0.618  -1.162 -0.785  -1.090 -0.945  -0.981 -1.069  -0.815 -1.107  -0.641 -1.078  -0.475 -1.027  -0.327 -0.931  -0.184 -0.830  -0.084 -0.685  0.016 -0.539  0.067 -0.371  0.113 -0.201  0.064 -0.032  0.012 0.137  -0.061 0.298  -0.133 0.459  -0.245 0.591  -0.377 0.707  -0.528 0.725  -0.641 0.595  -0.696 0.430  -0.676 0.255  -0.543 0.139  -0.376 0.093  -0.203 0.071  -0.030 0.107  0.142 0.145  0.300 0.224  0.457 0.303  0.617 0.378  0.778 0.451  0.939 0.524  1.099 0.598  1.262 0.663  1.432 0.712  1.598 0.675  1.699 0.536  1.703 0.361  1.635 0.200  1.536 0.055  1.412 -0.071
2#apb#apb40#app4068/n  0.265 0.749  0.125 0.629  -0.006 0.497  -0.128 0.357  -0.249 0.216  -0.383 0.087  -0.518 -0.040  -0.652 -0.169  -0.779 -0.304  -0.907 -0.439  -1.045 -0.562  -1.195 -0.672  -1.327 -0.802  -1.478 -0.892  -1.425 -0.745  -1.316 -0.595  -1.197 -0.452  -1.078 -0.309  -0.957 -0.168  -0.826 -0.037  -0.695 0.094  -0.563 0.226  -0.429 0.354  -0.289 0.477  -0.150 0.600  -0.011 0.723  0.140 0.830  0.299 0.926  0.466 0.993  0.587 0.898  0.617 0.722  0.578 0.540  0.531 0.361  0.456 0.191  0.381 0.021  0.304 -0.147  0.217 -0.312  0.140 -0.479  0.131 -0.657  0.315 -0.668  0.498 -0.649  0.659 -0.555  0.819 -0.462  0.980 -0.368  1.130 -0.259  1.280 -0.149  1.431 -0.041  1.591 0.053  1.752 0.147  1.912 0.240
2#apb#apb40#app4068/U  -0.092 0.965  -0.144 1.058  -0.235 0.913  -0.327 0.767  -0.409 0.617  -0.491 0.465  -0.572 0.314  -0.655 0.164  -0.745 0.018  -0.834 -0.129  -0.924 -0.276  -1.013 -0.422  -1.100 -0.570  -1.187 -0.719  -1.274 -0.867  -1.304 -1.034  -1.186 -1.088  -1.021 -1.068  -0.867 -0.992  -0.713 -0.915  -0.562 -0.834  -0.421 -0.736  -0.280 -0.638  -0.139 -0.540  0.001 -0.440  0.138 -0.336  0.274 -0.232  0.411 -0.128  0.538 -0.014  0.655 0.112  0.771 0.239  0.880 0.370  0.964 0.520  1.048 0.670  1.105 0.830  1.147 0.997  1.152 1.153  1.030 1.035  0.929 0.896  0.828 0.757  0.744 0.608  0.665 0.455  0.586 0.303  0.507 0.150  0.435 -0.006  0.363 -0.161  0.294 -0.318  0.288 -0.490  0.314 -0.649  0.431 -0.775
2#apb#apb40#app4068/r  -1.463 -1.026  -1.491 -0.917  -1.471 -0.789  -1.409 -0.681  -1.320 -0.587  -1.230 -0.493  -1.141 -0.399  -1.051 -0.306  -0.960 -0.213  -0.870 -0.119  -0.780 -0.026  -0.689 0.067  -0.599 0.160  -0.504 0.249  -0.404 0.332  -0.304 0.414  -0.204 0.497  -0.104 0.579  -0.003 0.662  0.099 0.742  0.204 0.818  0.309 0.894  0.415 0.970  0.521 1.044  0.639 1.098  0.753 1.138  0.828 1.033  0.814 0.907  0.789 0.780  0.765 0.652  0.732 0.528  0.671 0.413  0.610 0.298  0.549 0.184  0.489 0.069  0.428 -0.046  0.360 -0.156  0.291 -0.266  0.222 -0.377  0.153 -0.487  0.105 -0.607  0.126 -0.716  0.212 -0.812  0.327 -0.851  0.457 -0.859  0.584 -0.851  0.705 -0.805  0.827 -0.759  0.948 -0.712  1.069 -0.666
2#apb#apb40#app4068/b  -1.543 -1.365  -1.477 -1.218  -1.364 -1.072  -1.240 -0.936  -1.117 -0.799  -0.982 -0.674  -0.840 -0.555  -0.699 -0.436  -0.558 -0.317  -0.421 -0.194  -0.284 -0.070  -0.148 0.054  -0.012 0.178  0.119 0.309  0.249 0.439  0.380 0.569  0.489 0.718  0.594 0.869  0.699 1.021  0.787 1.183  0.874 1.345  0.835 1.439  0.694 1.321  0.562 1.192  0.429 1.064  0.311 0.923  0.199 0.776  0.088 0.629  -0.024 0.482  -0.124 0.328  -0.216 0.168  -0.308 0.008  -0.399 -0.152  -0.468 -0.321  -0.514 -0.500  -0.516 -0.676  -0.437 -0.838  -0.279 -0.914  -0.109 -0.860  0.045 -0.761  0.182 -0.638  0.306 -0.501  0.413 -0.353  0.476 -0.180  0.557 -0.014  0.637 -0.055  0.770 -0.171  0.950 -0.187  1.132 -0.159  1.305 -0.098
2#apb#apb40#app4068/a  1.201 1.043  1.201 1.200  1.096 1.278  0.940 1.264  0.799 1.202  0.664 1.123  0.529 1.045  0.393 0.966  0.268 0.872  0.144 0.776  0.020 0.681  -0.104 0.585  -0.228 0.489  -0.352 0.394  -0.466 0.286  -0.576 0.175  -0.687 0.065  -0.798 -0.046  -0.909 -0.157  -1.019 -0.268  -1.103 -0.400  -1.183 -0.534  -1.264 -0.668  -1.289 -0.818  -1.252 -0.957  -1.117 -0.999  -0.964 -0.965  -0.811 -0.931  -0.669 -0.868  -0.527 -0.800  -0.386 -0.732  -0.245 -0.664  -0.115 -0.578  0.011 -0.485  0.137 -0.392  0.263 -0.299  0.380 -0.195  0.494 -0.088  0.609 0.019  0.714 0.134  0.818 0.252  0.802 0.234  0.682 0.133  0.563 0.032  0.489 -0.102  0.433 -0.248  0.444 -0.400  0.503 -0.523  0.657 -0.552  0.811 -0.581
2#apb#apb40#app4068/n  0.126 0.353  -0.033 0.314  -0.187 0.245  -0.218 0.331  -0.109 0.456  -0.073 0.397  -0.156 0.251  -0.247 0.110  -0.351 -0.022  -0.455 -0.154  -0.567 -0.280  -0.686 -0.399  -0.805 -0.517  -0.926 -0.633  -1.051 -0.747  -1.164 -0.871  -1.309 -0.906  -1.340 -0.751  -1.289 -0.593  -1.225 -0.437  -1.143 -0.291  -1.049 -0.151  -0.956 -0.012  -0.844 0.113  -0.722 0.229  -0.601 0.345  -0.472 0.451  -0.323 0.529  -0.174 0.606  -0.025 0.684  0.136 0.733  0.298 0.779  0.462 0.809  0.630 0.809  0.795 0.794  0.949 0.728  1.071 0.626  1.151 0.478  1.189 0.317  1.209 0.150  1.177 -0.012  1.121 -0.170  1.046 -0.319  0.956 -0.461  0.868 -0.605  0.787 -0.751  0.909 -0.755  1.060 -0.681  1.207 -0.600  1.354 -0.518
2#apb#apb40#app4068/V  -0.608 1.127  -0.487 1.191  -0.364 1.247  -0.232 1.283  -0.103 1.245  -0.047 1.120  -0.014 0.992  -0.034 0.857  -0.054 0.723  -0.110 0.599  -0.171 0.477  -0.232 0.355  -0.293 0.233  -0.367 0.118  -0.441 0.004  -0.515 -0.110  -0.590 -0.225  -0.670 -0.334  -0.753 -0.443  -0.836 -0.551  -0.919 -0.659  -0.973 -0.785  -1.027 -0.910  -1.015 -1.036  -0.882 -1.066  -0.748 -1.044  -0.615 -1.017  -0.483 -0.984  -0.359 -0.927  -0.235 -0.870  -0.111 -0.814  0.013 -0.757  0.132 -0.690  0.249 -0.620  0.365 -0.550  0.482 -0.479  0.599 -0.408  0.710 -0.330  0.822 -0.251  0.934 -0.173  1.031 -0.078  1.127 0.019  1.168 0.148  1.158 0.280  1.116 0.408  1.042 0.523  0.960 0.631  0.867 0.731  0.786 0.840  0.724 0.959
2#apb#apb40#app4068/o  -0.209 0.396  -0.361 0.486  -0.546 0.486  -0.669 0.351  -0.729 0.176  -0.781 -0.002  -0.848 -0.173  -0.943 -0.332  -1.022 -0.499  -1.072 -0.674  -1.087 -0.859  -1.021 -1.031  -0.891 -1.148  -0.728 -1.236  -0.546 -1.248  -0.361 -1.248  -0.185 -1.206  -0.017 -1.130  0.152 -1.053  0.307 -0.955  0.455 -0.843  0.602 -0.731  0.734 -0.604  0.842 -0.454  0.951 -0.304  1.011 -0.132  1.049 0.049  1.068 0.231  1.046 0.414  1.009 0.593  0.922 0.757  0.835 0.920  0.674 1.004  0.505 1.078  0.323 1.095  0.138 1.095  -0.028 1.041  -0.172 0.924  -0.315 0.807  -0.452 0.683  -0.573 0.550  -0.586 0.369  -0.440 0.255  -0.269 0.227  -0.085 0.243  0.100 0.259  0.282 0.291  0.463 0.326  0.645 0.361  0.827 0.396
2#apb#apb40#app4068/g  0.510 0.798  0.608 0.885  0.664 1.002  0.698 1.128  0.696 1.257  0.596 1.327  0.466 1.308  0.341 1.276  0.226 1.213  0.111 1.150  -0.004 1.087  -0.103 1.001  -0.201 0.914  -0.299 0.827  -0.366 0.718  -0.416 0.597  -0.351 0.488  -0.243 0.418  -0.122 0.376  0.009 0.376  0.140 0.376  0.271 0.376  0.383 0.325  0.482 0.239  0.537 0.125  0.575 -0.000  0.563 -0.128  0.535 -0.256  0.504 -0.383  0.453 -0.503  0.402 -0.624  0.352 -0.745  0.266 -0.844  0.178 -0.941  0.086 -1.034  -0.014 -1.119  -0.114 -1.203  -0.235 -1.252  -0.358 -1.297  -0.486 -1.323  -0.607 -1.300  -0.703 -1.218  -0.764 -1.102  -0.808 -0.980  -0.839 -0.852  -0.835 -0.726  -0.798 -0.600  -0.754 -0.479  -0.661 -0.386  -0.569 -0.293
2#apb#apb40#app4068/e  -1.266 -0.513  -1.146 -0.413  -0.981 -0.368  -0.815 -0.325  -0.653 -0.271  -0.492 -0.215  -0.330 -0.159  -0.183 -0.072  -0.037 0.017  0.106 0.110  0.237 0.220  0.368 0.330  0.476 0.460  0.569 0.603  0.572 0.770  0.497 0.906  0.356 0.998  0.185 0.991  0.014 0.984  -0.143 0.930  -0.290 0.844  -0.438 0.757  -0.583 0.668  -0.701 0.544  -0.819 0.421  -0.938 0.297  -0.996 0.141  -1.038 -0.025  -1.061 -0.191  -1.012 -0.354  -0.959 -0.516  -0.816 -0.609  -0.673 -0.702  -0.514 -0.744  -0.343 -0.744  -0.172 -0.744  -0.002 -0.738  0.163 -0.691  0.327 -0.644  0.491 -0.597  0.650 -0.538  0.799 -0.453  0.947 -0.368  1.096 -0.283  1.243 -0.197  1.391 -0.111  1.537 -0.022  1.666 0.090  1.794 0.203  1.916 0.323
2#apb#apb40#app4068/l  -1.105 -0.830  -1.104 -0.821  -0.972 -0.737  -0.855 -0.631  -0.738 -0.526  -0.613 -0.429  -0.483 -0.339  -0.353 -0.249  -0.225 -0.157  -0.105 -0.054  0.014 0.049  0.134 0.152  0.244 0.265  0.350 0.382  0.457 0.499  0.553 0.624  0.639 0.757  0.725 0.889  0.801 1.027  0.859 1.174  0.899 1.322  0.828 1.417  0.677 1.371  0.540 1.298  0.415 1.202  0.289 1.106  0.167 1.007  0.066 0.885  -0.035 0.764  -0.136 0.642  -0.237 0.521  -0.316 0.385  -0.386 0.243  -0.457 0.102  -0.528 -0.039  -0.564 -0.190  -0.571 -0.348  -0.579 -0.505  -0.538 -0.652  -0.464 -0.792  -0.390 -0.931  -0.256 -1.015  -0.122 -1.098  0.025 -1.137  0.183 -1.137  0.341 -1.137  0.499 -1.130  0.653 -1.098  0.808 -1.066  0.963 -1.035
