3#apa#apa09#app0956/b  0.156 1.283  0.156 1.401  0.156 1.519  0.156 1.638  0.089 1.689  0.020 1.640  0.008 1.524  -0.036 1.414  -0.080 1.304  -0.124 1.195  -0.168 1.085  -0.211 0.975  -0.253 0.864  -0.269 0.747  -0.286 0.630  -0.303 0.513  -0.319 0.396  -0.336 0.279  -0.353 0.162  -0.370 0.045  -0.386 -0.072  -0.386 -0.190  -0.386 -0.309  -0.386 -0.427  -0.386 -0.545  -0.386 -0.663  -0.372 -0.778  -0.319 -0.884  -0.266 -0.990  -0.191 -1.080  -0.107 -1.163  -0.024 -1.247  0.076 -1.291  0.195 -1.291  0.313 -1.291  0.427 -1.286  0.427 -1.168  0.427 -1.050  0.427 -0.931  0.427 -0.813  0.402 -0.701  0.349 -0.595  0.297 -0.489  0.216 -0.403  0.156 -0.310  0.168 -0.199  0.267 -0.133  0.365 -0.067  0.464 -0.002  0.562 0.064
3#apa#apa09#app0956/l  0.020 1.215  0.020 1.287  0.020 1.360  0.020 1.432  0.020 1.505  0.020 1.441  0.020 1.369  0.020 1.296  0.020 1.224  0.020 1.151  0.020 1.079  0.020 1.006  0.020 0.934  0.020 0.861  0.020 0.789  0.020 0.716  0.020 0.644  0.020 0.571  0.020 0.499  0.020 0.426  0.020 0.354  0.020 0.281  0.020 0.209  0.020 0.136  0.020 0.064  0.020 -0.009  0.020 -0.081  0.020 -0.154  0.020 -0.226  0.020 -0.299  0.020 -0.371  0.020 -0.444  0.020 -0.516  0.020 -0.589  0.020 -0.661  0.020 -0.734  0.020 -0.806  0.020 -0.879  0.020 -0.951  0.013 -1.023  -0.005 -1.093  -0.022 -1.164  -0.040 -1.234  -0.058 -1.304  -0.075 -1.375  -0.093 -1.445  -0.110 -1.515  -0.127 -1.586  -0.127 -1.658  -0.127 -1.731
3#apa#apa09#app0956/s  -1.235 0.015  -1.372 0.015  -1.440 -0.054  -1.440 -0.192  -1.440 -0.329  -1.373 -0.374  -1.243 -0.330  -1.112 -0.287  -0.982 -0.243  -0.852 -0.200  -0.764 -0.101  -0.688 0.014  -0.611 0.128  -0.535 0.242  -0.459 0.357  -0.361 0.443  -0.231 0.486  -0.101 0.530  0.030 0.573  0.160 0.617  0.268 0.696  0.366 0.793  0.485 0.837  0.622 0.837  0.760 0.837  0.897 0.837  1.028 0.828  1.072 0.698  1.115 0.568  1.159 0.437  1.202 0.307  1.231 0.174  1.231 0.037  1.149 -0.067  1.052 -0.164  0.955 -0.261  0.858 -0.358  0.750 -0.443  0.636 -0.519  0.522 -0.595  0.407 -0.671  0.293 -0.747  0.173 -0.807  0.036 -0.807  -0.101 -0.807  -0.230 -0.785  -0.327 -0.687  -0.424 -0.590  -0.521 -0.493  -0.618 -0.396
3#apa#apa09#app0956/w  -0.921 1.010  -0.943 0.900  -0.965 0.791  -0.987 0.682  -1.008 0.572  -1.030 0.463  -1.052 0.353  -1.066 0.243  -1.066 0.132  -1.066 0.020  -1.066 -0.092  -1.066 -0.203  -1.056 -0.312  -1.006 -0.412  -0.956 -0.512  -0.888 -0.582  -0.776 -0.582  -0.664 -0.582  -0.576 -0.527  -0.497 -0.448  -0.443 -0.351  -0.393 -0.251  -0.344 -0.151  -0.245 -0.100  -0.145 -0.050  -0.045 -0.003  0.067 -0.003  0.092 -0.089  0.136 -0.177  0.229 -0.239  0.322 -0.301  0.415 -0.363  0.508 -0.425  0.615 -0.437  0.727 -0.437  0.839 -0.437  0.950 -0.437  1.032 -0.366  1.107 -0.285  1.134 -0.176  1.161 -0.068  1.188 0.040  1.215 0.148  1.242 0.256  1.250 0.367  1.250 0.479  1.250 0.590  1.250 0.702  1.184 0.786  1.105 0.865
3#apa#apa09#app0956/a  0.510 0.534  0.510 0.691  0.463 0.828  0.352 0.939  0.233 1.017  0.084 0.967  -0.065 0.918  -0.213 0.868  -0.362 0.819  -0.509 0.764  -0.649 0.694  -0.790 0.624  -0.930 0.554  -1.049 0.454  -1.160 0.343  -1.214 0.209  -1.214 0.052  -1.214 -0.105  -1.174 -0.245  -1.063 -0.356  -0.952 -0.467  -0.842 -0.578  -0.731 -0.689  -0.620 -0.596  -0.509 -0.485  -0.398 -0.374  -0.287 -0.263  -0.196 -0.138  -0.125 0.002  -0.055 0.143  0.015 0.283  0.124 0.395  0.235 0.506  0.264 0.418  0.264 0.261  0.264 0.104  0.264 -0.052  0.267 -0.208  0.378 -0.319  0.489 -0.430  0.600 -0.541  0.711 -0.651  0.821 -0.762  0.932 -0.873  1.060 -0.944  1.217 -0.944  1.374 -0.944  1.520 -0.919  1.631 -0.808  1.742 -0.697
3#apa#apa09#app0956/x  -1.125 0.112  -1.268 0.255  -1.411 0.398  -1.507 0.561  -1.451 0.740  -1.305 0.876  -1.103 0.876  -0.900 0.876  -0.698 0.876  -0.501 0.851  -0.320 0.760  -0.139 0.670  0.042 0.579  0.213 0.482  0.213 0.280  0.213 0.077  0.213 -0.125  0.162 -0.296  -0.019 -0.387  -0.200 -0.477  -0.381 -0.568  -0.564 -0.653  -0.766 -0.653  -0.969 -0.653  -1.092 -0.620  -0.948 -0.477  -0.771 -0.381  -0.590 -0.290  -0.395 -0.239  -0.197 -0.200  0.002 -0.160  0.200 -0.120  0.399 -0.081  0.597 -0.041  0.796 -0.001  0.994 0.039  1.193 0.078  1.359 0.144  1.315 0.303  1.113 0.303  0.947 0.243  0.857 0.062  0.755 -0.111  0.611 -0.254  0.675 -0.431  0.766 -0.612  0.943 -0.653  1.145 -0.653  1.348 -0.653  1.550 -0.653
3#apa#apa09#app0956/m  -1.016 0.045  -1.016 -0.116  -1.027 -0.275  -1.099 -0.419  -1.166 -0.565  -1.166 -0.726  -1.166 -0.888  -1.166 -0.955  -1.166 -0.793  -1.134 -0.639  -1.062 -0.495  -0.990 -0.350  -0.918 -0.206  -0.838 -0.066  -0.741 0.063  -0.644 0.192  -0.548 0.321  -0.451 0.450  -0.342 0.570  -0.228 0.684  -0.112 0.793  0.031 0.775  0.031 0.614  0.021 0.454  -0.018 0.297  -0.057 0.141  -0.096 -0.016  -0.119 -0.175  -0.119 -0.336  -0.119 -0.497  -0.044 -0.478  0.070 -0.364  0.185 -0.250  0.299 -0.136  0.413 -0.022  0.535 0.082  0.670 0.172  0.804 0.261  0.939 0.350  1.083 0.422  1.228 0.494  1.372 0.566  1.516 0.638  1.527 0.494  1.455 0.350  1.383 0.206  1.311 0.061  1.238 -0.083  1.228 -0.242  1.228 -0.403
3#apa#apa09#app0956/e  -0.598 -0.208  -0.771 -0.208  -0.881 -0.145  -0.881 0.028  -0.792 -0.014  -0.670 -0.137  -0.526 -0.208  -0.353 -0.208  -0.180 -0.208  -0.007 -0.208  0.166 -0.208  0.330 -0.169  0.485 -0.092  0.639 -0.014  0.794 0.063  0.883 0.206  0.960 0.361  1.038 0.516  1.100 0.674  1.100 0.847  1.032 0.992  0.910 1.114  0.775 1.207  0.602 1.207  0.429 1.207  0.256 1.207  0.101 1.132  -0.054 1.055  -0.209 0.977  -0.332 0.873  -0.387 0.708  -0.442 0.544  -0.496 0.380  -0.551 0.216  -0.609 0.053  -0.686 -0.102  -0.764 -0.257  -0.841 -0.411  -0.822 -0.550  -0.700 -0.673  -0.574 -0.791  -0.430 -0.887  -0.286 -0.983  -0.142 -1.079  0.002 -1.175  0.146 -1.271  0.298 -1.341  0.471 -1.341  0.644 -1.341  0.817 -1.341
3#apa#apa09#app0956/r  -0.396 0.150  -0.396 0.044  -0.396 -0.063  -0.396 -0.169  -0.396 -0.276  -0.396 -0.383  -0.396 -0.489  -0.396 -0.596  -0.396 -0.702  -0.396 -0.809  -0.396 -0.915  -0.396 -1.022  -0.396 -1.128  -0.396 -1.235  -0.396 -1.342  -0.396 -1.309  -0.396 -1.202  -0.396 -1.096  -0.396 -0.989  -0.396 -0.883  -0.396 -0.776  -0.396 -0.669  -0.396 -0.563  -0.396 -0.456  -0.396 -0.350  -0.396 -0.243  -0.385 -0.140  -0.326 -0.051  -0.267 0.037  -0.208 0.126  -0.149 0.215  -0.090 0.303  -0.030 0.392  0.029 0.481  0.088 0.569  0.147 0.658  0.206 0.747  0.295 0.801  0.390 0.849  0.486 0.897  0.581 0.944  0.676 0.992  0.772 1.040  0.867 1.087  0.962 1.135  1.058 1.183  1.153 1.230  1.248 1.278  1.344 1.326  1.439 1.373
3#apa#apa09#app0956/c  1.140 0.706  1.140 0.812  1.140 0.918  1.048 0.932  0.942 0.932  0.836 0.932  0.730 0.932  0.624 0.932  0.518 0.932  0.412 0.932  0.306 0.932  0.204 0.915  0.109 0.868  0.014 0.820  -0.081 0.773  -0.176 0.726  -0.271 0.678  -0.365 0.631  -0.460 0.583  -0.555 0.536  -0.650 0.488  -0.695 0.398  -0.728 0.297  -0.762 0.197  -0.796 0.096  -0.829 -0.005  -0.863 -0.105  -0.890 -0.205  -0.843 -0.300  -0.795 -0.395  -0.748 -0.490  -0.700 -0.585  -0.644 -0.673  -0.569 -0.748  -0.494 -0.823  -0.414 -0.890  -0.319 -0.938  -0.224 -0.985  -0.129 -1.033  -0.034 -1.080  0.061 -1.077  0.155 -1.030  0.250 -0.982  0.345 -0.935  0.440 -0.887  0.535 -0.840  0.630 -0.793  0.724 -0.745  0.819 -0.698  0.914 -0.650
3#apa#apa09#app0956/i  -0.183 -0.253  -0.255 -0.325  -0.327 -0.397  -0.421 -0.417  -0.511 -0.429  -0.511 -0.531  -0.511 -0.633  -0.511 -0.735  -0.511 -0.837  -0.489 -0.930  -0.417 -1.002  -0.345 -1.074  -0.273 -1.146  -0.200 -1.218  -0.114 -1.201  -0.023 -1.155  0.069 -1.110  0.156 -1.060  0.229 -0.988  0.301 -0.915  0.373 -0.843  0.445 -0.771  0.460 -0.682  0.442 -0.581  0.424 -0.481  0.406 -0.381  0.387 -0.280  0.369 -0.180  0.351 -0.080  0.333 0.021  0.314 0.121  0.296 0.221  0.278 0.321  0.260 0.422  0.242 0.522  0.223 0.622  0.205 0.723  0.187 0.823  0.169 0.923  0.150 1.023  0.106 1.113  0.050 1.198  -0.007 1.283  -0.063 1.368  -0.120 1.453  -0.176 1.538  -0.246 1.611  -0.319 1.683  -0.347 1.773  -0.347 1.875
3#apa#apa09#app0956/f  0.862 1.302  0.745 1.380  0.627 1.459  0.522 1.551  0.394 1.552  0.258 1.518  0.124 1.478  0.046 1.361  -0.032 1.244  -0.054 1.109  -0.054 0.968  -0.033 0.829  -0.005 0.691  0.023 0.553  0.058 0.417  0.103 0.283  0.145 0.148  0.184 0.013  0.222 -0.123  0.261 -0.258  0.300 -0.394  0.294 -0.531  0.266 -0.670  0.238 -0.808  0.205 -0.945  0.160 -1.078  0.099 -1.202  -0.001 -1.301  -0.101 -1.401  -0.223 -1.446  -0.364 -1.446  -0.505 -1.446  -0.512 -1.311  -0.512 -1.170  -0.489 -1.031  -0.466 -0.892  -0.442 -0.753  -0.419 -0.614  -0.396 -0.475  -0.373 -0.336  -0.350 -0.197  -0.335 -0.059  -0.398 0.067  -0.379 0.193  -0.301 0.295  -0.160 0.295  -0.019 0.295  0.122 0.295  0.263 0.295  0.404 0.295
3#apa#apa09#app0956/u  -0.413 0.872  -0.528 0.872  -0.642 0.872  -0.714 0.802  -0.765 0.700  -0.816 0.597  -0.867 0.495  -0.919 0.393  -0.944 0.284  -0.944 0.169  -0.944 0.055  -0.944 -0.060  -0.944 -0.174  -0.944 -0.289  -0.944 -0.403  -0.901 -0.500  -0.820 -0.581  -0.739 -0.662  -0.658 -0.743  -0.577 -0.824  -0.496 -0.905  -0.415 -0.986  -0.301 -0.988  -0.186 -0.988  -0.094 -0.934  -0.013 -0.853  0.068 -0.772  0.149 -0.691  0.230 -0.610  0.311 -0.529  0.394 -0.451  0.497 -0.400  0.599 -0.349  0.702 -0.297  0.804 -0.246  0.907 -0.195  0.915 -0.086  0.915 0.029  0.915 0.143  0.915 0.258  0.915 0.372  0.915 0.487  0.915 0.602  0.915 0.716  0.915 0.831  0.915 0.945  0.915 1.060  0.915 1.101  0.915 0.987  0.915 0.872
3#apa#apa09#app0956/l  0.435 1.520  0.359 1.520  0.291 1.502  0.238 1.449  0.185 1.395  0.132 1.342  0.079 1.289  0.041 1.225  0.013 1.155  -0.015 1.085  -0.043 1.016  -0.071 0.946  -0.099 0.876  -0.127 0.806  -0.155 0.736  -0.182 0.666  -0.208 0.595  -0.231 0.524  -0.255 0.452  -0.279 0.381  -0.303 0.309  -0.313 0.237  -0.302 0.162  -0.291 0.088  -0.281 0.013  -0.270 -0.061  -0.259 -0.136  -0.249 -0.210  -0.238 -0.285  -0.227 -0.359  -0.217 -0.434  -0.206 -0.508  -0.195 -0.583  -0.170 -0.653  -0.136 -0.720  -0.103 -0.788  -0.069 -0.855  -0.028 -0.918  0.014 -0.981  0.056 -1.043  0.097 -1.106  0.139 -1.168  0.181 -1.231  0.250 -1.258  0.322 -1.282  0.393 -1.305  0.464 -1.329  0.536 -1.353  0.610 -1.361  0.685 -1.361
