1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
1b#uqb#re/F  -0.717 -1.619  -0.781 -1.461  -0.746 -1.269  -0.737 -1.071  -0.736 -0.874  -0.748 -0.676  -0.775 -0.480  -0.778 -0.284  -0.775 -0.087  -0.775 0.111  -0.775 0.309  -0.775 0.507  -0.741 0.692  -0.544 0.692  -0.346 0.692  -0.151 0.721  0.043 0.760  0.240 0.753  0.438 0.740  0.635 0.735  0.833 0.735  1.027 0.695  1.224 0.701  1.420 0.690  1.609 0.641  1.560 0.648  1.372 0.594  1.186 0.526  1.000 0.458  0.814 0.390  0.628 0.322  0.443 0.254  0.257 0.186  0.071 0.118  -0.115 0.050  -0.301 -0.018  -0.486 -0.086  -0.672 -0.154  -0.858 -0.222  -1.022 -0.305  -0.860 -0.398  -0.683 -0.480  -0.493 -0.533  -0.298 -0.520  -0.102 -0.505  0.095 -0.523  0.293 -0.523  0.490 -0.515  0.649 -0.529  0.460 -0.587
1b#uqb#re/F  -0.504 -1.346  -0.519 -1.457  -0.507 -1.267  -0.486 -1.077  -0.492 -0.888  -0.529 -0.701  -0.531 -0.510  -0.538 -0.319  -0.533 -0.129  -0.551 0.061  -0.572 0.251  -0.559 0.441  -0.621 0.621  -0.661 0.803  -0.692 0.930  -0.502 0.950  -0.312 0.944  -0.121 0.944  0.069 0.932  0.260 0.930  0.451 0.927  0.642 0.917  0.833 0.929  1.024 0.930  1.210 0.898  1.400 0.879  1.306 0.882  1.149 0.773  0.992 0.664  0.835 0.555  0.678 0.447  0.521 0.338  0.364 0.229  0.207 0.120  0.050 0.011  -0.107 -0.098  -0.264 -0.206  -0.421 -0.315  -0.578 -0.424  -0.735 -0.533  -0.877 -0.640  -0.716 -0.719  -0.536 -0.774  -0.348 -0.810  -0.162 -0.849  0.028 -0.844  0.216 -0.873  0.400 -0.842  0.588 -0.846  0.750 -0.841
1b#apa#apa13#app1324/F  -0.658 0.685  -0.522 0.774  -0.570 0.626  -0.570 0.401  -0.570 0.177  -0.658 -0.027  -0.682 -0.246  -0.747 -0.455  -0.747 -0.680  -0.747 -0.905  -0.714 -1.116  -0.658 -1.317  -0.570 -1.506  -0.579 -1.320  -0.589 -1.096  -0.598 -0.872  -0.608 -0.647  -0.618 -0.423  -0.628 -0.198  -0.637 0.026  -0.647 0.251  -0.657 0.475  -0.467 0.508  -0.249 0.536  -0.039 0.597  0.165 0.685  0.390 0.685  0.602 0.740  0.818 0.774  1.043 0.774  1.268 0.774  1.492 0.774  1.717 0.774  1.707 0.716  1.507 0.613  1.308 0.509  1.108 0.406  0.909 0.303  0.709 0.199  0.510 0.096  0.311 -0.008  0.111 -0.111  -0.088 -0.214  -0.288 -0.318  -0.487 -0.421  -0.453 -0.405  -0.235 -0.376  -0.010 -0.376  0.214 -0.376  0.403 -0.464
2#app#app37#app3712/F  -0.686 0.790  -0.686 0.650  -0.686 0.511  -0.686 0.371  -0.686 0.231  -0.686 0.091  -0.686 -0.048  -0.776 -0.151  -0.808 -0.278  -0.808 -0.417  -0.808 -0.557  -0.808 -0.697  -0.808 -0.837  -0.762 -0.957  -0.686 -1.066  -0.686 -1.205  -0.686 -1.345  -0.641 -1.323  -0.569 -1.203  -0.498 -1.083  -0.426 -0.964  -0.354 -0.844  -0.282 -0.724  -0.210 -0.604  -0.138 -0.484  -0.066 -0.364  0.006 -0.245  0.078 -0.125  0.149 -0.005  0.221 0.115  0.293 0.235  0.365 0.355  0.437 0.474  0.509 0.594  0.581 0.714  0.653 0.834  0.725 0.954  0.806 1.066  0.909 1.155  1.049 1.155  1.118 1.107  1.066 0.977  1.014 0.847  0.962 0.718  0.910 0.588  0.858 0.458  0.806 0.328  0.755 0.199  0.703 0.069  0.651 -0.061
1b#tos#t3#t3067063/F  -0.758 0.693  -0.948 0.693  -1.029 0.584  -0.876 0.584  -0.686 0.584  -0.497 0.589  -0.328 0.657  -0.142 0.675  0.028 0.760  0.217 0.766  0.385 0.842  0.548 0.940  0.726 0.983  0.892 1.074  1.079 1.092  0.958 1.080  0.779 1.017  0.600 0.953  0.421 0.889  0.242 0.825  0.072 0.752  -0.026 0.613  -0.129 0.476  -0.141 0.288  -0.141 0.098  -0.152 -0.090  -0.214 -0.265  -0.214 -0.455  -0.280 -0.633  -0.329 -0.816  -0.381 -0.999  -0.429 -1.183  -0.468 -1.367  -0.540 -1.535  -0.534 -1.675  -0.489 -1.490  -0.444 -1.305  -0.400 -1.121  -0.355 -0.936  -0.310 -0.751  -0.265 -0.566  -0.202 -0.475  -0.028 -0.431  0.125 -0.394  0.315 -0.394  0.497 -0.358  0.683 -0.337  0.871 -0.322  1.061 -0.322  1.236 -0.286
1b#app#app14#app1428/F  0.866 1.193  0.971 1.193  0.866 1.221  0.824 1.312  0.690 1.312  0.557 1.312  0.424 1.312  0.290 1.312  0.157 1.312  0.027 1.305  -0.068 1.211  -0.162 1.116  -0.204 1.001  -0.266 0.893  -0.323 0.783  -0.353 0.657  -0.413 0.538  -0.442 0.412  -0.442 0.278  -0.442 0.145  -0.442 0.012  -0.442 -0.122  -0.442 -0.255  -0.442 -0.388  -0.442 -0.522  -0.398 -0.636  -0.323 -0.739  -0.323 -0.872  -0.323 -1.005  -0.323 -1.139  -0.323 -1.272  -0.323 -1.405  -0.323 -1.311  -0.204 -1.297  -0.204 -1.164  -0.204 -1.030  -0.204 -0.897  -0.204 -0.764  -0.204 -0.630  -0.204 -0.497  -0.095 -0.473  -0.081 -0.354  0.052 -0.354  0.186 -0.354  0.319 -0.354  0.452 -0.354  0.586 -0.354  0.719 -0.354  0.747 -0.459  0.866 -0.473
3#apa#apa14#app1443/F  -0.293 0.559  -0.487 0.520  -0.372 0.289  -0.293 0.051  -0.293 -0.207  -0.293 -0.464  -0.293 -0.721  -0.212 -0.966  -0.131 -1.210  -0.079 -1.459  -0.079 -1.716  -0.131 -1.621  -0.205 -1.374  -0.279 -1.128  -0.353 -0.881  -0.427 -0.635  -0.501 -0.388  -0.575 -0.142  -0.648 0.105  -0.727 0.345  -0.934 0.395  -0.868 0.625  -0.677 0.794  -0.447 0.909  -0.217 1.024  0.014 1.139  0.244 1.255  0.474 1.370  0.721 1.414  0.978 1.414  0.849 1.212  0.702 1.002  0.554 0.791  0.406 0.580  0.259 0.369  0.111 0.158  -0.036 -0.053  -0.184 -0.263  -0.332 -0.474  -0.479 -0.685  -0.507 -0.515  -0.254 -0.511  -0.021 -0.452  0.171 -0.285  0.415 -0.203  0.659 -0.122  0.910 -0.083  1.148 -0.004  1.379 0.111  1.631 0.131
2#pri#pri0#150/F  -0.124 1.480  -0.248 1.258  -0.340 1.021  -0.401 0.773  -0.451 0.523  -0.479 0.269  -0.496 0.015  -0.496 -0.240  -0.487 -0.495  -0.465 -0.750  -0.410 -0.998  -0.342 -1.244  -0.255 -1.484  -0.143 -1.713  -0.062 -1.793  -0.081 -1.539  -0.099 -1.284  -0.118 -1.030  -0.136 -0.775  -0.155 -0.521  -0.174 -0.266  -0.192 -0.011  -0.211 0.243  -0.230 0.498  -0.248 0.752  -0.307 0.987  -0.167 1.074  0.085 1.108  0.340 1.108  0.596 1.108  0.851 1.108  1.106 1.108  0.935 0.976  0.724 0.832  0.514 0.688  0.303 0.544  0.092 0.400  -0.118 0.256  -0.329 0.112  -0.539 -0.033  -0.750 -0.177  -0.615 -0.260  -0.367 -0.321  -0.114 -0.355  0.137 -0.400  0.388 -0.443  0.640 -0.484  0.894 -0.505  1.147 -0.538  1.398 -0.584
1b#app#app14#app1403/F  1.011 1.141  1.175 1.141  1.048 1.141  0.884 1.141  0.720 1.141  0.557 1.141  0.393 1.141  0.229 1.141  0.066 1.141  -0.098 1.141  -0.262 1.141  -0.378 1.026  -0.445 0.890  -0.445 0.726  -0.445 0.563  -0.445 0.399  -0.445 0.236  -0.445 0.072  -0.382 -0.077  -0.309 -0.223  -0.263 -0.376  -0.263 -0.540  -0.263 -0.703  -0.263 -0.867  -0.263 -1.031  -0.263 -1.194  -0.263 -1.358  -0.263 -1.522  -0.359 -1.589  -0.445 -1.511  -0.445 -1.347  -0.445 -1.184  -0.445 -1.020  -0.445 -0.856  -0.445 -0.693  -0.445 -0.529  -0.445 -0.365  -0.331 -0.315  -0.263 -0.220  -0.186 -0.133  -0.081 -0.075  -0.041 0.049  0.123 0.049  0.285 0.051  0.401 0.167  0.538 0.231  0.702 0.231  0.866 0.231  1.011 0.212  1.011 0.049
1b#apb#apb05#app0522/F  -0.356 0.456  -0.447 0.362  -0.508 0.150  -0.581 -0.057  -0.647 -0.267  -0.718 -0.475  -0.807 -0.677  -0.883 -0.883  -0.952 -1.093  -1.033 -1.297  -1.004 -1.222  -0.969 -1.005  -0.946 -0.786  -0.923 -0.567  -0.900 -0.348  -0.876 -0.129  -0.853 0.090  -0.863 0.304  -0.698 0.409  -0.496 0.495  -0.288 0.565  -0.075 0.620  0.138 0.676  0.347 0.746  0.556 0.816  0.761 0.898  0.966 0.978  1.179 1.031  1.382 1.117  1.256 0.960  1.089 0.816  0.922 0.672  0.755 0.529  0.588 0.385  0.421 0.242  0.254 0.098  0.087 -0.046  -0.080 -0.189  -0.247 -0.333  -0.422 -0.466  -0.376 -0.557  -0.161 -0.525  0.048 -0.456  0.264 -0.418  0.482 -0.390  0.699 -0.348  0.915 -0.307  1.131 -0.266  1.345 -0.214  1.521 -0.092
1b#apb#apb05#app0522/F  -0.383 0.123  -0.338 0.324  -0.254 0.511  -0.263 0.413  -0.337 0.221  -0.392 0.023  -0.448 -0.175  -0.529 -0.364  -0.608 -0.554  -0.660 -0.753  -0.712 -0.952  -0.773 -1.149  -0.842 -1.343  -0.907 -1.537  -0.884 -1.401  -0.870 -1.196  -0.861 -0.990  -0.852 -0.785  -0.844 -0.579  -0.835 -0.374  -0.827 -0.168  -0.818 0.038  -0.810 0.243  -0.773 0.442  -0.585 0.489  -0.379 0.496  -0.174 0.508  0.032 0.517  0.237 0.527  0.443 0.543  0.648 0.560  0.853 0.562  1.059 0.562  1.262 0.596  1.465 0.630  1.668 0.659  1.645 0.634  1.450 0.567  1.256 0.500  1.061 0.433  0.867 0.366  0.672 0.299  0.477 0.232  0.283 0.165  0.088 0.098  -0.073 -0.026  0.089 -0.044  0.290 0.001  0.492 0.036  0.695 0.069
3#apa#apa03#app0375/F  0.160 0.266  -0.089 0.266  -0.181 0.110  -0.309 -0.010  -0.459 -0.196  -0.573 -0.417  -0.622 -0.654  -0.622 -0.902  -0.622 -1.150  -0.622 -1.399  -0.486 -1.591  -0.466 -1.703  -0.466 -1.455  -0.466 -1.207  -0.466 -0.958  -0.466 -0.710  -0.466 -0.462  -0.466 -0.213  -0.466 0.035  -0.466 0.284  -0.466 0.532  -0.264 0.579  -0.056 0.676  0.120 0.851  0.331 0.977  0.563 1.048  0.804 1.066  0.995 1.204  1.243 1.204  1.492 1.204  1.421 1.113  1.210 0.981  0.999 0.849  0.789 0.718  0.578 0.586  0.368 0.454  0.157 0.323  -0.054 0.191  -0.264 0.060  -0.475 -0.072  -0.686 -0.204  -0.896 -0.335  -0.732 -0.360  -0.484 -0.360  -0.300 -0.203  -0.052 -0.203  0.197 -0.203  0.445 -0.203  0.693 -0.203  0.942 -0.203
1b#kai#kai0#scoh1/F  -0.208 1.163  -0.220 0.954  -0.252 0.748  -0.295 0.544  -0.295 0.333  -0.339 0.129  -0.339 -0.083  -0.387 -0.288  -0.454 -0.488  -0.496 -0.695  -0.534 -0.902  -0.587 -1.106  -0.652 -1.307  -0.687 -1.514  -0.719 -1.720  -0.731 -1.582  -0.605 -1.413  -0.567 -1.206  -0.525 -0.999  -0.481 -0.793  -0.436 -0.586  -0.391 -0.380  -0.347 -0.173  -0.302 0.033  -0.258 0.240  -0.213 0.446  -0.169 0.652  -0.124 0.859  -0.080 1.065  0.123 1.076  0.334 1.076  0.545 1.076  0.756 1.076  0.968 1.076  1.179 1.076  1.296 1.012  1.144 0.865  0.992 0.718  0.841 0.571  0.689 0.424  0.538 0.276  0.386 0.129  0.235 -0.018  0.083 -0.165  -0.068 -0.312  -0.087 -0.405  0.122 -0.397  0.328 -0.362  0.539 -0.362  0.750 -0.362
1b#tos#t3#t3047062/F  -0.710 0.916  -0.840 0.801  -0.800 0.745  -0.575 0.745  -0.351 0.745  -0.126 0.745  0.099 0.745  0.323 0.745  0.538 0.787  0.763 0.787  0.984 0.810  1.162 0.873  1.046 0.856  0.822 0.834  0.599 0.811  0.375 0.789  0.151 0.767  -0.072 0.744  -0.296 0.722  -0.520 0.702  -0.624 0.582  -0.624 0.357  -0.624 0.133  -0.624 -0.092  -0.624 -0.317  -0.624 -0.542  -0.620 -0.766  -0.582 -0.984  -0.582 -1.209  -0.543 -1.427  -0.539 -1.651  -0.556 -1.429  -0.573 -1.205  -0.590 -0.981  -0.608 -0.757  -0.630 -0.542  -0.576 -0.570  -0.357 -0.533  -0.156 -0.454  0.063 -0.411  0.278 -0.368  0.498 -0.325  0.717 -0.311  0.923 -0.240  1.045 -0.104  0.984 0.060  0.874 -0.079  0.874 -0.304  0.874 -0.529  0.959 -0.668
3#app#app25#app2553/F  0.067 0.912  0.067 0.707  0.005 0.528  -0.093 0.364  -0.093 0.160  -0.202 0.000  -0.347 -0.145  -0.492 -0.289  -0.575 -0.459  -0.667 -0.626  -0.735 -0.802  -0.735 -1.007  -0.735 -1.211  -0.816 -1.336  -0.896 -1.460  -0.896 -1.649  -0.877 -1.448  -0.801 -1.258  -0.725 -1.068  -0.649 -0.878  -0.573 -0.688  -0.497 -0.498  -0.421 -0.308  -0.345 -0.118  -0.269 0.072  -0.193 0.262  -0.117 0.452  -0.041 0.642  0.035 0.832  0.186 0.912  0.343 1.026  0.528 1.072  0.733 1.072  0.938 1.072  1.142 1.072  1.347 1.072  1.318 0.890  1.148 0.776  0.978 0.663  0.808 0.549  0.637 0.436  0.467 0.322  0.297 0.209  0.127 0.095  -0.044 -0.018  0.051 -0.052  0.095 -0.212  0.300 -0.212  0.505 -0.212  0.709 -0.212
1b#tos#f3#f3010058/F  -0.504 1.033  -0.555 0.928  -0.397 0.957  -0.235 0.957  -0.111 0.995  0.043 1.015  0.182 1.070  0.339 1.100  0.491 1.146  0.646 1.175  0.806 1.183  0.896 1.209  0.744 1.151  0.593 1.094  0.441 1.036  0.290 0.978  0.138 0.921  0.052 0.844  0.023 0.711  0.023 0.549  -0.015 0.403  -0.066 0.253  -0.090 0.096  -0.092 -0.065  -0.128 -0.223  -0.140 -0.384  -0.165 -0.543  -0.202 -0.697  -0.259 -0.847  -0.278 -1.007  -0.304 -1.167  -0.348 -1.322  -0.384 -1.476  -0.454 -1.603  -0.455 -1.682  -0.402 -1.528  -0.350 -1.375  -0.298 -1.222  -0.245 -1.068  -0.193 -0.915  -0.140 -0.762  -0.088 -0.608  -0.035 -0.455  0.017 -0.302  -0.122 -0.285  -0.047 -0.285  0.115 -0.285  0.276 -0.278  0.434 -0.248  0.550 -0.172
3#apb#apb28#app2821/F  -1.066 -0.323  -1.108 -0.531  -0.993 -0.699  -0.788 -0.615  -0.612 -0.475  -0.409 -0.381  -0.231 -0.252  -0.118 -0.062  -0.022 0.041  0.087 0.136  0.157 0.226  0.192 0.345  0.136 0.188  0.017 -0.004  -0.094 -0.199  -0.178 -0.407  -0.279 -0.609  -0.352 -0.821  -0.488 -0.834  -0.673 -0.706  -0.858 -0.578  -1.043 -0.451  -1.175 -0.495  -0.959 -0.552  -0.734 -0.552  -0.512 -0.526  -0.292 -0.479  -0.067 -0.476  0.157 -0.485  0.378 -0.526  0.580 -0.624  0.431 -0.485  0.264 -0.335  0.097 -0.184  -0.070 -0.033  -0.237 0.118  -0.404 0.269  -0.354 0.435  -0.172 0.564  0.019 0.682  0.211 0.800  0.422 0.879  0.633 0.958  0.844 1.037  1.056 1.111  1.276 1.157  1.496 1.204  1.720 1.191  1.945 1.181  2.170 1.181
