1b#app#app19#app1908/Q  -0.025 0.109  0.120 0.308  0.120 0.567  0.021 0.785  -0.219 0.831  -0.477 0.831  -0.736 0.831  -0.923 0.656  -1.106 0.473  -1.187 0.247  -1.325 0.045  -1.325 -0.214  -1.259 -0.457  -1.121 -0.673  -0.898 -0.758  -0.639 -0.758  -0.380 -0.758  -0.121 -0.758  0.138 -0.758  0.358 -0.664  0.576 -0.530  0.785 -0.382  0.968 -0.199  1.131 -0.092  1.274 0.108  1.276 0.366  1.193 0.542  0.992 0.682  0.794 0.831  0.535 0.831  0.277 0.831  0.018 0.831  -0.241 0.831  -0.500 0.831  -0.713 0.720  -0.892 0.620  -0.763 0.414  -0.580 0.231  -0.397 0.048  -0.214 -0.135  -0.031 -0.318  0.152 -0.502  0.264 -0.513  0.170 -0.519  0.389 -0.614  0.504 -0.758  0.703 -0.903  0.962 -0.903  1.076 -1.047  1.276 -1.191
1b#app#app19#app1908/O  0.059 0.463  0.059 0.627  -0.080 0.652  -0.245 0.652  -0.383 0.589  -0.500 0.472  -0.616 0.356  -0.732 0.239  -0.849 0.123  -0.997 0.083  -1.078 -0.000  -1.078 -0.165  -1.078 -0.330  -1.078 -0.494  -1.078 -0.659  -1.078 -0.824  -0.990 -0.952  -0.868 -1.054  -0.703 -1.054  -0.539 -1.054  -0.374 -1.054  -0.242 -0.976  -0.123 -0.864  0.041 -0.864  0.206 -0.864  0.335 -0.778  0.451 -0.662  0.568 -0.546  0.708 -0.485  0.856 -0.447  0.973 -0.330  1.089 -0.214  1.197 -0.094  1.197 0.071  1.197 0.235  1.197 0.400  1.197 0.565  1.120 0.652  0.970 0.689  0.854 0.805  0.704 0.842  0.540 0.842  0.375 0.842  0.211 0.842  0.050 0.832  -0.067 0.716  -0.205 0.652  -0.320 0.602  -0.345 0.463  -0.509 0.463
1b#app#app19#app1908/T  0.377 0.218  0.226 0.218  0.075 0.218  0.045 0.096  0.045 -0.056  -0.048 -0.114  -0.121 -0.193  -0.121 -0.344  -0.121 -0.496  -0.121 -0.647  -0.121 -0.799  -0.116 -0.948  -0.009 -1.055  0.045 -1.184  0.045 -1.336  0.077 -1.474  0.185 -1.581  0.167 -1.504  0.107 -1.364  0.047 -1.225  -0.012 -1.086  -0.072 -0.947  -0.132 -0.808  -0.191 -0.668  -0.251 -0.529  -0.311 -0.390  -0.370 -0.251  -0.430 -0.112  -0.490 0.028  -0.549 0.167  -0.609 0.306  -0.668 0.445  -0.728 0.585  -0.776 0.716  -0.625 0.716  -0.618 0.861  -0.488 0.882  -0.336 0.882  -0.185 0.882  -0.033 0.882  0.097 0.933  0.204 1.040  0.352 1.048  0.504 1.048  0.655 1.048  0.796 1.091  0.932 1.159  1.070 1.214  1.222 1.214  1.373 1.214
1b#app#app19#app1908/H  -0.895 1.268  -0.895 1.036  -0.895 0.804  -0.895 0.572  -0.895 0.340  -0.895 0.108  -0.895 -0.124  -0.895 -0.356  -0.822 -0.400  -0.665 -0.229  -0.508 -0.057  -0.351 0.114  -0.194 0.285  -0.037 0.456  0.119 0.627  0.276 0.798  0.433 0.969  0.590 1.140  0.747 1.311  0.853 1.353  0.748 1.164  0.694 0.954  0.694 0.722  0.694 0.490  0.694 0.258  0.694 0.026  0.694 -0.206  0.694 -0.438  0.694 -0.671  0.694 -0.903  0.694 -1.135  0.694 -1.367  0.689 -1.588  0.508 -1.443  0.326 -1.298  0.145 -1.153  -0.036 -1.008  -0.217 -0.863  -0.399 -0.718  -0.580 -0.573  -0.761 -0.428  -0.895 -0.260  -0.761 -0.162  -0.590 -0.016  -0.379 0.036  -0.197 0.156  0.035 0.156  0.267 0.156  0.487 0.101  0.694 -0.003
1b#app#app19#app1908/O  -0.324 0.679  -0.324 0.530  -0.436 0.493  -0.585 0.493  -0.734 0.493  -0.883 0.493  -0.884 0.345  -0.884 0.196  -0.957 0.119  -1.070 0.084  -1.070 -0.065  -1.070 -0.214  -0.993 -0.331  -0.888 -0.436  -0.884 -0.583  -0.884 -0.732  -0.816 -0.813  -0.670 -0.827  -0.537 -0.894  -0.404 -0.960  -0.264 -1.000  -0.115 -1.000  0.034 -1.000  0.144 -0.905  0.255 -0.813  0.404 -0.813  0.514 -0.721  0.624 -0.627  0.773 -0.627  0.885 -0.537  0.982 -0.428  0.982 -0.279  1.069 -0.166  1.168 -0.058  1.168 0.091  1.168 0.240  1.109 0.365  1.004 0.470  0.982 0.610  0.902 0.679  0.765 0.709  0.660 0.814  0.532 0.866  0.383 0.866  0.234 0.866  0.085 0.866  -0.064 0.866  -0.213 0.866  -0.362 0.866  -0.511 0.866
1b#app#app19#app1908/W  -1.490 0.371  -1.490 0.240  -1.490 0.110  -1.401 0.016  -1.356 -0.096  -1.356 -0.227  -1.295 -0.296  -1.223 -0.354  -1.167 -0.429  -1.052 -0.466  -0.960 -0.559  -0.831 -0.562  -0.701 -0.562  -0.605 -0.478  -0.495 -0.429  -0.382 -0.387  -0.289 -0.295  -0.197 -0.203  -0.157 -0.089  -0.157 0.041  -0.157 0.172  -0.222 0.237  -0.290 0.300  -0.290 0.311  -0.250 0.197  -0.158 0.105  -0.157 -0.025  -0.030 -0.029  0.064 -0.117  0.175 -0.162  0.287 -0.207  0.381 -0.296  0.512 -0.296  0.642 -0.296  0.773 -0.296  0.903 -0.296  1.034 -0.296  1.129 -0.210  1.221 -0.118  1.309 -0.024  1.309 0.106  1.309 0.237  1.217 0.329  1.176 0.443  1.176 0.573  1.129 0.684  1.043 0.779  1.037 0.904  0.910 0.907  0.910 1.037
1b#app#app19#app1908/T  0.462 0.496  0.462 0.339  0.386 0.258  0.229 0.258  0.224 0.107  0.224 -0.050  0.224 -0.207  0.224 -0.364  0.224 -0.521  0.224 -0.678  0.224 -0.835  0.224 -0.992  0.224 -1.149  0.224 -1.305  0.185 -1.368  0.074 -1.257  -0.037 -1.146  -0.148 -1.035  -0.259 -0.924  -0.370 -0.813  -0.481 -0.702  -0.592 -0.591  -0.702 -0.480  -0.813 -0.369  -0.924 -0.259  -1.035 -0.148  -1.146 -0.037  -1.203 0.097  -1.203 0.253  -1.051 0.258  -0.965 0.329  -0.965 0.486  -0.818 0.496  -0.662 0.496  -0.505 0.496  -0.348 0.496  -0.191 0.496  -0.034 0.496  0.083 0.593  0.194 0.704  0.338 0.734  0.495 0.734  0.652 0.734  0.809 0.734  0.966 0.734  1.122 0.734  1.249 0.807  1.360 0.918  1.495 0.972  1.651 0.972
1b#app#app19#app1908/O  -0.055 0.053  -0.055 0.216  -0.181 0.253  -0.344 0.253  -0.507 0.253  -0.671 0.253  -0.834 0.253  -0.857 0.113  -0.930 -0.020  -1.045 -0.136  -1.058 -0.294  -1.058 -0.457  -1.058 -0.621  -1.033 -0.774  -0.918 -0.889  -0.780 -0.950  -0.616 -0.950  -0.453 -0.950  -0.290 -0.950  -0.126 -0.950  0.037 -0.950  0.200 -0.950  0.359 -0.938  0.474 -0.822  0.589 -0.707  0.705 -0.591  0.820 -0.476  0.936 -0.361  1.094 -0.348  1.149 -0.239  1.149 -0.076  1.149 0.087  1.149 0.250  1.149 0.414  1.149 0.577  1.088 0.715  0.972 0.831  0.819 0.855  0.656 0.855  0.493 0.855  0.329 0.855  0.166 0.855  0.003 0.855  -0.161 0.855  -0.324 0.855  -0.478 0.833  -0.594 0.717  -0.656 0.580  -0.694 0.454  -0.857 0.454
1b#app#app19#app1908/W  -0.793 0.871  -0.793 1.042  -0.842 1.163  -0.939 1.090  -0.939 0.919  -0.994 0.762  -1.070 0.609  -1.085 0.442  -1.085 0.271  -1.057 0.112  -0.939 -0.010  -0.939 -0.180  -0.939 -0.351  -0.939 -0.522  -0.939 -0.692  -0.813 -0.737  -0.687 -0.843  -0.533 -0.883  -0.362 -0.883  -0.337 -0.737  -0.179 -0.708  -0.062 -0.586  -0.041 -0.424  0.080 -0.303  0.084 -0.134  0.084 0.036  0.084 0.207  -0.007 0.286  -0.062 0.170  -0.062 -0.000  0.055 -0.123  0.084 -0.281  0.231 -0.306  0.262 -0.445  0.433 -0.445  0.603 -0.445  0.774 -0.445  0.945 -0.445  1.108 -0.437  1.130 -0.276  1.251 -0.155  1.400 -0.132  1.400 0.039  1.400 0.209  1.334 0.353  1.213 0.473  1.088 0.588  0.936 0.665  0.790 0.750  0.669 0.871
1b#app#app19#app1908/A  -0.866 -1.452  -0.866 -1.240  -0.802 -1.092  -0.686 -0.996  -0.686 -0.783  -0.686 -0.571  -0.686 -0.359  -0.686 -0.146  -0.632 0.044  -0.506 0.204  -0.506 0.416  -0.436 0.600  -0.325 0.766  -0.263 0.953  -0.145 1.116  -0.090 1.306  0.035 1.466  0.035 1.679  0.134 1.792  0.215 1.661  0.215 1.449  0.215 1.236  0.215 1.024  0.215 0.812  0.215 0.599  0.215 0.387  0.215 0.174  0.362 0.023  0.396 -0.176  0.408 -0.383  0.558 -0.533  0.708 -0.683  0.756 -0.876  0.756 -1.088  0.904 -1.239  0.804 -1.173  0.634 -1.045  0.464 -0.918  0.294 -0.790  0.124 -0.663  -0.046 -0.536  -0.216 -0.408  -0.386 -0.281  -0.443 -0.191  -0.231 -0.191  -0.145 -0.064  0.013 -0.010  0.226 -0.010  0.426 0.020  0.576 0.170
1b#app#app19#app1908/L  -0.333 1.291  -0.231 1.291  -0.142 1.305  -0.142 1.407  -0.162 1.462  -0.234 1.390  -0.306 1.318  -0.333 1.227  -0.333 1.125  -0.333 1.023  -0.333 0.921  -0.333 0.819  -0.335 0.718  -0.407 0.646  -0.479 0.574  -0.523 0.490  -0.523 0.388  -0.523 0.286  -0.523 0.184  -0.523 0.082  -0.523 -0.020  -0.523 -0.122  -0.523 -0.224  -0.523 -0.326  -0.523 -0.428  -0.523 -0.530  -0.523 -0.632  -0.523 -0.734  -0.491 -0.804  -0.389 -0.804  -0.287 -0.804  -0.185 -0.804  -0.084 -0.804  0.018 -0.804  0.120 -0.804  0.222 -0.804  0.324 -0.804  0.426 -0.804  0.499 -0.733  0.571 -0.661  0.654 -0.613  0.756 -0.613  0.858 -0.613  0.960 -0.613  1.062 -0.613  1.164 -0.613  1.191 -0.539  1.191 -0.437  1.279 -0.423  1.381 -0.423
1b#app#app19#app1908/T  0.662 0.368  0.513 0.368  0.456 0.276  0.431 0.137  0.326 0.032  0.250 -0.086  0.250 -0.235  0.250 -0.384  0.250 -0.533  0.250 -0.682  0.250 -0.831  0.250 -0.980  0.250 -1.129  0.250 -1.278  0.398 -1.279  0.456 -1.370  0.435 -1.458  0.344 -1.340  0.252 -1.223  0.161 -1.105  0.069 -0.987  -0.022 -0.870  -0.114 -0.752  -0.205 -0.635  -0.297 -0.517  -0.388 -0.399  -0.479 -0.282  -0.571 -0.164  -0.662 -0.046  -0.754 0.071  -0.845 0.189  -0.937 0.306  -0.985 0.439  -0.970 0.574  -0.821 0.574  -0.779 0.680  -0.729 0.780  -0.580 0.780  -0.473 0.880  -0.367 0.985  -0.218 0.985  -0.069 0.985  0.076 1.001  0.209 1.068  0.342 1.134  0.478 1.191  0.627 1.191  0.776 1.191  0.925 1.191  1.074 1.191
1b#app#app19#app1908/Z  -0.710 1.030  -0.667 1.233  -0.496 1.350  -0.276 1.350  -0.055 1.350  0.165 1.350  0.385 1.350  0.568 1.313  0.568 1.093  0.568 0.873  0.414 0.717  0.259 0.561  0.103 0.406  0.061 0.203  -0.095 0.048  -0.251 -0.108  -0.390 -0.270  -0.449 -0.466  -0.550 -0.644  -0.647 -0.824  -0.710 -1.018  -0.678 -1.206  -0.550 -1.298  -0.397 -1.366  -0.231 -1.312  -0.117 -1.206  0.099 -1.196  0.257 -1.046  0.477 -1.046  0.659 -0.955  0.851 -0.886  1.026 -0.875  0.833 -0.770  0.640 -0.664  0.447 -0.559  0.254 -0.454  0.061 -0.348  -0.132 -0.243  -0.326 -0.138  -0.519 -0.032  -0.710 0.074  -0.710 0.295  -0.623 0.478  -0.433 0.551  -0.213 0.551  0.007 0.551  0.227 0.551  0.447 0.551  0.667 0.551  0.888 0.551
