2#app#app31#app3129/Q  0.211 0.866  0.317 0.991  0.317 1.222  0.154 1.290  -0.077 1.290  -0.213 1.195  -0.400 1.103  -0.552 0.931  -0.666 0.732  -0.754 0.537  -0.850 0.345  -0.931 0.148  -0.956 -0.073  -0.956 -0.305  -0.956 -0.536  -0.852 -0.724  -0.688 -0.888  -0.478 -0.939  -0.247 -0.939  -0.015 -0.939  0.172 -0.832  0.297 -0.661  0.423 -0.478  0.530 -0.353  0.530 -0.121  0.530 0.110  0.525 0.339  0.423 0.529  0.328 0.738  0.225 0.944  0.105 1.129  -0.071 1.184  -0.213 1.095  -0.213 0.864  -0.161 0.639  -0.109 0.413  -0.057 0.188  -0.005 -0.038  0.047 -0.263  0.099 -0.488  0.035 -0.338  0.126 -0.429  0.215 -0.624  0.317 -0.813  0.485 -0.939  0.613 -1.106  0.742 -1.288  0.852 -1.473  0.954 -1.662  0.848 -1.575
2#app#app31#app3129/O  0.158 0.711  0.158 0.856  0.022 0.864  -0.122 0.864  -0.266 0.864  -0.378 0.786  -0.480 0.684  -0.582 0.582  -0.684 0.480  -0.758 0.366  -0.780 0.231  -0.882 0.129  -0.910 -0.003  -0.910 -0.147  -0.910 -0.292  -0.910 -0.436  -0.910 -0.580  -0.910 -0.724  -0.872 -0.853  -0.770 -0.955  -0.758 -1.094  -0.640 -1.120  -0.495 -1.120  -0.351 -1.120  -0.207 -1.120  -0.063 -1.120  0.059 -1.066  0.161 -0.964  0.263 -0.862  0.365 -0.760  0.469 -0.662  0.613 -0.662  0.661 -0.528  0.706 -0.391  0.752 -0.254  0.833 -0.140  0.921 -0.032  0.921 0.112  0.921 0.257  0.921 0.401  0.921 0.545  0.829 0.651  0.769 0.770  0.769 0.914  0.727 1.017  0.582 1.017  0.438 1.017  0.294 1.017  0.158 1.008  0.158 0.864
2#app#app31#app3129/T  0.411 0.411  0.411 0.261  0.367 0.129  0.292 0.010  0.292 -0.141  0.292 -0.291  0.196 -0.402  0.172 -0.542  0.172 -0.692  0.146 -0.836  0.078 -0.971  0.053 -1.115  0.053 -1.265  0.053 -1.416  0.053 -1.566  0.149 -1.620  0.130 -1.499  0.080 -1.357  0.031 -1.216  -0.019 -1.074  -0.069 -0.932  -0.118 -0.790  -0.168 -0.648  -0.218 -0.506  -0.267 -0.364  -0.317 -0.223  -0.366 -0.081  -0.416 0.061  -0.466 0.203  -0.515 0.345  -0.565 0.487  -0.615 0.628  -0.665 0.769  -0.798 0.798  -0.865 0.932  -0.838 1.008  -0.687 1.008  -0.537 1.008  -0.387 1.008  -0.236 1.008  -0.086 1.008  0.064 1.008  0.214 1.008  0.365 1.008  0.515 1.008  0.658 0.966  0.801 0.918  0.947 0.889  1.097 0.889  1.128 0.769
2#app#app31#app3129/H  -0.242 1.030  -0.222 1.030  -0.242 1.271  -0.300 1.111  -0.381 0.885  -0.438 0.637  -0.521 0.396  -0.659 0.193  -0.776 -0.040  -0.801 -0.295  -0.933 -0.501  -1.018 -0.726  -1.158 -0.942  -1.221 -1.188  -1.121 -1.349  -0.891 -1.285  -0.729 -1.081  -0.568 -0.876  -0.406 -0.671  -0.245 -0.467  -0.083 -0.262  0.078 -0.058  0.240 0.147  0.401 0.351  0.563 0.556  0.724 0.761  0.886 0.965  1.047 1.170  1.099 1.251  1.014 1.026  0.878 0.822  0.878 0.561  0.878 0.301  0.873 0.041  0.756 -0.192  0.738 -0.448  0.738 -0.709  0.738 -0.970  0.604 -0.979  0.387 -0.835  0.170 -0.690  -0.047 -0.546  -0.264 -0.401  -0.481 -0.256  -0.449 -0.089  -0.344 0.088  -0.160 0.272  0.077 0.330  0.337 0.330  0.598 0.330
2#app#app31#app3129/O  0.760 1.098  0.620 1.098  0.480 1.098  0.365 1.037  0.266 0.938  0.129 0.931  -0.012 0.931  -0.074 0.854  -0.125 0.765  -0.258 0.748  -0.357 0.649  -0.456 0.550  -0.555 0.451  -0.687 0.431  -0.742 0.346  -0.783 0.223  -0.882 0.124  -0.909 -0.005  -0.909 -0.145  -0.909 -0.285  -0.909 -0.425  -0.909 -0.565  -0.909 -0.706  -0.909 -0.846  -0.851 -0.962  -0.752 -1.061  -0.616 -1.070  -0.476 -1.070  -0.336 -1.070  -0.195 -1.070  -0.055 -1.070  0.085 -1.070  0.211 -1.011  0.336 -0.949  0.454 -0.876  0.553 -0.777  0.593 -0.653  0.633 -0.530  0.732 -0.431  0.760 -0.302  0.760 -0.162  0.760 -0.022  0.760 0.118  0.760 0.258  0.760 0.398  0.760 0.538  0.760 0.678  0.760 0.818  0.760 0.958  0.760 1.098
2#app#app31#app3129/W  -0.562 0.916  -0.413 0.916  -0.383 1.034  -0.296 1.095  -0.244 1.055  -0.349 0.950  -0.383 0.816  -0.432 0.688  -0.537 0.583  -0.562 0.445  -0.599 0.305  -0.665 0.173  -0.731 0.040  -0.831 -0.069  -0.920 -0.180  -0.920 -0.329  -0.920 -0.477  -1.029 -0.516  -1.099 -0.595  -1.050 -0.695  -0.902 -0.695  -0.754 -0.695  -0.605 -0.695  -0.488 -0.621  -0.383 -0.516  -0.278 -0.411  -0.160 -0.337  -0.025 -0.350  -0.025 -0.498  -0.025 -0.647  -0.025 -0.795  0.045 -0.874  0.182 -0.847  0.286 -0.742  0.391 -0.637  0.496 -0.532  0.601 -0.427  0.712 -0.337  0.861 -0.337  0.870 -0.198  0.918 -0.061  0.985 0.072  1.052 0.203  1.157 0.308  1.228 0.427  1.241 0.570  1.345 0.675  1.407 0.798  1.407 0.947  1.407 1.095
2#app#app31#app3129/T  0.429 0.376  0.388 0.488  0.316 0.406  0.311 0.253  0.243 0.116  0.204 -0.029  0.204 -0.182  0.121 -0.311  0.036 -0.438  -0.021 -0.575  -0.021 -0.728  -0.036 -0.876  -0.133 -0.989  -0.133 -1.143  -0.133 -1.296  -0.133 -1.450  -0.133 -1.603  -0.161 -1.541  -0.200 -1.392  -0.239 -1.244  -0.278 -1.095  -0.317 -0.947  -0.356 -0.798  -0.396 -0.650  -0.435 -0.501  -0.474 -0.353  -0.513 -0.204  -0.552 -0.056  -0.591 0.093  -0.630 0.241  -0.669 0.390  -0.732 0.525  -0.807 0.647  -0.807 0.801  -0.678 0.825  -0.524 0.825  -0.400 0.895  -0.264 0.937  -0.110 0.937  0.043 0.937  0.197 0.937  0.350 0.937  0.504 0.937  0.658 0.937  0.811 0.937  0.956 0.899  1.093 0.830  1.245 0.825  1.328 0.754  1.440 0.713
2#app#app31#app3129/O  0.311 1.365  0.311 1.219  0.231 1.154  0.100 1.140  0.100 0.995  0.007 0.942  -0.111 0.916  -0.111 0.770  -0.218 0.731  -0.335 0.693  -0.381 0.555  -0.427 0.418  -0.473 0.280  -0.519 0.142  -0.603 0.028  -0.706 -0.074  -0.745 -0.204  -0.745 -0.349  -0.745 -0.494  -0.745 -0.639  -0.745 -0.784  -0.745 -0.930  -0.745 -1.075  -0.708 -1.205  -0.606 -1.308  -0.495 -1.360  -0.365 -1.295  -0.235 -1.230  -0.104 -1.168  0.041 -1.168  0.100 -1.082  0.114 -0.943  0.217 -0.840  0.319 -0.738  0.422 -0.635  0.522 -0.531  0.522 -0.386  0.559 -0.249  0.624 -0.119  0.689 0.010  0.733 0.145  0.733 0.290  0.733 0.436  0.733 0.581  0.733 0.726  0.733 0.871  0.681 0.995  0.578 1.097  0.456 1.154  0.311 1.154
2#app#app31#app3129/W  -0.815 0.345  -0.684 0.378  -0.684 0.541  -0.684 0.704  -0.684 0.867  -0.684 0.706  -0.684 0.543  -0.684 0.380  -0.742 0.230  -0.815 0.084  -0.815 -0.079  -0.815 -0.242  -0.858 -0.394  -0.931 -0.540  -0.946 -0.700  -1.061 -0.815  -1.065 -0.961  -0.926 -0.922  -0.853 -0.776  -0.760 -0.645  -0.645 -0.530  -0.530 -0.414  -0.415 -0.299  -0.299 -0.184  -0.184 -0.069  -0.069 0.047  0.079 0.084  0.111 0.215  0.230 0.170  0.175 0.030  0.099 -0.102  0.099 -0.265  0.099 -0.428  0.207 -0.546  0.360 -0.569  0.514 -0.546  0.632 -0.438  0.752 -0.395  0.805 -0.254  0.921 -0.139  1.036 -0.024  1.151 0.091  1.267 0.207  1.275 0.366  1.312 0.514  1.405 0.638  1.405 0.801  1.405 0.964  1.463 1.114  1.536 1.259
2#app#app31#app3129/A  -0.137 0.156  -0.137 0.437  -0.387 0.467  -0.447 0.247  -0.603 0.121  -0.607 -0.154  -0.758 -0.284  -0.938 -0.489  -1.068 -0.716  -1.068 -0.864  -0.933 -0.639  -0.800 -0.394  -0.627 -0.178  -0.492 0.066  -0.436 0.333  -0.311 0.584  -0.129 0.794  -0.003 1.044  0.182 1.251  0.328 1.471  0.484 1.596  0.603 1.589  0.639 1.324  0.639 1.043  0.639 0.763  0.639 0.483  0.639 0.203  0.639 -0.078  0.673 -0.344  0.794 -0.574  0.794 -0.854  0.949 -0.979  0.949 -1.260  1.094 -1.395  0.867 -1.268  0.620 -1.135  0.373 -1.002  0.127 -0.869  -0.120 -0.736  -0.367 -0.603  -0.614 -0.470  -0.860 -0.338  -0.913 -0.089  -0.778 0.136  -0.533 0.269  -0.263 0.311  0.017 0.311  0.298 0.311  0.550 0.245  0.794 0.156
2#app#app31#app3129/L  0.231 1.358  0.349 1.358  0.378 1.446  0.378 1.447  0.350 1.358  0.232 1.358  0.231 1.241  0.231 1.124  0.191 1.023  0.108 0.940  0.024 0.857  -0.059 0.774  -0.063 0.658  -0.121 0.565  -0.204 0.482  -0.287 0.398  -0.370 0.315  -0.453 0.232  -0.536 0.149  -0.619 0.066  -0.652 -0.038  -0.681 -0.143  -0.765 -0.226  -0.868 -0.260  -0.946 -0.300  -0.946 -0.417  -0.946 -0.535  -0.946 -0.652  -0.878 -0.702  -0.760 -0.702  -0.643 -0.702  -0.525 -0.702  -0.408 -0.702  -0.290 -0.702  -0.173 -0.702  -0.055 -0.702  0.062 -0.702  0.180 -0.702  0.290 -0.672  0.396 -0.620  0.501 -0.567  0.615 -0.555  0.733 -0.555  0.850 -0.555  0.968 -0.555  1.085 -0.555  1.114 -0.644  1.173 -0.702  1.261 -0.731  1.261 -0.849
2#app#app31#app3129/T  0.262 0.653  0.262 0.755  0.225 0.615  0.134 0.498  0.134 0.343  0.134 0.188  0.134 0.032  0.092 -0.116  0.043 -0.263  -0.020 -0.401  -0.123 -0.514  -0.123 -0.669  -0.123 -0.824  -0.123 -0.979  -0.123 -1.134  -0.123 -1.289  -0.123 -1.444  -0.123 -1.599  -0.029 -1.660  -0.028 -1.545  -0.072 -1.396  -0.116 -1.248  -0.160 -1.099  -0.203 -0.950  -0.247 -0.801  -0.291 -0.653  -0.335 -0.504  -0.378 -0.355  -0.422 -0.206  -0.466 -0.058  -0.510 0.091  -0.553 0.240  -0.597 0.389  -0.623 0.524  -0.508 0.565  -0.508 0.720  -0.508 0.875  -0.424 0.994  -0.287 1.038  -0.132 1.038  0.024 1.038  0.179 1.038  0.334 1.038  0.489 1.038  0.644 1.038  0.799 1.038  0.954 1.038  1.109 1.038  1.162 0.936  1.290 0.910
2#app#app31#app3129/Z  -0.287 1.264  -0.214 1.413  0.007 1.413  0.228 1.413  0.449 1.413  0.522 1.264  0.702 1.166  0.753 0.966  0.701 0.766  0.520 0.670  0.345 0.559  0.145 0.507  -0.012 0.351  -0.168 0.194  -0.324 0.038  -0.481 -0.118  -0.637 -0.275  -0.733 -0.456  -0.845 -0.631  -0.881 -0.837  -0.815 -1.031  -0.659 -1.187  -0.469 -1.262  -0.247 -1.262  -0.026 -1.262  0.195 -1.262  0.416 -1.262  0.637 -1.262  0.859 -1.262  0.776 -1.136  0.619 -0.980  0.463 -0.823  0.307 -0.667  0.150 -0.510  -0.006 -0.354  -0.163 -0.198  -0.319 -0.041  -0.476 0.115  -0.584 0.157  -0.724 0.075  -0.733 0.288  -0.733 0.509  -0.524 0.521  -0.302 0.521  -0.081 0.521  0.140 0.521  0.361 0.521  0.545 0.432  0.702 0.275  0.902 0.224
