3#apa#apa14#app1431/A  -0.472 -1.325  -0.626 -1.171  -0.629 -0.954  -0.629 -0.736  -0.625 -0.519  -0.583 -0.305  -0.540 -0.091  -0.497 0.122  -0.450 0.335  -0.397 0.546  -0.344 0.758  -0.315 0.972  -0.315 1.190  -0.218 1.385  -0.120 1.580  -0.023 1.775  0.164 1.811  0.314 1.655  0.335 1.441  0.404 1.234  0.472 1.027  0.515 0.814  0.558 0.600  0.600 0.386  0.628 0.171  0.628 -0.047  0.691 -0.255  0.760 -0.461  0.785 -0.675  0.825 -0.853  0.853 -0.808  0.658 -0.711  0.453 -0.638  0.246 -0.569  0.033 -0.539  -0.185 -0.539  -0.402 -0.539  -0.620 -0.539  -0.838 -0.539  -1.056 -0.539  -0.928 -0.539  -0.710 -0.539  -0.499 -0.495  -0.292 -0.427  -0.082 -0.382  0.136 -0.382  0.354 -0.382  0.572 -0.382  0.782 -0.385  0.628 -0.539
3#apa#apa14#app1431/L  0.000 1.429  -0.062 1.491  -0.125 1.554  -0.187 1.616  -0.207 1.577  -0.207 1.489  -0.207 1.401  -0.207 1.313  -0.207 1.224  -0.207 1.136  -0.207 1.048  -0.207 0.960  -0.207 0.872  -0.207 0.784  -0.207 0.695  -0.207 0.607  -0.207 0.519  -0.207 0.431  -0.207 0.343  -0.207 0.254  -0.207 0.166  -0.207 0.078  -0.207 -0.010  -0.207 -0.098  -0.207 -0.186  -0.207 -0.275  -0.207 -0.363  -0.207 -0.451  -0.207 -0.539  -0.207 -0.627  -0.207 -0.716  -0.207 -0.804  -0.207 -0.892  -0.207 -0.980  -0.199 -1.060  -0.111 -1.060  -0.023 -1.060  0.065 -1.060  0.153 -1.060  0.231 -1.036  0.294 -0.974  0.356 -0.912  0.420 -0.853  0.508 -0.853  0.596 -0.853  0.685 -0.853  0.773 -0.853  0.861 -0.853  0.949 -0.853  1.037 -0.853
3#apa#apa14#app1431/M  -1.077 0.778  -1.077 0.562  -1.077 0.346  -1.077 0.129  -1.077 -0.087  -1.077 -0.304  -1.066 -0.517  -0.970 -0.711  -0.894 -0.813  -0.894 -0.597  -0.894 -0.380  -0.894 -0.164  -0.894 0.052  -0.868 0.258  -0.715 0.411  -0.682 0.596  -0.530 0.660  -0.432 0.778  -0.348 0.646  -0.181 0.596  -0.024 0.454  0.016 0.254  0.016 0.038  0.016 -0.178  0.016 -0.395  0.016 -0.611  0.016 -0.827  0.016 -1.043  0.016 -0.827  0.085 -0.679  0.199 -0.576  0.199 -0.360  0.199 -0.144  0.199 0.073  0.224 0.283  0.321 0.477  0.439 0.655  0.563 0.820  0.639 0.960  0.823 0.883  0.958 0.717  1.055 0.524  1.110 0.320  1.200 0.141  1.292 -0.037  1.292 -0.254  1.401 -0.424  1.474 -0.611  1.474 -0.827  1.474 -1.044
3#apa#apa14#app1431/N  -0.558 -1.301  -0.731 -1.301  -0.733 -1.130  -0.733 -0.957  -0.733 -0.784  -0.733 -0.611  -0.733 -0.438  -0.733 -0.265  -0.733 -0.092  -0.733 0.081  -0.733 0.254  -0.733 0.427  -0.733 0.600  -0.733 0.773  -0.733 0.946  -0.633 1.078  -0.558 1.219  -0.558 1.264  -0.558 1.091  -0.558 0.918  -0.517 0.762  -0.395 0.640  -0.383 0.472  -0.246 0.384  -0.091 0.306  -0.032 0.170  -0.032 -0.003  0.071 -0.074  0.188 -0.164  0.265 -0.318  0.318 -0.479  0.318 -0.652  0.354 -0.810  0.476 -0.932  0.494 -1.098  0.639 -1.125  0.669 -0.982  0.669 -0.809  0.731 -0.651  0.808 -0.496  0.844 -0.331  0.844 -0.158  0.844 0.015  0.844 0.188  0.904 0.336  1.020 0.461  1.020 0.634  1.020 0.807  1.020 0.980  1.020 1.153
3#apa#apa14#app1431/O  0.345 0.653  0.189 0.653  0.083 0.705  0.083 0.862  -0.019 0.915  -0.176 0.915  -0.333 0.915  -0.475 0.881  -0.586 0.770  -0.697 0.659  -0.703 0.505  -0.703 0.348  -0.703 0.191  -0.703 0.035  -0.703 -0.122  -0.768 -0.263  -0.838 -0.404  -0.908 -0.544  -0.965 -0.687  -0.965 -0.844  -0.907 -0.977  -0.796 -1.088  -0.678 -1.181  -0.522 -1.181  -0.365 -1.181  -0.208 -1.181  -0.089 -1.091  0.022 -0.980  0.154 -0.919  0.310 -0.919  0.432 -0.833  0.542 -0.722  0.672 -0.657  0.829 -0.657  0.870 -0.541  0.870 -0.384  0.870 -0.227  0.870 -0.071  0.870 0.086  0.870 0.243  0.870 0.400  0.870 0.556  0.827 0.696  0.717 0.806  0.605 0.915  0.448 0.915  0.292 0.915  0.135 0.915  0.083 1.021  0.083 1.178
3#apa#apa14#app1431/P  -0.420 0.283  -0.420 0.468  -0.420 0.294  -0.420 0.110  -0.420 -0.075  -0.420 -0.259  -0.420 -0.444  -0.420 -0.629  -0.420 -0.813  -0.420 -0.998  -0.359 -1.168  -0.277 -1.333  -0.230 -1.506  -0.230 -1.691  -0.230 -1.737  -0.230 -1.553  -0.230 -1.368  -0.230 -1.183  -0.230 -0.999  -0.230 -0.814  -0.230 -0.630  -0.230 -0.445  -0.230 -0.261  -0.230 -0.076  -0.237 0.107  -0.319 0.272  -0.402 0.437  -0.420 0.617  -0.420 0.802  -0.287 0.853  -0.230 0.981  -0.143 1.130  -0.002 1.233  0.183 1.233  0.367 1.233  0.552 1.233  0.732 1.222  0.862 1.091  1.027 1.043  1.021 0.965  0.910 0.826  0.910 0.642  0.894 0.473  0.715 0.464  0.633 0.299  0.550 0.133  0.405 0.031  0.240 -0.052  0.091 -0.156  -0.040 -0.287
3#apa#apa14#app1431/Q  0.050 0.671  -0.121 0.843  -0.156 1.064  -0.382 1.025  -0.553 0.853  -0.724 0.682  -0.895 0.511  -0.931 0.284  -1.099 0.111  -1.127 -0.119  -1.076 -0.310  -0.931 -0.407  -0.804 -0.570  -0.587 -0.678  -0.351 -0.703  -0.109 -0.703  0.133 -0.703  0.375 -0.703  0.521 -0.547  0.629 -0.330  0.846 -0.289  0.954 -0.073  1.032 0.151  1.032 0.393  0.960 0.618  0.852 0.835  0.691 1.013  0.479 1.118  0.249 1.194  0.018 1.260  -0.224 1.260  -0.342 1.136  -0.342 0.894  -0.342 0.652  -0.342 0.410  -0.342 0.168  -0.342 -0.074  -0.342 -0.316  -0.342 -0.454  -0.244 -0.310  -0.146 -0.454  0.043 -0.506  0.247 -0.545  0.247 -0.787  0.339 -0.991  0.443 -1.190  0.583 -1.292  0.639 -1.478  0.803 -1.324  1.032 -1.292
3#apa#apa14#app1431/R  -0.257 0.970  -0.257 1.055  -0.257 0.818  -0.257 0.581  -0.257 0.344  -0.257 0.106  -0.225 -0.127  -0.168 -0.357  -0.110 -0.587  -0.096 -0.822  -0.096 -1.059  -0.096 -1.297  -0.096 -1.534  -0.128 -1.451  -0.175 -1.218  -0.221 -0.985  -0.268 -0.753  -0.314 -0.520  -0.361 -0.288  -0.407 -0.055  -0.454 0.177  -0.500 0.410  -0.547 0.642  -0.580 0.876  -0.580 1.113  -0.539 1.333  -0.351 1.453  -0.114 1.453  0.123 1.453  0.346 1.393  0.556 1.285  0.710 1.111  0.710 0.874  0.710 0.637  0.648 0.425  0.452 0.325  0.378 0.159  0.166 0.053  -0.060 0.003  -0.257 0.042  -0.257 0.049  -0.172 -0.168  -0.048 -0.368  0.120 -0.535  0.287 -0.703  0.430 -0.889  0.536 -1.101  0.697 -1.274  0.864 -1.441  1.032 -1.609
3#apa#apa14#app1431/S  0.408 0.509  0.408 0.649  0.408 0.790  0.315 0.892  0.203 0.973  0.077 1.036  -0.052 1.087  -0.192 1.087  -0.333 1.087  -0.473 1.087  -0.614 1.087  -0.753 1.084  -0.852 0.984  -0.894 0.861  -0.894 0.720  -0.894 0.580  -0.845 0.459  -0.744 0.364  -0.605 0.363  -0.605 0.222  -0.467 0.219  -0.326 0.219  -0.185 0.219  -0.045 0.219  0.096 0.219  0.236 0.219  0.377 0.219  0.408 0.110  0.513 0.075  0.654 0.075  0.698 -0.022  0.790 -0.070  0.842 -0.159  0.842 -0.299  0.842 -0.440  0.808 -0.572  0.745 -0.698  0.674 -0.817  0.574 -0.917  0.475 -1.016  0.376 -1.116  0.276 -1.215  0.154 -1.283  0.028 -1.345  -0.106 -1.372  -0.247 -1.372  -0.387 -1.372  -0.508 -1.324  -0.605 -1.224  -0.605 -1.083
3#apa#apa14#app1431/T  0.319 0.881  0.319 0.716  0.319 0.552  0.319 0.387  0.319 0.222  0.319 0.057  0.319 -0.107  0.319 -0.272  0.319 -0.437  0.319 -0.602  0.319 -0.766  0.319 -0.931  0.319 -1.096  0.319 -1.261  0.319 -1.425  0.319 -1.580  0.319 -1.415  0.319 -1.567  0.319 -1.438  0.255 -1.289  0.176 -1.144  0.098 -0.999  0.020 -0.854  -0.058 -0.709  -0.136 -0.564  -0.214 -0.419  -0.292 -0.274  -0.370 -0.129  -0.448 0.016  -0.527 0.161  -0.605 0.306  -0.683 0.451  -0.761 0.596  -0.839 0.742  -0.918 0.885  -1.035 1.002  -1.004 1.057  -0.847 1.024  -0.700 0.950  -0.551 0.881  -0.386 0.881  -0.222 0.881  -0.057 0.881  0.108 0.881  0.273 0.881  0.437 0.881  0.602 0.881  0.739 0.813  0.859 0.705  1.024 0.705
3#apa#apa14#app1431/U  -0.321 0.686  -0.416 0.781  -0.512 0.877  -0.530 1.005  -0.530 1.068  -0.530 0.932  -0.530 0.797  -0.547 0.668  -0.643 0.573  -0.739 0.477  -0.739 0.341  -0.739 0.206  -0.739 0.071  -0.739 -0.065  -0.739 -0.200  -0.739 -0.336  -0.690 -0.460  -0.629 -0.581  -0.569 -0.702  -0.530 -0.829  -0.530 -0.964  -0.420 -0.989  -0.321 -1.026  -0.321 -1.161  -0.222 -1.198  -0.094 -1.181  0.002 -1.085  0.098 -0.990  0.233 -0.989  0.307 -0.928  0.307 -0.793  0.430 -0.780  0.539 -0.736  0.599 -0.615  0.660 -0.494  0.720 -0.373  0.726 -0.238  0.726 -0.103  0.726 0.033  0.726 0.168  0.726 0.304  0.726 0.439  0.726 0.575  0.726 0.710  0.726 0.846  0.726 0.981  0.726 1.116  0.726 1.252  0.726 1.387  0.726 1.523
3#apa#apa14#app1431/V  -0.935 1.034  -0.935 1.162  -0.935 1.192  -0.935 1.064  -0.935 0.936  -0.921 0.813  -0.830 0.723  -0.740 0.632  -0.678 0.521  -0.621 0.406  -0.563 0.291  -0.506 0.177  -0.449 0.062  -0.392 -0.052  -0.334 -0.167  -0.314 -0.290  -0.311 -0.417  -0.220 -0.508  -0.130 -0.598  -0.108 -0.717  -0.108 -0.845  -0.108 -0.973  -0.060 -1.082  0.031 -1.172  0.099 -1.272  0.099 -1.400  0.099 -1.367  0.099 -1.239  0.099 -1.111  0.122 -0.988  0.179 -0.874  0.237 -0.759  0.294 -0.645  0.351 -0.530  0.409 -0.415  0.466 -0.301  0.520 -0.185  0.561 -0.063  0.601 0.058  0.642 0.180  0.682 0.301  0.720 0.423  0.720 0.551  0.720 0.679  0.720 0.807  0.720 0.936  0.720 1.064  0.720 1.192  0.720 1.320  0.720 1.448
3#apa#apa14#app1431/W  -1.227 0.999  -1.227 1.167  -1.227 1.142  -1.216 0.977  -1.141 0.826  -1.066 0.675  -0.990 0.525  -0.915 0.374  -0.840 0.224  -0.765 0.073  -0.747 -0.091  -0.706 -0.242  -0.587 -0.361  -0.507 -0.497  -0.507 -0.665  -0.355 -0.681  -0.267 -0.601  -0.267 -0.432  -0.267 -0.264  -0.267 -0.096  -0.267 0.073  -0.267 0.241  -0.137 0.279  -0.027 0.337  -0.027 0.506  -0.027 0.364  -0.027 0.195  -0.027 0.027  -0.027 -0.141  -0.027 -0.310  -0.027 -0.478  -0.027 -0.646  -0.027 -0.815  0.034 -0.921  0.203 -0.921  0.371 -0.921  0.514 -0.860  0.633 -0.741  0.752 -0.622  0.871 -0.503  0.990 -0.384  1.109 -0.265  1.173 -0.123  1.176 0.045  1.251 0.195  1.326 0.346  1.401 0.497  1.413 0.662  1.413 0.831  1.413 0.999
3#apa#apa14#app1431/X  -0.201 0.809  -0.347 0.955  -0.522 1.030  -0.729 1.030  -0.866 0.961  -0.827 0.770  -0.681 0.624  -0.535 0.478  -0.375 0.365  -0.201 0.333  -0.183 0.144  0.021 0.141  0.021 -0.065  0.158 -0.215  0.304 -0.361  0.450 -0.507  0.596 -0.653  0.685 -0.823  0.685 -1.029  0.735 -1.186  0.903 -1.151  0.880 -0.946  0.858 -0.740  0.835 -0.535  0.812 -0.330  0.789 -0.124  0.766 0.081  0.743 0.286  0.721 0.492  0.698 0.697  0.619 0.875  0.473 1.021  0.464 1.224  0.464 1.073  0.348 0.914  0.202 0.768  0.056 0.622  -0.090 0.476  -0.223 0.321  -0.316 0.136  -0.408 -0.049  -0.546 -0.201  -0.644 -0.366  -0.644 -0.573  -0.670 -0.769  -0.816 -0.915  -0.963 -1.061  -1.087 -1.216  -1.102 -1.407  -1.309 -1.407
3#apa#apa14#app1431/Y  -0.193 1.156  -0.335 1.178  -0.335 1.253  -0.268 1.156  -0.283 1.156  -0.335 1.043  -0.275 0.893  -0.201 0.745  -0.296 0.625  -0.335 0.476  -0.335 0.311  -0.335 0.147  -0.335 -0.018  -0.335 -0.183  -0.255 -0.269  -0.193 -0.371  -0.133 -0.302  -0.054 -0.157  0.025 -0.012  0.104 0.133  0.183 0.277  0.262 0.422  0.341 0.567  0.420 0.712  0.499 0.856  0.578 1.001  0.657 1.146  0.662 1.002  0.662 0.837  0.622 0.689  0.511 0.568  0.437 0.421  0.367 0.272  0.315 0.115  0.263 -0.041  0.235 -0.202  0.204 -0.361  0.152 -0.518  0.099 -0.674  -0.050 -0.696  -0.102 -0.852  -0.154 -1.009  -0.193 -1.167  -0.193 -1.332  -0.256 -1.471  -0.335 -1.603  -0.335 -1.768  -0.335 -1.933  -0.335 -2.098  -0.477 -2.120
3#apa#apa14#app1431/Z  -0.556 0.717  -0.657 0.818  -0.721 0.934  -0.692 1.048  -0.549 1.048  -0.406 1.048  -0.263 1.048  -0.120 1.048  0.022 1.048  0.165 1.048  0.308 1.048  0.451 1.048  0.594 1.048  0.600 0.911  0.600 0.997  0.600 0.956  0.551 0.833  0.450 0.732  0.313 0.717  0.225 0.628  0.161 0.501  0.104 0.371  0.104 0.229  0.008 0.126  -0.093 0.025  -0.194 -0.076  -0.295 -0.177  -0.391 -0.280  -0.391 -0.423  -0.518 -0.439  -0.630 -0.513  -0.707 -0.604  -0.564 -0.604  -0.691 -0.604  -0.609 -0.604  -0.556 -0.694  -0.508 -0.817  -0.407 -0.918  -0.271 -0.934  -0.129 -0.934  0.006 -0.968  0.134 -1.031  0.262 -1.095  0.404 -1.099  0.546 -1.099  0.689 -1.099  0.765 -1.166  0.810 -1.264  0.952 -1.264  1.095 -1.264
