2#apb#apb22#app2254/A  -0.633 0.310  -0.785 0.274  -0.762 0.011  -0.661 -0.243  -0.560 -0.496  -0.429 -0.735  -0.321 -0.983  -0.364 -0.789  -0.448 -0.530  -0.502 -0.262  -0.593 -0.005  -0.671 0.255  -0.755 0.515  -0.834 0.775  -0.861 1.045  -0.737 1.281  -0.506 1.401  -0.258 1.317  -0.007 1.210  0.210 1.046  0.390 0.845  0.548 0.623  0.733 0.423  0.900 0.207  1.035 -0.028  1.143 -0.279  1.241 -0.533  1.333 -0.789  1.388 -1.048  1.269 -0.959  1.012 -0.868  0.755 -0.776  0.498 -0.685  0.241 -0.594  -0.016 -0.503  -0.274 -0.412  -0.531 -0.321  -0.788 -0.230  -1.045 -0.139  -1.251 -0.017  -1.027 -0.064  -0.754 -0.064  -0.482 -0.048  -0.212 -0.013  0.057 0.032  0.325 0.083  0.594 0.129  0.863 0.175  1.129 0.227  1.402 0.227
2#apb#apb22#app2254/L  -0.649 1.382  -0.649 1.460  -0.628 1.497  -0.615 1.420  -0.607 1.342  -0.607 1.264  -0.598 1.187  -0.573 1.113  -0.548 1.038  -0.534 0.961  -0.522 0.884  -0.510 0.806  -0.490 0.731  -0.453 0.662  -0.416 0.593  -0.379 0.524  -0.348 0.453  -0.326 0.377  -0.304 0.302  -0.283 0.226  -0.261 0.151  -0.237 0.076  -0.214 0.001  -0.191 -0.074  -0.158 -0.145  -0.123 -0.215  -0.088 -0.285  -0.070 -0.361  -0.055 -0.438  -0.038 -0.515  -0.017 -0.590  0.008 -0.664  0.031 -0.739  0.059 -0.807  0.127 -0.845  0.203 -0.859  0.282 -0.859  0.360 -0.859  0.438 -0.859  0.517 -0.859  0.595 -0.856  0.673 -0.849  0.751 -0.842  0.830 -0.841  0.908 -0.849  0.986 -0.857  1.064 -0.855  1.142 -0.849  1.220 -0.843  1.299 -0.838
2#apb#apb22#app2254/M  -1.154 0.375  -1.025 0.302  -0.974 0.105  -0.890 -0.081  -0.813 -0.271  -0.722 -0.453  -0.634 -0.638  -0.606 -0.685  -0.698 -0.505  -0.785 -0.321  -0.885 -0.143  -0.977 0.039  -1.057 0.227  -1.117 0.422  -1.096 0.623  -0.991 0.796  -0.806 0.863  -0.621 0.877  -0.468 0.745  -0.347 0.580  -0.215 0.425  -0.110 0.252  -0.025 0.067  0.072 -0.113  0.153 -0.299  0.209 -0.495  0.291 -0.682  0.323 -0.853  0.255 -0.716  0.194 -0.521  0.128 -0.328  0.055 -0.137  -0.006 0.058  -0.052 0.257  -0.043 0.457  0.044 0.640  0.192 0.772  0.377 0.763  0.550 0.653  0.719 0.539  0.836 0.372  0.971 0.218  1.131 0.093  1.263 -0.058  1.362 -0.237  1.449 -0.421  1.543 -0.603  1.619 -0.790  1.666 -0.988  1.718 -1.181
2#apb#apb22#app2254/N  -1.115 0.568  -1.108 0.581  -1.029 0.465  -0.970 0.334  -0.911 0.204  -0.849 0.075  -0.785 -0.053  -0.730 -0.185  -0.666 -0.313  -0.584 -0.430  -0.506 -0.550  -0.424 -0.667  -0.337 -0.780  -0.334 -0.836  -0.359 -0.696  -0.387 -0.555  -0.415 -0.415  -0.459 -0.279  -0.508 -0.146  -0.521 -0.004  -0.524 0.139  -0.524 0.282  -0.519 0.425  -0.508 0.568  -0.523 0.710  -0.472 0.842  -0.394 0.962  -0.280 1.038  -0.137 1.044  0.001 1.008  0.127 0.940  0.234 0.848  0.336 0.750  0.455 0.670  0.541 0.556  0.623 0.439  0.705 0.322  0.770 0.195  0.826 0.064  0.888 -0.066  0.952 -0.194  1.009 -0.325  1.066 -0.457  1.102 -0.595  1.135 -0.734  1.163 -0.874  1.187 -1.015  1.226 -1.153  1.247 -1.293  1.285 -1.413
2#apb#apb22#app2254/O  0.387 1.183  0.253 1.233  0.110 1.234  -0.026 1.194  -0.128 1.100  -0.228 0.998  -0.329 0.897  -0.428 0.794  -0.505 0.674  -0.580 0.552  -0.641 0.423  -0.701 0.293  -0.754 0.160  -0.800 0.026  -0.815 -0.116  -0.830 -0.258  -0.817 -0.400  -0.799 -0.542  -0.761 -0.679  -0.712 -0.811  -0.618 -0.919  -0.524 -1.026  -0.405 -1.099  -0.273 -1.153  -0.133 -1.179  0.009 -1.193  0.150 -1.192  0.287 -1.152  0.424 -1.111  0.559 -1.066  0.681 -1.003  0.763 -0.885  0.832 -0.762  0.880 -0.627  0.914 -0.491  0.886 -0.351  0.858 -0.211  0.800 -0.082  0.730 0.043  0.661 0.168  0.591 0.292  0.513 0.412  0.435 0.532  0.357 0.651  0.268 0.762  0.155 0.849  0.035 0.922  -0.102 0.964  -0.243 0.977  -0.386 0.977
2#apb#apb22#app2254/P  -0.293 0.036  -0.276 0.085  -0.236 -0.098  -0.207 -0.283  -0.147 -0.458  -0.067 -0.628  0.021 -0.793  0.114 -0.955  0.220 -1.109  0.315 -1.270  0.394 -1.438  0.493 -1.497  0.406 -1.331  0.311 -1.170  0.192 -1.026  0.073 -0.881  -0.046 -0.737  -0.166 -0.593  -0.285 -0.449  -0.404 -0.304  -0.524 -0.160  -0.643 -0.016  -0.762 0.129  -0.881 0.273  -1.001 0.417  -1.120 0.562  -1.239 0.706  -1.191 0.877  -1.039 0.977  -0.853 1.000  -0.668 1.031  -0.481 1.041  -0.294 1.051  -0.107 1.051  0.080 1.051  0.264 1.014  0.447 0.977  0.626 0.924  0.801 0.860  0.953 0.750  1.065 0.604  1.131 0.432  1.135 0.248  1.058 0.089  0.913 -0.030  0.738 -0.091  0.563 -0.158  0.393 -0.236  0.206 -0.238  0.019 -0.238
2#apb#apb22#app2254/Q  -0.190 1.006  -0.306 1.129  -0.498 1.108  -0.670 1.020  -0.830 0.909  -0.966 0.775  -1.069 0.610  -1.142 0.429  -1.171 0.238  -1.184 0.044  -1.160 -0.149  -1.086 -0.328  -0.983 -0.492  -0.846 -0.625  -0.681 -0.728  -0.495 -0.785  -0.308 -0.838  -0.115 -0.867  0.077 -0.868  0.270 -0.842  0.450 -0.772  0.619 -0.681  0.724 -0.517  0.784 -0.334  0.785 -0.145  0.738 0.044  0.634 0.206  0.520 0.365  0.399 0.517  0.276 0.667  0.131 0.794  -0.030 0.904  -0.201 0.997  -0.315 1.019  -0.264 0.831  -0.213 0.643  -0.162 0.456  -0.111 0.268  -0.050 0.237  0.093 0.105  0.216 -0.046  0.334 -0.200  0.478 -0.330  0.628 -0.454  0.771 -0.586  0.916 -0.715  1.062 -0.844  1.206 -0.975  1.375 -1.071  1.560 -1.127
2#apb#apb22#app2254/R  -0.478 0.340  -0.432 0.139  -0.371 -0.059  -0.282 -0.246  -0.177 -0.423  -0.066 -0.597  0.031 -0.780  0.150 -0.949  0.296 -1.095  0.273 -1.041  0.143 -0.880  0.012 -0.719  -0.118 -0.558  -0.248 -0.397  -0.378 -0.236  -0.508 -0.075  -0.638 0.086  -0.768 0.247  -0.899 0.408  -1.029 0.569  -1.159 0.730  -1.114 0.901  -0.969 1.047  -0.809 1.176  -0.619 1.256  -0.417 1.284  -0.210 1.273  -0.003 1.273  0.196 1.232  0.390 1.160  0.557 1.060  0.627 0.866  0.623 0.668  0.528 0.489  0.380 0.346  0.217 0.218  0.071 0.072  -0.099 -0.046  -0.257 -0.178  -0.200 -0.327  0.005 -0.348  0.206 -0.397  0.400 -0.467  0.576 -0.574  0.735 -0.706  0.882 -0.853  1.039 -0.988  1.186 -1.133  1.321 -1.289  1.405 -1.476
2#apb#apb22#app2254/S  0.153 0.909  0.054 0.981  -0.071 1.006  -0.197 1.017  -0.324 1.020  -0.451 1.011  -0.575 0.987  -0.697 0.952  -0.817 0.910  -0.936 0.864  -1.029 0.779  -1.123 0.694  -1.203 0.598  -1.197 0.474  -1.093 0.408  -0.976 0.359  -0.853 0.324  -0.730 0.297  -0.603 0.287  -0.479 0.261  -0.357 0.226  -0.233 0.199  -0.107 0.191  0.018 0.173  0.136 0.126  0.256 0.083  0.381 0.062  0.506 0.041  0.624 -0.006  0.739 -0.060  0.843 -0.132  0.940 -0.213  1.037 -0.296  1.108 -0.396  1.145 -0.517  1.132 -0.639  1.081 -0.753  1.001 -0.853  0.901 -0.928  0.792 -0.992  0.669 -1.025  0.545 -1.049  0.418 -1.049  0.292 -1.041  0.169 -1.007  0.048 -0.968  -0.071 -0.924  -0.188 -0.875  -0.289 -0.798  -0.390 -0.720
2#apb#apb22#app2254/T  -0.144 0.511  -0.144 0.397  -0.076 0.246  -0.026 0.088  0.041 -0.062  0.111 -0.213  0.188 -0.359  0.264 -0.506  0.338 -0.654  0.410 -0.803  0.480 -0.953  0.521 -1.113  0.581 -1.267  0.602 -1.252  0.470 -1.153  0.344 -1.046  0.217 -0.940  0.090 -0.834  -0.037 -0.728  -0.164 -0.622  -0.291 -0.516  -0.418 -0.410  -0.545 -0.304  -0.672 -0.197  -0.799 -0.091  -0.926 0.015  -1.053 0.121  -1.180 0.227  -1.307 0.333  -1.434 0.439  -1.336 0.525  -1.175 0.559  -1.010 0.574  -0.846 0.596  -0.682 0.612  -0.517 0.612  -0.351 0.612  -0.186 0.612  -0.020 0.612  0.145 0.612  0.311 0.609  0.476 0.604  0.642 0.599  0.807 0.591  0.972 0.580  1.137 0.569  1.302 0.563  1.468 0.557  1.632 0.538  1.795 0.511
2#apb#apb22#app2254/U  -1.272 1.185  -1.243 1.214  -1.280 1.065  -1.288 0.911  -1.276 0.757  -1.242 0.607  -1.196 0.460  -1.138 0.316  -1.079 0.173  -1.001 0.041  -0.908 -0.082  -0.821 -0.210  -0.737 -0.340  -0.652 -0.468  -0.530 -0.563  -0.407 -0.657  -0.288 -0.755  -0.169 -0.854  -0.031 -0.922  0.110 -0.986  0.257 -1.035  0.405 -1.006  0.540 -0.932  0.617 -0.801  0.636 -0.651  0.636 -0.496  0.622 -0.342  0.606 -0.189  0.584 -0.036  0.546 0.114  0.509 0.264  0.469 0.413  0.430 0.563  0.391 0.713  0.343 0.859  0.287 1.003  0.239 0.975  0.270 0.824  0.331 0.683  0.394 0.542  0.446 0.396  0.497 0.250  0.566 0.112  0.635 -0.026  0.699 -0.167  0.760 -0.309  0.830 -0.447  0.903 -0.583  0.969 -0.723  1.034 -0.863
2#apb#apb22#app2254/V  -1.465 0.783  -1.376 0.722  -1.281 0.694  -1.255 0.597  -1.186 0.517  -1.109 0.438  -1.036 0.355  -0.977 0.262  -0.917 0.169  -0.854 0.078  -0.786 -0.009  -0.718 -0.096  -0.647 -0.182  -0.575 -0.266  -0.502 -0.349  -0.427 -0.430  -0.342 -0.501  -0.257 -0.572  -0.173 -0.643  -0.088 -0.714  -0.004 -0.786  0.093 -0.840  0.190 -0.893  0.284 -0.952  0.377 -1.011  0.475 -1.062  0.576 -1.065  0.609 -0.960  0.620 -0.850  0.634 -0.740  0.652 -0.631  0.662 -0.521  0.662 -0.411  0.658 -0.300  0.641 -0.191  0.623 -0.082  0.608 0.028  0.608 0.138  0.608 0.249  0.608 0.360  0.607 0.470  0.598 0.581  0.588 0.691  0.579 0.801  0.572 0.911  0.572 1.022  0.572 1.133  0.572 1.243  0.572 1.354  0.554 1.463
2#apb#apb22#app2254/W  -1.310 0.795  -1.310 0.676  -1.310 0.529  -1.310 0.382  -1.297 0.236  -1.277 0.091  -1.225 -0.046  -1.167 -0.181  -1.103 -0.313  -1.013 -0.428  -0.913 -0.536  -0.802 -0.629  -0.658 -0.656  -0.523 -0.706  -0.382 -0.666  -0.272 -0.568  -0.197 -0.443  -0.141 -0.307  -0.110 -0.164  -0.110 -0.017  -0.177 0.104  -0.289 0.147  -0.279 0.003  -0.215 -0.129  -0.149 -0.260  -0.056 -0.373  0.059 -0.463  0.182 -0.542  0.319 -0.597  0.461 -0.632  0.605 -0.650  0.748 -0.619  0.883 -0.562  1.011 -0.492  1.125 -0.399  1.191 -0.269  1.244 -0.134  1.244 0.013  1.219 0.154  1.153 0.285  1.088 0.416  1.007 0.539  0.923 0.659  0.840 0.780  0.719 0.862  0.594 0.939  0.458 0.993  0.319 1.039  0.176 1.071  0.029 1.071
2#apb#apb22#app2254/X  0.819 1.108  0.747 1.016  0.716 0.833  0.664 0.656  0.600 0.481  0.528 0.310  0.450 0.141  0.373 -0.028  0.296 -0.198  0.219 -0.367  0.154 -0.541  0.100 -0.719  0.033 -0.892  -0.056 -1.055  -0.124 -1.225  -0.154 -1.186  -0.219 -1.011  -0.283 -0.837  -0.348 -0.663  -0.413 -0.488  -0.478 -0.314  -0.543 -0.140  -0.608 0.035  -0.673 0.209  -0.738 0.384  -0.803 0.558  -0.868 0.732  -0.932 0.907  -0.997 1.081  -1.062 1.255  -0.974 1.299  -0.873 1.144  -0.795 0.976  -0.696 0.818  -0.596 0.662  -0.477 0.519  -0.358 0.376  -0.227 0.244  -0.092 0.115  0.042 -0.013  0.186 -0.132  0.331 -0.248  0.478 -0.361  0.633 -0.464  0.788 -0.567  0.938 -0.677  1.086 -0.790  1.245 -0.885  1.411 -0.966  1.551 -1.089
2#apb#apb22#app2254/Y  -1.757 0.684  -1.597 0.691  -1.445 0.639  -1.301 0.562  -1.161 0.476  -1.023 0.390  -0.887 0.299  -0.752 0.205  -0.628 0.098  -0.508 -0.012  -0.396 -0.132  -0.285 -0.252  -0.153 -0.349  -0.014 -0.434  0.135 -0.502  0.284 -0.568  0.430 -0.637  0.495 -0.526  0.514 -0.363  0.533 -0.201  0.551 -0.038  0.570 0.125  0.589 0.287  0.608 0.450  0.627 0.612  0.646 0.775  0.665 0.938  0.684 1.100  0.703 1.263  0.649 1.286  0.593 1.133  0.527 0.984  0.453 0.837  0.388 0.687  0.325 0.536  0.283 0.378  0.242 0.220  0.207 0.060  0.173 -0.101  0.140 -0.261  0.099 -0.419  0.058 -0.578  0.019 -0.737  -0.005 -0.899  -0.030 -1.060  -0.051 -1.223  -0.071 -1.385  -0.085 -1.548  -0.063 -1.706  0.022 -1.785
2#apb#apb22#app2254/Z  -1.263 1.067  -1.187 1.010  -1.062 0.959  -0.926 0.938  -0.791 0.909  -0.654 0.898  -0.516 0.898  -0.378 0.902  -0.240 0.909  -0.101 0.915  0.037 0.915  0.175 0.915  0.313 0.909  0.451 0.901  0.585 0.870  0.720 0.847  0.709 0.746  0.616 0.647  0.501 0.571  0.383 0.501  0.291 0.397  0.200 0.294  0.104 0.194  0.002 0.102  -0.091 -0.001  -0.171 -0.112  -0.242 -0.231  -0.309 -0.352  -0.397 -0.458  -0.486 -0.563  -0.552 -0.683  -0.622 -0.796  -0.660 -0.891  -0.655 -0.892  -0.638 -0.907  -0.506 -0.891  -0.369 -0.882  -0.231 -0.870  -0.094 -0.854  0.044 -0.840  0.182 -0.840  0.320 -0.840  0.457 -0.825  0.594 -0.805  0.731 -0.788  0.869 -0.781  1.007 -0.775  1.145 -0.773  1.283 -0.774  1.420 -0.790
