2#app#app32#app3274/{  0.294 1.375  0.204 1.397  0.159 1.466  0.047 1.466  0.022 1.377  -0.068 1.355  -0.098 1.255  -0.178 1.175  -0.250 1.092  -0.250 0.979  -0.289 0.882  -0.369 0.802  -0.431 0.715  -0.478 0.650  -0.522 0.580  -0.522 0.467  -0.499 0.377  -0.386 0.377  -0.273 0.377  -0.160 0.377  -0.138 0.468  -0.068 0.425  -0.068 0.312  -0.068 0.199  0.009 0.119  0.116 0.105  0.229 0.105  0.342 0.105  0.385 0.036  0.385 -0.077  0.385 -0.190  0.353 -0.290  0.294 -0.378  0.257 -0.476  0.204 -0.566  0.162 -0.662  0.069 -0.711  0.022 -0.777  0.022 -0.890  0.003 -0.983  -0.068 -1.025  -0.068 -1.137  -0.068 -1.250  -0.056 -1.358  0.024 -1.438  0.104 -1.518  0.183 -1.598  0.263 -1.677  0.363 -1.709  0.476 -1.709
2#app#app32#app3274/e  -1.031 0.574  -0.869 0.574  -0.846 0.435  -0.729 0.389  -0.594 0.323  -0.479 0.208  -0.364 0.093  -0.233 0.018  -0.080 -0.006  0.035 -0.121  0.178 -0.167  0.341 -0.167  0.503 -0.167  0.666 -0.167  0.828 -0.167  0.991 -0.167  1.153 -0.167  1.193 -0.044  1.193 0.118  1.193 0.281  1.193 0.443  1.161 0.574  1.007 0.583  1.007 0.746  0.902 0.865  0.773 0.945  0.611 0.945  0.449 0.943  0.334 0.828  0.200 0.760  0.081 0.716  0.066 0.560  -0.049 0.445  -0.188 0.389  -0.317 0.335  -0.390 0.190  -0.462 0.044  -0.570 -0.076  -0.661 -0.201  -0.668 -0.360  -0.783 -0.475  -0.846 -0.612  -0.846 -0.774  -0.846 -0.937  -0.846 -1.099  -0.846 -1.262  -0.743 -1.382  -0.661 -1.510  -0.638 -1.649  -0.475 -1.649
2#app#app32#app3274/l  0.349 1.626  0.299 1.576  0.249 1.526  0.199 1.476  0.183 1.412  0.183 1.341  0.183 1.271  0.183 1.200  0.183 1.130  0.183 1.059  0.183 0.988  0.183 0.918  0.183 0.847  0.183 0.776  0.183 0.706  0.183 0.635  0.154 0.571  0.123 0.508  0.091 0.445  0.060 0.382  0.028 0.319  0.002 0.253  -0.020 0.186  -0.042 0.119  -0.065 0.052  -0.087 -0.015  -0.109 -0.082  -0.132 -0.149  -0.150 -0.217  -0.150 -0.287  -0.150 -0.358  -0.150 -0.428  -0.150 -0.499  -0.150 -0.570  -0.150 -0.640  -0.150 -0.711  -0.150 -0.781  -0.150 -0.852  -0.150 -0.923  -0.150 -0.993  -0.150 -1.064  -0.150 -1.135  -0.150 -1.205  -0.150 -1.276  -0.150 -1.346  -0.150 -1.417  -0.150 -1.488  -0.150 -1.558  -0.150 -1.629  -0.150 -1.699
2#app#app32#app3274/f  0.412 1.877  0.306 1.877  0.217 1.835  0.181 1.744  0.181 1.638  0.181 1.532  0.181 1.426  0.181 1.320  0.160 1.219  0.113 1.124  0.105 1.020  0.105 0.914  0.105 0.808  0.095 0.705  0.048 0.610  0.028 0.509  0.028 0.403  0.028 0.296  0.028 0.190  0.028 0.084  0.028 -0.022  0.028 -0.128  0.028 -0.234  -0.000 -0.333  -0.048 -0.428  -0.049 -0.533  -0.049 -0.639  -0.049 -0.745  -0.049 -0.851  -0.049 -0.957  -0.049 -1.063  -0.049 -1.169  -0.049 -1.275  0.024 -1.351  0.019 -1.408  -0.019 -1.309  -0.057 -1.210  -0.095 -1.111  -0.133 -1.012  -0.172 -0.913  -0.210 -0.814  -0.248 -0.715  -0.286 -0.616  -0.324 -0.517  -0.344 -0.431  -0.250 -0.401  -0.175 -0.326  -0.089 -0.277  -0.020 -0.218  0.028 -0.123
2#app#app32#app3274/}  -0.416 1.669  -0.298 1.669  -0.250 1.599  -0.250 1.480  -0.250 1.362  -0.250 1.244  -0.250 1.125  -0.275 1.011  -0.312 0.899  -0.333 0.784  -0.336 0.666  -0.416 0.581  -0.416 0.463  -0.416 0.344  -0.494 0.258  -0.499 0.142  -0.436 0.087  -0.333 0.102  -0.298 0.205  -0.199 0.253  -0.083 0.256  -0.056 0.363  0.027 0.447  0.084 0.542  0.010 0.586  0.000 0.477  0.043 0.377  0.084 0.275  0.152 0.185  0.167 0.073  0.202 -0.031  0.272 -0.124  0.325 -0.230  0.337 -0.346  0.366 -0.461  0.395 -0.576  0.437 -0.683  0.500 -0.776  0.500 -0.894  0.500 -1.012  0.500 -1.131  0.500 -1.249  0.461 -1.329  0.417 -1.403  0.340 -1.489  0.224 -1.496  0.167 -1.557  0.070 -1.579  -0.048 -1.579  -0.166 -1.579
2#app#app32#app3274/;  -0.063 0.810  -0.063 0.681  -0.060 0.552  -0.002 0.436  0.022 0.312  0.022 0.182  0.080 0.077  0.106 -0.042  0.130 -0.166  0.188 -0.282  0.276 -0.376  0.317 -0.499  0.358 -0.622  0.359 -0.751  0.359 -0.881  0.359 -1.011  0.275 -1.056  0.237 -1.170  0.145 -1.261  0.054 -1.353  -0.063 -1.385  -0.157 -1.469  -0.228 -1.414  -0.218 -1.285  -0.209 -1.156  -0.200 -1.026  -0.191 -0.897  -0.181 -0.768  -0.172 -0.638  -0.163 -0.509  -0.154 -0.380  -0.144 -0.251  -0.135 -0.121  -0.126 0.008  -0.117 0.137  -0.108 0.267  -0.098 0.396  -0.089 0.525  -0.080 0.654  -0.071 0.784  -0.061 0.913  -0.052 1.042  -0.043 1.172  -0.034 1.301  -0.024 1.430  -0.015 1.559  -0.006 1.689  0.003 1.818  0.013 1.947  0.022 2.077
2#app#app32#app3274/@  0.449 -0.297  0.449 -0.112  0.396 0.050  0.351 0.216  0.339 0.389  0.253 0.487  0.094 0.426  -0.037 0.296  -0.121 0.193  -0.139 0.027  -0.082 -0.101  0.102 -0.101  0.286 -0.101  0.436 -0.016  0.574 0.095  0.725 0.176  0.841 0.255  0.818 0.434  0.731 0.596  0.601 0.727  0.540 0.886  0.410 1.016  0.279 1.147  0.120 1.208  -0.038 1.271  -0.223 1.271  -0.386 1.220  -0.516 1.090  -0.640 0.955  -0.723 0.790  -0.805 0.625  -0.869 0.452  -0.923 0.277  -0.923 0.092  -0.923 -0.092  -0.923 -0.277  -0.923 -0.461  -0.838 -0.620  -0.736 -0.773  -0.608 -0.906  -0.478 -1.036  -0.324 -1.135  -0.176 -1.240  -0.006 -1.276  0.143 -1.362  0.322 -1.374  0.506 -1.374  0.691 -1.374  0.872 -1.359  1.036 -1.276
2#app#app32#app3274/e  0.088 0.208  0.088 0.092  0.088 0.206  0.169 0.289  0.270 0.325  0.368 0.371  0.440 0.457  0.453 0.560  0.566 0.569  0.648 0.651  0.730 0.733  0.792 0.824  0.792 0.940  0.792 1.056  0.765 1.146  0.649 1.146  0.532 1.146  0.423 1.129  0.341 1.047  0.242 0.988  0.138 0.936  0.061 0.857  0.009 0.753  -0.048 0.652  -0.117 0.559  -0.187 0.466  -0.257 0.373  -0.327 0.280  -0.399 0.189  -0.481 0.107  -0.539 0.008  -0.591 -0.096  -0.615 -0.207  -0.615 -0.323  -0.615 -0.440  -0.615 -0.556  -0.615 -0.672  -0.615 -0.788  -0.615 -0.905  -0.615 -1.021  -0.575 -1.121  -0.493 -1.203  -0.411 -1.285  -0.329 -1.367  -0.241 -1.440  -0.130 -1.477  -0.020 -1.514  0.090 -1.550  0.207 -1.550  0.323 -1.550
2#app#app32#app3274/a  0.599 -0.061  0.599 0.100  0.660 0.201  0.730 0.291  0.730 0.452  0.730 0.614  0.730 0.775  0.673 0.912  0.599 1.043  0.512 1.117  0.468 1.234  0.321 1.247  0.167 1.221  0.033 1.132  -0.101 1.043  -0.227 0.944  -0.332 0.824  -0.404 0.680  -0.505 0.564  -0.649 0.492  -0.751 0.378  -0.823 0.234  -0.928 0.113  -1.016 -0.019  -1.088 -0.164  -1.102 -0.321  -1.102 -0.482  -1.102 -0.644  -1.102 -0.805  -1.102 -0.966  -0.952 -0.977  -0.791 -0.977  -0.630 -0.977  -0.469 -0.977  -0.309 -0.973  -0.165 -0.901  -0.016 -0.846  0.137 -0.816  0.281 -0.744  0.407 -0.646  0.521 -0.532  0.622 -0.409  0.694 -0.264  0.810 -0.192  0.861 -0.082  0.730 -0.071  0.730 -0.232  0.730 -0.393  0.730 -0.554  0.861 -0.585
2#app#app32#app3274/s  0.206 1.141  0.090 1.141  -0.026 1.141  -0.142 1.141  -0.259 1.141  -0.368 1.125  -0.450 1.043  -0.551 0.986  -0.655 0.934  -0.744 0.862  -0.826 0.779  -0.908 0.697  -1.022 0.694  -1.022 0.578  -1.013 0.471  -0.898 0.465  -0.794 0.413  -0.690 0.361  -0.575 0.359  -0.459 0.357  -0.355 0.305  -0.251 0.253  -0.136 0.248  -0.032 0.199  0.072 0.147  0.186 0.136  0.302 0.136  0.389 0.065  0.471 -0.017  0.553 -0.099  0.635 -0.182  0.718 -0.264  0.800 -0.346  0.880 -0.429  0.932 -0.533  0.984 -0.637  0.988 -0.753  0.909 -0.836  0.807 -0.869  0.712 -0.921  0.630 -1.004  0.548 -1.086  0.435 -1.093  0.318 -1.093  0.214 -1.144  0.111 -1.196  -0.004 -1.204  -0.120 -1.204  -0.236 -1.204  -0.352 -1.204
2#app#app32#app3274/e  -1.418 -0.382  -1.260 -0.382  -1.260 -0.540  -1.101 -0.540  -0.943 -0.540  -0.784 -0.540  -0.626 -0.540  -0.468 -0.540  -0.356 -0.428  -0.216 -0.382  -0.058 -0.382  0.073 -0.316  0.193 -0.224  0.350 -0.215  0.500 -0.165  0.651 -0.115  0.799 -0.063  0.801 0.093  0.957 0.095  0.959 0.253  1.071 0.365  1.116 0.505  1.116 0.663  1.116 0.822  1.116 0.980  1.048 1.111  0.928 1.202  0.769 1.202  0.614 1.188  0.472 1.118  0.331 1.047  0.217 0.937  0.105 0.825  -0.007 0.713  -0.119 0.601  -0.202 0.468  -0.272 0.326  -0.363 0.198  -0.468 0.083  -0.468 -0.075  -0.475 -0.230  -0.587 -0.342  -0.626 -0.485  -0.626 -0.643  -0.626 -0.801  -0.580 -0.949  -0.509 -1.091  -0.422 -1.220  -0.310 -1.332  -0.151 -1.332
2#app#app32#app3274/@  0.294 -0.437  0.294 -0.253  0.294 -0.069  0.395 0.074  0.395 0.258  0.318 0.365  0.234 0.265  0.163 0.133  0.094 -0.022  0.094 -0.206  0.147 -0.337  0.331 -0.337  0.515 -0.337  0.669 -0.263  0.828 -0.204  0.958 -0.074  0.996 0.095  0.996 0.279  0.996 0.463  0.996 0.647  0.996 0.831  0.896 0.973  0.805 1.066  0.621 1.066  0.437 1.066  0.253 1.066  0.072 1.055  -0.093 0.973  -0.258 0.890  -0.422 0.808  -0.570 0.703  -0.700 0.573  -0.863 0.488  -1.002 0.371  -1.124 0.234  -1.206 0.070  -1.209 -0.114  -1.209 -0.298  -1.195 -0.479  -1.137 -0.654  -1.041 -0.805  -0.911 -0.935  -0.747 -1.019  -0.609 -1.137  -0.425 -1.138  -0.241 -1.138  -0.057 -1.138  0.127 -1.138  0.311 -1.138  0.495 -1.138
2#app#app32#app3274/l  0.566 1.505  0.494 1.505  0.427 1.493  0.376 1.442  0.326 1.392  0.312 1.325  0.312 1.253  0.312 1.182  0.306 1.111  0.274 1.047  0.241 0.983  0.209 0.919  0.177 0.855  0.145 0.790  0.113 0.726  0.081 0.662  0.049 0.598  0.017 0.533  -0.016 0.469  -0.048 0.405  -0.068 0.338  -0.068 0.266  -0.068 0.194  -0.068 0.122  -0.095 0.057  -0.127 -0.007  -0.159 -0.072  -0.191 -0.136  -0.194 -0.207  -0.194 -0.279  -0.194 -0.351  -0.194 -0.422  -0.194 -0.494  -0.194 -0.566  -0.194 -0.638  -0.194 -0.710  -0.194 -0.781  -0.194 -0.853  -0.194 -0.925  -0.194 -0.997  -0.194 -1.069  -0.194 -1.141  -0.194 -1.212  -0.194 -1.284  -0.194 -1.356  -0.181 -1.422  -0.130 -1.473  -0.080 -1.524  -0.068 -1.591  -0.068 -1.663
2#app#app32#app3274/a  0.959 0.349  0.959 0.488  0.874 0.592  0.775 0.691  0.677 0.789  0.643 0.915  0.571 0.982  0.431 0.982  0.292 0.982  0.152 0.982  0.013 0.982  -0.126 0.982  -0.232 0.899  -0.340 0.824  -0.475 0.814  -0.574 0.716  -0.672 0.617  -0.771 0.519  -0.870 0.420  -0.968 0.321  -1.067 0.223  -1.099 0.097  -1.099 -0.043  -1.099 -0.182  -1.099 -0.321  -1.082 -0.443  -0.942 -0.443  -0.941 -0.581  -0.822 -0.601  -0.682 -0.601  -0.543 -0.601  -0.422 -0.557  -0.323 -0.459  -0.190 -0.443  -0.080 -0.374  0.023 -0.285  0.162 -0.285  0.302 -0.285  0.326 -0.400  0.422 -0.443  0.484 -0.521  0.543 -0.601  0.643 -0.641  0.663 -0.760  0.802 -0.761  0.901 -0.860  1.016 -0.918  1.155 -0.918  1.295 -0.918  1.434 -0.918
2#app#app32#app3274/s  0.441 0.961  0.324 0.961  0.207 0.961  0.090 0.961  -0.027 0.961  -0.145 0.961  -0.262 0.961  -0.379 0.961  -0.496 0.961  -0.614 0.961  -0.731 0.961  -0.848 0.961  -0.934 0.885  -0.988 0.790  -0.960 0.701  -0.858 0.686  -0.856 0.571  -0.739 0.571  -0.653 0.495  -0.558 0.441  -0.449 0.421  -0.366 0.339  -0.268 0.276  -0.163 0.224  -0.059 0.171  0.046 0.119  0.151 0.066  0.265 0.051  0.361 0.001  0.444 -0.082  0.527 -0.165  0.610 -0.247  0.693 -0.330  0.701 -0.444  0.701 -0.561  0.758 -0.655  0.831 -0.742  0.831 -0.859  0.831 -0.976  0.757 -1.063  0.663 -1.119  0.553 -1.137  0.470 -1.220  0.365 -1.249  0.248 -1.249  0.131 -1.249  0.013 -1.249  -0.104 -1.249  -0.221 -1.249  -0.338 -1.249
2#app#app32#app3274/t  0.635 1.711  0.635 1.559  0.635 1.407  0.635 1.255  0.614 1.111  0.507 1.003  0.490 0.858  0.490 0.705  0.490 0.553  0.490 0.401  0.481 0.252  0.373 0.144  0.345 0.004  0.345 -0.148  0.345 -0.301  0.345 -0.453  0.345 -0.605  0.345 -0.758  0.345 -0.910  0.357 -1.057  0.465 -1.165  0.490 -1.307  0.490 -1.459  0.397 -1.387  0.289 -1.279  0.182 -1.171  0.074 -1.064  -0.034 -0.956  -0.142 -0.848  -0.249 -0.740  -0.357 -0.633  -0.465 -0.525  -0.572 -0.417  -0.680 -0.310  -0.788 -0.202  -0.895 -0.094  -1.003 0.013  -1.106 0.123  -1.106 0.275  -1.084 0.406  -0.940 0.427  -0.832 0.534  -0.687 0.551  -0.535 0.551  -0.382 0.551  -0.246 0.618  -0.110 0.686  0.040 0.696  0.193 0.696  0.345 0.696
2#app#app32#app3274/.  0.000 -1.698  0.000 -1.628  0.000 -1.559  0.000 -1.490  0.000 -1.421  0.000 -1.351  0.000 -1.282  0.000 -1.213  0.000 -1.143  0.000 -1.074  0.000 -1.005  0.000 -0.936  0.000 -0.866  0.000 -0.797  0.000 -0.728  0.000 -0.658  0.000 -0.589  0.000 -0.520  0.000 -0.450  0.000 -0.381  0.000 -0.312  0.000 -0.243  0.000 -0.173  0.000 -0.104  0.000 -0.035  0.000 0.035  0.000 0.104  0.000 0.173  0.000 0.243  0.000 0.312  0.000 0.381  0.000 0.450  0.000 0.520  0.000 0.589  0.000 0.658  0.000 0.728  0.000 0.797  0.000 0.866  0.000 0.936  0.000 1.005  0.000 1.074  0.000 1.143  0.000 1.213  0.000 1.282  0.000 1.351  0.000 1.421  0.000 1.490  0.000 1.559  0.000 1.628  0.000 1.698
