2#tos#t1#t1042062/!  0.106 1.619  0.028 1.619  -0.009 1.619  0.015 1.566  0.015 1.488  0.015 1.410  0.015 1.332  0.015 1.255  0.015 1.177  0.015 1.099  0.015 1.021  0.015 0.943  0.015 0.865  0.015 0.788  0.015 0.710  0.015 0.632  0.015 0.554  0.015 0.476  -0.018 0.412  -0.073 0.357  -0.075 0.280  -0.075 0.202  -0.075 0.124  -0.075 0.047  -0.075 -0.031  -0.075 -0.109  -0.075 -0.187  -0.042 -0.232  -0.005 -0.232  -0.021 -0.284  -0.008 -0.361  0.005 -0.438  0.017 -0.515  0.030 -0.591  0.043 -0.668  0.056 -0.745  0.069 -0.822  0.081 -0.899  0.094 -0.975  0.098 -1.044  0.020 -1.044  -0.030 -1.072  -0.030 -1.150  -0.030 -1.228  -0.030 -1.306  -0.030 -1.384  -0.030 -1.462  -0.030 -1.539  0.015 -1.599  0.015 -1.676
2#tos#t1#t1042062/}  -0.285 1.657  -0.337 1.579  -0.316 1.521  -0.226 1.506  -0.182 1.440  -0.101 1.395  -0.084 1.317  -0.012 1.288  0.020 1.200  0.054 1.121  0.054 1.028  0.092 0.950  0.130 0.895  0.130 0.801  0.130 0.708  0.130 0.615  0.130 0.521  0.130 0.428  0.130 0.335  0.130 0.241  0.156 0.159  0.169 0.072  0.225 0.034  0.276 -0.033  0.347 -0.041  0.254 -0.041  0.165 -0.061  0.114 -0.117  0.021 -0.117  -0.020 -0.191  -0.021 -0.283  -0.021 -0.377  -0.021 -0.470  -0.021 -0.563  -0.010 -0.645  0.046 -0.682  0.054 -0.768  0.054 -0.861  0.054 -0.954  0.054 -1.048  0.054 -1.141  0.054 -1.234  0.054 -1.327  -0.005 -1.361  -0.099 -1.361  -0.154 -1.399  -0.237 -1.426  -0.325 -1.437  -0.418 -1.437  -0.512 -1.437
2#tos#t1#t1042062/0  -0.211 1.210  -0.356 1.210  -0.458 1.168  -0.496 1.063  -0.556 0.941  -0.573 0.808  -0.655 0.714  -0.655 0.570  -0.701 0.472  -0.753 0.380  -0.753 0.236  -0.753 0.092  -0.753 -0.052  -0.753 -0.196  -0.753 -0.340  -0.669 -0.449  -0.630 -0.585  -0.605 -0.727  -0.593 -0.862  -0.458 -0.908  -0.404 -1.036  -0.345 -1.153  -0.211 -1.163  -0.112 -1.235  0.030 -1.251  0.153 -1.202  0.247 -1.148  0.379 -1.099  0.380 -0.955  0.484 -0.858  0.572 -0.767  0.576 -0.624  0.649 -0.502  0.675 -0.366  0.818 -0.365  0.822 -0.226  0.822 -0.081  0.822 0.063  0.822 0.207  0.822 0.351  0.773 0.474  0.773 0.619  0.655 0.659  0.573 0.776  0.528 0.912  0.407 0.971  0.270 1.013  0.133 1.021  0.080 1.112  -0.064 1.112
2#tos#t1#t1042062/2  -0.543 0.996  -0.660 0.957  -0.777 0.916  -0.781 1.046  -0.694 1.133  -0.607 1.200  -0.479 1.234  -0.345 1.234  -0.212 1.234  -0.078 1.234  0.044 1.205  0.165 1.159  0.289 1.117  0.411 1.105  0.436 0.996  0.517 0.897  0.570 0.784  0.570 0.650  0.570 0.516  0.570 0.382  0.531 0.265  0.531 0.131  0.526 0.002  0.392 0.002  0.372 -0.111  0.332 -0.205  0.269 -0.276  0.178 -0.345  0.087 -0.442  0.005 -0.547  -0.103 -0.594  -0.145 -0.686  -0.234 -0.772  -0.361 -0.793  -0.473 -0.823  -0.543 -0.912  -0.622 -0.967  -0.731 -0.991  -0.618 -0.991  -0.501 -1.031  -0.367 -1.031  -0.233 -1.031  -0.099 -1.031  0.032 -1.022  0.152 -0.962  0.283 -0.952  0.417 -0.952  0.551 -0.952  0.677 -0.985  0.729 -0.991
2#tos#t1#t1042062/4  0.086 1.580  -0.011 1.440  -0.108 1.329  -0.108 1.121  -0.270 1.013  -0.366 0.838  -0.483 0.671  -0.630 0.524  -0.778 0.377  -0.834 0.178  -0.900 -0.019  -1.016 -0.180  -1.127 -0.333  -1.168 -0.534  -1.135 -0.603  -0.927 -0.603  -0.719 -0.603  -0.511 -0.603  -0.303 -0.603  -0.096 -0.599  0.105 -0.555  0.312 -0.548  0.516 -0.508  0.721 -0.489  0.924 -0.458  1.092 -0.361  1.153 -0.275  1.050 -0.094  0.948 0.087  0.845 0.268  0.743 0.449  0.640 0.630  0.538 0.811  0.435 0.992  0.287 1.094  0.086 1.088  0.086 0.880  0.086 0.672  0.086 0.464  0.086 0.256  0.086 0.048  0.086 -0.160  0.086 -0.368  0.086 -0.576  0.086 -0.784  0.040 -0.984  0.037 -1.192  0.037 -1.400  0.037 -1.608  0.086 -1.767
2#tos#t1#t1042062/9  0.415 0.628  0.415 0.706  0.326 0.824  0.207 0.937  0.082 1.001  -0.065 1.039  -0.182 1.108  -0.367 1.108  -0.550 1.103  -0.693 1.001  -0.812 0.894  -0.838 0.735  -0.919 0.630  -1.006 0.473  -1.025 0.291  -1.025 0.105  -1.025 -0.080  -1.003 -0.258  -0.919 -0.418  -0.813 -0.527  -0.738 -0.652  -0.552 -0.652  -0.367 -0.652  -0.206 -0.613  -0.069 -0.520  0.074 -0.406  0.193 -0.265  0.320 -0.139  0.376 0.017  0.497 0.149  0.575 0.293  0.628 0.466  0.628 0.651  0.628 0.836  0.629 0.736  0.575 0.574  0.575 0.388  0.575 0.203  0.521 0.027  0.480 -0.149  0.468 -0.331  0.468 -0.516  0.468 -0.701  0.468 -0.887  0.468 -1.072  0.460 -1.255  0.415 -1.430  0.415 -1.615  0.415 -1.800  0.415 -1.985
2#tos#t1#t1042062/A  0.247 1.874  0.247 1.599  0.136 1.392  0.024 1.151  -0.094 0.906  -0.242 0.676  -0.359 0.436  -0.359 0.162  -0.524 -0.025  -0.524 -0.300  -0.659 -0.519  -0.800 -0.735  -0.853 -0.988  -0.965 -1.217  -0.958 -1.375  -0.811 -1.212  -0.708 -0.957  -0.605 -0.702  -0.502 -0.447  -0.399 -0.192  -0.296 0.063  -0.194 0.317  -0.091 0.572  0.012 0.827  0.115 1.082  0.218 1.337  0.250 1.543  0.247 1.340  0.276 1.070  0.322 0.807  0.412 0.570  0.516 0.338  0.522 0.066  0.582 -0.189  0.732 -0.418  0.770 -0.686  0.797 -0.957  0.852 -1.209  0.688 -1.320  0.596 -1.073  0.444 -0.845  0.291 -0.616  0.139 -0.387  -0.014 -0.159  -0.232 -0.053  -0.342 -0.236  -0.138 -0.328  0.137 -0.328  0.412 -0.328  0.687 -0.328
2#tos#t1#t1042062/C  0.398 0.644  0.315 0.557  0.311 0.636  0.224 0.719  0.153 0.819  0.070 0.906  -0.100 0.906  -0.266 0.896  -0.409 0.807  -0.498 0.683  -0.614 0.573  -0.676 0.415  -0.768 0.279  -0.822 0.143  -0.910 0.020  -0.977 -0.124  -1.030 -0.285  -1.040 -0.454  -0.999 -0.614  -0.909 -0.696  -0.835 -0.843  -0.822 -1.011  -0.674 -1.047  -0.557 -1.158  -0.391 -1.186  -0.221 -1.186  -0.051 -1.186  0.119 -1.186  0.271 -1.125  0.427 -1.060  0.568 -0.970  0.694 -0.924  0.804 -0.809  0.921 -0.693  0.877 -0.566  0.838 -0.402  0.789 -0.239  0.740 -0.076  0.692 0.087  0.643 0.250  0.594 0.412  0.545 0.575  0.496 0.738  0.447 0.901  0.398 1.064  0.337 1.211  0.224 1.155  0.224 0.985  0.224 0.815  0.224 0.644
2#tos#t1#t1042062/G  0.116 1.335  0.061 1.533  -0.191 1.533  -0.390 1.472  -0.583 1.318  -0.677 1.083  -0.781 0.855  -0.948 0.667  -0.994 0.428  -1.022 0.180  -1.022 -0.073  -1.022 -0.326  -1.022 -0.578  -0.923 -0.732  -0.722 -0.842  -0.469 -0.842  -0.219 -0.834  0.006 -0.743  0.245 -0.672  0.466 -0.560  0.635 -0.381  0.770 -0.243  0.719 -0.132  0.492 -0.022  0.264 0.088  0.037 0.198  -0.191 0.308  -0.419 0.417  -0.626 0.437  -0.663 0.246  -0.410 0.246  -0.157 0.246  0.095 0.246  0.347 0.263  0.582 0.342  0.819 0.395  1.071 0.395  1.185 0.381  0.937 0.331  0.690 0.282  0.441 0.246  0.413 0.021  0.413 -0.231  0.364 -0.435  0.364 -0.687  0.364 -0.940  0.364 -1.193  0.364 -1.445  0.364 -1.698  0.462 -1.881
2#tos#t1#t1042062/I  -0.006 1.363  -0.083 1.312  -0.118 1.274  -0.025 1.274  0.067 1.274  0.159 1.274  0.251 1.274  0.276 1.290  0.191 1.319  0.099 1.319  0.084 1.241  0.084 1.149  0.084 1.057  0.084 0.965  0.006 0.921  -0.006 0.836  -0.006 0.744  -0.006 0.651  -0.006 0.559  -0.006 0.467  -0.039 0.389  -0.051 0.301  -0.051 0.209  -0.051 0.117  -0.051 0.025  -0.051 -0.068  -0.051 -0.160  -0.051 -0.252  -0.051 -0.344  -0.051 -0.436  -0.051 -0.529  -0.051 -0.621  -0.051 -0.713  -0.051 -0.805  -0.051 -0.897  -0.051 -0.989  -0.051 -1.082  -0.051 -1.174  -0.060 -1.208  -0.089 -1.121  -0.122 -1.153  -0.212 -1.176  -0.275 -1.219  -0.200 -1.236  -0.108 -1.236  -0.016 -1.236  0.076 -1.236  0.168 -1.236  0.261 -1.236  0.353 -1.236
2#tos#t1#t1042062/K  -0.096 1.835  -0.276 1.779  -0.326 1.586  -0.373 1.357  -0.373 1.121  -0.373 0.885  -0.373 0.649  -0.373 0.413  -0.373 0.177  -0.373 -0.059  -0.373 -0.295  -0.373 -0.531  -0.373 -0.767  -0.373 -1.003  -0.373 -1.239  -0.373 -1.475  -0.267 -1.359  -0.283 -1.123  -0.298 -0.888  -0.313 -0.652  -0.328 -0.417  -0.343 -0.181  -0.358 0.054  -0.383 0.281  -0.474 0.191  -0.353 0.393  -0.164 0.490  0.020 0.616  0.224 0.734  0.401 0.888  0.611 0.960  0.840 1.002  0.988 1.029  0.829 0.855  0.670 0.680  0.511 0.506  0.352 0.332  0.193 0.157  0.033 -0.017  -0.126 -0.191  -0.262 -0.307  -0.216 -0.386  -0.096 -0.543  0.074 -0.702  0.277 -0.822  0.433 -0.983  0.644 -1.088  0.792 -1.190  0.903 -1.315  1.014 -1.440
2#tos#t1#t1042062/L  -0.261 1.670  -0.351 1.670  -0.359 1.587  -0.359 1.497  -0.359 1.407  -0.359 1.317  -0.359 1.227  -0.359 1.137  -0.359 1.047  -0.359 0.957  -0.359 0.866  -0.359 0.776  -0.359 0.686  -0.359 0.596  -0.359 0.506  -0.359 0.416  -0.364 0.326  -0.385 0.239  -0.407 0.151  -0.408 0.061  -0.408 -0.029  -0.408 -0.119  -0.428 -0.206  -0.457 -0.291  -0.457 -0.381  -0.457 -0.471  -0.457 -0.561  -0.457 -0.652  -0.446 -0.731  -0.356 -0.731  -0.266 -0.731  -0.176 -0.731  -0.086 -0.731  0.004 -0.731  0.094 -0.731  0.184 -0.731  0.275 -0.731  0.365 -0.731  0.455 -0.731  0.545 -0.731  0.617 -0.687  0.705 -0.682  0.795 -0.682  0.885 -0.682  0.975 -0.682  1.065 -0.682  1.143 -0.651  1.225 -0.633  1.315 -0.633  1.405 -0.633
2#tos#t1#t1042062/O  0.499 -0.661  0.351 -0.697  0.252 -0.773  0.089 -0.773  -0.074 -0.773  -0.181 -0.717  -0.288 -0.660  -0.443 -0.608  -0.549 -0.550  -0.687 -0.514  -0.755 -0.382  -0.898 -0.320  -0.939 -0.174  -1.016 -0.047  -1.122 0.011  -1.122 0.174  -1.122 0.337  -1.052 0.442  -0.989 0.589  -0.874 0.704  -0.747 0.791  -0.666 0.912  -0.546 1.015  -0.383 1.015  -0.220 1.015  -0.057 1.015  0.106 1.015  0.269 1.015  0.431 1.015  0.584 0.972  0.722 0.937  0.842 0.888  0.890 0.736  0.946 0.596  1.001 0.456  1.001 0.293  1.001 0.130  1.001 -0.033  1.001 -0.196  0.890 -0.289  0.882 -0.450  0.791 -0.586  0.653 -0.668  0.518 -0.754  0.386 -0.829  0.231 -0.858  0.093 -0.941  -0.070 -0.941  -0.232 -0.941  -0.395 -0.941
2#tos#t1#t1042062/Q  0.171 -0.671  0.102 -0.847  -0.099 -0.803  -0.300 -0.759  -0.471 -0.645  -0.619 -0.454  -0.756 -0.308  -0.862 -0.111  -1.014 0.074  -1.060 0.308  -1.060 0.552  -0.972 0.768  -0.851 0.948  -0.751 1.132  -0.557 1.258  -0.401 1.399  -0.230 1.521  -0.032 1.571  0.171 1.469  0.263 1.254  0.404 1.087  0.478 0.891  0.510 0.659  0.522 0.420  0.484 0.181  0.473 -0.060  0.390 -0.271  0.328 -0.460  0.171 -0.607  0.048 -0.750  -0.098 -0.891  -0.304 -0.804  -0.470 -0.624  -0.635 -0.443  -0.752 -0.455  -0.646 -0.363  -0.491 -0.239  -0.316 -0.130  -0.076 -0.100  0.080 -0.187  0.215 -0.298  0.302 -0.488  0.418 -0.638  0.624 -0.715  0.869 -0.715  1.059 -0.583  1.225 -0.471  1.388 -0.363  1.508 -0.187  1.621 -0.056
2#tos#t1#t1042062/R  -0.252 1.571  -0.384 1.435  -0.384 1.192  -0.384 0.949  -0.384 0.706  -0.384 0.463  -0.384 0.221  -0.370 -0.020  -0.340 -0.258  -0.340 -0.501  -0.321 -0.741  -0.296 -0.979  -0.296 -1.222  -0.253 -1.361  -0.266 -1.118  -0.278 -0.876  -0.290 -0.633  -0.303 -0.391  -0.315 -0.148  -0.327 0.094  -0.339 0.337  -0.352 0.580  -0.364 0.822  -0.376 1.065  -0.474 1.217  -0.449 1.173  -0.206 1.173  0.036 1.173  0.261 1.129  0.504 1.129  0.662 0.967  0.873 0.912  0.898 0.675  0.898 0.432  0.796 0.219  0.659 0.027  0.531 -0.166  0.347 -0.323  0.168 -0.485  -0.045 -0.561  -0.176 -0.728  -0.419 -0.728  -0.302 -0.772  -0.104 -0.816  0.129 -0.860  0.349 -0.936  0.526 -1.057  0.726 -1.179  0.853 -1.325  0.942 -1.479
2#tos#t1#t1042062/W  -1.170 0.959  -1.302 0.868  -1.204 0.715  -1.170 0.531  -1.125 0.350  -1.081 0.176  -1.081 -0.016  -1.053 -0.199  -0.991 -0.372  -0.907 -0.512  -0.897 -0.699  -0.780 -0.844  -0.618 -0.804  -0.518 -0.640  -0.411 -0.490  -0.340 -0.347  -0.321 -0.158  -0.289 0.025  -0.232 0.199  -0.187 0.372  -0.187 0.564  -0.098 0.719  -0.098 0.911  -0.053 1.013  -0.009 0.866  0.081 0.763  0.081 0.571  0.081 0.379  0.085 0.188  0.125 0.003  0.187 -0.175  0.259 -0.337  0.273 -0.515  0.304 -0.676  0.393 -0.841  0.438 -0.988  0.523 -1.095  0.661 -1.042  0.760 -0.942  0.840 -0.769  0.900 -0.589  0.946 -0.403  0.998 -0.219  1.089 -0.051  1.108 0.135  1.154 0.313  1.197 0.492  1.197 0.683  1.197 0.875  1.242 1.049
2#tos#t1#t1042062/X  -0.978 1.068  -1.142 0.990  -1.107 0.841  -0.978 0.723  -0.916 0.581  -0.761 0.462  -0.622 0.346  -0.536 0.195  -0.405 0.051  -0.304 -0.116  -0.152 -0.236  -0.028 -0.365  0.034 -0.547  0.164 -0.669  0.250 -0.838  0.357 -0.952  0.498 -1.066  0.570 -1.215  0.663 -1.194  0.676 -0.998  0.689 -0.802  0.702 -0.607  0.716 -0.411  0.729 -0.216  0.742 -0.020  0.755 0.175  0.769 0.371  0.782 0.566  0.795 0.762  0.809 0.957  0.822 1.153  0.765 1.283  0.701 1.151  0.589 1.068  0.494 0.946  0.355 0.808  0.241 0.651  0.088 0.530  -0.002 0.365  -0.097 0.201  -0.197 0.041  -0.335 -0.098  -0.461 -0.242  -0.500 -0.412  -0.678 -0.487  -0.749 -0.670  -0.874 -0.784  -0.892 -0.962  -0.974 -1.124  -1.064 -1.258
2#tos#t1#t1042062/a  -0.749 1.213  -0.851 1.093  -0.725 1.033  -0.539 1.138  -0.381 1.215  -0.166 1.269  0.018 1.387  0.239 1.393  0.440 1.343  0.570 1.245  0.630 1.084  0.630 0.862  0.596 0.674  0.570 0.478  0.458 0.337  0.390 0.164  0.390 -0.058  0.390 -0.280  0.390 -0.502  0.450 -0.664  0.450 -0.885  0.601 -0.991  0.759 -1.065  0.846 -1.079  0.747 -0.881  0.648 -0.682  0.549 -0.484  0.450 -0.285  0.350 -0.087  0.251 0.111  0.152 0.310  0.090 0.350  -0.035 0.254  -0.257 0.254  -0.479 0.254  -0.641 0.194  -0.809 0.105  -0.859 -0.096  -0.878 -0.312  -0.989 -0.466  -1.049 -0.628  -0.965 -0.766  -0.809 -0.832  -0.701 -0.945  -0.540 -1.005  -0.318 -1.005  -0.096 -1.005  0.126 -1.005  0.270 -0.927  0.390 -0.826
2#tos#t1#t1042062/b  -0.150 2.208  -0.313 2.177  -0.313 1.984  -0.300 1.792  -0.258 1.605  -0.258 1.411  -0.258 1.217  -0.258 1.023  -0.258 0.830  -0.258 0.636  -0.251 0.443  -0.204 0.255  -0.204 0.061  -0.151 -0.124  -0.150 -0.318  -0.150 -0.512  -0.150 -0.705  -0.150 -0.899  -0.108 -1.051  -0.160 -1.127  -0.204 -0.960  -0.204 -0.766  -0.204 -0.573  -0.204 -0.379  -0.204 -0.185  -0.204 0.009  -0.204 0.203  -0.204 0.217  -0.375 0.164  -0.384 0.144  -0.252 0.229  -0.064 0.253  0.085 0.361  0.279 0.361  0.448 0.336  0.607 0.267  0.720 0.141  0.767 -0.047  0.828 -0.227  0.828 -0.421  0.828 -0.615  0.802 -0.792  0.629 -0.879  0.546 -0.997  0.352 -0.997  0.190 -1.057  0.052 -1.160  -0.142 -1.160  -0.336 -1.160  -0.476 -1.214
