1c#app#app32#app3232/b  -0.378 1.259  -0.424 1.432  -0.535 1.577  -0.619 1.679  -0.588 1.630  -0.538 1.467  -0.538 1.282  -0.538 1.098  -0.538 0.913  -0.523 0.732  -0.465 0.557  -0.458 0.373  -0.458 0.189  -0.458 0.005  -0.435 -0.176  -0.378 -0.351  -0.378 -0.535  -0.378 -0.720  -0.378 -0.593  -0.378 -0.607  -0.378 -0.706  -0.378 -0.522  -0.314 -0.364  -0.241 -0.210  -0.217 -0.035  -0.103 0.105  -0.000 0.259  0.116 0.400  0.207 0.559  0.337 0.689  0.518 0.697  0.666 0.613  0.714 0.440  0.747 0.264  0.747 0.079  0.818 -0.088  0.827 -0.271  0.827 -0.455  0.827 -0.639  0.757 -0.807  0.666 -0.956  0.616 -1.120  0.586 -1.291  0.454 -1.391  0.270 -1.391  0.166 -1.311  0.074 -1.201  0.024 -1.037  0.024 -0.853  0.024 -0.668
1c#app#app32#app3232/l  -0.125 1.685  -0.125 1.615  -0.125 1.545  -0.125 1.475  -0.107 1.409  -0.076 1.346  -0.044 1.284  -0.013 1.221  -0.004 1.153  -0.004 1.083  -0.004 1.013  -0.004 0.943  -0.004 0.874  -0.004 0.804  -0.004 0.734  -0.004 0.664  -0.004 0.594  -0.004 0.524  -0.004 0.454  -0.004 0.384  -0.004 0.314  -0.004 0.244  -0.004 0.174  -0.004 0.104  -0.004 0.034  -0.004 -0.036  -0.004 -0.106  -0.004 -0.176  -0.004 -0.246  -0.004 -0.316  -0.004 -0.386  -0.004 -0.456  -0.004 -0.526  -0.004 -0.596  -0.004 -0.666  -0.004 -0.736  -0.004 -0.806  -0.004 -0.875  -0.004 -0.945  -0.004 -1.015  -0.004 -1.085  0.028 -1.148  0.059 -1.210  0.090 -1.273  0.116 -1.337  0.116 -1.407  0.116 -1.477  0.116 -1.547  0.116 -1.617  0.116 -1.687
1c#app#app32#app3232/s  0.153 1.373  0.049 1.373  -0.032 1.317  -0.106 1.243  -0.211 1.243  -0.292 1.187  -0.366 1.113  -0.459 1.067  -0.552 1.020  -0.641 0.967  -0.715 0.893  -0.754 0.805  -0.738 0.708  -0.664 0.634  -0.576 0.595  -0.472 0.595  -0.367 0.595  -0.263 0.595  -0.181 0.540  -0.107 0.466  -0.033 0.393  0.047 0.335  0.152 0.335  0.226 0.263  0.300 0.189  0.373 0.115  0.435 0.032  0.481 -0.061  0.528 -0.154  0.542 -0.255  0.575 -0.346  0.649 -0.420  0.672 -0.515  0.672 -0.619  0.672 -0.724  0.672 -0.828  0.600 -0.903  0.527 -0.977  0.453 -1.050  0.365 -1.091  0.267 -1.106  0.194 -1.180  0.106 -1.220  0.001 -1.220  -0.103 -1.220  -0.207 -1.220  -0.312 -1.220  -0.416 -1.220  -0.520 -1.220  -0.625 -1.220
1c#app#app32#app3232/w  -0.972 0.849  -0.972 1.009  -0.972 1.169  -0.874 1.231  -0.845 1.100  -0.845 0.940  -0.845 0.780  -0.845 0.620  -0.845 0.460  -0.845 0.299  -0.845 0.139  -0.845 -0.021  -0.840 -0.180  -0.769 -0.323  -0.718 -0.471  -0.718 -0.631  -0.605 -0.679  -0.573 -0.551  -0.427 -0.516  -0.336 -0.393  -0.336 -0.233  -0.268 -0.101  -0.209 0.034  -0.132 0.162  -0.081 0.302  -0.081 0.218  -0.081 0.058  -0.081 -0.102  -0.081 -0.262  -0.081 -0.422  0.031 -0.536  0.054 -0.687  0.167 -0.800  0.309 -0.874  0.455 -0.933  0.615 -0.933  0.748 -0.868  0.861 -0.755  0.974 -0.642  1.064 -0.519  1.110 -0.378  1.192 -0.252  1.192 -0.091  1.192 0.069  1.192 0.229  1.192 0.389  1.192 0.549  1.192 0.709  1.178 0.863  1.064 0.976
1c#app#app32#app3232/a  0.547 0.496  0.547 0.668  0.547 0.841  0.547 1.013  0.547 1.186  0.547 1.358  0.395 1.372  0.273 1.250  0.109 1.230  0.030 1.078  -0.047 0.923  -0.124 0.769  -0.215 0.629  -0.369 0.552  -0.515 0.462  -0.628 0.336  -0.628 0.164  -0.673 0.010  -0.787 -0.117  -0.864 -0.272  -0.953 -0.417  -1.068 -0.542  -1.068 -0.715  -1.068 -0.887  -1.068 -1.060  -0.955 -1.120  -0.783 -1.120  -0.628 -1.102  -0.585 -0.973  -0.481 -0.904  -0.386 -0.826  -0.249 -0.741  -0.149 -0.603  -0.072 -0.449  -0.040 -0.284  0.050 -0.148  0.107 0.000  0.190 0.138  0.253 0.285  0.362 0.349  0.495 0.254  0.617 0.132  0.694 -0.008  0.783 -0.092  0.841 -0.207  0.940 -0.338  1.062 -0.460  1.184 -0.582  1.306 -0.704  1.428 -0.826
1c#app#app32#app3232/x  -1.176 1.168  -1.051 1.112  -0.940 1.042  -0.896 0.888  -0.801 0.747  -0.729 0.595  -0.629 0.448  -0.546 0.287  -0.419 0.159  -0.300 0.028  -0.269 -0.146  -0.188 -0.307  -0.068 -0.441  0.096 -0.480  0.224 -0.608  0.352 -0.736  0.480 -0.864  0.620 -0.961  0.713 -0.862  0.734 -0.682  0.755 -0.503  0.776 -0.323  0.798 -0.143  0.819 0.036  0.840 0.216  0.861 0.395  0.882 0.575  0.903 0.754  0.924 0.934  0.945 1.114  0.863 1.078  0.823 0.914  0.695 0.786  0.571 0.656  0.490 0.494  0.367 0.374  0.205 0.294  0.076 0.167  -0.051 0.039  -0.178 -0.090  -0.258 -0.252  -0.379 -0.374  -0.540 -0.455  -0.670 -0.580  -0.772 -0.729  -0.872 -0.880  -0.926 -1.044  -1.051 -1.100  -1.051 -1.281  -1.051 -1.461
1c#app#app32#app3232/m  -1.054 0.433  -1.054 0.653  -1.004 0.507  -0.931 0.317  -0.807 0.148  -0.807 -0.072  -0.807 -0.292  -0.866 -0.488  -0.935 -0.679  -1.054 -0.850  -1.054 -0.773  -1.054 -0.553  -0.956 -0.356  -0.858 -0.160  -0.731 0.017  -0.684 0.217  -0.594 0.400  -0.439 0.556  -0.340 0.752  -0.199 0.918  -0.033 1.049  0.055 0.917  0.055 0.697  0.055 0.477  0.055 0.257  0.055 0.037  0.055 -0.183  -0.068 -0.352  -0.068 -0.572  -0.068 -0.792  -0.158 -0.922  -0.068 -0.858  0.003 -0.655  0.055 -0.447  0.178 -0.278  0.234 -0.071  0.350 0.113  0.506 0.268  0.619 0.454  0.776 0.556  0.945 0.680  1.152 0.624  1.287 0.487  1.404 0.316  1.410 0.098  1.493 -0.102  1.533 -0.313  1.533 -0.533  1.478 -0.730  1.410 -0.922
1c#app#app32#app3232/e  -0.854 0.599  -0.715 0.593  -0.704 0.460  -0.559 0.460  -0.421 0.443  -0.319 0.341  -0.183 0.321  -0.038 0.321  0.069 0.231  0.194 0.183  0.338 0.183  0.483 0.183  0.627 0.183  0.772 0.183  0.916 0.183  1.061 0.183  1.206 0.183  1.226 0.307  1.226 0.451  1.226 0.596  1.223 0.737  1.079 0.737  0.934 0.737  0.790 0.737  0.645 0.737  0.501 0.737  0.360 0.720  0.231 0.656  0.105 0.587  0.002 0.484  -0.100 0.382  -0.202 0.280  -0.306 0.180  -0.435 0.115  -0.564 0.050  -0.635 -0.073  -0.700 -0.202  -0.715 -0.343  -0.767 -0.475  -0.832 -0.605  -0.854 -0.744  -0.854 -0.889  -0.854 -1.033  -0.804 -1.166  -0.739 -1.295  -0.651 -1.407  -0.537 -1.482  -0.406 -1.514  -0.304 -1.616  -0.161 -1.620
1c#app#app32#app3232/r  -0.061 1.219  -0.061 1.073  -0.127 0.955  -0.230 0.851  -0.260 0.718  -0.260 0.572  -0.260 0.426  -0.260 0.280  -0.260 0.134  -0.260 -0.012  -0.260 -0.158  -0.260 -0.303  -0.260 -0.449  -0.260 -0.595  -0.260 -0.741  -0.260 -0.887  -0.260 -1.033  -0.260 -1.179  -0.260 -1.325  -0.260 -1.471  -0.260 -1.523  -0.260 -1.377  -0.400 -1.371  -0.460 -1.284  -0.460 -1.138  -0.460 -0.993  -0.460 -0.847  -0.460 -0.701  -0.446 -0.560  -0.343 -0.457  -0.260 -0.345  -0.260 -0.199  -0.260 -0.053  -0.212 0.072  -0.109 0.176  -0.026 0.294  0.039 0.424  0.105 0.555  0.188 0.672  0.292 0.775  0.419 0.821  0.537 0.849  0.537 0.995  0.657 1.020  0.803 1.020  0.949 1.020  1.095 1.020  1.241 1.020  1.387 1.020  1.533 1.020
1c#app#app32#app3232/c  0.691 1.182  0.593 1.182  0.552 1.240  0.535 1.321  0.436 1.321  0.338 1.321  0.274 1.286  0.274 1.188  0.181 1.182  0.098 1.145  0.028 1.075  -0.041 1.006  -0.111 0.936  -0.181 0.866  -0.250 0.797  -0.282 0.711  -0.282 0.613  -0.282 0.514  -0.332 0.436  -0.402 0.367  -0.421 0.276  -0.443 0.187  -0.513 0.117  -0.560 0.038  -0.560 -0.061  -0.560 -0.159  -0.560 -0.258  -0.560 -0.356  -0.560 -0.455  -0.560 -0.553  -0.541 -0.644  -0.472 -0.714  -0.402 -0.784  -0.332 -0.853  -0.282 -0.931  -0.282 -1.030  -0.196 -1.043  -0.098 -1.043  0.001 -1.043  0.099 -1.043  0.198 -1.043  0.296 -1.043  0.395 -1.043  0.493 -1.043  0.580 -1.015  0.650 -0.945  0.720 -0.875  0.789 -0.806  0.871 -0.764  0.970 -0.764
1c#app#app32#app3232/i  -0.045 0.453  -0.045 0.334  -0.045 0.215  -0.045 0.096  -0.045 -0.023  -0.045 -0.141  -0.069 -0.255  -0.122 -0.361  -0.175 -0.468  -0.178 -0.586  -0.178 -0.705  -0.178 -0.824  -0.178 -0.942  -0.178 -1.061  -0.144 -1.167  -0.060 -1.251  -0.045 -1.363  0.014 -1.457  0.087 -1.514  0.087 -1.395  0.087 -1.276  0.087 -1.157  0.087 -1.038  0.087 -0.919  0.087 -0.801  0.087 -0.682  0.087 -0.563  0.087 -0.444  0.087 -0.325  0.087 -0.206  0.087 -0.087  0.087 0.032  0.087 0.151  0.087 0.269  0.087 0.388  0.087 0.507  0.087 0.626  0.087 0.745  0.087 0.864  0.087 0.983  0.087 1.102  0.087 1.221  0.087 1.339  0.087 1.458  0.087 1.577  0.034 1.643  -0.085 1.643  -0.178 1.669  -0.178 1.788  -0.178 1.907
1c#app#app32#app3232/f  0.930 0.912  0.930 1.058  0.909 1.195  0.843 1.314  0.818 1.436  0.755 1.519  0.614 1.523  0.562 1.417  0.459 1.314  0.356 1.211  0.252 1.107  0.211 0.979  0.107 0.875  0.023 0.758  -0.045 0.629  -0.126 0.507  -0.207 0.386  -0.272 0.255  -0.293 0.114  -0.324 -0.025  -0.380 -0.158  -0.380 -0.304  -0.380 -0.450  -0.380 -0.596  -0.380 -0.742  -0.380 -0.889  -0.380 -1.035  -0.343 -1.172  -0.293 -1.306  -0.293 -1.452  -0.228 -1.534  -0.237 -1.415  -0.275 -1.274  -0.313 -1.133  -0.350 -0.991  -0.388 -0.850  -0.426 -0.709  -0.463 -0.568  -0.501 -0.427  -0.538 -0.285  -0.472 -0.224  -0.326 -0.224  -0.180 -0.224  -0.118 -0.140  0.025 -0.136  0.083 -0.049  0.230 -0.049  0.376 -0.049  0.522 -0.049  0.668 -0.049
1c#app#app32#app3232/u  -0.639 1.055  -0.556 0.971  -0.480 0.885  -0.480 0.767  -0.566 0.735  -0.671 0.703  -0.755 0.620  -0.799 0.520  -0.799 0.402  -0.799 0.284  -0.799 0.166  -0.799 0.048  -0.799 -0.070  -0.799 -0.188  -0.799 -0.306  -0.799 -0.424  -0.799 -0.542  -0.799 -0.660  -0.724 -0.703  -0.639 -0.736  -0.639 -0.854  -0.530 -0.863  -0.432 -0.911  -0.348 -0.994  -0.242 -1.023  -0.134 -0.997  -0.051 -0.914  0.041 -0.842  0.147 -0.789  0.252 -0.737  0.350 -0.672  0.433 -0.589  0.479 -0.490  0.487 -0.375  0.571 -0.292  0.639 -0.202  0.639 -0.084  0.708 0.005  0.792 0.089  0.799 0.204  0.828 0.315  0.881 0.421  0.934 0.526  0.958 0.638  0.974 0.750  1.057 0.834  1.118 0.926  1.118 1.044  1.195 1.131  1.278 1.214
1c#app#app32#app3232/l  0.444 1.551  0.495 1.499  0.546 1.448  0.564 1.383  0.563 1.311  0.512 1.260  0.461 1.208  0.422 1.148  0.390 1.083  0.358 1.019  0.325 0.954  0.275 0.902  0.224 0.851  0.184 0.791  0.152 0.727  0.119 0.662  0.087 0.597  0.055 0.532  0.022 0.468  -0.010 0.403  -0.036 0.337  -0.036 0.264  -0.036 0.192  -0.036 0.119  -0.065 0.054  -0.097 -0.011  -0.130 -0.076  -0.155 -0.142  -0.155 -0.214  -0.155 -0.287  -0.155 -0.359  -0.201 -0.413  -0.252 -0.464  -0.275 -0.527  -0.275 -0.599  -0.275 -0.671  -0.275 -0.744  -0.275 -0.816  -0.275 -0.889  -0.275 -0.961  -0.275 -1.033  -0.275 -1.106  -0.275 -1.178  -0.275 -1.251  -0.275 -1.323  -0.275 -1.395  -0.275 -1.468  -0.275 -1.540  -0.275 -1.613  -0.275 -1.685
