2#tos#f3#f3042066/!  0.334 1.434  0.287 1.462  0.287 1.537  0.287 1.540  0.287 1.465  0.273 1.392  0.249 1.321  0.240 1.247  0.230 1.174  0.202 1.104  0.174 1.034  0.146 0.965  0.145 0.890  0.129 0.817  0.105 0.746  0.097 0.672  0.097 0.597  0.097 0.522  0.085 0.449  0.061 0.377  0.050 0.304  0.050 0.229  0.049 0.154  -0.004 0.101  -0.045 0.042  -0.045 -0.033  -0.045 -0.108  -0.046 -0.183  -0.057 -0.257  -0.068 -0.332  -0.079 -0.406  -0.090 -0.480  -0.101 -0.555  -0.113 -0.629  -0.124 -0.703  -0.135 -0.778  -0.146 -0.852  -0.157 -0.926  -0.168 -1.001  -0.180 -1.075  -0.187 -1.150  -0.187 -1.225  -0.187 -1.300  -0.201 -1.361  -0.277 -1.361  -0.211 -1.361  -0.189 -1.316  -0.242 -1.369  -0.301 -1.408  -0.376 -1.408
2#tos#f3#f3042066/@  0.375 0.128  0.458 0.198  0.449 0.460  0.204 0.539  -0.065 0.539  -0.279 0.422  -0.486 0.296  -0.616 0.082  -0.693 -0.162  -0.652 -0.389  -0.414 -0.373  -0.153 -0.333  0.010 -0.172  0.221 -0.026  0.373 0.027  0.581 -0.123  0.737 -0.283  0.741 -0.406  0.540 -0.535  0.334 -0.657  0.119 -0.776  -0.122 -0.858  -0.379 -0.906  -0.622 -0.981  -0.891 -0.981  -1.114 -0.930  -1.286 -0.758  -1.391 -0.524  -1.432 -0.265  -1.415 -0.001  -1.295 0.239  -1.145 0.457  -0.935 0.584  -0.710 0.725  -0.484 0.855  -0.225 0.923  0.032 1.000  0.292 1.065  0.553 1.114  0.815 1.077  1.039 0.938  1.156 0.712  1.258 0.478  1.279 0.219  1.279 -0.049  1.156 -0.242  1.042 -0.469  0.821 -0.574  0.603 -0.653  0.334 -0.653
2#tos#f3#f3042066/[  0.812 1.253  0.760 1.176  0.703 1.108  0.610 1.108  0.518 1.108  0.425 1.108  0.332 1.108  0.239 1.108  0.148 1.097  0.060 1.067  0.016 1.012  -0.077 1.012  -0.170 1.012  -0.259 1.004  -0.325 0.938  -0.396 0.903  -0.396 0.810  -0.396 0.717  -0.396 0.624  -0.396 0.531  -0.396 0.439  -0.396 0.346  -0.396 0.253  -0.361 0.168  -0.348 0.078  -0.348 -0.015  -0.344 -0.107  -0.303 -0.190  -0.300 -0.282  -0.300 -0.375  -0.275 -0.464  -0.251 -0.553  -0.251 -0.646  -0.251 -0.739  -0.251 -0.831  -0.248 -0.921  -0.203 -0.969  -0.203 -1.062  -0.203 -1.155  -0.117 -1.162  -0.025 -1.162  0.068 -1.162  0.161 -1.162  0.254 -1.162  0.347 -1.162  0.440 -1.162  0.533 -1.162  0.626 -1.162  0.719 -1.162  0.812 -1.162
2#tos#f3#f3042066/^  -1.030 -0.524  -1.127 -0.542  -1.202 -0.616  -1.280 -0.680  -1.303 -0.680  -1.218 -0.633  -1.187 -0.541  -1.102 -0.517  -1.027 -0.445  -0.952 -0.416  -0.952 -0.311  -0.873 -0.284  -0.873 -0.179  -0.817 -0.131  -0.717 -0.127  -0.717 -0.022  -0.676 0.066  -0.586 0.104  -0.560 0.182  -0.486 0.256  -0.393 0.305  -0.324 0.367  -0.270 0.418  -0.174 0.454  -0.079 0.496  -0.011 0.533  -0.011 0.638  0.079 0.653  0.184 0.653  0.289 0.653  0.394 0.653  0.460 0.615  0.460 0.510  0.539 0.483  0.566 0.390  0.647 0.324  0.741 0.278  0.822 0.213  0.914 0.182  0.993 0.120  1.009 0.022  1.034 -0.069  1.121 -0.128  1.209 -0.186  1.245 -0.272  1.324 -0.328  1.402 -0.384  1.446 -0.445  1.512 -0.508  1.558 -0.602
2#tos#f3#f3042066/{  0.531 1.339  0.513 1.381  0.455 1.347  0.367 1.297  0.279 1.241  0.179 1.202  0.089 1.142  -0.015 1.129  -0.071 1.040  -0.173 1.006  -0.239 0.961  -0.303 0.890  -0.345 0.828  -0.251 0.793  -0.161 0.751  -0.079 0.688  0.021 0.667  0.081 0.612  0.111 0.516  0.111 0.407  0.069 0.317  0.027 0.251  -0.032 0.185  -0.135 0.150  -0.226 0.108  -0.304 0.078  -0.291 0.078  -0.183 0.078  -0.075 0.078  -0.057 -0.012  0.015 -0.048  0.027 -0.145  0.027 -0.253  0.027 -0.361  0.027 -0.469  0.027 -0.577  0.027 -0.685  0.027 -0.793  0.027 -0.902  -0.017 -0.996  -0.057 -1.092  -0.057 -1.201  -0.057 -1.309  -0.057 -1.417  -0.057 -1.525  -0.057 -1.633  -0.057 -1.741  0.020 -1.771  0.087 -1.813  0.195 -1.813
2#tos#f3#f3042066/}  -0.820 0.942  -0.820 1.057  -0.755 1.117  -0.652 1.169  -0.540 1.186  -0.432 1.217  -0.319 1.227  -0.203 1.227  -0.088 1.227  0.028 1.227  0.112 1.151  0.118 1.038  0.076 0.939  0.040 0.830  -0.055 0.769  -0.108 0.675  -0.189 0.593  -0.271 0.512  -0.290 0.404  -0.290 0.288  -0.208 0.207  -0.092 0.207  0.023 0.207  0.139 0.207  0.255 0.207  0.370 0.207  0.367 0.133  0.281 0.100  0.265 -0.005  0.200 -0.080  0.131 -0.154  0.118 -0.261  0.118 -0.377  0.118 -0.493  0.169 -0.589  0.233 -0.683  0.281 -0.755  0.375 -0.784  0.444 -0.847  0.444 -0.963  0.404 -1.038  0.390 -1.139  0.300 -1.202  0.226 -1.290  0.160 -1.383  0.098 -1.476  0.034 -1.553  -0.004 -1.659  -0.052 -1.751  -0.127 -1.792
2#tos#f3#f3042066/~  -1.302 -0.055  -1.354 -0.093  -1.409 -0.161  -1.457 -0.187  -1.396 -0.158  -1.332 -0.114  -1.278 -0.055  -1.231 0.005  -1.202 0.091  -1.119 0.100  -1.048 0.148  -0.981 0.203  -0.890 0.203  -0.890 0.294  -0.812 0.306  -0.722 0.306  -0.631 0.306  -0.541 0.306  -0.451 0.306  -0.360 0.306  -0.271 0.304  -0.207 0.240  -0.132 0.203  -0.066 0.178  -0.057 0.091  0.006 0.027  0.070 -0.036  0.134 -0.100  0.214 -0.143  0.243 -0.215  0.275 -0.292  0.357 -0.312  0.447 -0.312  0.538 -0.312  0.628 -0.312  0.718 -0.308  0.804 -0.280  0.891 -0.261  0.977 -0.248  1.016 -0.174  1.038 -0.106  1.128 -0.106  1.219 -0.106  1.305 -0.078  1.387 -0.044  1.451 0.020  1.529 0.048  1.531 0.137  1.599 0.186  1.634 0.255
2#tos#f3#f3042066/0  0.012 1.095  -0.090 1.044  -0.141 0.942  -0.177 0.804  -0.269 0.685  -0.353 0.560  -0.404 0.416  -0.446 0.273  -0.488 0.138  -0.496 -0.011  -0.581 -0.136  -0.649 -0.266  -0.700 -0.407  -0.700 -0.559  -0.700 -0.712  -0.735 -0.857  -0.750 -1.006  -0.750 -1.159  -0.750 -1.311  -0.631 -1.345  -0.478 -1.345  -0.377 -1.289  -0.229 -1.252  -0.140 -1.141  -0.039 -1.050  0.099 -1.005  0.202 -0.913  0.276 -0.796  0.398 -0.704  0.458 -0.566  0.571 -0.478  0.571 -0.325  0.618 -0.184  0.703 -0.074  0.723 0.058  0.765 0.204  0.774 0.355  0.774 0.508  0.807 0.653  0.825 0.802  0.774 0.942  0.723 1.044  0.600 1.116  0.460 1.146  0.307 1.146  0.157 1.126  0.010 1.095  -0.087 1.020  -0.206 0.928  -0.242 0.790
2#tos#f3#f3042066/2  -0.260 1.353  -0.163 1.401  -0.018 1.401  0.079 1.449  0.224 1.449  0.326 1.347  0.405 1.256  0.514 1.220  0.540 1.085  0.611 0.970  0.708 0.884  0.708 0.739  0.708 0.594  0.708 0.449  0.651 0.328  0.532 0.248  0.445 0.135  0.378 0.020  0.256 -0.059  0.145 -0.145  0.056 -0.256  -0.070 -0.327  -0.193 -0.404  -0.327 -0.460  -0.467 -0.486  -0.594 -0.547  -0.720 -0.619  -0.862 -0.631  -1.007 -0.631  -1.152 -0.631  -1.297 -0.631  -1.323 -0.582  -1.198 -0.534  -1.053 -0.534  -0.908 -0.534  -0.763 -0.534  -0.618 -0.534  -0.473 -0.534  -0.328 -0.534  -0.183 -0.534  -0.038 -0.534  0.108 -0.534  0.253 -0.534  0.398 -0.534  0.543 -0.534  0.686 -0.543  0.825 -0.583  0.970 -0.583  1.095 -0.631  1.143 -0.631
2#tos#f3#f3042066/6  0.532 1.944  0.439 1.887  0.326 1.796  0.236 1.681  0.199 1.536  0.118 1.415  0.013 1.308  -0.035 1.166  -0.073 1.021  -0.110 0.875  -0.146 0.729  -0.213 0.597  -0.275 0.465  -0.284 0.318  -0.375 0.198  -0.463 0.077  -0.547 -0.048  -0.601 -0.188  -0.620 -0.335  -0.620 -0.485  -0.620 -0.635  -0.620 -0.785  -0.620 -0.936  -0.586 -1.052  -0.497 -1.131  -0.353 -1.167  -0.207 -1.157  -0.076 -1.109  0.074 -1.108  0.199 -1.024  0.330 -0.951  0.464 -0.884  0.573 -0.781  0.696 -0.715  0.802 -0.609  0.878 -0.524  0.935 -0.397  0.896 -0.263  0.777 -0.188  0.633 -0.173  0.500 -0.130  0.350 -0.130  0.200 -0.130  0.063 -0.086  -0.066 -0.015  -0.216 -0.015  -0.366 -0.015  -0.517 -0.015  -0.620 0.066  -0.505 0.101
2#tos#f3#f3042066/7  -0.569 1.065  -0.668 1.032  -0.677 0.935  -0.677 0.831  -0.641 0.763  -0.605 0.791  -0.596 0.886  -0.498 0.891  -0.425 0.922  -0.326 0.955  -0.223 0.958  -0.119 0.958  -0.016 0.952  0.080 0.916  0.172 0.886  0.254 0.864  0.305 0.797  0.393 0.747  0.468 0.716  0.504 0.648  0.580 0.600  0.576 0.634  0.576 0.531  0.492 0.475  0.434 0.388  0.362 0.314  0.328 0.216  0.283 0.123  0.254 0.026  0.254 -0.078  0.254 -0.182  0.237 -0.280  0.172 -0.361  0.109 -0.443  0.084 -0.543  0.075 -0.646  0.075 -0.750  0.033 -0.844  -0.006 -0.939  -0.031 -1.040  -0.033 -1.144  -0.033 -1.247  -0.033 -1.351  -0.075 -1.432  -0.140 -1.501  -0.150 -1.603  -0.176 -1.701  -0.212 -1.683  -0.212 -1.579  -0.212 -1.475
2#tos#f3#f3042066/9  -0.072 0.027  -0.114 -0.099  0.053 -0.100  0.201 -0.038  0.355 0.028  0.466 0.130  0.600 0.231  0.704 0.330  0.779 0.452  0.779 0.621  0.779 0.789  0.678 0.917  0.608 1.048  0.486 1.123  0.343 1.181  0.183 1.218  0.014 1.218  -0.155 1.218  -0.284 1.179  -0.432 1.102  -0.518 0.962  -0.539 0.799  -0.539 0.630  -0.524 0.465  -0.439 0.339  -0.284 0.282  -0.140 0.223  0.018 0.197  0.187 0.197  0.355 0.197  0.519 0.216  0.540 0.223  0.406 0.122  0.354 -0.025  0.256 -0.139  0.159 -0.261  0.043 -0.364  -0.019 -0.516  -0.114 -0.653  -0.180 -0.808  -0.275 -0.942  -0.369 -1.079  -0.412 -1.240  -0.495 -1.374  -0.597 -1.509  -0.660 -1.660  -0.710 -1.784  -0.742 -1.834  -0.665 -1.692  -0.582 -1.546
2#tos#f3#f3042066/A  -1.187 -1.077  -1.234 -1.189  -1.149 -1.060  -1.079 -0.862  -1.000 -0.702  -0.926 -0.519  -0.807 -0.341  -0.711 -0.154  -0.597 0.021  -0.506 0.211  -0.378 0.382  -0.259 0.559  -0.108 0.710  -0.018 0.899  0.077 1.090  0.198 1.266  0.306 1.446  0.343 1.652  0.455 1.667  0.481 1.457  0.493 1.245  0.493 1.031  0.558 0.835  0.567 0.622  0.605 0.414  0.625 0.204  0.646 -0.007  0.679 -0.216  0.717 -0.424  0.737 -0.633  0.791 -0.837  0.828 -1.042  0.882 -1.056  0.734 -0.925  0.549 -0.816  0.365 -0.707  0.181 -0.599  -0.004 -0.490  -0.188 -0.381  -0.373 -0.272  -0.557 -0.164  -0.764 -0.161  -0.800 -0.182  -0.586 -0.182  -0.371 -0.182  -0.160 -0.158  0.052 -0.142  0.257 -0.094  0.465 -0.070  0.679 -0.070
2#tos#f3#f3042066/C  0.770 0.907  0.664 0.893  0.664 0.773  0.664 0.652  0.664 0.576  0.628 0.660  0.523 0.695  0.446 0.766  0.382 0.822  0.305 0.907  0.185 0.907  0.068 0.923  -0.047 0.943  -0.168 0.943  -0.268 0.883  -0.378 0.855  -0.452 0.761  -0.547 0.699  -0.655 0.649  -0.727 0.553  -0.821 0.483  -0.862 0.371  -0.891 0.263  -0.932 0.159  -0.962 0.051  -0.962 -0.069  -0.962 -0.189  -0.962 -0.310  -0.879 -0.386  -0.809 -0.479  -0.714 -0.549  -0.659 -0.624  -0.541 -0.647  -0.441 -0.713  -0.325 -0.745  -0.209 -0.775  -0.091 -0.801  0.027 -0.825  0.141 -0.860  0.262 -0.860  0.382 -0.860  0.502 -0.860  0.623 -0.860  0.743 -0.860  0.863 -0.860  0.984 -0.860  1.104 -0.860  1.216 -0.825  1.255 -0.729  1.195 -0.684
2#tos#f3#f3042066/F  -0.326 0.893  -0.515 0.893  -0.497 0.893  -0.308 0.893  -0.119 0.893  0.070 0.893  0.259 0.893  0.444 0.906  0.627 0.932  0.816 0.932  1.005 0.932  0.935 0.969  0.747 0.955  0.558 0.942  0.370 0.929  0.182 0.915  -0.007 0.902  -0.188 0.874  -0.263 0.707  -0.287 0.524  -0.287 0.335  -0.287 0.146  -0.350 -0.024  -0.365 -0.208  -0.365 -0.397  -0.420 -0.575  -0.444 -0.760  -0.444 -0.948  -0.497 -1.127  -0.561 -1.296  -0.561 -1.485  -0.582 -1.654  -0.631 -1.524  -0.600 -1.337  -0.569 -1.151  -0.538 -0.965  -0.507 -0.778  -0.476 -0.592  -0.445 -0.406  -0.417 -0.400  -0.228 -0.400  -0.042 -0.375  0.142 -0.332  0.330 -0.322  0.486 -0.243  0.675 -0.243  0.848 -0.192  1.029 -0.165  1.209 -0.126  1.397 -0.126
2#tos#f3#f3042066/G  0.793 1.299  0.717 1.420  0.561 1.460  0.375 1.411  0.192 1.340  0.015 1.255  -0.159 1.182  -0.287 1.034  -0.429 0.902  -0.570 0.770  -0.736 0.664  -0.867 0.529  -0.959 0.367  -1.109 0.241  -1.237 0.093  -1.257 -0.099  -1.297 -0.286  -1.274 -0.478  -1.150 -0.604  -0.959 -0.631  -0.762 -0.631  -0.569 -0.662  -0.374 -0.671  -0.177 -0.671  0.020 -0.671  0.209 -0.652  0.364 -0.551  0.561 -0.551  0.750 -0.548  0.597 -0.424  0.444 -0.300  0.291 -0.176  0.138 -0.052  -0.015 0.072  -0.190 0.133  -0.036 0.133  0.161 0.133  0.358 0.133  0.554 0.133  0.751 0.133  0.948 0.133  0.954 -0.058  0.892 -0.233  0.753 -0.361  0.668 -0.524  0.630 -0.713  0.512 -0.847  0.447 -1.017  0.407 -1.202  0.351 -1.355
2#tos#f3#f3042066/H  -0.724 1.039  -0.766 1.198  -0.628 1.222  -0.599 1.027  -0.599 0.826  -0.599 0.624  -0.599 0.423  -0.625 0.225  -0.692 0.035  -0.760 -0.154  -0.766 -0.355  -0.833 -0.542  -0.891 -0.726  -0.891 -0.927  -0.974 -1.044  -0.966 -0.843  -0.957 -0.641  -0.947 -0.440  -0.938 -0.239  -1.019 -0.134  -0.942 -0.211  -0.740 -0.211  -0.552 -0.143  -0.353 -0.128  -0.152 -0.128  0.049 -0.128  0.251 -0.128  0.452 -0.128  0.651 -0.107  0.850 -0.086  0.917 -0.086  0.867 0.057  0.883 0.258  0.900 0.459  0.916 0.660  0.932 0.860  0.943 1.061  0.859 0.981  0.859 0.779  0.859 0.578  0.859 0.377  0.859 0.175  0.818 -0.020  0.818 -0.221  0.777 -0.418  0.693 -0.599  0.671 -0.796  0.609 -0.975  0.609 -1.177  0.609 -1.128
2#tos#f3#f3042066/I  0.026 1.164  -0.081 1.123  -0.198 1.105  -0.295 1.041  -0.188 1.041  -0.064 1.041  0.060 1.041  0.184 1.041  0.309 1.041  0.429 1.065  0.550 1.082  0.674 1.082  0.588 1.041  0.464 1.041  0.381 1.000  0.314 0.943  0.215 0.917  0.091 0.917  0.013 0.864  -0.053 0.760  -0.057 0.637  -0.098 0.530  -0.098 0.406  -0.098 0.282  -0.098 0.158  -0.085 0.039  -0.057 -0.074  -0.019 -0.189  -0.015 -0.312  -0.015 -0.436  -0.015 -0.560  -0.015 -0.685  -0.015 -0.809  -0.086 -0.889  -0.098 -1.006  -0.124 -1.114  -0.241 -1.143  -0.365 -1.143  -0.489 -1.143  -0.613 -1.143  -0.629 -1.184  -0.505 -1.184  -0.380 -1.184  -0.256 -1.184  -0.132 -1.184  -0.008 -1.184  0.116 -1.184  0.240 -1.184  0.355 -1.143  0.479 -1.143
2#tos#f3#f3042066/J  -0.793 0.455  -0.940 0.455  -1.086 0.455  -1.014 0.509  -0.874 0.524  -0.736 0.570  -0.600 0.622  -0.458 0.659  -0.316 0.694  -0.174 0.730  -0.034 0.773  0.096 0.830  0.227 0.866  0.368 0.899  0.510 0.935  0.656 0.935  0.776 1.010  0.914 1.038  0.782 1.038  0.684 0.960  0.545 0.935  0.441 0.832  0.325 0.757  0.219 0.695  0.201 0.567  0.235 0.435  0.243 0.289  0.270 0.146  0.294 0.004  0.304 -0.141  0.304 -0.287  0.304 -0.434  0.317 -0.578  0.357 -0.718  0.373 -0.863  0.373 -1.009  0.373 -1.155  0.318 -1.279  0.270 -1.385  0.135 -1.397  -0.012 -1.397  -0.142 -1.360  -0.250 -1.318  -0.346 -1.225  -0.474 -1.164  -0.519 -1.032  -0.613 -0.934  -0.622 -0.790  -0.622 -0.643  -0.588 -0.505
