2#app#app25#app2545/b  0.575 1.633  0.575 1.832  0.575 1.791  0.575 1.592  0.575 1.393  0.414 1.355  0.297 1.274  0.297 1.075  0.297 0.876  0.175 0.800  0.020 0.757  0.020 0.558  -0.144 0.523  -0.258 0.438  -0.258 0.240  -0.258 0.041  -0.347 -0.121  -0.487 -0.261  -0.627 -0.402  -0.768 -0.542  -0.813 -0.722  -0.813 -0.809  -0.813 -0.610  -0.813 -0.412  -0.716 -0.310  -0.523 -0.297  -0.382 -0.157  -0.235 -0.032  -0.036 -0.032  0.020 0.110  0.020 0.309  0.020 0.508  0.149 0.393  0.290 0.253  0.485 0.245  0.575 0.136  0.575 -0.063  0.575 -0.261  0.575 -0.460  0.524 -0.638  0.384 -0.778  0.297 -0.941  0.297 -1.140  0.297 -1.338  0.180 -1.420  -0.018 -1.420  -0.217 -1.420  -0.258 -1.262  -0.337 -1.142  -0.535 -1.142
3#kai#kai1#jhkim5/b  -1.234 -0.128  -1.087 -0.070  -0.949 0.005  -0.817 0.093  -0.698 0.196  -0.576 0.296  -0.439 0.374  -0.320 0.468  -0.238 0.604  -0.100 0.665  0.052 0.708  0.169 0.811  0.281 0.923  0.411 1.013  0.451 1.164  0.451 1.322  0.359 1.388  0.283 1.306  0.175 1.226  0.148 1.085  0.036 0.973  0.030 0.817  -0.016 0.667  -0.115 0.544  -0.193 0.410  -0.243 0.262  -0.326 0.128  -0.395 -0.014  -0.445 -0.164  -0.491 -0.316  -0.532 -0.468  -0.560 -0.622  -0.560 -0.780  -0.560 -0.938  -0.501 -1.072  -0.381 -1.174  -0.238 -1.224  -0.082 -1.210  0.072 -1.171  0.220 -1.123  0.347 -1.028  0.486 -0.954  0.627 -0.883  0.755 -0.794  0.867 -0.682  0.979 -0.570  1.107 -0.478  1.238 -0.390  1.256 -0.523  1.294 -0.676
3#kai#kai1#jhkim5/b  -1.643 -0.787  -1.509 -0.698  -1.375 -0.609  -1.242 -0.520  -1.103 -0.439  -0.961 -0.366  -0.847 -0.252  -0.734 -0.139  -0.620 -0.025  -0.499 0.080  -0.375 0.182  -0.255 0.288  -0.141 0.402  0.008 0.458  0.126 0.564  0.227 0.688  0.331 0.807  0.468 0.889  0.606 0.954  0.651 1.108  0.658 1.267  0.684 1.402  0.528 1.390  0.394 1.301  0.332 1.153  0.270 1.005  0.198 0.862  0.152 0.709  0.129 0.551  0.106 0.394  0.052 0.243  -0.008 0.094  -0.027 -0.063  -0.061 -0.213  -0.131 -0.352  -0.131 -0.513  -0.131 -0.673  -0.131 -0.834  -0.115 -0.992  -0.040 -1.126  0.097 -1.204  0.257 -1.204  0.359 -1.094  0.490 -1.014  0.602 -0.912  0.702 -0.787  0.811 -0.670  0.862 -0.518  0.915 -0.371  1.068 -0.422
3#kai#kai1#jhkim5/b  -0.851 -0.066  -0.691 -0.013  -0.555 0.084  -0.421 0.185  -0.286 0.286  -0.160 0.397  -0.040 0.513  0.094 0.614  0.173 0.743  0.221 0.891  0.339 1.010  0.433 1.149  0.457 1.310  0.419 1.472  0.309 1.465  0.207 1.343  0.122 1.208  -0.011 1.108  -0.104 0.968  -0.191 0.824  -0.278 0.680  -0.353 0.530  -0.448 0.394  -0.566 0.275  -0.587 0.108  -0.608 -0.059  -0.623 -0.226  -0.623 -0.394  -0.653 -0.559  -0.680 -0.724  -0.669 -0.890  -0.607 -1.046  -0.547 -1.203  -0.467 -1.339  -0.316 -1.414  -0.159 -1.390  -0.074 -1.263  0.020 -1.129  0.134 -1.006  0.227 -0.866  0.366 -0.772  0.440 -0.629  0.538 -0.497  0.651 -0.373  0.745 -0.234  0.885 -0.141  0.987 -0.235  1.114 -0.337  1.265 -0.404  1.424 -0.350
3#kai#kai1#jhkim5/b  -1.457 -0.613  -1.289 -0.556  -1.130 -0.476  -0.971 -0.397  -0.812 -0.317  -0.652 -0.238  -0.500 -0.149  -0.374 -0.023  -0.233 0.082  -0.077 0.165  0.049 0.291  0.182 0.407  0.319 0.517  0.413 0.667  0.469 0.836  0.525 1.005  0.571 1.175  0.571 1.353  0.571 1.531  0.501 1.612  0.363 1.515  0.279 1.361  0.242 1.189  0.225 1.020  0.077 0.921  0.034 0.749  -0.019 0.579  -0.093 0.417  -0.163 0.255  -0.219 0.086  -0.266 -0.085  -0.301 -0.260  -0.306 -0.437  -0.333 -0.612  -0.361 -0.786  -0.361 -0.964  -0.361 -1.142  -0.361 -1.320  -0.243 -1.380  -0.088 -1.308  0.047 -1.192  0.164 -1.059  0.264 -0.912  0.371 -0.770  0.505 -0.657  0.602 -0.519  0.708 -0.387  0.849 -0.289  0.948 -0.437  1.119 -0.448
3#apa#apa09#app0993/b  0.113 1.117  0.072 1.240  0.031 1.364  -0.010 1.487  -0.051 1.610  -0.067 1.577  -0.081 1.450  -0.139 1.334  -0.197 1.218  -0.252 1.101  -0.293 0.978  -0.334 0.855  -0.375 0.731  -0.416 0.608  -0.458 0.485  -0.499 0.362  -0.540 0.239  -0.581 0.116  -0.606 -0.010  -0.606 -0.139  -0.606 -0.269  -0.606 -0.399  -0.606 -0.529  -0.606 -0.659  -0.606 -0.788  -0.566 -0.901  -0.474 -0.993  -0.367 -1.060  -0.244 -1.101  -0.121 -1.142  0.002 -1.183  0.126 -1.220  0.256 -1.220  0.358 -1.154  0.450 -1.063  0.472 -0.942  0.472 -0.812  0.472 -0.683  0.472 -0.553  0.417 -0.446  0.326 -0.354  0.293 -0.238  0.322 -0.126  0.438 -0.068  0.554 -0.010  0.673 0.039  0.802 0.039  0.932 0.039  1.062 0.039  1.192 0.039
3#apa#apa09#app0993/b  -0.094 1.903  -0.140 1.812  -0.186 1.721  -0.231 1.629  -0.277 1.538  -0.305 1.443  -0.305 1.341  -0.305 1.238  -0.305 1.136  -0.305 1.034  -0.305 0.932  -0.305 0.830  -0.305 0.728  -0.305 0.626  -0.305 0.524  -0.305 0.422  -0.305 0.319  -0.305 0.217  -0.305 0.115  -0.305 0.013  -0.305 -0.089  -0.305 -0.191  -0.305 -0.293  -0.305 -0.395  -0.305 -0.498  -0.305 -0.600  -0.305 -0.702  -0.305 -0.804  -0.258 -0.886  -0.186 -0.959  -0.114 -1.031  -0.042 -1.103  0.030 -1.175  0.103 -1.248  0.175 -1.203  0.247 -1.131  0.319 -1.059  0.368 -0.970  0.414 -0.878  0.459 -0.787  0.505 -0.696  0.539 -0.601  0.539 -0.499  0.539 -0.397  0.539 -0.295  0.552 -0.206  0.654 -0.206  0.756 -0.206  0.858 -0.206  0.961 -0.206
2#apb#apb33#app3354/b  -1.595 -0.789  -1.619 -0.719  -1.415 -0.692  -1.227 -0.581  -1.028 -0.492  -0.861 -0.352  -0.662 -0.268  -0.497 -0.131  -0.314 -0.017  -0.182 0.157  -0.059 0.325  0.101 0.457  0.228 0.634  0.349 0.815  0.456 1.004  0.611 1.147  0.725 1.281  0.641 1.332  0.451 1.252  0.317 1.081  0.148 0.943  -0.014 0.801  -0.138 0.623  -0.275 0.461  -0.399 0.281  -0.490 0.084  -0.593 -0.108  -0.703 -0.295  -0.768 -0.504  -0.806 -0.717  -0.799 -0.931  -0.594 -0.904  -0.405 -0.805  -0.236 -0.673  -0.038 -0.583  0.155 -0.480  0.313 -0.331  0.431 -0.161  0.358 0.001  0.336 -0.020  0.310 -0.232  0.409 -0.420  0.589 -0.539  0.805 -0.556  0.962 -0.437  1.100 -0.267  1.270 -0.141  1.373 0.032  1.547 0.158  1.726 0.280
1c#apa#apa13#app1357/b  -0.529 1.665  -0.529 1.495  -0.529 1.324  -0.529 1.154  -0.529 0.983  -0.529 0.813  -0.529 0.642  -0.529 0.471  -0.529 0.301  -0.529 0.130  -0.529 -0.040  -0.529 -0.211  -0.529 -0.381  -0.529 -0.552  -0.524 -0.551  -0.512 -0.381  -0.501 -0.211  -0.490 -0.041  -0.478 0.129  -0.467 0.300  -0.456 0.470  -0.444 0.640  -0.425 0.802  -0.255 0.802  -0.084 0.802  0.086 0.802  0.223 0.721  0.382 0.682  0.533 0.603  0.653 0.483  0.774 0.362  0.895 0.241  1.006 0.117  1.006 -0.054  1.053 -0.205  1.101 -0.355  1.101 -0.526  1.101 -0.696  0.978 -0.760  0.858 -0.880  0.717 -0.973  0.564 -1.049  0.416 -1.131  0.279 -1.212  0.108 -1.212  -0.062 -1.212  -0.233 -1.212  -0.364 -1.117  -0.505 -1.045  -0.625 -0.925
1c#tos#f1#f1051061/b  -0.176 1.275  -0.270 1.422  -0.421 1.512  -0.428 1.716  -0.428 1.635  -0.428 1.429  -0.428 1.224  -0.428 1.018  -0.428 0.813  -0.428 0.607  -0.428 0.402  -0.428 0.196  -0.393 -0.006  -0.338 -0.203  -0.327 -0.407  -0.320 -0.611  -0.277 -0.810  -0.277 -1.015  -0.227 -1.213  -0.202 -1.394  -0.227 -1.466  -0.227 -1.261  -0.227 -1.055  -0.227 -0.850  -0.227 -0.644  -0.227 -0.439  -0.214 -0.235  -0.164 -0.035  -0.126 0.165  -0.126 0.371  -0.075 0.545  0.045 0.691  0.238 0.721  0.444 0.721  0.649 0.721  0.831 0.659  0.928 0.505  1.032 0.340  1.032 0.135  1.032 -0.071  0.931 -0.234  0.929 -0.438  0.729 -0.488  0.539 -0.564  0.434 -0.721  0.261 -0.823  0.068 -0.893  -0.124 -0.965  -0.323 -0.991  -0.529 -0.991
2#apa#apa00#app0049/b  -0.128 2.117  -0.128 1.984  -0.128 1.851  -0.128 1.719  -0.128 1.586  -0.156 1.460  -0.215 1.341  -0.248 1.216  -0.248 1.084  -0.248 0.951  -0.248 0.818  -0.248 0.686  -0.248 0.553  -0.248 0.420  -0.248 0.287  -0.248 0.155  -0.248 0.022  -0.248 -0.111  -0.248 -0.243  -0.248 -0.376  -0.248 -0.509  -0.248 -0.641  -0.248 -0.518  -0.233 -0.391  -0.139 -0.297  -0.128 -0.170  -0.037 -0.075  -0.008 0.046  0.097 0.075  0.229 0.075  0.362 0.075  0.495 0.075  0.593 0.040  0.593 -0.092  0.593 -0.225  0.593 -0.358  0.593 -0.490  0.593 -0.623  0.593 -0.756  0.538 -0.876  0.479 -0.994  0.389 -1.091  0.271 -1.127  0.166 -1.193  0.055 -1.247  -0.077 -1.247  -0.210 -1.247  -0.343 -1.247  -0.475 -1.247  -0.608 -1.247
2#apa#apa00#app0049/b  -0.246 2.223  -0.246 2.074  -0.246 1.926  -0.246 1.777  -0.246 1.628  -0.246 1.479  -0.246 1.330  -0.246 1.181  -0.246 1.032  -0.246 0.883  -0.246 0.734  -0.246 0.585  -0.246 0.436  -0.246 0.287  -0.246 0.138  -0.246 -0.011  -0.246 -0.160  -0.246 -0.309  -0.246 -0.458  -0.246 -0.606  -0.246 -0.755  -0.246 -0.904  -0.246 -1.053  -0.246 -1.143  -0.246 -0.995  -0.246 -0.846  -0.246 -0.697  -0.246 -0.548  -0.203 -0.409  -0.137 -0.276  -0.110 -0.133  -0.038 -0.014  0.068 0.091  0.173 0.197  0.278 0.302  0.419 0.322  0.529 0.226  0.570 0.094  0.570 -0.055  0.570 -0.204  0.570 -0.352  0.570 -0.501  0.570 -0.650  0.570 -0.799  0.536 -0.934  0.434 -1.041  0.422 -1.185  0.316 -1.290  0.175 -1.309  0.026 -1.309
1c#apb#apb14#app1422/b  -0.133 1.658  -0.192 1.721  -0.236 1.565  -0.275 1.408  -0.314 1.250  -0.350 1.092  -0.383 0.933  -0.416 0.774  -0.449 0.615  -0.491 0.459  -0.534 0.302  -0.576 0.145  -0.607 -0.013  -0.622 -0.175  -0.636 -0.336  -0.653 -0.498  -0.687 -0.656  -0.721 -0.815  -0.724 -0.977  -0.724 -1.139  -0.693 -1.004  -0.638 -0.851  -0.601 -0.693  -0.553 -0.540  -0.476 -0.397  -0.398 -0.254  -0.312 -0.117  -0.226 0.021  -0.133 0.152  -0.009 0.257  0.115 0.362  0.251 0.450  0.393 0.527  0.540 0.597  0.687 0.632  0.832 0.560  0.951 0.451  1.029 0.319  1.043 0.157  1.031 -0.003  0.997 -0.162  0.958 -0.319  0.910 -0.474  0.861 -0.629  0.789 -0.774  0.712 -0.917  0.606 -1.035  0.478 -1.134  0.361 -1.247  0.212 -1.248
3#app#app08#app0849/b  -0.150 1.758  -0.297 1.758  -0.394 1.710  -0.394 1.563  -0.394 1.417  -0.449 1.284  -0.514 1.153  -0.516 1.007  -0.516 0.861  -0.516 0.715  -0.516 0.568  -0.516 0.422  -0.516 0.276  -0.516 0.130  -0.516 -0.017  -0.516 -0.163  -0.516 -0.309  -0.496 -0.436  -0.394 -0.392  -0.346 -0.265  -0.230 -0.192  -0.150 -0.125  -0.086 -0.006  0.017 0.098  0.121 0.201  0.228 0.296  0.337 0.333  0.398 0.418  0.545 0.418  0.691 0.418  0.712 0.287  0.815 0.183  0.825 0.041  0.825 -0.105  0.825 -0.251  0.825 -0.398  0.825 -0.544  0.731 -0.651  0.703 -0.786  0.610 -0.894  0.507 -0.997  0.404 -1.101  0.285 -1.167  0.139 -1.167  -0.008 -1.167  -0.117 -1.256  -0.250 -1.289  -0.395 -1.288  -0.499 -1.184  -0.638 -1.167
3#app#app08#app0849/b  -0.385 1.499  -0.494 1.608  -0.516 1.754  -0.516 1.614  -0.516 1.459  -0.516 1.305  -0.516 1.150  -0.516 0.996  -0.516 0.841  -0.516 0.687  -0.516 0.532  -0.516 0.378  -0.516 0.223  -0.516 0.069  -0.516 -0.085  -0.491 -0.229  -0.385 -0.340  -0.356 -0.466  -0.231 -0.419  -0.162 -0.281  -0.075 -0.156  0.034 -0.046  0.144 0.063  0.253 0.172  0.362 0.281  0.501 0.320  0.619 0.407  0.755 0.451  0.910 0.451  0.925 0.312  0.925 0.157  0.925 0.003  0.925 -0.152  0.925 -0.306  0.869 -0.447  0.800 -0.586  0.786 -0.736  0.677 -0.845  0.659 -0.990  0.505 -0.990  0.350 -0.990  0.196 -0.990  0.041 -0.990  -0.113 -0.990  -0.268 -0.990  -0.422 -0.990  -0.577 -0.990  -0.731 -0.990  -0.778 -0.882  -0.909 -0.859
3#apa#apa20#app2023/b  -0.474 2.051  -0.474 1.878  -0.474 1.704  -0.474 1.530  -0.474 1.356  -0.474 1.182  -0.474 1.008  -0.474 0.835  -0.474 0.661  -0.474 0.487  -0.474 0.313  -0.474 0.139  -0.474 -0.035  -0.474 -0.208  -0.474 -0.382  -0.474 -0.556  -0.474 -0.730  -0.474 -0.904  -0.453 -1.057  -0.311 -1.025  -0.311 -0.851  -0.311 -0.678  -0.311 -0.504  -0.311 -0.330  -0.311 -0.156  -0.311 0.018  -0.238 0.161  -0.147 0.298  -0.147 0.471  -0.081 0.579  0.093 0.579  0.266 0.579  0.344 0.483  0.451 0.416  0.590 0.333  0.713 0.210  0.836 0.087  0.959 -0.036  0.998 -0.194  0.998 -0.367  0.998 -0.541  0.998 -0.715  0.998 -0.889  0.830 -0.897  0.707 -1.020  0.548 -1.057  0.374 -1.057  0.201 -1.057  0.027 -1.057  -0.147 -1.057
3#apa#apa20#app2023/b  -0.498 1.723  -0.498 1.903  -0.498 1.931  -0.498 1.751  -0.498 1.571  -0.498 1.391  -0.498 1.212  -0.443 1.045  -0.363 0.884  -0.351 0.706  -0.307 0.531  -0.263 0.357  -0.220 0.182  -0.214 0.003  -0.214 -0.177  -0.214 -0.357  -0.214 -0.537  -0.196 -0.709  -0.072 -0.838  -0.072 -1.018  -0.153 -1.117  -0.214 -0.999  -0.214 -0.819  -0.251 -0.654  -0.356 -0.518  -0.356 -0.338  -0.356 -0.158  -0.356 0.022  -0.356 0.202  -0.301 0.359  -0.157 0.445  0.023 0.445  0.203 0.445  0.354 0.415  0.421 0.303  0.543 0.209  0.623 0.048  0.784 0.015  0.911 -0.112  0.922 -0.288  0.922 -0.468  0.922 -0.647  0.922 -0.827  0.799 -0.956  0.630 -0.983  0.503 -1.110  0.325 -1.117  0.146 -1.117  -0.034 -1.117  -0.214 -1.117
3#kai#kai1#kclee4/b  0.530 2.147  0.486 1.968  0.431 1.793  0.380 1.617  0.312 1.446  0.276 1.266  0.214 1.094  0.146 0.923  0.077 0.753  0.009 0.582  -0.061 0.414  -0.169 0.266  -0.227 0.092  -0.313 -0.067  -0.405 -0.224  -0.478 -0.392  -0.571 -0.550  -0.673 -0.703  -0.702 -0.878  -0.792 -1.037  -0.820 -1.023  -0.814 -0.841  -0.740 -0.674  -0.660 -0.510  -0.569 -0.352  -0.467 -0.199  -0.360 -0.051  -0.230 0.079  -0.101 0.209  0.033 0.334  0.186 0.436  0.348 0.518  0.529 0.535  0.705 0.491  0.807 0.338  0.879 0.176  0.879 -0.008  0.840 -0.187  0.783 -0.361  0.715 -0.532  0.617 -0.684  0.487 -0.814  0.357 -0.944  0.210 -1.032  0.030 -1.060  -0.146 -1.039  -0.327 -1.023  -0.471 -0.925  -0.572 -0.772  -0.602 -0.597
