2#apb#apb10#app1044/R  -0.761 0.492  -0.561 0.336  -0.282 0.452  -0.033 0.622  0.179 0.839  0.347 1.092  0.376 1.117  0.235 0.848  0.088 0.582  -0.048 0.310  -0.184 0.039  -0.320 -0.233  -0.462 -0.502  -0.611 -0.766  -0.758 -1.032  -0.900 -1.301  -1.035 -1.573  -1.139 -1.766  -1.008 -1.492  -0.877 -1.218  -0.746 -0.943  -0.614 -0.669  -0.483 -0.395  -0.352 -0.121  -0.221 0.153  -0.090 0.427  0.042 0.701  0.142 0.926  0.379 1.106  0.659 1.217  0.960 1.261  1.260 1.234  1.229 0.964  1.045 0.722  0.832 0.506  0.606 0.303  0.376 0.104  0.136 -0.082  -0.111 -0.258  -0.369 -0.417  -0.457 -0.500  -0.208 -0.327  0.053 -0.179  0.327 -0.050  0.614 0.049  0.831 0.008  0.660 -0.243  0.491 -0.494  0.378 -0.772  0.387 -1.073
2#apb#apb10#app1044/n  -0.537 0.561  -0.538 0.499  -0.596 0.365  -0.658 0.233  -0.720 0.101  -0.782 -0.031  -0.850 -0.160  -0.919 -0.288  -0.989 -0.416  -1.068 -0.539  -1.146 -0.662  -1.226 -0.784  -1.306 -0.847  -1.221 -0.735  -1.098 -0.657  -0.976 -0.578  -0.866 -0.482  -0.756 -0.386  -0.647 -0.290  -0.538 -0.193  -0.431 -0.093  -0.325 0.007  -0.219 0.107  -0.113 0.207  -0.013 0.313  0.087 0.419  0.188 0.524  0.288 0.630  0.392 0.732  0.511 0.817  0.629 0.902  0.751 0.980  0.893 1.012  1.017 0.979  1.120 0.876  1.151 0.734  1.169 0.592  1.134 0.450  1.099 0.309  1.058 0.169  0.998 0.036  0.938 -0.097  0.879 -0.230  0.815 -0.361  0.742 -0.487  0.670 -0.614  0.584 -0.730  0.481 -0.833  0.448 -0.965  0.500 -1.099
2#apb#apb10#app1044/e  -0.425 -0.163  -0.332 -0.104  -0.211 -0.064  -0.101 -0.003  0.004 0.067  0.114 0.128  0.235 0.165  0.357 0.202  0.473 0.249  0.577 0.322  0.681 0.394  0.786 0.466  0.853 0.570  0.909 0.684  0.959 0.800  0.994 0.922  0.941 1.021  0.847 1.101  0.722 1.124  0.598 1.147  0.482 1.114  0.370 1.054  0.258 0.994  0.157 0.921  0.072 0.827  -0.014 0.734  -0.100 0.640  -0.180 0.542  -0.258 0.442  -0.336 0.342  -0.415 0.243  -0.465 0.127  -0.511 0.009  -0.557 -0.109  -0.603 -0.227  -0.640 -0.348  -0.670 -0.471  -0.701 -0.594  -0.732 -0.717  -0.715 -0.842  -0.696 -0.968  -0.675 -1.092  -0.601 -1.195  -0.525 -1.296  -0.429 -1.379  -0.334 -1.463  -0.219 -1.512  -0.099 -1.552  0.019 -1.599  0.135 -1.649
2#apb#apb10#app1044/n  -0.270 0.574  -0.231 0.682  -0.261 0.534  -0.329 0.398  -0.399 0.262  -0.476 0.131  -0.553 -0.000  -0.642 -0.124  -0.736 -0.244  -0.830 -0.363  -0.926 -0.482  -1.023 -0.600  -1.120 -0.717  -1.210 -0.840  -1.290 -0.968  -1.281 -1.019  -1.175 -0.909  -1.070 -0.799  -0.964 -0.689  -0.859 -0.579  -0.753 -0.470  -0.647 -0.360  -0.542 -0.250  -0.436 -0.140  -0.330 -0.030  -0.254 0.101  -0.140 0.202  -0.011 0.281  0.124 0.352  0.262 0.417  0.400 0.481  0.536 0.550  0.672 0.618  0.813 0.677  0.954 0.733  1.095 0.792  1.235 0.852  1.382 0.885  1.330 0.743  1.263 0.607  1.192 0.472  1.113 0.342  1.033 0.212  0.961 0.078  0.896 -0.060  0.831 -0.198  0.752 -0.328  0.674 -0.458  0.617 -0.600  0.624 -0.748
2#apb#apb10#app1044/u  -0.668 0.826  -0.630 0.749  -0.679 0.634  -0.747 0.517  -0.808 0.395  -0.867 0.273  -0.924 0.150  -0.981 0.026  -1.065 -0.079  -1.156 -0.180  -1.230 -0.291  -1.268 -0.421  -1.305 -0.552  -1.272 -0.672  -1.187 -0.778  -1.063 -0.813  -0.929 -0.820  -0.806 -0.763  -0.683 -0.706  -0.557 -0.654  -0.430 -0.607  -0.301 -0.562  -0.173 -0.519  -0.068 -0.441  0.026 -0.351  0.150 -0.317  0.254 -0.230  0.351 -0.135  0.448 -0.040  0.546 0.055  0.643 0.150  0.740 0.245  0.837 0.340  0.934 0.435  1.031 0.530  1.129 0.625  1.226 0.720  1.323 0.815  1.303 0.786  1.220 0.679  1.133 0.575  1.037 0.479  0.941 0.382  0.852 0.280  0.767 0.174  0.693 0.061  0.642 -0.065  0.583 -0.186  0.504 -0.297  0.483 -0.426
2#apb#apb10#app1044/m  -0.466 1.044  -0.449 0.864  -0.545 0.691  -0.652 0.524  -0.754 0.353  -0.857 0.183  -0.970 0.019  -1.084 -0.143  -1.201 -0.304  -1.316 -0.466  -1.428 -0.630  -1.475 -0.668  -1.318 -0.547  -1.180 -0.407  -1.064 -0.247  -0.917 -0.113  -0.759 0.005  -0.586 0.104  -0.429 0.223  -0.283 0.358  -0.129 0.483  0.032 0.600  0.220 0.661  0.402 0.629  0.379 0.450  0.303 0.266  0.225 0.084  0.121 -0.085  0.010 -0.250  -0.092 -0.420  -0.230 -0.563  -0.249 -0.631  -0.101 -0.499  0.056 -0.377  0.215 -0.258  0.363 -0.126  0.499 0.019  0.635 0.163  0.795 0.280  0.960 0.391  1.137 0.480  1.319 0.470  1.452 0.333  1.514 0.144  1.488 -0.053  1.449 -0.247  1.366 -0.427  1.284 -0.608  1.205 -0.790  1.100 -0.959
2#apb#apb10#app1044/b  0.056 1.842  0.028 1.668  -0.037 1.501  -0.102 1.334  -0.157 1.164  -0.207 0.992  -0.257 0.820  -0.308 0.649  -0.367 0.480  -0.426 0.311  -0.485 0.142  -0.553 -0.023  -0.627 -0.186  -0.700 -0.350  -0.772 -0.513  -0.842 -0.678  -0.913 -0.842  -0.992 -1.002  -0.949 -0.909  -0.858 -0.754  -0.766 -0.601  -0.660 -0.457  -0.554 -0.313  -0.445 -0.170  -0.334 -0.030  -0.224 0.110  -0.110 0.248  0.035 0.354  0.179 0.459  0.332 0.549  0.498 0.618  0.670 0.629  0.847 0.602  0.993 0.509  1.121 0.385  1.225 0.240  1.265 0.065  1.232 -0.103  1.159 -0.266  1.048 -0.407  0.938 -0.547  0.794 -0.646  0.630 -0.717  0.465 -0.786  0.292 -0.832  0.119 -0.878  -0.055 -0.917  -0.232 -0.932  -0.411 -0.932  -0.581 -0.881
2#apb#apb10#app1044/e  -0.365 -0.250  -0.309 -0.139  -0.254 -0.027  -0.159 0.051  -0.061 0.128  0.038 0.204  0.144 0.264  0.263 0.300  0.382 0.337  0.501 0.374  0.619 0.411  0.736 0.454  0.853 0.496  0.970 0.539  1.016 0.631  1.016 0.755  1.016 0.880  0.960 0.972  0.854 1.036  0.782 1.129  0.666 1.083  0.557 1.026  0.459 0.950  0.361 0.873  0.263 0.797  0.180 0.705  0.100 0.610  0.019 0.515  -0.061 0.420  -0.141 0.325  -0.219 0.228  -0.295 0.130  -0.370 0.031  -0.446 -0.068  -0.522 -0.166  -0.579 -0.275  -0.621 -0.392  -0.663 -0.509  -0.705 -0.626  -0.747 -0.743  -0.760 -0.866  -0.773 -0.990  -0.785 -1.114  -0.772 -1.237  -0.754 -1.360  -0.689 -1.459  -0.602 -1.547  -0.486 -1.590  -0.368 -1.629  -0.250 -1.669
2#apb#apb10#app1044/r  -0.488 0.348  -0.531 0.255  -0.560 0.154  -0.581 0.050  -0.605 -0.052  -0.652 -0.147  -0.699 -0.242  -0.742 -0.339  -0.763 -0.442  -0.783 -0.546  -0.793 -0.651  -0.793 -0.757  -0.789 -0.863  -0.760 -0.964  -0.719 -1.060  -0.640 -1.125  -0.610 -1.034  -0.592 -0.930  -0.573 -0.825  -0.554 -0.721  -0.536 -0.617  -0.517 -0.512  -0.498 -0.408  -0.479 -0.304  -0.461 -0.199  -0.442 -0.095  -0.404 0.001  -0.336 0.082  -0.262 0.157  -0.174 0.216  -0.082 0.268  0.011 0.319  0.106 0.367  0.200 0.414  0.296 0.460  0.399 0.484  0.502 0.508  0.605 0.532  0.708 0.556  0.811 0.582  0.914 0.608  1.016 0.635  1.118 0.665  1.219 0.696  1.323 0.714  1.429 0.723  1.534 0.732  1.639 0.746  1.742 0.769  1.846 0.792
2#apb#apb10#app1044/3  -1.195 0.766  -1.322 0.780  -1.148 0.766  -0.973 0.766  -0.798 0.766  -0.623 0.766  -0.447 0.766  -0.272 0.766  -0.097 0.769  0.078 0.774  0.254 0.779  0.429 0.785  0.604 0.791  0.779 0.794  0.954 0.782  1.010 0.676  0.864 0.585  0.698 0.529  0.530 0.478  0.366 0.418  0.201 0.358  0.036 0.300  -0.129 0.241  -0.292 0.176  -0.453 0.106  -0.401 0.044  -0.228 0.028  -0.053 0.028  0.123 0.028  0.298 0.028  0.473 0.028  0.648 0.017  0.808 -0.045  0.921 -0.171  0.927 -0.345  0.872 -0.511  0.777 -0.657  0.656 -0.784  0.518 -0.891  0.364 -0.971  0.197 -1.024  0.028 -1.068  -0.143 -1.109  -0.315 -1.143  -0.488 -1.170  -0.661 -1.191  -0.837 -1.191  -1.011 -1.184  -1.181 -1.142  -1.346 -1.085
2#apb#apb10#app1044/6  0.978 1.348  0.829 1.403  0.668 1.385  0.512 1.335  0.356 1.284  0.204 1.223  0.052 1.162  -0.081 1.069  -0.209 0.966  -0.337 0.864  -0.447 0.743  -0.556 0.621  -0.666 0.499  -0.746 0.357  -0.827 0.214  -0.906 0.071  -0.973 -0.079  -1.040 -0.229  -1.035 -0.391  -1.005 -0.548  -0.919 -0.688  -0.797 -0.787  -0.649 -0.857  -0.493 -0.895  -0.329 -0.902  -0.166 -0.909  -0.004 -0.887  0.158 -0.861  0.320 -0.835  0.480 -0.801  0.637 -0.755  0.794 -0.709  0.936 -0.632  1.070 -0.537  1.155 -0.402  1.199 -0.255  1.115 -0.114  0.976 -0.033  0.830 0.041  0.672 0.058  0.509 0.046  0.346 0.034  0.186 0.001  0.027 -0.041  -0.131 -0.084  -0.285 -0.138  -0.438 -0.198  -0.583 -0.271  -0.708 -0.372  -0.684 -0.512
2#apb#apb10#app1044/7  -0.924 0.366  -0.883 0.453  -0.758 0.577  -0.686 0.744  -0.601 0.906  -0.586 0.956  -0.631 0.780  -0.565 0.625  -0.396 0.562  -0.216 0.559  -0.038 0.597  0.139 0.643  0.318 0.677  0.490 0.733  0.656 0.808  0.791 0.930  0.917 1.062  1.029 1.206  1.079 1.193  1.024 1.020  0.959 0.850  0.850 0.704  0.740 0.558  0.629 0.413  0.517 0.270  0.405 0.126  0.299 -0.023  0.195 -0.173  0.092 -0.323  -0.010 -0.475  -0.111 -0.626  -0.213 -0.778  -0.308 -0.933  -0.402 -1.090  -0.505 -1.240  -0.598 -1.396  -0.664 -1.509  -0.664 -1.327  -0.664 -1.144  -0.664 -0.962  -0.664 -0.779  -0.640 -0.610  -0.475 -0.584  -0.296 -0.616  -0.114 -0.630  0.068 -0.642  0.250 -0.642  0.432 -0.627  0.614 -0.626  0.783 -0.561
2#apb#apb10#app1044/  -1.533 -0.065  -1.603 -0.065  -1.564 -0.040  -1.502 -0.008  -1.438 0.018  -1.368 0.018  -1.298 0.018  -1.228 0.018  -1.158 0.018  -1.088 0.018  -1.018 0.018  -0.948 0.018  -0.878 0.018  -0.808 0.018  -0.738 0.018  -0.668 0.018  -0.598 0.018  -0.528 0.018  -0.458 0.018  -0.388 0.018  -0.318 0.018  -0.248 0.018  -0.178 0.018  -0.108 0.018  -0.038 0.018  0.032 0.018  0.102 0.018  0.172 0.018  0.241 0.018  0.311 0.018  0.381 0.018  0.451 0.018  0.521 0.018  0.591 0.018  0.661 0.018  0.731 0.018  0.801 0.018  0.871 0.018  0.941 0.018  1.011 0.018  1.080 0.007  1.148 -0.010  1.216 -0.027  1.284 -0.044  1.351 -0.061  1.421 -0.065  1.491 -0.065  1.561 -0.065  1.631 -0.065  1.701 -0.065
2#apb#apb10#app1044/0  0.323 0.721  0.343 0.852  0.291 0.929  0.162 0.962  0.033 0.970  -0.096 0.934  -0.218 0.877  -0.340 0.820  -0.454 0.749  -0.568 0.678  -0.677 0.599  -0.784 0.517  -0.869 0.415  -0.942 0.302  -1.010 0.187  -1.048 0.058  -1.086 -0.071  -1.087 -0.206  -1.087 -0.340  -1.059 -0.470  -1.014 -0.596  -0.922 -0.690  -0.818 -0.775  -0.707 -0.844  -0.574 -0.866  -0.441 -0.887  -0.308 -0.905  -0.173 -0.900  -0.039 -0.895  0.095 -0.890  0.229 -0.873  0.362 -0.856  0.495 -0.836  0.615 -0.776  0.736 -0.716  0.839 -0.634  0.930 -0.535  0.993 -0.419  1.033 -0.291  1.053 -0.159  1.053 -0.025  1.047 0.109  1.002 0.235  0.944 0.355  0.861 0.461  0.776 0.565  0.672 0.650  0.571 0.739  0.476 0.834  0.390 0.936
2#apb#apb10#app1044/9  0.793 0.794  0.695 0.905  0.576 0.995  0.432 1.014  0.283 1.014  0.133 1.014  -0.016 1.023  -0.165 1.034  -0.314 1.028  -0.463 1.016  -0.586 0.937  -0.701 0.842  -0.799 0.728  -0.853 0.591  -0.885 0.446  -0.885 0.297  -0.841 0.154  -0.755 0.041  -0.634 -0.047  -0.499 -0.106  -0.353 -0.137  -0.217 -0.119  -0.097 -0.031  0.024 0.057  0.144 0.146  0.265 0.234  0.386 0.323  0.506 0.411  0.627 0.500  0.753 0.573  0.674 0.503  0.621 0.365  0.576 0.222  0.550 0.076  0.550 -0.074  0.528 -0.221  0.499 -0.368  0.453 -0.509  0.390 -0.644  0.326 -0.780  0.249 -0.908  0.172 -1.036  0.095 -1.164  0.003 -1.281  -0.099 -1.390  -0.201 -1.500  -0.310 -1.602  -0.425 -1.698  -0.539 -1.794  -0.664 -1.877
2#apb#apb10#app1044/1  0.268 1.072  0.327 1.050  0.407 1.050  0.494 1.118  0.613 1.153  0.728 1.198  0.834 1.259  0.933 1.333  0.929 1.310  0.856 1.210  0.810 1.096  0.758 0.985  0.695 0.879  0.631 0.773  0.565 0.669  0.494 0.568  0.423 0.467  0.351 0.366  0.279 0.266  0.205 0.167  0.132 0.068  0.059 -0.032  -0.021 -0.125  -0.105 -0.216  -0.190 -0.306  -0.274 -0.396  -0.357 -0.487  -0.441 -0.578  -0.528 -0.665  -0.631 -0.733  -0.686 -0.787  -0.805 -0.751  -0.923 -0.716  -1.041 -0.681  -1.154 -0.702  -1.159 -0.794  -1.039 -0.802  -0.918 -0.785  -0.799 -0.752  -0.678 -0.732  -0.555 -0.721  -0.432 -0.705  -0.311 -0.681  -0.189 -0.673  -0.065 -0.673  0.058 -0.681  0.179 -0.701  0.302 -0.718  0.425 -0.728  0.548 -0.737
2#apb#apb10#app1044/2  -0.885 0.683  -0.839 0.741  -0.699 0.787  -0.557 0.825  -0.414 0.858  -0.271 0.892  -0.128 0.927  0.007 0.986  0.145 1.034  0.289 1.063  0.416 1.136  0.554 1.165  0.655 1.100  0.615 0.963  0.522 0.849  0.424 0.740  0.323 0.632  0.221 0.527  0.117 0.423  0.013 0.318  -0.088 0.211  -0.189 0.105  -0.288 -0.004  -0.386 -0.114  -0.488 -0.219  -0.599 -0.317  -0.708 -0.415  -0.812 -0.519  -0.922 -0.616  -1.038 -0.706  -1.096 -0.765  -0.967 -0.695  -0.829 -0.648  -0.687 -0.609  -0.544 -0.573  -0.400 -0.551  -0.254 -0.557  -0.113 -0.601  0.031 -0.629  0.175 -0.658  0.316 -0.700  0.458 -0.738  0.604 -0.755  0.750 -0.772  0.897 -0.782  1.044 -0.788  1.190 -0.800  1.335 -0.824  1.480 -0.819  1.625 -0.792
