2#app#app06#app0614/F  -0.476 1.161  -0.425 0.975  -0.365 0.778  -0.299 0.581  -0.218 0.391  -0.146 0.198  -0.100 -0.004  -0.057 -0.207  -0.007 -0.408  0.043 -0.610  0.094 -0.811  0.146 -1.011  0.222 -1.204  0.246 -1.405  0.293 -1.602  0.341 -1.798  0.371 -1.830  0.260 -1.669  0.188 -1.491  0.081 -1.327  0.016 -1.130  -0.042 -0.931  -0.100 -0.733  -0.165 -0.536  -0.217 -0.335  -0.325 -0.159  -0.391 0.037  -0.425 0.239  -0.527 0.413  -0.566 0.614  -0.578 0.820  -0.578 1.027  -0.517 1.181  -0.382 1.315  -0.175 1.315  0.010 1.237  0.199 1.181  0.401 1.157  0.597 1.110  0.793 1.059  0.678 0.902  0.550 0.739  0.422 0.576  0.295 0.412  0.167 0.249  0.039 0.086  -0.089 -0.077  0.035 -0.141  0.236 -0.166  0.443 -0.166
2#app#app06#app0614/P  -0.349 0.625  -0.289 0.482  -0.257 0.321  -0.229 0.160  -0.218 -0.006  -0.165 -0.166  -0.112 -0.325  -0.045 -0.478  -0.012 -0.643  0.028 -0.806  0.070 -0.967  0.107 -1.127  0.130 -1.289  0.190 -1.433  0.196 -1.598  0.250 -1.744  0.190 -1.656  0.117 -1.518  0.045 -1.372  0.003 -1.210  -0.051 -1.051  -0.121 -0.898  -0.169 -0.738  -0.171 -0.570  -0.241 -0.418  -0.289 -0.258  -0.289 -0.090  -0.306 0.076  -0.349 0.237  -0.349 0.405  -0.349 0.573  -0.349 0.741  -0.349 0.909  -0.289 1.052  -0.250 1.204  -0.169 1.350  -0.089 1.485  0.038 1.584  0.201 1.573  0.320 1.454  0.414 1.317  0.453 1.156  0.490 0.994  0.490 0.826  0.490 0.658  0.490 0.490  0.430 0.347  0.361 0.197  0.224 0.120  0.130 0.026
2#app#app06#app0614/E  -0.571 1.239  -0.459 1.053  -0.403 0.810  -0.343 0.558  -0.234 0.318  -0.196 0.058  -0.121 -0.196  -0.065 -0.449  -0.034 -0.710  0.024 -0.964  0.093 -1.214  0.104 -1.478  0.007 -1.365  -0.118 -1.131  -0.188 -0.877  -0.286 -0.630  -0.370 -0.378  -0.442 -0.122  -0.507 0.136  -0.588 0.389  -0.672 0.641  -0.739 0.899  -0.853 1.128  -0.697 1.239  -0.456 1.180  -0.225 1.070  0.041 1.070  0.307 1.070  0.550 1.126  0.805 1.153  0.760 1.080  0.550 0.917  0.340 0.753  0.130 0.590  -0.080 0.427  0.070 0.339  0.336 0.339  0.542 0.261  0.412 0.029  0.282 -0.203  0.152 -0.435  0.022 -0.668  -0.108 -0.900  -0.234 -1.133  -0.071 -1.236  0.194 -1.228  0.454 -1.180  0.697 -1.124  0.963 -1.124  1.229 -1.124
2#app#app06#app0614/C  0.195 1.537  0.133 1.516  0.092 1.475  0.071 1.414  0.013 1.355  -0.045 1.297  -0.103 1.239  -0.161 1.181  -0.204 1.111  -0.241 1.037  -0.278 0.964  -0.314 0.890  -0.351 0.817  -0.363 0.737  -0.369 0.656  -0.406 0.583  -0.438 0.507  -0.464 0.429  -0.487 0.350  -0.487 0.268  -0.487 0.186  -0.487 0.103  -0.487 0.021  -0.487 -0.061  -0.487 -0.144  -0.475 -0.223  -0.438 -0.297  -0.401 -0.370  -0.365 -0.444  -0.307 -0.503  -0.249 -0.561  -0.191 -0.619  -0.133 -0.677  -0.064 -0.720  0.010 -0.757  0.084 -0.794  0.157 -0.831  0.231 -0.868  0.305 -0.905  0.378 -0.941  0.452 -0.978  0.528 -1.005  0.610 -1.005  0.692 -1.005  0.775 -1.005  0.857 -1.005  0.939 -1.005  1.022 -1.005  1.104 -1.005  1.124 -0.943
2#app#app06#app0614/T  0.020 1.053  0.080 0.917  0.080 0.756  0.080 0.595  0.080 0.434  0.080 0.273  0.116 0.117  0.139 -0.040  0.139 -0.201  0.139 -0.362  0.156 -0.519  0.198 -0.670  0.198 -0.831  0.228 -0.987  0.257 -1.144  0.257 -1.305  0.316 -1.441  0.316 -1.602  0.375 -1.712  0.325 -1.563  0.254 -1.418  0.183 -1.273  0.113 -1.129  0.042 -0.984  -0.029 -0.839  -0.100 -0.695  -0.170 -0.550  -0.241 -0.405  -0.312 -0.260  -0.382 -0.116  -0.453 0.029  -0.524 0.174  -0.594 0.318  -0.665 0.463  -0.736 0.608  -0.806 0.753  -0.843 0.876  -0.800 0.994  -0.654 1.030  -0.502 1.053  -0.347 1.030  -0.194 0.994  -0.033 0.994  0.125 0.979  0.279 0.935  0.440 0.935  0.601 0.935  0.763 0.935  0.924 0.935  1.085 0.935
2#app#app06#app0614/E  -0.308 0.768  -0.308 0.516  -0.233 0.281  -0.233 0.029  -0.233 -0.223  -0.184 -0.464  -0.157 -0.710  -0.157 -0.962  -0.082 -1.196  -0.006 -1.417  -0.071 -1.511  -0.154 -1.280  -0.157 -1.029  -0.211 -0.789  -0.233 -0.542  -0.281 -0.298  -0.313 -0.051  -0.384 0.190  -0.397 0.441  -0.458 0.685  -0.482 0.935  -0.535 1.180  -0.535 1.433  -0.346 1.562  -0.110 1.600  0.107 1.506  0.331 1.414  0.524 1.330  0.647 1.198  0.454 1.035  0.262 0.872  0.069 0.709  -0.124 0.546  -0.298 0.390  -0.122 0.314  0.099 0.390  0.335 0.351  0.572 0.314  0.594 0.189  0.456 -0.023  0.319 -0.235  0.182 -0.447  0.045 -0.659  -0.092 -0.870  -0.157 -1.103  -0.032 -1.274  0.221 -1.274  0.473 -1.274  0.725 -1.274  0.977 -1.274
2#app#app06#app0614/D  -0.529 1.069  -0.458 0.937  -0.387 0.763  -0.387 0.560  -0.317 0.387  -0.317 0.184  -0.317 -0.018  -0.304 -0.216  -0.246 -0.394  -0.196 -0.586  -0.175 -0.783  -0.172 -0.985  -0.105 -1.159  -0.034 -1.291  -0.117 -1.393  -0.198 -1.219  -0.246 -1.028  -0.256 -0.830  -0.387 -0.681  -0.443 -0.502  -0.458 -0.305  -0.458 -0.102  -0.458 0.100  -0.458 0.303  -0.457 0.505  -0.387 0.692  -0.387 0.894  -0.317 1.068  -0.290 1.264  -0.175 1.427  -0.067 1.563  0.133 1.551  0.250 1.421  0.366 1.258  0.446 1.084  0.532 0.917  0.533 0.714  0.635 0.546  0.673 0.349  0.738 0.162  0.744 -0.040  0.744 -0.242  0.744 -0.445  0.744 -0.648  0.673 -0.821  0.593 -0.991  0.486 -1.123  0.336 -1.248  0.169 -1.335  -0.034 -1.335
2#app#app06#app0614/A  -0.459 1.369  -0.377 1.200  -0.295 0.984  -0.267 0.740  -0.213 0.502  -0.213 0.252  -0.213 0.001  -0.213 -0.249  -0.213 -0.500  -0.213 -0.750  -0.213 -1.001  -0.213 -1.251  -0.213 -1.502  -0.213 -1.752  -0.213 -1.645  -0.295 -1.414  -0.295 -1.163  -0.295 -0.913  -0.302 -0.664  -0.377 -0.431  -0.377 -0.181  -0.377 0.070  -0.377 0.320  -0.377 0.570  -0.377 0.821  -0.327 1.060  -0.251 1.292  -0.154 1.509  -0.049 1.716  0.108 1.702  0.196 1.489  0.255 1.252  0.285 1.008  0.334 0.762  0.413 0.527  0.449 0.284  0.524 0.046  0.524 -0.205  0.606 -0.421  0.659 -0.649  0.721 -0.875  0.757 -1.074  0.588 -0.889  0.419 -0.705  0.250 -0.520  0.080 -0.336  -0.089 -0.151  0.057 -0.105  0.307 -0.105  0.524 -0.023
2#app#app06#app0614/J  -0.066 1.055  0.030 1.004  0.100 0.889  0.190 0.778  0.243 0.643  0.304 0.519  0.370 0.387  0.446 0.266  0.476 0.125  0.497 -0.018  0.548 -0.153  0.599 -0.280  0.599 -0.428  0.630 -0.563  0.650 -0.702  0.650 -0.850  0.650 -0.998  0.599 -1.124  0.546 -1.249  0.427 -1.318  0.303 -1.396  0.157 -1.402  0.009 -1.402  -0.118 -1.351  -0.212 -1.265  -0.285 -1.142  -0.320 -0.998  -0.355 -0.855  -0.390 -0.711  -0.425 -0.567  -0.460 -0.424  -0.495 -0.280  -0.530 -0.137  -0.565 0.007  -0.600 0.150  -0.635 0.294  -0.670 0.437  -0.705 0.581  -0.740 0.725  -0.775 0.868  -0.691 0.953  -0.554 0.978  -0.417 1.004  -0.275 1.028  -0.133 1.055  0.002 1.107  0.143 1.135  0.286 1.158  0.412 1.209  0.548 1.260
2#app#app06#app0614/E  -0.375 0.510  -0.375 0.271  -0.375 0.031  -0.304 -0.191  -0.293 -0.428  -0.234 -0.654  -0.205 -0.886  -0.164 -1.116  -0.093 -1.326  -0.023 -1.536  -0.023 -1.569  -0.113 -1.351  -0.189 -1.129  -0.234 -0.900  -0.340 -0.686  -0.426 -0.463  -0.445 -0.227  -0.537 -0.009  -0.586 0.219  -0.625 0.454  -0.705 0.678  -0.727 0.912  -0.727 1.151  -0.691 1.355  -0.452 1.355  -0.242 1.285  -0.031 1.214  0.189 1.195  0.377 1.144  0.587 1.214  0.458 1.062  0.289 0.892  0.120 0.723  0.004 0.608  0.226 0.651  0.436 0.721  0.675 0.721  0.886 0.651  0.782 0.447  0.668 0.236  0.554 0.026  0.440 -0.185  0.326 -0.395  0.212 -0.606  0.098 -0.816  -0.016 -1.027  0.203 -1.039  0.443 -1.039  0.682 -1.039  0.893 -1.109
2#app#app06#app0614/J  -0.273 1.015  -0.142 0.956  -0.035 0.872  0.026 0.776  0.136 0.666  0.162 0.521  0.202 0.382  0.245 0.234  0.321 0.105  0.361 -0.034  0.387 -0.179  0.440 -0.312  0.440 -0.468  0.499 -0.610  0.499 -0.765  0.499 -0.921  0.499 -1.076  0.499 -1.232  0.440 -1.363  0.411 -1.507  0.301 -1.617  0.162 -1.656  0.101 -1.526  0.054 -1.378  0.007 -1.230  -0.041 -1.082  -0.088 -0.933  -0.135 -0.785  -0.183 -0.637  -0.230 -0.489  -0.277 -0.340  -0.324 -0.192  -0.372 -0.044  -0.419 0.104  -0.466 0.253  -0.514 0.401  -0.561 0.549  -0.608 0.697  -0.656 0.846  -0.703 0.994  -0.739 1.134  -0.608 1.074  -0.452 1.074  -0.297 1.074  -0.141 1.074  0.009 1.109  0.161 1.134  0.316 1.134  0.470 1.124  0.618 1.074
2#app#app06#app0614/U  -0.895 0.877  -0.895 0.698  -0.895 0.518  -0.895 0.338  -0.892 0.158  -0.835 -0.012  -0.806 -0.188  -0.806 -0.368  -0.740 -0.520  -0.717 -0.691  -0.674 -0.853  -0.602 -0.988  -0.539 -1.105  -0.429 -1.187  -0.277 -1.254  -0.186 -1.166  -0.184 -0.988  -0.095 -0.845  -0.095 -0.665  -0.095 -0.485  -0.006 -0.342  0.006 -0.165  0.083 -0.003  0.083 0.177  0.083 0.357  0.083 0.537  0.083 0.717  0.131 0.885  0.171 1.056  0.171 1.236  0.177 1.410  0.260 1.507  0.260 1.489  0.331 1.339  0.349 1.166  0.438 1.023  0.438 0.843  0.438 0.663  0.527 0.520  0.527 0.340  0.527 0.160  0.570 -0.009  0.615 -0.178  0.615 -0.358  0.692 -0.520  0.704 -0.697  0.704 -0.877  0.793 -1.020  0.818 -1.190  0.882 -1.343
2#app#app06#app0614/N  -0.631 1.562  -0.564 1.330  -0.548 1.077  -0.465 0.852  -0.465 0.593  -0.382 0.353  -0.382 0.093  -0.313 -0.150  -0.299 -0.406  -0.299 -0.666  -0.216 -0.906  -0.216 -1.165  -0.216 -1.425  -0.216 -1.659  -0.216 -1.400  -0.216 -1.140  -0.216 -0.881  -0.278 -0.636  -0.299 -0.381  -0.299 -0.122  -0.299 0.138  -0.371 0.380  -0.382 0.637  -0.382 0.897  -0.376 1.154  -0.299 1.382  -0.216 1.234  -0.139 0.993  -0.133 0.735  -0.050 0.495  0.053 0.258  0.116 0.009  0.166 -0.230  0.232 -0.462  0.299 -0.694  0.364 -0.926  0.431 -1.158  0.447 -1.411  0.530 -1.258  0.613 -1.033  0.613 -0.774  0.613 -0.514  0.613 -0.255  0.613 0.005  0.613 0.264  0.613 0.524  0.613 0.783  0.613 1.043  0.613 1.302  0.613 1.562
2#app#app06#app0614/E  -0.273 1.244  -0.273 0.987  -0.267 0.731  -0.185 0.487  -0.149 0.236  -0.149 -0.021  -0.149 -0.277  -0.149 -0.534  -0.149 -0.791  -0.149 -1.048  -0.149 -1.305  -0.149 -1.562  -0.149 -1.819  -0.149 -1.619  -0.149 -1.362  -0.149 -1.105  -0.273 -0.972  -0.273 -0.715  -0.273 -0.458  -0.273 -0.201  -0.273 0.056  -0.314 0.296  -0.396 0.518  -0.396 0.775  -0.361 0.997  -0.273 1.165  -0.147 1.370  0.035 1.552  0.266 1.615  0.522 1.615  0.493 1.458  0.355 1.241  0.217 1.024  0.079 0.807  -0.059 0.591  -0.197 0.374  -0.191 0.173  0.049 0.131  0.182 0.255  0.439 0.255  0.696 0.255  0.603 0.047  0.480 -0.178  0.357 -0.404  0.234 -0.629  0.111 -0.855  -0.012 -1.080  0.203 -1.105  0.460 -1.105  0.716 -1.105
