1c#app#app19#app1952/f  0.475 0.833  0.475 1.012  0.360 1.142  0.221 1.250  0.090 1.348  -0.024 1.412  -0.173 1.482  -0.341 1.508  -0.489 1.478  -0.489 1.300  -0.489 1.122  -0.430 0.968  -0.393 0.805  -0.343 0.638  -0.296 0.471  -0.227 0.309  -0.147 0.149  -0.067 -0.010  0.012 -0.170  0.090 -0.330  0.090 -0.508  0.165 -0.668  0.186 -0.842  0.269 -0.986  0.354 -1.142  0.390 -1.311  0.470 -1.471  0.475 -1.648  0.372 -1.563  0.251 -1.432  0.130 -1.300  0.009 -1.169  -0.112 -1.038  -0.233 -0.907  -0.353 -0.776  -0.474 -0.645  -0.595 -0.514  -0.631 -0.421  -0.489 -0.384  -0.474 -0.212  -0.393 -0.068  -0.296 0.014  -0.179 0.120  -0.037 0.224  0.125 0.272  0.284 0.351  0.463 0.351  0.641 0.351  0.819 0.351  0.958 0.255
1c#app#app19#app1952/d  -0.161 -0.482  -0.219 -0.369  -0.388 -0.371  -0.448 -0.482  -0.584 -0.565  -0.672 -0.710  -0.728 -0.868  -0.728 -1.039  -0.728 -1.210  -0.653 -1.350  -0.498 -1.388  -0.327 -1.388  -0.271 -1.271  -0.150 -1.150  -0.029 -1.029  0.065 -0.897  0.065 -0.726  0.134 -0.571  0.178 -0.411  0.178 -0.240  0.178 -0.069  0.173 0.101  0.118 0.263  0.065 0.426  0.065 0.597  0.065 0.767  0.065 0.938  0.062 1.109  -0.014 1.262  -0.048 1.425  -0.076 1.584  -0.161 1.720  -0.161 1.675  -0.161 1.504  -0.084 1.365  -0.045 1.210  0.032 1.057  0.065 0.894  0.134 0.739  0.210 0.586  0.287 0.433  0.363 0.281  0.405 0.119  0.417 -0.048  0.512 -0.190  0.607 -0.332  0.631 -0.496  0.663 -0.659  0.740 -0.812  0.858 -0.935
1c#app#app19#app1952/k  -0.735 1.926  -0.666 1.926  -0.735 1.832  -0.735 1.670  -0.684 1.528  -0.619 1.392  -0.619 1.229  -0.619 1.067  -0.619 0.904  -0.619 0.741  -0.619 0.578  -0.590 0.419  -0.551 0.261  -0.511 0.103  -0.503 -0.059  -0.503 -0.221  -0.455 -0.373  -0.387 -0.519  -0.387 -0.682  -0.387 -0.845  -0.280 -0.964  -0.248 -1.064  -0.138 -0.944  -0.028 -0.824  0.082 -0.704  0.192 -0.584  0.302 -0.464  0.412 -0.344  0.522 -0.224  0.632 -0.104  0.742 0.016  0.851 0.136  0.961 0.256  0.905 0.303  0.785 0.199  0.670 0.084  0.555 -0.031  0.406 -0.064  0.291 -0.179  0.169 -0.277  0.027 -0.327  -0.039 -0.463  0.043 -0.591  0.077 -0.740  0.239 -0.741  0.374 -0.807  0.516 -0.857  0.679 -0.857  0.842 -0.857  1.004 -0.857
1c#app#app19#app1952/n  -0.832 1.275  -0.936 1.171  -1.033 1.063  -1.033 0.916  -1.033 0.769  -1.033 0.621  -1.033 0.474  -1.033 0.326  -1.033 0.179  -1.033 0.032  -1.033 -0.116  -0.903 -0.133  -0.832 -0.209  -0.832 -0.357  -0.832 -0.504  -0.832 -0.652  -0.770 -0.737  -0.625 -0.731  -0.521 -0.627  -0.411 -0.536  -0.264 -0.536  -0.229 -0.424  -0.170 -0.335  -0.024 -0.331  0.080 -0.227  0.174 -0.119  0.174 0.029  0.250 0.144  0.355 0.249  0.375 0.388  0.421 0.516  0.525 0.620  0.629 0.724  0.734 0.829  0.777 0.787  0.777 0.640  0.777 0.492  0.777 0.345  0.777 0.198  0.777 0.050  0.777 -0.097  0.777 -0.245  0.818 -0.375  0.922 -0.479  0.979 -0.604  0.979 -0.751  0.979 -0.898  1.086 -0.938  1.234 -0.938  1.381 -0.938
1c#app#app19#app1952/e  -0.692 0.259  -0.692 0.085  -0.692 -0.089  -0.817 -0.137  -0.790 -0.137  -0.616 -0.137  -0.442 -0.137  -0.269 -0.137  -0.096 -0.135  0.027 -0.012  0.170 0.061  0.344 0.061  0.511 0.076  0.634 0.199  0.783 0.259  0.892 0.323  0.892 0.497  0.892 0.670  0.892 0.844  0.775 0.969  0.635 1.051  0.472 1.075  0.349 1.198  0.196 1.249  0.023 1.249  -0.135 1.211  -0.258 1.089  -0.381 0.966  -0.504 0.843  -0.627 0.720  -0.692 0.574  -0.692 0.400  -0.692 0.226  -0.692 0.053  -0.692 -0.121  -0.581 -0.249  -0.494 -0.386  -0.468 -0.533  -0.296 -0.535  -0.296 -0.709  -0.189 -0.838  -0.066 -0.961  0.057 -1.084  0.179 -1.207  0.304 -1.325  0.477 -1.325  0.606 -1.435  0.743 -1.523  0.916 -1.523  1.090 -1.523
1c#app#app19#app1952/w  -1.415 0.420  -1.415 0.284  -1.415 0.147  -1.415 0.011  -1.329 -0.089  -1.308 -0.216  -1.211 -0.313  -1.190 -0.440  -1.093 -0.536  -0.997 -0.633  -0.863 -0.637  -0.782 -0.581  -0.696 -0.531  -0.594 -0.449  -0.497 -0.352  -0.465 -0.230  -0.379 -0.129  -0.359 -0.001  -0.359 0.135  -0.359 0.271  -0.359 0.221  -0.253 0.190  -0.219 0.069  -0.123 -0.028  -0.026 -0.124  0.064 -0.223  0.099 -0.337  0.221 -0.398  0.275 -0.501  0.381 -0.531  0.517 -0.531  0.635 -0.487  0.746 -0.425  0.882 -0.425  0.986 -0.348  1.014 -0.224  1.130 -0.195  1.190 -0.073  1.226 0.054  1.226 0.191  1.142 0.292  1.120 0.419  1.059 0.541  0.989 0.656  0.893 0.753  0.803 0.852  0.775 0.976  0.679 1.072  0.583 1.169  0.486 1.265
1c#app#app19#app1952/t  -0.257 0.475  -0.257 0.679  -0.168 0.846  -0.116 1.029  -0.116 0.845  -0.116 0.641  -0.099 0.441  -0.008 0.259  0.066 0.069  0.131 -0.125  0.166 -0.323  0.277 -0.481  0.321 -0.666  0.471 -0.804  0.653 -0.895  0.848 -0.933  0.999 -1.062  1.109 -1.057  0.920 -0.981  0.730 -0.905  0.541 -0.830  0.352 -0.754  0.162 -0.678  -0.027 -0.602  -0.217 -0.527  -0.406 -0.451  -0.595 -0.375  -0.785 -0.299  -0.974 -0.224  -1.163 -0.148  -1.353 -0.072  -1.542 0.004  -1.594 0.053  -1.429 0.148  -1.245 0.194  -1.047 0.221  -0.865 0.312  -0.666 0.335  -0.470 0.369  -0.288 0.460  -0.087 0.475  0.117 0.475  0.304 0.545  0.491 0.616  0.695 0.616  0.899 0.616  1.103 0.616  1.307 0.616  1.511 0.616  1.715 0.616
1c#app#app19#app1952/h  -0.614 1.599  -0.509 1.599  -0.459 1.599  -0.523 1.557  -0.523 1.452  -0.554 1.355  -0.601 1.261  -0.614 1.159  -0.614 1.054  -0.608 0.951  -0.561 0.857  -0.523 0.761  -0.523 0.656  -0.523 0.551  -0.523 0.446  -0.523 0.341  -0.523 0.236  -0.451 0.161  -0.432 0.064  -0.432 -0.041  -0.432 -0.146  -0.412 -0.243  -0.340 -0.318  -0.340 -0.423  -0.318 -0.519  -0.244 -0.593  -0.170 -0.667  -0.158 -0.767  -0.086 -0.842  0.011 -0.861  0.116 -0.861  0.217 -0.850  0.291 -0.776  0.365 -0.702  0.439 -0.628  0.479 -0.539  0.479 -0.434  0.533 -0.352  0.607 -0.277  0.662 -0.251  0.662 -0.356  0.701 -0.445  0.753 -0.528  0.799 -0.587  0.844 -0.647  0.917 -0.679  0.935 -0.766  1.006 -0.841  1.103 -0.861  1.208 -0.861
1c#app#app19#app1952/a  0.117 0.711  0.117 0.881  0.117 1.050  -0.046 1.057  -0.215 1.057  -0.384 1.057  -0.554 1.057  -0.723 1.057  -0.892 1.057  -0.920 0.915  -1.017 0.786  -1.092 0.648  -1.092 0.479  -1.092 0.309  -1.092 0.140  -1.092 -0.029  -1.092 -0.199  -1.062 -0.355  -0.942 -0.475  -0.822 -0.595  -0.685 -0.670  -0.533 -0.712  -0.413 -0.832  -0.248 -0.843  -0.079 -0.843  0.090 -0.843  0.218 -0.742  0.337 -0.622  0.457 -0.503  0.535 -0.352  0.610 -0.201  0.635 -0.037  0.635 0.132  0.558 0.269  0.462 0.399  0.433 0.539  0.289 0.513  0.289 0.343  0.303 0.180  0.423 0.060  0.462 -0.093  0.540 -0.230  0.660 -0.350  0.779 -0.469  0.937 -0.498  0.980 -0.624  1.067 -0.757  1.195 -0.864  1.347 -0.940  1.498 -1.016
1c#app#app19#app1952/t  -0.240 2.057  -0.240 1.881  -0.240 1.705  -0.240 1.529  -0.240 1.353  -0.240 1.177  -0.240 1.001  -0.240 0.825  -0.240 0.649  -0.240 0.473  -0.240 0.297  -0.166 0.151  -0.110 -0.001  -0.110 -0.177  -0.110 -0.353  -0.038 -0.500  0.021 -0.651  0.026 -0.825  0.151 -0.950  0.275 -1.074  0.307 -1.237  0.425 -1.366  0.504 -1.524  0.630 -1.605  0.601 -1.497  0.501 -1.352  0.401 -1.207  0.302 -1.062  0.202 -0.917  0.102 -0.772  0.003 -0.627  -0.097 -0.482  -0.197 -0.337  -0.297 -0.191  -0.396 -0.046  -0.496 0.099  -0.596 0.244  -0.696 0.389  -0.764 0.432  -0.662 0.357  -0.486 0.357  -0.310 0.357  -0.134 0.357  0.042 0.357  0.218 0.357  0.382 0.407  0.540 0.485  0.715 0.488  0.891 0.488  1.067 0.488
1c#app#app19#app1952/s  -0.062 -0.063  0.102 -0.063  0.267 -0.063  0.370 -0.002  0.427 0.139  0.514 0.267  0.514 0.431  0.514 0.595  0.514 0.759  0.391 0.801  0.370 0.944  0.212 0.958  0.096 1.075  -0.063 1.088  -0.227 1.088  -0.379 1.059  -0.496 0.944  -0.660 0.944  -0.824 0.944  -0.970 0.900  -1.086 0.784  -1.202 0.668  -1.208 0.513  -1.051 0.495  -0.935 0.379  -0.791 0.302  -0.644 0.228  -0.484 0.216  -0.368 0.100  -0.226 0.020  -0.080 -0.054  0.082 -0.063  0.229 -0.136  0.375 -0.212  0.491 -0.328  0.607 -0.444  0.750 -0.494  0.881 -0.574  0.945 -0.712  0.945 -0.876  0.865 -1.007  0.748 -1.123  0.622 -1.214  0.458 -1.214  0.302 -1.248  0.155 -1.321  -0.001 -1.358  -0.165 -1.358  -0.329 -1.358  -0.493 -1.358
1c#app#app19#app1952/o  -0.311 0.030  -0.198 0.142  -0.066 0.207  0.044 0.257  0.075 0.385  0.221 0.397  0.221 0.557  0.221 0.716  0.086 0.739  -0.039 0.822  -0.159 0.917  -0.318 0.917  -0.477 0.917  -0.637 0.917  -0.758 0.825  -0.881 0.739  -1.020 0.719  -1.022 0.562  -1.182 0.562  -1.198 0.419  -1.198 0.260  -1.198 0.100  -1.135 -0.033  -1.022 -0.145  -0.910 -0.258  -0.797 -0.370  -0.685 -0.483  -0.572 -0.595  -0.448 -0.680  -0.295 -0.695  -0.183 -0.808  -0.044 -0.857  0.115 -0.857  0.274 -0.857  0.434 -0.857  0.593 -0.857  0.752 -0.857  0.911 -0.857  1.070 -0.857  1.194 -0.771  1.286 -0.650  1.286 -0.491  1.286 -0.332  1.286 -0.173  1.191 -0.053  1.078 0.060  0.966 0.172  0.853 0.285  0.735 0.385  0.576 0.385
1c#app#app19#app1952/m  -1.436 0.576  -1.273 0.576  -1.191 0.657  -1.191 0.579  -1.191 0.416  -1.191 0.253  -1.191 0.090  -1.191 -0.072  -1.191 -0.235  -1.109 -0.364  -1.068 -0.510  -0.929 -0.511  -0.814 -0.396  -0.699 -0.282  -0.578 -0.240  -0.496 -0.159  -0.455 -0.038  -0.341 0.078  -0.226 0.193  -0.210 0.349  -0.210 0.512  -0.140 0.646  -0.175 0.699  -0.210 0.571  -0.210 0.408  -0.210 0.246  -0.208 0.084  -0.093 -0.031  -0.087 -0.192  -0.087 -0.354  0.025 -0.405  0.188 -0.405  0.351 -0.405  0.513 -0.405  0.632 -0.298  0.747 -0.183  0.862 -0.068  0.894 0.082  1.006 0.198  1.034 0.349  1.139 0.439  1.139 0.276  1.206 0.141  1.261 0.002  1.261 -0.161  1.280 -0.319  1.353 -0.465  1.477 -0.527  1.601 -0.621  1.629 -0.772
1c#app#app19#app1952/e  -0.904 0.369  -0.904 0.218  -0.884 0.369  -0.713 0.369  -0.554 0.341  -0.433 0.220  -0.267 0.208  -0.096 0.208  0.075 0.208  0.246 0.208  0.417 0.208  0.588 0.208  0.759 0.208  0.930 0.208  1.080 0.259  1.190 0.384  1.190 0.556  1.155 0.691  0.997 0.723  0.876 0.844  0.708 0.852  0.537 0.852  0.368 0.844  0.215 0.768  0.062 0.691  -0.109 0.691  -0.280 0.691  -0.451 0.691  -0.582 0.651  -0.632 0.530  -0.786 0.488  -0.904 0.366  -0.904 0.195  -0.904 0.024  -0.890 -0.144  -0.813 -0.297  -0.743 -0.451  -0.726 -0.615  -0.605 -0.736  -0.443 -0.759  -0.316 -0.864  -0.195 -0.985  -0.074 -1.106  0.047 -1.227  0.212 -1.242  0.366 -1.313  0.519 -1.390  0.687 -1.403  0.858 -1.403  1.029 -1.403
