1c#app#app19#app1981/w  -0.837 -0.242  -0.837 -0.055  -0.837 0.132  -0.837 0.319  -0.837 0.506  -0.837 0.693  -0.915 0.802  -0.967 0.929  -0.967 0.742  -0.967 0.555  -0.967 0.368  -0.967 0.181  -0.967 -0.006  -0.967 -0.193  -0.967 -0.379  -0.967 -0.566  -0.882 -0.718  -0.750 -0.850  -0.581 -0.894  -0.448 -0.765  -0.316 -0.633  -0.259 -0.502  -0.185 -0.390  -0.146 -0.242  -0.054 -0.147  -0.054 0.040  -0.054 0.227  -0.054 0.407  -0.054 0.221  -0.054 0.034  -0.012 -0.111  0.076 -0.210  0.186 -0.351  0.356 -0.391  0.497 -0.502  0.684 -0.502  0.870 -0.502  1.057 -0.502  1.244 -0.502  1.331 -0.340  1.434 -0.188  1.511 -0.032  1.511 0.154  1.450 0.280  1.380 0.398  1.257 0.534  1.125 0.666  0.967 0.715  0.884 0.882  0.728 0.932
1c#app#app19#app1981/i  0.370 0.945  0.370 1.043  0.370 1.141  0.370 1.239  0.336 1.303  0.238 1.303  0.140 1.303  0.042 1.303  0.012 1.235  0.012 1.137  0.012 1.039  0.008 0.945  -0.090 0.945  -0.188 0.945  -0.286 0.945  -0.346 0.907  -0.346 0.809  -0.346 0.711  -0.346 0.613  -0.346 0.515  -0.346 0.417  -0.346 0.320  -0.346 0.222  -0.346 0.124  -0.346 0.026  -0.346 -0.072  -0.346 -0.170  -0.346 -0.268  -0.346 -0.366  -0.346 -0.464  -0.270 -0.486  -0.172 -0.486  -0.074 -0.486  0.012 -0.498  0.012 -0.596  0.012 -0.694  0.012 -0.791  0.012 -0.889  0.012 -0.987  0.012 -1.085  0.012 -1.183  0.092 -1.201  0.190 -1.201  0.288 -1.201  0.381 -1.212  0.450 -1.282  0.519 -1.351  0.589 -1.420  0.658 -1.489  0.727 -1.558
1c#app#app19#app1981/d  0.389 -0.828  0.295 -0.708  0.202 -0.589  0.120 -0.440  -0.031 -0.289  -0.217 -0.223  -0.383 -0.109  -0.597 -0.109  -0.810 -0.109  -0.996 -0.176  -1.147 -0.327  -1.169 -0.531  -1.133 -0.708  -1.039 -0.828  -0.856 -0.901  -0.662 -0.948  -0.449 -0.948  -0.245 -0.906  -0.062 -0.800  0.089 -0.649  0.269 -0.580  0.341 -0.397  0.389 -0.203  0.389 0.010  0.455 0.196  0.509 0.388  0.509 0.601  0.449 0.790  0.389 0.978  0.389 1.192  0.389 1.405  0.389 1.619  0.325 1.817  0.269 1.838  0.224 1.643  0.149 1.461  0.149 1.248  0.149 1.034  0.149 0.821  0.149 0.607  0.149 0.394  0.149 0.181  0.149 -0.033  0.149 -0.246  0.149 -0.460  0.209 -0.648  0.269 -0.837  0.269 -1.050  0.389 -1.214  0.389 -1.427
1c#app#app19#app1981/f  0.585 0.917  0.585 1.057  0.585 1.197  0.585 1.336  0.517 1.448  0.404 1.512  0.264 1.512  0.124 1.512  0.006 1.462  -0.112 1.410  -0.156 1.286  -0.214 1.159  -0.248 1.024  -0.274 0.887  -0.274 0.747  -0.274 0.608  -0.274 0.468  -0.274 0.329  -0.244 0.196  -0.208 0.065  -0.208 -0.075  -0.145 -0.200  -0.142 -0.338  -0.098 -0.471  -0.045 -0.600  0.005 -0.729  0.039 -0.865  0.105 -0.982  0.174 -1.102  0.207 -1.234  0.254 -1.362  0.283 -1.490  0.310 -1.575  0.243 -1.453  0.176 -1.331  0.108 -1.208  0.041 -1.086  -0.026 -0.964  -0.093 -0.841  -0.161 -0.719  -0.228 -0.597  -0.295 -0.474  -0.363 -0.352  -0.406 -0.224  -0.406 -0.084  -0.343 -0.008  -0.231 0.058  -0.091 0.058  0.049 0.058  0.188 0.058
1c#app#app19#app1981/i  -0.217 1.195  -0.217 1.283  -0.217 1.370  -0.217 1.458  -0.217 1.546  -0.217 1.538  -0.217 1.450  -0.217 1.362  -0.217 1.275  -0.217 1.187  -0.217 1.099  -0.217 1.011  -0.217 0.924  -0.217 0.836  -0.217 0.748  -0.217 0.660  -0.217 0.572  -0.217 0.485  -0.217 0.397  -0.217 0.309  -0.217 0.221  -0.217 0.134  -0.217 0.046  -0.217 -0.042  -0.217 -0.130  -0.217 -0.218  -0.217 -0.305  -0.193 -0.369  -0.105 -0.369  -0.017 -0.369  0.071 -0.369  0.158 -0.369  0.174 -0.441  0.174 -0.529  0.174 -0.616  0.174 -0.704  0.174 -0.792  0.174 -0.880  0.174 -0.968  0.174 -1.055  0.174 -1.143  0.254 -1.151  0.342 -1.151  0.430 -1.151  0.517 -1.151  0.565 -1.191  0.565 -1.279  0.565 -1.367  0.565 -1.454  0.565 -1.542
1c#app#app19#app1981/g  -0.029 0.505  -0.029 0.607  0.036 0.644  0.040 0.742  0.040 0.844  0.016 0.921  -0.029 0.979  -0.093 1.055  -0.168 1.085  -0.226 1.130  -0.307 1.151  -0.360 1.199  -0.463 1.199  -0.515 1.149  -0.584 1.116  -0.584 1.014  -0.578 0.915  -0.515 0.839  -0.482 0.750  -0.446 0.663  -0.436 0.565  -0.368 0.489  -0.323 0.398  -0.260 0.319  -0.188 0.247  -0.127 0.165  -0.070 0.080  -0.009 -0.001  0.055 -0.080  0.101 -0.171  0.167 -0.247  0.240 -0.319  0.289 -0.408  0.344 -0.493  0.388 -0.577  0.439 -0.658  0.457 -0.753  0.486 -0.843  0.526 -0.928  0.526 -1.030  0.526 -1.133  0.475 -1.213  0.457 -1.308  0.416 -1.370  0.385 -1.442  0.310 -1.509  0.249 -1.549  0.175 -1.578  0.073 -1.578  -0.029 -1.578
1c#app#app19#app1981/u  -1.031 0.707  -1.031 0.833  -1.098 0.893  -1.217 0.885  -1.217 0.759  -1.217 0.632  -1.217 0.506  -1.217 0.380  -1.217 0.253  -1.217 0.127  -1.217 0.000  -1.154 -0.100  -1.065 -0.189  -0.975 -0.279  -0.886 -0.368  -0.797 -0.458  -0.707 -0.547  -0.601 -0.595  -0.474 -0.595  -0.348 -0.595  -0.221 -0.595  -0.095 -0.595  0.032 -0.595  0.158 -0.595  0.280 -0.585  0.370 -0.496  0.459 -0.406  0.549 -0.317  0.638 -0.228  0.643 -0.103  0.643 0.023  0.643 0.150  0.643 0.276  0.643 0.403  0.643 0.529  0.643 0.655  0.643 0.632  0.643 0.505  0.643 0.379  0.725 0.335  0.828 0.312  0.828 0.185  0.892 0.085  0.981 -0.004  1.014 -0.117  1.029 -0.237  1.118 -0.327  1.208 -0.416  1.297 -0.506  1.386 -0.595
1c#app#app19#app1981/r  -0.410 -0.065  -0.410 -0.180  -0.410 -0.296  -0.410 -0.412  -0.378 -0.520  -0.327 -0.624  -0.275 -0.727  -0.223 -0.831  -0.214 -0.944  -0.214 -1.060  -0.214 -1.176  -0.164 -1.243  -0.049 -1.243  -0.017 -1.327  -0.017 -1.435  -0.017 -1.320  -0.017 -1.204  -0.017 -1.088  -0.017 -0.972  -0.017 -0.856  -0.017 -0.741  -0.038 -0.633  -0.119 -0.551  -0.201 -0.470  -0.214 -0.359  -0.214 -0.243  -0.214 -0.127  -0.214 -0.011  -0.214 0.104  -0.214 0.220  -0.214 0.336  -0.214 0.452  -0.214 0.567  -0.214 0.683  -0.214 0.799  -0.214 0.915  -0.133 0.997  -0.052 1.079  0.030 1.161  0.112 1.243  0.200 1.310  0.316 1.310  0.432 1.310  0.548 1.310  0.637 1.245  0.718 1.163  0.814 1.114  0.929 1.114  1.045 1.114  1.161 1.114
1c#app#app19#app1981/e  -1.758 -0.343  -1.583 -0.343  -1.408 -0.343  -1.233 -0.343  -1.058 -0.343  -0.883 -0.343  -0.708 -0.343  -0.533 -0.343  -0.358 -0.343  -0.183 -0.343  -0.008 -0.343  0.149 -0.266  0.305 -0.188  0.465 -0.124  0.640 -0.124  0.652 0.039  0.771 0.095  0.871 0.170  0.902 0.314  1.077 0.314  1.090 0.476  1.007 0.617  0.884 0.740  0.760 0.864  0.636 0.988  0.512 1.112  0.370 1.191  0.195 1.191  0.020 1.191  -0.155 1.191  -0.299 1.116  -0.422 0.992  -0.443 0.826  -0.443 0.651  -0.443 0.476  -0.443 0.301  -0.443 0.126  -0.443 -0.049  -0.372 -0.195  -0.249 -0.318  -0.125 -0.442  -0.005 -0.567  -0.005 -0.742  0.091 -0.877  0.214 -1.002  0.214 -1.177  0.346 -1.219  0.521 -1.219  0.652 -1.263  0.652 -1.438
1c#app#app19#app1981/l  -0.345 -1.304  -0.428 -1.241  -0.428 -1.094  -0.345 -1.030  -0.283 -0.909  -0.179 -0.805  -0.134 -0.677  -0.030 -0.573  0.042 -0.447  0.129 -0.330  0.190 -0.200  0.236 -0.060  0.321 0.052  0.324 0.198  0.405 0.311  0.405 0.458  0.439 0.597  0.488 0.732  0.488 0.879  0.488 1.026  0.445 1.155  0.405 1.285  0.355 1.411  0.251 1.515  0.110 1.528  -0.030 1.511  -0.133 1.407  -0.237 1.303  -0.262 1.166  -0.266 1.020  -0.332 0.889  -0.345 0.745  -0.345 0.598  -0.345 0.451  -0.345 0.304  -0.345 0.158  -0.345 0.011  -0.345 -0.136  -0.317 -0.277  -0.256 -0.410  -0.221 -0.552  -0.185 -0.695  -0.125 -0.828  -0.059 -0.960  0.017 -1.083  0.121 -1.187  0.199 -1.310  0.280 -1.430  0.384 -1.534  0.488 -1.638
1c#app#app19#app1981/e  -1.062 -0.600  -1.062 -0.434  -0.925 -0.404  -0.759 -0.404  -0.593 -0.404  -0.427 -0.404  -0.261 -0.404  -0.094 -0.404  0.072 -0.404  0.202 -0.316  0.323 -0.208  0.489 -0.208  0.655 -0.208  0.786 -0.123  0.904 -0.006  1.022 0.112  1.094 0.248  1.094 0.414  1.094 0.580  1.094 0.747  0.994 0.871  0.868 0.968  0.702 0.968  0.702 1.134  0.565 1.164  0.399 1.164  0.233 1.164  0.080 1.130  -0.037 1.013  -0.185 0.968  -0.329 0.916  -0.447 0.799  -0.564 0.681  -0.670 0.559  -0.670 0.393  -0.670 0.226  -0.670 0.060  -0.670 -0.106  -0.670 -0.272  -0.670 -0.438  -0.665 -0.600  -0.499 -0.600  -0.474 -0.741  -0.395 -0.875  -0.278 -0.992  -0.160 -1.110  -0.043 -1.227  0.075 -1.345  0.192 -1.462  0.310 -1.580
1c#app#app19#app1981/a  0.049 0.179  0.049 0.354  -0.067 0.413  -0.184 0.471  -0.184 0.646  -0.359 0.646  -0.534 0.646  -0.651 0.704  -0.651 0.879  -0.825 0.880  -1.000 0.880  -1.159 0.840  -1.283 0.716  -1.352 0.570  -1.352 0.395  -1.352 0.220  -1.257 0.084  -1.133 -0.040  -1.009 -0.164  -0.886 -0.287  -0.762 -0.411  -0.632 -0.521  -0.457 -0.521  -0.418 -0.657  -0.341 -0.755  -0.166 -0.755  0.009 -0.755  0.184 -0.755  0.359 -0.755  0.517 -0.737  0.517 -0.562  0.517 -0.387  0.517 -0.212  0.517 -0.037  0.517 0.138  0.517 0.313  0.517 0.488  0.517 0.630  0.517 0.455  0.611 0.319  0.734 0.195  0.819 0.042  0.897 -0.114  0.975 -0.271  1.139 -0.288  1.217 -0.385  1.245 -0.549  1.368 -0.673  1.509 -0.755  1.684 -0.755
1c#app#app19#app1981/n  -0.800 0.841  -0.800 1.005  -0.800 1.170  -0.691 1.226  -0.689 1.226  -0.800 1.173  -0.800 1.008  -0.800 0.844  -0.800 0.679  -0.800 0.515  -0.800 0.350  -0.800 0.186  -0.800 0.021  -0.800 -0.143  -0.800 -0.308  -0.800 -0.472  -0.800 -0.637  -0.800 -0.801  -0.725 -0.891  -0.561 -0.891  -0.415 -0.872  -0.415 -0.707  -0.260 -0.698  -0.223 -0.571  -0.123 -0.506  0.020 -0.455  0.137 -0.339  0.162 -0.185  0.263 -0.121  0.387 -0.056  0.461 0.091  0.534 0.238  0.547 0.400  0.623 0.533  0.739 0.649  0.739 0.814  0.739 0.704  0.739 0.539  0.739 0.375  0.739 0.210  0.739 0.045  0.739 -0.119  0.854 -0.236  0.932 -0.368  0.932 -0.533  0.932 -0.697  0.932 -0.862  1.028 -0.987  1.124 -1.111  1.124 -1.276
1c#app#app19#app1981/e  -1.219 -0.114  -1.219 0.072  -1.074 0.114  -0.991 0.011  -0.929 -0.114  -0.764 -0.134  -0.764 -0.320  -0.599 -0.341  -0.413 -0.341  -0.227 -0.341  -0.040 -0.341  0.146 -0.341  0.332 -0.341  0.476 -0.240  0.610 -0.114  0.796 -0.114  0.982 -0.114  1.057 -0.003  1.126 0.114  1.284 0.142  1.284 0.328  1.284 0.514  1.192 0.662  1.060 0.793  0.928 0.925  0.783 1.024  0.597 1.024  0.411 1.024  0.225 1.024  0.039 1.024  -0.147 1.024  -0.308 0.999  -0.308 0.813  -0.478 0.796  -0.536 0.669  -0.536 0.482  -0.536 0.296  -0.536 0.110  -0.536 -0.076  -0.536 -0.262  -0.536 -0.448  -0.536 -0.634  -0.512 -0.796  -0.326 -0.796  -0.308 -0.965  -0.219 -1.114  -0.087 -1.245  0.044 -1.377  0.188 -1.479  0.374 -1.479
1c#app#app19#app1981/d  -0.082 -0.542  -0.251 -0.542  -0.417 -0.549  -0.544 -0.651  -0.713 -0.651  -0.738 -0.796  -0.738 -0.965  -0.692 -1.088  -0.523 -1.088  -0.353 -1.088  -0.218 -1.006  -0.067 -0.964  0.027 -0.833  0.027 -0.664  0.027 -0.495  0.027 -0.326  0.027 -0.157  0.027 0.012  0.027 0.182  0.027 0.351  0.027 0.520  0.027 0.689  0.027 0.858  0.027 1.028  0.027 1.197  0.027 1.366  0.027 1.535  0.027 1.704  0.027 1.852  0.027 1.683  0.027 1.514  0.027 1.345  0.027 1.176  0.092 1.033  0.137 0.882  0.137 0.713  0.137 0.544  0.137 0.375  0.168 0.210  0.209 0.045  0.246 -0.119  0.246 -0.288  0.257 -0.455  0.333 -0.606  0.355 -0.770  0.355 -0.939  0.447 -1.071  0.465 -1.232  0.465 -1.402  0.574 -1.526
1c#app#app19#app1981/o  0.669 0.100  0.669 0.241  0.537 0.250  0.519 0.374  0.519 0.515  0.413 0.550  0.301 0.619  0.193 0.700  0.057 0.712  -0.042 0.812  -0.168 0.850  -0.309 0.850  -0.450 0.850  -0.591 0.850  -0.733 0.850  -0.829 0.805  -0.865 0.700  -0.979 0.673  -0.997 0.550  -1.129 0.541  -1.129 0.400  -1.129 0.258  -1.129 0.117  -1.129 -0.024  -1.014 -0.050  -0.979 -0.156  -0.910 -0.269  -0.810 -0.368  -0.711 -0.468  -0.582 -0.499  -0.451 -0.539  -0.324 -0.602  -0.205 -0.674  -0.105 -0.774  0.026 -0.799  0.167 -0.799  0.308 -0.799  0.449 -0.799  0.590 -0.799  0.731 -0.799  0.857 -0.762  0.957 -0.662  1.093 -0.649  1.234 -0.649  1.269 -0.543  1.269 -0.402  1.269 -0.261  1.269 -0.120  1.219 0.000  1.119 0.100
1c#app#app19#app1981/u  -0.984 0.451  -0.984 0.581  -0.984 0.711  -0.984 0.841  -0.984 0.970  -1.104 0.980  -1.160 0.907  -1.160 0.777  -1.160 0.647  -1.160 0.517  -1.115 0.406  -1.023 0.314  -0.984 0.201  -0.964 0.079  -0.872 -0.013  -0.807 -0.116  -0.807 -0.245  -0.686 -0.254  -0.631 -0.329  -0.603 -0.431  -0.473 -0.431  -0.376 -0.509  -0.284 -0.601  -0.157 -0.607  -0.027 -0.607  0.103 -0.607  0.233 -0.607  0.362 -0.607  0.473 -0.561  0.565 -0.469  0.679 -0.431  0.780 -0.402  0.780 -0.272  0.780 -0.142  0.780 -0.012  0.780 0.118  0.780 0.247  0.780 0.377  0.780 0.395  0.789 0.275  0.919 0.275  0.956 0.182  0.956 0.052  0.956 -0.077  1.085 -0.078  1.132 -0.161  1.158 -0.280  1.250 -0.372  1.309 -0.477  1.309 -0.607
1c#app#app19#app1981/t  0.263 2.129  0.130 2.109  0.130 1.955  0.130 1.801  0.130 1.647  0.084 1.504  0.016 1.367  -0.003 1.217  -0.003 1.063  -0.009 0.910  -0.058 0.765  -0.107 0.619  -0.137 0.470  -0.137 0.316  -0.137 0.162  -0.137 0.008  -0.137 -0.146  -0.137 -0.299  -0.137 -0.453  -0.137 -0.607  -0.074 -0.735  0.021 -0.854  0.089 -0.991  0.130 -1.136  0.130 -1.290  0.203 -1.413  0.226 -1.415  0.144 -1.285  0.061 -1.155  -0.021 -1.025  -0.104 -0.896  -0.187 -0.766  -0.269 -0.636  -0.352 -0.506  -0.434 -0.376  -0.517 -0.247  -0.599 -0.117  -0.670 -0.027  -0.628 -0.139  -0.474 -0.139  -0.321 -0.139  -0.167 -0.139  -0.013 -0.139  0.141 -0.139  0.295 -0.139  0.449 -0.139  0.602 -0.139  0.756 -0.139  0.910 -0.139  1.064 -0.139
