1b#apb#apb29#app2986/A  0.165 1.123  0.095 1.181  -0.018 0.938  -0.147 0.702  -0.263 0.458  -0.363 0.208  -0.480 -0.034  -0.619 -0.265  -0.740 -0.506  -0.863 -0.747  -0.987 -0.985  -1.074 -1.192  -0.935 -0.964  -0.824 -0.718  -0.714 -0.472  -0.598 -0.229  -0.477 0.012  -0.351 0.251  -0.248 0.500  -0.143 0.747  -0.011 0.983  0.129 1.213  0.236 1.460  0.402 1.612  0.517 1.368  0.591 1.117  0.621 0.851  0.691 0.591  0.736 0.326  0.773 0.060  0.841 -0.201  0.938 -0.452  1.040 -0.702  1.140 -0.952  1.183 -1.208  1.037 -1.120  0.791 -1.011  0.544 -0.901  0.298 -0.792  0.052 -0.682  -0.195 -0.573  -0.441 -0.463  -0.688 -0.354  -0.933 -0.244  -0.784 -0.028  -0.519 0.009  -0.253 0.047  0.016 0.036  0.285 0.025  0.546 -0.020
1b#apb#apb29#app2986/L  0.357 1.712  0.272 1.722  0.226 1.642  0.212 1.544  0.188 1.449  0.162 1.354  0.141 1.258  0.116 1.163  0.080 1.071  0.043 0.980  0.008 0.888  -0.027 0.796  -0.063 0.704  -0.108 0.617  -0.156 0.531  -0.204 0.445  -0.255 0.361  -0.307 0.277  -0.358 0.193  -0.406 0.107  -0.452 0.020  -0.499 -0.066  -0.542 -0.155  -0.583 -0.244  -0.624 -0.334  -0.679 -0.414  -0.743 -0.489  -0.778 -0.577  -0.776 -0.672  -0.700 -0.731  -0.608 -0.768  -0.512 -0.761  -0.414 -0.751  -0.315 -0.751  -0.217 -0.753  -0.119 -0.764  -0.021 -0.772  0.077 -0.772  0.176 -0.772  0.274 -0.772  0.373 -0.772  0.471 -0.772  0.569 -0.772  0.668 -0.772  0.766 -0.772  0.865 -0.772  0.961 -0.753  1.058 -0.734  1.153 -0.711  1.249 -0.687
1b#apb#apb29#app2986/M  -0.185 1.325  -0.385 1.199  -0.443 0.898  -0.562 0.611  -0.670 0.320  -0.773 0.028  -0.911 -0.251  -0.996 -0.547  -1.067 -0.849  -1.145 -1.140  -1.050 -0.864  -0.992 -0.559  -0.935 -0.254  -0.877 0.051  -0.820 0.356  -0.762 0.661  -0.705 0.966  -0.461 0.824  -0.258 0.592  -0.176 0.296  -0.135 -0.010  -0.098 -0.317  -0.016 -0.615  0.123 -0.893  0.174 -0.639  0.217 -0.332  0.259 -0.024  0.301 0.283  0.270 0.467  0.174 0.175  0.107 -0.127  0.010 -0.421  -0.088 -0.712  -0.200 -0.998  -0.059 -0.782  0.062 -0.497  0.123 -0.192  0.214 0.104  0.306 0.400  0.399 0.696  0.546 0.968  0.746 1.064  0.945 0.834  1.114 0.573  1.230 0.286  1.303 -0.014  1.346 -0.319  1.448 -0.612  1.569 -0.898  1.787 -1.116
1b#apb#apb29#app2986/N  -0.627 1.091  -0.581 0.956  -0.586 0.718  -0.626 0.483  -0.703 0.258  -0.783 0.033  -0.866 -0.190  -0.947 -0.414  -1.027 -0.638  -1.097 -0.866  -1.132 -1.031  -1.013 -0.826  -0.915 -0.609  -0.874 -0.375  -0.841 -0.139  -0.806 0.096  -0.726 0.320  -0.679 0.552  -0.571 0.758  -0.547 0.563  -0.502 0.330  -0.440 0.102  -0.342 -0.115  -0.225 -0.322  -0.079 -0.510  0.114 -0.650  0.290 -0.810  0.503 -0.910  0.733 -0.919  0.839 -0.733  0.844 -0.495  0.850 -0.257  0.856 -0.019  0.861 0.219  0.867 0.457  0.873 0.695  0.878 0.934  0.903 1.168  0.958 1.349  0.951 1.114  0.922 0.878  0.854 0.652  0.762 0.432  0.679 0.209  0.597 -0.015  0.513 -0.238  0.462 -0.468  0.448 -0.705  0.464 -0.942  0.517 -1.174
1b#apb#apb29#app2986/O  0.259 0.134  0.281 0.304  0.304 0.475  0.354 0.618  0.313 0.775  0.166 0.822  0.004 0.770  -0.150 0.693  -0.293 0.598  -0.426 0.490  -0.539 0.360  -0.647 0.226  -0.750 0.089  -0.839 -0.059  -0.924 -0.208  -1.006 -0.359  -1.070 -0.519  -1.119 -0.683  -1.140 -0.853  -1.109 -1.021  -0.990 -1.127  -0.825 -1.172  -0.658 -1.176  -0.495 -1.121  -0.332 -1.066  -0.171 -1.006  -0.009 -0.947  0.149 -0.880  0.301 -0.800  0.454 -0.720  0.602 -0.633  0.745 -0.538  0.888 -0.442  1.025 -0.337  1.137 -0.213  1.207 -0.056  1.205 0.116  1.141 0.275  1.049 0.418  0.934 0.545  0.801 0.653  0.659 0.750  0.506 0.824  0.341 0.875  0.174 0.914  0.005 0.948  -0.161 0.937  -0.326 0.886  -0.457 0.784  -0.571 0.656
1b#apb#apb29#app2986/P  -0.430 0.519  -0.421 0.503  -0.347 0.323  -0.309 0.132  -0.271 -0.060  -0.252 -0.254  -0.239 -0.449  -0.239 -0.645  -0.231 -0.840  -0.214 -1.035  -0.179 -1.227  -0.168 -1.422  -0.117 -1.605  0.013 -1.615  0.099 -1.439  0.142 -1.253  0.096 -1.070  -0.003 -0.902  -0.103 -0.733  -0.202 -0.565  -0.302 -0.397  -0.401 -0.228  -0.502 -0.061  -0.607 0.104  -0.693 0.279  -0.766 0.460  -0.815 0.649  -0.807 0.837  -0.706 1.003  -0.549 1.120  -0.367 1.186  -0.182 1.250  0.000 1.320  0.194 1.318  0.388 1.303  0.577 1.252  0.757 1.177  0.882 1.040  0.970 0.865  0.994 0.672  0.978 0.478  0.943 0.287  0.855 0.112  0.759 -0.058  0.655 -0.223  0.520 -0.365  0.363 -0.479  0.183 -0.545  0.055 -0.454  -0.001 -0.266
1b#apb#apb29#app2986/Q  0.061 0.756  -0.090 0.823  -0.290 0.729  -0.447 0.572  -0.612 0.424  -0.749 0.252  -0.876 0.070  -0.980 -0.125  -1.056 -0.331  -1.080 -0.551  -0.954 -0.728  -0.746 -0.788  -0.524 -0.774  -0.313 -0.711  -0.104 -0.635  0.108 -0.568  0.310 -0.481  0.491 -0.353  0.675 -0.229  0.862 -0.108  1.019 0.046  1.149 0.224  1.243 0.424  1.226 0.645  1.078 0.807  0.887 0.911  0.681 0.996  0.466 1.046  0.247 1.079  0.027 1.085  -0.193 1.053  -0.402 0.983  -0.586 0.867  -0.737 0.704  -0.844 0.510  -0.799 0.350  -0.614 0.227  -0.430 0.104  -0.245 -0.020  -0.188 -0.026  -0.199 -0.091  -0.080 -0.278  0.015 -0.478  0.111 -0.679  0.225 -0.868  0.358 -1.046  0.492 -1.223  0.620 -1.404  0.808 -1.523  0.977 -1.667
1b#apb#apb29#app2986/R  -0.333 0.621  -0.325 0.536  -0.369 0.331  -0.370 0.120  -0.370 -0.090  -0.393 -0.299  -0.407 -0.509  -0.420 -0.718  -0.436 -0.926  -0.398 -1.133  -0.292 -1.294  -0.159 -1.179  -0.204 -0.974  -0.250 -0.768  -0.295 -0.562  -0.341 -0.357  -0.386 -0.151  -0.432 0.054  -0.477 0.260  -0.523 0.466  -0.568 0.671  -0.614 0.877  -0.659 1.083  -0.679 1.289  -0.516 1.411  -0.313 1.464  -0.104 1.485  0.107 1.486  0.299 1.404  0.428 1.239  0.513 1.047  0.532 0.839  0.514 0.630  0.469 0.425  0.399 0.227  0.293 0.046  0.150 -0.107  -0.022 -0.217  -0.232 -0.226  -0.249 -0.399  -0.137 -0.570  0.021 -0.706  0.213 -0.794  0.419 -0.832  0.628 -0.858  0.838 -0.870  1.048 -0.884  1.259 -0.880  1.469 -0.871  1.673 -0.834
1b#apb#apb29#app2986/S  0.471 0.805  0.397 0.892  0.321 0.976  0.238 1.053  0.139 1.109  0.052 1.181  -0.028 1.260  -0.132 1.306  -0.244 1.323  -0.348 1.279  -0.457 1.249  -0.549 1.199  -0.610 1.104  -0.626 0.992  -0.631 0.878  -0.621 0.766  -0.603 0.654  -0.585 0.542  -0.510 0.457  -0.435 0.372  -0.344 0.304  -0.253 0.235  -0.164 0.166  -0.074 0.096  0.007 0.016  0.090 -0.061  0.180 -0.130  0.269 -0.201  0.355 -0.275  0.433 -0.356  0.499 -0.449  0.570 -0.537  0.638 -0.628  0.693 -0.727  0.735 -0.831  0.749 -0.943  0.700 -1.040  0.619 -1.120  0.523 -1.165  0.410 -1.174  0.296 -1.182  0.183 -1.175  0.070 -1.167  -0.042 -1.153  -0.143 -1.102  -0.245 -1.052  -0.351 -1.012  -0.460 -0.979  -0.551 -0.917  -0.631 -0.837
1b#apb#apb29#app2986/T  0.660 0.677  0.522 0.714  0.399 0.615  0.354 0.464  0.312 0.309  0.262 0.156  0.228 -0.001  0.194 -0.158  0.176 -0.317  0.164 -0.477  0.144 -0.637  0.121 -0.796  0.104 -0.955  0.090 -1.115  0.074 -1.275  0.046 -1.432  0.011 -1.586  -0.058 -1.456  -0.129 -1.312  -0.201 -1.169  -0.273 -1.025  -0.345 -0.881  -0.417 -0.738  -0.489 -0.594  -0.560 -0.450  -0.632 -0.306  -0.704 -0.163  -0.776 -0.019  -0.848 0.125  -0.920 0.268  -0.992 0.412  -1.063 0.556  -1.086 0.692  -0.943 0.700  -0.783 0.701  -0.624 0.684  -0.466 0.652  -0.308 0.627  -0.148 0.627  0.013 0.627  0.173 0.637  0.331 0.663  0.490 0.690  0.649 0.707  0.810 0.716  0.970 0.726  1.129 0.751  1.287 0.777  1.447 0.789  1.607 0.801
1b#apb#apb29#app2986/U  -0.887 1.116  -0.861 1.127  -0.875 0.983  -0.935 0.849  -0.967 0.707  -1.005 0.566  -1.066 0.433  -1.113 0.294  -1.144 0.152  -1.156 0.006  -1.127 -0.137  -1.120 -0.282  -1.055 -0.402  -0.946 -0.496  -0.803 -0.528  -0.660 -0.498  -0.523 -0.447  -0.391 -0.384  -0.265 -0.309  -0.151 -0.217  -0.059 -0.104  0.028 0.014  0.108 0.137  0.171 0.268  0.214 0.408  0.259 0.548  0.301 0.689  0.347 0.827  0.457 0.903  0.522 0.812  0.483 0.671  0.436 0.533  0.400 0.391  0.345 0.255  0.300 0.116  0.266 -0.027  0.244 -0.172  0.257 -0.315  0.307 -0.452  0.382 -0.576  0.507 -0.654  0.629 -0.734  0.761 -0.787  0.907 -0.798  1.054 -0.802  1.200 -0.802  1.341 -0.761  1.485 -0.736  1.630 -0.718  1.767 -0.666
1b#apb#apb29#app2986/V  -1.218 0.944  -1.149 1.080  -1.011 1.100  -0.951 0.945  -0.912 0.782  -0.898 0.616  -0.898 0.447  -0.898 0.279  -0.885 0.112  -0.855 -0.054  -0.855 -0.222  -0.832 -0.388  -0.797 -0.553  -0.743 -0.712  -0.667 -0.862  -0.571 -1.000  -0.435 -1.096  -0.293 -1.171  -0.170 -1.093  -0.087 -0.947  -0.004 -0.800  0.079 -0.654  0.162 -0.507  0.245 -0.361  0.327 -0.214  0.410 -0.068  0.493 0.079  0.576 0.225  0.659 0.372  0.742 0.518  0.825 0.665  0.908 0.811  0.991 0.957  1.068 1.081  1.062 1.095  1.001 0.939  0.933 0.785  0.855 0.636  0.773 0.489  0.685 0.346  0.598 0.202  0.516 0.055  0.433 -0.092  0.343 -0.234  0.252 -0.375  0.170 -0.523  0.091 -0.671  0.026 -0.826  -0.028 -0.985  -0.064 -1.150
1b#apb#apb29#app2986/W  -1.445 0.958  -1.197 0.951  -1.046 0.745  -0.963 0.485  -0.963 0.208  -1.015 -0.065  -1.048 -0.341  -1.000 -0.614  -0.893 -0.862  -0.664 -0.817  -0.547 -0.565  -0.430 -0.313  -0.313 -0.061  -0.196 0.191  -0.080 0.443  -0.092 0.475  -0.237 0.242  -0.401 0.017  -0.531 -0.228  -0.669 -0.469  -0.774 -0.726  -0.671 -0.839  -0.528 -0.616  -0.425 -0.358  -0.322 -0.100  -0.229 0.155  -0.400 0.092  -0.303 -0.156  -0.139 -0.378  0.055 -0.576  0.294 -0.711  0.568 -0.747  0.832 -0.715  0.887 -0.443  0.943 -0.170  0.998 0.102  1.053 0.374  1.109 0.646  1.164 0.919  1.219 1.191  1.258 1.438  1.155 1.180  1.048 0.925  0.962 0.661  0.877 0.396  0.789 0.133  0.701 -0.131  0.598 -0.389  0.472 -0.636  0.536 -0.902
1b#apb#apb29#app2986/X  -1.195 0.954  -1.105 1.004  -0.956 0.912  -0.816 0.807  -0.685 0.689  -0.560 0.564  -0.445 0.431  -0.338 0.292  -0.234 0.149  -0.133 0.005  -0.028 -0.137  0.082 -0.275  0.184 -0.418  0.284 -0.563  0.405 -0.691  0.540 -0.804  0.683 -0.907  0.839 -0.983  1.008 -1.036  1.081 -0.956  1.036 -0.785  0.991 -0.615  0.946 -0.444  0.902 -0.274  0.857 -0.103  0.812 0.067  0.767 0.237  0.723 0.408  0.678 0.578  0.633 0.749  0.588 0.919  0.543 1.090  0.447 1.141  0.362 0.988  0.254 0.848  0.144 0.711  0.019 0.586  -0.105 0.461  -0.215 0.324  -0.316 0.180  -0.418 0.036  -0.521 -0.107  -0.624 -0.250  -0.727 -0.393  -0.827 -0.539  -0.927 -0.684  -1.029 -0.827  -1.133 -0.970  -1.231 -1.116  -1.239 -1.252
1b#apb#apb29#app2986/Y  -0.833 1.178  -0.815 1.137  -0.811 0.980  -0.789 0.823  -0.763 0.668  -0.732 0.513  -0.680 0.365  -0.622 0.218  -0.556 0.075  -0.465 -0.052  -0.360 -0.170  -0.255 -0.287  -0.123 -0.369  0.003 -0.463  0.147 -0.490  0.210 -0.346  0.273 -0.202  0.337 -0.057  0.400 0.087  0.463 0.232  0.527 0.376  0.590 0.520  0.653 0.665  0.717 0.809  0.780 0.954  0.843 1.098  0.907 1.242  0.866 1.106  0.800 0.963  0.739 0.818  0.684 0.670  0.616 0.528  0.540 0.390  0.464 0.252  0.388 0.114  0.312 -0.025  0.231 -0.159  0.142 -0.290  0.053 -0.420  -0.033 -0.552  -0.117 -0.685  -0.200 -0.819  -0.284 -0.952  -0.369 -1.085  -0.454 -1.218  -0.539 -1.351  -0.621 -1.486  -0.702 -1.621  -0.764 -1.766  -0.798 -1.917
1b#apb#apb29#app2986/Z  -0.549 0.966  -0.463 1.043  -0.360 1.123  -0.233 1.147  -0.102 1.134  0.028 1.131  0.159 1.131  0.290 1.130  0.420 1.118  0.545 1.083  0.673 1.065  0.775 1.021  0.672 0.947  0.558 0.882  0.446 0.817  0.359 0.719  0.259 0.636  0.154 0.559  0.061 0.467  -0.029 0.372  -0.114 0.272  -0.199 0.173  -0.288 0.076  -0.377 -0.020  -0.452 -0.127  -0.526 -0.235  -0.599 -0.344  -0.669 -0.454  -0.741 -0.563  -0.813 -0.672  -0.887 -0.780  -0.962 -0.888  -0.925 -0.937  -0.797 -0.914  -0.669 -0.891  -0.559 -0.838  -0.428 -0.838  -0.297 -0.838  -0.166 -0.838  -0.035 -0.838  0.096 -0.831  0.226 -0.823  0.357 -0.821  0.488 -0.821  0.619 -0.809  0.749 -0.795  0.879 -0.783  1.010 -0.773  1.140 -0.772  1.271 -0.772
