1b#app#app18#app1829/A  -0.466 -1.598  -0.614 -1.528  -0.614 -1.310  -0.614 -1.093  -0.614 -0.875  -0.614 -0.657  -0.614 -0.440  -0.614 -0.222  -0.614 -0.005  -0.614 0.213  -0.614 0.430  -0.592 0.639  -0.466 0.804  -0.466 1.022  -0.434 1.208  -0.318 1.309  -0.294 1.503  -0.171 1.597  -0.023 1.635  0.063 1.503  0.125 1.347  0.203 1.208  0.272 1.060  0.272 0.842  0.371 0.666  0.420 0.468  0.420 0.251  0.420 0.033  0.465 -0.166  0.568 -0.341  0.568 -0.558  0.632 -0.712  0.715 -0.846  0.715 -1.063  0.842 -1.155  0.863 -0.958  0.752 -0.818  0.548 -0.741  0.344 -0.665  0.141 -0.589  -0.063 -0.512  -0.267 -0.436  -0.466 -0.402  -0.381 -0.269  -0.311 -0.121  -0.116 -0.067  0.063 0.027  0.272 0.034  0.350 0.174  0.568 0.174
1b#app#app18#app1829/L  -0.272 1.292  -0.169 1.292  -0.067 1.292  -0.139 1.292  -0.242 1.292  -0.272 1.365  -0.272 1.467  -0.272 1.455  -0.272 1.352  -0.272 1.250  -0.272 1.147  -0.272 1.045  -0.272 0.942  -0.272 0.840  -0.272 0.738  -0.272 0.635  -0.272 0.533  -0.272 0.430  -0.272 0.328  -0.272 0.225  -0.272 0.123  -0.272 0.020  -0.272 -0.082  -0.272 -0.184  -0.272 -0.287  -0.272 -0.389  -0.272 -0.492  -0.272 -0.594  -0.272 -0.697  -0.272 -0.799  -0.272 -0.901  -0.272 -1.004  -0.272 -1.106  -0.214 -1.068  -0.141 -0.996  -0.069 -0.923  0.027 -0.907  0.129 -0.907  0.232 -0.907  0.334 -0.907  0.422 -0.872  0.495 -0.800  0.567 -0.727  0.653 -0.687  0.755 -0.687  0.858 -0.687  0.960 -0.687  1.062 -0.687  1.165 -0.687  1.267 -0.687
1b#app#app18#app1829/M  -0.679 0.377  -0.888 0.441  -0.888 0.457  -0.888 0.184  -0.888 -0.088  -0.888 -0.361  -0.888 -0.634  -0.888 -0.907  -0.888 -1.179  -0.775 -1.405  -0.679 -1.362  -0.679 -1.090  -0.679 -0.817  -0.679 -0.544  -0.679 -0.271  -0.679 0.001  -0.679 0.274  -0.510 0.377  -0.471 0.611  -0.381 0.794  -0.262 0.948  -0.054 0.993  -0.054 0.721  -0.054 0.448  -0.054 0.175  0.134 -0.020  0.155 -0.284  0.155 -0.557  0.155 -0.829  0.363 -0.894  0.363 -1.000  0.363 -0.727  0.363 -0.455  0.363 -0.182  0.363 0.091  0.363 0.364  0.399 0.621  0.572 0.823  0.572 1.096  0.729 1.211  0.781 1.407  0.781 1.135  0.781 0.862  0.781 0.589  0.971 0.395  0.989 0.130  1.062 -0.113  1.198 -0.329  1.198 -0.602  1.198 -0.875
1b#app#app18#app1829/N  -0.714 -0.878  -0.714 -1.033  -0.799 -1.103  -0.938 -1.087  -0.938 -0.932  -0.938 -0.777  -0.938 -0.622  -0.938 -0.467  -0.938 -0.312  -0.938 -0.157  -0.938 -0.002  -0.938 0.153  -0.874 0.244  -0.719 0.244  -0.714 0.394  -0.714 0.549  -0.714 0.704  -0.714 0.859  -0.714 0.822  -0.687 0.694  -0.532 0.694  -0.377 0.694  -0.265 0.651  -0.265 0.496  -0.174 0.379  -0.065 0.269  -0.040 0.124  0.011 0.020  0.166 0.020  0.184 -0.116  0.232 -0.252  0.341 -0.361  0.468 -0.429  0.623 -0.429  0.634 -0.574  0.709 -0.654  0.864 -0.654  1.019 -0.654  1.083 -0.563  1.083 -0.408  1.083 -0.253  1.083 -0.098  1.083 0.058  1.083 0.213  1.083 0.368  1.083 0.523  1.083 0.678  1.083 0.833  1.083 0.988  1.083 1.143
1b#app#app18#app1829/O  0.043 0.599  -0.116 0.599  -0.188 0.686  -0.202 0.831  -0.361 0.831  -0.420 0.730  -0.448 0.599  -0.606 0.599  -0.765 0.599  -0.882 0.557  -0.882 0.399  -0.973 0.277  -1.085 0.165  -1.113 0.018  -1.113 -0.141  -1.113 -0.300  -1.113 -0.458  -1.052 -0.556  -0.894 -0.556  -0.778 -0.660  -0.666 -0.773  -0.513 -0.788  -0.373 -0.834  -0.261 -0.946  -0.132 -1.019  0.026 -1.019  0.185 -1.019  0.344 -1.019  0.503 -1.019  0.505 -0.862  0.589 -0.788  0.736 -0.776  0.736 -0.617  0.834 -0.556  0.967 -0.531  0.967 -0.372  0.967 -0.213  0.967 -0.054  0.967 0.104  0.967 0.263  0.929 0.406  0.817 0.518  0.736 0.644  0.736 0.802  0.605 0.831  0.505 0.889  0.505 1.048  0.360 1.062  0.274 0.989  0.274 0.831
1b#app#app18#app1829/P  -0.325 0.792  -0.334 1.009  -0.542 0.992  -0.542 0.767  -0.542 0.542  -0.501 0.359  -0.325 0.309  -0.325 0.084  -0.325 -0.141  -0.325 -0.366  -0.325 -0.590  -0.325 -0.815  -0.325 -1.040  -0.325 -1.265  -0.325 -1.490  -0.325 -1.715  -0.325 -1.675  -0.185 -1.591  -0.122 -1.442  -0.143 -1.218  -0.163 -0.994  -0.183 -0.770  -0.204 -0.546  -0.224 -0.322  -0.244 -0.098  -0.265 0.126  -0.285 0.350  -0.306 0.574  -0.331 0.792  -0.532 0.802  -0.373 0.961  -0.168 1.009  -0.109 1.174  0.065 1.225  0.290 1.225  0.515 1.225  0.740 1.225  0.758 1.018  0.910 0.856  0.974 0.658  0.974 0.433  0.974 0.208  0.974 -0.016  0.807 -0.074  0.758 -0.250  0.574 -0.291  0.541 -0.483  0.341 -0.508  0.116 -0.508  -0.109 -0.508
1b#app#app18#app1829/Q  -0.094 1.104  -0.123 1.318  -0.365 1.318  -0.607 1.318  -0.734 1.202  -0.836 1.002  -0.948 0.806  -1.028 0.597  -1.161 0.410  -1.161 0.168  -1.161 -0.074  -1.021 -0.177  -0.948 -0.345  -0.808 -0.530  -0.596 -0.603  -0.521 -0.770  -0.325 -0.817  -0.083 -0.817  0.148 -0.789  0.319 -0.618  0.490 -0.446  0.547 -0.228  0.547 0.015  0.547 0.257  0.547 0.499  0.482 0.677  0.333 0.770  0.333 1.012  0.183 1.104  -0.060 1.104  -0.094 0.896  -0.088 0.654  -0.029 0.419  0.029 0.184  0.088 -0.051  0.120 -0.289  0.120 -0.249  -0.050 -0.177  0.105 -0.177  0.134 -0.390  0.333 -0.433  0.405 -0.603  0.547 -0.704  0.676 -0.817  0.760 -0.975  0.947 -1.030  1.126 -1.183  1.031 -1.244  0.973 -1.059  0.973 -1.244
1b#app#app18#app1829/R  -0.339 0.886  -0.339 0.709  -0.452 0.886  -0.572 0.717  -0.572 0.428  -0.572 0.138  -0.572 -0.152  -0.572 -0.442  -0.572 -0.732  -0.572 -1.021  -0.572 -1.311  -0.572 -1.601  -0.572 -1.472  -0.339 -1.416  -0.339 -1.126  -0.339 -0.836  -0.339 -0.546  -0.339 -0.257  -0.339 0.033  -0.339 0.323  -0.339 0.613  -0.339 0.870  -0.339 0.726  -0.468 0.886  -0.441 1.017  -0.194 1.120  -0.106 1.321  0.152 1.353  0.442 1.353  0.595 1.217  0.788 1.120  0.828 0.870  0.828 0.581  0.828 0.291  0.643 0.186  0.587 -0.047  0.361 -0.112  0.241 -0.281  -0.049 -0.281  -0.339 -0.281  -0.283 -0.047  0.007 -0.047  0.297 -0.047  0.361 -0.273  0.595 -0.329  0.669 -0.588  0.828 -0.812  0.949 -0.981  1.062 -1.158  1.062 -1.448
1b#app#app18#app1829/S  0.619 0.887  0.619 1.023  0.605 1.146  0.468 1.146  0.331 1.146  0.195 1.146  0.058 1.146  -0.079 1.146  -0.216 1.146  -0.352 1.146  -0.419 1.076  -0.419 0.939  -0.503 0.887  -0.640 0.887  -0.678 0.788  -0.678 0.652  -0.678 0.515  -0.678 0.378  -0.551 0.368  -0.415 0.368  -0.278 0.368  -0.141 0.368  -0.005 0.368  0.100 0.336  0.100 0.199  0.146 0.109  0.283 0.109  0.359 0.049  0.359 -0.088  0.412 -0.203  0.509 -0.300  0.605 -0.396  0.619 -0.528  0.619 -0.664  0.619 -0.801  0.619 -0.938  0.619 -1.074  0.596 -1.188  0.459 -1.188  0.322 -1.188  0.186 -1.188  0.049 -1.188  -0.088 -1.188  -0.225 -1.188  -0.361 -1.188  -0.475 -1.132  -0.571 -1.035  -0.668 -0.939  -0.678 -1.051  -0.678 -1.188
1b#app#app18#app1829/T  0.463 0.210  0.664 0.210  0.723 0.352  0.641 0.470  0.463 0.493  0.463 0.694  0.299 0.730  0.204 0.624  0.204 0.424  0.204 0.223  0.204 0.022  0.204 -0.178  0.204 -0.379  0.204 -0.580  0.204 -0.780  0.204 -0.981  0.204 -1.182  0.204 -1.382  0.204 -1.583  0.204 -1.783  0.204 -1.751  0.180 -1.555  0.099 -1.372  0.017 -1.189  -0.064 -1.005  -0.146 -0.822  -0.227 -0.639  -0.309 -0.455  -0.390 -0.272  -0.471 -0.089  -0.553 0.095  -0.634 0.278  -0.716 0.461  -0.797 0.645  -0.943 0.730  -1.095 0.778  -1.095 0.979  -1.095 0.800  -0.964 0.730  -0.764 0.730  -0.563 0.730  -0.362 0.730  -0.162 0.730  0.039 0.730  0.239 0.730  0.440 0.730  0.641 0.730  0.841 0.730  1.042 0.730  1.243 0.730
1b#app#app18#app1829/U  -1.030 0.627  -0.872 0.627  -0.959 0.627  -0.836 0.734  -0.979 0.821  -1.030 0.642  -0.836 0.607  -0.836 0.377  -0.927 0.238  -1.030 0.111  -1.030 -0.119  -1.030 -0.349  -0.991 -0.539  -0.836 -0.614  -0.836 -0.844  -0.689 -0.927  -0.459 -0.927  -0.424 -1.122  -0.253 -1.062  -0.158 -0.927  0.072 -0.927  0.135 -0.761  0.330 -0.725  0.330 -0.495  0.330 -0.265  0.445 -0.150  0.524 0.000  0.524 0.230  0.524 0.460  0.524 0.690  0.524 0.920  0.524 0.880  0.524 0.991  0.341 1.015  0.524 0.968  0.607 0.821  0.718 0.940  0.563 1.015  0.524 0.825  0.524 0.595  0.524 0.365  0.524 0.135  0.524 -0.095  0.524 -0.325  0.540 -0.539  0.718 -0.590  0.718 -0.820  0.841 -0.927  0.912 -1.086  1.107 -1.122
1b#app#app18#app1829/V  -1.004 0.933  -0.854 0.933  -0.792 0.933  -0.941 0.933  -1.004 1.020  -1.004 1.169  -0.912 1.096  -0.806 0.991  -0.748 0.866  -0.748 0.716  -0.670 0.600  -0.564 0.494  -0.493 0.374  -0.493 0.225  -0.493 0.076  -0.493 -0.074  -0.398 -0.183  -0.292 -0.289  -0.238 -0.416  -0.238 -0.565  -0.238 -0.714  -0.228 -0.854  -0.079 -0.854  0.017 -0.907  0.017 -1.056  0.017 -1.205  0.017 -1.355  0.017 -1.224  0.051 -1.109  0.200 -1.109  0.273 -1.032  0.273 -0.882  0.273 -0.733  0.273 -0.584  0.273 -0.435  0.330 -0.343  0.480 -0.343  0.528 -0.242  0.528 -0.093  0.528 0.057  0.566 0.167  0.716 0.167  0.783 0.249  0.783 0.398  0.872 0.511  0.977 0.617  1.101 0.678  1.250 0.678  1.294 0.784  1.294 0.933
1b#app#app18#app1829/W  -1.221 0.836  -1.221 1.037  -1.221 0.849  -1.033 0.836  -1.013 0.655  -1.013 0.454  -1.013 0.252  -0.852 0.212  -0.805 0.058  -0.805 -0.143  -0.805 -0.344  -0.671 -0.412  -0.597 -0.539  -0.597 -0.740  -0.597 -0.941  -0.490 -1.035  -0.389 -1.135  -0.389 -1.150  -0.389 -0.948  -0.389 -0.747  -0.389 -0.546  -0.389 -0.345  -0.329 -0.204  -0.181 -0.151  -0.181 0.051  -0.181 0.252  -0.148 0.420  0.026 0.446  0.026 0.608  0.039 0.420  0.234 0.414  0.234 0.213  0.234 0.012  0.428 0.004  0.442 -0.183  0.442 -0.384  0.616 -0.412  0.650 -0.578  0.810 -0.619  0.966 -0.511  1.066 -0.351  1.066 -0.150  1.066 0.051  1.066 0.252  1.100 0.420  1.274 0.447  1.274 0.648  1.287 0.836  1.482 0.842  1.482 1.044
1b#app#app18#app1829/X  -0.769 0.708  -0.783 0.916  -0.977 0.942  -0.937 1.123  -0.769 1.070  -0.722 0.869  -0.566 0.713  -0.555 0.501  -0.340 0.486  -0.184 0.330  -0.147 0.125  0.035 0.086  0.060 -0.109  0.208 -0.268  0.364 -0.424  0.520 -0.580  0.676 -0.737  0.686 -0.950  0.872 -0.950  0.682 -0.920  0.682 -0.699  0.682 -0.479  0.682 -0.258  0.682 -0.037  0.682 0.183  0.682 0.404  0.682 0.625  0.682 0.845  0.832 0.916  0.890 1.079  0.713 1.123  0.492 1.123  0.331 0.979  0.267 0.785  0.267 0.564  0.156 0.390  0.060 0.209  -0.038 0.086  -0.147 -0.025  -0.147 -0.246  -0.245 -0.426  -0.355 -0.601  -0.433 -0.743  -0.562 -0.835  -0.636 -1.025  -0.769 -1.191  -0.815 -1.365  -0.977 -1.424  -0.925 -1.521  -0.769 -1.365
1b#app#app18#app1829/Y  -0.374 1.118  -0.388 1.252  -0.480 1.252  -0.374 1.210  -0.374 1.062  -0.325 0.935  -0.241 0.822  -0.198 0.718  -0.107 0.661  -0.107 0.513  -0.022 0.450  0.027 0.352  0.106 0.237  0.211 0.133  0.294 0.080  0.325 0.215  0.429 0.319  0.534 0.423  0.638 0.528  0.694 0.652  0.694 0.800  0.694 0.947  0.584 0.985  0.561 0.861  0.558 0.714  0.453 0.610  0.427 0.473  0.427 0.326  0.294 0.312  0.280 0.170  0.176 0.065  0.160 -0.076  0.154 -0.217  0.027 -0.237  0.027 -0.385  -0.021 -0.485  -0.107 -0.547  -0.107 -0.694  -0.197 -0.752  -0.241 -0.856  -0.241 -1.003  -0.334 -1.112  -0.374 -1.243  -0.374 -1.391  -0.493 -1.420  -0.508 -1.552  -0.612 -1.657  -0.641 -1.792  -0.761 -1.820  -0.775 -1.954
1b#app#app18#app1829/Z  -0.578 0.975  -0.417 0.975  -0.535 0.975  -0.696 0.975  -0.663 0.975  -0.503 0.975  -0.342 0.975  -0.181 0.975  -0.021 0.975  0.140 0.975  0.151 1.125  0.279 1.157  0.440 1.157  0.515 1.071  0.450 0.975  0.333 0.932  0.311 0.793  0.151 0.792  0.151 0.632  0.151 0.471  0.032 0.429  -0.032 0.332  -0.085 0.193  -0.199 0.080  -0.214 -0.075  -0.297 -0.201  -0.396 -0.321  -0.396 -0.481  -0.556 -0.482  -0.578 -0.621  -0.578 -0.781  -0.674 -0.846  -0.760 -0.921  -0.706 -1.028  -0.578 -0.996  -0.567 -0.846  -0.406 -0.846  -0.246 -0.846  -0.085 -0.846  0.076 -0.846  0.236 -0.846  0.397 -0.846  0.558 -0.846  0.718 -0.846  0.879 -0.846  1.040 -0.846  1.200 -0.846  1.159 -0.929  1.039 -1.028  0.879 -1.028
