1b#app#app06#app0617/Q  -0.828 0.901  -0.701 1.028  -0.574 1.155  -0.424 1.225  -0.293 1.347  -0.142 1.428  0.009 1.498  0.159 1.427  0.257 1.279  0.343 1.123  0.435 0.975  0.496 0.806  0.565 0.648  0.601 0.474  0.645 0.302  0.657 0.124  0.685 -0.053  0.676 -0.230  0.631 -0.399  0.576 -0.560  0.469 -0.699  0.315 -0.791  0.151 -0.850  -0.028 -0.850  -0.206 -0.842  -0.366 -0.762  -0.520 -0.670  -0.620 -0.525  -0.705 -0.368  -0.775 -0.203  -0.835 -0.034  -0.868 0.140  -0.868 0.320  -0.844 0.495  -0.742 0.446  -0.623 0.312  -0.504 0.177  -0.385 0.043  -0.267 -0.092  -0.148 -0.226  -0.029 -0.360  0.090 -0.495  0.212 -0.577  0.335 -0.707  0.429 -0.857  0.515 -1.014  0.605 -1.169  0.700 -1.319  0.813 -1.456  0.923 -1.566
1b#app#app06#app0617/H  -0.643 1.271  -0.643 1.059  -0.643 0.847  -0.636 0.637  -0.569 0.436  -0.567 0.224  -0.567 0.013  -0.567 -0.199  -0.567 -0.411  -0.506 -0.608  -0.490 -0.816  -0.490 -1.028  -0.490 -1.240  -0.490 -1.452  -0.516 -1.456  -0.567 -1.251  -0.618 -1.046  -0.670 -0.840  -0.721 -0.635  -0.772 -0.429  -0.824 -0.224  -0.872 -0.018  -0.747 0.097  -0.546 0.124  -0.335 0.122  -0.154 0.047  0.040 -0.027  0.233 -0.106  0.369 -0.182  0.448 -0.030  0.477 0.179  0.505 0.389  0.534 0.599  0.563 0.809  0.591 1.019  0.620 1.229  0.649 1.439  0.657 1.351  0.657 1.139  0.657 0.927  0.666 0.718  0.733 0.522  0.733 0.310  0.758 0.101  0.810 -0.104  0.810 -0.316  0.886 -0.496  0.886 -0.708  0.963 -0.888  0.963 -1.100
1b#app#app06#app0617/O  -0.709 0.369  -0.624 0.485  -0.615 0.632  -0.508 0.739  -0.401 0.847  -0.274 0.926  -0.151 1.011  -0.015 1.048  0.136 1.048  0.287 1.048  0.401 0.958  0.508 0.851  0.615 0.744  0.696 0.618  0.735 0.476  0.820 0.359  0.820 0.208  0.861 0.073  0.905 -0.060  0.905 -0.211  0.869 -0.347  0.820 -0.478  0.820 -0.630  0.762 -0.767  0.729 -0.906  0.651 -0.979  0.566 -1.095  0.480 -1.161  0.364 -1.246  0.212 -1.246  0.061 -1.246  -0.083 -1.200  -0.228 -1.161  -0.351 -1.094  -0.426 -0.963  -0.516 -0.844  -0.592 -0.715  -0.649 -0.575  -0.697 -0.431  -0.709 -0.282  -0.709 -0.130  -0.709 0.021  -0.709 0.172  -0.709 0.324  -0.709 0.475  -0.681 0.622  -0.633 0.766  -0.624 0.916  -0.539 0.982  -0.454 1.048
1b#app#app06#app0617/W  -1.230 1.104  -1.230 0.917  -1.230 0.730  -1.230 0.544  -1.155 0.375  -1.133 0.193  -1.108 0.017  -1.037 -0.140  -0.958 -0.308  -0.904 -0.476  -0.799 -0.627  -0.697 -0.780  -0.565 -0.912  -0.422 -1.019  -0.265 -0.990  -0.158 -0.902  -0.075 -0.735  -0.072 -0.550  0.025 -0.403  0.082 -0.230  0.121 -0.052  0.121 0.134  0.121 0.321  0.177 0.484  0.218 0.395  0.218 0.209  0.300 0.056  0.314 -0.125  0.314 -0.311  0.363 -0.490  0.411 -0.669  0.411 -0.856  0.434 -1.019  0.507 -1.099  0.507 -0.912  0.507 -0.726  0.507 -0.539  0.507 -0.352  0.507 -0.166  0.507 0.021  0.538 0.200  0.604 0.371  0.604 0.558  0.604 0.745  0.613 0.929  0.696 1.096  0.737 1.273  0.797 1.446  0.900 1.586  0.990 1.683
1b#app#app06#app0617/T  0.141 0.688  0.141 0.545  0.141 0.402  0.141 0.259  0.141 0.116  0.141 -0.028  0.141 -0.171  0.141 -0.314  0.141 -0.457  0.141 -0.601  0.141 -0.744  0.141 -0.887  0.141 -1.030  0.146 -1.171  0.212 -1.287  0.212 -1.430  0.248 -1.559  0.277 -1.647  0.228 -1.512  0.180 -1.377  0.131 -1.243  0.082 -1.108  0.034 -0.973  -0.015 -0.838  -0.064 -0.704  -0.112 -0.569  -0.161 -0.434  -0.210 -0.300  -0.258 -0.165  -0.307 -0.030  -0.356 0.104  -0.404 0.239  -0.453 0.374  -0.501 0.508  -0.550 0.643  -0.599 0.778  -0.651 0.910  -0.715 1.027  -0.590 1.045  -0.476 1.116  -0.341 1.134  -0.220 1.188  -0.076 1.188  0.067 1.188  0.210 1.188  0.353 1.188  0.496 1.188  0.640 1.188  0.783 1.188  0.926 1.188
1b#app#app06#app0617/O  -0.692 0.864  -0.596 0.959  -0.473 0.987  -0.366 1.055  -0.309 1.134  -0.191 1.151  -0.056 1.151  0.079 1.151  0.201 1.119  0.310 1.055  0.361 0.971  0.448 0.872  0.544 0.776  0.572 0.653  0.667 0.557  0.743 0.453  0.743 0.318  0.743 0.183  0.743 0.048  0.743 -0.087  0.743 -0.222  0.743 -0.357  0.743 -0.493  0.743 -0.628  0.675 -0.735  0.647 -0.858  0.552 -0.954  0.456 -1.049  0.417 -1.145  0.305 -1.201  0.186 -1.241  0.051 -1.241  -0.084 -1.241  -0.190 -1.169  -0.285 -1.073  -0.381 -0.978  -0.476 -0.882  -0.546 -0.768  -0.596 -0.644  -0.596 -0.509  -0.641 -0.385  -0.692 -0.262  -0.692 -0.126  -0.716 0.006  -0.749 0.137  -0.782 0.268  -0.787 0.402  -0.787 0.538  -0.787 0.673  -0.692 0.768
1b#app#app06#app0617/W  -0.917 1.500  -0.828 1.392  -0.828 1.195  -0.828 0.998  -0.754 0.818  -0.739 0.624  -0.739 0.427  -0.689 0.242  -0.650 0.054  -0.619 -0.139  -0.571 -0.330  -0.532 -0.519  -0.471 -0.702  -0.395 -0.881  -0.327 -1.052  -0.250 -1.218  -0.162 -1.354  -0.115 -1.204  -0.025 -1.044  -0.025 -0.846  -0.025 -0.649  -0.025 -0.452  -0.025 -0.255  -0.004 -0.063  0.064 0.118  0.127 0.251  0.230 0.098  0.242 -0.096  0.246 -0.292  0.331 -0.469  0.331 -0.666  0.391 -0.849  0.420 -1.040  0.492 -1.158  0.420 -0.991  0.420 -0.794  0.420 -0.596  0.420 -0.399  0.420 -0.202  0.420 -0.005  0.420 0.192  0.420 0.389  0.420 0.586  0.420 0.783  0.425 0.980  0.488 1.167  0.510 1.360  0.575 1.542  0.688 1.696  0.777 1.856
1b#app#app06#app0617/A  -0.010 0.791  -0.095 0.593  -0.095 0.361  -0.165 0.145  -0.179 -0.085  -0.222 -0.307  -0.263 -0.530  -0.263 -0.763  -0.263 -0.995  -0.263 -1.228  -0.348 -1.441  -0.348 -1.674  -0.348 -1.742  -0.348 -1.509  -0.348 -1.276  -0.348 -1.044  -0.348 -0.811  -0.348 -0.578  -0.348 -0.346  -0.348 -0.113  -0.348 0.120  -0.327 0.349  -0.263 0.571  -0.263 0.804  -0.179 1.002  -0.132 1.223  -0.048 1.428  0.116 1.592  0.247 1.719  0.395 1.803  0.496 1.671  0.496 1.438  0.496 1.206  0.496 0.973  0.496 0.741  0.496 0.508  0.496 0.275  0.496 0.043  0.496 -0.190  0.496 -0.423  0.496 -0.655  0.496 -0.888  0.396 -0.881  0.232 -0.717  0.067 -0.552  -0.097 -0.388  -0.262 -0.223  -0.270 -0.059  -0.074 0.032  0.158 0.032
1b#app#app06#app0617/L  0.073 1.693  0.073 1.623  0.073 1.553  0.073 1.483  0.073 1.413  0.073 1.344  0.073 1.274  0.073 1.204  0.073 1.134  0.073 1.065  0.073 0.995  0.073 0.925  0.056 0.859  0.024 0.797  -0.007 0.734  -0.027 0.669  -0.027 0.600  -0.027 0.530  -0.027 0.460  -0.027 0.390  -0.027 0.320  -0.027 0.251  -0.027 0.181  -0.027 0.111  -0.027 0.041  -0.027 -0.029  -0.027 -0.098  -0.027 -0.168  -0.027 -0.238  -0.027 -0.308  -0.027 -0.377  -0.027 -0.447  -0.027 -0.517  -0.027 -0.587  -0.027 -0.657  -0.027 -0.726  -0.027 -0.796  -0.027 -0.866  -0.027 -0.936  -0.027 -1.006  -0.027 -1.075  -0.027 -1.145  -0.027 -1.215  -0.027 -1.285  -0.027 -1.354  -0.027 -1.424  -0.027 -1.494  -0.027 -1.564  -0.027 -1.634  -0.027 -1.703
1b#app#app06#app0617/T  0.085 0.908  0.178 0.848  0.262 0.731  0.271 0.582  0.271 0.429  0.271 0.277  0.271 0.124  0.271 -0.029  0.271 -0.181  0.271 -0.334  0.271 -0.486  0.271 -0.639  0.271 -0.791  0.211 -0.919  0.178 -1.058  0.178 -1.210  0.178 -1.363  0.178 -1.516  0.178 -1.668  0.260 -1.667  0.209 -1.523  0.158 -1.379  0.107 -1.236  0.056 -1.092  0.005 -0.948  -0.046 -0.804  -0.097 -0.660  -0.148 -0.517  -0.199 -0.373  -0.250 -0.229  -0.301 -0.085  -0.352 0.058  -0.403 0.202  -0.454 0.346  -0.505 0.490  -0.556 0.633  -0.607 0.777  -0.658 0.921  -0.709 1.065  -0.729 1.187  -0.577 1.187  -0.424 1.187  -0.271 1.187  -0.119 1.187  0.029 1.168  0.166 1.100  0.317 1.094  0.438 1.019  0.583 1.001  0.736 1.001
1b#app#app06#app0617/Z  -0.495 1.559  -0.322 1.559  -0.150 1.559  0.022 1.559  0.153 1.518  0.259 1.451  0.413 1.408  0.477 1.262  0.477 1.090  0.477 0.917  0.436 0.762  0.369 0.618  0.268 0.487  0.223 0.334  0.101 0.212  -0.021 0.090  -0.066 -0.063  -0.188 -0.185  -0.310 -0.307  -0.431 -0.429  -0.495 -0.575  -0.603 -0.639  -0.706 -0.708  -0.711 -0.875  -0.694 -1.032  -0.603 -1.112  -0.462 -1.156  -0.308 -1.233  -0.139 -1.247  0.033 -1.247  0.153 -1.300  0.270 -1.355  0.442 -1.355  0.425 -1.228  0.359 -1.069  0.293 -0.910  0.228 -0.751  0.162 -0.591  0.097 -0.432  0.031 -0.273  -0.034 -0.114  -0.100 0.046  -0.166 0.205  -0.231 0.364  -0.232 0.480  -0.059 0.480  0.113 0.480  0.246 0.573  0.413 0.588  0.585 0.588
