3#apa#apa04#app0443/B  -0.412 0.985  -0.285 1.130  -0.311 1.085  -0.412 0.854  -0.412 0.581  -0.412 0.308  -0.539 0.088  -0.539 -0.184  -0.539 -0.457  -0.539 -0.730  -0.666 -0.950  -0.666 -1.222  -0.656 -1.107  -0.641 -0.835  -0.627 -0.562  -0.613 -0.290  -0.598 -0.018  -0.584 0.255  -0.570 0.527  -0.555 0.799  -0.541 1.072  -0.306 1.111  -0.160 1.238  0.112 1.238  0.385 1.238  0.604 1.185  0.804 1.111  0.985 0.946  0.985 0.673  0.908 0.477  0.763 0.350  0.561 0.179  0.331 0.076  0.138 -0.116  -0.118 -0.158  -0.338 -0.285  -0.213 -0.285  0.059 -0.285  0.332 -0.285  0.605 -0.285  0.872 -0.299  1.098 -0.412  1.108 -0.669  0.916 -0.862  0.686 -0.965  0.456 -1.068  0.227 -1.174  -0.004 -1.274  -0.266 -1.301  -0.412 -1.428
3#apa#apa04#app0443/t  -0.037 1.260  0.160 1.307  0.263 1.481  0.127 1.561  -0.030 1.418  -0.077 1.220  -0.248 1.110  -0.338 0.983  -0.338 0.766  -0.338 0.549  -0.338 0.333  -0.338 0.116  -0.338 -0.101  -0.305 -0.310  -0.208 -0.504  -0.067 -0.665  -0.013 -0.845  0.177 -0.910  0.358 -0.996  0.575 -0.996  0.792 -0.996  1.009 -0.996  1.208 -0.954  1.380 -0.845  1.341 -0.812  1.131 -0.757  0.922 -0.702  0.712 -0.647  0.503 -0.592  0.293 -0.536  0.083 -0.481  -0.126 -0.426  -0.336 -0.371  -0.545 -0.316  -0.755 -0.261  -0.964 -0.205  -1.174 -0.150  -1.384 -0.095  -1.240 -0.034  -1.115 0.057  -0.911 0.086  -0.744 0.208  -0.527 0.208  -0.363 0.333  -0.156 0.358  0.060 0.358  0.277 0.358  0.470 0.415  0.648 0.508  0.865 0.508
3#apa#apa04#app0443/h  -0.340 1.892  -0.472 1.883  -0.472 1.743  -0.472 1.602  -0.472 1.462  -0.472 1.322  -0.472 1.181  -0.472 1.041  -0.472 0.901  -0.472 0.760  -0.472 0.620  -0.472 0.480  -0.472 0.339  -0.472 0.199  -0.472 0.058  -0.472 -0.082  -0.472 -0.222  -0.472 -0.363  -0.472 -0.503  -0.472 -0.643  -0.498 -0.773  -0.598 -0.872  -0.604 -1.010  -0.465 -1.011  -0.340 -0.995  -0.316 -0.879  -0.208 -0.846  -0.190 -0.710  -0.127 -0.584  -0.049 -0.483  0.081 -0.458  0.180 -0.359  0.187 -0.221  0.192 -0.083  0.291 0.016  0.390 0.116  0.490 0.215  0.591 0.309  0.727 0.297  0.826 0.198  0.847 0.066  0.847 -0.074  0.847 -0.215  0.847 -0.355  0.847 -0.495  0.847 -0.636  0.847 -0.776  0.874 -0.905  0.973 -1.005  0.979 -1.143
3#apa#apa04#app0443/a  0.149 0.472  0.149 0.659  0.310 0.686  0.363 0.820  0.363 1.006  0.282 1.113  0.095 1.113  -0.092 1.113  -0.278 1.113  -0.465 1.113  -0.491 0.951  -0.586 0.804  -0.724 0.686  -0.911 0.686  -0.918 0.506  -1.026 0.364  -1.131 0.221  -1.131 0.034  -1.131 -0.153  -1.131 -0.340  -1.131 -0.527  -1.131 -0.713  -1.039 -0.808  -0.852 -0.808  -0.665 -0.808  -0.478 -0.808  -0.291 -0.808  -0.105 -0.808  0.039 -0.704  0.181 -0.595  0.366 -0.591  0.498 -0.459  0.576 -0.305  0.576 -0.118  0.576 0.069  0.576 0.256  0.576 0.443  0.419 0.472  0.363 0.342  0.363 0.155  0.363 -0.032  0.399 -0.204  0.531 -0.336  0.663 -0.468  0.795 -0.600  0.927 -0.732  1.083 -0.808  1.269 -0.808  1.430 -0.835  1.430 -1.021
3#apa#apa04#app0443/t  0.501 1.485  0.436 1.357  0.281 1.265  0.107 1.218  -0.011 1.073  -0.011 0.880  -0.011 0.687  -0.011 0.493  -0.011 0.300  -0.011 0.106  -0.011 -0.087  -0.011 -0.280  -0.011 -0.474  0.063 -0.637  0.117 -0.808  0.246 -0.948  0.387 -1.075  0.580 -1.075  0.773 -1.075  0.967 -1.075  1.117 -0.971  1.301 -0.947  1.309 -0.908  1.131 -0.831  0.954 -0.754  0.776 -0.677  0.599 -0.600  0.422 -0.523  0.244 -0.446  0.067 -0.369  -0.110 -0.291  -0.288 -0.214  -0.465 -0.137  -0.642 -0.060  -0.820 0.017  -0.997 0.094  -1.175 0.171  -1.352 0.248  -1.529 0.325  -1.372 0.333  -1.191 0.383  -1.016 0.461  -0.822 0.461  -0.629 0.461  -0.445 0.500  -0.272 0.586  -0.079 0.589  0.114 0.589  0.308 0.589  0.501 0.589
3#apa#apa04#app0443/d  0.258 -0.248  0.394 -0.171  0.258 -0.093  0.162 0.024  -0.001 0.147  -0.209 0.160  -0.423 0.160  -0.636 0.160  -0.844 0.146  -0.995 -0.005  -1.164 -0.112  -1.241 -0.251  -1.375 -0.409  -1.375 -0.622  -1.344 -0.823  -1.174 -0.929  -0.962 -0.933  -0.803 -1.065  -0.590 -1.065  -0.376 -1.065  -0.199 -0.977  -0.006 -0.925  0.185 -0.829  0.351 -0.700  0.503 -0.549  0.531 -0.347  0.531 -0.133  0.531 0.081  0.436 0.255  0.386 0.449  0.290 0.640  0.258 0.847  0.258 1.060  0.258 1.274  0.331 1.457  0.394 1.645  0.531 1.591  0.531 1.378  0.493 1.173  0.397 0.982  0.394 0.769  0.394 0.556  0.394 0.342  0.469 0.146  0.531 -0.053  0.531 -0.267  0.598 -0.452  0.667 -0.638  0.667 -0.851  0.803 -0.929
3#apa#apa04#app0443/i  0.002 -0.042  0.002 -0.148  0.002 -0.255  0.002 -0.361  0.002 -0.468  0.002 -0.574  -0.067 -0.652  -0.142 -0.728  -0.179 -0.819  -0.179 -0.925  -0.179 -1.032  -0.179 -1.138  -0.179 -1.245  -0.179 -1.351  -0.179 -1.458  -0.174 -1.412  -0.166 -1.306  -0.159 -1.200  -0.151 -1.093  -0.143 -0.987  -0.136 -0.881  -0.128 -0.775  -0.121 -0.668  -0.113 -0.562  -0.105 -0.456  -0.098 -0.350  -0.090 -0.243  -0.083 -0.137  -0.075 -0.031  -0.068 0.075  -0.060 0.182  -0.052 0.288  -0.045 0.394  -0.037 0.500  -0.030 0.607  -0.022 0.713  -0.014 0.819  -0.007 0.925  0.001 1.032  0.002 1.138  0.016 1.239  0.091 1.314  0.167 1.389  0.267 1.405  0.363 1.415  0.363 1.521  0.405 1.586  0.512 1.586  0.618 1.586  0.725 1.586
3#apa#apa04#app0443/s  0.730 0.994  0.730 0.831  0.612 0.787  0.449 0.787  0.295 0.808  0.181 0.923  0.048 0.994  -0.115 0.994  -0.277 0.994  -0.440 0.994  -0.603 0.994  -0.765 0.994  -0.925 0.992  -0.925 0.829  -0.925 0.667  -0.849 0.580  -0.696 0.558  -0.581 0.443  -0.466 0.328  -0.351 0.213  -0.208 0.166  -0.046 0.166  0.115 0.161  0.230 0.046  0.356 -0.041  0.519 -0.041  0.523 -0.199  0.637 -0.248  0.799 -0.248  0.962 -0.248  1.124 -0.248  1.144 -0.391  1.144 -0.553  1.090 -0.661  0.927 -0.661  0.765 -0.661  0.602 -0.661  0.440 -0.661  0.289 -0.689  0.174 -0.804  0.038 -0.868  -0.125 -0.868  -0.287 -0.868  -0.450 -0.868  -0.612 -0.868  -0.775 -0.868  -0.934 -0.877  -1.049 -0.992  -1.177 -1.075  -1.339 -1.075
3#apa#apa04#app0443/a  0.528 0.057  0.528 0.229  0.528 0.401  0.528 0.573  0.362 0.578  0.267 0.656  0.267 0.828  0.154 0.953  0.032 1.074  -0.130 1.100  -0.288 1.067  -0.409 0.945  -0.538 0.839  -0.710 0.839  -0.851 0.765  -0.972 0.643  -1.037 0.498  -1.037 0.326  -1.153 0.202  -1.274 0.080  -1.298 -0.082  -1.298 -0.254  -1.298 -0.426  -1.165 -0.465  -1.006 -0.497  -0.884 -0.618  -0.757 -0.726  -0.585 -0.726  -0.413 -0.726  -0.245 -0.716  -0.123 -0.594  -0.001 -0.473  0.167 -0.465  0.318 -0.414  0.440 -0.292  0.562 -0.171  0.683 -0.049  0.789 0.079  0.789 0.251  0.789 0.212  0.789 0.040  0.789 -0.132  0.789 -0.304  0.800 -0.465  0.972 -0.465  1.050 -0.560  1.050 -0.732  1.050 -0.904  1.139 -0.987  1.311 -0.987
3#apa#apa04#app0443/s  0.810 0.884  0.810 1.042  0.707 1.098  0.596 1.145  0.596 1.304  0.445 1.311  0.315 1.244  0.203 1.132  0.058 1.098  -0.084 1.059  -0.196 0.947  -0.328 0.884  -0.487 0.884  -0.645 0.884  -0.687 0.767  -0.731 0.626  -0.843 0.514  -0.901 0.380  -0.881 0.242  -0.722 0.242  -0.687 0.119  -0.639 -0.020  -0.527 -0.132  -0.391 -0.186  -0.233 -0.186  -0.074 -0.186  0.085 -0.186  0.168 -0.261  0.188 -0.400  0.346 -0.400  0.505 -0.400  0.663 -0.400  0.822 -0.400  0.980 -0.400  1.024 -0.515  0.965 -0.614  0.806 -0.614  0.648 -0.614  0.521 -0.689  0.409 -0.801  0.261 -0.828  0.109 -0.857  -0.032 -0.928  -0.174 -0.999  -0.323 -1.042  -0.481 -1.042  -0.640 -1.042  -0.687 -1.152  -0.743 -1.256  -0.901 -1.256
3#apa#apa04#app0443/t  0.447 1.231  0.447 1.056  0.447 0.882  0.447 0.707  0.447 0.532  0.400 0.369  0.322 0.213  0.255 0.054  0.255 -0.121  0.255 -0.296  0.255 -0.470  0.189 -0.629  0.111 -0.786  0.063 -0.949  0.063 -1.123  0.063 -1.298  0.063 -1.473  0.063 -1.647  0.063 -1.822  0.025 -1.694  -0.017 -1.525  -0.059 -1.355  -0.102 -1.186  -0.144 -1.017  -0.186 -0.847  -0.229 -0.678  -0.271 -0.508  -0.313 -0.339  -0.356 -0.169  -0.398 0.000  -0.441 0.170  -0.483 0.339  -0.525 0.508  -0.568 0.678  -0.610 0.847  -0.652 1.017  -0.695 1.186  -0.706 1.103  -0.595 1.039  -0.514 0.945  -0.438 0.847  -0.263 0.847  -0.091 0.834  0.075 0.779  0.241 0.723  0.407 0.668  0.579 0.655  0.754 0.655  0.900 0.586  1.023 0.463
3#apa#apa04#app0443/e  -0.593 0.147  -0.435 0.147  -0.313 0.233  -0.199 0.341  -0.041 0.341  0.117 0.341  0.275 0.341  0.433 0.341  0.585 0.355  0.697 0.466  0.827 0.535  0.960 0.560  0.960 0.718  0.960 0.876  0.849 0.923  0.691 0.923  0.533 0.923  0.375 0.923  0.217 0.923  0.059 0.923  -0.074 0.861  -0.185 0.749  -0.335 0.729  -0.466 0.663  -0.578 0.551  -0.729 0.535  -0.858 0.464  -0.970 0.353  -0.982 0.199  -0.982 0.041  -0.982 -0.117  -0.982 -0.275  -0.982 -0.433  -0.982 -0.591  -0.862 -0.630  -0.729 -0.689  -0.617 -0.801  -0.469 -0.824  -0.336 -0.887  -0.225 -0.999  -0.075 -1.018  0.083 -1.018  0.242 -1.018  0.400 -1.018  0.558 -1.018  0.716 -1.018  0.874 -1.018  1.032 -1.018  1.190 -1.018  1.348 -1.018
3#apa#apa04#app0443/r  -0.452 0.005  -0.327 0.005  -0.297 -0.090  -0.297 -0.216  -0.297 -0.341  -0.297 -0.466  -0.297 -0.592  -0.297 -0.717  -0.368 -0.771  -0.452 -0.812  -0.452 -0.938  -0.452 -1.063  -0.559 -1.082  -0.607 -1.159  -0.654 -1.237  -0.763 -1.221  -0.763 -1.095  -0.763 -0.970  -0.705 -0.869  -0.616 -0.780  -0.607 -0.658  -0.607 -0.533  -0.570 -0.423  -0.481 -0.335  -0.452 -0.221  -0.414 -0.112  -0.325 -0.023  -0.236 0.065  -0.148 0.154  -0.059 0.243  0.014 0.338  0.014 0.463  0.097 0.554  0.179 0.647  0.235 0.759  0.292 0.871  0.324 0.989  0.346 1.092  0.472 1.092  0.597 1.092  0.722 1.092  0.790 1.034  0.818 0.937  0.943 0.937  1.032 0.850  1.130 0.781  1.255 0.781  1.344 0.694  1.441 0.626  1.567 0.626
3#apa#apa04#app0443/s  1.204 0.682  1.204 0.850  1.204 1.019  1.045 1.029  0.877 1.029  0.708 1.029  0.539 1.029  0.412 0.931  0.274 0.855  0.106 0.855  -0.047 0.818  -0.167 0.699  -0.328 0.682  -0.456 0.584  -0.593 0.508  -0.756 0.483  -0.906 0.407  -1.056 0.330  -1.175 0.211  -1.294 0.092  -1.398 -0.034  -1.382 -0.185  -1.214 -0.191  -1.063 -0.266  -0.913 -0.341  -0.748 -0.359  -0.580 -0.359  -0.411 -0.359  -0.243 -0.359  -0.074 -0.359  0.094 -0.359  0.263 -0.359  0.431 -0.359  0.600 -0.359  0.768 -0.359  0.937 -0.359  1.084 -0.412  1.203 -0.531  1.037 -0.532  0.868 -0.532  0.700 -0.532  0.531 -0.532  0.378 -0.598  0.227 -0.674  0.066 -0.706  -0.102 -0.706  -0.245 -0.767  -0.367 -0.879  -0.536 -0.879  -0.704 -0.879
3#apa#apa04#app0443/t  0.560 1.538  0.560 1.667  0.560 1.491  0.560 1.315  0.560 1.139  0.560 0.963  0.560 0.787  0.552 0.615  0.428 0.490  0.408 0.322  0.395 0.152  0.270 0.027  0.255 -0.143  0.255 -0.319  0.220 -0.480  0.102 -0.607  0.102 -0.783  0.102 -0.960  0.023 -1.056  -0.050 -1.159  -0.050 -1.335  0.055 -1.467  0.033 -1.429  -0.079 -1.293  -0.190 -1.157  -0.302 -1.020  -0.413 -0.884  -0.525 -0.748  -0.636 -0.612  -0.748 -0.475  -0.859 -0.339  -0.970 -0.203  -1.082 -0.067  -1.193 0.070  -1.218 0.165  -1.042 0.165  -0.895 0.235  -0.753 0.317  -0.586 0.355  -0.429 0.433  -0.261 0.470  -0.085 0.470  0.091 0.470  0.267 0.470  0.443 0.470  0.619 0.470  0.795 0.470  0.865 0.364  0.995 0.317  1.171 0.317
3#apa#apa04#app0443/r  -0.426 -0.261  -0.308 -0.261  -0.254 -0.326  -0.254 -0.444  -0.254 -0.563  -0.254 -0.681  -0.275 -0.779  -0.393 -0.779  -0.426 -0.864  -0.458 -0.952  -0.576 -0.952  -0.599 -1.047  -0.641 -1.124  -0.759 -1.124  -0.772 -1.018  -0.735 -0.915  -0.651 -0.831  -0.599 -0.734  -0.599 -0.615  -0.599 -0.496  -0.599 -0.378  -0.599 -0.259  -0.599 -0.141  -0.552 -0.042  -0.468 0.042  -0.426 0.144  -0.426 0.262  -0.426 0.381  -0.426 0.499  -0.411 0.602  -0.292 0.602  -0.197 0.659  -0.113 0.743  -0.008 0.775  0.111 0.775  0.229 0.775  0.348 0.775  0.467 0.775  0.585 0.775  0.704 0.775  0.810 0.746  0.894 0.663  0.988 0.602  1.106 0.602  1.225 0.602  1.344 0.602  1.462 0.602  1.581 0.602  1.699 0.602  1.818 0.602
3#apa#apa04#app0443/u  -0.362 0.801  -0.479 0.801  -0.596 0.801  -0.714 0.801  -0.819 0.771  -0.902 0.688  -0.985 0.605  -1.003 0.495  -1.003 0.378  -1.003 0.261  -1.003 0.143  -1.003 0.026  -0.977 -0.080  -0.894 -0.163  -0.811 -0.246  -0.789 -0.355  -0.789 -0.472  -0.682 -0.481  -0.568 -0.489  -0.485 -0.572  -0.402 -0.655  -0.362 -0.756  -0.362 -0.873  -0.280 -0.909  -0.163 -0.909  -0.045 -0.909  0.072 -0.909  0.189 -0.909  0.299 -0.889  0.382 -0.806  0.464 -0.724  0.547 -0.641  0.630 -0.558  0.706 -0.472  0.706 -0.355  0.706 -0.237  0.706 -0.120  0.706 -0.003  0.706 0.115  0.758 0.211  0.841 0.294  0.920 0.378  0.920 0.495  0.920 0.613  0.920 0.730  0.953 0.834  1.036 0.916  1.119 0.999  1.134 1.111  1.134 1.228
3#apa#apa04#app0443/c  0.456 0.719  0.456 0.817  0.444 0.903  0.346 0.903  0.255 0.921  0.185 0.990  0.116 1.060  0.029 1.088  -0.069 1.088  -0.168 1.088  -0.266 1.088  -0.356 1.051  -0.443 1.007  -0.531 0.963  -0.619 0.919  -0.650 0.839  -0.650 0.741  -0.650 0.643  -0.650 0.544  -0.650 0.446  -0.650 0.348  -0.650 0.250  -0.650 0.151  -0.650 0.053  -0.650 -0.045  -0.650 -0.144  -0.622 -0.230  -0.552 -0.300  -0.483 -0.369  -0.413 -0.439  -0.344 -0.508  -0.274 -0.578  -0.205 -0.647  -0.135 -0.717  -0.058 -0.775  0.030 -0.819  0.118 -0.863  0.206 -0.907  0.297 -0.940  0.395 -0.940  0.493 -0.940  0.591 -0.940  0.690 -0.940  0.788 -0.940  0.886 -0.940  0.985 -0.940  1.083 -0.940  1.181 -0.940  1.279 -0.940  1.378 -0.940
