2#apa#apa04#app0401/o  0.345 0.896  0.501 0.896  0.417 0.896  0.345 0.980  0.297 1.088  0.144 1.080  0.034 0.969  -0.040 0.844  -0.056 0.703  -0.212 0.703  -0.328 0.607  -0.439 0.497  -0.549 0.387  -0.617 0.258  -0.634 0.109  -0.744 -0.001  -0.855 -0.112  -0.965 -0.222  -1.001 -0.363  -1.001 -0.519  -1.001 -0.675  -1.001 -0.832  -1.001 -0.988  -0.919 -1.110  -0.808 -1.220  -0.652 -1.220  -0.496 -1.220  -0.364 -1.160  -0.254 -1.049  -0.107 -1.027  0.040 -0.987  0.180 -0.918  0.319 -0.848  0.435 -0.745  0.545 -0.634  0.656 -0.524  0.729 -0.398  0.741 -0.247  0.851 -0.136  0.922 -0.009  0.922 0.147  0.922 0.303  0.922 0.459  0.818 0.511  0.729 0.579  0.707 0.726  0.596 0.836  0.465 0.896  0.309 0.896  0.153 0.896
2#apa#apa04#app0401/P  -0.301 0.527  -0.301 0.345  -0.181 0.282  -0.181 0.101  -0.272 -0.043  -0.301 -0.214  -0.301 -0.395  -0.404 -0.534  -0.420 -0.710  -0.492 -0.862  -0.540 -1.024  -0.580 -1.189  -0.660 -1.338  -0.660 -1.520  -0.653 -1.554  -0.636 -1.372  -0.620 -1.191  -0.603 -1.010  -0.587 -0.829  -0.571 -0.648  -0.554 -0.467  -0.538 -0.286  -0.521 -0.105  -0.505 0.077  -0.488 0.258  -0.472 0.439  -0.455 0.620  -0.439 0.801  -0.422 0.982  -0.262 1.005  -0.080 1.005  0.102 1.005  0.284 1.005  0.466 1.005  0.648 1.005  0.814 0.968  0.962 0.886  1.130 0.828  1.285 0.736  1.375 0.591  1.375 0.409  1.248 0.280  1.113 0.168  0.931 0.168  0.792 0.064  0.628 0.020  0.484 -0.072  0.302 -0.072  0.121 -0.072  -0.061 -0.072
2#apa#apa04#app0401/O  0.073 0.405  -0.081 0.405  -0.235 0.405  -0.382 0.387  -0.491 0.278  -0.638 0.259  -0.752 0.163  -0.862 0.054  -0.948 -0.065  -0.948 -0.219  -0.948 -0.374  -0.948 -0.528  -0.901 -0.663  -0.792 -0.772  -0.683 -0.881  -0.539 -0.908  -0.385 -0.908  -0.230 -0.908  -0.076 -0.908  0.078 -0.908  0.233 -0.908  0.387 -0.908  0.541 -0.908  0.696 -0.908  0.836 -0.874  0.945 -0.765  1.094 -0.758  1.094 -0.603  1.094 -0.449  1.094 -0.295  1.094 -0.140  1.094 0.014  1.055 0.152  0.946 0.261  0.837 0.370  0.708 0.452  0.570 0.521  0.471 0.629  0.402 0.768  0.295 0.843  0.163 0.898  0.046 0.988  -0.108 0.988  -0.262 0.988  -0.417 0.988  -0.571 0.988  -0.718 0.957  -0.856 0.888  -0.984 0.806  -1.094 0.697
2#apa#apa04#app0401/W  -1.165 0.550  -1.139 0.442  -1.056 0.391  -1.056 0.257  -1.056 0.123  -1.056 -0.011  -1.056 -0.144  -1.056 -0.278  -0.960 -0.316  -0.948 -0.438  -0.909 -0.533  -0.840 -0.597  -0.750 -0.641  -0.623 -0.634  -0.623 -0.500  -0.623 -0.366  -0.540 -0.316  -0.515 -0.207  -0.488 -0.100  -0.407 -0.047  -0.407 0.086  -0.304 0.117  -0.299 -0.012  -0.299 -0.146  -0.248 -0.258  -0.190 -0.368  -0.135 -0.479  -0.041 -0.574  0.065 -0.641  0.199 -0.641  0.333 -0.641  0.465 -0.636  0.559 -0.541  0.654 -0.446  0.748 -0.352  0.843 -0.257  0.892 -0.144  0.892 -0.010  0.897 0.122  0.992 0.216  1.001 0.346  1.001 0.480  1.001 0.614  1.064 0.722  1.109 0.837  1.109 0.971  1.195 1.069  1.217 1.193  1.231 1.321  1.325 1.416
2#apa#apa04#app0401/*  -0.821 1.014  -0.673 0.662  -0.524 0.311  -0.232 0.019  -0.012 -0.303  0.209 -0.625  0.546 -0.808  0.710 -1.125  1.056 -1.342  1.165 -1.171  1.103 -0.762  1.040 -0.354  0.977 0.054  0.914 0.462  0.851 0.871  0.798 1.153  0.545 0.963  0.393 0.613  0.045 0.463  -0.104 0.112  -0.214 -0.256  -0.214 -0.669  -0.214 -1.082  -0.177 -0.934  -0.122 -0.525  -0.068 -0.115  -0.013 0.294  0.041 0.703  0.096 1.113  0.151 1.522  0.191 1.714  0.108 1.336  -0.041 0.984  -0.214 0.643  -0.383 0.270  -0.417 -0.135  -0.417 -0.548  -0.417 -0.961  -0.417 -1.374  -0.316 -1.281  -0.563 -0.950  -0.811 -0.620  -1.059 -0.289  -1.307 0.041  -1.219 0.204  -0.806 0.204  -0.393 0.204  0.020 0.204  0.407 0.096  0.798 0.001
2#apa#apa04#app0401/,  0.142 1.470  0.216 1.470  0.290 1.470  0.365 1.470  0.371 1.401  0.371 1.327  0.371 1.253  0.371 1.178  0.371 1.104  0.371 1.030  0.371 0.955  0.371 0.881  0.371 0.806  0.371 0.732  0.371 0.658  0.371 0.583  0.371 0.509  0.371 0.434  0.371 0.360  0.354 0.290  0.321 0.223  0.288 0.157  0.255 0.090  0.221 0.024  0.188 -0.043  0.155 -0.110  0.142 -0.181  0.142 -0.255  0.142 -0.330  0.114 -0.393  0.062 -0.445  0.009 -0.498  -0.044 -0.550  -0.096 -0.603  -0.149 -0.655  -0.201 -0.708  -0.254 -0.761  -0.307 -0.813  -0.359 -0.866  -0.412 -0.918  -0.464 -0.971  -0.517 -1.024  -0.570 -1.076  -0.622 -1.129  -0.675 -1.181  -0.727 -1.234  -0.782 -1.282  -0.856 -1.282  -0.931 -1.282  -1.005 -1.282
2#apa#apa04#app0401/*  -0.166 1.098  -0.166 0.726  -0.006 0.420  0.154 0.115  0.154 -0.257  0.313 -0.563  0.473 -0.869  0.704 -1.051  0.958 -1.053  0.981 -0.682  1.004 -0.311  1.028 0.061  1.051 0.432  1.074 0.803  1.097 1.174  1.112 1.289  0.778 1.243  0.515 0.980  0.365 0.670  0.154 0.386  0.066 0.051  -0.006 -0.291  -0.166 -0.597  -0.313 -0.738  -0.257 -0.371  -0.200 -0.003  -0.144 0.364  -0.087 0.732  -0.031 1.099  -0.006 1.046  -0.006 0.674  -0.166 0.368  -0.166 -0.004  -0.166 -0.375  -0.326 -0.681  -0.326 -1.053  -0.429 -1.227  -0.733 -1.014  -1.038 -0.801  -1.343 -0.588  -1.647 -0.374  -1.890 -0.181  -1.518 -0.181  -1.146 -0.181  -0.840 -0.021  -0.469 -0.021  -0.097 -0.021  0.275 -0.021  0.647 -0.021  0.953 -0.181
2#apa#apa04#app0401/K  -0.548 1.527  -0.548 1.295  -0.548 1.062  -0.548 0.830  -0.548 0.598  -0.548 0.366  -0.548 0.134  -0.548 -0.098  -0.655 -0.286  -0.679 -0.508  -0.679 -0.740  -0.776 -0.932  -0.811 -1.150  -0.716 -1.110  -0.572 -0.928  -0.428 -0.746  -0.285 -0.563  -0.141 -0.381  0.003 -0.199  0.147 -0.017  0.291 0.165  0.435 0.348  0.578 0.530  0.722 0.712  0.866 0.894  1.010 1.076  1.154 1.259  0.999 1.105  0.810 1.002  0.632 0.870  0.430 0.798  0.227 0.727  0.045 0.608  -0.056 0.477  -0.157 0.344  -0.365 0.240  -0.548 0.172  -0.649 -0.019  -0.621 -0.180  -0.528 -0.331  -0.364 -0.495  -0.164 -0.573  0.041 -0.638  0.245 -0.705  0.446 -0.780  0.633 -0.858  0.756 -0.967  0.923 -1.126  1.027 -1.315  1.158 -1.492
2#apa#apa04#app0401/E  -0.373 0.851  -0.373 0.596  -0.378 0.342  -0.492 0.114  -0.497 -0.140  -0.497 -0.395  -0.497 -0.650  -0.497 -0.905  -0.497 -1.160  -0.497 -1.117  -0.497 -0.862  -0.497 -0.607  -0.497 -0.352  -0.497 -0.097  -0.497 0.158  -0.497 0.413  -0.497 0.668  -0.497 0.923  -0.317 1.031  -0.107 1.170  0.096 1.319  0.338 1.349  0.593 1.349  0.819 1.278  1.052 1.225  0.972 1.116  0.766 0.966  0.559 0.816  0.353 0.665  0.147 0.515  -0.060 0.365  -0.226 0.228  0.021 0.248  0.232 0.353  0.487 0.353  0.345 0.165  0.183 -0.033  0.022 -0.230  -0.140 -0.428  -0.301 -0.625  -0.463 -0.823  -0.619 -1.020  -0.415 -1.142  -0.160 -1.142  0.095 -1.142  0.351 -1.142  0.606 -1.142  0.861 -1.142  1.116 -1.142  1.371 -1.142
2#apa#apa04#app0401/R  -0.039 1.477  -0.039 1.241  -0.039 1.005  -0.039 0.769  -0.135 0.573  -0.195 0.357  -0.300 0.146  -0.308 -0.088  -0.308 -0.324  -0.308 -0.560  -0.308 -0.796  -0.443 -0.898  -0.440 -1.030  -0.427 -0.795  -0.414 -0.559  -0.401 -0.323  -0.388 -0.088  -0.375 0.148  -0.362 0.384  -0.348 0.620  -0.335 0.855  -0.322 1.091  -0.309 1.327  -0.088 1.342  0.014 1.208  0.250 1.208  0.486 1.208  0.666 1.073  0.863 0.979  0.904 0.759  0.893 0.534  0.769 0.422  0.618 0.248  0.451 0.081  0.251 -0.005  0.071 -0.139  -0.128 -0.229  -0.335 -0.301  -0.526 -0.409  -0.708 -0.539  -0.510 -0.611  -0.304 -0.683  -0.122 -0.813  0.070 -0.921  0.231 -1.012  0.348 -1.199  0.515 -1.366  0.635 -1.553  0.635 -1.789  0.635 -2.025
2#apa#apa04#app0401/P  -0.067 0.704  -0.135 0.580  -0.200 0.447  -0.316 0.302  -0.316 0.109  -0.390 -0.066  -0.440 -0.247  -0.506 -0.424  -0.564 -0.603  -0.564 -0.796  -0.617 -0.966  -0.689 -1.129  -0.689 -1.322  -0.689 -1.515  -0.684 -1.613  -0.665 -1.421  -0.646 -1.230  -0.627 -1.038  -0.608 -0.846  -0.588 -0.654  -0.569 -0.462  -0.550 -0.271  -0.531 -0.079  -0.512 0.113  -0.492 0.305  -0.473 0.497  -0.454 0.688  -0.388 0.829  -0.196 0.829  -0.127 0.953  0.065 0.953  0.258 0.953  0.451 0.953  0.618 0.891  0.785 0.829  0.977 0.829  1.136 0.746  1.309 0.698  1.427 0.554  1.427 0.361  1.389 0.207  1.196 0.207  1.018 0.171  0.862 0.082  0.669 0.082  0.477 0.082  0.327 -0.022  0.143 -0.042  -0.050 -0.042  -0.191 -0.167
2#apa#apa04#app0401/L  0.383 1.597  0.383 1.497  0.320 1.459  0.245 1.433  0.245 1.333  0.156 1.321  0.107 1.269  0.093 1.183  -0.008 1.183  -0.032 1.105  -0.049 1.009  -0.094 0.918  -0.140 0.828  -0.170 0.735  -0.170 0.634  -0.238 0.561  -0.308 0.489  -0.308 0.389  -0.354 0.307  -0.425 0.236  -0.446 0.144  -0.461 0.046  -0.506 -0.044  -0.552 -0.134  -0.585 -0.227  -0.585 -0.328  -0.585 -0.429  -0.585 -0.529  -0.585 -0.630  -0.585 -0.731  -0.585 -0.832  -0.544 -0.892  -0.443 -0.892  -0.342 -0.892  -0.242 -0.892  -0.141 -0.892  -0.040 -0.892  0.061 -0.892  0.162 -0.892  0.262 -0.892  0.363 -0.892  0.440 -0.835  0.512 -0.764  0.608 -0.754  0.709 -0.754  0.810 -0.754  0.911 -0.754  1.011 -0.754  1.112 -0.754  1.213 -0.754
2#apa#apa04#app0401/U  -0.821 1.414  -0.702 1.414  -0.647 1.350  -0.647 1.232  -0.647 1.113  -0.647 0.994  -0.647 0.875  -0.647 0.756  -0.647 0.637  -0.647 0.518  -0.647 0.399  -0.647 0.281  -0.647 0.162  -0.647 0.043  -0.647 -0.076  -0.647 -0.195  -0.647 -0.314  -0.647 -0.433  -0.647 -0.552  -0.647 -0.671  -0.565 -0.756  -0.481 -0.840  -0.397 -0.924  -0.313 -1.008  -0.200 -1.022  -0.081 -1.022  0.038 -1.022  0.049 -0.914  0.101 -0.848  0.220 -0.848  0.339 -0.848  0.397 -0.787  0.403 -0.674  0.522 -0.674  0.571 -0.604  0.581 -0.489  0.665 -0.405  0.745 -0.319  0.745 -0.200  0.776 -0.089  0.829 0.017  0.882 0.124  0.919 0.234  0.919 0.353  0.919 0.472  0.919 0.591  0.919 0.710  0.919 0.828  0.919 0.947  0.919 1.066
2#apa#apa04#app0401/N  -0.640 0.558  -0.521 0.430  -0.569 0.272  -0.640 0.123  -0.759 0.064  -0.759 -0.114  -0.759 -0.292  -0.812 -0.448  -0.878 -0.599  -0.878 -0.777  -0.878 -0.955  -0.878 -1.133  -0.878 -1.147  -0.759 -1.089  -0.759 -0.911  -0.661 -0.773  -0.619 -0.612  -0.521 -0.475  -0.521 -0.297  -0.504 -0.123  -0.424 0.036  -0.312 0.172  -0.282 0.337  -0.282 0.515  -0.282 0.693  -0.282 0.722  -0.282 0.544  -0.282 0.366  -0.282 0.188  -0.231 0.031  -0.163 -0.119  -0.029 -0.172  0.106 -0.276  0.258 -0.339  0.413 -0.395  0.591 -0.395  0.769 -0.395  0.909 -0.358  1.005 -0.276  1.054 -0.131  1.147 0.008  1.221 0.155  1.267 0.315  1.267 0.493  1.267 0.671  1.267 0.849  1.267 1.027  1.231 1.190  1.147 1.333  1.147 1.511
2#apa#apa04#app0401/K  -0.588 1.170  -0.588 0.947  -0.714 0.851  -0.714 0.629  -0.714 0.406  -0.714 0.183  -0.714 -0.039  -0.714 -0.262  -0.714 -0.485  -0.714 -0.707  -0.588 -0.878  -0.588 -1.100  -0.548 -1.155  -0.448 -0.955  -0.349 -0.756  -0.249 -0.557  -0.150 -0.358  -0.050 -0.159  0.049 0.040  0.149 0.239  0.249 0.439  0.348 0.638  0.448 0.837  0.547 1.036  0.647 1.235  0.746 1.434  0.870 1.483  0.931 1.286  0.855 1.094  0.698 0.937  0.610 0.791  0.525 0.637  0.343 0.537  0.262 0.375  0.077 0.284  -0.127 0.239  -0.284 0.082  -0.479 0.014  -0.588 -0.164  -0.561 -0.375  -0.403 -0.533  -0.209 -0.601  -0.051 -0.758  0.132 -0.854  0.298 -0.911  0.443 -0.999  0.600 -1.157  0.791 -1.234  0.887 -1.361  1.057 -1.487
2#apa#apa04#app0401/*  -1.405 1.156  -1.233 0.823  -0.947 0.537  -0.774 0.204  -0.602 -0.130  -0.316 -0.416  -0.007 -0.670  0.371 -0.781  0.701 -0.996  1.012 -1.176  1.134 -1.106  1.036 -0.713  0.938 -0.321  0.840 0.072  0.742 0.464  0.644 0.857  0.545 1.249  0.520 0.987  0.234 0.700  0.045 0.345  -0.116 0.007  -0.189 -0.367  -0.277 -0.735  -0.240 -0.740  -0.165 -0.342  -0.091 0.055  -0.016 0.453  0.058 0.851  0.133 1.249  0.213 1.640  0.304 1.416  0.206 1.052  0.122 0.667  0.045 0.280  0.045 -0.124  0.045 -0.529  0.045 -0.934  -0.019 -1.216  -0.350 -0.984  -0.682 -0.752  -1.013 -0.520  -1.345 -0.288  -1.432 -0.133  -1.027 -0.133  -0.622 -0.133  -0.218 -0.133  0.187 -0.133  0.592 -0.133  0.996 -0.133  1.334 -0.294
2#apa#apa04#app0401/.  1.803 -0.502  1.694 -0.502  1.586 -0.502  1.478 -0.502  1.369 -0.502  1.261 -0.502  1.152 -0.502  1.044 -0.502  0.935 -0.502  0.827 -0.502  0.718 -0.502  0.610 -0.502  0.502 -0.502  0.393 -0.502  0.285 -0.502  0.176 -0.502  0.068 -0.502  -0.041 -0.502  -0.149 -0.502  -0.258 -0.502  -0.366 -0.502  -0.474 -0.502  -0.583 -0.502  -0.691 -0.502  -0.800 -0.502  -0.854 -0.447  -0.854 -0.339  -0.854 -0.230  -0.854 -0.122  -0.854 -0.014  -0.854 0.095  -0.854 0.203  -0.854 0.312  -0.854 0.420  -0.854 0.529  -0.854 0.637  -0.854 0.746  -0.827 0.827  -0.718 0.827  -0.610 0.827  -0.502 0.827  -0.393 0.827  -0.285 0.827  -0.176 0.827  -0.068 0.827  0.041 0.827  0.149 0.827  0.258 0.827  0.366 0.827  0.474 0.827
