3#app#app35#app3537/h  -0.613 1.908  -0.613 1.760  -0.613 1.611  -0.613 1.463  -0.613 1.315  -0.613 1.167  -0.547 1.035  -0.520 0.893  -0.520 0.745  -0.500 0.599  -0.470 0.454  -0.441 0.309  -0.428 0.162  -0.428 0.014  -0.428 -0.134  -0.428 -0.282  -0.428 -0.430  -0.428 -0.579  -0.399 -0.715  -0.335 -0.836  -0.335 -0.984  -0.335 -1.132  -0.427 -1.241  -0.335 -1.185  -0.335 -1.037  -0.335 -0.889  -0.277 -0.754  -0.243 -0.614  -0.186 -0.480  -0.120 -0.347  -0.057 -0.214  -0.057 -0.066  -0.004 0.070  0.078 0.191  0.183 0.295  0.287 0.400  0.425 0.426  0.573 0.426  0.721 0.426  0.776 0.333  0.815 0.201  0.892 0.079  0.939 -0.062  1.015 -0.184  1.054 -0.316  1.054 -0.464  1.054 -0.612  1.054 -0.760  1.054 -0.908  1.054 -1.056
3#app#app35#app3537/v  -1.132 1.436  -1.009 1.436  -0.912 1.409  -0.912 1.286  -0.912 1.163  -0.912 1.039  -0.855 0.940  -0.768 0.853  -0.692 0.761  -0.692 0.637  -0.692 0.514  -0.692 0.391  -0.623 0.337  -0.499 0.337  -0.473 0.241  -0.473 0.118  -0.473 -0.006  -0.454 -0.121  -0.367 -0.208  -0.279 -0.295  -0.253 -0.408  -0.253 -0.531  -0.173 -0.621  -0.086 -0.708  0.001 -0.795  0.088 -0.883  0.175 -0.970  0.187 -1.088  0.197 -1.201  0.321 -1.201  0.406 -1.163  0.406 -1.040  0.406 -0.917  0.406 -0.793  0.406 -0.670  0.406 -0.547  0.524 -0.542  0.626 -0.520  0.626 -0.397  0.660 -0.288  0.747 -0.201  0.834 -0.113  0.846 0.005  0.846 0.128  0.846 0.252  0.846 0.375  0.846 0.498  0.891 0.603  0.978 0.690  1.065 0.777
3#app#app35#app3537/e  -0.172 -0.476  -0.333 -0.476  -0.337 -0.318  -0.337 -0.156  -0.185 -0.146  -0.066 -0.041  0.070 0.019  0.158 0.093  0.229 0.184  0.371 0.231  0.485 0.346  0.646 0.349  0.653 0.503  0.804 0.514  0.923 0.618  0.983 0.755  1.056 0.844  1.148 0.913  1.082 1.009  0.921 1.009  0.759 1.009  0.597 1.009  0.435 1.009  0.288 0.974  0.174 0.859  0.019 0.844  -0.143 0.844  -0.266 0.749  -0.380 0.635  -0.494 0.521  -0.609 0.406  -0.702 0.277  -0.775 0.132  -0.856 -0.006  -0.970 -0.120  -0.996 -0.271  -0.996 -0.433  -0.996 -0.594  -0.915 -0.722  -0.801 -0.837  -0.686 -0.951  -0.572 -1.066  -0.440 -1.136  -0.284 -1.162  -0.140 -1.235  0.007 -1.301  0.168 -1.301  0.330 -1.301  0.492 -1.301  0.653 -1.301
3#app#app35#app3537/r  -0.361 0.632  -0.361 0.508  -0.361 0.383  -0.361 0.258  -0.361 0.134  -0.361 0.009  -0.361 -0.115  -0.361 -0.240  -0.361 -0.364  -0.342 -0.481  -0.254 -0.569  -0.165 -0.657  -0.142 -0.772  -0.142 -0.896  -0.142 -1.021  -0.142 -1.145  -0.142 -1.270  -0.142 -1.394  -0.142 -1.519  -0.142 -1.468  -0.142 -1.343  -0.142 -1.219  -0.142 -1.094  -0.142 -0.970  -0.142 -0.845  -0.142 -0.721  -0.142 -0.596  -0.142 -0.472  -0.142 -0.347  -0.142 -0.222  -0.142 -0.098  -0.142 0.027  -0.142 0.151  -0.106 0.267  -0.050 0.378  0.006 0.490  0.062 0.601  0.077 0.722  0.077 0.847  0.162 0.936  0.250 1.024  0.338 1.112  0.426 1.200  0.514 1.288  0.602 1.376  0.690 1.464  0.797 1.507  0.922 1.507  1.046 1.507  1.171 1.507
3#app#app35#app3537/y  -0.803 1.435  -0.803 1.300  -0.803 1.165  -0.803 1.030  -0.803 0.895  -0.803 0.761  -0.803 0.626  -0.721 0.525  -0.711 0.394  -0.660 0.281  -0.619 0.163  -0.500 0.148  -0.365 0.148  -0.230 0.148  -0.114 0.194  -0.019 0.289  0.098 0.332  0.199 0.414  0.238 0.516  0.351 0.567  0.392 0.685  0.477 0.785  0.483 0.917  0.483 0.899  0.575 0.856  0.575 0.721  0.575 0.586  0.621 0.470  0.667 0.355  0.667 0.220  0.667 0.085  0.667 -0.049  0.667 -0.184  0.664 -0.318  0.604 -0.439  0.575 -0.567  0.560 -0.695  0.464 -0.790  0.392 -0.895  0.317 -0.955  0.277 -1.058  0.156 -1.119  0.052 -1.202  -0.043 -1.298  -0.167 -1.323  -0.287 -1.358  -0.399 -1.415  -0.534 -1.415  -0.668 -1.415  -0.803 -1.415
3#app#app35#app3537/o  0.723 1.146  0.723 1.281  0.603 1.296  0.468 1.296  0.333 1.296  0.274 1.220  0.213 1.146  0.078 1.146  -0.048 1.124  -0.143 1.029  -0.238 0.933  -0.334 0.838  -0.429 0.742  -0.525 0.647  -0.620 0.552  -0.716 0.456  -0.775 0.346  -0.775 0.211  -0.775 0.076  -0.775 -0.059  -0.775 -0.194  -0.775 -0.329  -0.775 -0.464  -0.775 -0.599  -0.775 -0.734  -0.727 -0.849  -0.632 -0.945  -0.499 -0.951  -0.397 -1.030  -0.291 -1.101  -0.157 -1.101  -0.022 -1.101  0.113 -1.101  0.248 -1.101  0.274 -0.992  0.369 -0.951  0.503 -0.951  0.574 -0.887  0.609 -0.766  0.704 -0.671  0.723 -0.544  0.723 -0.409  0.723 -0.274  0.679 -0.157  0.583 -0.062  0.574 0.069  0.574 0.204  0.509 0.312  0.424 0.412  0.424 0.547
3#app#app35#app3537/p  -0.359 0.671  -0.462 0.591  -0.462 0.408  -0.364 0.266  -0.359 0.085  -0.359 -0.097  -0.359 -0.280  -0.356 -0.461  -0.256 -0.603  -0.242 -0.780  -0.154 -0.926  -0.154 -1.109  -0.154 -1.292  -0.154 -1.474  -0.154 -1.657  -0.256 -1.643  -0.313 -1.474  -0.359 -1.302  -0.400 -1.136  -0.462 -0.979  -0.462 -0.796  -0.462 -0.614  -0.462 -0.431  -0.462 -0.248  -0.462 -0.065  -0.462 0.117  -0.444 0.296  -0.362 0.459  -0.359 0.641  -0.291 0.808  -0.209 0.971  -0.112 1.124  0.017 1.253  0.186 1.287  0.369 1.287  0.551 1.287  0.715 1.240  0.874 1.184  0.976 1.043  1.060 0.895  1.078 0.720  1.056 0.546  0.945 0.404  0.853 0.251  0.690 0.169  0.556 0.046  0.427 -0.083  0.272 -0.150  0.108 -0.196  -0.051 -0.253
3#app#app35#app3537/p  -0.554 0.489  -0.661 0.364  -0.661 0.194  -0.560 0.065  -0.554 -0.102  -0.554 -0.272  -0.554 -0.442  -0.494 -0.598  -0.446 -0.757  -0.446 -0.927  -0.446 -1.097  -0.446 -1.267  -0.446 -1.437  -0.446 -1.607  -0.446 -1.552  -0.446 -1.382  -0.446 -1.212  -0.446 -1.042  -0.342 -0.915  -0.338 -0.746  -0.338 -0.576  -0.338 -0.406  -0.329 -0.238  -0.275 -0.076  -0.231 0.086  -0.231 0.256  -0.162 0.410  -0.123 0.571  -0.102 0.735  -0.008 0.876  0.086 1.018  0.093 1.186  0.204 1.247  0.331 1.350  0.501 1.350  0.631 1.310  0.734 1.243  0.855 1.126  0.954 0.997  0.954 0.827  0.954 0.657  0.954 0.487  0.954 0.317  0.934 0.166  0.788 0.108  0.668 -0.012  0.548 -0.132  0.388 -0.157  0.244 -0.221  0.093 -0.265
3#app#app35#app3537/o  0.494 1.044  0.353 1.044  0.212 1.044  0.072 1.044  -0.069 1.044  -0.180 0.974  -0.287 0.893  -0.420 0.880  -0.483 0.754  -0.545 0.628  -0.634 0.521  -0.715 0.414  -0.731 0.289  -0.866 0.284  -0.866 0.143  -0.866 0.003  -0.866 -0.138  -0.866 -0.279  -0.866 -0.419  -0.866 -0.560  -0.866 -0.701  -0.794 -0.769  -0.687 -0.824  -0.624 -0.950  -0.559 -1.071  -0.418 -1.071  -0.278 -1.071  -0.137 -1.071  0.004 -1.071  0.144 -1.071  0.258 -1.005  0.363 -0.920  0.494 -0.910  0.494 -0.769  0.634 -0.769  0.703 -0.653  0.766 -0.527  0.796 -0.394  0.796 -0.253  0.796 -0.112  0.796 0.028  0.796 0.169  0.796 0.309  0.796 0.450  0.796 0.591  0.733 0.716  0.670 0.842  0.645 0.977  0.593 1.096  0.494 1.195
3#app#app35#app3537/r  -0.205 0.942  -0.205 0.810  -0.205 0.678  -0.205 0.546  -0.205 0.415  -0.205 0.283  -0.205 0.151  -0.205 0.019  -0.205 -0.113  -0.205 -0.245  -0.205 -0.377  -0.205 -0.509  -0.205 -0.641  -0.205 -0.773  -0.205 -0.904  -0.205 -1.036  -0.205 -1.168  -0.205 -1.300  -0.205 -1.432  -0.205 -1.564  -0.205 -1.569  -0.205 -1.437  -0.205 -1.306  -0.205 -1.174  -0.205 -1.042  -0.205 -0.910  -0.205 -0.778  -0.205 -0.646  -0.205 -0.514  -0.205 -0.382  -0.205 -0.250  -0.200 -0.120  -0.141 -0.002  -0.082 0.116  -0.023 0.234  0.010 0.359  0.010 0.490  0.087 0.590  0.180 0.684  0.255 0.790  0.314 0.908  0.373 1.026  0.432 1.144  0.439 1.274  0.473 1.371  0.605 1.371  0.728 1.409  0.846 1.468  0.964 1.527  1.082 1.586
3#app#app35#app3537/t  0.193 2.143  0.193 1.981  0.193 1.820  0.155 1.674  0.049 1.556  0.049 1.395  0.049 1.233  0.049 1.072  0.049 0.911  0.093 0.760  0.166 0.615  0.193 0.460  0.193 0.299  0.193 0.137  0.193 -0.024  0.193 -0.186  0.213 -0.342  0.285 -0.487  0.336 -0.636  0.336 -0.798  0.336 -0.959  0.336 -1.121  0.336 -1.282  0.336 -1.443  0.228 -1.343  0.114 -1.229  -0.000 -1.115  -0.114 -1.001  -0.229 -0.887  -0.343 -0.772  -0.457 -0.658  -0.571 -0.544  -0.685 -0.430  -0.799 -0.316  -0.914 -0.202  -1.028 -0.087  -1.044 -0.014  -0.882 -0.014  -0.721 -0.014  -0.559 -0.014  -0.398 -0.014  -0.236 -0.014  -0.075 -0.014  0.087 -0.014  0.248 -0.014  0.409 -0.014  0.571 -0.014  0.732 -0.014  0.894 -0.014  1.055 -0.014
3#app#app35#app3537/u  -0.888 1.261  -0.888 1.155  -0.888 1.049  -0.888 0.943  -0.888 0.837  -0.888 0.731  -0.888 0.625  -0.888 0.519  -0.888 0.413  -0.888 0.307  -0.888 0.201  -0.888 0.095  -0.888 -0.011  -0.888 -0.117  -0.881 -0.220  -0.806 -0.295  -0.740 -0.375  -0.740 -0.481  -0.662 -0.508  -0.593 -0.545  -0.593 -0.651  -0.491 -0.656  -0.385 -0.656  -0.279 -0.656  -0.173 -0.656  -0.067 -0.656  0.039 -0.656  0.145 -0.656  0.251 -0.656  0.357 -0.656  0.456 -0.639  0.531 -0.564  0.614 -0.508  0.721 -0.508  0.734 -0.416  0.785 -0.361  0.888 -0.354  0.963 -0.279  1.029 -0.200  1.029 -0.094  1.029 0.012  1.029 0.118  1.029 0.224  1.029 0.330  1.029 0.436  1.029 0.542  1.029 0.648  1.029 0.754  1.029 0.860  1.029 0.966
3#app#app35#app3537/n  -0.653 0.814  -0.800 0.814  -0.802 0.669  -0.802 0.522  -0.802 0.375  -0.802 0.228  -0.802 0.081  -0.802 -0.066  -0.802 -0.213  -0.802 -0.361  -0.802 -0.508  -0.802 -0.655  -0.802 -0.802  -0.802 -0.949  -0.802 -1.096  -0.683 -1.125  -0.653 -1.008  -0.653 -0.861  -0.653 -0.714  -0.575 -0.599  -0.503 -0.482  -0.472 -0.348  -0.368 -0.244  -0.354 -0.102  -0.354 0.045  -0.267 0.156  -0.163 0.260  -0.059 0.364  0.023 0.486  0.105 0.608  0.186 0.730  0.289 0.814  0.391 0.858  0.434 0.963  0.581 0.963  0.717 0.936  0.821 0.832  0.925 0.728  0.988 0.607  0.988 0.460  1.012 0.319  1.078 0.187  1.137 0.054  1.137 -0.093  1.137 -0.240  1.137 -0.387  1.137 -0.534  1.137 -0.681  1.137 -0.828  1.137 -0.976
3#app#app35#app3537/i  0.006 -0.011  0.006 -0.114  0.006 -0.216  0.006 -0.319  0.006 -0.421  0.006 -0.523  0.006 -0.626  0.006 -0.728  0.006 -0.831  0.006 -0.933  0.006 -1.036  0.006 -1.138  0.006 -1.240  0.006 -1.343  0.006 -1.445  0.006 -1.413  0.006 -1.310  0.006 -1.208  0.006 -1.105  0.006 -1.003  0.006 -0.901  0.006 -0.798  0.006 -0.696  0.006 -0.593  0.006 -0.491  0.006 -0.389  0.006 -0.286  0.006 -0.184  0.006 -0.081  0.006 0.021  0.006 0.124  0.006 0.226  0.006 0.328  0.006 0.431  0.006 0.533  0.006 0.636  0.006 0.738  0.006 0.840  0.006 0.943  0.006 1.045  0.006 1.148  0.006 1.250  0.006 1.353  0.006 1.455  0.006 1.557  0.006 1.660  -0.054 1.702  -0.117 1.742  -0.097 1.825  0.006 1.825
3#app#app35#app3537/t  0.177 1.993  0.204 1.853  0.279 1.815  0.177 1.691  0.177 1.525  0.177 1.358  0.177 1.192  0.177 1.025  0.177 0.859  0.177 0.693  0.177 0.526  0.177 0.360  0.122 0.206  0.047 0.058  0.038 -0.106  0.038 -0.273  0.038 -0.439  0.038 -0.606  0.038 -0.772  0.038 -0.938  0.019 -1.097  -0.099 -1.215  -0.102 -1.380  -0.102 -1.546  -0.127 -1.565  -0.183 -1.408  -0.239 -1.252  -0.295 -1.095  -0.351 -0.938  -0.407 -0.782  -0.463 -0.625  -0.519 -0.468  -0.575 -0.312  -0.631 -0.155  -0.687 0.002  -0.743 0.159  -0.799 0.315  -0.636 0.318  -0.469 0.318  -0.303 0.318  -0.167 0.244  -0.028 0.178  0.138 0.178  0.305 0.178  0.426 0.069  0.580 0.038  0.730 -0.029  0.880 -0.101  1.037 -0.123  1.155 -0.241
3#app#app35#app3537/y  -0.624 1.430  -0.662 1.307  -0.760 1.209  -0.797 1.085  -0.859 0.961  -0.881 0.828  -0.881 0.689  -0.881 0.550  -0.881 0.411  -0.838 0.316  -0.796 0.219  -0.750 0.099  -0.628 0.059  -0.525 -0.027  -0.386 -0.027  -0.247 -0.027  -0.134 0.035  -0.011 0.072  0.087 0.170  0.147 0.284  0.168 0.407  0.303 0.441  0.437 0.474  0.550 0.547  0.592 0.659  0.711 0.708  0.748 0.830  0.833 0.726  0.833 0.587  0.833 0.448  0.768 0.337  0.747 0.206  0.747 0.067  0.727 -0.067  0.665 -0.191  0.576 -0.293  0.576 -0.432  0.494 -0.537  0.431 -0.660  0.368 -0.784  0.319 -0.911  0.283 -1.042  0.213 -1.161  0.115 -1.259  0.017 -1.357  -0.081 -1.455  -0.208 -1.484  -0.347 -1.484  -0.485 -1.484  -0.624 -1.484
