3#apa#apa01#app0122/k  -1.046 1.326  -0.917 1.426  -0.917 1.255  -0.795 1.075  -0.787 0.849  -0.787 0.619  -0.765 0.399  -0.658 0.213  -0.658 -0.016  -0.658 -0.246  -0.573 -0.440  -0.529 -0.652  -0.400 -0.752  -0.400 -0.982  -0.400 -1.211  -0.342 -1.088  -0.270 -0.870  -0.197 -0.652  -0.124 -0.434  -0.052 -0.216  0.021 0.001  0.093 0.219  0.166 0.437  0.239 0.655  0.311 0.873  0.384 1.091  0.457 1.309  0.506 1.380  0.506 1.151  0.488 0.938  0.376 0.821  0.288 0.680  0.247 0.491  0.118 0.390  0.116 0.161  -0.012 -0.015  -0.117 -0.201  -0.141 -0.421  -0.270 -0.522  -0.135 -0.607  0.044 -0.484  0.273 -0.484  0.503 -0.484  0.603 -0.613  0.779 -0.743  0.893 -0.858  1.023 -0.959  1.081 -1.130  1.152 -1.289  1.281 -1.389
3#apa#apa01#app0122/e  -0.496 0.004  -0.352 0.004  -0.244 0.092  -0.143 0.193  -0.041 0.295  -0.005 0.424  0.047 0.547  0.149 0.648  0.159 0.788  0.159 0.932  0.159 1.076  0.089 1.150  -0.055 1.150  -0.198 1.150  -0.342 1.150  -0.486 1.150  -0.496 1.015  -0.577 0.905  -0.659 0.795  -0.659 0.651  -0.659 0.508  -0.659 0.364  -0.771 0.331  -0.823 0.240  -0.823 0.096  -0.823 -0.048  -0.823 -0.192  -0.810 -0.323  -0.667 -0.323  -0.659 -0.460  -0.543 -0.487  -0.496 -0.584  -0.419 -0.651  -0.275 -0.651  -0.142 -0.677  -0.040 -0.779  0.089 -0.814  0.233 -0.814  0.377 -0.814  0.521 -0.814  0.665 -0.814  0.808 -0.814  0.952 -0.814  1.096 -0.814  1.240 -0.814  1.305 -0.735  1.364 -0.651  1.508 -0.651  1.632 -0.631  1.632 -0.487
3#apa#apa01#app0122/w  -1.415 1.001  -1.297 0.950  -1.195 0.884  -1.179 0.731  -1.093 0.648  -1.062 0.511  -1.062 0.342  -1.062 0.173  -1.062 0.005  -0.955 -0.058  -0.944 -0.215  -0.944 -0.384  -0.826 -0.435  -0.826 -0.604  -0.708 -0.655  -0.708 -0.705  -0.598 -0.646  -0.547 -0.529  -0.473 -0.434  -0.355 -0.383  -0.276 -0.293  -0.229 -0.167  -0.105 -0.058  -0.002 0.008  0.114 0.060  0.165 0.177  0.233 0.278  0.233 0.143  0.233 -0.026  0.351 -0.077  0.351 -0.245  0.354 -0.411  0.469 -0.465  0.574 -0.529  0.625 -0.646  0.704 -0.736  0.822 -0.742  0.822 -0.573  0.939 -0.522  0.939 -0.353  0.939 -0.184  0.939 -0.016  1.005 0.126  1.057 0.273  1.057 0.442  1.114 0.587  1.175 0.731  1.175 0.899  1.242 1.001  1.293 1.119
3#apa#apa01#app0122/i  0.044 -0.170  0.044 -0.266  0.044 -0.363  0.044 -0.459  0.044 -0.556  0.044 -0.652  0.044 -0.749  0.044 -0.845  0.044 -0.942  0.044 -1.038  0.044 -1.135  0.044 -1.231  0.127 -1.245  0.179 -1.290  0.178 -1.372  0.166 -1.277  0.155 -1.181  0.143 -1.085  0.132 -0.989  0.120 -0.893  0.109 -0.798  0.097 -0.702  0.086 -0.606  0.074 -0.510  0.063 -0.414  0.051 -0.319  0.040 -0.223  0.028 -0.127  0.017 -0.031  0.005 0.064  -0.006 0.160  -0.018 0.256  -0.029 0.352  -0.041 0.448  -0.052 0.543  -0.063 0.639  -0.075 0.735  -0.086 0.831  -0.098 0.926  -0.109 1.022  -0.121 1.118  -0.132 1.214  -0.144 1.310  -0.155 1.405  -0.167 1.501  -0.178 1.597  -0.190 1.693  -0.201 1.788  -0.213 1.884  -0.224 1.980
3#apa#apa01#app0122/t  -0.175 1.866  -0.175 1.654  -0.175 1.443  -0.045 1.286  0.050 1.114  0.050 0.903  0.050 0.691  0.075 0.490  0.224 0.341  0.276 0.151  0.276 -0.060  0.276 -0.272  0.276 -0.483  0.276 -0.694  0.344 -0.836  0.501 -0.891  0.501 -1.103  0.501 -1.314  0.514 -1.512  0.725 -1.512  0.726 -1.301  0.587 -1.148  0.437 -0.998  0.288 -0.849  0.139 -0.700  -0.011 -0.550  -0.160 -0.401  -0.309 -0.251  -0.459 -0.102  -0.608 0.047  -0.758 0.197  -0.907 0.346  -1.056 0.495  -1.206 0.645  -1.301 0.663  -1.238 0.515  -1.041 0.480  -0.891 0.331  -0.697 0.289  -0.486 0.289  -0.400 0.164  -0.289 0.064  -0.077 0.064  0.134 0.064  0.345 0.064  0.556 0.064  0.768 0.064  0.979 0.064  1.190 0.064  1.401 0.064
3#apa#apa01#app0122/h  -0.830 1.749  -0.701 1.729  -0.701 1.579  -0.701 1.430  -0.701 1.280  -0.701 1.131  -0.578 1.105  -0.572 0.961  -0.572 0.812  -0.572 0.662  -0.572 0.513  -0.503 0.392  -0.444 0.267  -0.444 0.118  -0.444 -0.032  -0.444 -0.181  -0.444 -0.331  -0.444 -0.480  -0.444 -0.629  -0.444 -0.779  -0.444 -0.928  -0.444 -1.078  -0.343 -0.985  -0.315 -0.848  -0.315 -0.698  -0.315 -0.549  -0.315 -0.399  -0.252 -0.312  -0.186 -0.229  -0.082 -0.183  -0.057 -0.059  0.072 -0.039  0.108 0.074  0.201 0.131  0.278 0.203  0.428 0.203  0.577 0.203  0.727 0.203  0.876 0.203  0.974 0.151  0.974 0.002  0.974 -0.148  0.974 -0.297  0.974 -0.446  0.974 -0.596  0.974 -0.745  0.974 -0.895  1.061 -0.957  1.103 -1.065  1.103 -1.214
3#apa#apa01#app0122/f  -0.080 -1.591  0.040 -1.712  0.022 -1.591  -0.080 -1.523  -0.189 -1.462  -0.210 -1.312  -0.210 -1.142  -0.281 -1.001  -0.340 -0.855  -0.340 -0.685  -0.340 -0.515  -0.340 -0.345  -0.340 -0.174  -0.454 -0.052  -0.469 0.112  -0.469 0.282  -0.469 0.453  -0.370 0.582  -0.340 0.739  -0.340 0.910  -0.284 1.057  -0.210 1.196  -0.104 1.260  -0.063 1.390  0.107 1.390  0.278 1.390  0.448 1.390  0.603 1.354  0.697 1.223  0.697 1.053  0.697 0.883  0.807 0.850  0.693 0.724  0.578 0.598  0.464 0.472  0.349 0.346  0.235 0.220  0.120 0.094  0.006 -0.032  -0.109 -0.158  -0.223 -0.284  -0.338 -0.410  -0.452 -0.536  -0.324 -0.554  -0.210 -0.611  -0.113 -0.684  0.057 -0.684  0.227 -0.684  0.397 -0.684  0.568 -0.684
3#apa#apa01#app0122/r  -0.846 0.283  -0.846 0.143  -0.788 0.027  -0.689 -0.072  -0.648 -0.195  -0.624 -0.310  -0.484 -0.310  -0.451 -0.416  -0.402 -0.508  -0.263 -0.508  -0.253 -0.638  -0.253 -0.778  -0.253 -0.918  -0.253 -1.057  -0.185 -1.169  -0.086 -1.268  -0.055 -1.395  -0.055 -1.457  -0.055 -1.318  -0.055 -1.178  -0.055 -1.038  -0.055 -0.898  -0.055 -0.758  -0.117 -0.644  -0.215 -0.545  -0.253 -0.421  -0.253 -0.281  -0.253 -0.141  -0.253 -0.002  -0.253 0.138  -0.253 0.278  -0.253 0.418  -0.253 0.557  -0.234 0.678  -0.094 0.678  -0.055 0.779  -0.025 0.906  0.074 1.005  0.186 1.073  0.326 1.073  0.465 1.073  0.605 1.073  0.745 1.073  0.885 1.073  1.024 1.073  1.130 1.039  1.130 0.900  1.246 0.875  1.328 0.933  1.328 1.073
3#apa#apa01#app0122/a  -0.197 -0.239  -0.054 -0.095  0.089 0.048  0.248 0.154  0.392 0.212  0.392 0.414  0.392 0.616  0.392 0.818  0.335 0.997  0.190 1.136  -0.012 1.136  -0.214 1.136  -0.417 1.136  -0.589 1.106  -0.625 0.939  -0.815 0.910  -0.958 0.767  -0.982 0.575  -1.156 0.547  -1.178 0.366  -1.178 0.164  -1.178 -0.038  -1.178 -0.240  -1.170 -0.435  -0.982 -0.449  -0.962 -0.631  -0.760 -0.631  -0.558 -0.631  -0.355 -0.631  -0.153 -0.631  -0.000 -0.582  0.055 -0.435  0.196 -0.373  0.263 -0.239  0.392 -0.165  0.392 0.037  0.392 0.239  0.392 0.259  0.490 0.154  0.589 0.051  0.589 -0.151  0.589 -0.354  0.674 -0.520  0.785 -0.677  0.821 -0.864  0.965 -1.007  1.160 -1.024  1.362 -1.024  1.564 -1.024  1.570 -0.828
3#apa#apa01#app0122/n  -1.081 0.850  -1.081 0.683  -0.956 0.641  -0.873 0.557  -0.830 0.433  -0.664 0.432  -0.664 0.265  -0.664 0.098  -0.580 0.016  -0.456 -0.028  -0.456 -0.194  -0.456 -0.361  -0.456 -0.528  -0.456 -0.695  -0.456 -0.862  -0.456 -1.029  -0.456 -1.196  -0.456 -1.107  -0.456 -0.940  -0.456 -0.773  -0.456 -0.606  -0.456 -0.439  -0.456 -0.272  -0.456 -0.105  -0.456 0.062  -0.456 0.229  -0.456 0.396  -0.456 0.563  -0.367 0.641  -0.247 0.688  -0.242 0.850  -0.075 0.850  0.092 0.850  0.259 0.850  0.426 0.850  0.591 0.845  0.709 0.727  0.827 0.609  0.945 0.491  1.004 0.348  1.034 0.194  1.152 0.076  1.212 -0.066  1.212 -0.233  1.212 -0.400  1.212 -0.567  1.212 -0.734  1.212 -0.901  1.254 -1.027  1.421 -1.027
3#apa#apa01#app0122/t  -0.472 1.896  -0.339 1.763  -0.314 1.588  -0.163 1.551  -0.163 1.363  -0.163 1.176  -0.163 0.988  -0.163 0.800  -0.113 0.663  -0.009 0.579  -0.009 0.391  -0.009 0.204  -0.009 0.016  -0.009 -0.172  -0.009 -0.360  -0.009 -0.547  -0.009 -0.735  -0.009 -0.923  0.046 -1.088  0.145 -1.234  0.145 -1.422  0.259 -1.496  0.299 -1.643  0.280 -1.477  0.147 -1.344  0.063 -1.177  -0.021 -1.009  -0.105 -0.841  -0.189 -0.673  -0.273 -0.505  -0.357 -0.337  -0.441 -0.169  -0.525 -0.001  -0.609 0.167  -0.693 0.334  -0.777 0.502  -0.753 0.354  -0.566 0.354  -0.472 0.261  -0.344 0.200  -0.157 0.200  0.031 0.200  0.219 0.200  0.406 0.200  0.594 0.200  0.782 0.200  0.969 0.200  1.157 0.200  1.345 0.200  1.533 0.200
3#apa#apa01#app0122/i  0.084 -0.010  0.084 -0.113  0.084 -0.217  0.084 -0.320  0.084 -0.424  0.084 -0.527  0.084 -0.631  0.084 -0.734  0.084 -0.838  0.084 -0.942  0.087 -1.042  0.191 -1.042  0.213 -1.123  0.213 -1.227  0.213 -1.330  0.212 -1.424  0.196 -1.322  0.180 -1.220  0.163 -1.118  0.147 -1.015  0.131 -0.913  0.114 -0.811  0.098 -0.709  0.082 -0.607  0.065 -0.504  0.049 -0.402  0.033 -0.300  0.016 -0.198  -0.000 -0.095  -0.017 0.007  -0.033 0.109  -0.049 0.211  -0.066 0.314  -0.082 0.416  -0.098 0.518  -0.115 0.620  -0.131 0.723  -0.147 0.825  -0.164 0.927  -0.180 1.029  -0.196 1.132  -0.213 1.234  -0.229 1.336  -0.246 1.438  -0.262 1.541  -0.278 1.643  -0.295 1.745  -0.252 1.797  -0.148 1.797  -0.045 1.797
3#apa#apa01#app0122/c  0.457 1.256  0.353 1.256  0.249 1.256  0.145 1.256  0.041 1.256  -0.009 1.201  -0.012 1.101  -0.116 1.101  -0.164 1.045  -0.169 0.945  -0.273 0.945  -0.319 0.888  -0.326 0.790  -0.430 0.790  -0.475 0.731  -0.482 0.635  -0.586 0.635  -0.630 0.574  -0.630 0.470  -0.630 0.366  -0.630 0.262  -0.630 0.158  -0.630 0.054  -0.630 -0.050  -0.630 -0.154  -0.630 -0.258  -0.584 -0.343  -0.510 -0.417  -0.437 -0.490  -0.363 -0.564  -0.277 -0.608  -0.173 -0.608  -0.164 -0.702  -0.121 -0.763  -0.016 -0.763  0.088 -0.763  0.192 -0.763  0.296 -0.763  0.302 -0.861  0.348 -0.918  0.452 -0.918  0.556 -0.918  0.661 -0.918  0.765 -0.918  0.869 -0.918  0.973 -0.918  1.077 -0.918  1.181 -0.918  1.285 -0.918  1.389 -0.918
