2#app#app14#app1423/!  -0.091 1.335  -0.016 1.335  0.060 1.335  0.071 1.399  0.071 1.475  0.071 1.444  0.071 1.368  0.071 1.293  0.071 1.217  0.071 1.142  0.071 1.067  0.071 0.991  0.071 0.916  0.071 0.841  0.071 0.765  0.071 0.690  0.071 0.615  0.071 0.539  0.026 0.482  -0.027 0.429  -0.080 0.375  -0.091 0.305  -0.091 0.229  -0.091 0.154  -0.091 0.079  -0.091 0.003  -0.091 -0.072  -0.091 -0.148  -0.091 -0.223  -0.091 -0.298  -0.091 -0.374  -0.091 -0.449  -0.091 -0.524  -0.091 -0.600  -0.091 -0.675  -0.091 -0.750  -0.091 -0.826  -0.091 -0.901  -0.058 -0.963  -0.005 -1.016  0.048 -1.069  0.071 -1.136  0.071 -1.211  0.071 -1.286  0.071 -1.362  0.071 -1.437  0.071 -1.513  0.071 -1.588  0.071 -1.663  0.071 -1.739
2#app#app14#app1423/~  -1.345 -0.128  -1.345 -0.236  -1.345 -0.343  -1.345 -0.337  -1.345 -0.229  -1.339 -0.128  -1.231 -0.128  -1.123 -0.128  -1.079 -0.065  -1.079 0.043  -1.067 0.138  -0.959 0.138  -0.851 0.138  -0.813 0.207  -0.813 0.315  -0.794 0.404  -0.687 0.404  -0.579 0.404  -0.471 0.404  -0.364 0.404  -0.256 0.404  -0.148 0.404  -0.041 0.404  -0.015 0.322  -0.015 0.215  0.016 0.138  0.124 0.138  0.231 0.138  0.251 0.050  0.251 -0.058  0.251 -0.165  0.251 -0.273  0.251 -0.380  0.345 -0.394  0.453 -0.394  0.561 -0.394  0.668 -0.394  0.776 -0.394  0.854 -0.323  0.930 -0.247  1.006 -0.171  1.096 -0.128  1.204 -0.128  1.312 -0.128  1.389 -0.054  1.465 0.022  1.541 0.098  1.632 0.138  1.740 0.138  1.847 0.138
2#app#app14#app1423/  -1.503 -0.338  -1.428 -0.338  -1.353 -0.338  -1.278 -0.338  -1.203 -0.338  -1.127 -0.338  -1.094 -0.297  -1.094 -0.222  -1.094 -0.146  -1.094 -0.071  -1.094 0.004  -1.086 0.071  -1.010 0.071  -0.935 0.071  -0.860 0.071  -0.785 0.071  -0.710 0.071  -0.635 0.071  -0.559 0.071  -0.484 0.071  -0.409 0.071  -0.334 0.071  -0.259 0.071  -0.184 0.071  -0.108 0.071  -0.033 0.071  0.042 0.071  0.117 0.071  0.192 0.071  0.267 0.071  0.343 0.071  0.418 0.071  0.493 0.071  0.568 0.071  0.643 0.071  0.718 0.071  0.794 0.071  0.869 0.071  0.944 0.071  1.019 0.071  1.094 0.071  1.169 0.071  1.245 0.071  1.320 0.071  1.395 0.071  1.470 0.071  1.545 0.071  1.620 0.071  1.696 0.071  1.771 0.071
2#app#app14#app1423/_  -1.715 -0.078  -1.644 -0.078  -1.573 -0.078  -1.501 -0.078  -1.430 -0.078  -1.359 -0.078  -1.287 -0.078  -1.216 -0.078  -1.145 -0.078  -1.073 -0.078  -1.002 -0.078  -0.931 -0.078  -0.859 -0.078  -0.788 -0.078  -0.717 -0.078  -0.645 -0.078  -0.574 -0.078  -0.503 -0.078  -0.431 -0.078  -0.360 -0.078  -0.289 -0.078  -0.217 -0.078  -0.146 -0.078  -0.075 -0.078  -0.003 -0.078  0.068 -0.078  0.139 -0.078  0.211 -0.078  0.282 -0.078  0.335 -0.034  0.386 0.016  0.436 0.067  0.487 0.117  0.555 0.123  0.627 0.123  0.698 0.123  0.769 0.123  0.841 0.123  0.912 0.123  0.983 0.123  1.055 0.123  1.126 0.123  1.197 0.123  1.269 0.123  1.340 0.123  1.411 0.123  1.483 0.123  1.554 0.123  1.625 0.123  1.697 0.123
2#app#app14#app1423/+  0.829 -0.446  0.977 -0.446  1.125 -0.446  0.992 -0.446  0.844 -0.446  0.696 -0.446  0.547 -0.446  0.399 -0.446  0.251 -0.446  0.137 -0.362  0.032 -0.258  -0.073 -0.153  -0.216 -0.142  -0.365 -0.142  -0.513 -0.142  -0.661 -0.142  -0.640 -0.246  -0.573 -0.379  -0.507 -0.512  -0.441 -0.644  -0.375 -0.777  -0.308 -0.910  -0.242 -1.042  -0.176 -1.175  -0.109 -1.307  -0.084 -1.267  -0.084 -1.119  -0.084 -0.970  -0.084 -0.822  -0.084 -0.674  -0.084 -0.525  -0.084 -0.377  -0.084 -0.229  -0.084 -0.081  -0.084 0.068  -0.084 0.216  -0.084 0.364  -0.084 0.512  -0.084 0.661  -0.084 0.809  -0.084 0.957  -0.084 1.106  -0.084 1.254  -0.084 1.402  -0.084 1.550  -0.084 1.699  -0.084 1.847  -0.076 1.988  0.072 1.988  0.220 1.988
2#app#app14#app1423/=  1.134 0.961  1.013 0.961  0.892 0.961  0.771 0.961  0.650 0.961  0.529 0.961  0.408 0.961  0.287 0.961  0.166 0.961  0.045 0.961  -0.076 0.961  -0.197 0.961  -0.318 0.961  -0.439 0.961  -0.560 0.961  -0.681 0.961  -0.799 0.958  -0.799 0.837  -0.799 0.716  -0.772 0.605  -0.696 0.511  -0.621 0.416  -0.545 0.322  -0.470 0.227  -0.394 0.133  -0.318 0.038  -0.243 -0.056  -0.167 -0.151  -0.092 -0.245  -0.016 -0.340  0.059 -0.434  0.135 -0.529  0.211 -0.623  0.286 -0.718  0.362 -0.812  0.437 -0.907  0.489 -1.009  0.489 -1.130  0.489 -1.251  0.411 -1.294  0.290 -1.294  0.169 -1.294  0.167 -1.174  0.167 -1.053  0.128 -0.972  0.007 -0.972  -0.114 -0.972  -0.235 -0.972  -0.356 -0.972  -0.477 -0.972
2#app#app14#app1423/[  1.146 0.959  1.042 0.959  0.938 0.959  0.834 0.959  0.730 0.959  0.626 0.959  0.522 0.959  0.418 0.959  0.314 0.959  0.210 0.959  0.106 0.959  0.002 0.959  -0.101 0.959  -0.205 0.959  -0.309 0.959  -0.413 0.959  -0.497 0.939  -0.497 0.835  -0.497 0.731  -0.497 0.627  -0.497 0.523  -0.497 0.419  -0.497 0.315  -0.497 0.211  -0.497 0.107  -0.497 0.003  -0.497 -0.100  -0.497 -0.204  -0.497 -0.308  -0.497 -0.412  -0.497 -0.516  -0.497 -0.620  -0.497 -0.724  -0.497 -0.828  -0.413 -0.848  -0.309 -0.848  -0.205 -0.848  -0.168 -0.915  -0.162 -1.012  -0.058 -1.012  0.046 -1.012  0.150 -1.012  0.254 -1.012  0.358 -1.012  0.462 -1.012  0.489 -1.089  0.505 -1.177  0.609 -1.177  0.713 -1.177  0.817 -1.177
2#app#app14#app1423/]  -0.866 1.090  -0.770 1.090  -0.673 1.090  -0.577 1.090  -0.480 1.090  -0.384 1.090  -0.287 1.090  -0.191 1.090  -0.094 1.090  0.002 1.090  0.099 1.090  0.195 1.090  0.292 1.090  0.387 1.089  0.387 0.993  0.387 0.896  0.387 0.800  0.387 0.703  0.387 0.607  0.387 0.510  0.387 0.414  0.387 0.317  0.387 0.220  0.387 0.124  0.387 0.027  0.387 -0.069  0.387 -0.166  0.387 -0.262  0.370 -0.342  0.273 -0.342  0.208 -0.373  0.208 -0.469  0.208 -0.566  0.208 -0.662  0.208 -0.759  0.208 -0.855  0.208 -0.952  0.208 -1.048  0.121 -1.058  0.025 -1.058  -0.072 -1.058  -0.163 -1.071  -0.231 -1.139  -0.300 -1.207  -0.384 -1.237  -0.480 -1.237  -0.577 -1.237  -0.673 -1.237  -0.770 -1.237  -0.866 -1.237
2#app#app14#app1423/{  1.049 1.269  1.049 1.116  0.935 1.076  0.856 1.152  0.820 1.269  0.666 1.269  0.556 1.162  0.438 1.076  0.284 1.076  0.130 1.076  -0.023 1.076  -0.108 1.008  -0.138 0.884  -0.292 0.884  -0.301 0.739  -0.196 0.691  -0.108 0.624  -0.081 0.498  0.073 0.498  0.227 0.498  0.278 0.395  0.214 0.305  0.085 0.280  0.085 0.126  0.085 -0.028  0.014 -0.152  -0.095 -0.261  -0.244 -0.274  -0.205 -0.274  -0.051 -0.274  0.067 -0.274  -0.087 -0.274  -0.108 -0.407  -0.175 -0.533  -0.283 -0.642  -0.392 -0.751  -0.504 -0.853  -0.658 -0.853  -0.687 -0.977  -0.772 -1.046  -0.834 -1.046  -0.681 -1.046  -0.527 -1.046  -0.408 -1.132  -0.299 -1.239  -0.145 -1.239  0.009 -1.239  0.085 -1.317  0.124 -1.432  0.278 -1.432
2#app#app14#app1423/}  -0.489 1.389  -0.348 1.389  -0.208 1.389  -0.067 1.389  0.073 1.389  0.214 1.389  0.354 1.389  0.450 1.345  0.450 1.204  0.450 1.064  0.360 1.013  0.262 0.970  0.262 0.830  0.126 0.826  0.075 0.737  0.033 0.638  -0.107 0.638  -0.113 0.503  -0.175 0.388  -0.274 0.289  -0.301 0.159  -0.245 0.074  -0.107 0.069  -0.008 -0.031  0.098 -0.113  0.239 -0.113  0.379 -0.113  0.450 -0.183  0.428 -0.301  0.288 -0.301  0.147 -0.301  0.026 -0.349  -0.073 -0.449  -0.197 -0.489  -0.265 -0.489  -0.124 -0.489  -0.113 -0.618  -0.031 -0.677  0.075 -0.712  0.075 -0.852  0.075 -0.993  0.075 -1.133  0.041 -1.240  -0.099 -1.240  -0.113 -1.367  -0.169 -1.484  -0.269 -1.583  -0.396 -1.616  -0.536 -1.616  -0.677 -1.616
2#app#app14#app1423/\\  -0.796 1.436  -0.796 1.357  -0.796 1.277  -0.796 1.197  -0.796 1.117  -0.796 1.037  -0.727 1.026  -0.647 1.026  -0.591 1.003  -0.591 0.923  -0.591 0.843  -0.550 0.780  -0.493 0.724  -0.437 0.667  -0.385 0.609  -0.385 0.529  -0.385 0.449  -0.344 0.411  -0.264 0.411  -0.184 0.411  -0.180 0.335  -0.180 0.255  -0.159 0.184  -0.102 0.127  -0.046 0.071  0.011 0.015  0.067 -0.042  0.124 -0.098  0.180 -0.155  0.230 -0.214  0.230 -0.294  0.230 -0.374  0.261 -0.441  0.317 -0.497  0.374 -0.554  0.430 -0.610  0.487 -0.667  0.543 -0.723  0.600 -0.780  0.640 -0.842  0.640 -0.922  0.640 -1.002  0.640 -1.082  0.640 -1.162  0.651 -1.231  0.731 -1.231  0.811 -1.231  0.846 -1.276  0.846 -1.356  0.846 -1.436
2#app#app14#app1423/,  0.401 1.666  0.401 1.592  0.401 1.517  0.401 1.442  0.401 1.368  0.401 1.293  0.401 1.218  0.401 1.144  0.401 1.069  0.401 0.994  0.401 0.919  0.401 0.845  0.401 0.770  0.401 0.695  0.401 0.621  0.401 0.546  0.401 0.471  0.401 0.397  0.401 0.322  0.374 0.254  0.340 0.187  0.307 0.120  0.274 0.053  0.240 -0.014  0.207 -0.080  0.173 -0.147  0.140 -0.214  0.093 -0.271  0.040 -0.324  -0.012 -0.377  -0.065 -0.430  -0.118 -0.482  -0.171 -0.535  -0.224 -0.588  -0.277 -0.641  -0.329 -0.694  -0.382 -0.746  -0.413 -0.808  -0.413 -0.883  -0.413 -0.958  -0.413 -1.032  -0.471 -1.049  -0.546 -1.049  -0.621 -1.049  -0.692 -1.057  -0.745 -1.109  -0.798 -1.162  -0.851 -1.215  -0.904 -1.268  -0.956 -1.321
2#app#app14#app1423/  0.421 1.230  0.500 1.230  0.580 1.230  0.659 1.230  0.699 1.230  0.620 1.230  0.540 1.230  0.461 1.230  0.421 1.190  0.421 1.110  0.421 1.031  0.421 0.951  0.421 0.872  0.421 0.792  0.421 0.713  0.421 0.633  0.385 0.562  0.350 0.491  0.314 0.420  0.279 0.349  0.243 0.278  0.208 0.207  0.172 0.136  0.136 0.064  0.088 0.002  0.032 -0.054  -0.024 -0.110  -0.080 -0.166  -0.137 -0.222  -0.176 -0.286  -0.176 -0.365  -0.176 -0.445  -0.176 -0.524  -0.207 -0.591  -0.263 -0.647  -0.319 -0.703  -0.375 -0.759  -0.432 -0.816  -0.474 -0.878  -0.474 -0.957  -0.474 -1.037  -0.474 -1.116  -0.514 -1.156  -0.593 -1.156  -0.673 -1.156  -0.752 -1.156  -0.772 -1.216  -0.772 -1.295  -0.772 -1.375  -0.772 -1.454
2#app#app14#app1423/?  -0.955 0.122  -0.823 0.122  -0.747 0.179  -0.747 0.312  -0.666 0.411  -0.572 0.505  -0.479 0.598  -0.385 0.692  -0.331 0.803  -0.331 0.935  -0.217 0.954  -0.096 0.981  -0.002 1.075  0.095 1.162  0.228 1.162  0.360 1.162  0.493 1.162  0.626 1.162  0.708 1.112  0.708 0.979  0.708 0.846  0.686 0.723  0.592 0.629  0.499 0.535  0.440 0.416  0.380 0.297  0.321 0.179  0.244 0.073  0.150 -0.021  0.056 -0.115  -0.038 -0.208  -0.131 -0.302  -0.225 -0.396  -0.319 -0.490  -0.216 -0.502  -0.084 -0.502  0.049 -0.502  0.153 -0.571  0.247 -0.665  0.262 -0.771  0.203 -0.890  0.143 -1.009  0.084 -1.127  0.025 -1.246  -0.035 -1.365  -0.094 -1.483  -0.153 -1.602  -0.213 -1.721  -0.272 -1.839  -0.331 -1.958
2#app#app14#app1423/'  -0.274 1.331  -0.184 1.331  -0.093 1.331  -0.002 1.331  0.089 1.331  0.130 1.281  0.130 1.190  0.130 1.100  0.130 1.009  0.122 0.926  0.031 0.926  -0.060 0.926  -0.150 0.926  -0.241 0.926  -0.274 0.868  -0.274 0.777  -0.274 0.687  -0.274 0.596  -0.274 0.505  -0.274 0.414  -0.274 0.323  -0.274 0.232  -0.274 0.141  -0.208 0.117  -0.117 0.117  -0.027 0.117  0.064 0.117  0.130 0.092  0.130 0.001  0.130 -0.090  0.130 -0.181  0.130 -0.272  0.130 -0.362  0.130 -0.453  0.130 -0.544  0.130 -0.635  0.130 -0.726  0.130 -0.817  0.130 -0.908  0.130 -0.998  0.130 -1.089  0.130 -1.180  0.130 -1.271  0.130 -1.362  0.130 -1.453  0.130 -1.544  0.130 -1.635  0.130 -1.725  0.130 -1.816  0.130 -1.907
2#app#app14#app1423/\"  -0.710 1.490  -0.710 1.327  -0.710 1.164  -0.710 1.001  -0.710 0.839  -0.710 0.676  -0.710 0.513  -0.710 0.350  -0.710 0.188  -0.710 0.025  -0.710 -0.138  -0.710 -0.301  -0.710 -0.463  -0.710 -0.626  -0.710 -0.789  -0.710 -0.952  -0.710 -1.114  -0.710 -1.277  -0.697 -1.396  -0.606 -1.261  -0.516 -1.126  -0.426 -0.990  -0.336 -0.855  -0.245 -0.719  -0.155 -0.584  -0.065 -0.448  0.026 -0.313  0.116 -0.178  0.206 -0.042  0.296 0.093  0.387 0.229  0.477 0.364  0.567 0.499  0.657 0.635  0.748 0.770  0.838 0.906  0.928 1.041  0.951 0.952  0.951 0.789  0.951 0.626  0.951 0.464  0.951 0.301  0.951 0.138  0.951 -0.025  0.934 -0.171  0.771 -0.171  0.609 -0.171  0.535 -0.260  0.535 -0.423  0.535 -0.586
2#app#app14#app1423/<  1.226 1.501  1.226 1.378  1.226 1.256  1.178 1.153  1.091 1.067  1.005 0.980  0.914 0.903  0.792 0.903  0.669 0.903  0.571 0.845  0.484 0.759  0.398 0.672  0.304 0.604  0.181 0.604  0.059 0.604  -0.036 0.537  -0.123 0.451  -0.209 0.364  -0.268 0.266  -0.268 0.144  -0.268 0.021  -0.376 0.006  -0.498 0.006  -0.605 -0.031  -0.691 -0.118  -0.778 -0.205  -0.864 -0.291  -0.986 -0.293  -1.109 -0.293  -1.098 -0.293  -0.976 -0.293  -0.854 -0.293  -0.731 -0.293  -0.609 -0.293  -0.567 -0.373  -0.567 -0.496  -0.540 -0.591  -0.418 -0.591  -0.296 -0.591  -0.201 -0.659  -0.114 -0.745  -0.028 -0.832  0.070 -0.890  0.193 -0.890  0.315 -0.890  0.330 -0.998  0.330 -1.121  0.384 -1.189  0.506 -1.189  0.628 -1.189
2#app#app14#app1423/|  0.305 1.661  0.305 1.588  0.305 1.515  0.305 1.442  0.305 1.369  0.305 1.297  0.305 1.224  0.285 1.159  0.233 1.107  0.182 1.056  0.130 1.004  0.078 0.953  0.064 0.886  0.064 0.813  0.064 0.740  0.064 0.667  0.064 0.594  0.064 0.521  0.064 0.448  0.064 0.375  0.064 0.302  0.064 0.229  0.064 0.156  0.064 0.083  0.064 0.010  0.038 -0.052  -0.014 -0.104  -0.065 -0.155  -0.117 -0.207  -0.168 -0.259  -0.177 -0.328  -0.177 -0.401  -0.177 -0.474  -0.177 -0.547  -0.177 -0.620  -0.177 -0.693  -0.177 -0.766  -0.177 -0.839  -0.177 -0.912  -0.177 -0.985  -0.177 -1.058  -0.177 -1.130  -0.177 -1.203  -0.177 -1.276  -0.177 -1.349  -0.177 -1.422  -0.177 -1.495  -0.177 -1.568  -0.177 -1.641  -0.177 -1.714
2#app#app14#app1423/>  -1.007 1.412  -1.007 1.283  -1.007 1.154  -0.975 1.058  -0.846 1.058  -0.717 1.058  -0.653 0.993  -0.653 0.864  -0.653 0.735  -0.556 0.703  -0.427 0.703  -0.298 0.703  -0.169 0.703  -0.040 0.703  0.056 0.670  0.056 0.541  0.056 0.412  0.121 0.349  0.250 0.349  0.379 0.349  0.480 0.279  0.571 0.188  0.662 0.097  0.753 0.006  0.877 -0.006  1.006 -0.006  1.119 -0.022  1.119 -0.151  1.119 -0.280  1.070 -0.360  0.941 -0.360  0.812 -0.360  0.707 -0.417  0.616 -0.509  0.525 -0.600  0.434 -0.691  0.315 -0.714  0.186 -0.714  0.057 -0.714  -0.072 -0.714  -0.201 -0.714  -0.299 -0.746  -0.299 -0.875  -0.299 -1.004  -0.363 -1.069  -0.492 -1.069  -0.621 -1.069  -0.749 -1.069  -0.878 -1.069  -1.007 -1.069
