3#apb#apb14#app1421/A  -0.022 1.065  -0.044 1.345  -0.044 1.341  -0.066 1.062  -0.116 0.785  -0.220 0.524  -0.333 0.266  -0.459 0.015  -0.583 -0.238  -0.691 -0.497  -0.799 -0.757  -0.901 -1.019  -1.009 -1.279  -0.867 -1.301  -0.764 -1.040  -0.665 -0.777  -0.566 -0.513  -0.467 -0.250  -0.368 0.013  -0.269 0.277  -0.170 0.540  -0.071 0.803  0.028 1.067  0.127 1.330  0.226 1.593  0.293 1.513  0.394 1.251  0.477 0.983  0.523 0.706  0.580 0.430  0.630 0.153  0.667 -0.126  0.699 -0.405  0.727 -0.685  0.745 -0.966  0.792 -1.242  0.635 -1.251  0.390 -1.113  0.145 -0.975  -0.100 -0.837  -0.346 -0.699  -0.591 -0.561  -0.618 -0.388  -0.357 -0.282  -0.097 -0.175  0.161 -0.064  0.423 0.034  0.702 0.072  0.980 0.114  1.258 0.160
3#apb#apb14#app1421/O  0.321 0.867  0.219 0.954  0.096 0.992  -0.032 0.978  -0.155 0.922  -0.272 0.857  -0.375 0.773  -0.466 0.673  -0.555 0.573  -0.642 0.470  -0.729 0.367  -0.794 0.250  -0.857 0.131  -0.918 0.011  -0.953 -0.119  -0.989 -0.249  -1.024 -0.379  -1.024 -0.512  -1.015 -0.647  -0.952 -0.761  -0.870 -0.867  -0.772 -0.951  -0.643 -0.992  -0.515 -1.032  -0.385 -1.041  -0.255 -1.010  -0.124 -0.978  0.007 -0.947  0.134 -0.901  0.258 -0.849  0.382 -0.798  0.506 -0.746  0.607 -0.657  0.705 -0.565  0.803 -0.472  0.886 -0.368  0.955 -0.253  1.025 -0.137  1.027 -0.003  1.027 0.131  0.992 0.260  0.947 0.387  0.895 0.509  0.803 0.608  0.711 0.706  0.617 0.802  0.510 0.884  0.404 0.966  0.294 1.044  0.184 1.122
3#apb#apb14#app1421/P  -0.213 0.889  -0.291 1.014  -0.357 0.872  -0.375 0.706  -0.400 0.541  -0.423 0.376  -0.440 0.210  -0.458 0.044  -0.468 -0.122  -0.476 -0.289  -0.485 -0.456  -0.492 -0.622  -0.499 -0.789  -0.506 -0.955  -0.516 -1.122  -0.526 -1.289  -0.507 -1.453  -0.484 -1.618  -0.461 -1.580  -0.440 -1.415  -0.415 -1.250  -0.405 -1.084  -0.395 -0.917  -0.372 -0.752  -0.346 -0.587  -0.319 -0.423  -0.291 -0.258  -0.262 -0.094  -0.233 0.070  -0.194 0.233  -0.156 0.395  -0.095 0.549  -0.025 0.701  0.054 0.848  0.156 0.976  0.287 1.078  0.443 1.134  0.606 1.160  0.773 1.160  0.915 1.074  1.020 0.949  1.085 0.798  1.116 0.634  1.116 0.467  1.089 0.309  0.993 0.173  0.883 0.048  0.750 -0.049  0.598 -0.118  0.440 -0.170
3#apb#apb14#app1421/Q  0.428 1.025  0.342 1.206  0.154 1.206  -0.018 1.087  -0.184 0.959  -0.329 0.809  -0.468 0.652  -0.596 0.487  -0.719 0.317  -0.835 0.144  -0.923 -0.046  -1.010 -0.236  -1.064 -0.436  -1.094 -0.643  -1.051 -0.841  -0.963 -1.027  -0.765 -1.094  -0.566 -1.159  -0.360 -1.120  -0.154 -1.082  0.040 -1.012  0.222 -0.909  0.401 -0.802  0.549 -0.654  0.697 -0.506  0.822 -0.340  0.933 -0.163  0.957 0.043  0.936 0.248  0.870 0.446  0.763 0.624  0.639 0.792  0.497 0.944  0.339 1.081  0.188 1.226  0.020 1.263  -0.062 1.080  -0.084 0.872  -0.106 0.664  -0.128 0.456  -0.150 0.248  -0.172 0.040  -0.179 -0.142  -0.061 -0.314  0.052 -0.491  0.165 -0.667  0.288 -0.836  0.423 -0.995  0.583 -1.129  0.734 -1.274
3#apb#apb14#app1421/R  -0.252 1.120  -0.264 1.319  -0.206 1.133  -0.189 0.922  -0.223 0.715  -0.270 0.509  -0.320 0.304  -0.375 0.100  -0.430 -0.105  -0.475 -0.311  -0.513 -0.519  -0.552 -0.727  -0.577 -0.936  -0.598 -1.147  -0.605 -1.357  -0.568 -1.364  -0.530 -1.156  -0.500 -0.947  -0.477 -0.737  -0.455 -0.527  -0.413 -0.320  -0.367 -0.113  -0.323 0.093  -0.280 0.300  -0.225 0.504  -0.168 0.708  -0.110 0.911  -0.034 1.107  0.066 1.293  0.218 1.433  0.422 1.437  0.587 1.318  0.690 1.135  0.752 0.933  0.738 0.725  0.686 0.523  0.597 0.331  0.489 0.152  0.353 -0.011  0.207 -0.163  0.038 -0.289  -0.137 -0.368  0.023 -0.501  0.172 -0.650  0.322 -0.800  0.477 -0.943  0.646 -1.070  0.812 -1.200  0.981 -1.327  1.160 -1.439
3#apb#apb14#app1421/S  -0.129 1.127  -0.073 1.227  -0.028 1.331  -0.082 1.341  -0.174 1.275  -0.271 1.214  -0.368 1.154  -0.465 1.094  -0.562 1.033  -0.658 0.972  -0.739 0.892  -0.820 0.811  -0.866 0.709  -0.895 0.600  -0.880 0.486  -0.820 0.394  -0.745 0.308  -0.647 0.251  -0.546 0.197  -0.441 0.157  -0.328 0.139  -0.216 0.121  -0.103 0.103  0.008 0.075  0.118 0.047  0.229 0.020  0.340 -0.008  0.451 -0.036  0.561 -0.063  0.666 -0.107  0.768 -0.158  0.863 -0.219  0.944 -0.300  0.975 -0.408  0.977 -0.516  0.926 -0.618  0.860 -0.707  0.767 -0.773  0.674 -0.840  0.580 -0.905  0.485 -0.968  0.390 -1.032  0.292 -1.089  0.186 -1.131  0.080 -1.173  -0.030 -1.199  -0.144 -1.207  -0.258 -1.214  -0.372 -1.214  -0.483 -1.194
3#apb#apb14#app1421/T  0.129 0.932  0.161 0.934  0.131 0.781  0.114 0.627  0.121 0.471  0.129 0.315  0.123 0.160  0.116 0.004  0.104 -0.151  0.080 -0.306  0.056 -0.460  0.024 -0.612  -0.027 -0.759  -0.079 -0.906  -0.127 -1.055  -0.171 -1.204  -0.210 -1.354  -0.210 -1.510  -0.184 -1.570  -0.237 -1.423  -0.289 -1.276  -0.341 -1.129  -0.393 -0.982  -0.445 -0.835  -0.497 -0.688  -0.549 -0.541  -0.601 -0.394  -0.653 -0.247  -0.706 -0.100  -0.758 0.047  -0.810 0.194  -0.862 0.341  -0.885 0.433  -0.764 0.525  -0.623 0.584  -0.472 0.621  -0.320 0.657  -0.167 0.686  -0.014 0.715  0.140 0.740  0.296 0.752  0.451 0.765  0.607 0.772  0.763 0.772  0.919 0.772  1.075 0.772  1.230 0.772  1.386 0.779  1.542 0.789  1.698 0.789
3#apb#apb14#app1421/U  -0.400 1.184  -0.395 1.285  -0.476 1.140  -0.551 0.991  -0.628 0.843  -0.707 0.696  -0.786 0.549  -0.866 0.403  -0.947 0.257  -1.015 0.105  -1.073 -0.051  -1.130 -0.208  -1.136 -0.373  -1.136 -0.540  -1.079 -0.696  -1.008 -0.842  -0.865 -0.928  -0.709 -0.940  -0.546 -0.907  -0.391 -0.848  -0.242 -0.773  -0.094 -0.698  0.032 -0.588  0.157 -0.478  0.277 -0.363  0.380 -0.231  0.483 -0.100  0.578 0.037  0.672 0.174  0.752 0.319  0.813 0.475  0.873 0.630  0.900 0.794  0.921 0.960  0.916 1.114  0.839 0.967  0.770 0.816  0.729 0.654  0.689 0.492  0.642 0.332  0.594 0.172  0.549 0.012  0.523 -0.153  0.497 -0.318  0.469 -0.482  0.440 -0.646  0.419 -0.811  0.408 -0.978  0.412 -1.143  0.445 -1.307
3#apb#apb14#app1421/V  -0.741 0.591  -0.727 0.697  -0.675 0.769  -0.617 0.685  -0.604 0.578  -0.604 0.470  -0.625 0.365  -0.654 0.261  -0.687 0.158  -0.725 0.056  -0.763 -0.045  -0.786 -0.150  -0.802 -0.257  -0.818 -0.364  -0.832 -0.471  -0.845 -0.579  -0.858 -0.686  -0.832 -0.790  -0.798 -0.893  -0.725 -0.969  -0.633 -1.010  -0.526 -0.999  -0.431 -0.951  -0.340 -0.892  -0.249 -0.834  -0.167 -0.765  -0.090 -0.688  -0.014 -0.612  0.063 -0.535  0.127 -0.448  0.192 -0.362  0.257 -0.275  0.326 -0.191  0.394 -0.108  0.463 -0.024  0.532 0.059  0.601 0.142  0.671 0.225  0.740 0.309  0.806 0.394  0.871 0.481  0.936 0.567  1.007 0.648  1.084 0.725  1.160 0.802  1.233 0.882  1.305 0.962  1.387 1.033  1.468 1.057  1.547 0.983
3#apb#apb14#app1421/W  -0.934 0.919  -0.833 1.024  -0.817 1.024  -0.826 0.877  -0.841 0.730  -0.857 0.583  -0.902 0.443  -0.946 0.302  -0.983 0.159  -1.007 0.013  -1.031 -0.132  -1.041 -0.280  -1.048 -0.427  -0.987 -0.558  -0.842 -0.549  -0.721 -0.465  -0.600 -0.380  -0.504 -0.268  -0.408 -0.156  -0.326 -0.034  -0.254 0.095  -0.179 0.222  -0.098 0.344  -0.108 0.298  -0.147 0.156  -0.171 0.010  -0.191 -0.136  -0.175 -0.282  -0.149 -0.427  -0.093 -0.560  -0.006 -0.679  0.106 -0.772  0.229 -0.854  0.370 -0.848  0.516 -0.823  0.646 -0.763  0.765 -0.674  0.883 -0.586  0.962 -0.462  1.036 -0.335  1.103 -0.204  1.153 -0.065  1.201 0.075  1.245 0.216  1.282 0.358  1.282 0.506  1.282 0.653  1.282 0.801  1.282 0.949  1.399 0.958
3#apb#apb14#app1421/X  -0.811 1.156  -0.875 1.310  -0.743 1.264  -0.654 1.114  -0.577 0.957  -0.504 0.799  -0.426 0.642  -0.348 0.486  -0.266 0.332  -0.177 0.181  -0.089 0.031  -0.010 -0.126  0.068 -0.282  0.153 -0.434  0.239 -0.586  0.346 -0.724  0.461 -0.855  0.616 -0.930  0.665 -0.768  0.676 -0.594  0.687 -0.420  0.698 -0.245  0.709 -0.071  0.720 0.103  0.731 0.278  0.742 0.452  0.753 0.626  0.764 0.801  0.775 0.975  0.786 1.150  0.680 1.033  0.593 0.882  0.511 0.728  0.424 0.576  0.332 0.428  0.240 0.279  0.143 0.134  0.040 -0.007  -0.063 -0.148  -0.166 -0.289  -0.274 -0.427  -0.386 -0.561  -0.497 -0.695  -0.609 -0.829  -0.722 -0.963  -0.834 -1.097  -0.947 -1.230  -1.071 -1.353  -1.200 -1.470  -1.301 -1.612
3#apb#apb14#app1421/Y  -0.669 1.094  -0.636 1.219  -0.585 1.141  -0.517 1.022  -0.452 0.901  -0.391 0.779  -0.339 0.653  -0.286 0.526  -0.220 0.406  -0.152 0.287  -0.087 0.167  -0.022 0.046  0.050 -0.070  0.144 -0.156  0.204 -0.033  0.264 0.090  0.323 0.213  0.383 0.336  0.443 0.460  0.503 0.583  0.562 0.706  0.622 0.829  0.682 0.952  0.725 1.080  0.705 1.034  0.660 0.905  0.610 0.777  0.561 0.650  0.509 0.523  0.456 0.397  0.404 0.270  0.344 0.147  0.274 0.029  0.204 -0.088  0.135 -0.206  0.065 -0.324  -0.005 -0.442  -0.075 -0.560  -0.145 -0.677  -0.210 -0.797  -0.268 -0.922  -0.325 -1.046  -0.383 -1.170  -0.439 -1.295  -0.494 -1.421  -0.549 -1.546  -0.603 -1.672  -0.646 -1.802  -0.685 -1.932  -0.651 -2.063
3#apb#apb14#app1421/Z  -0.827 0.984  -0.896 1.087  -0.923 1.093  -0.804 1.096  -0.681 1.115  -0.557 1.119  -0.433 1.119  -0.309 1.119  -0.186 1.102  -0.063 1.082  0.059 1.062  0.180 1.030  0.300 0.998  0.412 0.947  0.519 0.883  0.597 0.789  0.602 0.675  0.557 0.561  0.487 0.458  0.416 0.356  0.340 0.259  0.252 0.171  0.164 0.083  0.076 -0.005  -0.016 -0.088  -0.110 -0.170  -0.203 -0.252  -0.298 -0.332  -0.395 -0.410  -0.491 -0.489  -0.582 -0.573  -0.659 -0.670  -0.740 -0.764  -0.719 -0.858  -0.616 -0.927  -0.493 -0.947  -0.370 -0.966  -0.246 -0.967  -0.121 -0.967  0.003 -0.967  0.127 -0.967  0.250 -0.951  0.373 -0.933  0.497 -0.921  0.621 -0.910  0.741 -0.879  0.861 -0.851  0.985 -0.851  1.100 -0.803  1.220 -0.773
