2#app#app14#app1446/0  -0.536 0.669  -0.417 0.704  -0.368 0.837  -0.244 0.907  -0.117 0.970  0.013 1.025  0.166 1.025  0.320 1.025  0.473 1.025  0.531 0.931  0.623 0.815  0.765 0.788  0.769 0.639  0.769 0.486  0.769 0.333  0.769 0.180  0.769 0.026  0.769 -0.127  0.769 -0.280  0.769 -0.433  0.719 -0.566  0.633 -0.687  0.584 -0.833  0.536 -0.978  0.433 -1.090  0.324 -1.198  0.216 -1.306  0.079 -1.347  -0.074 -1.347  -0.227 -1.347  -0.380 -1.347  -0.417 -1.231  -0.485 -1.093  -0.548 -0.954  -0.596 -0.809  -0.645 -0.664  -0.654 -0.512  -0.654 -0.359  -0.654 -0.206  -0.654 -0.052  -0.654 0.101  -0.654 0.254  -0.654 0.407  -0.654 0.560  -0.654 0.713  -0.599 0.844  -0.472 0.907  -0.319 0.907  -0.170 0.896  -0.061 0.788
2#app#app14#app1446/b  -0.917 -1.242  -0.795 -1.308  -0.702 -1.270  -0.570 -1.138  -0.432 -1.079  -0.432 -0.892  -0.309 -0.756  -0.177 -0.623  -0.053 -0.485  0.030 -0.317  0.060 -0.137  0.144 0.030  0.212 0.204  0.271 0.381  0.295 0.565  0.295 0.752  0.381 0.903  0.416 1.076  0.416 1.263  0.416 1.450  0.416 1.637  0.379 1.787  0.192 1.787  0.174 1.617  0.093 1.464  -0.005 1.307  -0.069 1.135  -0.069 0.948  -0.148 0.780  -0.190 0.602  -0.190 0.415  -0.190 0.228  -0.190 0.041  -0.190 -0.146  -0.190 -0.333  -0.190 -0.520  -0.190 -0.707  -0.190 -0.894  -0.190 -1.081  -0.069 -1.147  0.023 -1.242  0.164 -1.130  0.295 -0.997  0.295 -0.810  0.390 -0.663  0.416 -0.486  0.349 -0.327  0.295 -0.162  0.174 -0.207  0.053 -0.273
2#app#app14#app1446/e  -0.277 0.068  -0.277 -0.077  -0.227 -0.172  -0.083 -0.172  -0.037 -0.073  -0.033 0.068  0.111 0.068  0.240 0.105  0.342 0.207  0.444 0.309  0.546 0.412  0.648 0.514  0.681 0.644  0.683 0.788  0.785 0.890  0.887 0.992  0.921 1.123  0.919 1.265  0.774 1.265  0.645 1.229  0.543 1.126  0.440 1.026  0.296 1.026  0.180 0.980  0.115 0.851  0.050 0.722  -0.014 0.592  -0.103 0.481  -0.205 0.379  -0.307 0.276  -0.409 0.174  -0.512 0.072  -0.614 -0.030  -0.716 -0.132  -0.755 -0.260  -0.755 -0.404  -0.755 -0.549  -0.755 -0.693  -0.755 -0.838  -0.755 -0.982  -0.755 -1.126  -0.656 -1.229  -0.553 -1.332  -0.425 -1.369  -0.280 -1.369  -0.136 -1.369  0.009 -1.369  0.153 -1.369  0.297 -1.369  0.442 -1.369
2#app#app14#app1446/f  0.406 -0.747  0.222 -0.747  0.037 -0.747  -0.148 -0.747  -0.332 -0.747  -0.517 -0.747  -0.702 -0.747  -0.886 -0.747  -0.893 -0.904  -0.762 -0.773  -0.632 -0.642  -0.501 -0.512  -0.371 -0.381  -0.240 -0.251  -0.109 -0.120  0.021 0.010  0.152 0.141  0.282 0.272  0.413 0.402  0.543 0.533  0.674 0.663  0.805 0.794  0.951 0.885  1.059 0.962  0.960 1.048  0.896 1.168  0.754 1.211  0.617 1.327  0.452 1.374  0.267 1.374  0.083 1.374  -0.049 1.246  -0.179 1.115  -0.246 0.959  -0.325 0.806  -0.410 0.657  -0.410 0.472  -0.410 0.288  -0.410 0.103  -0.410 -0.082  -0.288 -0.216  -0.246 -0.384  -0.246 -0.568  -0.127 -0.703  -0.083 -0.870  0.019 -1.012  0.080 -1.172  0.080 -1.356  0.080 -1.541  0.080 -1.726
2#app#app14#app1446/o  -0.707 0.384  -0.707 0.217  -0.610 0.146  -0.470 0.173  -0.470 0.340  -0.470 0.507  -0.417 0.622  -0.250 0.622  -0.232 0.771  -0.153 0.859  0.006 0.868  0.006 1.035  0.111 1.097  0.279 1.097  0.446 1.097  0.481 0.964  0.543 0.859  0.710 0.859  0.718 0.700  0.807 0.622  0.956 0.604  0.956 0.436  0.956 0.269  0.956 0.102  0.956 -0.065  0.956 -0.232  0.906 -0.379  0.787 -0.497  0.718 -0.636  0.718 -0.803  0.601 -0.921  0.483 -1.040  0.364 -1.158  0.246 -1.276  0.080 -1.279  -0.087 -1.279  -0.248 -1.263  -0.366 -1.145  -0.484 -1.027  -0.602 -0.909  -0.707 -0.785  -0.707 -0.618  -0.789 -0.484  -0.907 -0.366  -0.945 -0.214  -0.945 -0.047  -0.945 0.120  -0.945 0.287  -0.874 0.384  -0.707 0.384
2#app#app14#app1446/r  -0.504 0.136  -0.504 0.022  -0.504 -0.091  -0.504 -0.204  -0.504 -0.318  -0.504 -0.431  -0.504 -0.545  -0.504 -0.658  -0.504 -0.771  -0.504 -0.885  -0.504 -0.998  -0.504 -1.112  -0.504 -1.225  -0.504 -1.338  -0.504 -1.228  -0.504 -1.114  -0.461 -1.045  -0.347 -1.045  -0.234 -1.045  -0.209 -0.956  -0.209 -0.843  -0.209 -0.729  -0.209 -0.616  -0.209 -0.502  -0.209 -0.389  -0.209 -0.276  -0.209 -0.162  -0.131 -0.081  -0.051 -0.001  0.029 0.079  0.086 0.169  0.086 0.283  0.086 0.396  0.141 0.486  0.222 0.567  0.302 0.647  0.381 0.727  0.381 0.841  0.381 0.954  0.427 1.021  0.541 1.021  0.654 1.021  0.676 1.113  0.676 1.226  0.699 1.316  0.813 1.316  0.926 1.316  1.040 1.316  1.153 1.316  1.266 1.316
2#app#app14#app1446/e  -0.471 0.123  -0.323 0.123  -0.175 0.123  -0.026 0.123  0.099 0.178  0.204 0.283  0.312 0.380  0.460 0.380  0.608 0.380  0.756 0.380  0.815 0.470  0.815 0.618  0.944 0.637  1.072 0.657  1.072 0.806  1.012 0.894  0.864 0.894  0.716 0.894  0.568 0.894  0.420 0.894  0.271 0.894  0.123 0.894  -0.025 0.894  -0.173 0.894  -0.214 0.786  -0.214 0.638  -0.361 0.637  -0.498 0.610  -0.603 0.505  -0.708 0.401  -0.728 0.261  -0.728 0.113  -0.728 -0.036  -0.728 -0.184  -0.728 -0.332  -0.728 -0.480  -0.728 -0.628  -0.728 -0.777  -0.715 -0.919  -0.610 -1.024  -0.505 -1.129  -0.371 -1.163  -0.223 -1.163  -0.214 -1.302  -0.183 -1.420  -0.035 -1.420  0.113 -1.420  0.261 -1.420  0.409 -1.420  0.558 -1.420
2#app#app14#app1446/'  -0.852 1.276  -0.773 1.276  -0.694 1.276  -0.615 1.276  -0.536 1.276  -0.457 1.276  -0.378 1.276  -0.330 1.245  -0.330 1.166  -0.330 1.087  -0.330 1.008  -0.330 0.929  -0.330 0.850  -0.330 0.771  -0.286 0.710  -0.230 0.655  -0.175 0.599  -0.119 0.543  -0.063 0.487  -0.007 0.431  0.049 0.376  0.105 0.320  0.160 0.264  0.192 0.198  0.192 0.119  0.192 0.040  0.192 -0.039  0.192 -0.118  0.192 -0.197  0.192 -0.276  0.192 -0.355  0.192 -0.434  0.192 -0.513  0.192 -0.592  0.192 -0.671  0.192 -0.750  0.192 -0.828  0.192 -0.907  0.192 -0.986  0.192 -1.065  0.192 -1.144  0.192 -1.223  0.192 -1.302  0.240 -1.333  0.319 -1.333  0.398 -1.333  0.477 -1.333  0.556 -1.333  0.635 -1.333  0.714 -1.333
2#app#app14#app1446/6  0.148 1.214  0.248 1.314  0.327 1.422  0.327 1.563  0.327 1.705  0.327 1.656  0.270 1.572  0.148 1.553  0.148 1.412  0.061 1.306  -0.035 1.204  -0.080 1.070  -0.124 0.936  -0.169 0.802  -0.211 0.667  -0.211 0.526  -0.211 0.385  -0.211 0.243  -0.237 0.113  -0.337 0.013  -0.390 -0.106  -0.390 -0.248  -0.390 -0.389  -0.390 -0.530  -0.390 -0.672  -0.390 -0.813  -0.377 -0.949  -0.277 -1.049  -0.211 -1.163  -0.201 -1.294  -0.060 -1.294  0.082 -1.294  0.148 -1.219  0.185 -1.115  0.326 -1.115  0.327 -0.974  0.430 -0.936  0.506 -0.871  0.506 -0.729  0.506 -0.588  0.413 -0.485  0.327 -0.380  0.327 -0.238  0.205 -0.219  0.063 -0.219  -0.078 -0.219  -0.217 -0.225  -0.317 -0.325  -0.390 -0.436  -0.390 -0.578
2#app#app14#app1446/  0.234 1.695  0.234 1.623  0.234 1.551  0.234 1.479  0.234 1.407  0.234 1.335  0.234 1.263  0.234 1.191  0.234 1.120  0.213 1.053  0.181 0.988  0.149 0.924  0.117 0.860  0.114 0.789  0.114 0.717  0.114 0.645  0.096 0.577  0.064 0.513  0.032 0.449  -0.001 0.384  -0.006 0.314  -0.006 0.242  -0.006 0.170  -0.006 0.098  -0.006 0.026  -0.006 -0.045  -0.006 -0.117  -0.006 -0.189  -0.006 -0.261  -0.006 -0.333  -0.046 -0.388  -0.097 -0.439  -0.127 -0.499  -0.127 -0.571  -0.127 -0.643  -0.127 -0.714  -0.127 -0.786  -0.127 -0.858  -0.127 -0.930  -0.127 -1.002  -0.127 -1.074  -0.127 -1.146  -0.146 -1.209  -0.197 -1.260  -0.247 -1.311  -0.247 -1.383  -0.247 -1.455  -0.247 -1.527  -0.247 -1.599  -0.247 -1.671
2#app#app14#app1446/7  -1.176 1.057  -1.176 0.961  -1.176 0.864  -1.149 0.794  -1.053 0.794  -0.956 0.794  -0.859 0.794  -0.763 0.794  -0.666 0.794  -0.569 0.794  -0.473 0.794  -0.376 0.794  -0.279 0.794  -0.183 0.794  -0.086 0.794  0.011 0.794  0.107 0.794  0.204 0.794  0.300 0.794  0.397 0.794  0.402 0.703  0.402 0.606  0.402 0.510  0.402 0.413  0.402 0.316  0.402 0.220  0.402 0.123  0.402 0.026  0.402 -0.070  0.402 -0.167  0.402 -0.264  0.402 -0.360  0.402 -0.457  0.402 -0.553  0.402 -0.650  0.402 -0.747  0.343 -0.784  0.247 -0.784  0.150 -0.784  0.139 -0.870  0.139 -0.967  0.139 -1.064  0.139 -1.160  0.139 -1.257  0.182 -1.311  0.279 -1.311  0.376 -1.311  0.402 -1.380  0.402 -1.477  0.402 -1.574
2#app#app14#app1446/  0.248 1.675  0.248 1.604  0.248 1.532  0.248 1.460  0.248 1.389  0.207 1.334  0.156 1.284  0.148 1.215  0.148 1.144  0.148 1.072  0.148 1.000  0.148 0.929  0.140 0.859  0.108 0.795  0.076 0.731  0.048 0.666  0.048 0.594  0.048 0.523  0.048 0.451  0.048 0.379  0.048 0.308  0.048 0.236  0.043 0.166  0.011 0.102  -0.021 0.038  -0.052 -0.027  -0.052 -0.098  -0.052 -0.170  -0.052 -0.242  -0.052 -0.313  -0.052 -0.385  -0.067 -0.453  -0.099 -0.517  -0.131 -0.581  -0.152 -0.648  -0.152 -0.719  -0.152 -0.791  -0.152 -0.862  -0.152 -0.934  -0.152 -1.006  -0.152 -1.077  -0.152 -1.149  -0.152 -1.221  -0.152 -1.292  -0.152 -1.364  -0.152 -1.435  -0.152 -1.507  -0.152 -1.579  -0.152 -1.594  -0.152 -1.522
2#app#app14#app1446/8  0.299 1.258  0.299 1.080  0.213 0.988  0.035 0.988  -0.144 0.988  -0.322 0.988  -0.500 0.988  -0.512 0.822  -0.586 0.718  -0.764 0.718  -0.782 0.557  -0.734 0.399  -0.608 0.273  -0.512 0.135  -0.512 -0.043  -0.421 -0.184  -0.295 -0.310  -0.139 -0.363  0.029 -0.374  0.029 -0.552  0.029 -0.730  0.029 -0.908  0.029 -1.086  0.029 -1.264  0.029 -1.443  -0.148 -1.444  -0.326 -1.444  -0.505 -1.444  -0.512 -1.273  -0.512 -1.095  -0.512 -0.917  -0.347 -0.903  -0.241 -0.830  -0.241 -0.652  -0.129 -0.521  -0.003 -0.395  0.029 -0.230  0.070 -0.093  0.248 -0.093  0.389 -0.003  0.515 0.123  0.614 0.268  0.694 0.427  0.774 0.587  0.862 0.740  0.988 0.866  1.109 0.994  1.109 1.172  1.017 1.258  0.839 1.258
2#app#app14#app1446/9  0.676 1.391  0.515 1.391  0.353 1.391  0.192 1.391  0.069 1.299  -0.046 1.184  -0.186 1.134  -0.348 1.134  -0.354 0.978  -0.396 0.834  -0.510 0.720  -0.624 0.606  -0.738 0.492  -0.853 0.377  -0.869 0.223  -0.869 0.061  -0.869 -0.100  -0.869 -0.262  -0.857 -0.412  -0.696 -0.412  -0.534 -0.412  -0.373 -0.412  -0.211 -0.412  -0.063 -0.379  0.051 -0.265  0.165 -0.150  0.279 -0.036  0.393 0.078  0.508 0.192  0.622 0.306  0.676 0.445  0.676 0.607  0.676 0.469  0.638 0.323  0.524 0.209  0.410 0.094  0.296 -0.020  0.181 -0.134  0.161 -0.287  0.161 -0.449  0.161 -0.610  0.161 -0.772  0.161 -0.933  0.161 -1.095  0.161 -1.256  0.161 -1.418  0.161 -1.579  0.190 -1.729  0.305 -1.843  0.419 -1.957
