2#tos#t2#t2025064/#  -0.482 0.418  -0.832 0.351  -0.660 0.351  -0.243 0.351  0.174 0.351  0.581 0.418  0.827 0.530  0.463 0.326  0.099 0.122  -0.266 -0.081  -0.630 -0.285  -1.013 -0.434  -0.889 -0.594  -0.476 -0.570  -0.076 -0.459  0.339 -0.452  0.717 -0.324  0.846 -0.062  0.606 0.279  0.366 0.620  0.125 0.962  -0.115 1.303  -0.361 1.633  -0.482 1.338  -0.482 0.920  -0.424 0.512  -0.347 0.112  -0.347 -0.305  -0.347 -0.722  -0.347 -1.140  -0.347 -1.557  -0.250 -1.877  -0.172 -1.501  -0.103 -1.089  -0.035 -0.678  0.034 -0.266  0.102 0.146  0.171 0.558  0.240 0.969  0.308 1.381  0.097 1.566  0.193 1.271  0.298 0.875  0.328 0.461  0.328 0.043  0.328 -0.374  0.395 -0.775  0.456 -1.183  0.575 -1.561  0.733 -1.877
2#tos#t2#t2025064/@  0.007 -0.917  -0.068 -1.106  -0.177 -1.245  -0.321 -1.305  -0.519 -1.311  -0.715 -1.304  -0.795 -1.180  -0.847 -1.028  -0.873 -0.851  -0.912 -0.687  -0.912 -0.483  -0.912 -0.280  -0.912 -0.076  -0.912 0.127  -0.847 0.304  -0.786 0.489  -0.681 0.663  -0.536 0.773  -0.421 0.922  -0.310 1.054  -0.134 1.119  -0.062 1.251  0.142 1.251  0.345 1.251  0.549 1.251  0.687 1.185  0.795 1.090  0.831 0.922  0.861 0.749  0.861 0.546  0.861 0.342  0.861 0.139  0.861 -0.065  0.855 -0.266  0.742 -0.432  0.730 -0.633  0.547 -0.654  0.344 -0.654  0.140 -0.654  0.003 -0.588  -0.070 -0.457  -0.190 -0.374  -0.141 -0.178  -0.058 -0.005  -0.058 0.199  0.104 0.297  0.293 0.331  0.488 0.310  0.600 0.166  0.664 0.003
2#tos#t2#t2025064/[  0.052 0.996  -0.061 0.996  -0.153 0.947  -0.118 0.947  -0.005 0.947  0.107 0.947  0.220 0.947  0.332 0.947  0.439 0.971  0.546 0.996  0.658 0.996  0.649 1.035  0.541 1.005  0.432 0.975  0.324 0.945  0.215 0.914  0.107 0.884  -0.001 0.854  -0.110 0.824  -0.219 0.801  -0.281 0.720  -0.338 0.658  -0.338 0.545  -0.338 0.433  -0.338 0.320  -0.338 0.208  -0.338 0.095  -0.338 -0.017  -0.338 -0.130  -0.338 -0.242  -0.338 -0.355  -0.293 -0.457  -0.289 -0.568  -0.289 -0.681  -0.251 -0.784  -0.240 -0.894  -0.240 -1.007  -0.240 -1.119  -0.192 -1.183  -0.192 -1.295  -0.240 -1.359  -0.159 -1.390  -0.097 -1.326  0.010 -1.293  0.122 -1.293  0.235 -1.293  0.347 -1.293  0.460 -1.293  0.572 -1.293  0.685 -1.293
2#tos#t2#t2025064/]  -0.351 1.289  -0.449 1.274  -0.545 1.242  -0.590 1.161  -0.609 1.075  -0.508 1.075  -0.408 1.075  -0.307 1.075  -0.207 1.075  -0.106 1.075  -0.006 1.075  0.095 1.075  0.196 1.075  0.238 1.123  0.238 1.023  0.238 0.922  0.238 0.822  0.184 0.743  0.184 0.643  0.184 0.542  0.184 0.442  0.184 0.341  0.184 0.241  0.209 0.144  0.238 0.048  0.238 -0.052  0.238 -0.153  0.238 -0.254  0.238 -0.354  0.297 -0.430  0.345 -0.511  0.345 -0.612  0.354 -0.710  0.399 -0.800  0.452 -0.878  0.452 -0.979  0.439 -1.067  0.339 -1.067  0.238 -1.067  0.138 -1.067  0.037 -1.067  -0.064 -1.067  -0.156 -1.103  -0.234 -1.164  -0.330 -1.174  -0.431 -1.174  -0.532 -1.174  -0.619 -1.187  -0.613 -1.281  -0.512 -1.281
2#tos#t2#t2025064/^  -0.747 -0.446  -0.868 -0.464  -0.957 -0.555  -1.034 -0.657  -1.110 -0.760  -1.187 -0.862  -1.250 -0.957  -1.122 -0.957  -1.012 -0.915  -0.922 -0.825  -0.831 -0.735  -0.744 -0.642  -0.704 -0.521  -0.664 -0.400  -0.645 -0.275  -0.561 -0.199  -0.446 -0.142  -0.402 -0.024  -0.362 0.097  -0.338 0.221  -0.268 0.305  -0.153 0.362  -0.134 0.478  -0.105 0.577  -0.031 0.631  -0.031 0.759  -0.031 0.887  -0.031 1.015  0.023 1.088  0.151 1.088  0.278 1.085  0.368 0.995  0.458 0.905  0.480 0.786  0.535 0.671  0.604 0.577  0.684 0.529  0.717 0.409  0.774 0.295  0.787 0.170  0.797 0.045  0.854 -0.070  0.911 -0.184  0.968 -0.298  1.068 -0.344  1.196 -0.344  1.196 -0.472  1.247 -0.548  1.298 -0.625  1.298 -0.753
2#tos#t2#t2025064/_  -1.112 0.075  -1.181 0.041  -1.249 0.006  -1.317 -0.028  -1.378 -0.067  -1.396 -0.124  -1.415 -0.124  -1.339 -0.124  -1.262 -0.124  -1.186 -0.124  -1.110 -0.124  -1.033 -0.124  -0.964 -0.108  -0.908 -0.057  -0.834 -0.038  -0.760 -0.020  -0.686 -0.001  -0.611 0.008  -0.535 0.008  -0.458 0.008  -0.385 0.030  -0.313 0.054  -0.240 0.075  -0.164 0.075  -0.087 0.075  -0.011 0.075  0.065 0.075  0.135 0.048  0.203 0.014  0.279 0.008  0.355 0.008  0.431 0.008  0.508 0.008  0.584 0.008  0.660 0.008  0.737 0.008  0.813 0.008  0.889 0.008  0.966 0.008  1.042 0.008  1.118 0.008  1.195 0.008  1.271 0.008  1.347 0.008  1.407 0.025  1.434 0.075  1.510 0.075  1.586 0.075  1.663 0.075  1.739 0.075
2#tos#t2#t2025064/{  0.082 1.488  0.077 1.570  -0.011 1.570  -0.099 1.570  -0.123 1.506  -0.101 1.422  -0.082 1.337  -0.049 1.282  -0.041 1.203  -0.041 1.115  -0.037 1.029  0.000 0.950  0.000 0.862  0.000 0.774  0.000 0.687  0.000 0.599  0.000 0.511  0.000 0.424  0.000 0.336  0.000 0.248  0.000 0.161  0.000 0.073  -0.066 0.051  -0.142 0.012  -0.216 -0.031  -0.270 -0.031  -0.182 -0.031  -0.123 -0.059  -0.123 -0.147  -0.123 -0.234  -0.041 -0.240  -0.041 -0.328  -0.041 -0.415  -0.026 -0.497  0.003 -0.573  0.024 -0.659  0.041 -0.744  0.041 -0.832  0.041 -0.919  0.052 -1.005  0.079 -1.089  0.082 -1.176  0.123 -1.222  0.123 -1.310  0.123 -1.398  0.164 -1.444  0.189 -1.508  0.235 -1.549  0.246 -1.625  0.246 -1.713
2#tos#t2#t2025064/~  -1.066 0.002  -1.089 -0.095  -1.197 -0.131  -1.305 -0.167  -1.336 -0.258  -1.246 -0.252  -1.246 -0.138  -1.246 -0.024  -1.184 0.064  -1.156 0.166  -1.058 0.182  -0.954 0.205  -0.868 0.272  -0.797 0.314  -0.797 0.428  -0.706 0.451  -0.593 0.451  -0.479 0.451  -0.365 0.451  -0.258 0.445  -0.258 0.331  -0.203 0.272  -0.168 0.193  -0.168 0.079  -0.168 -0.034  -0.168 -0.148  -0.084 -0.177  -0.070 -0.284  -0.019 -0.385  0.057 -0.447  0.170 -0.447  0.257 -0.513  0.361 -0.536  0.474 -0.536  0.577 -0.509  0.661 -0.433  0.755 -0.370  0.850 -0.307  0.952 -0.267  1.046 -0.220  1.126 -0.140  1.216 -0.075  1.324 -0.039  1.432 -0.003  1.448 0.099  1.448 0.213  1.487 0.311  1.538 0.403  1.538 0.517  1.538 0.631
2#tos#t2#t2025064/0  -0.076 0.701  -0.076 0.851  -0.093 0.984  -0.172 1.054  -0.241 0.960  -0.372 0.913  -0.503 0.892  -0.528 0.744  -0.553 0.597  -0.611 0.490  -0.761 0.490  -0.782 0.361  -0.782 0.212  -0.782 0.062  -0.782 -0.087  -0.782 -0.237  -0.782 -0.387  -0.782 -0.536  -0.762 -0.681  -0.695 -0.815  -0.641 -0.951  -0.564 -1.069  -0.500 -1.192  -0.362 -1.204  -0.213 -1.204  -0.063 -1.204  0.086 -1.204  0.206 -1.174  0.283 -1.057  0.400 -0.966  0.488 -0.871  0.547 -0.781  0.677 -0.733  0.728 -0.596  0.765 -0.451  0.841 -0.373  0.841 -0.223  0.841 -0.074  0.841 0.076  0.841 0.225  0.841 0.375  0.828 0.522  0.772 0.661  0.717 0.800  0.627 0.916  0.505 0.984  0.370 1.043  0.223 1.054  0.073 1.054  -0.076 1.054
2#tos#t2#t2025064/1  0.193 1.467  0.193 1.541  0.193 1.518  0.243 1.494  0.243 1.420  0.243 1.347  0.243 1.273  0.243 1.199  0.243 1.125  0.243 1.051  0.243 0.978  0.183 0.941  0.128 0.896  0.090 0.832  0.052 0.769  0.014 0.706  -0.006 0.638  -0.006 0.564  -0.006 0.490  -0.006 0.416  -0.006 0.342  -0.006 0.269  -0.006 0.195  -0.006 0.121  -0.006 0.047  -0.029 -0.021  -0.055 -0.089  -0.055 -0.162  -0.055 -0.236  -0.055 -0.310  -0.055 -0.384  -0.055 -0.458  -0.055 -0.531  -0.055 -0.605  -0.055 -0.679  -0.055 -0.753  -0.055 -0.826  -0.055 -0.900  -0.055 -0.974  -0.077 -1.039  -0.129 -1.091  -0.182 -1.143  -0.204 -1.207  -0.204 -1.281  -0.204 -1.355  -0.204 -1.429  -0.222 -1.499  -0.254 -1.565  -0.254 -1.587  -0.254 -1.514
2#tos#t2#t2025064/3  -0.173 0.870  -0.285 0.870  -0.396 0.875  -0.489 0.937  -0.551 1.015  -0.511 1.086  -0.399 1.086  -0.287 1.086  -0.175 1.086  -0.063 1.086  0.049 1.086  0.161 1.086  0.272 1.086  0.384 1.086  0.421 1.011  0.421 0.899  0.421 0.787  0.398 0.685  0.318 0.606  0.220 0.554  0.175 0.456  0.115 0.384  0.025 0.349  -0.042 0.276  0.004 0.245  0.055 0.145  0.114 0.060  0.151 -0.015  0.226 -0.073  0.319 -0.121  0.355 -0.227  0.400 -0.329  0.421 -0.436  0.421 -0.548  0.421 -0.659  0.397 -0.767  0.355 -0.869  0.276 -0.949  0.186 -1.014  0.093 -1.076  -0.000 -1.138  -0.096 -1.197  -0.196 -1.247  -0.290 -1.303  -0.352 -1.396  -0.434 -1.452  -0.543 -1.477  -0.652 -1.504  -0.763 -1.506  -0.875 -1.506
2#tos#t2#t2025064/5  0.290 1.607  0.094 1.607  -0.004 1.508  -0.004 1.312  -0.121 1.188  -0.121 0.992  -0.121 0.796  -0.178 0.613  -0.238 0.432  -0.358 0.309  -0.414 0.122  -0.376 -0.036  -0.238 -0.094  -0.043 -0.095  0.153 -0.095  0.321 -0.169  0.466 -0.254  0.466 -0.450  0.466 -0.646  0.407 -0.828  0.268 -0.950  0.231 -1.126  0.085 -1.238  -0.016 -1.404  -0.126 -1.566  -0.264 -1.705  -0.354 -1.764  -0.345 -1.568  -0.336 -1.372  -0.326 -1.177  -0.317 -0.981  -0.308 -0.785  -0.298 -0.589  -0.289 -0.393  -0.280 -0.197  -0.270 -0.002  -0.261 0.194  -0.252 0.390  -0.242 0.586  -0.352 0.668  -0.515 0.668  -0.319 0.668  -0.125 0.682  0.066 0.727  0.262 0.727  0.458 0.727  0.654 0.727  0.850 0.727  1.046 0.727  1.228 0.785
2#tos#t2#t2025064/8  0.591 0.439  0.446 0.447  0.421 0.597  0.380 0.733  0.255 0.796  0.231 0.944  0.183 1.088  0.160 1.236  0.142 1.384  0.112 1.529  0.112 1.681  0.112 1.634  0.112 1.481  0.112 1.329  0.112 1.177  0.112 1.025  0.112 0.873  0.112 0.721  0.112 0.569  0.112 0.417  0.112 0.265  0.112 0.113  0.067 -0.032  0.019 -0.176  0.016 -0.328  0.016 -0.480  0.016 -0.632  -0.032 -0.774  -0.091 -0.914  -0.142 -1.057  -0.185 -1.201  -0.272 -1.317  -0.289 -1.465  -0.357 -1.601  -0.496 -1.623  -0.512 -1.487  -0.512 -1.335  -0.512 -1.183  -0.508 -1.031  -0.471 -0.884  -0.390 -0.757  -0.309 -0.630  -0.247 -0.495  -0.139 -0.387  -0.128 -0.240  -0.031 -0.185  0.110 -0.138  0.250 -0.089  0.374 -0.043  0.495 0.007
2#tos#t2#t2025064/B  0.161 1.580  0.101 1.744  0.161 1.609  0.161 1.384  0.048 1.200  -0.082 1.020  -0.119 0.799  -0.186 0.588  -0.257 0.380  -0.276 0.160  -0.359 -0.049  -0.376 -0.269  -0.434 -0.476  -0.496 -0.682  -0.496 -0.906  -0.496 -1.130  -0.485 -1.344  -0.401 -1.173  -0.356 -0.953  -0.311 -0.733  -0.266 -0.514  -0.221 -0.294  -0.176 -0.074  -0.131 0.145  -0.086 0.365  -0.041 0.585  0.005 0.804  0.041 1.025  0.188 1.102  0.412 1.102  0.636 1.102  0.757 0.954  0.757 0.729  0.672 0.540  0.513 0.383  0.318 0.273  0.220 0.101  0.312 -0.031  0.513 -0.107  0.597 -0.289  0.638 -0.496  0.615 -0.711  0.455 -0.868  0.273 -0.993  0.098 -1.126  -0.103 -1.221  -0.308 -1.284  -0.527 -1.322  -0.749 -1.344  -0.913 -1.284
2#tos#t2#t2025064/C  0.648 0.621  0.648 0.729  0.648 0.837  0.648 0.945  0.648 1.053  0.605 1.151  0.570 1.234  0.462 1.234  0.354 1.234  0.246 1.234  0.148 1.199  0.058 1.139  -0.032 1.079  -0.122 1.019  -0.168 0.923  -0.208 0.823  -0.252 0.725  -0.328 0.649  -0.405 0.572  -0.474 0.491  -0.515 0.391  -0.555 0.291  -0.589 0.189  -0.615 0.084  -0.634 -0.022  -0.634 -0.130  -0.634 -0.238  -0.634 -0.346  -0.634 -0.454  -0.634 -0.562  -0.634 -0.670  -0.634 -0.778  -0.576 -0.828  -0.468 -0.828  -0.391 -0.904  -0.330 -0.991  -0.259 -1.051  -0.151 -1.051  -0.043 -1.051  0.065 -1.051  0.174 -1.051  0.282 -1.051  0.390 -1.051  0.490 -1.018  0.587 -0.970  0.665 -0.904  0.714 -0.807  0.766 -0.717  0.871 -0.713  0.871 -0.605
2#tos#t2#t2025064/I  0.442 1.529  0.384 1.515  0.355 1.472  0.283 1.472  0.269 1.413  0.269 1.341  0.269 1.269  0.269 1.197  0.269 1.125  0.269 1.052  0.259 0.982  0.236 0.913  0.213 0.845  0.175 0.784  0.135 0.724  0.097 0.664  0.097 0.591  0.097 0.519  0.097 0.447  0.062 0.385  0.022 0.325  -0.018 0.265  -0.018 0.193  -0.018 0.121  -0.018 0.049  -0.018 -0.023  -0.027 -0.093  -0.067 -0.153  -0.107 -0.213  -0.133 -0.277  -0.133 -0.349  -0.133 -0.422  -0.133 -0.494  -0.133 -0.566  -0.133 -0.638  -0.133 -0.710  -0.137 -0.782  -0.160 -0.850  -0.183 -0.919  -0.191 -0.990  -0.191 -1.062  -0.198 -1.132  -0.225 -1.199  -0.252 -1.266  -0.278 -1.333  -0.305 -1.400  -0.306 -1.473  -0.306 -1.545  -0.306 -1.617  -0.306 -1.689
2#tos#t2#t2025064/J  -0.678 0.918  -0.678 0.800  -0.781 0.764  -0.893 0.727  -0.833 0.690  -0.715 0.690  -0.598 0.697  -0.488 0.740  -0.373 0.755  -0.255 0.755  -0.136 0.755  -0.020 0.774  0.092 0.810  0.202 0.853  0.320 0.853  0.435 0.861  0.530 0.918  0.648 0.918  0.609 0.905  0.495 0.872  0.381 0.840  0.268 0.807  0.167 0.773  0.167 0.655  0.167 0.537  0.188 0.421  0.234 0.314  0.264 0.205  0.264 0.087  0.268 -0.031  0.329 -0.130  0.329 -0.249  0.329 -0.367  0.329 -0.485  0.329 -0.603  0.308 -0.717  0.259 -0.824  0.232 -0.939  0.232 -1.057  0.207 -1.171  0.157 -1.278  0.115 -1.386  0.038 -1.470  -0.068 -1.523  -0.180 -1.552  -0.291 -1.529  -0.393 -1.480  -0.477 -1.396  -0.516 -1.313  -0.516 -1.195
2#tos#t2#t2025064/L  -0.318 1.471  -0.318 1.564  -0.320 1.656  -0.365 1.607  -0.365 1.514  -0.365 1.420  -0.365 1.327  -0.348 1.236  -0.319 1.147  -0.318 1.054  -0.318 0.960  -0.318 0.867  -0.318 0.773  -0.318 0.680  -0.308 0.587  -0.290 0.496  -0.272 0.404  -0.272 0.310  -0.272 0.217  -0.272 0.123  -0.272 0.030  -0.272 -0.064  -0.272 -0.157  -0.272 -0.251  -0.272 -0.344  -0.272 -0.438  -0.272 -0.531  -0.272 -0.625  -0.283 -0.707  -0.318 -0.765  -0.331 -0.846  -0.305 -0.846  -0.211 -0.846  -0.118 -0.846  -0.024 -0.846  0.069 -0.846  0.163 -0.846  0.256 -0.846  0.350 -0.846  0.434 -0.830  0.486 -0.752  0.556 -0.707  0.649 -0.707  0.743 -0.707  0.836 -0.707  0.930 -0.707  1.023 -0.707  1.117 -0.707  1.210 -0.707  1.304 -0.707
2#tos#t2#t2025064/N  -0.504 1.107  -0.602 1.180  -0.602 0.962  -0.602 0.743  -0.602 0.524  -0.602 0.305  -0.602 0.086  -0.553 -0.126  -0.553 -0.345  -0.553 -0.564  -0.553 -0.783  -0.553 -1.002  -0.509 -1.215  -0.506 -1.131  -0.512 -0.912  -0.519 -0.693  -0.525 -0.474  -0.532 -0.256  -0.538 -0.037  -0.545 0.182  -0.551 0.400  -0.582 0.616  -0.718 0.717  -0.797 0.857  -0.691 0.750  -0.542 0.604  -0.411 0.429  -0.242 0.320  -0.113 0.155  0.014 -0.010  0.167 -0.154  0.270 -0.345  0.340 -0.548  0.471 -0.702  0.471 -0.920  0.617 -1.022  0.722 -1.136  0.931 -1.114  0.958 -0.906  0.958 -0.687  0.958 -0.469  0.958 -0.250  0.958 -0.031  0.958 0.188  0.958 0.407  0.975 0.624  1.007 0.840  1.007 1.059  1.007 1.278  1.007 1.497
