3#apa#apa20#app2059/S  0.296 0.855  0.281 0.966  0.196 1.046  0.105 1.072  0.056 1.142  -0.061 1.142  -0.179 1.142  -0.291 1.128  -0.375 1.046  -0.492 1.046  -0.610 1.046  -0.661 0.979  -0.750 0.950  -0.852 0.935  -0.852 0.817  -0.852 0.700  -0.795 0.606  -0.711 0.522  -0.628 0.439  -0.537 0.376  -0.434 0.340  -0.344 0.266  -0.239 0.213  -0.128 0.185  -0.033 0.131  0.061 0.063  0.167 0.010  0.257 -0.063  0.340 -0.146  0.424 -0.230  0.512 -0.306  0.617 -0.359  0.679 -0.438  0.679 -0.556  0.744 -0.646  0.775 -0.751  0.775 -0.869  0.775 -0.987  0.775 -1.104  0.708 -1.155  0.590 -1.155  0.472 -1.155  0.355 -1.155  0.237 -1.155  0.119 -1.155  0.001 -1.155  -0.116 -1.155  -0.234 -1.155  -0.352 -1.155  -0.469 -1.155
3#apa#apa20#app2059/h  -0.624 2.042  -0.624 1.898  -0.624 1.753  -0.624 1.608  -0.624 1.463  -0.624 1.319  -0.624 1.174  -0.624 1.029  -0.624 0.885  -0.593 0.747  -0.529 0.618  -0.487 0.483  -0.487 0.338  -0.487 0.193  -0.487 0.049  -0.487 -0.096  -0.398 -0.151  -0.350 -0.248  -0.350 -0.393  -0.271 -0.505  -0.213 -0.626  -0.213 -0.770  -0.157 -0.892  -0.076 -1.003  -0.076 -1.074  -0.076 -0.929  -0.024 -0.837  0.061 -0.777  0.061 -0.632  0.061 -0.488  0.061 -0.343  0.061 -0.198  0.061 -0.054  0.061 0.091  0.061 0.236  0.182 0.260  0.327 0.260  0.432 0.164  0.534 0.062  0.610 -0.052  0.655 -0.151  0.747 -0.204  0.789 -0.331  0.884 -0.437  0.884 -0.581  0.884 -0.726  0.908 -0.861  1.010 -0.963  1.021 -1.103  1.021 -1.248
3#apa#apa20#app2059/e  -0.396 0.270  -0.245 0.270  -0.094 0.270  0.037 0.222  0.144 0.115  0.279 0.077  0.430 0.077  0.581 0.077  0.732 0.077  0.883 0.077  0.954 0.157  0.954 0.308  0.954 0.459  0.849 0.567  0.735 0.655  0.584 0.655  0.472 0.751  0.362 0.848  0.211 0.848  0.096 0.935  -0.011 1.041  -0.162 1.041  -0.313 1.041  -0.464 1.041  -0.589 1.014  -0.589 0.863  -0.724 0.848  -0.781 0.754  -0.781 0.603  -0.781 0.452  -0.781 0.301  -0.781 0.150  -0.781 -0.001  -0.781 -0.152  -0.781 -0.302  -0.717 -0.438  -0.649 -0.573  -0.577 -0.705  -0.471 -0.812  -0.364 -0.919  -0.257 -1.025  -0.137 -1.113  -0.002 -1.180  0.133 -1.248  0.279 -1.272  0.414 -1.311  0.520 -1.418  0.652 -1.465  0.803 -1.465  0.954 -1.465
3#apa#apa20#app2059/d  -0.124 1.781  -0.088 1.914  0.009 1.841  0.009 1.672  0.112 1.545  0.142 1.388  0.142 1.218  0.189 1.069  0.275 0.935  0.275 0.765  0.275 0.596  0.345 0.443  0.408 0.289  0.408 0.119  0.408 -0.050  0.408 -0.220  0.408 -0.389  0.408 -0.558  0.408 -0.728  0.408 -0.593  0.408 -0.424  0.408 -0.254  0.408 -0.085  0.385 0.075  0.265 0.195  0.146 0.315  -0.022 0.318  -0.192 0.318  -0.361 0.318  -0.523 0.311  -0.567 0.185  -0.656 0.105  -0.773 0.053  -0.798 -0.098  -0.874 -0.250  -0.922 -0.408  -0.922 -0.577  -0.827 -0.707  -0.789 -0.861  -0.653 -0.946  -0.499 -1.011  -0.347 -1.054  -0.215 -1.144  -0.045 -1.144  0.124 -1.144  0.277 -1.076  0.431 -1.011  0.601 -1.011  0.770 -1.011  0.939 -1.011
3#apa#apa20#app2059/t  -0.336 1.557  -0.336 1.720  -0.336 1.882  -0.336 1.892  -0.264 1.760  -0.199 1.625  -0.199 1.462  -0.199 1.300  -0.199 1.138  -0.199 0.976  -0.199 0.814  -0.199 0.651  -0.199 0.489  -0.199 0.327  -0.182 0.172  -0.068 0.057  -0.062 -0.103  -0.062 -0.265  -0.062 -0.427  -0.062 -0.589  0.022 -0.717  0.075 -0.857  0.075 -1.019  0.076 -1.181  0.212 -1.207  0.183 -1.275  0.093 -1.140  0.003 -1.005  -0.087 -0.870  -0.176 -0.735  -0.266 -0.600  -0.356 -0.465  -0.446 -0.330  -0.536 -0.195  -0.640 -0.085  -0.691 -0.085  -0.533 -0.111  -0.379 -0.162  -0.225 -0.214  -0.064 -0.222  0.091 -0.238  0.206 -0.353  0.365 -0.359  0.528 -0.359  0.690 -0.359  0.852 -0.359  0.980 -0.443  1.120 -0.496  1.282 -0.496  1.444 -0.496
3#apa#apa20#app2059/h  -0.507 1.214  -0.627 1.219  -0.627 1.345  -0.640 1.466  -0.729 1.555  -0.648 1.574  -0.627 1.469  -0.627 1.343  -0.627 1.217  -0.541 1.127  -0.507 1.014  -0.507 0.888  -0.507 0.762  -0.439 0.665  -0.387 0.560  -0.387 0.434  -0.387 0.308  -0.387 0.182  -0.333 0.078  -0.267 -0.020  -0.267 -0.146  -0.267 -0.272  -0.267 -0.398  -0.242 -0.518  -0.186 -0.631  -0.147 -0.748  -0.115 -0.861  -0.026 -0.950  0.063 -1.039  0.094 -0.987  0.182 -0.950  0.214 -0.855  0.314 -0.829  0.334 -0.724  0.334 -0.598  0.334 -0.472  0.421 -0.382  0.454 -0.269  0.454 -0.143  0.545 -0.108  0.574 -0.205  0.647 -0.301  0.694 -0.407  0.740 -0.515  0.815 -0.610  0.815 -0.736  0.847 -0.829  0.935 -0.868  0.966 -0.981  1.055 -1.070
3#apa#apa20#app2059/e  -0.513 0.187  -0.513 0.338  -0.423 0.398  -0.272 0.398  -0.122 0.398  0.029 0.398  0.180 0.398  0.331 0.398  0.482 0.398  0.632 0.398  0.783 0.398  0.934 0.398  0.966 0.517  0.925 0.651  0.818 0.757  0.694 0.821  0.543 0.821  0.393 0.821  0.242 0.821  0.091 0.821  -0.060 0.821  -0.211 0.821  -0.361 0.821  -0.512 0.821  -0.647 0.754  -0.782 0.687  -0.917 0.619  -0.936 0.480  -0.936 0.329  -0.936 0.179  -0.936 0.028  -0.936 -0.123  -0.909 -0.263  -0.803 -0.369  -0.684 -0.447  -0.533 -0.447  -0.421 -0.540  -0.314 -0.646  -0.208 -0.753  -0.101 -0.859  0.006 -0.966  0.112 -1.073  0.245 -1.143  0.380 -1.211  0.514 -1.278  0.662 -1.292  0.813 -1.292  0.963 -1.292  1.071 -1.397  1.177 -1.504
3#apa#apa20#app2059/h  -0.226 1.907  -0.356 1.870  -0.408 1.725  -0.487 1.590  -0.487 1.423  -0.487 1.256  -0.487 1.089  -0.487 0.922  -0.487 0.755  -0.487 0.587  -0.487 0.420  -0.487 0.253  -0.487 0.086  -0.487 -0.081  -0.487 -0.248  -0.441 -0.405  -0.367 -0.554  -0.356 -0.719  -0.334 -0.881  -0.259 -1.030  -0.226 -1.190  -0.226 -1.357  -0.226 -1.193  -0.226 -1.026  -0.226 -0.859  -0.226 -0.691  -0.226 -0.524  -0.226 -0.357  -0.226 -0.190  -0.113 -0.070  -0.095 0.090  -0.095 0.257  -0.095 0.425  0.026 0.470  0.055 0.582  0.176 0.470  0.343 0.470  0.427 0.387  0.512 0.255  0.558 0.107  0.688 0.071  0.720 -0.083  0.819 -0.209  0.839 -0.373  0.892 -0.532  0.945 -0.691  0.950 -0.857  0.950 -1.024  1.044 -1.097  1.080 -1.228
3#apa#apa20#app2059/o  0.651 0.646  0.503 0.646  0.459 0.749  0.459 0.896  0.445 1.029  0.297 1.029  0.150 1.029  0.003 1.029  -0.145 1.029  -0.292 1.029  -0.440 1.029  -0.587 1.029  -0.692 0.987  -0.692 0.839  -0.795 0.734  -0.884 0.624  -0.884 0.476  -0.884 0.329  -0.884 0.181  -0.884 0.034  -0.884 -0.113  -0.884 -0.261  -0.884 -0.408  -0.834 -0.506  -0.692 -0.511  -0.692 -0.659  -0.615 -0.774  -0.511 -0.879  -0.368 -0.889  -0.246 -0.952  -0.142 -1.056  -0.005 -1.081  0.142 -1.081  0.290 -1.081  0.437 -1.081  0.585 -1.081  0.651 -1.000  0.651 -0.853  0.651 -0.705  0.791 -0.698  0.843 -0.602  0.843 -0.455  0.843 -0.307  0.843 -0.160  0.843 -0.012  0.797 0.116  0.692 0.220  0.651 0.351  0.651 0.498  0.651 0.646
3#apa#apa20#app2059/m  -1.023 0.320  -1.170 0.278  -1.110 0.113  -1.023 -0.041  -1.023 -0.231  -0.915 -0.376  -0.876 -0.550  -0.729 -0.593  -0.729 -0.783  -0.614 -0.858  -0.581 -0.700  -0.634 -0.563  -0.729 -0.468  -0.729 -0.278  -0.810 -0.107  -0.876 0.067  -0.876 0.257  -0.876 0.447  -0.876 0.637  -0.830 0.808  -0.682 0.909  -0.492 0.909  -0.434 0.777  -0.267 0.743  -0.140 0.606  -0.103 0.431  0.023 0.290  0.108 0.120  0.155 -0.058  0.245 -0.211  0.302 -0.377  0.302 -0.559  0.302 -0.369  0.302 -0.179  0.395 -0.028  0.449 0.139  0.560 0.284  0.597 0.458  0.777 0.468  0.967 0.468  1.038 0.349  1.186 0.306  1.242 0.173  1.333 0.074  1.333 -0.116  1.464 -0.252  1.480 -0.435  1.480 -0.625  1.480 -0.815  1.627 -0.858
3#apa#apa20#app2059/u  -0.580 1.148  -0.457 1.148  -0.389 1.202  -0.389 1.325  -0.498 1.339  -0.580 1.299  -0.580 1.176  -0.580 1.053  -0.580 0.930  -0.580 0.807  -0.580 0.684  -0.580 0.561  -0.580 0.438  -0.580 0.315  -0.580 0.192  -0.580 0.069  -0.580 -0.054  -0.580 -0.177  -0.580 -0.300  -0.580 -0.423  -0.580 -0.546  -0.514 -0.641  -0.427 -0.728  -0.389 -0.835  -0.388 -0.958  -0.278 -1.013  -0.168 -1.068  -0.058 -1.123  0.059 -1.149  0.182 -1.149  0.305 -1.149  0.413 -1.113  0.500 -1.026  0.568 -0.932  0.568 -0.809  0.625 -0.709  0.712 -0.622  0.760 -0.519  0.760 -0.396  0.760 -0.273  0.760 -0.150  0.760 -0.027  0.760 0.096  0.760 0.219  0.760 0.342  0.760 0.465  0.760 0.588  0.760 0.710  0.760 0.833  0.760 0.956
3#apa#apa20#app2059/n  -0.540 0.615  -0.540 0.454  -0.610 0.309  -0.682 0.165  -0.706 0.010  -0.706 -0.151  -0.706 -0.312  -0.706 -0.473  -0.706 -0.634  -0.646 -0.770  -0.540 -0.887  -0.540 -1.048  -0.540 -1.209  -0.540 -1.370  -0.540 -1.216  -0.540 -1.055  -0.540 -0.894  -0.540 -0.733  -0.540 -0.572  -0.540 -0.411  -0.540 -0.250  -0.484 -0.102  -0.412 0.042  -0.374 0.194  -0.374 0.355  -0.327 0.496  -0.213 0.610  -0.209 0.769  -0.103 0.886  -0.043 1.023  0.029 1.112  0.123 1.179  0.167 1.234  0.281 1.120  0.438 1.112  0.557 1.009  0.620 0.874  0.667 0.733  0.781 0.619  0.895 0.505  0.951 0.368  0.951 0.207  0.951 0.046  0.981 -0.108  1.053 -0.252  1.117 -0.398  1.117 -0.559  1.117 -0.720  1.117 -0.881  1.117 -1.042
3#apa#apa20#app2059/c  1.148 0.375  1.148 0.481  1.112 0.551  1.006 0.551  0.972 0.624  0.970 0.727  0.864 0.727  0.769 0.755  0.694 0.830  0.618 0.903  0.512 0.903  0.406 0.903  0.300 0.903  0.194 0.903  0.088 0.903  -0.019 0.903  -0.113 0.874  -0.188 0.799  -0.264 0.727  -0.370 0.727  -0.435 0.686  -0.435 0.580  -0.490 0.497  -0.565 0.422  -0.611 0.335  -0.611 0.229  -0.666 0.145  -0.741 0.070  -0.787 -0.017  -0.787 -0.123  -0.787 -0.229  -0.782 -0.333  -0.707 -0.408  -0.632 -0.483  -0.611 -0.581  -0.607 -0.685  -0.532 -0.760  -0.457 -0.835  -0.359 -0.856  -0.255 -0.861  -0.180 -0.936  -0.105 -1.011  -0.030 -1.086  0.045 -1.161  0.131 -1.208  0.238 -1.208  0.336 -1.242  0.431 -1.289  0.526 -1.337  0.620 -1.384
3#apa#apa20#app2059/u  -0.489 0.809  -0.489 0.925  -0.524 1.027  -0.606 1.110  -0.672 1.152  -0.672 1.035  -0.672 0.919  -0.677 0.804  -0.759 0.722  -0.842 0.639  -0.856 0.528  -0.856 0.412  -0.856 0.295  -0.856 0.179  -0.847 0.066  -0.764 -0.017  -0.682 -0.099  -0.672 -0.212  -0.672 -0.328  -0.672 -0.445  -0.611 -0.536  -0.529 -0.619  -0.446 -0.701  -0.364 -0.784  -0.282 -0.866  -0.199 -0.949  -0.115 -1.026  0.002 -1.026  0.119 -1.026  0.235 -1.026  0.321 -0.950  0.403 -0.868  0.485 -0.786  0.568 -0.703  0.650 -0.621  0.733 -0.538  0.795 -0.448  0.795 -0.331  0.850 -0.237  0.933 -0.155  0.979 -0.057  0.979 0.059  0.979 0.176  0.979 0.292  0.979 0.409  0.979 0.526  0.979 0.642  0.979 0.759  0.979 0.875  0.979 0.992
3#apa#apa20#app2059/l  0.171 1.289  0.171 1.361  0.171 1.434  0.171 1.506  0.171 1.449  0.171 1.376  0.171 1.304  0.171 1.232  0.159 1.165  0.107 1.114  0.059 1.062  0.059 0.989  0.047 0.919  0.025 0.850  0.002 0.782  -0.021 0.713  -0.044 0.645  -0.053 0.574  -0.053 0.502  -0.053 0.430  -0.053 0.357  -0.053 0.285  -0.053 0.213  -0.053 0.141  -0.053 0.069  -0.053 -0.004  -0.053 -0.076  -0.053 -0.148  -0.053 -0.220  -0.053 -0.293  -0.053 -0.365  -0.053 -0.437  -0.053 -0.509  -0.053 -0.582  -0.053 -0.654  -0.053 -0.726  -0.053 -0.798  -0.053 -0.870  -0.053 -0.943  -0.053 -1.015  -0.053 -1.087  -0.053 -1.159  -0.053 -1.232  -0.053 -1.304  -0.053 -1.376  -0.053 -1.448  -0.053 -1.520  -0.053 -1.593  -0.053 -1.665  -0.053 -1.737
3#apa#apa20#app2059/u  -0.244 1.156  -0.372 1.156  -0.486 1.123  -0.576 1.033  -0.663 0.941  -0.663 0.813  -0.663 0.686  -0.663 0.558  -0.663 0.431  -0.663 0.303  -0.663 0.175  -0.663 0.048  -0.663 -0.080  -0.663 -0.207  -0.663 -0.335  -0.663 -0.462  -0.663 -0.590  -0.663 -0.718  -0.663 -0.845  -0.626 -0.936  -0.498 -0.936  -0.453 -1.019  -0.452 -1.145  -0.324 -1.145  -0.197 -1.145  -0.069 -1.145  -0.035 -1.051  -0.030 -0.925  0.027 -0.811  0.084 -0.697  0.141 -0.583  0.229 -0.518  0.356 -0.518  0.383 -0.417  0.397 -0.295  0.487 -0.205  0.577 -0.114  0.667 -0.024  0.758 0.066  0.801 0.175  0.801 0.303  0.801 0.431  0.823 0.549  0.913 0.640  1.003 0.730  1.011 0.854  1.011 0.982  1.011 1.110  1.011 1.237  1.011 1.365
3#apa#apa20#app2059/s  0.178 0.274  0.307 0.274  0.359 0.352  0.359 0.480  0.359 0.609  0.359 0.738  0.322 0.851  0.231 0.943  0.140 1.034  0.049 1.125  -0.053 1.201  -0.168 1.258  -0.283 1.316  -0.403 1.355  -0.532 1.355  -0.542 1.237  -0.542 1.108  -0.542 0.979  -0.542 0.851  -0.501 0.732  -0.443 0.617  -0.385 0.501  -0.294 0.420  -0.179 0.363  -0.063 0.305  -0.002 0.215  0.004 0.088  0.095 -0.003  0.186 -0.094  0.277 -0.185  0.359 -0.280  0.359 -0.409  0.423 -0.511  0.514 -0.602  0.539 -0.720  0.539 -0.849  0.539 -0.978  0.539 -1.107  0.490 -1.215  0.399 -1.306  0.287 -1.347  0.158 -1.347  0.030 -1.347  -0.099 -1.347  -0.214 -1.314  -0.305 -1.223  -0.411 -1.167  -0.539 -1.167  -0.631 -1.078  -0.722 -0.987
3#apa#apa20#app2059/.  1.794 -0.235  1.711 -0.235  1.628 -0.235  1.545 -0.235  1.463 -0.235  1.380 -0.235  1.297 -0.235  1.214 -0.235  1.131 -0.235  1.049 -0.235  0.966 -0.235  0.883 -0.235  0.800 -0.235  0.717 -0.235  0.635 -0.235  0.552 -0.235  0.469 -0.235  0.386 -0.235  0.304 -0.235  0.221 -0.235  0.138 -0.235  0.055 -0.235  -0.028 -0.235  -0.110 -0.235  -0.193 -0.235  -0.276 -0.235  -0.359 -0.235  -0.442 -0.235  -0.524 -0.235  -0.607 -0.235  -0.690 -0.235  -0.773 -0.235  -0.855 -0.235  -0.911 -0.207  -0.911 -0.124  -0.911 -0.041  -0.911 0.041  -0.911 0.124  -0.911 0.207  -0.911 0.290  -0.911 0.373  -0.911 0.455  -0.911 0.538  -0.911 0.621  -0.911 0.704  -0.911 0.786  -0.911 0.869  -0.911 0.952  -0.911 1.035  -0.911 1.118
3#apa#apa20#app2059/\"  -1.216 1.317  -1.065 1.317  -0.913 1.317  -0.762 1.317  -0.731 1.196  -0.731 1.045  -0.731 0.893  -0.731 0.742  -0.731 0.591  -0.731 0.439  -0.731 0.288  -0.731 0.137  -0.731 -0.015  -0.731 -0.166  -0.731 -0.317  -0.731 -0.468  -0.731 -0.620  -0.626 -0.727  -0.519 -0.834  -0.412 -0.941  -0.305 -1.048  -0.216 -1.044  -0.148 -0.909  -0.080 -0.774  -0.013 -0.638  0.055 -0.503  0.123 -0.368  0.190 -0.232  0.258 -0.097  0.326 0.038  0.393 0.174  0.461 0.309  0.529 0.444  0.596 0.580  0.664 0.715  0.722 0.811  0.722 0.660  0.722 0.509  0.722 0.357  0.722 0.206  0.722 0.055  0.722 -0.096  0.722 -0.248  0.722 -0.399  0.722 -0.550  0.779 -0.678  0.886 -0.785  0.993 -0.892  1.100 -0.999  1.207 -1.106
