1d#app#app14#app1422/!  -0.242 -1.771  -0.242 -1.641  -0.170 -1.688  -0.086 -1.759  -0.080 -1.630  -0.074 -1.500  -0.068 -1.371  -0.062 -1.242  -0.057 -1.113  -0.051 -0.984  -0.045 -0.854  -0.039 -0.725  -0.033 -0.596  -0.027 -0.467  -0.021 -0.338  -0.015 -0.208  -0.010 -0.079  -0.004 0.050  0.002 0.179  0.008 0.309  0.014 0.438  0.020 0.567  0.026 0.696  0.032 0.825  0.037 0.955  0.043 1.084  0.049 1.213  0.055 1.342  0.061 1.471  0.067 1.601  0.069 1.585  0.069 1.456  0.069 1.326  0.069 1.197  0.069 1.068  0.069 0.938  0.069 0.809  0.069 0.680  0.069 0.550  0.069 0.421  0.069 0.292  0.069 0.162  0.069 0.033  0.069 -0.096  0.069 -0.226  0.069 -0.355  0.017 -0.472  -0.040 -0.588  -0.086 -0.706  -0.086 -0.836
1d#app#app14#app1422/~  -1.290 -0.050  -1.290 0.077  -1.290 0.204  -1.279 0.319  -1.152 0.319  -1.025 0.319  -0.905 0.335  -0.815 0.425  -0.726 0.514  -0.636 0.604  -0.552 0.696  -0.552 0.822  -0.552 0.949  -0.533 1.057  -0.406 1.057  -0.280 1.057  -0.153 1.057  -0.026 1.057  0.101 1.057  0.186 1.016  0.186 0.890  0.186 0.763  0.186 0.636  0.186 0.509  0.186 0.383  0.186 0.256  0.186 0.129  0.186 0.002  0.186 -0.125  0.186 -0.251  0.186 -0.378  0.186 -0.505  0.186 -0.632  0.186 -0.758  0.186 -0.885  0.186 -1.012  0.186 -1.139  0.295 -1.157  0.421 -1.157  0.548 -1.157  0.556 -1.038  0.556 -0.911  0.559 -0.788  0.686 -0.788  0.813 -0.788  0.935 -0.778  1.025 -0.688  1.115 -0.598  1.204 -0.509  1.294 -0.419
1d#app#app14#app1422/  1.619 -0.365  1.546 -0.365  1.474 -0.365  1.402 -0.365  1.330 -0.365  1.257 -0.365  1.185 -0.365  1.121 -0.345  1.070 -0.294  1.019 -0.243  0.968 -0.192  0.917 -0.141  0.866 -0.090  0.815 -0.039  0.764 0.013  0.713 0.064  0.661 0.112  0.588 0.112  0.516 0.112  0.444 0.112  0.372 0.112  0.299 0.112  0.227 0.112  0.155 0.112  0.083 0.112  0.010 0.112  -0.062 0.112  -0.134 0.112  -0.206 0.112  -0.279 0.112  -0.351 0.112  -0.423 0.112  -0.495 0.112  -0.567 0.112  -0.640 0.112  -0.712 0.112  -0.784 0.112  -0.856 0.112  -0.929 0.112  -1.001 0.112  -1.073 0.112  -1.145 0.112  -1.218 0.112  -1.290 0.112  -1.362 0.112  -1.434 0.112  -1.507 0.112  -1.579 0.112  -1.651 0.112  -1.723 0.112
1d#app#app14#app1422/_  -1.380 -0.698  -1.380 -0.610  -1.380 -0.523  -1.380 -0.436  -1.350 -0.379  -1.263 -0.379  -1.176 -0.379  -1.088 -0.379  -1.062 -0.318  -1.062 -0.231  -1.062 -0.144  -1.058 -0.060  -0.971 -0.060  -0.883 -0.060  -0.796 -0.060  -0.709 -0.060  -0.621 -0.060  -0.534 -0.060  -0.447 -0.060  -0.360 -0.060  -0.272 -0.060  -0.185 -0.060  -0.105 -0.053  -0.105 0.035  -0.105 0.122  -0.105 0.209  -0.067 0.259  0.020 0.259  0.107 0.259  0.195 0.259  0.282 0.259  0.369 0.259  0.456 0.259  0.544 0.259  0.631 0.259  0.718 0.259  0.806 0.259  0.893 0.259  0.980 0.259  1.068 0.259  1.155 0.259  1.221 0.208  1.283 0.147  1.345 0.085  1.406 0.023  1.468 -0.039  1.490 -0.003  1.490 0.084  1.490 0.172  1.490 0.259
1d#app#app14#app1422/+  -0.386 1.311  -0.201 1.311  -0.033 1.311  -0.219 1.311  -0.386 1.292  -0.386 1.106  -0.386 0.921  -0.386 0.735  -0.386 0.549  -0.386 0.363  -0.386 0.178  -0.386 -0.008  -0.386 -0.194  -0.386 -0.380  -0.386 -0.565  -0.386 -0.751  -0.438 -0.915  -0.570 -1.047  -0.701 -1.178  -0.749 -1.344  -0.749 -1.530  -0.621 -1.588  -0.435 -1.588  -0.325 -1.465  -0.242 -1.299  -0.159 -1.133  -0.076 -0.967  0.007 -0.801  0.090 -0.635  0.173 -0.469  0.256 -0.302  0.339 -0.136  0.423 0.030  0.506 0.196  0.589 0.362  0.672 0.528  0.822 0.586  1.008 0.586  1.063 0.455  1.063 0.270  0.923 0.224  0.737 0.224  0.701 0.373  0.701 0.558  0.542 0.586  0.357 0.586  0.171 0.586  -0.015 0.586  -0.201 0.586  -0.386 0.586
1d#app#app14#app1422/=  -1.373 -0.676  -1.283 -0.767  -1.192 -0.857  -1.102 -0.948  -1.002 -1.017  -0.874 -1.017  -0.746 -1.017  -0.691 -0.943  -0.691 -0.815  -0.691 -0.687  -0.574 -0.676  -0.446 -0.676  -0.318 -0.676  -0.190 -0.676  -0.062 -0.676  0.066 -0.676  0.195 -0.676  0.323 -0.676  0.451 -0.676  0.579 -0.676  0.652 -0.648  0.575 -0.546  0.498 -0.443  0.421 -0.341  0.344 -0.238  0.267 -0.136  0.190 -0.033  0.113 0.069  0.037 0.172  -0.040 0.274  -0.117 0.377  -0.194 0.479  -0.271 0.582  -0.348 0.684  -0.227 0.688  -0.099 0.688  -0.010 0.727  -0.010 0.855  -0.010 0.983  0.073 1.029  0.201 1.029  0.329 1.029  0.457 1.029  0.586 1.029  0.714 1.029  0.842 1.029  0.970 1.029  1.098 1.029  1.226 1.029  1.354 1.029
1d#app#app14#app1422/[  0.956 0.885  1.075 0.885  1.188 0.885  1.069 0.885  0.950 0.885  0.831 0.885  0.712 0.885  0.593 0.885  0.474 0.885  0.355 0.885  0.236 0.885  0.117 0.885  -0.002 0.885  -0.121 0.885  -0.240 0.885  -0.359 0.885  -0.453 0.860  -0.453 0.741  -0.482 0.651  -0.601 0.651  -0.666 0.628  -0.582 0.544  -0.498 0.460  -0.453 0.359  -0.453 0.240  -0.453 0.121  -0.453 0.002  -0.453 -0.117  -0.453 -0.236  -0.453 -0.355  -0.453 -0.474  -0.453 -0.593  -0.453 -0.712  -0.504 -0.810  -0.588 -0.894  -0.673 -0.978  -0.591 -0.993  -0.472 -0.993  -0.353 -0.993  -0.234 -0.993  -0.115 -0.993  0.004 -0.993  0.123 -0.993  0.242 -0.993  0.361 -0.993  0.480 -0.993  0.599 -0.993  0.718 -0.993  0.721 -1.109  0.721 -1.228
1d#app#app14#app1422/]  -0.490 1.049  -0.490 1.159  -0.490 1.269  -0.385 1.274  -0.275 1.274  -0.165 1.274  -0.055 1.274  0.055 1.274  0.165 1.274  0.275 1.274  0.385 1.274  0.408 1.187  0.408 1.077  0.408 0.967  0.408 0.857  0.408 0.747  0.408 0.637  0.408 0.527  0.408 0.417  0.408 0.307  0.408 0.197  0.408 0.087  0.408 -0.023  0.348 -0.073  0.238 -0.073  0.183 -0.128  0.183 -0.238  0.183 -0.348  0.183 -0.458  0.183 -0.568  0.183 -0.678  0.183 -0.788  0.183 -0.898  0.183 -0.935  0.183 -0.825  0.183 -0.779  0.183 -0.889  0.156 -0.971  0.046 -0.971  -0.064 -0.971  -0.174 -0.971  -0.284 -0.971  -0.394 -0.971  -0.504 -0.971  -0.614 -0.971  -0.724 -0.971  -0.834 -0.971  -0.939 -0.976  -0.939 -1.086  -0.939 -1.196
1d#app#app14#app1422/{  0.867 1.522  0.867 1.401  0.810 1.339  0.689 1.339  0.569 1.339  0.448 1.339  0.328 1.339  0.318 1.228  0.270 1.156  0.149 1.156  0.135 1.049  0.135 0.929  0.135 0.808  0.135 0.688  0.135 0.567  0.135 0.447  0.135 0.326  0.101 0.240  -0.020 0.240  -0.048 0.148  -0.078 0.057  -0.198 0.057  -0.319 0.057  -0.439 0.057  -0.560 0.057  -0.515 0.057  -0.395 0.057  -0.274 0.057  -0.231 -0.021  -0.216 -0.126  -0.096 -0.126  -0.048 -0.199  -0.048 -0.320  -0.048 -0.440  -0.116 -0.493  -0.231 -0.498  -0.231 -0.619  -0.276 -0.721  -0.362 -0.806  -0.415 -0.904  -0.415 -1.025  -0.415 -1.145  -0.386 -1.254  -0.301 -1.339  -0.209 -1.408  -0.088 -1.408  0.009 -1.465  0.094 -1.551  0.198 -1.592  0.318 -1.592
1d#app#app14#app1422/}  -0.419 1.629  -0.312 1.522  -0.206 1.415  -0.056 1.412  0.095 1.412  0.246 1.412  0.397 1.412  0.380 1.342  0.273 1.235  0.232 1.101  0.205 0.977  0.054 0.977  -0.064 0.898  -0.171 0.791  -0.278 0.684  -0.384 0.578  -0.419 0.441  -0.384 0.326  -0.233 0.326  -0.117 0.240  -0.010 0.134  0.131 0.108  0.232 0.059  0.232 -0.092  0.098 -0.109  0.015 -0.177  0.015 -0.325  0.015 -0.173  0.102 -0.109  0.232 -0.129  0.232 -0.280  0.338 -0.326  0.450 -0.365  0.450 -0.516  0.326 -0.543  0.232 -0.601  0.232 -0.752  0.090 -0.761  0.015 -0.837  0.005 -0.978  -0.146 -0.978  -0.202 -1.073  -0.231 -1.195  -0.382 -1.195  -0.306 -1.195  -0.202 -1.243  -0.202 -1.394  -0.202 -1.545  -0.202 -1.696  -0.202 -1.847
1d#app#app14#app1422/\\  -0.702 1.158  -0.702 1.076  -0.702 0.995  -0.702 0.913  -0.780 0.909  -0.861 0.909  -0.943 0.909  -0.877 0.909  -0.796 0.909  -0.714 0.909  -0.632 0.909  -0.551 0.909  -0.469 0.909  -0.453 0.843  -0.453 0.762  -0.453 0.680  -0.409 0.617  -0.352 0.559  -0.294 0.501  -0.236 0.443  -0.178 0.386  -0.121 0.328  -0.063 0.270  -0.005 0.212  0.045 0.152  0.045 0.070  0.045 -0.012  0.050 -0.091  0.107 -0.149  0.165 -0.207  0.223 -0.265  0.281 -0.322  0.338 -0.380  0.396 -0.438  0.454 -0.496  0.512 -0.553  0.543 -0.622  0.543 -0.704  0.543 -0.785  0.567 -0.857  0.624 -0.915  0.682 -0.973  0.740 -1.030  0.792 -1.091  0.792 -1.172  0.792 -1.254  0.792 -1.335  0.792 -1.417  0.792 -1.499  0.792 -1.580
1d#app#app14#app1422/,  0.404 1.682  0.404 1.606  0.404 1.530  0.404 1.454  0.404 1.378  0.404 1.302  0.404 1.225  0.404 1.149  0.404 1.073  0.404 0.997  0.404 0.921  0.404 0.845  0.404 0.768  0.404 0.692  0.404 0.616  0.404 0.540  0.404 0.464  0.385 0.395  0.331 0.342  0.277 0.288  0.223 0.234  0.169 0.180  0.116 0.126  0.062 0.072  0.008 0.018  -0.019 -0.047  -0.019 -0.123  -0.019 -0.199  -0.019 -0.275  -0.019 -0.351  -0.019 -0.427  -0.070 -0.482  -0.124 -0.536  -0.178 -0.590  -0.232 -0.644  -0.286 -0.698  -0.339 -0.752  -0.393 -0.805  -0.442 -0.861  -0.442 -0.938  -0.442 -1.014  -0.442 -1.090  -0.442 -1.166  -0.442 -1.242  -0.484 -1.276  -0.560 -1.276  -0.636 -1.276  -0.712 -1.276  -0.788 -1.276  -0.864 -1.276
1d#app#app14#app1422/  0.799 0.995  0.883 0.995  0.967 0.995  0.980 0.924  0.980 0.841  0.980 0.872  0.980 0.956  0.935 0.995  0.851 0.995  0.799 0.964  0.799 0.880  0.786 0.801  0.726 0.742  0.667 0.683  0.608 0.623  0.548 0.564  0.489 0.505  0.430 0.445  0.370 0.386  0.311 0.326  0.252 0.267  0.192 0.208  0.133 0.148  0.074 0.089  0.014 0.030  -0.045 -0.030  -0.105 -0.089  -0.164 -0.148  -0.223 -0.208  -0.283 -0.267  -0.342 -0.326  -0.401 -0.386  -0.461 -0.445  -0.520 -0.505  -0.579 -0.564  -0.639 -0.623  -0.698 -0.683  -0.757 -0.742  -0.817 -0.801  -0.830 -0.880  -0.830 -0.964  -0.882 -0.995  -0.966 -0.995  -0.972 -0.995  -0.888 -0.995  -0.830 -0.969  -0.830 -0.885  -0.830 -0.827  -0.830 -0.911  -0.830 -0.995
1d#app#app14#app1422/?  -0.725 0.570  -0.725 0.422  -0.725 0.481  -0.666 0.570  -0.533 0.585  -0.533 0.733  -0.415 0.763  -0.288 0.815  -0.184 0.919  -0.050 0.956  0.045 1.008  0.053 1.148  0.201 1.148  0.349 1.148  0.497 1.148  0.623 1.126  0.623 0.978  0.535 0.867  0.431 0.762  0.431 0.614  0.326 0.570  0.238 0.510  0.223 0.378  0.075 0.378  0.045 0.259  -0.029 0.185  -0.147 0.155  -0.147 0.007  -0.280 -0.008  -0.429 -0.008  -0.489 -0.008  -0.341 -0.008  -0.340 -0.155  -0.340 -0.303  -0.282 -0.393  -0.147 -0.407  -0.147 -0.555  -0.147 -0.703  -0.075 -0.778  0.045 -0.806  0.045 -0.954  0.113 -1.084  0.189 -1.210  0.265 -1.337  0.341 -1.464  0.418 -1.591  0.494 -1.718  0.570 -1.845  0.579 -1.934  0.431 -1.934
1d#app#app14#app1422/'  0.470 1.317  0.397 1.317  0.324 1.317  0.251 1.317  0.178 1.317  0.105 1.317  0.032 1.317  -0.041 1.317  -0.041 1.244  -0.041 1.171  -0.041 1.098  -0.041 1.025  -0.041 0.952  -0.041 0.880  -0.041 0.807  -0.041 0.734  -0.041 0.661  -0.041 0.588  -0.041 0.515  -0.041 0.442  -0.041 0.369  -0.041 0.296  -0.041 0.223  -0.041 0.150  -0.041 0.077  -0.041 0.004  -0.041 -0.069  -0.041 -0.141  -0.041 -0.214  -0.041 -0.287  -0.041 -0.360  -0.041 -0.433  -0.041 -0.506  -0.041 -0.579  -0.041 -0.652  -0.041 -0.725  -0.041 -0.798  -0.041 -0.871  -0.041 -0.944  -0.041 -1.017  -0.041 -1.090  -0.041 -1.162  -0.041 -1.235  -0.041 -1.308  -0.041 -1.381  -0.041 -1.454  -0.041 -1.527  -0.041 -1.600  -0.041 -1.673  -0.041 -1.746
1d#app#app14#app1422/\"  -0.646 1.801  -0.646 1.666  -0.646 1.531  -0.646 1.395  -0.646 1.260  -0.646 1.125  -0.646 0.990  -0.646 0.855  -0.646 0.720  -0.646 0.584  -0.646 0.449  -0.646 0.314  -0.646 0.179  -0.646 0.044  -0.646 -0.092  -0.646 -0.227  -0.646 -0.362  -0.646 -0.497  -0.646 -0.632  -0.560 -0.560  -0.464 -0.464  -0.369 -0.369  -0.273 -0.273  -0.178 -0.178  -0.082 -0.082  0.014 0.014  0.109 0.109  0.205 0.205  0.300 0.300  0.396 0.396  0.492 0.492  0.578 0.564  0.578 0.429  0.578 0.294  0.578 0.158  0.578 0.023  0.578 -0.112  0.578 -0.247  0.578 -0.382  0.578 -0.517  0.578 -0.653  0.578 -0.788  0.578 -0.923  0.578 -1.058  0.578 -1.193  0.649 -1.258  0.784 -1.258  0.919 -1.258  1.054 -1.258  1.189 -1.258
1d#app#app14#app1422/<  0.927 1.343  0.825 1.343  0.722 1.343  0.620 1.343  0.584 1.276  0.584 1.173  0.584 1.071  0.552 1.000  0.450 1.000  0.347 1.000  0.245 1.000  0.171 0.930  0.099 0.857  0.026 0.785  -0.046 0.712  -0.119 0.640  -0.191 0.567  -0.264 0.495  -0.336 0.422  -0.409 0.350  -0.482 0.277  -0.554 0.205  -0.627 0.132  -0.699 0.060  -0.772 -0.013  -0.706 -0.028  -0.604 -0.028  -0.501 -0.028  -0.444 -0.074  -0.444 -0.176  -0.444 -0.279  -0.437 -0.379  -0.364 -0.451  -0.292 -0.524  -0.219 -0.596  -0.147 -0.669  -0.101 -0.752  -0.101 -0.855  -0.101 -0.957  -0.098 -1.057  0.004 -1.057  0.107 -1.057  0.209 -1.057  0.242 -1.127  0.242 -1.230  0.242 -1.333  0.277 -1.400  0.379 -1.400  0.482 -1.400  0.584 -1.400
1d#app#app14#app1422/|  0.000 1.721  0.000 1.650  0.000 1.580  0.000 1.509  0.000 1.438  0.000 1.367  0.000 1.296  0.000 1.225  0.000 1.154  0.000 1.084  0.000 1.013  0.000 0.942  0.000 0.871  0.000 0.800  0.000 0.729  0.000 0.658  0.000 0.588  0.000 0.517  0.000 0.446  0.000 0.375  0.000 0.304  0.000 0.233  0.000 0.162  0.000 0.092  0.000 0.021  0.000 -0.050  0.000 -0.121  0.000 -0.192  0.000 -0.263  0.000 -0.333  0.000 -0.404  0.000 -0.475  0.000 -0.546  0.000 -0.617  0.000 -0.688  0.000 -0.759  0.000 -0.829  0.000 -0.900  0.000 -0.971  0.000 -1.042  0.000 -1.113  0.000 -1.184  0.000 -1.255  0.000 -1.325  0.000 -1.396  0.000 -1.467  0.000 -1.538  0.000 -1.506  0.000 -1.436  0.000 -1.365
1d#app#app14#app1422/>  -0.337 1.427  -0.222 1.427  -0.108 1.427  0.007 1.427  0.014 1.320  0.014 1.205  0.014 1.090  0.115 1.076  0.230 1.076  0.344 1.076  0.366 0.983  0.366 0.868  0.366 0.753  0.366 0.638  0.366 0.524  0.366 0.409  0.445 0.373  0.559 0.373  0.674 0.373  0.717 0.301  0.717 0.186  0.717 0.072  0.717 -0.043  0.717 -0.158  0.717 -0.273  0.660 -0.330  0.545 -0.330  0.430 -0.330  0.316 -0.330  0.201 -0.330  0.086 -0.330  0.014 -0.373  0.014 -0.488  0.014 -0.602  -0.022 -0.681  -0.136 -0.681  -0.251 -0.681  -0.366 -0.681  -0.481 -0.681  -0.595 -0.681  -0.689 -0.703  -0.689 -0.818  -0.689 -0.932  -0.703 -1.033  -0.818 -1.033  -0.932 -1.033  -1.040 -1.040  -1.040 -1.155  -1.040 -1.269  -1.040 -1.384
