1c#apa#apa10#app1038/p  -0.090 1.027  -0.090 1.188  -0.090 1.093  -0.090 0.932  -0.090 0.770  -0.090 0.609  -0.090 0.447  -0.090 0.285  -0.090 0.124  -0.090 -0.038  -0.090 -0.200  -0.090 -0.361  -0.090 -0.523  -0.090 -0.684  -0.090 -0.846  -0.090 -1.008  -0.106 -1.167  -0.157 -1.320  -0.208 -1.473  -0.259 -1.627  -0.366 -1.702  -0.479 -1.654  -0.479 -1.492  -0.479 -1.331  -0.479 -1.169  -0.449 -1.012  -0.405 -0.856  -0.360 -0.701  -0.316 -0.546  -0.272 -0.390  -0.227 -0.235  -0.183 -0.079  -0.138 0.076  -0.094 0.231  -0.044 0.385  0.007 0.538  0.059 0.692  0.113 0.843  0.203 0.978  0.292 1.112  0.382 1.247  0.472 1.381  0.579 1.332  0.690 1.217  0.690 1.055  0.690 0.893  0.690 0.732  0.690 0.570  0.690 0.409  0.690 0.247
1c#apa#apa10#app1038/n  -0.621 0.843  -0.755 0.843  -0.888 0.843  -0.931 0.754  -0.931 0.621  -0.931 0.488  -0.931 0.354  -0.931 0.221  -0.931 0.088  -0.931 -0.045  -0.996 -0.151  -1.090 -0.245  -1.185 -0.339  -1.203 -0.433  -1.109 -0.527  -1.014 -0.621  -0.916 -0.705  -0.783 -0.705  -0.650 -0.705  -0.547 -0.631  -0.453 -0.536  -0.359 -0.442  -0.265 -0.348  -0.171 -0.254  -0.077 -0.160  0.017 -0.066  0.111 0.028  0.205 0.122  0.299 0.216  0.394 0.310  0.488 0.404  0.582 0.499  0.676 0.593  0.770 0.687  0.864 0.781  0.926 0.799  0.926 0.665  0.926 0.532  0.926 0.399  0.926 0.266  0.926 0.133  0.926 0.000  0.941 -0.131  0.984 -0.257  1.026 -0.383  1.068 -0.509  1.110 -0.635  1.152 -0.762  1.194 -0.888  1.236 -1.014
1c#apa#apa10#app1038/c  0.849 0.388  0.849 0.503  0.849 0.619  0.849 0.735  0.849 0.851  0.849 0.966  0.745 0.978  0.629 0.978  0.513 0.978  0.398 0.978  0.282 0.978  0.166 0.978  0.050 0.978  -0.062 0.965  -0.166 0.913  -0.270 0.862  -0.373 0.810  -0.477 0.758  -0.580 0.706  -0.647 0.623  -0.684 0.513  -0.720 0.403  -0.757 0.294  -0.794 0.184  -0.830 0.074  -0.867 -0.036  -0.904 -0.146  -0.884 -0.242  -0.802 -0.324  -0.720 -0.406  -0.638 -0.488  -0.582 -0.588  -0.531 -0.692  -0.479 -0.795  -0.427 -0.899  -0.375 -1.002  -0.314 -1.083  -0.204 -1.046  -0.094 -1.009  0.016 -0.973  0.125 -0.936  0.235 -0.900  0.345 -0.863  0.455 -0.826  0.565 -0.793  0.681 -0.793  0.797 -0.793  0.913 -0.793  1.028 -0.793  1.144 -0.793
1c#apa#apa10#app1038/h  -0.092 1.441  -0.092 1.560  -0.092 1.678  -0.092 1.797  -0.066 1.756  -0.029 1.643  0.009 1.531  0.046 1.418  0.084 1.305  0.089 1.192  0.056 1.078  0.024 0.964  -0.009 0.850  -0.041 0.736  -0.074 0.622  -0.107 0.507  -0.139 0.393  -0.172 0.279  -0.204 0.165  -0.237 0.051  -0.270 -0.063  -0.289 -0.179  -0.289 -0.298  -0.289 -0.416  -0.293 -0.534  -0.330 -0.647  -0.368 -0.760  -0.405 -0.872  -0.443 -0.985  -0.480 -1.097  -0.411 -1.037  -0.327 -0.953  -0.224 -0.914  -0.106 -0.914  -0.034 -0.827  0.032 -0.728  0.098 -0.629  0.164 -0.531  0.229 -0.432  0.295 -0.333  0.410 -0.326  0.497 -0.358  0.497 -0.476  0.497 -0.595  0.497 -0.714  0.497 -0.832  0.497 -0.951  0.497 -1.070  0.497 -1.188  0.497 -1.307
1c#apa#apa10#app1038/a  0.756 0.243  0.627 0.372  0.499 0.500  0.482 0.675  0.482 0.856  0.482 1.038  0.327 1.064  0.145 1.064  -0.036 1.064  -0.218 1.064  -0.393 1.036  -0.555 0.955  -0.718 0.874  -0.880 0.792  -1.009 0.665  -1.138 0.537  -1.158 0.364  -1.158 0.182  -1.158 0.001  -1.158 -0.181  -1.158 -0.362  -1.158 -0.544  -1.053 -0.682  -0.925 -0.810  -0.760 -0.850  -0.580 -0.840  -0.408 -0.783  -0.236 -0.725  -0.063 -0.668  0.109 -0.610  0.243 -0.509  0.324 -0.347  0.405 -0.184  0.482 -0.021  0.482 0.161  0.552 0.313  0.681 0.442  0.703 0.464  0.574 0.335  0.482 0.192  0.482 0.010  0.482 -0.171  0.482 -0.353  0.482 -0.535  0.581 -0.675  0.709 -0.804  0.837 -0.932  0.966 -1.060  1.029 -1.216  1.029 -1.397
1c#apa#apa10#app1038/n  -0.204 0.581  -0.312 0.688  -0.419 0.796  -0.527 0.904  -0.572 0.859  -0.572 0.706  -0.572 0.554  -0.572 0.401  -0.572 0.249  -0.572 0.096  -0.572 -0.056  -0.572 -0.208  -0.572 -0.361  -0.572 -0.513  -0.572 -0.666  -0.572 -0.818  -0.628 -0.947  -0.736 -1.055  -0.844 -1.163  -0.939 -1.240  -0.939 -1.088  -0.939 -0.935  -0.863 -0.814  -0.756 -0.706  -0.648 -0.599  -0.540 -0.491  -0.432 -0.383  -0.324 -0.275  -0.217 -0.168  -0.109 -0.060  -0.001 0.048  0.107 0.156  0.215 0.264  0.322 0.371  0.430 0.479  0.538 0.587  0.646 0.695  0.753 0.803  0.861 0.910  0.969 0.878  1.077 0.771  1.185 0.663  1.267 0.545  1.267 0.392  1.267 0.240  1.267 0.087  1.267 -0.065  1.267 -0.218  1.267 -0.370  1.267 -0.522
1c#apa#apa10#app1038/t  -0.019 1.294  -0.019 1.447  -0.019 1.599  -0.019 1.752  -0.019 1.814  -0.019 1.661  -0.019 1.509  -0.019 1.356  -0.019 1.203  -0.036 1.054  -0.085 0.909  -0.133 0.764  -0.181 0.619  -0.230 0.474  -0.278 0.330  -0.326 0.185  -0.374 0.040  -0.396 -0.109  -0.396 -0.262  -0.396 -0.414  -0.396 -0.567  -0.396 -0.720  -0.396 -0.872  -0.396 -1.025  -0.380 -1.171  -0.272 -1.279  -0.164 -1.387  -0.056 -1.495  -0.019 -1.431  0.027 -1.297  0.135 -1.189  0.243 -1.081  0.351 -0.973  0.485 -0.902  0.622 -0.834  0.716 -0.759  0.608 -0.651  0.500 -0.543  0.392 -0.435  0.284 -0.327  0.176 -0.219  0.068 -0.111  -0.040 -0.003  -0.148 0.104  -0.159 0.212  -0.051 0.320  0.088 0.352  0.241 0.352  0.393 0.352  0.546 0.352
1c#apa#apa10#app1038/e  -0.792 -0.382  -0.907 -0.268  -1.021 -0.153  -1.004 -0.093  -0.842 -0.093  -0.681 -0.093  -0.519 -0.093  -0.357 -0.093  -0.195 -0.093  -0.033 -0.093  0.129 -0.093  0.291 -0.093  0.453 -0.093  0.614 -0.093  0.776 -0.093  0.938 -0.093  1.100 -0.093  1.245 -0.066  1.317 0.079  1.390 0.224  1.462 0.369  1.497 0.507  1.383 0.622  1.268 0.736  1.122 0.774  0.960 0.774  0.798 0.774  0.637 0.770  0.480 0.730  0.323 0.691  0.166 0.652  0.009 0.613  -0.148 0.573  -0.305 0.534  -0.462 0.495  -0.588 0.400  -0.702 0.285  -0.808 0.164  -0.880 0.020  -0.953 -0.125  -1.025 -0.270  -1.061 -0.412  -0.971 -0.547  -0.882 -0.682  -0.792 -0.816  -0.702 -0.951  -0.612 -1.086  -0.522 -1.221  -0.376 -1.249  -0.214 -1.249
1c#apa#apa10#app1038/d  0.016 -0.404  -0.135 -0.404  -0.285 -0.404  -0.436 -0.404  -0.551 -0.492  -0.658 -0.599  -0.764 -0.706  -0.871 -0.813  -0.942 -0.935  -0.942 -1.086  -0.942 -1.237  -0.924 -1.344  -0.817 -1.238  -0.680 -1.203  -0.529 -1.203  -0.425 -1.127  -0.357 -0.992  -0.285 -0.860  -0.195 -0.739  -0.104 -0.618  -0.014 -0.498  0.077 -0.377  0.167 -0.256  0.195 -0.109  0.217 0.040  0.238 0.190  0.260 0.339  0.281 0.489  0.302 0.638  0.324 0.788  0.356 0.934  0.404 1.078  0.452 1.221  0.496 1.365  0.496 1.516  0.496 1.667  0.496 1.526  0.496 1.375  0.496 1.224  0.476 1.075  0.451 0.926  0.426 0.777  0.401 0.628  0.377 0.479  0.352 0.330  0.349 0.182  0.386 0.035  0.422 -0.111  0.459 -0.258  0.496 -0.404
1c#apa#apa10#app1038/l  0.367 0.629  0.367 0.712  0.367 0.796  0.367 0.879  0.367 0.963  0.367 1.046  0.387 1.110  0.471 1.110  0.527 1.137  0.527 1.220  0.512 1.240  0.475 1.165  0.438 1.091  0.400 1.016  0.362 0.942  0.316 0.872  0.269 0.803  0.223 0.733  0.177 0.664  0.130 0.594  0.084 0.525  0.041 0.454  0.015 0.374  -0.011 0.295  -0.038 0.216  -0.064 0.137  -0.091 0.057  -0.117 -0.022  -0.144 -0.101  -0.170 -0.180  -0.196 -0.259  -0.223 -0.339  -0.249 -0.418  -0.275 -0.497  -0.296 -0.578  -0.316 -0.659  -0.336 -0.740  -0.356 -0.821  -0.377 -0.902  -0.397 -0.983  -0.417 -1.064  -0.435 -1.146  -0.435 -1.229  -0.435 -1.313  -0.435 -1.396  -0.424 -1.477  -0.386 -1.552  -0.349 -1.627  -0.312 -1.701  -0.274 -1.776
1c#apa#apa10#app1038/e  -0.283 -0.128  -0.400 -0.012  -0.516 0.105  -0.507 0.095  -0.390 -0.021  -0.270 -0.128  -0.105 -0.128  0.059 -0.128  0.224 -0.128  0.388 -0.128  0.553 -0.128  0.676 -0.027  0.792 0.089  0.908 0.205  1.025 0.322  1.141 0.438  1.147 0.600  1.147 0.765  1.147 0.929  1.070 1.017  0.906 1.017  0.741 1.017  0.577 1.017  0.417 0.977  0.257 0.937  0.098 0.897  -0.062 0.857  -0.222 0.817  -0.381 0.778  -0.541 0.738  -0.630 0.610  -0.704 0.463  -0.777 0.315  -0.851 0.168  -0.856 0.005  -0.856 -0.160  -0.856 -0.324  -0.856 -0.489  -0.856 -0.653  -0.856 -0.818  -0.856 -0.982  -0.703 -1.037  -0.547 -1.089  -0.391 -1.141  -0.235 -1.193  -0.079 -1.245  0.081 -1.272  0.246 -1.272  0.410 -1.272  0.575 -1.272
1c#apa#apa10#app1038/v  -0.891 0.638  -0.891 0.537  -0.891 0.435  -0.891 0.334  -0.891 0.233  -0.891 0.131  -0.891 0.030  -0.891 -0.072  -0.891 -0.173  -0.875 -0.271  -0.830 -0.362  -0.785 -0.453  -0.739 -0.544  -0.694 -0.634  -0.649 -0.725  -0.603 -0.816  -0.535 -0.890  -0.463 -0.962  -0.391 -1.033  -0.319 -1.105  -0.269 -1.048  -0.223 -0.958  -0.178 -0.867  -0.132 -0.776  -0.087 -0.685  -0.042 -0.595  0.007 -0.506  0.064 -0.421  0.120 -0.337  0.176 -0.253  0.232 -0.168  0.289 -0.084  0.345 0.001  0.401 0.085  0.458 0.170  0.514 0.254  0.570 0.338  0.616 0.429  0.662 0.519  0.707 0.610  0.753 0.701  0.798 0.792  0.843 0.882  0.910 0.952  1.000 0.998  1.091 1.043  1.182 1.088  1.273 1.134  1.363 1.179  1.454 1.225
1c#apa#apa10#app1038/e  -0.227 0.223  -0.227 0.373  -0.217 0.499  -0.112 0.393  -0.006 0.287  0.117 0.223  0.266 0.223  0.408 0.256  0.541 0.322  0.675 0.389  0.808 0.456  0.913 0.541  0.913 0.690  0.880 0.826  0.774 0.931  0.669 1.037  0.546 1.037  0.412 0.970  0.279 0.904  0.145 0.837  0.006 0.793  -0.143 0.793  -0.292 0.793  -0.442 0.793  -0.556 0.727  -0.638 0.603  -0.721 0.479  -0.804 0.355  -0.887 0.230  -0.970 0.106  -1.053 -0.018  -1.038 -0.148  -0.972 -0.282  -0.905 -0.415  -0.838 -0.549  -0.756 -0.672  -0.651 -0.777  -0.545 -0.883  -0.413 -0.941  -0.268 -0.977  -0.123 -1.014  0.022 -1.050  0.167 -1.086  0.311 -1.122  0.456 -1.158  0.601 -1.195  0.750 -1.201  0.899 -1.201  1.048 -1.201  1.198 -1.201
1c#apa#apa10#app1038/r  -0.722 0.287  -0.722 0.178  -0.722 0.070  -0.695 -0.033  -0.646 -0.130  -0.598 -0.227  -0.549 -0.324  -0.501 -0.421  -0.457 -0.520  -0.457 -0.628  -0.457 -0.737  -0.457 -0.845  -0.457 -0.954  -0.457 -1.063  -0.457 -1.171  -0.457 -1.280  -0.457 -1.221  -0.457 -1.112  -0.457 -1.003  -0.457 -0.895  -0.457 -0.786  -0.457 -0.678  -0.457 -0.569  -0.435 -0.465  -0.386 -0.368  -0.338 -0.271  -0.289 -0.174  -0.241 -0.077  -0.192 0.020  -0.144 0.118  -0.095 0.215  -0.046 0.312  0.002 0.409  0.051 0.506  0.125 0.578  0.222 0.626  0.319 0.675  0.417 0.724  0.514 0.772  0.611 0.819  0.717 0.846  0.822 0.872  0.928 0.898  1.033 0.925  1.138 0.951  1.244 0.977  1.349 1.004  1.455 1.030  1.560 1.056  1.665 1.083
1c#apa#apa10#app1038/h  0.407 1.434  0.407 1.575  0.407 1.716  0.369 1.622  0.324 1.489  0.279 1.355  0.235 1.221  0.190 1.088  0.146 0.954  0.099 0.822  0.021 0.704  -0.057 0.587  -0.136 0.470  -0.214 0.353  -0.292 0.235  -0.370 0.118  -0.448 0.001  -0.521 -0.119  -0.584 -0.245  -0.647 -0.371  -0.710 -0.497  -0.773 -0.623  -0.803 -0.757  -0.803 -0.898  -0.803 -1.039  -0.803 -1.180  -0.803 -1.254  -0.803 -1.113  -0.793 -0.977  -0.680 -0.892  -0.567 -0.808  -0.454 -0.723  -0.342 -0.639  -0.229 -0.554  -0.116 -0.470  -0.003 -0.385  0.109 -0.301  0.222 -0.216  0.335 -0.132  0.443 -0.042  0.542 0.058  0.642 0.158  0.742 0.192  0.841 0.092  0.941 -0.007  1.011 -0.119  1.011 -0.260  1.011 -0.401  1.011 -0.542  1.011 -0.682
1c#apa#apa10#app1038/e  -0.600 -0.413  -0.600 -0.255  -0.600 -0.259  -0.597 -0.413  -0.439 -0.413  -0.282 -0.413  -0.124 -0.411  0.025 -0.361  0.175 -0.311  0.324 -0.261  0.473 -0.212  0.617 -0.149  0.748 -0.062  0.879 0.026  1.010 0.113  1.141 0.200  1.272 0.288  1.277 0.443  1.277 0.600  1.277 0.758  1.127 0.798  0.974 0.836  0.821 0.874  0.668 0.913  0.515 0.951  0.362 0.989  0.210 0.963  0.057 0.924  -0.096 0.886  -0.249 0.848  -0.402 0.810  -0.555 0.772  -0.678 0.682  -0.790 0.571  -0.835 0.432  -0.835 0.274  -0.835 0.117  -0.835 -0.041  -0.835 -0.199  -0.835 -0.356  -0.790 -0.503  -0.719 -0.644  -0.649 -0.785  -0.578 -0.926  -0.508 -1.067  -0.437 -1.208  -0.367 -1.349  -0.211 -1.352  -0.054 -1.352  0.104 -1.352
