3#apa#apa01#app0191/P  -0.254 0.557  -0.254 0.586  -0.209 0.387  -0.130 0.202  -0.040 0.005  -0.006 -0.205  -0.006 -0.423  0.031 -0.633  0.118 -0.830  0.118 -1.048  0.118 -1.266  0.118 -1.485  0.145 -1.675  0.172 -1.576  0.046 -1.398  -0.080 -1.220  -0.205 -1.042  -0.331 -0.864  -0.457 -0.686  -0.583 -0.507  -0.708 -0.329  -0.834 -0.151  -0.960 0.027  -1.086 0.205  -1.212 0.383  -1.088 0.433  -0.908 0.523  -0.703 0.557  -0.609 0.681  -0.502 0.792  -0.378 0.886  -0.203 0.929  -0.027 1.031  0.182 1.053  0.366 1.087  0.494 1.177  0.712 1.177  0.806 1.053  0.900 0.929  0.986 0.796  1.058 0.608  1.110 0.411  1.028 0.227  0.962 0.036  0.807 -0.118  0.618 -0.187  0.490 -0.277  0.306 -0.311  0.088 -0.311  -0.006 -0.187
3#apa#apa01#app0191/l  -0.351 1.587  -0.351 1.513  -0.351 1.439  -0.351 1.365  -0.351 1.292  -0.280 1.288  -0.206 1.288  -0.201 1.219  -0.201 1.145  -0.201 1.071  -0.201 0.998  -0.155 0.943  -0.102 0.891  -0.052 0.838  -0.052 0.764  -0.052 0.690  -0.052 0.616  -0.052 0.542  -0.052 0.468  -0.052 0.395  -0.001 0.342  0.051 0.289  0.097 0.235  0.097 0.161  0.097 0.087  0.097 0.013  0.097 -0.061  0.097 -0.135  0.097 -0.209  0.097 -0.282  0.097 -0.356  0.097 -0.430  0.097 -0.504  0.097 -0.578  0.097 -0.652  0.097 -0.726  0.097 -0.800  0.097 -0.873  0.097 -0.947  0.097 -1.021  0.097 -1.095  0.097 -1.169  0.097 -1.243  0.144 -1.297  0.197 -1.350  0.247 -1.403  0.247 -1.477  0.247 -1.550  0.247 -1.624  0.247 -1.698
3#apa#apa01#app0191/a  0.167 0.306  0.167 0.464  0.167 0.622  0.108 0.755  -0.003 0.867  -0.151 0.891  -0.309 0.891  -0.467 0.891  -0.625 0.891  -0.783 0.891  -0.808 0.759  -0.903 0.696  -1.003 0.638  -1.018 0.486  -1.130 0.375  -1.198 0.245  -1.198 0.087  -1.198 -0.071  -1.198 -0.229  -1.198 -0.386  -1.129 -0.475  -0.971 -0.475  -0.813 -0.475  -0.655 -0.475  -0.497 -0.475  -0.339 -0.475  -0.193 -0.445  -0.082 -0.333  0.054 -0.279  0.167 -0.235  0.175 -0.084  0.333 -0.084  0.363 0.044  0.363 0.202  0.363 0.252  0.374 0.099  0.486 -0.012  0.558 -0.141  0.577 -0.279  0.735 -0.279  0.753 -0.419  0.855 -0.475  1.013 -0.475  1.143 -0.503  1.143 -0.661  1.292 -0.670  1.450 -0.670  1.608 -0.670  1.728 -0.632  1.728 -0.475
3#apa#apa01#app0191/s  -0.448 1.170  -0.543 1.075  -0.638 0.980  -0.733 0.885  -0.836 0.811  -0.970 0.811  -0.986 0.693  -1.059 0.632  -1.166 0.604  -1.166 0.470  -1.049 0.453  -0.914 0.453  -0.780 0.453  -0.646 0.453  -0.512 0.453  -0.378 0.453  -0.243 0.453  -0.109 0.453  0.025 0.453  0.159 0.453  0.293 0.453  0.428 0.453  0.562 0.453  0.696 0.453  0.807 0.430  0.807 0.296  0.919 0.273  0.987 0.207  0.987 0.073  0.987 -0.062  0.987 -0.196  0.987 -0.330  0.987 -0.464  0.987 -0.598  0.878 -0.624  0.807 -0.687  0.789 -0.803  0.655 -0.803  0.552 -0.879  0.457 -0.974  0.327 -0.982  0.192 -0.982  0.058 -0.982  -0.076 -0.982  -0.210 -0.982  -0.344 -0.982  -0.470 -0.961  -0.565 -0.866  -0.673 -0.803  -0.807 -0.803
3#apa#apa01#app0191/s  -0.429 1.458  -0.429 1.329  -0.476 1.220  -0.567 1.128  -0.659 1.037  -0.750 0.946  -0.811 0.842  -0.811 0.713  -0.702 0.693  -0.573 0.693  -0.444 0.693  -0.315 0.693  -0.186 0.693  -0.057 0.693  0.072 0.693  0.201 0.693  0.330 0.693  0.459 0.693  0.527 0.632  0.527 0.503  0.655 0.502  0.719 0.436  0.721 0.308  0.812 0.217  0.904 0.126  0.910 -0.001  0.910 -0.130  0.910 -0.259  0.821 -0.351  0.730 -0.442  0.719 -0.567  0.668 -0.645  0.539 -0.645  0.444 -0.728  0.353 -0.820  0.336 -0.942  0.293 -1.027  0.164 -1.027  0.035 -1.027  -0.094 -1.027  -0.223 -1.027  -0.352 -1.027  -0.481 -1.027  -0.610 -1.027  -0.620 -0.908  -0.677 -0.836  -0.806 -0.836  -0.811 -0.712  -0.873 -0.645  -1.002 -0.645
3#apa#apa01#app0191/p  -0.492 0.857  -0.492 0.635  -0.492 0.413  -0.467 0.201  -0.334 0.034  -0.334 -0.188  -0.331 -0.408  -0.177 -0.566  -0.177 -0.788  -0.177 -1.010  -0.177 -1.232  -0.177 -1.454  -0.019 -1.518  -0.019 -1.740  -0.019 -1.686  -0.019 -1.464  -0.096 -1.274  -0.177 -1.085  -0.177 -0.863  -0.233 -0.664  -0.334 -0.484  -0.334 -0.262  -0.334 -0.040  -0.414 0.148  -0.492 0.338  -0.473 0.542  -0.334 0.624  -0.334 0.846  -0.334 1.068  -0.251 1.256  -0.060 1.330  0.162 1.330  0.384 1.330  0.606 1.330  0.811 1.289  0.968 1.132  1.085 0.958  1.085 0.736  1.085 0.514  1.020 0.319  0.863 0.162  0.706 0.005  0.523 -0.089  0.346 -0.197  0.145 -0.247  -0.077 -0.247  -0.177 -0.124  -0.334 -0.060  -0.428 0.068  -0.492 0.226
3#apa#apa01#app0191/l  -0.681 1.443  -0.603 1.443  -0.539 1.428  -0.539 1.349  -0.518 1.279  -0.462 1.223  -0.407 1.168  -0.332 1.158  -0.254 1.157  -0.254 1.078  -0.243 1.004  -0.187 0.949  -0.132 0.893  -0.112 0.823  -0.112 0.744  -0.112 0.665  -0.112 0.587  -0.112 0.508  -0.112 0.429  -0.112 0.351  -0.080 0.303  -0.002 0.303  0.031 0.257  0.031 0.178  0.031 0.100  0.031 0.021  0.031 -0.058  0.031 -0.136  0.031 -0.215  0.050 -0.286  0.106 -0.341  0.161 -0.397  0.173 -0.471  0.173 -0.549  0.173 -0.628  0.173 -0.707  0.173 -0.785  0.193 -0.856  0.249 -0.911  0.304 -0.967  0.315 -1.041  0.315 -1.120  0.315 -1.198  0.315 -1.277  0.315 -1.356  0.336 -1.426  0.392 -1.481  0.447 -1.537  0.522 -1.548  0.600 -1.548
3#apa#apa01#app0191/a  0.027 -0.201  0.215 -0.201  0.240 -0.038  0.240 0.151  0.240 0.340  0.240 0.528  0.196 0.698  0.062 0.831  -0.111 0.867  -0.300 0.867  -0.489 0.867  -0.677 0.867  -0.866 0.867  -1.042 0.855  -1.042 0.666  -1.218 0.654  -1.255 0.503  -1.255 0.314  -1.255 0.126  -1.255 -0.063  -1.255 -0.251  -1.230 -0.415  -1.042 -0.415  -0.853 -0.415  -0.828 -0.578  -0.690 -0.628  -0.501 -0.628  -0.338 -0.566  -0.205 -0.433  -0.024 -0.415  0.027 -0.277  0.140 -0.201  0.328 -0.201  0.454 -0.138  0.454 0.050  0.454 0.239  0.454 0.427  0.630 0.440  0.774 0.333  0.881 0.189  0.881 0.000  0.881 -0.188  1.057 -0.201  1.095 -0.352  1.095 -0.540  1.195 -0.628  1.309 -0.704  1.309 -0.892  1.334 -1.056  1.522 -1.056
3#apa#apa01#app0191/t  -0.680 1.917  -0.486 1.917  -0.483 1.725  -0.483 1.531  -0.297 1.522  -0.285 1.339  -0.285 1.144  -0.285 0.950  -0.207 0.774  -0.120 0.600  -0.088 0.413  0.032 0.337  0.110 0.221  0.110 0.026  0.110 -0.168  0.217 -0.255  0.381 -0.329  0.505 -0.473  0.517 -0.663  0.655 -0.800  0.702 -0.975  0.702 -1.170  0.824 -1.243  0.900 -1.361  0.900 -1.325  0.812 -1.172  0.660 -1.051  0.508 -0.929  0.356 -0.808  0.204 -0.686  0.052 -0.565  -0.100 -0.443  -0.252 -0.321  -0.404 -0.200  -0.556 -0.078  -0.708 0.043  -0.860 0.165  -1.012 0.286  -1.075 0.224  -0.965 0.140  -0.770 0.140  -0.606 0.065  -0.462 -0.058  -0.268 -0.058  -0.073 -0.058  0.121 -0.058  0.316 -0.058  0.511 -0.058  0.705 -0.058  0.900 -0.058
3#apa#apa01#app0191/e  -0.569 -0.143  -0.398 -0.143  -0.226 -0.143  -0.054 -0.143  0.105 -0.112  0.226 0.010  0.288 0.156  0.329 0.286  0.501 0.286  0.503 0.456  0.503 0.628  0.503 0.800  0.461 0.929  0.289 0.929  0.288 1.100  0.160 1.144  -0.012 1.144  -0.171 1.113  -0.292 0.992  -0.438 0.929  -0.569 0.889  -0.569 0.717  -0.739 0.715  -0.784 0.588  -0.784 0.416  -0.825 0.286  -0.997 0.286  -0.998 0.116  -0.998 -0.056  -0.998 -0.228  -0.956 -0.357  -0.784 -0.357  -0.784 -0.528  -0.655 -0.571  -0.569 -0.657  -0.526 -0.786  -0.354 -0.786  -0.183 -0.786  -0.011 -0.786  0.161 -0.786  0.333 -0.786  0.504 -0.786  0.676 -0.786  0.848 -0.786  1.019 -0.786  1.191 -0.786  1.363 -0.786  1.534 -0.786  1.668 -0.693  1.789 -0.571
3#apa#apa01#app0191/s  0.206 0.808  0.206 0.947  0.071 0.951  -0.067 0.951  -0.206 0.951  -0.309 0.866  -0.424 0.808  -0.563 0.808  -0.702 0.808  -0.828 0.777  -0.926 0.679  -1.059 0.665  -1.197 0.665  -1.226 0.555  -1.120 0.522  -0.981 0.522  -0.843 0.522  -0.704 0.522  -0.565 0.522  -0.426 0.522  -0.288 0.522  -0.149 0.522  -0.031 0.472  0.069 0.379  0.207 0.377  0.305 0.279  0.426 0.235  0.492 0.163  0.560 0.092  0.635 0.028  0.677 -0.093  0.775 -0.191  0.778 -0.329  0.870 -0.429  0.922 -0.547  0.922 -0.686  0.922 -0.824  0.868 -0.910  0.778 -0.959  0.734 -1.053  0.595 -1.053  0.492 -1.089  0.461 -1.196  0.322 -1.196  0.184 -1.196  0.045 -1.196  -0.094 -1.196  -0.224 -1.187  -0.228 -1.053  -0.367 -1.053
3#apa#apa01#app0191/w  -1.542 0.512  -1.403 0.505  -1.303 0.405  -1.278 0.273  -1.278 0.131  -1.278 -0.011  -1.181 -0.113  -1.146 -0.241  -1.074 -0.353  -1.014 -0.470  -0.946 -0.544  -0.882 -0.622  -0.794 -0.676  -0.751 -0.577  -0.751 -0.435  -0.632 -0.412  -0.619 -0.283  -0.520 -0.182  -0.420 -0.081  -0.320 0.019  -0.219 0.120  -0.119 0.220  -0.091 0.350  0.022 0.380  0.041 0.258  0.042 0.116  0.142 0.016  0.173 -0.113  0.173 -0.255  0.291 -0.280  0.305 -0.408  0.403 -0.509  0.531 -0.544  0.673 -0.544  0.815 -0.544  0.833 -0.420  0.965 -0.410  0.965 -0.268  0.965 -0.126  0.997 -0.016  1.097 0.026  1.097 0.168  1.097 0.310  1.097 0.452  1.097 0.594  1.097 0.736  1.097 0.878  1.097 1.020  1.219 1.040  1.229 0.908
3#apa#apa01#app0191/e  -0.914 -0.517  -0.737 -0.517  -0.561 -0.517  -0.385 -0.517  -0.384 -0.341  -0.296 -0.253  -0.120 -0.253  0.005 -0.128  0.130 -0.003  0.254 0.121  0.379 0.246  0.543 0.277  0.674 0.321  0.674 0.498  0.674 0.674  0.674 0.851  0.674 1.027  0.542 1.071  0.365 1.071  0.189 1.071  0.012 1.071  -0.164 1.071  -0.340 1.071  -0.517 1.071  -0.680 1.040  -0.805 0.915  -0.914 0.783  -0.914 0.607  -0.914 0.431  -0.914 0.254  -0.914 0.078  -0.914 -0.099  -0.898 -0.269  -0.773 -0.393  -0.648 -0.517  -0.472 -0.517  -0.384 -0.606  -0.384 -0.782  -0.207 -0.782  -0.031 -0.782  0.146 -0.782  0.322 -0.782  0.498 -0.782  0.675 -0.782  0.851 -0.782  1.028 -0.782  1.204 -0.782  1.380 -0.782  1.557 -0.782  1.733 -0.782
3#apa#apa01#app0191/r  -0.690 0.532  -0.690 0.389  -0.640 0.295  -0.497 0.295  -0.453 0.195  -0.453 0.051  -0.453 -0.093  -0.413 -0.220  -0.311 -0.321  -0.215 -0.425  -0.215 -0.569  -0.215 -0.713  -0.215 -0.857  -0.215 -1.000  -0.205 -1.140  -0.104 -1.242  -0.002 -1.343  0.022 -1.477  0.022 -1.589  0.022 -1.446  0.022 -1.302  0.022 -1.158  0.022 -1.014  0.022 -0.871  0.022 -0.727  -0.029 -0.604  -0.130 -0.503  -0.215 -0.394  -0.215 -0.250  -0.215 -0.107  -0.215 0.037  -0.215 0.181  -0.215 0.325  -0.215 0.468  -0.215 0.612  -0.215 0.756  -0.086 0.770  0.022 0.806  0.022 0.949  0.108 1.007  0.252 1.007  0.356 1.103  0.457 1.205  0.585 1.245  0.728 1.245  0.872 1.245  1.016 1.245  1.159 1.245  1.209 1.151  1.209 1.007
3#apa#apa01#app0191/e  -0.487 -0.108  -0.340 -0.108  -0.194 -0.108  -0.047 -0.108  0.100 -0.108  0.128 0.010  0.128 0.157  0.128 0.303  0.128 0.450  0.128 0.597  0.128 0.743  0.128 0.890  0.128 1.037  0.065 1.121  -0.081 1.121  -0.228 1.121  -0.375 1.121  -0.487 1.086  -0.487 0.940  -0.610 0.916  -0.692 0.851  -0.698 0.711  -0.845 0.711  -0.897 0.616  -0.897 0.470  -0.897 0.323  -0.897 0.176  -0.850 0.049  -0.746 -0.054  -0.692 -0.179  -0.683 -0.322  -0.580 -0.425  -0.472 -0.518  -0.325 -0.518  -0.209 -0.592  -0.105 -0.695  0.030 -0.723  0.177 -0.723  0.323 -0.723  0.430 -0.820  0.533 -0.924  0.678 -0.928  0.825 -0.928  0.972 -0.928  1.118 -0.928  1.265 -0.928  1.396 -0.889  1.499 -0.786  1.620 -0.723  1.767 -0.723
