3#apa#apa13#app1345/o  -0.419 0.931  -0.533 0.910  -0.575 0.817  -0.692 0.772  -0.788 0.676  -0.875 0.577  -0.890 0.445  -0.950 0.324  -0.990 0.198  -0.990 0.063  -0.990 -0.073  -0.990 -0.208  -0.990 -0.343  -0.990 -0.479  -0.990 -0.614  -0.932 -0.725  -0.836 -0.821  -0.732 -0.896  -0.596 -0.896  -0.461 -0.896  -0.326 -0.896  -0.190 -0.896  -0.057 -0.886  0.064 -0.826  0.189 -0.782  0.324 -0.782  0.436 -0.726  0.542 -0.644  0.663 -0.583  0.771 -0.505  0.867 -0.409  0.963 -0.314  1.059 -0.218  1.122 -0.099  1.180 0.023  1.180 0.158  1.180 0.294  1.180 0.429  1.116 0.538  1.002 0.588  0.866 0.588  0.731 0.588  0.633 0.679  0.508 0.703  0.372 0.703  0.237 0.703  0.102 0.703  -0.034 0.703  -0.169 0.703  -0.305 0.703
3#apa#apa13#app1345/P  -0.455 0.124  -0.455 -0.035  -0.371 -0.159  -0.371 -0.319  -0.371 -0.478  -0.371 -0.637  -0.333 -0.787  -0.288 -0.935  -0.288 -1.094  -0.288 -1.253  -0.288 -1.412  -0.209 -1.539  -0.239 -1.396  -0.275 -1.241  -0.311 -1.086  -0.348 -0.931  -0.384 -0.776  -0.420 -0.621  -0.456 -0.466  -0.492 -0.311  -0.528 -0.156  -0.564 -0.001  -0.601 0.153  -0.637 0.308  -0.673 0.463  -0.709 0.618  -0.745 0.773  -0.781 0.928  -0.660 0.958  -0.501 0.958  -0.342 0.958  -0.183 0.958  -0.024 0.958  0.135 0.958  0.294 0.958  0.453 0.958  0.605 0.928  0.751 0.865  0.905 0.827  1.056 0.782  1.168 0.669  1.213 0.529  1.213 0.370  1.213 0.211  1.162 0.073  1.025 0.019  0.913 -0.093  0.773 -0.162  0.622 -0.209  0.463 -0.209
3#apa#apa13#app1345/O  -0.714 0.581  -0.803 0.492  -0.892 0.403  -0.966 0.308  -0.966 0.182  -1.040 0.087  -1.129 -0.002  -1.133 -0.125  -1.133 -0.251  -1.133 -0.377  -1.133 -0.503  -1.049 -0.593  -0.958 -0.677  -0.832 -0.677  -0.733 -0.741  -0.615 -0.760  -0.490 -0.760  -0.364 -0.760  -0.238 -0.760  -0.112 -0.760  0.013 -0.760  0.134 -0.729  0.253 -0.689  0.377 -0.677  0.498 -0.657  0.610 -0.601  0.723 -0.545  0.827 -0.477  0.916 -0.388  1.005 -0.299  1.093 -0.210  1.130 -0.100  1.130 0.026  1.130 0.152  1.108 0.268  1.046 0.368  1.046 0.494  0.937 0.552  0.836 0.624  0.734 0.695  0.621 0.751  0.509 0.808  0.397 0.864  0.283 0.916  0.158 0.916  0.032 0.916  -0.093 0.906  -0.216 0.882  -0.339 0.857  -0.463 0.832
3#apa#apa13#app1345/W  -1.330 1.113  -1.330 0.845  -1.249 0.596  -1.233 0.331  -1.140 0.081  -1.005 -0.141  -0.908 -0.368  -0.718 -0.557  -0.500 -0.677  -0.360 -0.489  -0.261 -0.241  -0.161 0.008  -0.062 0.256  0.038 0.505  -0.028 0.398  -0.209 0.209  -0.429 0.061  -0.571 -0.162  -0.730 -0.372  -0.902 -0.574  -0.923 -0.833  -0.875 -0.749  -0.804 -0.491  -0.732 -0.233  -0.661 0.025  -0.589 0.283  -0.517 0.541  -0.435 0.311  -0.273 0.144  -0.032 0.056  0.120 -0.160  0.348 -0.240  0.579 -0.371  0.819 -0.491  1.042 -0.609  1.255 -0.740  1.355 -0.599  1.355 -0.331  1.355 -0.063  1.355 0.205  1.355 0.472  1.355 0.740  1.355 1.008  1.184 0.857  1.036 0.634  0.887 0.411  0.704 0.218  0.595 -0.027  0.498 -0.275  0.378 -0.515
3#apa#apa13#app1345/*  -0.018 1.257  0.087 1.046  0.019 0.807  -0.018 0.561  -0.018 0.306  -0.018 0.052  -0.018 -0.203  -0.018 -0.458  0.020 -0.704  0.160 -0.912  0.245 -1.013  0.035 -0.869  -0.175 -0.725  -0.386 -0.582  -0.596 -0.438  -0.806 -0.294  -1.016 -0.150  -1.226 -0.006  -1.437 0.138  -1.647 0.281  -1.497 0.314  -1.242 0.314  -0.988 0.314  -0.776 0.209  -0.522 0.209  -0.311 0.097  -0.070 0.017  0.172 -0.043  0.412 -0.105  0.667 -0.105  0.878 -0.210  1.133 -0.210  1.275 0.000  1.416 0.212  1.558 0.424  1.699 0.636  1.666 0.635  1.424 0.603  1.203 0.523  0.968 0.440  0.740 0.326  0.512 0.212  0.287 0.095  0.107 -0.086  -0.135 -0.117  -0.315 -0.298  -0.538 -0.418  -0.750 -0.559  -0.970 -0.686  -1.170 -0.839
3#apa#apa13#app1345/,  0.257 1.690  0.257 1.617  0.257 1.545  0.257 1.472  0.257 1.400  0.257 1.327  0.257 1.255  0.257 1.182  0.257 1.110  0.257 1.037  0.257 0.965  0.257 0.892  0.257 0.820  0.257 0.747  0.257 0.675  0.257 0.602  0.257 0.530  0.257 0.457  0.257 0.385  0.257 0.312  0.212 0.259  0.161 0.207  0.110 0.156  0.103 0.086  0.103 0.014  0.079 -0.053  0.046 -0.118  0.014 -0.183  -0.018 -0.247  -0.051 -0.312  -0.051 -0.385  -0.051 -0.457  -0.051 -0.530  -0.051 -0.602  -0.089 -0.659  -0.140 -0.710  -0.192 -0.761  -0.222 -0.826  -0.245 -0.894  -0.268 -0.963  -0.291 -1.032  -0.314 -1.101  -0.337 -1.169  -0.360 -1.238  -0.411 -1.289  -0.462 -1.340  -0.514 -1.392  -0.565 -1.443  -0.616 -1.494  -0.667 -1.545
3#apa#apa13#app1345/*  0.121 1.178  0.085 0.939  0.028 0.702  0.028 0.458  0.028 0.214  0.028 -0.030  0.028 -0.274  0.028 -0.518  0.148 -0.712  0.282 -0.913  0.160 -0.852  -0.033 -0.704  -0.227 -0.556  -0.421 -0.408  -0.615 -0.259  -0.809 -0.111  -1.002 0.037  -1.196 0.185  -1.133 0.246  -0.891 0.240  -0.667 0.153  -0.444 0.063  -0.201 0.060  0.021 -0.030  0.265 -0.033  0.509 -0.033  0.735 -0.107  0.974 -0.126  1.218 -0.126  1.316 0.083  1.399 0.312  1.482 0.541  1.566 0.771  1.505 0.899  1.278 0.825  1.077 0.712  0.847 0.656  0.639 0.529  0.431 0.401  0.220 0.281  0.017 0.145  -0.186 0.010  -0.389 -0.125  -0.592 -0.261  -0.795 -0.396  -1.004 -0.522  -1.213 -0.648  -1.397 -0.806  -1.598 -0.939  -1.649 -1.151
3#apa#apa13#app1345/K  -0.584 1.647  -0.584 1.429  -0.584 1.211  -0.574 0.995  -0.505 0.788  -0.496 0.572  -0.496 0.355  -0.496 0.137  -0.496 -0.081  -0.470 -0.295  -0.407 -0.502  -0.407 -0.720  -0.318 -0.849  -0.222 -1.002  -0.115 -0.812  -0.008 -0.623  0.099 -0.433  0.207 -0.243  0.314 -0.054  0.421 0.136  0.528 0.325  0.635 0.515  0.742 0.704  0.849 0.894  0.857 1.026  0.641 1.018  0.454 0.910  0.262 0.848  0.062 0.772  -0.133 0.675  -0.328 0.577  -0.522 0.480  -0.708 0.370  -0.799 0.190  -0.939 0.030  -0.939 -0.188  -0.928 -0.394  -0.751 -0.493  -0.597 -0.647  -0.387 -0.670  -0.188 -0.749  0.026 -0.775  0.233 -0.837  0.451 -0.837  0.669 -0.837  0.887 -0.837  1.104 -0.839  1.301 -0.926  1.516 -0.946  1.722 -1.015
3#apa#apa13#app1345/E  -0.772 0.987  -0.676 0.822  -0.696 0.566  -0.772 0.324  -0.867 0.103  -0.935 -0.130  -0.962 -0.379  -0.962 -0.640  -0.962 -0.900  -0.793 -1.091  -0.581 -1.207  -0.324 -1.185  -0.075 -1.112  0.185 -1.111  0.424 -1.017  0.684 -1.017  0.945 -1.017  1.112 -1.099  0.881 -0.977  0.650 -0.856  0.420 -0.735  0.189 -0.613  -0.041 -0.492  -0.272 -0.370  -0.503 -0.249  -0.612 -0.158  -0.458 -0.035  -0.234 0.085  0.017 0.141  0.258 0.224  0.518 0.224  0.779 0.224  1.039 0.224  1.167 0.242  0.916 0.310  0.664 0.379  0.413 0.447  0.162 0.516  -0.090 0.585  -0.341 0.653  -0.593 0.722  -0.844 0.790  -0.635 0.817  -0.392 0.892  -0.139 0.922  0.106 0.987  0.367 0.987  0.620 1.049  0.876 1.083  1.137 1.083
3#apa#apa13#app1345/R  -0.268 1.098  -0.268 0.871  -0.268 0.644  -0.331 0.444  -0.386 0.240  -0.386 0.013  -0.386 -0.214  -0.386 -0.441  -0.337 -0.656  -0.268 -0.867  -0.268 -1.094  -0.191 -1.303  -0.186 -1.257  -0.249 -1.039  -0.311 -0.820  -0.373 -0.602  -0.436 -0.384  -0.498 -0.166  -0.560 0.052  -0.623 0.270  -0.685 0.489  -0.747 0.707  -0.810 0.925  -0.826 1.131  -0.635 1.216  -0.408 1.216  -0.181 1.216  0.046 1.216  0.273 1.216  0.442 1.158  0.560 0.980  0.560 0.754  0.560 0.527  0.497 0.326  0.337 0.165  0.116 0.152  -0.053 0.292  -0.086 0.324  -0.031 0.120  0.068 -0.066  0.169 -0.203  0.205 -0.393  0.333 -0.567  0.494 -0.728  0.654 -0.888  0.850 -0.999  1.024 -1.140  1.219 -1.217  1.409 -1.337  1.625 -1.386
3#apa#apa13#app1345/P  -0.426 0.828  -0.426 0.635  -0.426 0.442  -0.426 0.249  -0.325 0.098  -0.325 -0.095  -0.325 -0.288  -0.325 -0.481  -0.223 -0.632  -0.223 -0.825  -0.223 -1.018  -0.223 -1.211  -0.223 -1.404  -0.249 -1.416  -0.303 -1.231  -0.357 -1.046  -0.411 -0.860  -0.465 -0.675  -0.519 -0.490  -0.573 -0.304  -0.627 -0.119  -0.681 0.066  -0.735 0.251  -0.789 0.437  -0.843 0.622  -0.897 0.807  -0.886 0.976  -0.716 1.031  -0.523 1.031  -0.330 1.031  -0.137 1.031  0.048 0.996  0.225 0.929  0.418 0.929  0.609 0.919  0.781 0.833  0.954 0.746  1.099 0.622  1.235 0.485  1.298 0.318  1.298 0.125  1.298 -0.068  1.174 -0.209  1.037 -0.346  0.901 -0.482  0.730 -0.572  0.545 -0.607  0.361 -0.668  0.173 -0.693  -0.020 -0.693
3#apa#apa13#app1345/L  -0.147 1.590  -0.147 1.498  -0.147 1.405  -0.173 1.318  -0.214 1.235  -0.256 1.152  -0.321 1.086  -0.380 1.015  -0.421 0.932  -0.463 0.849  -0.478 0.760  -0.507 0.679  -0.572 0.614  -0.589 0.528  -0.589 0.435  -0.613 0.352  -0.678 0.286  -0.699 0.202  -0.699 0.109  -0.699 0.017  -0.699 -0.076  -0.699 -0.169  -0.699 -0.262  -0.699 -0.354  -0.648 -0.396  -0.565 -0.420  -0.499 -0.486  -0.415 -0.507  -0.323 -0.507  -0.230 -0.507  -0.137 -0.507  -0.044 -0.507  0.048 -0.507  0.134 -0.537  0.217 -0.578  0.301 -0.617  0.394 -0.617  0.486 -0.617  0.579 -0.617  0.672 -0.617  0.765 -0.617  0.857 -0.617  0.950 -0.617  1.043 -0.617  1.136 -0.617  1.229 -0.617  1.311 -0.641  1.377 -0.707  1.443 -0.772  1.508 -0.838
3#apa#apa13#app1345/U  -1.271 0.957  -1.271 0.793  -1.271 0.628  -1.271 0.464  -1.271 0.299  -1.249 0.140  -1.175 -0.008  -1.151 -0.166  -1.077 -0.314  -0.977 -0.441  -0.860 -0.558  -0.819 -0.699  -0.673 -0.745  -0.535 -0.809  -0.371 -0.809  -0.206 -0.809  -0.078 -0.721  0.071 -0.683  0.187 -0.566  0.303 -0.450  0.407 -0.324  0.481 -0.177  0.496 -0.016  0.496 0.149  0.496 0.313  0.496 0.478  0.496 0.642  0.496 0.807  0.408 0.935  0.385 1.090  0.385 1.255  0.275 1.268  0.242 1.112  0.168 0.964  0.165 0.801  0.165 0.636  0.165 0.471  0.165 0.307  0.233 0.158  0.275 0.004  0.285 -0.157  0.401 -0.273  0.518 -0.390  0.624 -0.513  0.698 -0.661  0.837 -0.704  0.985 -0.778  1.114 -0.876  1.231 -0.992  1.379 -1.030
3#apa#apa13#app1345/N  -0.731 0.801  -0.731 0.563  -0.819 0.361  -0.819 0.122  -0.819 -0.116  -0.819 -0.355  -0.819 -0.593  -0.757 -0.817  -0.731 -1.049  -0.654 -1.067  -0.693 -0.832  -0.732 -0.597  -0.772 -0.361  -0.811 -0.126  -0.850 0.109  -0.889 0.344  -0.928 0.579  -0.968 0.815  -0.995 0.903  -0.907 0.701  -0.781 0.537  -0.597 0.404  -0.395 0.282  -0.205 0.143  0.008 0.036  0.198 -0.103  0.411 -0.210  0.625 -0.316  0.789 -0.481  0.938 -0.595  0.893 -0.361  0.848 -0.126  0.804 0.108  0.759 0.342  0.714 0.576  0.670 0.811  0.625 1.045  0.588 1.202  0.676 1.051  0.676 0.813  0.764 0.611  0.764 0.372  0.764 0.134  0.764 -0.105  0.764 -0.343  0.764 -0.582  0.776 -0.818  0.851 -1.044  0.852 -1.283  0.940 -1.485
3#apa#apa13#app1345/K  -0.645 1.592  -0.645 1.365  -0.744 1.180  -0.749 0.956  -0.749 0.729  -0.749 0.503  -0.702 0.296  -0.645 0.093  -0.618 -0.127  -0.541 -0.335  -0.462 -0.543  -0.390 -0.744  -0.332 -0.946  -0.228 -1.130  -0.150 -1.104  -0.023 -0.918  0.105 -0.731  0.233 -0.544  0.361 -0.357  0.489 -0.170  0.617 0.017  0.744 0.203  0.872 0.390  1.000 0.577  1.131 0.759  1.212 0.880  1.021 0.967  0.797 0.960  0.593 0.863  0.370 0.850  0.172 0.743  -0.018 0.655  -0.209 0.570  -0.379 0.423  -0.587 0.343  -0.749 0.217  -0.853 0.095  -0.957 -0.088  -0.927 -0.296  -0.730 -0.404  -0.539 -0.490  -0.314 -0.499  -0.112 -0.600  0.091 -0.698  0.315 -0.709  0.520 -0.802  0.731 -0.865  0.908 -1.002  1.130 -1.013  1.333 -1.114
3#apa#apa13#app1345/*  -0.079 1.157  0.010 0.955  0.035 0.727  0.035 0.488  0.035 0.249  0.035 0.011  0.035 -0.228  0.035 -0.467  0.035 -0.705  0.035 -0.944  -0.025 -1.066  -0.220 -0.927  -0.414 -0.789  -0.608 -0.650  -0.802 -0.511  -0.996 -0.373  -1.191 -0.234  -1.385 -0.095  -1.518 0.024  -1.326 -0.089  -1.088 -0.093  -0.861 -0.168  -0.628 -0.203  -0.390 -0.203  -0.151 -0.203  0.088 -0.203  0.326 -0.203  0.565 -0.203  0.804 -0.203  1.042 -0.203  1.281 -0.203  1.520 -0.203  1.581 -0.071  1.513 0.158  1.444 0.386  1.376 0.615  1.307 0.844  1.137 0.915  0.927 0.803  0.729 0.704  0.523 0.626  0.309 0.531  0.086 0.446  -0.128 0.339  -0.341 0.233  -0.552 0.122  -0.743 -0.021  -0.934 -0.164  -1.142 -0.281  -1.325 -0.429
3#apa#apa13#app1345/.  1.334 0.767  1.248 0.767  1.163 0.767  1.077 0.767  0.991 0.767  0.905 0.767  0.820 0.767  0.734 0.767  0.648 0.767  0.562 0.767  0.477 0.767  0.391 0.767  0.305 0.767  0.220 0.767  0.134 0.767  0.048 0.767  -0.038 0.767  -0.123 0.767  -0.209 0.767  -0.295 0.767  -0.346 0.732  -0.346 0.647  -0.346 0.561  -0.346 0.475  -0.346 0.389  -0.346 0.304  -0.346 0.218  -0.346 0.132  -0.346 0.046  -0.346 -0.039  -0.346 -0.125  -0.346 -0.211  -0.346 -0.297  -0.346 -0.382  -0.346 -0.468  -0.346 -0.554  -0.346 -0.640  -0.346 -0.725  -0.346 -0.811  -0.346 -0.897  -0.346 -0.983  -0.346 -1.068  -0.346 -1.154  -0.346 -1.240  -0.346 -1.326  -0.346 -1.411  -0.346 -1.497  -0.346 -1.583  -0.346 -1.669  -0.346 -1.754
