2#tos#f1#f1002058/\"  -0.658 0.234  -0.798 0.234  -0.938 0.234  -0.977 0.335  -1.005 0.447  -1.084 0.385  -1.084 0.245  -1.084 0.105  -1.084 -0.035  -1.084 -0.175  -1.084 -0.316  -1.084 -0.456  -1.084 -0.596  -1.084 -0.736  -1.084 -0.876  -1.022 -0.891  -0.911 -0.805  -0.800 -0.719  -0.689 -0.634  -0.578 -0.548  -0.467 -0.462  -0.356 -0.376  -0.246 -0.291  -0.135 -0.205  -0.024 -0.119  0.087 -0.034  0.198 0.052  0.309 0.138  0.420 0.224  0.531 0.309  0.642 0.395  0.753 0.481  0.864 0.567  0.975 0.652  1.086 0.738  1.197 0.824  1.261 0.814  1.261 0.674  1.261 0.534  1.207 0.447  1.067 0.447  1.048 0.326  1.014 0.200  0.915 0.101  0.835 -0.006  0.835 -0.146  0.768 -0.259  0.669 -0.358  0.621 -0.479  0.621 -0.619
2#tos#f1#f1002058/^  -0.927 -0.150  -1.032 -0.150  -1.136 -0.150  -1.241 -0.150  -1.258 -0.237  -1.258 -0.341  -1.258 -0.446  -1.258 -0.411  -1.175 -0.389  -1.175 -0.284  -1.125 -0.216  -1.026 -0.183  -0.927 -0.150  -0.833 -0.103  -0.744 -0.050  -0.671 0.024  -0.597 0.098  -0.513 0.120  -0.513 0.224  -0.452 0.285  -0.353 0.318  -0.260 0.358  -0.213 0.451  -0.146 0.512  -0.100 0.570  -0.020 0.595  0.002 0.678  0.105 0.665  0.204 0.632  0.303 0.599  0.380 0.529  0.397 0.432  0.411 0.333  0.486 0.261  0.579 0.214  0.671 0.164  0.758 0.106  0.845 0.048  0.893 -0.031  0.954 -0.097  1.048 -0.144  1.100 -0.232  1.150 -0.324  1.224 -0.398  1.244 -0.487  1.344 -0.520  1.443 -0.554  1.472 -0.637  1.564 -0.655  1.638 -0.729
2#tos#f1#f1002058/_  -0.529 0.027  -0.618 0.027  -0.706 0.027  -0.795 0.027  -0.883 0.027  -0.961 -0.001  -1.027 -0.054  -1.116 -0.054  -1.201 -0.042  -1.280 -0.002  -1.362 0.027  -1.387 0.027  -1.299 0.027  -1.210 0.027  -1.121 0.027  -1.033 0.027  -0.944 0.027  -0.856 0.027  -0.767 0.027  -0.679 0.027  -0.590 0.027  -0.502 0.027  -0.413 0.027  -0.324 0.027  -0.236 0.027  -0.147 0.027  -0.059 0.027  0.030 0.027  0.118 0.027  0.207 0.027  0.295 0.027  0.384 0.027  0.472 0.027  0.561 0.027  0.650 0.027  0.738 0.027  0.827 0.027  0.846 -0.043  0.923 -0.054  1.011 -0.054  1.100 -0.054  1.189 -0.054  1.277 -0.054  1.366 -0.054  1.454 -0.054  1.543 -0.054  1.631 -0.054  1.720 -0.054  1.808 -0.054  1.897 -0.054
2#tos#f1#f1002058/`  -0.119 1.739  -0.119 1.666  -0.119 1.592  -0.119 1.518  -0.119 1.445  -0.119 1.371  -0.119 1.297  -0.119 1.223  -0.119 1.150  -0.119 1.076  -0.119 1.002  -0.119 0.929  -0.119 0.855  -0.119 0.781  -0.119 0.707  -0.119 0.634  -0.119 0.560  -0.119 0.486  -0.119 0.413  -0.119 0.339  -0.119 0.265  -0.119 0.191  -0.119 0.118  -0.119 0.044  -0.119 -0.030  -0.119 -0.103  -0.119 -0.177  -0.119 -0.251  -0.119 -0.324  -0.119 -0.398  -0.119 -0.472  -0.119 -0.546  -0.119 -0.619  -0.119 -0.693  -0.119 -0.767  -0.116 -0.839  -0.064 -0.891  -0.012 -0.943  0.040 -0.996  0.093 -1.048  0.145 -1.100  0.197 -1.152  0.249 -1.204  0.301 -1.256  0.371 -1.265  0.445 -1.265  0.518 -1.265  0.592 -1.265  0.666 -1.265  0.739 -1.265
2#tos#f1#f1002058/}  -0.094 1.202  -0.189 1.202  -0.284 1.202  -0.312 1.269  -0.349 1.328  -0.347 1.421  -0.252 1.421  -0.172 1.384  -0.119 1.324  -0.073 1.248  -0.057 1.155  -0.057 1.060  -0.057 0.965  -0.057 0.870  -0.057 0.775  -0.057 0.680  -0.057 0.585  -0.057 0.490  -0.057 0.395  -0.057 0.300  -0.057 0.205  -0.057 0.109  -0.057 0.014  -0.057 -0.081  0.010 -0.108  0.090 -0.145  0.172 -0.123  0.197 -0.034  0.197 0.014  0.188 -0.072  0.161 -0.140  0.161 -0.235  0.158 -0.328  0.088 -0.380  0.088 -0.475  0.088 -0.570  0.088 -0.665  0.088 -0.760  0.088 -0.855  0.088 -0.950  0.088 -1.046  0.088 -1.141  0.088 -1.236  0.088 -1.331  0.088 -1.426  0.101 -1.518  0.125 -1.607  0.125 -1.702  0.125 -1.797  0.125 -1.893
2#tos#f1#f1002058/~  -0.694 0.152  -0.730 0.069  -0.824 0.021  -0.928 0.000  -1.031 -0.020  -1.134 -0.041  -1.239 -0.045  -1.284 0.017  -1.284 0.122  -1.277 0.225  -1.195 0.283  -1.090 0.283  -1.022 0.320  -1.022 0.426  -0.970 0.479  -0.868 0.491  -0.773 0.538  -0.669 0.545  -0.564 0.545  -0.459 0.545  -0.376 0.489  -0.302 0.414  -0.243 0.327  -0.185 0.239  -0.135 0.146  -0.088 0.052  -0.040 -0.042  0.007 -0.137  0.070 -0.219  0.145 -0.294  0.219 -0.368  0.296 -0.438  0.401 -0.438  0.481 -0.499  0.558 -0.569  0.663 -0.569  0.769 -0.569  0.874 -0.569  0.950 -0.497  1.031 -0.438  1.136 -0.438  1.196 -0.353  1.255 -0.265  1.325 -0.187  1.400 -0.112  1.402 -0.008  1.467 0.032  1.518 0.086  1.598 0.112  1.664 0.152
2#tos#f1#f1002058/0  0.549 0.853  0.476 0.937  0.361 0.978  0.205 0.978  0.049 0.978  -0.104 0.964  -0.226 0.870  -0.331 0.754  -0.428 0.632  -0.528 0.511  -0.628 0.391  -0.681 0.249  -0.721 0.098  -0.783 -0.045  -0.836 -0.192  -0.866 -0.345  -0.892 -0.499  -0.910 -0.654  -0.910 -0.810  -0.910 -0.967  -0.863 -1.110  -0.730 -1.189  -0.574 -1.189  -0.418 -1.189  -0.261 -1.189  -0.105 -1.189  0.047 -1.158  0.180 -1.081  0.314 -1.004  0.436 -0.916  0.536 -0.796  0.662 -0.731  0.728 -0.597  0.821 -0.480  0.882 -0.357  0.882 -0.201  0.882 -0.044  0.882 0.112  0.863 0.266  0.841 0.420  0.801 0.559  0.691 0.670  0.578 0.778  0.445 0.853  0.288 0.853  0.132 0.853  -0.024 0.853  -0.181 0.853  -0.337 0.853  -0.285 0.812
2#tos#f1#f1002058/1  1.073 0.882  1.073 0.953  1.073 1.025  1.025 1.050  0.953 1.050  0.881 1.050  0.817 1.039  0.794 0.971  0.772 0.903  0.749 0.834  0.710 0.778  0.653 0.735  0.595 0.691  0.538 0.648  0.480 0.605  0.423 0.562  0.369 0.514  0.318 0.463  0.267 0.412  0.217 0.362  0.166 0.311  0.115 0.260  0.064 0.209  0.013 0.158  -0.036 0.105  -0.081 0.049  -0.126 -0.007  -0.170 -0.063  -0.215 -0.119  -0.260 -0.175  -0.305 -0.232  -0.350 -0.288  -0.387 -0.349  -0.423 -0.412  -0.459 -0.474  -0.494 -0.537  -0.530 -0.599  -0.566 -0.661  -0.601 -0.724  -0.637 -0.786  -0.673 -0.849  -0.710 -0.910  -0.750 -0.970  -0.790 -1.030  -0.830 -1.090  -0.870 -1.149  -0.910 -1.209  -0.949 -1.269  -0.989 -1.329  -1.029 -1.389
2#tos#f1#f1002058/2  1.124 1.058  0.963 1.058  0.803 1.058  0.643 1.063  0.505 1.130  0.387 1.198  0.379 1.045  0.425 0.896  0.425 0.735  0.425 0.575  0.425 0.414  0.425 0.254  0.395 0.097  0.356 -0.059  0.332 -0.216  0.262 -0.340  0.138 -0.440  0.025 -0.554  -0.097 -0.657  -0.231 -0.746  -0.373 -0.805  -0.534 -0.805  -0.694 -0.805  -0.855 -0.805  -1.015 -0.805  -1.156 -0.729  -1.293 -0.645  -1.391 -0.528  -1.438 -0.379  -1.438 -0.218  -1.359 -0.081  -1.220 -0.010  -1.068 0.033  -0.913 0.068  -0.754 0.080  -0.594 0.080  -0.433 0.080  -0.273 0.080  -0.112 0.080  0.048 0.080  0.209 0.080  0.365 0.048  0.523 0.017  0.681 -0.010  0.822 -0.084  0.961 -0.163  1.110 -0.222  1.256 -0.289  1.378 -0.382  1.450 -0.526
2#tos#f1#f1002058/3  0.097 1.031  0.008 1.082  -0.006 1.209  -0.058 1.298  -0.106 1.391  -0.071 1.365  0.051 1.312  0.182 1.266  0.299 1.187  0.399 1.089  0.498 0.989  0.529 0.866  0.655 0.803  0.714 0.698  0.714 0.558  0.714 0.417  0.714 0.276  0.595 0.229  0.457 0.207  0.336 0.135  0.216 0.062  0.078 0.053  -0.063 0.053  -0.204 0.053  -0.345 0.053  -0.350 0.053  -0.210 0.052  -0.081 0.001  0.046 -0.038  0.159 -0.123  0.274 -0.203  0.354 -0.301  0.391 -0.433  0.406 -0.570  0.406 -0.711  0.406 -0.852  0.293 -0.911  0.165 -0.968  0.038 -1.029  -0.100 -1.057  -0.238 -1.079  -0.379 -1.079  -0.520 -1.079  -0.661 -1.079  -0.801 -1.079  -0.942 -1.079  -1.083 -1.079  -1.222 -1.071  -1.359 -1.037  -1.396 -0.925
2#tos#f1#f1002058/4  -0.293 0.758  -0.463 0.804  -0.641 0.804  -0.689 0.958  -0.710 1.130  -0.841 1.138  -0.841 0.960  -0.881 0.796  -0.979 0.650  -0.999 0.473  -1.019 0.297  -1.023 0.119  -1.023 -0.059  -1.023 -0.237  -0.936 -0.379  -0.774 -0.451  -0.617 -0.532  -0.453 -0.594  -0.277 -0.611  -0.099 -0.611  0.079 -0.611  0.256 -0.611  0.434 -0.611  0.612 -0.611  0.790 -0.611  0.968 -0.611  1.067 -0.502  1.124 -0.333  1.180 -0.164  1.236 0.005  1.292 0.174  1.349 0.342  1.396 0.513  1.281 0.576  1.103 0.576  0.928 0.568  0.775 0.484  0.609 0.447  0.461 0.348  0.310 0.253  0.161 0.159  0.091 -0.005  0.018 -0.167  -0.080 -0.315  -0.188 -0.455  -0.325 -0.569  -0.453 -0.691  -0.551 -0.839  -0.638 -0.994  -0.704 -1.159
2#tos#f1#f1002058/5  0.389 1.073  0.232 1.111  0.147 1.193  0.018 1.104  -0.053 0.967  -0.131 0.834  -0.213 0.702  -0.224 0.537  -0.261 0.376  -0.293 0.217  -0.293 0.052  -0.277 -0.108  -0.155 -0.212  -0.031 -0.314  0.041 -0.439  0.148 -0.539  0.188 -0.688  0.188 -0.854  0.106 -0.998  -0.001 -1.124  -0.143 -1.196  -0.259 -1.302  -0.395 -1.377  -0.560 -1.377  -0.726 -1.377  -0.856 -1.340  -0.809 -1.183  -0.745 -1.030  -0.681 -0.877  -0.617 -0.724  -0.553 -0.571  -0.490 -0.418  -0.426 -0.264  -0.362 -0.111  -0.298 0.042  -0.234 0.195  -0.170 0.348  -0.107 0.501  -0.053 0.657  0.058 0.712  0.144 0.792  0.310 0.792  0.476 0.792  0.642 0.792  0.808 0.792  0.974 0.792  1.139 0.787  1.303 0.760  1.468 0.752  1.634 0.752
2#tos#f1#f1002058/6  1.036 1.454  0.957 1.537  0.826 1.541  0.694 1.541  0.571 1.504  0.455 1.443  0.350 1.364  0.245 1.285  0.139 1.206  0.059 1.103  -0.018 0.996  -0.094 0.888  -0.162 0.775  -0.231 0.663  -0.307 0.556  -0.384 0.449  -0.450 0.337  -0.486 0.210  -0.522 0.084  -0.550 -0.045  -0.571 -0.175  -0.571 -0.306  -0.571 -0.438  -0.571 -0.570  -0.571 -0.701  -0.531 -0.821  -0.446 -0.919  -0.341 -0.998  -0.259 -1.099  -0.159 -1.173  -0.030 -1.195  0.101 -1.195  0.233 -1.195  0.346 -1.133  0.384 -1.022  0.493 -0.949  0.514 -0.829  0.514 -0.697  0.514 -0.565  0.514 -0.434  0.453 -0.321  0.351 -0.244  0.220 -0.239  0.088 -0.239  -0.043 -0.239  -0.175 -0.239  -0.306 -0.239  -0.438 -0.239  -0.570 -0.239  -0.701 -0.239
2#tos#f1#f1002058/A  -0.961 -0.868  -0.981 -1.055  -1.156 -1.128  -1.332 -1.055  -1.351 -0.868  -1.324 -0.674  -1.216 -0.516  -1.114 -0.350  -0.977 -0.213  -0.840 -0.074  -0.735 0.091  -0.571 0.201  -0.426 0.331  -0.302 0.485  -0.162 0.624  -0.011 0.750  0.145 0.871  0.297 0.997  0.437 1.136  0.598 1.240  0.749 1.316  0.815 1.277  0.815 1.080  0.815 0.883  0.815 0.685  0.815 0.488  0.752 0.305  0.728 0.114  0.728 -0.084  0.728 -0.281  0.728 -0.478  0.728 -0.676  0.728 -0.873  0.728 -1.070  0.734 -1.134  0.626 -0.971  0.535 -0.796  0.445 -0.621  0.354 -0.445  0.264 -0.270  0.173 -0.095  0.082 0.080  -0.060 0.172  -0.257 0.172  -0.454 0.172  -0.615 0.208  -0.424 0.215  -0.227 0.215  -0.030 0.230  0.165 0.258
2#tos#f1#f1002058/B  -0.287 0.360  -0.096 0.533  -0.096 0.825  -0.000 1.077  0.019 1.089  -0.096 0.824  -0.138 0.547  -0.287 0.307  -0.306 0.018  -0.398 -0.258  -0.492 -0.534  -0.588 -0.809  -0.687 -1.077  -0.718 -1.360  -0.766 -1.632  -0.666 -1.495  -0.537 -1.233  -0.409 -0.971  -0.280 -0.710  -0.151 -0.448  -0.022 -0.186  0.107 0.076  0.235 0.337  0.364 0.599  0.493 0.861  0.622 1.123  0.642 1.317  0.351 1.317  0.059 1.317  0.232 1.317  0.500 1.214  0.777 1.126  0.957 0.957  0.936 0.674  0.751 0.456  0.507 0.341  0.239 0.257  0.065 0.073  -0.179 0.025  0.035 -0.041  0.298 -0.141  0.447 -0.318  0.526 -0.561  0.432 -0.803  0.254 -0.980  0.012 -1.117  -0.271 -1.171  -0.562 -1.171  -0.820 -1.063  -1.005 -0.884
2#tos#f1#f1002058/C  0.957 0.653  0.866 0.698  0.771 0.734  0.675 0.766  0.578 0.799  0.482 0.830  0.381 0.830  0.306 0.857  0.306 0.959  0.306 1.060  0.211 1.067  0.109 1.067  0.008 1.067  -0.094 1.067  -0.180 1.042  -0.225 0.951  -0.320 0.917  -0.404 0.876  -0.404 0.774  -0.427 0.681  -0.488 0.600  -0.549 0.518  -0.581 0.428  -0.581 0.326  -0.581 0.224  -0.581 0.123  -0.581 0.021  -0.581 -0.080  -0.581 -0.182  -0.581 -0.283  -0.573 -0.384  -0.548 -0.482  -0.524 -0.581  -0.470 -0.666  -0.414 -0.751  -0.329 -0.803  -0.239 -0.849  -0.148 -0.894  -0.057 -0.940  0.016 -1.009  0.088 -1.081  0.160 -1.152  0.249 -1.189  0.350 -1.203  0.450 -1.218  0.551 -1.232  0.652 -1.239  0.753 -1.239  0.855 -1.239  0.957 -1.239
2#tos#f1#f1002058/G  0.491 0.914  0.491 1.132  0.470 1.342  0.446 1.550  0.315 1.638  0.097 1.630  -0.104 1.553  -0.267 1.411  -0.384 1.229  -0.453 1.022  -0.584 0.848  -0.690 0.660  -0.776 0.459  -0.806 0.243  -0.820 0.026  -0.820 -0.193  -0.820 -0.411  -0.786 -0.625  -0.708 -0.826  -0.518 -0.895  -0.338 -0.985  -0.119 -0.985  0.078 -0.897  0.224 -0.759  0.308 -0.587  0.417 -0.410  0.446 -0.199  0.407 0.003  0.258 0.145  0.095 0.236  -0.123 0.236  -0.341 0.236  -0.178 0.222  0.036 0.191  0.253 0.180  0.465 0.145  0.646 0.055  0.853 0.043  0.849 0.010  0.630 0.010  0.536 -0.114  0.435 -0.272  0.291 -0.435  0.212 -0.638  0.121 -0.835  0.055 -1.042  -0.022 -1.245  -0.073 -1.457  -0.097 -1.671  -0.097 -1.889
2#tos#f1#f1002058/I  0.472 1.118  0.472 1.193  0.409 1.206  0.333 1.206  0.257 1.206  0.251 1.275  0.251 1.351  0.237 1.341  0.213 1.269  0.207 1.195  0.207 1.119  0.207 1.043  0.192 0.969  0.173 0.896  0.151 0.824  0.123 0.753  0.095 0.683  0.071 0.611  0.061 0.536  0.050 0.461  0.039 0.386  0.025 0.312  -0.009 0.245  -0.043 0.177  -0.059 0.105  -0.059 0.029  -0.059 -0.047  -0.059 -0.122  -0.063 -0.198  -0.074 -0.273  -0.085 -0.348  -0.095 -0.423  -0.112 -0.496  -0.140 -0.567  -0.168 -0.637  -0.191 -0.708  -0.191 -0.784  -0.191 -0.860  -0.191 -0.936  -0.191 -1.011  -0.191 -1.087  -0.199 -1.162  -0.223 -1.233  -0.244 -1.306  -0.263 -1.380  -0.280 -1.453  -0.280 -1.529  -0.280 -1.605  -0.280 -1.681  -0.280 -1.668
2#tos#f1#f1002058/O  -0.222 0.523  -0.162 0.648  -0.162 0.797  -0.170 0.939  -0.320 0.939  -0.467 0.932  -0.553 0.812  -0.620 0.678  -0.703 0.555  -0.793 0.435  -0.843 0.297  -0.876 0.151  -0.876 0.001  -0.876 -0.148  -0.876 -0.298  -0.876 -0.448  -0.876 -0.597  -0.819 -0.723  -0.757 -0.847  -0.734 -0.987  -0.624 -1.083  -0.474 -1.083  -0.325 -1.083  -0.175 -1.083  -0.025 -1.083  0.123 -1.074  0.270 -1.044  0.411 -1.001  0.540 -0.924  0.668 -0.847  0.758 -0.728  0.848 -0.608  0.896 -0.466  0.986 -0.351  1.027 -0.218  1.027 -0.069  1.027 0.081  1.012 0.229  0.975 0.374  0.968 0.522  0.904 0.646  0.781 0.724  0.639 0.771  0.497 0.818  0.348 0.820  0.198 0.820  0.049 0.820  -0.101 0.820  -0.251 0.820  -0.400 0.820
