2#app#app41#app4122/p  -0.569 0.399  -0.404 0.392  -0.392 0.234  -0.240 0.215  -0.240 0.044  -0.240 -0.127  -0.240 -0.298  -0.240 -0.469  -0.240 -0.640  -0.240 -0.811  -0.176 -0.919  -0.075 -0.989  -0.075 -1.160  -0.075 -1.331  -0.075 -1.502  -0.075 -1.673  0.027 -1.742  0.090 -1.634  0.090 -1.463  0.090 -1.291  0.090 -1.120  0.090 -0.949  -0.010 -0.819  -0.075 -0.675  -0.075 -0.504  -0.075 -0.333  -0.075 -0.162  -0.075 0.009  -0.075 0.180  -0.075 0.351  -0.075 0.522  -0.167 0.655  -0.240 0.796  -0.240 0.967  -0.240 1.138  -0.178 1.284  -0.050 1.387  0.090 1.418  0.128 1.552  0.286 1.520  0.407 1.399  0.528 1.278  0.584 1.130  0.584 0.959  0.584 0.788  0.505 0.650  0.419 0.514  0.380 0.360  0.259 0.239  0.090 0.234
2#app#app41#app4122/g  0.082 1.116  0.082 1.249  -0.036 1.264  -0.139 1.191  -0.241 1.116  -0.363 1.103  -0.363 0.970  -0.493 0.967  -0.511 0.851  -0.511 0.718  -0.511 0.584  -0.440 0.522  -0.306 0.522  -0.214 0.563  -0.188 0.671  -0.066 0.682  -0.066 0.815  -0.066 0.949  -0.066 1.082  -0.066 1.015  -0.066 0.882  -0.016 0.769  0.078 0.675  0.082 0.543  0.162 0.443  0.231 0.338  0.231 0.204  0.231 0.071  0.231 -0.062  0.231 -0.196  0.308 -0.297  0.379 -0.401  0.379 -0.535  0.379 -0.668  0.379 -0.802  0.379 -0.935  0.379 -1.068  0.379 -1.202  0.379 -1.335  0.379 -1.469  0.332 -1.555  0.198 -1.555  0.070 -1.542  -0.024 -1.448  -0.140 -1.406  -0.214 -1.347  -0.214 -1.213  -0.214 -1.080  -0.214 -0.946  -0.214 -0.813
2#app#app41#app4122/h  -0.012 2.128  -0.012 1.989  -0.012 1.850  -0.012 1.711  -0.012 1.572  -0.012 1.434  -0.012 1.295  -0.110 1.196  -0.208 1.098  -0.290 0.993  -0.290 0.855  -0.290 0.716  -0.290 0.577  -0.290 0.438  -0.290 0.299  -0.290 0.160  -0.290 0.022  -0.290 -0.117  -0.290 -0.256  -0.306 -0.388  -0.404 -0.486  -0.502 -0.585  -0.568 -0.696  -0.568 -0.835  -0.568 -0.974  -0.568 -1.113  -0.523 -1.206  -0.384 -1.206  -0.258 -1.174  -0.160 -1.076  -0.062 -0.978  -0.012 -0.859  -0.012 -0.720  0.036 -0.602  0.134 -0.504  0.233 -0.405  0.265 -0.280  0.265 -0.141  0.331 -0.030  0.429 0.069  0.527 0.167  0.543 0.067  0.543 -0.071  0.543 -0.210  0.543 -0.349  0.625 -0.454  0.723 -0.552  0.821 -0.651  0.821 -0.789  0.821 -0.928
2#app#app41#app4122/t  0.280 1.953  0.280 1.779  0.280 1.605  0.280 1.431  0.116 1.421  0.015 1.349  0.015 1.175  -0.095 1.046  -0.218 0.923  -0.251 0.763  -0.251 0.589  -0.251 0.415  -0.251 0.241  -0.251 0.067  -0.251 -0.107  -0.204 -0.270  -0.126 -0.425  -0.048 -0.581  0.015 -0.740  0.015 -0.914  0.097 -1.054  0.220 -1.177  0.369 -1.238  0.543 -1.238  0.717 -1.238  0.891 -1.238  1.065 -1.238  0.950 -1.141  0.810 -1.037  0.671 -0.933  0.532 -0.828  0.393 -0.724  0.254 -0.619  0.115 -0.515  -0.025 -0.411  -0.164 -0.306  -0.303 -0.202  -0.442 -0.097  -0.581 0.007  -0.721 0.111  -0.860 0.216  -0.999 0.320  -0.938 0.358  -0.764 0.358  -0.590 0.358  -0.416 0.358  -0.242 0.358  -0.068 0.358  0.106 0.358  0.280 0.358
2#app#app41#app4122/h  -0.517 2.043  -0.517 1.907  -0.517 1.771  -0.517 1.634  -0.517 1.498  -0.517 1.362  -0.517 1.225  -0.517 1.089  -0.517 0.953  -0.517 0.816  -0.517 0.680  -0.517 0.543  -0.517 0.407  -0.517 0.271  -0.517 0.134  -0.517 -0.002  -0.517 -0.138  -0.517 -0.275  -0.517 -0.411  -0.517 -0.547  -0.517 -0.684  -0.517 -0.820  -0.498 -0.937  -0.362 -0.937  -0.226 -0.937  -0.089 -0.937  0.047 -0.937  0.079 -0.833  0.079 -0.697  0.135 -0.583  0.231 -0.487  0.328 -0.391  0.377 -0.275  0.377 -0.138  0.418 -0.043  0.555 -0.043  0.675 -0.027  0.675 0.109  0.675 0.245  0.675 0.128  0.675 -0.008  0.675 -0.145  0.675 -0.281  0.675 -0.417  0.675 -0.554  0.675 -0.690  0.675 -0.827  0.700 -0.937  0.837 -0.937  0.973 -0.937
2#app#app41#app4122/e  -0.504 0.026  -0.350 0.026  -0.196 0.026  -0.042 0.026  0.112 0.026  0.266 0.026  0.421 0.026  0.575 0.026  0.729 0.026  0.767 0.143  0.767 0.297  0.768 0.450  0.922 0.450  1.076 0.450  1.190 0.490  1.190 0.644  1.190 0.798  1.112 0.874  0.958 0.874  0.803 0.874  0.649 0.874  0.495 0.874  0.341 0.874  0.187 0.874  0.033 0.874  -0.109 0.845  -0.218 0.736  -0.327 0.627  -0.436 0.518  -0.504 0.392  -0.504 0.238  -0.504 0.084  -0.601 0.026  -0.755 0.026  -0.909 0.026  -0.928 -0.109  -0.928 -0.263  -0.928 -0.418  -0.928 -0.572  -0.928 -0.726  -0.886 -0.863  -0.777 -0.972  -0.668 -1.081  -0.559 -1.190  -0.428 -1.244  -0.273 -1.244  -0.119 -1.244  -0.081 -1.360  -0.081 -1.514  -0.081 -1.668
2#app#app41#app4122/m  -1.449 0.568  -1.449 0.391  -1.449 0.215  -1.449 0.038  -1.449 -0.138  -1.449 -0.315  -1.449 -0.491  -1.320 -0.539  -1.144 -0.539  -0.967 -0.539  -0.895 -0.435  -0.891 -0.263  -0.715 -0.263  -0.618 -0.183  -0.618 -0.006  -0.462 0.014  -0.341 0.070  -0.341 0.247  -0.248 0.384  -0.123 0.509  -0.065 0.661  -0.065 0.838  -0.065 0.675  -0.065 0.498  -0.065 0.322  -0.065 0.145  -0.065 -0.031  -0.065 -0.207  0.057 -0.263  0.233 -0.263  0.410 -0.263  0.489 -0.165  0.489 0.011  0.662 0.014  0.766 0.087  0.766 0.264  0.915 0.291  1.077 0.326  1.202 0.450  1.312 0.560  1.187 0.436  1.062 0.311  1.042 0.142  1.042 -0.034  1.042 -0.211  1.042 -0.387  1.042 -0.563  1.042 -0.740  1.143 -0.816  1.319 -0.816
2#app#app41#app4122/?  -0.709 0.982  -0.608 0.982  -0.507 0.982  -0.407 0.982  -0.306 0.982  -0.229 1.039  -0.158 1.110  -0.087 1.181  0.009 1.194  0.109 1.194  0.210 1.194  0.310 1.194  0.348 1.131  0.348 1.030  0.348 0.929  0.348 0.829  0.348 0.728  0.348 0.628  0.325 0.537  0.254 0.465  0.183 0.394  0.112 0.323  0.040 0.252  -0.031 0.181  -0.113 0.137  -0.214 0.137  -0.286 0.109  -0.286 0.008  -0.286 -0.093  -0.286 -0.193  -0.278 -0.286  -0.177 -0.286  -0.077 -0.286  -0.058 -0.383  -0.042 -0.482  -0.025 -0.581  -0.009 -0.681  0.008 -0.780  0.024 -0.879  0.041 -0.978  0.057 -1.078  0.074 -1.177  0.090 -1.276  0.107 -1.375  0.123 -1.475  0.137 -1.574  0.137 -1.675  0.147 -1.765  0.247 -1.765  0.348 -1.765
2#app#app41#app4122/S  0.397 1.359  0.397 1.247  0.397 1.135  0.296 1.125  0.184 1.125  0.072 1.125  -0.040 1.125  -0.151 1.125  -0.263 1.125  -0.375 1.125  -0.487 1.125  -0.539 1.065  -0.539 0.953  -0.539 0.841  -0.539 0.729  -0.539 0.617  -0.539 0.505  -0.510 0.423  -0.398 0.423  -0.286 0.423  -0.174 0.423  -0.065 0.417  0.014 0.338  0.093 0.259  0.176 0.189  0.288 0.189  0.397 0.186  0.397 0.074  0.397 -0.037  0.397 -0.149  0.397 -0.261  0.397 -0.373  0.397 -0.485  0.397 -0.596  0.397 -0.708  0.397 -0.820  0.397 -0.932  0.335 -0.982  0.223 -0.982  0.163 -1.033  0.163 -1.145  0.122 -1.216  0.010 -1.216  -0.071 -1.247  -0.071 -1.358  -0.092 -1.450  -0.203 -1.450  -0.315 -1.450  -0.427 -1.450  -0.539 -1.450
2#app#app41#app4122/o  0.000 1.410  0.000 1.260  0.000 1.110  -0.037 0.998  -0.187 0.998  -0.337 0.998  -0.464 0.945  -0.570 0.839  -0.676 0.733  -0.782 0.628  -0.823 0.495  -0.823 0.345  -0.823 0.195  -0.823 0.045  -0.823 -0.104  -0.823 -0.254  -0.823 -0.404  -0.823 -0.553  -0.767 -0.648  -0.617 -0.648  -0.468 -0.648  -0.411 -0.741  -0.411 -0.891  -0.411 -1.040  -0.280 -1.059  -0.131 -1.059  0.019 -1.059  0.169 -1.059  0.319 -1.059  0.468 -1.059  0.618 -1.059  0.768 -1.059  0.823 -0.965  0.823 -0.815  0.823 -0.665  0.823 -0.516  0.823 -0.366  0.823 -0.216  0.823 -0.067  0.823 0.083  0.783 0.216  0.677 0.322  0.571 0.428  0.465 0.534  0.412 0.661  0.412 0.811  0.412 0.961  0.300 0.998  0.150 0.998  0.000 0.998
2#app#app41#app4122/m  -1.009 0.477  -1.009 0.322  -1.009 0.168  -1.009 0.013  -1.027 -0.123  -1.181 -0.123  -1.309 -0.151  -1.309 -0.305  -1.309 -0.460  -1.309 -0.614  -1.263 -0.723  -1.109 -0.723  -0.954 -0.723  -0.800 -0.723  -0.709 -0.660  -0.709 -0.505  -0.657 -0.372  -0.548 -0.263  -0.439 -0.153  -0.297 -0.123  -0.142 -0.123  -0.109 -0.002  -0.109 0.152  -0.109 0.307  -0.109 0.462  -0.010 0.575  0.099 0.685  0.191 0.752  0.191 0.598  0.191 0.443  0.191 0.289  0.191 0.134  0.191 -0.020  0.243 -0.123  0.397 -0.123  0.552 -0.123  0.707 -0.123  0.841 -0.074  0.950 0.035  1.059 0.145  1.091 0.286  1.091 0.440  1.210 0.477  1.364 0.477  1.391 0.349  1.391 0.195  1.391 0.040  1.391 -0.114  1.537 -0.123  1.691 -0.123
2#app#app41#app4122/e  -1.002 0.155  -0.836 0.155  -0.669 0.155  -0.582 0.076  -0.582 -0.091  -0.582 -0.257  -0.424 -0.265  -0.258 -0.265  -0.091 -0.265  0.075 -0.265  0.242 -0.265  0.408 -0.265  0.574 -0.265  0.677 -0.202  0.677 -0.035  0.677 0.131  0.820 0.155  0.986 0.155  1.097 0.210  1.097 0.377  1.097 0.543  1.097 0.709  1.097 0.876  1.050 0.995  0.884 0.995  0.717 0.995  0.551 0.995  0.385 0.995  0.218 0.995  0.052 0.995  -0.115 0.995  -0.162 0.876  -0.162 0.710  -0.185 0.553  -0.302 0.435  -0.420 0.317  -0.538 0.200  -0.582 0.052  -0.582 -0.115  -0.582 -0.281  -0.582 -0.447  -0.582 -0.614  -0.582 -0.780  -0.582 -0.946  -0.582 -1.113  -0.582 -1.279  -0.582 -1.446  -0.582 -1.612  -0.582 -1.778  -0.582 -1.945
2#app#app41#app4122/t  0.135 1.484  0.004 1.352  -0.128 1.221  -0.155 1.046  -0.155 0.859  -0.155 0.673  -0.244 0.524  -0.376 0.392  -0.445 0.235  -0.445 0.048  -0.445 -0.138  -0.445 -0.324  -0.445 -0.510  -0.445 -0.696  -0.398 -0.836  -0.212 -0.836  -0.155 -0.965  -0.130 -1.126  0.056 -1.126  0.243 -1.126  0.429 -1.126  0.615 -1.126  0.801 -1.126  0.987 -1.126  1.174 -1.126  1.247 -1.084  1.107 -0.961  0.967 -0.839  0.827 -0.716  0.687 -0.593  0.546 -0.471  0.406 -0.348  0.266 -0.226  0.126 -0.103  -0.014 0.020  -0.154 0.142  -0.294 0.265  -0.435 0.388  -0.575 0.510  -0.715 0.633  -0.855 0.755  -0.995 0.878  -0.878 0.904  -0.692 0.904  -0.506 0.904  -0.319 0.904  -0.133 0.904  0.053 0.904  0.239 0.904  0.425 0.904
2#app#app41#app4122/h  0.057 1.951  0.057 1.801  0.057 1.652  -0.065 1.625  -0.215 1.625  -0.269 1.529  -0.269 1.379  -0.300 1.237  -0.366 1.103  -0.433 0.970  -0.500 0.836  -0.567 0.702  -0.595 0.559  -0.595 0.410  -0.595 0.260  -0.595 0.111  -0.595 -0.039  -0.595 -0.188  -0.590 -0.336  -0.484 -0.442  -0.378 -0.547  -0.273 -0.653  -0.269 -0.801  -0.269 -0.950  -0.152 -0.983  -0.002 -0.983  0.057 -0.892  0.057 -0.743  0.057 -0.593  0.057 -0.444  0.057 -0.294  0.057 -0.145  0.064 0.002  0.170 0.108  0.275 0.213  0.381 0.319  0.383 0.174  0.383 0.025  0.383 -0.125  0.383 -0.274  0.383 -0.424  0.383 -0.573  0.383 -0.723  0.383 -0.872  0.422 -0.983  0.572 -0.983  0.718 -0.991  0.823 -1.097  0.929 -1.203  1.035 -1.309
2#app#app41#app4122/i  -0.016 -0.858  -0.016 -0.947  -0.016 -1.037  -0.016 -1.126  -0.016 -1.215  -0.016 -1.305  -0.016 -1.394  -0.016 -1.483  -0.016 -1.490  -0.016 -1.401  -0.016 -1.312  -0.016 -1.222  -0.016 -1.133  -0.016 -1.044  -0.016 -0.954  -0.016 -0.865  -0.016 -0.776  -0.016 -0.686  -0.016 -0.597  -0.016 -0.508  -0.016 -0.418  -0.016 -0.329  -0.016 -0.240  -0.016 -0.150  -0.016 -0.061  -0.016 0.028  -0.016 0.118  -0.016 0.207  -0.016 0.296  -0.016 0.386  -0.016 0.475  -0.016 0.564  -0.016 0.654  -0.016 0.743  -0.016 0.832  -0.016 0.922  -0.016 1.011  -0.016 1.100  -0.016 1.190  -0.016 1.279  -0.016 1.369  -0.016 1.458  -0.016 1.451  -0.016 1.362  -0.016 1.272  -0.016 1.183  0.053 1.162  0.142 1.162  0.231 1.162  0.321 1.162
2#app#app41#app4122/n  -0.870 1.419  -0.870 1.243  -0.870 1.067  -0.815 0.947  -0.639 0.947  -0.463 0.947  -0.476 0.869  -0.600 0.744  -0.724 0.620  -0.848 0.496  -0.870 0.329  -0.870 0.153  -0.870 -0.023  -0.870 -0.198  -0.870 -0.374  -0.870 -0.550  -0.870 -0.726  -0.870 -0.901  -0.734 -0.942  -0.558 -0.942  -0.387 -0.931  -0.263 -0.807  -0.139 -0.682  -0.014 -0.558  0.074 -0.419  0.074 -0.243  0.074 -0.068  0.149 0.077  0.273 0.201  0.398 0.326  0.522 0.450  0.546 0.616  0.546 0.791  0.546 0.926  0.546 0.750  0.546 0.575  0.546 0.399  0.546 0.223  0.546 0.047  0.546 -0.128  0.546 -0.304  0.557 -0.470  0.732 -0.470  0.908 -0.470  1.018 -0.535  1.018 -0.711  1.018 -0.886  1.139 -0.942  1.315 -0.942  1.491 -0.942
2#app#app41#app4122/g  -0.296 1.205  -0.406 1.205  -0.444 1.134  -0.477 1.057  -0.587 1.057  -0.592 0.953  -0.658 0.909  -0.740 0.881  -0.740 0.772  -0.641 0.761  -0.531 0.761  -0.428 0.777  -0.351 0.854  -0.296 0.941  -0.296 1.051  -0.192 1.057  -0.148 0.992  -0.136 0.885  -0.087 0.787  -0.038 0.689  0.000 0.588  0.000 0.478  0.000 0.369  0.041 0.276  0.119 0.198  0.196 0.121  0.274 0.043  0.296 -0.057  0.296 -0.167  0.297 -0.276  0.375 -0.354  0.452 -0.431  0.530 -0.509  0.592 -0.593  0.592 -0.702  0.592 -0.812  0.592 -0.922  0.592 -1.032  0.592 -1.141  0.592 -1.251  0.543 -1.312  0.434 -1.312  0.324 -1.312  0.214 -1.312  0.104 -1.312  0.000 -1.306  0.000 -1.197  -0.077 -1.164  -0.186 -1.164  -0.296 -1.164
2#app#app41#app4122/l  0.218 1.655  0.218 1.584  0.218 1.513  0.218 1.442  0.218 1.370  0.218 1.299  0.218 1.228  0.218 1.157  0.213 1.087  0.163 1.037  0.112 0.987  0.062 0.936  0.011 0.886  -0.039 0.836  -0.063 0.774  -0.063 0.703  -0.063 0.632  -0.063 0.560  -0.063 0.489  -0.063 0.418  -0.063 0.347  -0.063 0.275  -0.063 0.204  -0.063 0.133  -0.063 0.062  -0.063 -0.010  -0.063 -0.081  -0.063 -0.152  -0.063 -0.223  -0.063 -0.295  -0.063 -0.366  -0.063 -0.437  -0.063 -0.508  -0.063 -0.580  -0.063 -0.651  -0.063 -0.722  -0.063 -0.793  -0.063 -0.865  -0.063 -0.936  -0.063 -1.007  -0.063 -1.078  -0.063 -1.150  -0.063 -1.221  -0.063 -1.292  -0.063 -1.363  -0.063 -1.435  -0.063 -1.506  -0.063 -1.577  -0.063 -1.648  -0.063 -1.720
2#app#app41#app4122/i  -0.427 0.130  -0.427 0.017  -0.427 -0.095  -0.412 -0.194  -0.299 -0.194  -0.187 -0.194  -0.103 -0.223  -0.103 -0.335  -0.103 -0.448  -0.103 -0.561  -0.103 -0.674  -0.103 -0.787  -0.103 -0.899  -0.103 -1.012  -0.103 -1.125  -0.103 -1.238  -0.103 -1.351  -0.103 -1.463  -0.092 -1.403  -0.078 -1.291  -0.064 -1.180  -0.050 -1.068  -0.036 -0.956  -0.022 -0.844  -0.008 -0.732  0.006 -0.620  0.020 -0.508  0.034 -0.396  0.048 -0.284  0.062 -0.172  0.076 -0.060  0.090 0.052  0.104 0.164  0.118 0.276  0.132 0.387  0.146 0.499  0.160 0.611  0.174 0.723  0.188 0.835  0.202 0.947  0.216 1.059  0.221 1.171  0.221 1.284  0.221 1.397  0.221 1.510  0.221 1.623  0.221 1.735  0.221 1.848  0.221 1.961  0.221 2.074
