2#app#app32#app3261/I  0.065 1.131  0.065 1.205  0.065 1.280  0.065 1.354  0.057 1.420  -0.018 1.420  -0.079 1.407  -0.079 1.332  -0.079 1.258  -0.079 1.183  -0.079 1.109  -0.079 1.034  -0.079 0.960  -0.079 0.885  -0.079 0.811  -0.079 0.736  -0.079 0.662  -0.079 0.587  -0.079 0.513  -0.079 0.438  -0.079 0.364  -0.079 0.290  -0.079 0.215  -0.079 0.141  -0.079 0.066  -0.079 -0.008  -0.054 -0.077  -0.021 -0.144  0.012 -0.210  0.046 -0.277  0.065 -0.347  0.065 -0.421  0.065 -0.496  0.065 -0.570  0.065 -0.645  0.065 -0.719  0.065 -0.794  0.065 -0.868  0.065 -0.943  0.065 -1.017  0.065 -1.091  0.065 -1.166  0.065 -1.240  0.065 -1.315  0.065 -1.389  0.065 -1.464  0.065 -1.538  0.065 -1.613  0.065 -1.687  0.065 -1.762
2#app#app32#app3261/o  -0.142 1.327  -0.150 1.448  -0.249 1.349  -0.271 1.218  -0.356 1.114  -0.400 0.992  -0.400 0.852  -0.471 0.741  -0.529 0.625  -0.529 0.485  -0.565 0.354  -0.627 0.228  -0.658 0.096  -0.658 -0.044  -0.658 -0.184  -0.658 -0.324  -0.658 -0.464  -0.658 -0.604  -0.658 -0.744  -0.644 -0.879  -0.545 -0.978  -0.529 -1.111  -0.401 -1.123  -0.390 -1.252  -0.250 -1.252  -0.110 -1.252  0.017 -1.221  0.117 -1.123  0.253 -1.114  0.352 -1.015  0.451 -0.916  0.502 -0.797  0.558 -0.680  0.657 -0.581  0.756 -0.482  0.760 -0.344  0.760 -0.204  0.760 -0.064  0.760 0.076  0.760 0.216  0.760 0.356  0.760 0.496  0.760 0.636  0.694 0.749  0.595 0.848  0.493 0.940  0.353 0.940  0.213 0.940  0.086 0.910  -0.013 0.811
2#app#app32#app3261/u  -0.861 0.758  -0.861 0.641  -0.861 0.524  -0.861 0.407  -0.861 0.290  -0.861 0.173  -0.861 0.057  -0.861 -0.060  -0.815 -0.158  -0.733 -0.241  -0.687 -0.339  -0.687 -0.455  -0.608 -0.539  -0.525 -0.622  -0.443 -0.705  -0.360 -0.787  -0.339 -0.895  -0.309 -0.983  -0.193 -0.983  -0.076 -0.983  0.032 -1.005  0.114 -1.088  0.203 -1.157  0.319 -1.157  0.357 -1.078  0.357 -0.961  0.357 -0.844  0.357 -0.727  0.357 -0.610  0.357 -0.494  0.357 -0.377  0.357 -0.260  0.357 -0.143  0.396 -0.035  0.448 0.069  0.500 0.174  0.531 0.283  0.531 0.400  0.531 0.517  0.531 0.633  0.531 0.750  0.531 0.867  0.531 0.984  0.531 1.101  0.531 1.218  0.531 1.334  0.531 1.451  0.531 1.568  0.531 1.685  0.531 1.802
2#app#app32#app3261/r  -0.534 0.998  -0.534 0.862  -0.534 0.727  -0.534 0.591  -0.534 0.456  -0.534 0.320  -0.534 0.184  -0.534 0.049  -0.534 -0.087  -0.534 -0.222  -0.472 -0.332  -0.407 -0.441  -0.407 -0.577  -0.407 -0.712  -0.407 -0.848  -0.352 -0.961  -0.280 -1.067  -0.280 -1.202  -0.280 -1.338  -0.341 -1.413  -0.407 -1.343  -0.407 -1.207  -0.407 -1.072  -0.407 -0.936  -0.407 -0.801  -0.407 -0.665  -0.407 -0.529  -0.407 -0.394  -0.402 -0.260  -0.341 -0.138  -0.280 -0.017  -0.185 0.079  -0.113 0.192  -0.052 0.313  0.029 0.420  0.125 0.516  0.221 0.611  0.317 0.707  0.437 0.744  0.546 0.809  0.656 0.871  0.791 0.871  0.927 0.871  1.063 0.871  1.198 0.871  1.334 0.871  1.369 0.770  1.478 0.744  1.496 0.626  1.623 0.617
2#app#app32#app3261/F  -0.157 0.476  0.041 0.353  -0.058 0.132  -0.058 -0.130  -0.023 -0.384  0.041 -0.631  0.041 -0.893  0.140 -1.114  0.173 -1.368  0.337 -1.516  0.235 -1.449  0.088 -1.232  -0.060 -1.015  -0.208 -0.799  -0.355 -0.582  -0.503 -0.366  -0.651 -0.149  -0.798 0.067  -0.946 0.284  -1.094 0.500  -1.045 0.648  -0.907 0.772  -0.656 0.819  -0.410 0.906  -0.156 0.970  0.083 1.068  0.345 1.068  0.599 1.101  0.846 1.167  1.108 1.167  1.370 1.167  1.436 1.098  1.231 0.935  1.027 0.771  0.822 0.607  0.617 0.443  0.413 0.280  0.208 0.116  0.003 -0.048  -0.201 -0.212  -0.406 -0.375  -0.611 -0.539  -0.815 -0.703  -0.863 -0.766  -0.621 -0.666  -0.368 -0.610  -0.158 -0.463  0.077 -0.377  0.313 -0.314  0.535 -0.215
2#app#app32#app3261/r  -0.497 0.936  -0.359 0.936  -0.342 0.815  -0.342 0.678  -0.342 0.541  -0.342 0.403  -0.342 0.266  -0.342 0.128  -0.342 -0.009  -0.342 -0.146  -0.342 -0.284  -0.304 -0.415  -0.260 -0.545  -0.217 -0.676  -0.188 -0.808  -0.188 -0.946  -0.188 -1.083  -0.188 -1.221  -0.188 -1.358  -0.188 -1.496  -0.188 -1.433  -0.271 -1.379  -0.342 -1.313  -0.342 -1.175  -0.342 -1.038  -0.342 -0.901  -0.342 -0.763  -0.342 -0.626  -0.342 -0.488  -0.342 -0.351  -0.316 -0.218  -0.272 -0.088  -0.229 0.043  -0.184 0.173  -0.123 0.295  -0.061 0.418  0.020 0.527  0.117 0.624  0.215 0.721  0.312 0.818  0.409 0.916  0.506 1.013  0.611 1.090  0.749 1.090  0.886 1.090  1.024 1.090  1.161 1.090  1.298 1.090  1.412 1.033  1.509 0.936
2#app#app32#app3261/i  0.083 1.096  0.083 0.962  0.083 0.829  0.083 0.696  0.040 0.573  -0.020 0.454  -0.062 0.330  -0.062 0.197  -0.073 0.068  -0.167 -0.026  -0.207 -0.143  -0.207 -0.276  -0.207 -0.409  -0.207 -0.542  -0.207 -0.676  -0.207 -0.809  -0.207 -0.942  -0.207 -1.076  -0.207 -1.209  -0.207 -1.342  -0.207 -1.475  -0.207 -1.609  -0.195 -1.586  -0.174 -1.455  -0.153 -1.323  -0.132 -1.191  -0.111 -1.060  -0.090 -0.928  -0.069 -0.797  -0.048 -0.665  -0.027 -0.533  -0.005 -0.402  0.016 -0.270  0.037 -0.139  0.058 -0.007  0.079 0.125  0.100 0.256  0.121 0.388  0.142 0.519  0.163 0.651  0.184 0.783  0.205 0.914  0.226 1.046  0.247 1.177  0.268 1.309  0.289 1.441  0.310 1.572  0.331 1.704  0.352 1.835  0.374 1.967
2#app#app32#app3261/e  -0.699 0.622  -0.547 0.622  -0.394 0.622  -0.258 0.582  -0.144 0.488  0.008 0.488  0.161 0.488  0.238 0.412  0.332 0.354  0.452 0.274  0.582 0.220  0.735 0.220  0.774 0.106  0.774 0.218  0.640 0.237  0.640 0.390  0.640 0.542  0.640 0.695  0.640 0.848  0.640 1.000  0.510 1.023  0.492 1.157  0.349 1.134  0.241 1.026  0.133 0.918  -0.008 0.890  -0.122 0.797  -0.230 0.689  -0.323 0.570  -0.391 0.434  -0.431 0.291  -0.468 0.147  -0.536 0.010  -0.627 -0.110  -0.699 -0.233  -0.699 -0.385  -0.699 -0.538  -0.651 -0.679  -0.583 -0.816  -0.565 -0.964  -0.472 -1.078  -0.431 -1.214  -0.351 -1.333  -0.243 -1.441  -0.123 -1.521  -0.030 -1.580  0.048 -1.655  0.201 -1.655  0.353 -1.655  0.506 -1.655
2#app#app32#app3261/n  -0.775 1.316  -0.775 1.166  -0.774 1.017  -0.669 0.912  -0.627 0.780  -0.627 0.630  -0.627 0.481  -0.627 0.331  -0.627 0.182  -0.627 0.032  -0.627 -0.117  -0.627 -0.267  -0.627 -0.416  -0.627 -0.566  -0.627 -0.715  -0.627 -0.864  -0.627 -1.014  -0.627 -1.163  -0.627 -1.106  -0.627 -0.957  -0.627 -0.807  -0.627 -0.658  -0.593 -0.514  -0.546 -0.372  -0.499 -0.230  -0.418 -0.109  -0.319 0.001  -0.252 0.135  -0.185 0.268  -0.082 0.376  0.024 0.481  0.130 0.587  0.236 0.693  0.373 0.722  0.522 0.722  0.672 0.722  0.821 0.722  0.859 0.609  0.939 0.493  1.044 0.387  1.150 0.282  1.156 0.135  1.156 -0.015  1.156 -0.164  1.156 -0.314  1.156 -0.463  1.156 -0.613  1.156 -0.762  1.156 -0.912  1.156 -1.061
2#app#app32#app3261/d  0.533 1.982  0.533 1.783  0.418 1.632  0.418 1.433  0.418 1.234  0.320 1.075  0.302 0.883  0.302 0.684  0.253 0.497  0.187 0.314  0.187 0.115  0.187 -0.084  0.137 -0.263  0.072 -0.435  0.072 -0.634  0.072 -0.833  0.072 -0.779  0.166 -0.674  0.215 -0.503  0.302 -0.324  0.341 -0.134  0.418 0.046  0.418 0.245  0.505 0.424  0.533 0.616  0.533 0.815  0.346 0.827  0.147 0.827  -0.016 0.740  -0.156 0.599  -0.334 0.509  -0.486 0.385  -0.628 0.246  -0.806 0.157  -0.875 -0.004  -0.998 -0.157  -1.083 -0.336  -1.083 -0.535  -1.083 -0.734  -0.982 -0.891  -0.836 -1.021  -0.648 -1.065  -0.465 -1.136  -0.266 -1.136  -0.067 -1.136  0.132 -1.136  0.331 -1.136  0.497 -1.057  0.681 -1.021  0.764 -0.905
2#app#app32#app3261/,  -0.250 1.668  -0.250 1.590  -0.250 1.512  -0.250 1.434  -0.202 1.375  -0.146 1.320  -0.091 1.265  -0.036 1.210  -0.005 1.144  -0.005 1.066  -0.005 0.988  0.012 0.918  0.067 0.862  0.122 0.807  0.178 0.752  0.233 0.697  0.239 0.621  0.239 0.543  0.239 0.465  0.239 0.387  0.239 0.309  0.239 0.231  0.239 0.153  0.239 0.075  0.239 -0.003  0.239 -0.081  0.239 -0.159  0.239 -0.237  0.239 -0.315  0.239 -0.393  0.239 -0.471  0.239 -0.549  0.239 -0.627  0.239 -0.705  0.233 -0.781  0.178 -0.836  0.122 -0.891  0.067 -0.946  0.012 -1.001  -0.043 -1.057  -0.098 -1.112  -0.154 -1.167  -0.209 -1.222  -0.270 -1.263  -0.348 -1.263  -0.426 -1.263  -0.504 -1.263  -0.582 -1.263  -0.660 -1.263  -0.738 -1.263
2#app#app32#app3261/\"  -0.836 0.995  -0.836 0.834  -0.836 0.674  -0.977 0.654  -1.138 0.654  -1.178 0.533  -1.178 0.372  -1.178 0.211  -1.178 0.050  -1.178 -0.111  -1.178 -0.272  -1.117 -0.371  -0.956 -0.371  -0.836 -0.413  -0.836 -0.574  -0.821 -0.698  -0.707 -0.584  -0.594 -0.470  -0.480 -0.357  -0.366 -0.243  -0.252 -0.129  -0.139 -0.015  -0.025 0.098  0.089 0.212  0.203 0.326  0.316 0.440  0.430 0.553  0.544 0.667  0.658 0.781  0.771 0.895  0.872 0.977  0.872 0.816  0.872 0.655  0.872 0.494  0.872 0.333  0.872 0.172  0.872 0.012  0.752 -0.030  0.592 -0.030  0.530 -0.129  0.530 -0.290  0.530 -0.451  0.530 -0.612  0.590 -0.713  0.751 -0.713  0.872 -0.753  0.872 -0.914  0.892 -1.055  1.053 -1.055  1.214 -1.055
