1b#ced#rigi0287_s_jc/P  0.299 1.243  0.263 1.411  0.228 1.578  0.184 1.543  0.184 1.370  0.184 1.197  0.184 1.023  0.160 0.853  0.120 0.685  0.099 0.514  0.080 0.341  0.064 0.169  0.052 -0.003  0.030 -0.175  0.010 -0.347  -0.009 -0.519  -0.034 -0.690  -0.065 -0.860  -0.085 -1.032  -0.108 -1.204  -0.143 -1.373  -0.171 -1.544  -0.201 -1.714  -0.235 -1.797  -0.266 -1.627  -0.297 -1.457  -0.329 -1.286  -0.360 -1.116  -0.391 -0.946  -0.422 -0.776  -0.452 -0.605  -0.470 -0.433  -0.463 -0.261  -0.458 -0.088  -0.443 0.085  -0.405 0.253  -0.365 0.422  -0.317 0.588  -0.244 0.745  -0.133 0.874  0.024 0.944  0.194 0.926  0.348 0.847  0.494 0.756  0.617 0.636  0.696 0.483  0.715 0.313  0.651 0.153  0.560 0.008  0.427 -0.103
1b#ced#rigi0287_s_jc/I  0.333 0.306  0.333 0.398  0.310 0.487  0.305 0.579  0.286 0.668  0.242 0.748  0.204 0.832  0.167 0.916  0.125 0.999  0.096 1.086  0.066 1.173  0.027 1.257  0.027 1.349  -0.028 1.361  -0.028 1.268  -0.022 1.177  -0.006 1.088  -0.028 0.999  -0.028 0.906  -0.028 0.814  -0.028 0.721  -0.028 0.629  -0.028 0.536  -0.028 0.444  -0.028 0.351  -0.028 0.259  -0.040 0.167  -0.053 0.076  -0.056 -0.017  -0.056 -0.109  -0.066 -0.201  -0.082 -0.292  -0.095 -0.383  -0.108 -0.475  -0.112 -0.567  -0.112 -0.660  -0.107 -0.752  -0.094 -0.843  -0.087 -0.935  -0.100 -1.027  -0.112 -1.118  -0.112 -1.211  -0.112 -1.303  -0.112 -1.396  -0.112 -1.488  -0.112 -1.581  -0.111 -1.673  -0.095 -1.764  -0.079 -1.855  -0.056 -1.945
1b#ced#rigi0287_s_jc/Q  0.313 1.001  0.387 1.227  0.321 1.453  0.097 1.488  -0.095 1.343  -0.242 1.145  -0.373 0.937  -0.495 0.722  -0.586 0.493  -0.671 0.262  -0.752 0.030  -0.785 -0.214  -0.787 -0.460  -0.727 -0.697  -0.571 -0.876  -0.336 -0.947  -0.093 -0.930  0.137 -0.847  0.333 -0.702  0.489 -0.513  0.620 -0.304  0.687 -0.069  0.717 0.176  0.700 0.421  0.655 0.663  0.569 0.893  0.437 1.098  0.239 1.240  0.117 1.071  0.013 0.847  -0.090 0.623  -0.194 0.400  -0.297 0.176  -0.400 -0.048  -0.504 -0.272  -0.633 -0.435  -0.775 -0.251  -0.662 -0.055  -0.437 0.042  -0.196 0.048  0.033 -0.020  0.211 -0.182  0.312 -0.403  0.383 -0.638  0.423 -0.879  0.457 -1.123  0.478 -1.368  0.497 -1.613  0.524 -1.856  0.552 -2.097
1b#ced#rigi0287_s_jc/U  -0.662 0.610  -0.662 0.728  -0.684 0.838  -0.684 0.957  -0.705 1.066  -0.705 1.128  -0.705 1.010  -0.705 0.891  -0.705 0.773  -0.705 0.654  -0.704 0.536  -0.684 0.419  -0.684 0.300  -0.669 0.183  -0.662 0.065  -0.648 -0.053  -0.630 -0.170  -0.611 -0.287  -0.591 -0.404  -0.570 -0.521  -0.535 -0.634  -0.499 -0.747  -0.457 -0.858  -0.409 -0.966  -0.327 -1.049  -0.228 -1.114  -0.116 -1.125  -0.003 -1.095  0.113 -1.077  0.210 -1.010  0.305 -0.939  0.397 -0.864  0.468 -0.770  0.542 -0.677  0.603 -0.576  0.656 -0.470  0.709 -0.364  0.759 -0.256  0.806 -0.147  0.843 -0.034  0.880 0.078  0.903 0.194  0.919 0.311  0.937 0.429  0.956 0.546  0.976 0.663  0.978 0.781  0.992 0.898  1.000 1.016  1.000 1.135
1b#ced#rigi0287_s_jc/O  0.130 0.657  0.130 0.790  0.130 0.922  0.109 1.050  0.080 1.177  0.018 1.273  -0.104 1.269  -0.195 1.176  -0.275 1.070  -0.350 0.961  -0.413 0.844  -0.473 0.726  -0.529 0.606  -0.581 0.484  -0.633 0.361  -0.669 0.234  -0.720 0.112  -0.744 -0.018  -0.765 -0.149  -0.795 -0.278  -0.795 -0.410  -0.795 -0.543  -0.778 -0.674  -0.756 -0.805  -0.717 -0.932  -0.638 -1.037  -0.532 -1.116  -0.419 -1.184  -0.289 -1.211  -0.157 -1.208  -0.031 -1.169  0.088 -1.110  0.202 -1.043  0.307 -0.963  0.413 -0.884  0.498 -0.782  0.575 -0.674  0.645 -0.562  0.706 -0.444  0.759 -0.322  0.812 -0.201  0.850 -0.074  0.876 0.056  0.890 0.188  0.890 0.320  0.889 0.453  0.853 0.581  0.829 0.711  0.772 0.830  0.705 0.945
1b#ced#rigi0287_s_jc/R  0.180 0.662  0.120 0.873  -0.001 1.047  -0.157 0.907  -0.237 0.705  -0.294 0.492  -0.344 0.276  -0.390 0.060  -0.433 -0.158  -0.465 -0.376  -0.495 -0.596  -0.535 -0.812  -0.565 -1.031  -0.624 -1.099  -0.673 -0.882  -0.721 -0.666  -0.761 -0.449  -0.735 -0.229  -0.707 -0.010  -0.652 0.205  -0.599 0.420  -0.520 0.627  -0.427 0.827  -0.316 1.018  -0.156 1.169  0.025 1.295  0.228 1.380  0.441 1.362  0.618 1.232  0.722 1.040  0.729 0.823  0.687 0.606  0.580 0.416  0.453 0.238  0.311 0.070  0.143 -0.072  -0.037 -0.202  -0.229 -0.313  -0.422 -0.418  -0.435 -0.527  -0.219 -0.572  -0.007 -0.633  0.199 -0.713  0.400 -0.805  0.606 -0.886  0.799 -0.993  0.983 -1.115  1.165 -1.239  1.319 -1.394  1.445 -1.557
1b#ced#rigi0287_s_jc/J  0.161 -0.102  0.177 0.140  0.233 0.377  0.347 0.500  0.433 0.271  0.504 0.038  0.589 -0.192  0.633 -0.432  0.700 -0.668  0.710 -0.911  0.694 -1.155  0.634 -1.389  0.464 -1.562  0.243 -1.665  0.003 -1.678  -0.227 -1.608  -0.276 -1.413  -0.200 -1.180  -0.124 -0.947  -0.048 -0.714  0.028 -0.481  0.104 -0.248  0.180 -0.014  0.090 0.128  -0.143 0.200  -0.375 0.281  -0.361 0.429  -0.138 0.530  0.096 0.603  0.274 0.651  0.037 0.588  -0.200 0.525  -0.437 0.462  -0.674 0.399  -0.911 0.336  -1.150 0.288  -1.365 0.378  -1.487 0.411  -1.246 0.445  -1.008 0.500  -0.769 0.549  -0.529 0.599  -0.289 0.647  -0.050 0.703  0.189 0.756  0.429 0.808  0.662 0.882  0.901 0.935  1.140 0.986  1.356 1.013
1b#ced#rigi0287_s_jc/U  -0.955 1.027  -0.955 1.132  -0.977 1.154  -0.977 1.050  -0.947 0.950  -0.918 0.850  -0.910 0.747  -0.887 0.645  -0.863 0.544  -0.846 0.441  -0.822 0.339  -0.805 0.237  -0.777 0.136  -0.740 0.039  -0.694 -0.054  -0.659 -0.152  -0.615 -0.247  -0.565 -0.338  -0.526 -0.434  -0.479 -0.528  -0.421 -0.613  -0.353 -0.693  -0.279 -0.766  -0.195 -0.828  -0.112 -0.891  -0.012 -0.919  0.091 -0.939  0.195 -0.938  0.297 -0.918  0.398 -0.891  0.494 -0.852  0.558 -0.771  0.631 -0.696  0.686 -0.609  0.735 -0.517  0.788 -0.427  0.822 -0.328  0.852 -0.229  0.879 -0.128  0.892 -0.025  0.907 0.079  0.923 0.182  0.923 0.286  0.923 0.390  0.919 0.494  0.902 0.597  0.901 0.701  0.886 0.803  0.854 0.903  0.834 1.005
1b#ced#rigi0287_s_jc/G  -0.250 1.099  -0.187 1.273  -0.149 1.452  -0.142 1.630  -0.257 1.612  -0.341 1.447  -0.430 1.284  -0.520 1.122  -0.572 0.944  -0.643 0.773  -0.708 0.599  -0.772 0.424  -0.809 0.243  -0.848 0.061  -0.877 -0.122  -0.877 -0.308  -0.861 -0.493  -0.803 -0.669  -0.663 -0.773  -0.482 -0.815  -0.299 -0.841  -0.115 -0.859  0.068 -0.826  0.242 -0.761  0.404 -0.672  0.512 -0.524  0.578 -0.360  0.544 -0.179  0.394 -0.085  0.223 -0.013  0.069 0.091  -0.095 0.176  -0.264 0.248  -0.338 0.351  -0.161 0.392  0.023 0.410  0.208 0.409  0.388 0.376  0.554 0.294  0.669 0.150  0.727 -0.025  0.763 -0.208  0.781 -0.392  0.781 -0.578  0.781 -0.764  0.760 -0.948  0.760 -1.134  0.755 -1.319  0.740 -1.504  0.740 -1.690
1b#ced#rigi0287_s_jc/S  0.248 0.381  0.309 0.463  0.349 0.559  0.382 0.659  0.415 0.758  0.423 0.861  0.423 0.965  0.383 1.060  0.299 1.117  0.198 1.130  0.094 1.130  -0.010 1.128  -0.110 1.099  -0.193 1.036  -0.293 1.007  -0.378 0.948  -0.455 0.877  -0.528 0.803  -0.594 0.722  -0.655 0.637  -0.716 0.552  -0.765 0.462  -0.775 0.359  -0.794 0.257  -0.776 0.157  -0.729 0.064  -0.657 -0.011  -0.593 -0.094  -0.523 -0.171  -0.442 -0.237  -0.356 -0.295  -0.267 -0.350  -0.183 -0.412  -0.108 -0.485  -0.026 -0.548  0.063 -0.603  0.146 -0.665  0.236 -0.719  0.316 -0.785  0.392 -0.856  0.475 -0.919  0.549 -0.993  0.623 -1.067  0.679 -1.155  0.733 -1.244  0.746 -1.344  0.709 -1.442  0.657 -1.531  0.581 -1.603  0.498 -1.665
1b#ced#rigi0287_s_jc/F  -0.330 0.288  -0.366 0.542  -0.384 0.573  -0.386 0.316  -0.379 0.055  -0.343 -0.203  -0.328 -0.464  -0.297 -0.723  -0.247 -0.979  -0.213 -1.238  -0.176 -1.496  -0.188 -1.571  -0.295 -1.332  -0.401 -1.094  -0.507 -0.855  -0.613 -0.616  -0.719 -0.378  -0.825 -0.139  -0.931 0.100  -1.066 0.305  -1.127 0.421  -0.901 0.551  -0.662 0.651  -0.417 0.740  -0.171 0.824  0.083 0.885  0.338 0.944  0.593 0.998  0.847 1.059  1.104 1.105  1.363 1.133  1.499 1.093  1.293 0.933  1.086 0.773  0.879 0.614  0.672 0.454  0.466 0.294  0.259 0.135  0.052 -0.025  -0.154 -0.185  -0.329 -0.378  -0.505 -0.570  -0.546 -0.659  -0.295 -0.588  -0.041 -0.529  0.212 -0.469  0.468 -0.417  0.721 -0.352  0.975 -0.290  1.230 -0.235
1b#ced#rigi0287_s_jc/O  -0.143 0.785  -0.123 0.909  -0.123 1.036  -0.168 1.139  -0.278 1.139  -0.373 1.056  -0.470 0.975  -0.534 0.866  -0.594 0.755  -0.655 0.643  -0.712 0.530  -0.761 0.413  -0.797 0.292  -0.827 0.169  -0.847 0.043  -0.863 -0.083  -0.865 -0.209  -0.851 -0.335  -0.833 -0.461  -0.803 -0.584  -0.749 -0.698  -0.681 -0.804  -0.601 -0.902  -0.500 -0.978  -0.388 -1.037  -0.267 -1.060  -0.140 -1.060  -0.013 -1.060  0.114 -1.060  0.234 -1.027  0.349 -0.974  0.457 -0.908  0.553 -0.826  0.642 -0.736  0.724 -0.638  0.790 -0.530  0.843 -0.416  0.883 -0.296  0.901 -0.170  0.915 -0.044  0.920 0.083  0.915 0.209  0.898 0.335  0.867 0.458  0.821 0.576  0.771 0.692  0.713 0.805  0.638 0.907  0.549 0.996  0.459 1.086
1b#ced#rigi0287_s_jc/X  -0.102 0.420  -0.242 0.520  -0.383 0.615  -0.518 0.722  -0.641 0.831  -0.668 0.825  -0.574 0.680  -0.462 0.550  -0.370 0.404  -0.279 0.258  -0.183 0.114  -0.099 -0.036  -0.015 -0.186  0.098 -0.315  0.188 -0.461  0.279 -0.608  0.410 -0.583  0.557 -0.493  0.704 -0.402  0.851 -0.312  0.997 -0.222  1.137 -0.127  1.137 0.045  1.133 0.217  1.110 0.388  1.082 0.558  1.053 0.728  1.022 0.892  0.910 1.001  0.745 0.984  0.593 0.907  0.458 0.799  0.338 0.677  0.221 0.550  0.106 0.422  0.011 0.279  -0.095 0.142  -0.198 0.005  -0.299 -0.135  -0.407 -0.269  -0.516 -0.403  -0.620 -0.541  -0.720 -0.681  -0.811 -0.828  -0.905 -0.972  -1.009 -1.110  -1.108 -1.250  -1.204 -1.394  -1.304 -1.534  -1.405 -1.674
1b#ced#rigi0287_s_jc/L  -0.413 0.606  -0.407 0.718  -0.390 0.829  -0.367 0.936  -0.367 1.050  -0.347 1.159  -0.343 1.271  -0.367 1.361  -0.367 1.308  -0.387 1.198  -0.390 1.085  -0.403 0.973  -0.431 0.863  -0.437 0.750  -0.453 0.639  -0.473 0.527  -0.483 0.415  -0.488 0.302  -0.507 0.190  -0.507 0.077  -0.524 -0.035  -0.530 -0.148  -0.540 -0.261  -0.562 -0.372  -0.586 -0.483  -0.600 -0.594  -0.600 -0.708  -0.579 -0.816  -0.542 -0.907  -0.430 -0.913  -0.320 -0.890  -0.212 -0.857  -0.104 -0.822  0.003 -0.788  0.111 -0.756  0.213 -0.705  0.314 -0.655  0.422 -0.619  0.529 -0.583  0.638 -0.553  0.747 -0.524  0.853 -0.482  0.960 -0.445  1.071 -0.422  1.182 -0.400  1.284 -0.351  1.394 -0.329  1.504 -0.309  1.601 -0.266  1.631 -0.259
1b#ced#rigi0287_s_jc/A  -0.222 0.497  -0.214 0.742  -0.353 0.556  -0.424 0.309  -0.457 0.056  -0.498 -0.197  -0.521 -0.452  -0.523 -0.709  -0.513 -0.951  -0.452 -0.718  -0.428 -0.464  -0.390 -0.210  -0.353 0.045  -0.321 0.300  -0.291 0.555  -0.272 0.811  -0.234 1.065  -0.214 1.320  -0.199 1.576  -0.071 1.761  0.060 1.558  0.168 1.325  0.251 1.084  0.344 0.844  0.428 0.601  0.533 0.368  0.615 0.124  0.684 -0.121  0.783 -0.358  0.893 -0.589  0.995 -0.824  1.112 -1.047  1.190 -1.292  1.239 -1.525  1.038 -1.369  0.841 -1.204  0.643 -1.040  0.446 -0.875  0.248 -0.711  0.051 -0.546  -0.147 -0.381  -0.344 -0.217  -0.572 -0.125  -0.825 -0.146  -1.082 -0.146  -1.007 -0.033  -0.777 0.077  -0.533 0.156  -0.287 0.228  -0.038 0.290
1b#ced#rigi0287_s_jc/Z  -0.896 0.268  -1.050 0.323  -1.198 0.352  -1.334 0.392  -1.179 0.436  -1.017 0.485  -0.853 0.533  -0.690 0.576  -0.529 0.629  -0.361 0.657  -0.195 0.694  -0.032 0.744  0.134 0.778  0.298 0.824  0.456 0.885  0.617 0.937  0.780 0.985  0.947 1.010  1.000 0.973  0.893 0.843  0.772 0.723  0.637 0.620  0.522 0.496  0.399 0.379  0.278 0.261  0.163 0.136  0.042 0.016  -0.078 -0.105  -0.198 -0.225  -0.310 -0.353  -0.424 -0.480  -0.526 -0.616  -0.644 -0.738  -0.747 -0.873  -0.806 -1.025  -0.795 -1.002  -0.661 -0.907  -0.500 -0.866  -0.333 -0.844  -0.166 -0.811  0.003 -0.797  0.173 -0.788  0.341 -0.766  0.506 -0.733  0.674 -0.721  0.844 -0.721  1.012 -0.693  1.177 -0.653  1.344 -0.631  1.509 -0.608
1b#ced#rigi0287_s_jc/Y  0.126 -0.918  0.181 -0.750  0.222 -0.577  0.208 -0.404  0.124 -0.350  0.126 -0.513  0.153 -0.688  0.198 -0.861  0.217 -1.038  0.243 -1.214  0.256 -1.373  0.137 -1.238  0.019 -1.103  -0.099 -0.968  -0.217 -0.833  -0.335 -0.698  -0.453 -0.562  -0.571 -0.427  -0.690 -0.292  -0.808 -0.157  -0.929 -0.026  -1.041 0.113  -1.114 0.277  -1.190 0.438  -1.277 0.593  -1.278 0.684  -1.107 0.649  -0.961 0.549  -0.816 0.454  -0.689 0.331  -0.542 0.228  -0.396 0.125  -0.240 0.074  -0.064 0.112  0.111 0.150  0.286 0.188  0.462 0.226  0.637 0.263  0.812 0.301  0.988 0.339  1.105 0.442  1.145 0.617  1.158 0.794  1.158 0.973  1.110 1.140  0.979 1.227  0.837 1.124  0.708 1.005  0.603 0.862  0.507 0.711
1b#ced#rigi0287_s_jc/Q  0.182 0.098  0.158 0.347  0.231 0.600  0.275 0.862  0.300 1.125  0.270 1.386  0.076 1.523  -0.165 1.418  -0.364 1.244  -0.543 1.050  -0.682 0.824  -0.806 0.590  -0.925 0.353  -1.038 0.113  -1.112 -0.141  -1.135 -0.405  -1.130 -0.670  -1.037 -0.918  -0.838 -1.086  -0.593 -1.172  -0.328 -1.166  -0.075 -1.089  0.157 -0.961  0.352 -0.782  0.527 -0.584  0.674 -0.363  0.766 -0.116  0.801 0.145  0.783 0.406  0.676 0.646  0.486 0.816  0.278 0.794  0.147 0.563  0.016 0.332  -0.115 0.101  -0.245 -0.129  -0.376 -0.360  -0.509 -0.584  -0.727 -0.506  -0.660 -0.269  -0.454 -0.120  -0.194 -0.067  0.072 -0.067  0.329 -0.124  0.581 -0.207  0.820 -0.320  1.040 -0.467  1.214 -0.666  1.375 -0.877  1.463 -1.125
