2#apa#apa10#app1041/A  -0.643 -0.030  -0.643 -0.214  -0.643 -0.398  -0.643 -0.582  -0.643 -0.766  -0.643 -0.950  -0.643 -1.134  -0.643 -1.057  -0.643 -0.873  -0.643 -0.689  -0.610 -0.510  -0.552 -0.336  -0.494 -0.161  -0.435 0.014  -0.377 0.188  -0.305 0.357  -0.222 0.522  -0.140 0.686  -0.057 0.851  0.038 1.008  0.133 1.166  0.227 1.324  0.322 1.482  0.451 1.603  0.616 1.685  0.660 1.573  0.694 1.393  0.730 1.212  0.766 1.032  0.803 0.851  0.751 0.676  0.692 0.501  0.634 0.327  0.576 0.152  0.518 -0.023  0.436 -0.188  0.371 -0.356  0.371 -0.540  0.371 -0.725  0.322 -0.901  0.263 -1.075  0.226 -1.253  0.168 -1.245  0.066 -1.092  -0.037 -0.939  -0.139 -0.786  -0.241 -0.633  -0.343 -0.480  -0.470 -0.347  -0.353 -0.319
2#apa#apa10#app1041/t  0.378 1.388  0.455 1.542  0.532 1.697  0.487 1.682  0.367 1.558  0.263 1.420  0.159 1.281  0.056 1.143  -0.048 1.005  -0.152 0.866  -0.226 0.711  -0.290 0.550  -0.354 0.390  -0.418 0.229  -0.483 0.068  -0.546 -0.092  -0.588 -0.260  -0.630 -0.428  -0.672 -0.596  -0.714 -0.764  -0.731 -0.935  -0.646 -1.056  -0.492 -1.133  -0.334 -1.198  -0.161 -1.198  0.012 -1.198  0.185 -1.198  0.358 -1.198  0.531 -1.198  0.662 -1.098  0.785 -0.976  0.907 -0.853  0.815 -0.756  0.668 -0.664  0.521 -0.572  0.375 -0.480  0.228 -0.389  0.081 -0.297  -0.066 -0.205  -0.212 -0.114  -0.359 -0.022  -0.506 0.070  -0.546 0.220  -0.444 0.330  -0.289 0.408  -0.130 0.464  0.043 0.464  0.216 0.464  0.389 0.464  0.562 0.464
2#apa#apa10#app1041/i  0.222 0.340  0.088 0.340  -0.040 0.312  -0.160 0.252  -0.280 0.192  -0.400 0.132  -0.475 0.021  -0.550 -0.091  -0.624 -0.203  -0.699 -0.314  -0.774 -0.426  -0.818 -0.547  -0.818 -0.682  -0.818 -0.816  -0.780 -0.927  -0.660 -0.987  -0.540 -1.047  -0.419 -1.107  -0.293 -1.080  -0.166 -1.037  -0.038 -0.995  0.089 -0.953  0.217 -0.910  0.351 -0.908  0.485 -0.908  0.620 -0.908  0.720 -0.826  0.815 -0.731  0.812 -0.617  0.760 -0.493  0.708 -0.369  0.656 -0.245  0.605 -0.121  0.553 0.003  0.501 0.127  0.450 0.251  0.398 0.375  0.346 0.499  0.295 0.623  0.243 0.747  0.191 0.871  0.140 0.995  0.088 1.119  0.036 1.243  -0.015 1.367  -0.067 1.491  -0.119 1.615  -0.170 1.739  -0.267 1.795  -0.402 1.795
2#apa#apa10#app1041/c  1.080 0.773  1.080 0.859  1.080 0.945  1.080 1.031  1.015 1.029  0.934 1.001  0.852 0.974  0.771 0.947  0.689 0.920  0.607 0.893  0.526 0.865  0.444 0.838  0.362 0.811  0.281 0.784  0.205 0.744  0.134 0.696  0.062 0.648  -0.010 0.601  -0.081 0.553  -0.153 0.505  -0.224 0.457  -0.296 0.410  -0.368 0.362  -0.439 0.314  -0.511 0.267  -0.581 0.218  -0.581 0.132  -0.581 0.046  -0.581 -0.040  -0.581 -0.126  -0.581 -0.212  -0.581 -0.298  -0.581 -0.385  -0.581 -0.471  -0.581 -0.557  -0.566 -0.639  -0.527 -0.716  -0.489 -0.793  -0.451 -0.870  -0.412 -0.947  -0.374 -1.024  -0.335 -1.101  -0.289 -1.171  -0.212 -1.209  -0.135 -1.248  -0.058 -1.286  0.019 -1.325  0.096 -1.363  0.172 -1.402  0.249 -1.440
2#apa#apa10#app1041/e  -0.723 -0.514  -0.841 -0.396  -0.959 -0.278  -0.924 -0.223  -0.756 -0.223  -0.589 -0.223  -0.422 -0.223  -0.255 -0.223  -0.087 -0.223  0.080 -0.223  0.247 -0.223  0.415 -0.223  0.582 -0.223  0.745 -0.212  0.863 -0.094  0.981 0.025  1.099 0.143  1.218 0.261  1.316 0.388  1.316 0.555  1.316 0.723  1.316 0.890  1.201 0.942  1.033 0.942  0.866 0.942  0.699 0.942  0.532 0.942  0.373 0.907  0.223 0.832  0.073 0.757  -0.076 0.683  -0.226 0.608  -0.376 0.533  -0.525 0.458  -0.675 0.383  -0.803 0.279  -0.921 0.161  -1.014 0.032  -1.014 -0.136  -1.014 -0.303  -1.014 -0.470  -0.911 -0.583  -0.772 -0.675  -0.633 -0.768  -0.493 -0.861  -0.354 -0.954  -0.215 -1.047  -0.085 -1.151  0.033 -1.269  0.151 -1.388
2#apa#apa10#app1041/d  0.207 -0.089  0.081 0.036  -0.082 0.073  -0.253 0.027  -0.422 -0.029  -0.590 -0.085  -0.719 -0.206  -0.845 -0.332  -0.971 -0.457  -1.097 -0.583  -1.223 -0.709  -1.251 -0.876  -1.251 -1.053  -1.098 -1.137  -0.939 -1.217  -0.780 -1.149  -0.621 -1.070  -0.471 -0.973  -0.323 -0.874  -0.175 -0.776  -0.052 -0.650  0.054 -0.508  0.161 -0.366  0.268 -0.223  0.370 -0.079  0.395 0.097  0.420 0.273  0.445 0.449  0.471 0.626  0.496 0.802  0.521 0.978  0.530 1.155  0.530 1.333  0.530 1.511  0.530 1.689  0.530 1.516  0.526 1.339  0.496 1.163  0.467 0.988  0.438 0.812  0.409 0.637  0.379 0.461  0.369 0.284  0.369 0.106  0.369 -0.072  0.428 -0.238  0.494 -0.403  0.560 -0.569  0.626 -0.734  0.692 -0.899
2#apa#apa10#app1041/d  0.165 -0.815  0.165 -0.639  0.136 -0.492  -0.041 -0.492  -0.217 -0.492  -0.394 -0.492  -0.555 -0.541  -0.702 -0.639  -0.849 -0.737  -1.002 -0.815  -1.129 -0.865  -1.129 -1.041  -1.050 -1.139  -0.874 -1.139  -0.715 -1.079  -0.568 -0.981  -0.422 -0.883  -0.290 -0.770  -0.192 -0.623  -0.094 -0.476  0.004 -0.330  0.083 -0.172  0.162 -0.014  0.241 0.144  0.320 0.302  0.358 0.474  0.393 0.647  0.428 0.820  0.462 0.993  0.502 1.165  0.558 1.332  0.613 1.500  0.651 1.670  0.599 1.721  0.485 1.590  0.450 1.417  0.415 1.244  0.381 1.071  0.346 0.898  0.292 0.732  0.213 0.574  0.165 0.409  0.165 0.232  0.165 0.056  0.165 -0.121  0.165 -0.297  0.165 -0.474  0.215 -0.642  0.271 -0.810  0.327 -0.977
2#apa#apa10#app1041/o  -0.007 0.553  -0.007 0.700  -0.044 0.759  -0.149 0.655  -0.254 0.553  -0.402 0.553  -0.534 0.513  -0.638 0.409  -0.743 0.304  -0.848 0.199  -0.952 0.095  -1.015 -0.035  -1.062 -0.176  -1.109 -0.316  -1.155 -0.456  -1.202 -0.597  -1.171 -0.719  -1.067 -0.823  -0.954 -0.908  -0.806 -0.908  -0.659 -0.908  -0.511 -0.908  -0.363 -0.908  -0.216 -0.900  -0.073 -0.864  0.071 -0.828  0.214 -0.792  0.358 -0.756  0.501 -0.720  0.645 -0.685  0.753 -0.605  0.819 -0.473  0.885 -0.341  0.951 -0.208  1.003 -0.070  1.049 0.070  1.096 0.211  1.143 0.351  1.190 0.491  1.151 0.611  1.047 0.716  0.932 0.796  0.784 0.796  0.636 0.796  0.488 0.796  0.341 0.796  0.193 0.796  0.045 0.796  -0.103 0.796  -0.251 0.796
2#apa#apa10#app1041/o  0.409 0.342  0.279 0.408  0.148 0.473  0.018 0.538  -0.112 0.603  -0.243 0.668  -0.373 0.639  -0.504 0.574  -0.634 0.509  -0.764 0.443  -0.895 0.378  -0.966 0.277  -0.966 0.131  -0.966 -0.015  -0.966 -0.160  -0.966 -0.306  -0.966 -0.452  -0.966 -0.598  -0.966 -0.743  -0.966 -0.889  -0.964 -1.033  -0.818 -1.033  -0.672 -1.033  -0.527 -1.033  -0.381 -1.033  -0.240 -1.013  -0.109 -0.948  0.021 -0.883  0.151 -0.818  0.282 -0.753  0.411 -0.687  0.514 -0.583  0.617 -0.480  0.721 -0.377  0.824 -0.274  0.927 -0.171  1.030 -0.068  1.097 0.050  1.097 0.196  1.097 0.341  1.032 0.472  0.967 0.602  0.902 0.733  0.836 0.863  0.771 0.993  0.648 1.030  0.502 1.030  0.357 1.030  0.211 1.030  0.065 1.030
2#apa#apa10#app1041/r  0.093 0.159  0.093 0.042  0.093 -0.074  0.093 -0.191  0.093 -0.307  0.093 -0.424  0.093 -0.541  0.043 -0.645  -0.009 -0.749  -0.061 -0.854  -0.114 -0.958  -0.166 -1.062  -0.218 -1.166  -0.283 -1.249  -0.400 -1.249  -0.516 -1.249  -0.611 -1.227  -0.611 -1.110  -0.611 -0.994  -0.611 -0.877  -0.611 -0.761  -0.611 -0.644  -0.611 -0.528  -0.611 -0.411  -0.611 -0.295  -0.611 -0.178  -0.611 -0.062  -0.611 0.055  -0.602 0.168  -0.519 0.250  -0.437 0.333  -0.355 0.415  -0.272 0.497  -0.190 0.580  -0.107 0.662  -0.025 0.745  0.057 0.827  0.159 0.863  0.276 0.863  0.392 0.863  0.505 0.883  0.616 0.920  0.727 0.956  0.837 0.993  0.948 1.030  1.058 1.067  1.169 1.104  1.279 1.141  1.390 1.178  1.500 1.214
2#apa#apa10#app1041/o  0.136 0.601  -0.018 0.601  -0.173 0.601  -0.327 0.601  -0.482 0.601  -0.637 0.601  -0.791 0.601  -0.946 0.601  -1.101 0.601  -1.202 0.547  -1.202 0.393  -1.160 0.248  -1.090 0.110  -1.021 -0.029  -0.952 -0.167  -0.853 -0.284  -0.744 -0.393  -0.635 -0.502  -0.525 -0.612  -0.416 -0.721  -0.282 -0.796  -0.144 -0.866  -0.005 -0.935  0.133 -1.004  0.287 -1.006  0.442 -1.006  0.596 -1.006  0.751 -1.006  0.906 -1.006  0.993 -0.898  1.063 -0.759  1.132 -0.621  1.201 -0.483  1.207 -0.330  1.192 -0.180  1.106 -0.051  1.020 0.078  0.935 0.206  0.849 0.335  0.763 0.464  0.677 0.592  0.527 0.601  0.372 0.601  0.218 0.601  0.067 0.624  -0.080 0.673  -0.227 0.722  -0.373 0.770  -0.520 0.819  -0.667 0.868
2#apa#apa10#app1041/p  -0.183 0.399  -0.080 0.502  0.002 0.554  0.002 0.409  0.002 0.264  0.002 0.119  -0.024 -0.020  -0.088 -0.150  -0.153 -0.280  -0.183 -0.418  -0.183 -0.563  -0.183 -0.708  -0.183 -0.853  -0.183 -0.998  -0.213 -1.136  -0.278 -1.266  -0.342 -1.395  -0.457 -1.445  -0.602 -1.445  -0.734 -1.435  -0.706 -1.293  -0.677 -1.150  -0.649 -1.008  -0.620 -0.866  -0.592 -0.724  -0.563 -0.581  -0.513 -0.447  -0.449 -0.317  -0.384 -0.187  -0.314 -0.060  -0.242 0.066  -0.170 0.192  -0.098 0.318  -0.026 0.444  0.046 0.570  0.118 0.695  0.190 0.821  0.262 0.947  0.334 1.073  0.442 1.137  0.584 1.151  0.714 1.216  0.843 1.281  0.963 1.282  1.065 1.179  1.061 1.066  0.981 0.945  0.900 0.825  0.820 0.704  0.739 0.583
2#apa#apa10#app1041/e  -0.635 0.360  -0.635 0.187  -0.635 0.013  -0.635 -0.160  -0.635 -0.333  -0.539 -0.466  -0.417 -0.589  -0.294 -0.711  -0.172 -0.637  -0.049 -0.515  0.073 -0.392  0.237 -0.370  0.411 -0.370  0.515 -0.260  0.593 -0.105  0.670 0.050  0.748 0.205  0.825 0.360  0.825 0.533  0.825 0.706  0.825 0.880  0.825 1.053  0.825 1.226  0.825 1.399  0.708 1.455  0.535 1.455  0.390 1.385  0.268 1.263  0.145 1.140  0.038 1.005  -0.058 0.861  -0.154 0.717  -0.250 0.573  -0.346 0.429  -0.442 0.284  -0.538 0.140  -0.634 -0.004  -0.635 -0.177  -0.635 -0.350  -0.635 -0.523  -0.635 -0.696  -0.635 -0.869  -0.635 -1.043  -0.526 -1.137  -0.361 -1.192  -0.197 -1.247  -0.033 -1.301  0.131 -1.356  0.296 -1.411  0.460 -1.466
2#apa#apa10#app1041/n  0.084 0.421  -0.074 0.421  -0.232 0.421  -0.390 0.421  -0.536 0.410  -0.536 0.252  -0.544 0.095  -0.615 -0.046  -0.685 -0.187  -0.756 -0.329  -0.827 -0.470  -0.847 -0.623  -0.847 -0.781  -0.847 -0.939  -0.847 -1.097  -0.971 -1.131  -1.129 -1.131  -1.099 -1.014  -1.028 -0.873  -0.958 -0.732  -0.887 -0.590  -0.778 -0.510  -0.620 -0.510  -0.495 -0.449  -0.408 -0.317  -0.320 -0.186  -0.232 -0.054  -0.145 0.077  -0.057 0.209  0.031 0.340  0.139 0.448  0.280 0.519  0.422 0.590  0.563 0.660  0.704 0.731  0.846 0.802  0.987 0.872  1.128 0.943  1.270 1.014  1.296 0.951  1.246 0.801  1.196 0.652  1.146 0.502  1.096 0.352  1.046 0.202  0.988 0.055  0.917 -0.086  0.846 -0.227  0.776 -0.369  0.705 -0.510
2#apa#apa10#app1041/e  -1.170 -0.249  -1.170 -0.080  -1.170 0.088  -1.054 -0.022  -0.935 -0.141  -0.816 -0.260  -0.697 -0.380  -0.577 -0.499  -0.447 -0.591  -0.279 -0.591  -0.110 -0.591  0.059 -0.591  0.227 -0.591  0.396 -0.591  0.565 -0.591  0.733 -0.591  0.886 -0.575  0.886 -0.407  0.889 -0.239  0.942 -0.079  0.996 0.081  1.049 0.241  1.102 0.401  1.156 0.561  1.209 0.721  1.152 0.855  1.032 0.974  0.913 1.094  0.756 1.121  0.588 1.121  0.419 1.121  0.250 1.121  0.116 1.037  -0.003 0.918  -0.122 0.799  -0.241 0.680  -0.360 0.560  -0.480 0.441  -0.557 0.292  -0.632 0.141  -0.708 -0.010  -0.783 -0.161  -0.796 -0.312  -0.720 -0.462  -0.645 -0.613  -0.570 -0.764  -0.494 -0.915  -0.381 -1.038  -0.261 -1.157  -0.142 -1.277
2#apa#apa10#app1041/d  0.036 -0.505  -0.047 -0.340  -0.145 -0.199  -0.329 -0.199  -0.514 -0.199  -0.699 -0.199  -0.839 -0.307  -0.969 -0.438  -1.037 -0.594  -1.037 -0.779  -1.037 -0.964  -0.853 -0.965  -0.669 -0.965  -0.500 -0.913  -0.346 -0.811  -0.192 -0.708  -0.075 -0.573  0.007 -0.408  0.090 -0.243  0.173 -0.078  0.225 0.099  0.270 0.278  0.314 0.457  0.359 0.636  0.404 0.815  0.449 0.995  0.494 1.174  0.552 1.349  0.610 1.524  0.648 1.703  0.596 1.714  0.493 1.560  0.391 1.406  0.311 1.241  0.253 1.066  0.195 0.891  0.165 0.709  0.139 0.526  0.113 0.343  0.087 0.160  0.061 -0.023  0.037 -0.205  0.067 -0.388  0.097 -0.570  0.128 -0.752  0.158 -0.934  0.188 -1.116  0.290 -1.270  0.393 -1.424  0.495 -1.578
