3#apb#apb22#app2207/O  0.072 0.914  -0.061 0.929  -0.193 0.923  -0.320 0.883  -0.424 0.804  -0.500 0.696  -0.559 0.577  -0.611 0.454  -0.653 0.327  -0.695 0.201  -0.735 0.074  -0.767 -0.056  -0.798 -0.186  -0.830 -0.315  -0.858 -0.446  -0.876 -0.578  -0.895 -0.710  -0.914 -0.842  -0.869 -0.968  -0.825 -1.093  -0.705 -1.144  -0.580 -1.188  -0.459 -1.147  -0.338 -1.089  -0.218 -1.031  -0.103 -0.965  0.005 -0.887  0.113 -0.808  0.221 -0.730  0.329 -0.651  0.425 -0.560  0.516 -0.462  0.607 -0.364  0.698 -0.267  0.782 -0.164  0.846 -0.047  0.911 0.069  0.976 0.186  1.008 0.313  1.026 0.446  1.036 0.577  0.991 0.703  0.944 0.826  0.839 0.909  0.734 0.991  0.601 1.004  0.469 1.016  0.339 1.003  0.213 0.959  0.087 0.914
3#apb#apb22#app2207/c  1.259 0.979  1.217 1.043  1.163 1.083  1.086 1.083  1.017 1.061  0.953 1.018  0.890 0.976  0.827 0.934  0.763 0.891  0.701 0.848  0.639 0.804  0.577 0.759  0.514 0.715  0.452 0.671  0.390 0.626  0.328 0.582  0.266 0.538  0.211 0.486  0.157 0.432  0.103 0.378  0.049 0.324  -0.005 0.270  -0.059 0.216  -0.113 0.162  -0.167 0.108  -0.221 0.055  -0.275 0.001  -0.329 -0.053  -0.382 -0.107  -0.436 -0.161  -0.490 -0.215  -0.544 -0.269  -0.588 -0.329  -0.612 -0.401  -0.637 -0.474  -0.661 -0.546  -0.685 -0.618  -0.709 -0.691  -0.719 -0.765  -0.719 -0.841  -0.719 -0.918  -0.706 -0.991  -0.672 -1.059  -0.638 -1.127  -0.592 -1.181  -0.520 -1.208  -0.448 -1.234  -0.377 -1.260  -0.305 -1.286  -0.233 -1.312
3#apb#apb22#app2207/e  0.069 1.118  -0.043 0.904  -0.176 0.700  -0.301 0.491  -0.399 0.270  -0.487 0.043  -0.609 -0.167  -0.727 -0.380  -0.836 -0.597  -0.896 -0.811  -0.782 -0.596  -0.669 -0.381  -0.556 -0.166  -0.443 0.050  -0.329 0.265  -0.216 0.480  -0.103 0.696  0.011 0.911  0.204 1.045  0.436 1.116  0.678 1.141  0.921 1.149  1.163 1.133  1.405 1.118  1.281 0.995  1.086 0.849  0.892 0.703  0.697 0.557  0.503 0.412  0.308 0.266  0.113 0.120  -0.081 -0.026  -0.064 -0.102  0.166 -0.030  0.406 -0.008  0.649 -0.008  0.594 -0.111  0.403 -0.262  0.212 -0.413  0.021 -0.563  -0.170 -0.714  -0.361 -0.864  -0.552 -1.015  -0.743 -1.166  -0.920 -1.328  -0.830 -1.435  -0.590 -1.401  -0.353 -1.346  -0.112 -1.321  0.131 -1.321
3#apb#apb22#app2207/1  0.448 1.620  0.412 1.573  0.403 1.505  0.397 1.436  0.391 1.367  0.374 1.300  0.351 1.234  0.328 1.169  0.305 1.103  0.282 1.038  0.259 0.973  0.238 0.906  0.219 0.840  0.199 0.773  0.180 0.707  0.161 0.640  0.141 0.573  0.122 0.507  0.103 0.440  0.083 0.373  0.065 0.307  0.048 0.239  0.031 0.172  0.014 0.105  -0.003 0.037  -0.019 -0.030  -0.036 -0.097  -0.053 -0.165  -0.070 -0.232  -0.087 -0.299  -0.104 -0.367  -0.120 -0.434  -0.137 -0.501  -0.154 -0.568  -0.171 -0.636  -0.188 -0.703  -0.204 -0.770  -0.221 -0.838  -0.238 -0.905  -0.255 -0.972  -0.272 -1.040  -0.289 -1.107  -0.305 -1.174  -0.323 -1.241  -0.340 -1.308  -0.358 -1.376  -0.375 -1.443  -0.393 -1.510  -0.410 -1.577  -0.428 -1.644
3#apb#apb22#app2207/B  -0.247 0.996  -0.254 0.919  -0.299 0.731  -0.326 0.539  -0.395 0.359  -0.467 0.180  -0.538 0.000  -0.607 -0.180  -0.673 -0.362  -0.742 -0.543  -0.820 -0.719  -0.907 -0.892  -0.958 -0.902  -0.910 -0.715  -0.848 -0.532  -0.768 -0.357  -0.686 -0.181  -0.592 -0.012  -0.498 0.157  -0.396 0.320  -0.282 0.476  -0.168 0.632  -0.040 0.777  0.093 0.917  0.227 1.056  0.385 1.167  0.545 1.276  0.708 1.380  0.860 1.302  0.903 1.119  0.880 0.927  0.807 0.750  0.724 0.575  0.630 0.406  0.529 0.242  0.411 0.088  0.281 -0.054  0.362 -0.091  0.510 -0.211  0.636 -0.357  0.717 -0.533  0.728 -0.724  0.699 -0.914  0.621 -1.086  0.485 -1.219  0.314 -1.306  0.129 -1.363  -0.063 -1.367  -0.255 -1.353  -0.445 -1.318
3#apb#apb22#app2207/e  -0.158 -0.407  -0.157 -0.286  -0.070 -0.199  0.049 -0.173  0.137 -0.098  0.212 -0.001  0.287 0.096  0.377 0.178  0.469 0.258  0.556 0.344  0.630 0.441  0.703 0.539  0.776 0.637  0.850 0.735  0.923 0.833  0.988 0.933  0.988 1.056  0.962 1.175  0.859 1.154  0.745 1.111  0.645 1.042  0.550 0.965  0.455 0.888  0.360 0.811  0.265 0.734  0.176 0.650  0.090 0.564  0.003 0.478  -0.083 0.391  -0.170 0.305  -0.250 0.212  -0.321 0.113  -0.393 0.014  -0.465 -0.085  -0.536 -0.184  -0.608 -0.283  -0.669 -0.389  -0.729 -0.495  -0.790 -0.602  -0.851 -0.708  -0.862 -0.830  -0.872 -0.951  -0.881 -1.073  -0.839 -1.188  -0.797 -1.303  -0.745 -1.408  -0.629 -1.444  -0.512 -1.481  -0.395 -1.517  -0.278 -1.554
3#apb#apb22#app2207/a  -1.309 -0.980  -1.223 -1.077  -1.147 -0.940  -1.087 -0.789  -1.008 -0.647  -0.928 -0.505  -0.848 -0.364  -0.758 -0.229  -0.664 -0.096  -0.571 0.038  -0.478 0.171  -0.385 0.304  -0.291 0.437  -0.198 0.570  -0.105 0.704  -0.007 0.833  0.100 0.956  0.206 1.078  0.313 1.201  0.447 1.292  0.583 1.382  0.729 1.448  0.840 1.355  0.848 1.195  0.847 1.032  0.825 0.871  0.803 0.710  0.781 0.549  0.752 0.390  0.691 0.239  0.631 0.088  0.570 -0.063  0.510 -0.214  0.450 -0.365  0.389 -0.516  0.329 -0.666  0.270 -0.818  0.212 -0.970  0.162 -1.124  0.127 -1.283  0.074 -1.196  0.016 -1.044  -0.042 -0.892  -0.100 -0.740  -0.158 -0.588  -0.216 -0.436  -0.274 -0.284  -0.329 -0.132  -0.247 -0.003  -0.133 0.112
3#apb#apb22#app2207/c  1.160 1.117  1.095 1.160  1.025 1.184  0.947 1.184  0.872 1.172  0.802 1.137  0.733 1.103  0.663 1.068  0.593 1.033  0.535 0.985  0.484 0.925  0.433 0.866  0.383 0.807  0.332 0.748  0.281 0.689  0.231 0.630  0.180 0.571  0.131 0.511  0.081 0.451  0.032 0.390  -0.017 0.330  -0.066 0.269  -0.115 0.209  -0.164 0.149  -0.213 0.088  -0.262 0.028  -0.305 -0.037  -0.347 -0.102  -0.389 -0.168  -0.431 -0.233  -0.473 -0.299  -0.515 -0.364  -0.557 -0.430  -0.575 -0.504  -0.588 -0.581  -0.601 -0.658  -0.614 -0.735  -0.627 -0.811  -0.613 -0.885  -0.584 -0.958  -0.555 -1.030  -0.527 -1.102  -0.496 -1.172  -0.421 -1.191  -0.345 -1.210  -0.270 -1.229  -0.194 -1.248  -0.119 -1.267  -0.043 -1.286  0.032 -1.305
3#apb#apb22#app2207/h  0.333 1.934  0.254 1.872  0.201 1.758  0.149 1.643  0.103 1.526  0.057 1.409  0.011 1.291  -0.034 1.174  -0.074 1.054  -0.114 0.935  -0.154 0.815  -0.193 0.696  -0.233 0.576  -0.277 0.458  -0.320 0.340  -0.363 0.221  -0.406 0.103  -0.449 -0.016  -0.489 -0.135  -0.526 -0.255  -0.563 -0.376  -0.600 -0.496  -0.637 -0.617  -0.671 -0.738  -0.705 -0.859  -0.736 -0.981  -0.726 -1.083  -0.637 -0.994  -0.546 -0.907  -0.451 -0.825  -0.356 -0.742  -0.261 -0.660  -0.164 -0.579  -0.068 -0.498  0.028 -0.416  0.127 -0.338  0.237 -0.277  0.347 -0.216  0.457 -0.155  0.577 -0.119  0.700 -0.089  0.820 -0.118  0.846 -0.231  0.856 -0.356  0.842 -0.481  0.820 -0.605  0.798 -0.729  0.764 -0.850  0.730 -0.972  0.697 -1.093
3#apb#apb22#app2207/P  -0.369 0.335  -0.280 0.444  -0.275 0.283  -0.309 0.113  -0.327 -0.059  -0.382 -0.223  -0.441 -0.387  -0.511 -0.545  -0.583 -0.703  -0.648 -0.864  -0.710 -1.026  -0.794 -1.176  -0.896 -1.317  -0.996 -1.382  -0.965 -1.212  -0.922 -1.044  -0.860 -0.882  -0.799 -0.720  -0.720 -0.565  -0.639 -0.412  -0.558 -0.258  -0.468 -0.110  -0.373 0.035  -0.279 0.181  -0.179 0.322  -0.060 0.449  0.059 0.575  0.178 0.702  0.306 0.818  0.439 0.930  0.572 1.041  0.714 1.139  0.867 1.221  1.025 1.290  1.166 1.262  1.208 1.103  1.200 0.929  1.141 0.769  1.069 0.611  0.982 0.461  0.890 0.313  0.791 0.171  0.684 0.035  0.574 -0.099  0.451 -0.222  0.326 -0.341  0.172 -0.421  0.012 -0.486  -0.157 -0.525  -0.328 -0.551
3#apb#apb22#app2207/l  0.565 1.448  0.607 1.503  0.589 1.457  0.561 1.393  0.533 1.329  0.506 1.265  0.478 1.201  0.451 1.137  0.423 1.073  0.396 1.009  0.368 0.945  0.343 0.880  0.319 0.815  0.294 0.749  0.270 0.684  0.246 0.619  0.221 0.553  0.197 0.488  0.173 0.423  0.148 0.357  0.122 0.293  0.095 0.229  0.068 0.164  0.041 0.100  0.014 0.036  -0.012 -0.029  -0.039 -0.093  -0.066 -0.158  -0.093 -0.222  -0.120 -0.286  -0.147 -0.351  -0.173 -0.415  -0.200 -0.479  -0.227 -0.544  -0.254 -0.608  -0.281 -0.672  -0.307 -0.737  -0.333 -0.801  -0.355 -0.868  -0.377 -0.934  -0.399 -1.000  -0.422 -1.066  -0.444 -1.132  -0.466 -1.198  -0.488 -1.264  -0.513 -1.329  -0.539 -1.394  -0.565 -1.459  -0.591 -1.523  -0.617 -1.588
3#apb#apb22#app2207/.  1.287 1.121  1.237 1.071  1.188 1.021  1.138 0.972  1.088 0.922  1.038 0.872  0.988 0.822  0.939 0.772  0.889 0.723  0.839 0.673  0.786 0.627  0.728 0.587  0.669 0.548  0.610 0.509  0.552 0.470  0.493 0.431  0.435 0.392  0.376 0.353  0.317 0.314  0.259 0.275  0.200 0.236  0.142 0.197  0.083 0.158  0.024 0.119  -0.034 0.080  -0.093 0.040  -0.152 0.001  -0.210 -0.038  -0.269 -0.077  -0.316 -0.128  -0.362 -0.182  -0.408 -0.235  -0.454 -0.289  -0.500 -0.342  -0.545 -0.396  -0.591 -0.449  -0.637 -0.503  -0.683 -0.556  -0.729 -0.610  -0.775 -0.663  -0.821 -0.717  -0.866 -0.770  -0.912 -0.824  -0.958 -0.877  -0.998 -0.933  -0.998 -1.003  -0.998 -1.073  -0.998 -1.144  -0.998 -1.214  -0.998 -1.285
3#apb#apb22#app2207/1  0.533 1.406  0.533 1.476  0.488 1.500  0.465 1.436  0.442 1.369  0.420 1.303  0.403 1.235  0.388 1.167  0.372 1.098  0.357 1.030  0.341 0.962  0.326 0.893  0.310 0.825  0.293 0.757  0.268 0.692  0.243 0.626  0.218 0.561  0.193 0.496  0.167 0.430  0.142 0.365  0.117 0.300  0.092 0.234  0.067 0.169  0.042 0.104  0.017 0.038  -0.009 -0.027  -0.034 -0.093  -0.059 -0.158  -0.084 -0.223  -0.109 -0.289  -0.134 -0.354  -0.159 -0.419  -0.184 -0.485  -0.207 -0.551  -0.230 -0.617  -0.253 -0.684  -0.276 -0.750  -0.299 -0.816  -0.322 -0.882  -0.345 -0.948  -0.368 -1.014  -0.387 -1.082  -0.407 -1.149  -0.427 -1.216  -0.447 -1.283  -0.466 -1.350  -0.486 -1.418  -0.501 -1.486  -0.516 -1.554  -0.531 -1.623
3#apb#apb22#app2207/0  -0.517 0.524  -0.517 0.400  -0.563 0.285  -0.613 0.172  -0.662 0.057  -0.704 -0.060  -0.745 -0.177  -0.787 -0.294  -0.830 -0.411  -0.876 -0.526  -0.922 -0.642  -0.955 -0.760  -0.955 -0.884  -0.955 -1.008  -0.861 -1.074  -0.750 -1.128  -0.631 -1.091  -0.512 -1.055  -0.393 -1.018  -0.282 -0.967  -0.186 -0.888  -0.090 -0.809  0.006 -0.730  0.102 -0.651  0.197 -0.572  0.289 -0.489  0.374 -0.398  0.459 -0.307  0.543 -0.216  0.628 -0.125  0.710 -0.032  0.781 0.071  0.851 0.173  0.922 0.275  0.993 0.377  1.025 0.496  1.052 0.618  1.051 0.737  1.005 0.852  0.899 0.912  0.788 0.968  0.676 1.024  0.554 1.038  0.430 1.047  0.306 1.055  0.182 1.063  0.058 1.055  -0.066 1.046  -0.190 1.038  -0.314 1.030
3#apb#apb22#app2207/5  -0.009 1.286  -0.198 1.286  -0.330 1.170  -0.447 1.021  -0.581 0.887  -0.677 0.730  -0.742 0.552  -0.799 0.371  -0.844 0.189  -0.716 0.077  -0.527 0.077  -0.350 0.145  -0.173 0.213  0.013 0.245  0.200 0.271  0.389 0.279  0.577 0.274  0.750 0.197  0.849 0.061  0.884 -0.125  0.884 -0.314  0.853 -0.495  0.758 -0.658  0.654 -0.815  0.520 -0.949  0.385 -1.081  0.230 -1.189  0.074 -1.297  -0.100 -1.362  -0.285 -1.405  -0.472 -1.421  -0.661 -1.421  -0.644 -1.281  -0.574 -1.105  -0.503 -0.929  -0.433 -0.754  -0.363 -0.578  -0.293 -0.402  -0.222 -0.227  -0.152 -0.051  -0.082 0.125  -0.011 0.300  0.059 0.476  0.129 0.652  0.199 0.827  0.270 1.003  0.385 1.151  0.533 1.261  0.708 1.331  0.884 1.402
3#apb#apb22#app2207/E  -0.099 0.675  -0.271 0.675  -0.357 0.437  -0.432 0.195  -0.505 -0.047  -0.618 -0.274  -0.715 -0.508  -0.803 -0.746  -0.907 -0.978  -1.003 -1.213  -0.963 -1.178  -0.906 -0.931  -0.850 -0.683  -0.793 -0.436  -0.737 -0.188  -0.680 0.060  -0.624 0.307  -0.567 0.555  -0.524 0.804  -0.328 0.942  -0.081 0.999  0.169 1.044  0.419 1.086  0.672 1.111  0.925 1.131  1.176 1.164  1.028 1.012  0.840 0.842  0.652 0.672  0.464 0.501  0.275 0.331  0.087 0.160  0.147 0.150  0.398 0.184  0.638 0.269  0.883 0.327  1.136 0.351  1.140 0.260  0.958 0.083  0.776 -0.094  0.594 -0.271  0.413 -0.448  0.231 -0.626  0.049 -0.803  -0.133 -0.980  -0.315 -1.157  -0.504 -1.317  -0.343 -1.266  -0.117 -1.155  0.102 -1.026
3#apb#apb22#app2207/5  0.678 1.263  0.552 1.323  0.412 1.236  0.307 1.105  0.202 0.974  0.096 0.845  -0.010 0.714  -0.113 0.582  -0.185 0.433  -0.181 0.287  -0.013 0.287  0.145 0.243  0.299 0.177  0.452 0.107  0.550 -0.009  0.580 -0.173  0.580 -0.341  0.544 -0.497  0.447 -0.635  0.389 -0.788  0.349 -0.950  0.256 -1.089  0.134 -1.198  -0.017 -1.268  -0.177 -1.317  -0.335 -1.375  -0.491 -1.435  -0.655 -1.424  -0.821 -1.399  -0.795 -1.249  -0.752 -1.087  -0.708 -0.925  -0.664 -0.763  -0.621 -0.601  -0.577 -0.439  -0.533 -0.277  -0.490 -0.115  -0.446 0.047  -0.402 0.209  -0.359 0.371  -0.315 0.533  -0.271 0.695  -0.190 0.835  -0.040 0.909  0.118 0.960  0.283 0.991  0.448 1.021  0.614 1.045  0.780 1.069  0.946 1.092
3#apb#apb22#app2207/2  -0.440 1.011  -0.396 1.143  -0.311 1.242  -0.190 1.311  -0.063 1.365  0.070 1.396  0.209 1.396  0.347 1.412  0.477 1.411  0.576 1.313  0.623 1.184  0.663 1.051  0.669 0.917  0.635 0.782  0.601 0.647  0.568 0.512  0.520 0.382  0.464 0.255  0.408 0.128  0.353 0.000  0.286 -0.121  0.212 -0.239  0.138 -0.357  0.065 -0.475  -0.011 -0.591  -0.093 -0.704  -0.174 -0.816  -0.260 -0.925  -0.371 -1.009  -0.482 -1.092  -0.604 -1.158  -0.732 -1.205  -0.863 -1.193  -0.925 -1.069  -0.978 -0.940  -0.905 -0.836  -0.807 -0.737  -0.709 -0.639  -0.611 -0.541  -0.503 -0.461  -0.366 -0.438  -0.229 -0.415  -0.091 -0.394  0.047 -0.376  0.184 -0.357  0.322 -0.339  0.461 -0.345  0.600 -0.354  0.738 -0.362  0.877 -0.370
3#apb#apb22#app2207/n  0.330 1.531  0.235 1.547  0.193 1.394  0.073 1.275  0.011 1.120  -0.042 0.960  -0.105 0.804  -0.189 0.657  -0.273 0.511  -0.357 0.364  -0.439 0.217  -0.522 0.070  -0.605 -0.078  -0.678 -0.229  -0.734 -0.388  -0.791 -0.548  -0.847 -0.707  -0.921 -0.858  -1.002 -1.006  -1.075 -1.158  -1.101 -1.267  -1.007 -1.128  -0.910 -0.990  -0.805 -0.858  -0.691 -0.734  -0.577 -0.609  -0.460 -0.487  -0.337 -0.372  -0.213 -0.257  -0.089 -0.142  0.039 -0.033  0.175 0.067  0.312 0.167  0.448 0.267  0.569 0.383  0.681 0.509  0.802 0.624  0.957 0.691  1.109 0.733  1.112 0.592  1.069 0.429  1.032 0.264  0.974 0.108  0.887 -0.037  0.801 -0.183  0.732 -0.336  0.662 -0.490  0.588 -0.642  0.513 -0.793  0.466 -0.955
