3#apa#apa03#app0354/a  0.532 0.506  0.446 0.613  0.404 0.763  0.297 0.849  0.189 0.985  0.053 1.071  -0.090 1.193  -0.197 1.279  -0.390 1.279  -0.548 1.193  -0.655 1.107  -0.756 0.965  -0.808 0.780  -0.880 0.602  -0.928 0.420  -0.928 0.227  -0.928 0.034  -0.928 -0.159  -0.928 -0.352  -0.928 -0.545  -0.928 -0.738  -0.883 -0.913  -0.707 -0.954  -0.514 -0.954  -0.373 -0.829  -0.213 -0.726  -0.066 -0.605  0.017 -0.431  0.098 -0.272  0.218 -0.123  0.321 0.037  0.360 0.214  0.360 0.407  0.360 0.600  0.360 0.734  0.360 0.541  0.274 0.383  0.274 0.190  0.274 -0.003  0.333 -0.186  0.360 -0.375  0.391 -0.556  0.467 -0.717  0.603 -0.854  0.679 -1.015  0.841 -1.091  1.002 -1.167  1.177 -1.212  1.305 -1.147  1.219 -1.040
3#apa#apa03#app0354/l  0.208 1.672  0.177 1.609  0.145 1.546  0.114 1.483  0.114 1.413  0.114 1.343  0.114 1.272  0.114 1.202  0.083 1.139  0.051 1.077  0.021 1.014  0.021 0.943  0.021 0.873  0.021 0.803  0.021 0.733  0.021 0.662  0.021 0.592  0.021 0.522  0.021 0.452  0.021 0.381  0.021 0.311  0.021 0.241  0.021 0.171  0.021 0.100  0.021 0.030  0.021 -0.040  0.020 -0.110  -0.011 -0.173  -0.042 -0.236  -0.073 -0.299  -0.073 -0.369  -0.073 -0.439  -0.073 -0.510  -0.073 -0.580  -0.073 -0.650  -0.073 -0.720  -0.073 -0.790  -0.073 -0.861  -0.073 -0.931  -0.073 -1.001  -0.073 -1.071  -0.073 -1.142  -0.073 -1.212  -0.073 -1.282  -0.073 -1.352  -0.073 -1.423  -0.073 -1.493  -0.073 -1.563  -0.073 -1.633  -0.073 -1.704
3#apa#apa03#app0354/m  -0.736 0.951  -0.878 0.805  -0.878 0.601  -0.878 0.396  -0.910 0.204  -1.021 0.046  -1.021 -0.159  -1.021 -0.363  -1.021 -0.568  -1.021 -0.772  -1.021 -0.977  -1.021 -1.182  -0.878 -1.144  -0.800 -0.972  -0.736 -0.794  -0.703 -0.622  -0.593 -0.528  -0.543 -0.331  -0.479 -0.137  -0.450 0.063  -0.326 0.216  -0.307 0.413  -0.239 0.589  -0.164 0.763  -0.164 0.934  -0.108 0.752  -0.021 0.584  -0.021 0.379  -0.021 0.175  -0.021 -0.030  0.122 -0.092  0.226 -0.193  0.382 -0.076  0.568 -0.033  0.721 0.093  0.900 0.155  1.044 0.300  1.123 0.472  1.132 0.673  1.252 0.808  1.123 0.732  1.123 0.527  1.123 0.322  1.123 0.118  0.996 -0.034  0.980 -0.232  0.980 -0.437  0.980 -0.642  0.980 -0.846  1.123 -0.908
3#apa#apa03#app0354/n  -0.533 0.741  -0.533 0.587  -0.533 0.434  -0.533 0.280  -0.600 0.154  -0.663 0.027  -0.726 -0.101  -0.792 -0.227  -0.792 -0.380  -0.792 -0.534  -0.885 -0.649  -0.922 -0.787  -0.922 -0.941  -0.922 -1.094  -0.880 -1.206  -0.792 -1.140  -0.792 -0.987  -0.679 -0.946  -0.657 -0.811  -0.549 -0.703  -0.532 -0.556  -0.423 -0.447  -0.315 -0.339  -0.273 -0.202  -0.189 -0.084  -0.143 0.051  -0.093 0.193  -0.024 0.330  0.058 0.459  0.143 0.587  0.229 0.715  0.246 0.863  0.349 0.974  0.376 1.117  0.516 1.130  0.669 1.130  0.806 1.090  0.895 0.973  0.931 0.834  1.025 0.719  1.025 0.566  1.025 0.412  1.025 0.259  1.025 0.105  1.025 -0.049  1.025 -0.202  1.025 -0.356  1.025 -0.509  1.025 -0.663  1.025 -0.817
3#apa#apa03#app0354/o  -0.241 0.670  -0.387 0.670  -0.488 0.625  -0.556 0.546  -0.676 0.483  -0.736 0.362  -0.773 0.224  -0.839 0.093  -0.930 -0.019  -0.984 -0.143  -0.984 -0.289  -0.984 -0.435  -0.975 -0.578  -0.872 -0.682  -0.768 -0.785  -0.736 -0.918  -0.649 -1.028  -0.518 -1.065  -0.372 -1.065  -0.225 -1.065  -0.079 -1.065  0.067 -1.065  0.189 -1.007  0.309 -0.941  0.447 -0.907  0.578 -0.842  0.691 -0.752  0.795 -0.649  0.898 -0.545  0.999 -0.441  0.999 -0.294  0.999 -0.148  0.999 -0.002  0.932 0.117  0.854 0.236  0.808 0.375  0.762 0.514  0.672 0.625  0.627 0.753  0.627 0.900  0.536 1.008  0.433 1.112  0.309 1.166  0.163 1.166  0.050 1.085  -0.053 0.981  -0.117 0.861  -0.196 0.794  -0.241 0.692  -0.364 0.670
3#apa#apa03#app0354/p  -0.069 0.556  -0.069 0.381  -0.156 0.242  -0.199 0.085  -0.297 -0.049  -0.366 -0.196  -0.411 -0.352  -0.452 -0.510  -0.525 -0.655  -0.525 -0.830  -0.525 -1.004  -0.525 -1.179  -0.525 -1.354  -0.490 -1.494  -0.411 -1.590  -0.411 -1.678  -0.411 -1.503  -0.411 -1.328  -0.411 -1.153  -0.411 -0.978  -0.411 -0.803  -0.411 -0.628  -0.411 -0.453  -0.411 -0.279  -0.401 -0.106  -0.322 0.050  -0.297 0.219  -0.268 0.387  -0.189 0.544  -0.069 0.670  -0.026 0.827  0.044 0.973  0.174 1.027  0.304 1.141  0.461 1.220  0.631 1.239  0.806 1.239  0.981 1.239  1.069 1.153  1.069 0.978  1.002 0.831  0.955 0.675  0.802 0.630  0.728 0.486  0.602 0.430  0.500 0.297  0.408 0.214  0.245 0.187  0.105 0.101  -0.069 0.101
3#apa#apa03#app0354/q  0.309 0.898  0.302 1.110  0.193 1.226  0.014 1.321  -0.204 1.321  -0.423 1.321  -0.598 1.215  -0.759 1.087  -0.853 0.890  -0.853 0.671  -0.853 0.453  -0.747 0.340  -0.604 0.264  -0.386 0.264  -0.167 0.264  0.008 0.370  0.189 0.461  0.309 0.630  0.415 0.743  0.415 0.835  0.345 0.687  0.309 0.503  0.249 0.310  0.169 0.124  0.098 -0.065  0.010 -0.247  -0.133 -0.410  -0.231 -0.606  -0.325 -0.802  -0.337 -1.016  -0.430 -1.196  -0.430 -1.415  -0.329 -1.532  -0.248 -1.715  -0.041 -1.744  0.154 -1.688  0.309 -1.533  0.309 -1.315  0.256 -1.109  0.204 -0.902  0.201 -0.685  0.098 -0.509  0.098 -0.290  0.204 -0.177  0.309 -0.002  0.415 0.111  0.521 0.224  0.656 0.370  0.833 0.470  1.049 0.475
3#apa#apa03#app0354/r  0.041 0.495  0.041 0.365  0.041 0.235  0.008 0.139  -0.122 0.139  -0.137 0.024  -0.137 -0.106  -0.150 -0.230  -0.242 -0.322  -0.315 -0.422  -0.315 -0.552  -0.315 -0.681  -0.315 -0.811  -0.315 -0.941  -0.315 -1.071  -0.315 -1.201  -0.359 -1.286  -0.489 -1.286  -0.493 -1.412  -0.438 -1.409  -0.346 -1.318  -0.315 -1.201  -0.315 -1.071  -0.315 -0.941  -0.231 -0.846  -0.139 -0.754  -0.137 -0.625  -0.137 -0.495  -0.137 -0.365  -0.137 -0.236  -0.087 -0.117  -0.029 -0.001  0.029 0.115  0.041 0.242  0.041 0.372  0.041 0.502  0.041 0.631  0.104 0.736  0.196 0.827  0.220 0.947  0.253 1.063  0.345 1.155  0.398 1.263  0.405 1.386  0.535 1.386  0.639 1.449  0.730 1.540  0.851 1.564  0.980 1.564  1.110 1.564
3#apa#apa03#app0354/s  0.980 1.156  0.843 1.156  0.706 1.156  0.569 1.156  0.432 1.156  0.295 1.156  0.158 1.156  0.047 1.093  -0.050 0.997  -0.181 0.982  -0.295 0.926  -0.392 0.829  -0.520 0.808  -0.587 0.738  -0.620 0.633  -0.757 0.633  -0.762 0.501  -0.762 0.364  -0.704 0.285  -0.587 0.264  -0.587 0.127  -0.467 0.111  -0.330 0.111  -0.193 0.111  -0.056 0.111  0.081 0.111  0.207 0.062  0.329 0.001  0.452 -0.060  0.588 -0.063  0.698 -0.129  0.795 -0.226  0.806 -0.359  0.806 -0.496  0.759 -0.586  0.625 -0.593  0.528 -0.690  0.431 -0.786  0.334 -0.883  0.237 -0.980  0.140 -1.077  0.043 -1.174  -0.053 -1.271  -0.186 -1.282  -0.323 -1.282  -0.460 -1.282  -0.594 -1.276  -0.691 -1.179  -0.799 -1.108  -0.936 -1.108
3#apa#apa03#app0354/t  0.266 1.538  0.266 1.341  0.153 1.191  0.062 1.084  -0.004 0.928  -0.074 0.760  -0.188 0.610  -0.188 0.413  -0.188 0.216  -0.219 0.032  -0.301 -0.131  -0.301 -0.328  -0.316 -0.518  -0.415 -0.675  -0.415 -0.872  -0.415 -1.069  -0.415 -1.266  -0.249 -1.297  -0.052 -1.297  0.039 -1.191  0.229 -1.184  0.426 -1.184  0.623 -1.184  0.720 -1.084  0.903 -1.070  1.028 -1.045  0.872 -0.925  0.717 -0.804  0.561 -0.683  0.406 -0.562  0.250 -0.441  0.095 -0.320  -0.061 -0.199  -0.216 -0.078  -0.372 0.043  -0.527 0.164  -0.683 0.285  -0.838 0.406  -0.971 0.528  -0.868 0.683  -0.739 0.760  -0.583 0.858  -0.394 0.878  -0.236 0.971  -0.039 0.971  0.158 0.971  0.355 0.971  0.552 0.971  0.749 0.971  0.833 0.858
3#apa#apa03#app0354/u  -0.492 1.163  -0.345 1.163  -0.524 1.131  -0.659 0.995  -0.795 0.860  -0.830 0.683  -0.946 0.539  -0.999 0.369  -1.098 0.219  -1.168 0.056  -1.168 -0.136  -1.168 -0.327  -1.008 -0.358  -0.999 -0.541  -0.962 -0.696  -0.830 -0.756  -0.748 -0.866  -0.556 -0.866  -0.365 -0.866  -0.173 -0.866  -0.151 -0.696  0.034 -0.678  0.169 -0.543  0.305 -0.407  0.353 -0.236  0.499 -0.189  0.522 -0.021  0.522 0.170  0.554 0.349  0.689 0.484  0.691 0.675  0.721 0.854  0.857 0.990  0.860 1.146  0.821 0.994  0.691 0.931  0.691 0.740  0.691 0.548  0.599 0.395  0.522 0.235  0.522 0.043  0.432 -0.111  0.353 -0.270  0.353 -0.462  0.353 -0.653  0.458 -0.802  0.522 -0.967  0.646 -1.035  0.691 -1.181  0.860 -1.204
3#apa#apa03#app0354/v  -0.760 1.146  -0.634 1.146  -0.574 1.080  -0.574 0.954  -0.574 0.828  -0.574 0.702  -0.574 0.575  -0.574 0.449  -0.574 0.323  -0.574 0.197  -0.574 0.071  -0.574 -0.055  -0.574 -0.181  -0.574 -0.307  -0.574 -0.433  -0.574 -0.559  -0.574 -0.685  -0.505 -0.783  -0.416 -0.872  -0.389 -0.987  -0.389 -1.113  -0.389 -1.239  -0.294 -1.271  -0.168 -1.271  -0.042 -1.271  0.054 -1.199  0.144 -1.110  0.169 -0.995  0.190 -0.877  0.280 -0.788  0.355 -0.693  0.355 -0.567  0.355 -0.441  0.355 -0.315  0.355 -0.189  0.420 -0.090  0.509 -0.001  0.541 0.112  0.541 0.238  0.541 0.364  0.569 0.486  0.609 0.605  0.648 0.725  0.688 0.845  0.727 0.964  0.727 1.091  0.777 1.196  0.866 1.285  0.913 1.392  0.913 1.518
3#apa#apa03#app0354/w  -0.893 0.946  -1.009 0.829  -1.043 0.679  -1.043 0.514  -1.043 0.349  -1.048 0.186  -1.164 0.070  -1.194 -0.082  -1.194 -0.247  -1.194 -0.412  -1.078 -0.528  -1.043 -0.679  -0.914 -0.714  -0.750 -0.714  -0.631 -0.603  -0.483 -0.563  -0.440 -0.441  -0.304 -0.412  -0.289 -0.263  -0.277 -0.111  -0.138 -0.084  -0.138 0.080  -0.138 0.245  -0.070 0.342  -0.069 0.342  -0.138 0.247  -0.138 0.082  -0.138 -0.083  -0.138 -0.247  0.012 -0.262  0.013 -0.426  0.040 -0.563  0.205 -0.563  0.370 -0.563  0.514 -0.515  0.636 -0.412  0.767 -0.379  0.815 -0.262  0.918 -0.200  0.993 -0.111  1.069 -0.022  1.172 0.040  1.220 0.157  1.220 0.322  1.322 0.444  1.371 0.589  1.371 0.753  1.371 0.918  1.371 1.083  1.371 1.247
3#apa#apa03#app0354/x  -0.611 1.077  -0.611 0.883  -0.585 0.699  -0.448 0.562  -0.435 0.373  -0.427 0.181  -0.340 0.007  -0.250 -0.164  -0.113 -0.302  -0.083 -0.483  0.037 -0.628  0.175 -0.765  0.312 -0.902  0.446 -1.041  0.469 -1.212  0.622 -1.254  0.622 -1.329  0.622 -1.135  0.622 -0.941  0.622 -0.747  0.622 -0.552  0.622 -0.358  0.622 -0.164  0.622 0.030  0.622 0.225  0.622 0.419  0.622 0.613  0.622 0.807  0.622 1.001  0.622 1.196  0.622 1.390  0.622 1.275  0.449 1.253  0.431 1.077  0.246 1.054  0.109 0.917  -0.028 0.779  -0.083 0.607  -0.178 0.453  -0.316 0.316  -0.453 0.178  -0.590 0.041  -0.611 -0.145  -0.741 -0.285  -0.787 -0.460  -0.891 -0.611  -1.028 -0.749  -1.139 -0.897  -1.178 -1.075  -1.315 -1.212
3#apa#apa03#app0354/y  -0.314 1.464  -0.314 1.324  -0.351 1.221  -0.436 1.166  -0.436 1.026  -0.436 0.886  -0.436 0.747  -0.436 0.607  -0.436 0.467  -0.390 0.373  -0.250 0.373  -0.111 0.373  0.029 0.373  0.169 0.373  0.182 0.506  0.281 0.605  0.291 0.740  0.291 0.880  0.332 0.979  0.413 1.038  0.335 1.100  0.291 1.004  0.210 0.898  0.170 0.775  0.170 0.635  0.170 0.495  0.170 0.356  0.170 0.216  0.170 0.076  0.170 -0.063  0.235 -0.176  0.291 -0.293  0.291 -0.432  0.291 -0.572  0.291 -0.712  0.291 -0.851  0.313 -0.982  0.412 -1.081  0.413 -1.220  0.387 -1.349  0.287 -1.444  0.154 -1.428  0.055 -1.329  -0.082 -1.323  -0.222 -1.323  -0.361 -1.323  -0.501 -1.323  -0.641 -1.323  -0.780 -1.323  -0.799 -1.202
3#apa#apa03#app0354/z  -0.996 0.860  -0.843 0.860  -0.691 0.860  -0.538 0.860  -0.385 0.860  -0.269 0.896  -0.262 1.041  -0.109 1.041  0.044 1.041  0.196 1.041  0.349 1.041  0.502 1.041  0.655 1.041  0.807 1.041  0.726 0.944  0.618 0.836  0.510 0.728  0.402 0.620  0.294 0.512  0.277 0.367  0.177 0.314  0.045 0.264  -0.063 0.156  -0.171 0.048  -0.279 -0.060  -0.387 -0.168  -0.495 -0.276  -0.603 -0.384  -0.711 -0.492  -0.819 -0.600  -0.927 -0.708  -0.996 -0.832  -0.971 -0.959  -0.818 -0.959  -0.665 -0.959  -0.512 -0.959  -0.360 -0.959  -0.207 -0.959  -0.054 -0.959  0.098 -0.959  0.251 -0.959  0.277 -0.832  0.375 -0.777  0.527 -0.777  0.669 -0.750  0.777 -0.642  0.910 -0.595  1.063 -0.595  1.216 -0.595  1.368 -0.595
