2#app#app25#app2538/a  0.774 1.045  0.574 1.045  0.374 1.045  0.174 1.045  -0.026 1.045  -0.226 1.045  -0.426 1.045  -0.626 1.045  -0.635 0.854  -0.745 0.700  -0.886 0.559  -1.028 0.418  -1.104 0.249  -1.104 0.049  -1.104 -0.150  -1.104 -0.350  -1.104 -0.550  -1.104 -0.750  -1.104 -0.950  -1.022 -1.067  -0.822 -1.067  -0.622 -1.067  -0.422 -1.067  -0.274 -0.941  -0.165 -0.787  -0.154 -0.598  0.046 -0.598  0.194 -0.473  0.348 -0.363  0.539 -0.354  0.539 -0.154  0.539 0.046  0.678 0.106  0.774 0.211  0.823 0.390  0.964 0.532  1.008 0.713  0.936 0.738  0.794 0.596  0.653 0.455  0.512 0.314  0.370 0.172  0.304 -0.000  0.304 -0.200  0.304 -0.400  0.306 -0.598  0.506 -0.598  0.657 -0.716  0.808 -0.833  1.008 -0.833
2#app#app25#app2538/l  0.488 1.647  0.488 1.562  0.488 1.478  0.488 1.393  0.488 1.309  0.429 1.284  0.344 1.284  0.307 1.236  0.307 1.152  0.307 1.067  0.307 0.983  0.291 0.905  0.231 0.845  0.171 0.785  0.125 0.720  0.125 0.635  0.125 0.550  0.125 0.466  0.125 0.381  0.125 0.297  0.125 0.212  0.058 0.194  -0.026 0.194  -0.056 0.140  -0.056 0.055  -0.056 -0.029  -0.056 -0.114  -0.056 -0.199  -0.056 -0.283  -0.074 -0.350  -0.158 -0.350  -0.238 -0.355  -0.238 -0.440  -0.238 -0.525  -0.238 -0.609  -0.238 -0.694  -0.238 -0.778  -0.238 -0.863  -0.275 -0.932  -0.335 -0.992  -0.395 -1.052  -0.419 -1.126  -0.419 -1.211  -0.419 -1.295  -0.419 -1.380  -0.395 -1.440  -0.310 -1.440  -0.225 -1.440  -0.141 -1.440  -0.056 -1.440
2#app#app25#app2538/m  -1.652 -0.738  -1.652 -0.526  -1.513 -0.372  -1.338 -0.283  -1.197 -0.212  -1.197 -0.000  -1.169 0.200  -1.019 0.350  -0.970 0.541  -0.843 0.626  -0.631 0.626  -0.515 0.722  -0.435 0.854  -0.288 0.918  -0.239 1.081  -0.061 1.047  -0.042 0.854  0.167 0.851  0.167 0.639  0.167 0.427  0.167 0.215  0.167 0.004  0.167 -0.208  0.030 -0.283  -0.061 -0.405  -0.061 -0.617  -0.151 -0.738  -0.288 -0.813  -0.288 -0.906  -0.288 -0.694  -0.260 -0.511  -0.061 -0.498  -0.061 -0.286  0.149 -0.283  0.304 -0.146  0.394 0.028  0.463 0.171  0.622 0.224  0.659 0.399  0.871 0.399  1.083 0.399  1.295 0.399  1.304 0.196  1.304 -0.016  1.304 -0.228  1.193 -0.394  1.076 -0.557  1.076 -0.769  1.076 -0.950  1.076 -0.738
2#app#app25#app2538/n  0.170 1.539  0.170 1.358  0.170 1.176  0.170 0.994  0.111 0.837  -0.017 0.709  -0.145 0.580  -0.152 0.401  -0.184 0.252  -0.366 0.252  -0.474 0.178  -0.474 -0.004  -0.589 -0.070  -0.771 -0.070  -0.795 -0.227  -0.795 -0.408  -0.795 -0.590  -0.795 -0.772  -0.795 -0.953  -0.895 -1.035  -1.077 -1.035  -1.117 -0.894  -1.116 -0.713  -0.935 -0.713  -0.795 -0.671  -0.795 -0.489  -0.736 -0.332  -0.608 -0.204  -0.479 -0.075  -0.300 -0.070  -0.152 -0.036  -0.152 0.145  -0.077 0.252  0.105 0.252  0.170 0.369  0.170 0.550  0.328 0.574  0.505 0.561  0.633 0.433  0.761 0.304  0.921 0.252  1.103 0.252  1.241 0.147  1.369 0.018  1.457 -0.127  1.457 -0.309  1.457 -0.490  1.457 -0.672  1.317 -0.713  1.136 -0.713
2#app#app25#app2538/o  0.738 0.689  0.738 0.848  0.679 0.948  0.521 0.948  0.362 0.948  0.203 0.948  0.044 0.948  -0.092 0.894  -0.204 0.782  -0.316 0.670  -0.429 0.557  -0.541 0.445  -0.694 0.431  -0.814 0.392  -0.814 0.233  -0.883 0.103  -0.995 -0.009  -1.072 -0.136  -1.072 -0.294  -1.072 -0.453  -1.067 -0.610  -0.954 -0.722  -0.842 -0.834  -0.695 -0.863  -0.555 -0.881  -0.555 -1.040  -0.478 -1.121  -0.319 -1.121  -0.160 -1.121  -0.001 -1.121  0.157 -1.121  0.221 -1.026  0.221 -0.867  0.375 -0.863  0.518 -0.824  0.630 -0.712  0.738 -0.598  0.738 -0.439  0.738 -0.281  0.738 -0.122  0.738 0.037  0.738 0.196  0.738 0.354  0.738 0.513  0.738 0.672  0.738 0.830  0.697 0.948  0.538 0.948  0.380 0.948  0.221 0.948
2#app#app25#app2538/p  0.125 0.352  0.043 0.188  -0.039 0.023  -0.121 -0.141  -0.203 -0.305  -0.285 -0.470  -0.368 -0.634  -0.450 -0.798  -0.532 -0.963  -0.614 -1.127  -0.696 -1.291  -0.778 -1.455  -0.860 -1.620  -0.801 -1.588  -0.685 -1.452  -0.685 -1.268  -0.555 -1.139  -0.483 -0.985  -0.483 -0.801  -0.483 -0.617  -0.483 -0.434  -0.477 -0.256  -0.293 -0.256  -0.280 -0.085  -0.280 0.099  -0.280 0.282  -0.280 0.466  -0.185 0.555  -0.077 0.631  -0.037 0.798  0.093 0.928  0.263 0.960  0.328 1.079  0.428 1.163  0.531 1.244  0.531 1.303  0.574 1.163  0.733 1.138  0.739 0.960  0.923 0.960  0.936 0.790  0.936 0.606  0.936 0.422  0.936 0.238  0.841 0.149  0.658 0.149  0.474 0.149  0.328 0.187  0.309 0.352  0.125 0.352
2#app#app25#app2538/q  1.298 0.814  1.130 0.878  1.003 0.982  0.771 0.982  0.714 0.982  0.795 1.134  0.579 1.150  0.347 1.150  0.123 1.142  0.051 0.982  -0.181 0.982  -0.354 0.841  -0.549 0.788  -0.549 0.556  -0.549 0.325  -0.331 0.311  -0.099 0.311  0.133 0.311  0.365 0.311  0.459 0.448  0.627 0.512  0.724 0.646  0.633 0.646  0.467 0.487  0.291 0.426  0.175 0.311  0.111 0.143  -0.045 0.067  -0.185 -0.025  -0.249 -0.193  -0.381 -0.293  -0.381 -0.525  -0.549 -0.589  -0.549 -0.821  -0.717 -0.885  -0.717 -1.116  -0.864 -1.201  -0.841 -1.369  -0.717 -1.476  -0.545 -1.537  -0.381 -1.469  -0.250 -1.369  -0.075 -1.231  -0.023 -1.033  0.123 -0.947  0.123 -0.715  0.077 -0.529  -0.155 -0.529  -0.336 -0.406  -0.549 -0.361
2#app#app25#app2538/r  0.800 1.708  0.636 1.708  0.537 1.644  0.537 1.480  0.446 1.354  0.330 1.238  0.214 1.123  0.099 1.007  0.011 0.880  0.011 0.716  0.011 0.552  0.007 0.393  -0.157 0.393  -0.252 0.324  -0.252 0.161  -0.252 -0.003  -0.252 -0.167  -0.252 -0.330  -0.321 -0.465  -0.437 -0.581  -0.553 -0.697  -0.669 -0.813  -0.779 -0.931  -0.779 -1.094  -0.779 -1.258  -0.779 -1.422  -0.779 -1.312  -0.742 -1.186  -0.578 -1.186  -0.516 -1.084  -0.514 -0.923  -0.350 -0.923  -0.252 -0.856  -0.252 -0.693  -0.122 -0.660  0.011 -0.628  0.011 -0.465  0.078 -0.329  0.194 -0.213  0.310 -0.098  0.425 0.018  0.537 0.136  0.537 0.299  0.537 0.463  0.537 0.627  0.537 0.521  0.572 0.393  0.736 0.393  0.899 0.393  1.063 0.393
2#app#app25#app2538/s  0.898 0.936  0.898 1.052  0.851 1.121  0.735 1.121  0.619 1.121  0.503 1.121  0.387 1.121  0.271 1.121  0.155 1.121  0.039 1.121  -0.077 1.121  -0.193 1.121  -0.207 1.019  -0.240 0.936  -0.356 0.936  -0.392 0.856  -0.392 0.740  -0.392 0.624  -0.392 0.508  -0.392 0.392  -0.392 0.276  -0.352 0.199  -0.236 0.199  -0.207 0.113  -0.189 0.015  -0.073 0.015  0.024 -0.032  0.106 -0.114  0.198 -0.169  0.314 -0.169  0.346 -0.254  0.346 -0.370  0.346 -0.486  0.346 -0.602  0.346 -0.718  0.346 -0.834  0.302 -0.906  0.186 -0.906  0.161 -0.997  0.139 -1.091  0.023 -1.091  -0.073 -1.140  -0.155 -1.222  -0.249 -1.275  -0.365 -1.275  -0.481 -1.275  -0.597 -1.275  -0.712 -1.275  -0.828 -1.275  -0.944 -1.275
2#app#app25#app2538/t  0.955 1.432  0.766 1.432  0.721 1.289  0.624 1.198  0.487 1.147  0.482 0.964  0.294 0.964  0.253 0.816  0.151 0.730  -0.020 0.690  -0.153 0.557  -0.214 0.395  -0.214 0.206  -0.225 0.029  -0.413 0.029  -0.448 -0.124  -0.448 -0.312  -0.448 -0.500  -0.448 -0.688  -0.448 -0.876  -0.448 -1.064  -0.369 -1.220  -0.236 -1.353  -0.056 -1.374  0.132 -1.374  0.320 -1.374  0.487 -1.395  0.487 -1.583  0.487 -1.444  0.434 -1.269  0.350 -1.100  0.266 -0.932  0.182 -0.764  0.098 -0.596  0.014 -0.427  -0.070 -0.259  -0.154 -0.091  -0.239 0.077  -0.323 0.246  -0.407 0.414  -0.491 0.582  -0.575 0.750  -0.659 0.919  -0.585 0.867  -0.452 0.734  -0.265 0.730  -0.077 0.730  0.111 0.730  0.299 0.730  0.487 0.730
2#app#app25#app2538/u  0.131 1.527  -0.062 1.527  -0.255 1.527  -0.415 1.494  -0.415 1.301  -0.518 1.151  -0.654 1.014  -0.791 0.878  -0.927 0.742  -0.960 0.562  -0.960 0.369  -0.960 0.177  -0.960 -0.016  -0.960 -0.209  -0.960 -0.402  -0.960 -0.595  -0.960 -0.788  -0.907 -0.927  -0.714 -0.927  -0.521 -0.927  -0.328 -0.927  -0.142 -0.921  -0.142 -0.728  -0.022 -0.655  0.131 -0.615  0.131 -0.422  0.284 -0.382  0.403 -0.309  0.403 -0.116  0.590 -0.109  0.676 -0.003  0.703 0.163  0.896 0.163  0.949 0.303  0.949 0.496  0.949 0.689  0.949 0.536  0.856 0.436  0.676 0.423  0.676 0.230  0.676 0.037  0.643 -0.142  0.507 -0.279  0.371 -0.415  0.234 -0.551  0.131 -0.701  0.131 -0.894  0.290 -0.927  0.483 -0.927  0.676 -0.927
2#app#app25#app2538/v  -0.661 1.566  -0.661 1.429  -0.661 1.292  -0.661 1.155  -0.661 1.018  -0.661 0.881  -0.661 0.744  -0.661 0.607  -0.661 0.470  -0.661 0.333  -0.622 0.212  -0.525 0.115  -0.442 0.012  -0.442 -0.125  -0.442 -0.262  -0.442 -0.399  -0.442 -0.536  -0.442 -0.673  -0.442 -0.810  -0.442 -0.947  -0.442 -1.084  -0.442 -1.221  -0.442 -1.204  -0.442 -1.067  -0.311 -1.062  -0.223 -1.012  -0.223 -0.875  -0.119 -0.843  -0.004 -0.820  -0.004 -0.683  0.073 -0.624  0.210 -0.624  0.215 -0.491  0.265 -0.405  0.402 -0.405  0.434 -0.299  0.451 -0.169  0.547 -0.072  0.644 0.025  0.653 0.158  0.653 0.295  0.653 0.432  0.751 0.471  0.883 0.482  0.980 0.579  1.077 0.676  1.174 0.773  1.271 0.870  1.310 0.991  1.310 1.128
2#app#app25#app2538/w  -1.060 0.885  -1.060 0.728  -1.060 0.570  -1.147 0.449  -1.234 0.328  -1.234 0.170  -1.234 0.013  -1.234 -0.145  -1.234 -0.302  -1.234 -0.460  -1.124 -0.507  -1.060 -0.600  -0.983 -0.682  -0.826 -0.682  -0.711 -0.639  -0.685 -0.507  -0.530 -0.501  -0.419 -0.389  -0.363 -0.255  -0.320 -0.116  -0.208 -0.004  -0.097 0.107  -0.015 0.230  0.010 0.363  0.159 0.371  0.159 0.529  0.308 0.537  0.333 0.405  0.333 0.247  0.333 0.090  0.275 -0.044  0.163 -0.155  0.159 -0.311  0.159 -0.468  0.277 -0.507  0.434 -0.507  0.507 -0.423  0.575 -0.333  0.733 -0.333  0.855 -0.299  0.868 -0.147  0.979 -0.035  1.091 0.076  1.202 0.187  1.313 0.299  1.444 0.363  1.552 0.413  1.552 0.570  1.568 0.711  1.726 0.711
2#app#app25#app2538/x  -0.661 1.425  -0.661 1.234  -0.482 1.222  -0.458 1.055  -0.458 0.863  -0.315 0.815  -0.254 0.684  -0.136 0.612  -0.051 0.505  0.016 0.342  0.151 0.206  0.286 0.071  0.422 -0.064  0.557 -0.199  0.559 -0.390  0.735 -0.405  0.763 -0.569  0.870 -0.716  0.966 -0.867  1.009 -1.015  1.169 -1.046  1.161 -1.202  1.076 -1.031  0.990 -0.860  0.905 -0.689  0.819 -0.518  0.733 -0.347  0.648 -0.176  0.562 -0.005  0.477 0.166  0.391 0.337  0.306 0.509  0.220 0.680  0.124 0.787  -0.011 0.652  -0.186 0.612  -0.254 0.489  -0.365 0.408  -0.458 0.310  -0.544 0.205  -0.661 0.131  -0.723 0.001  -0.864 -0.048  -0.891 -0.229  -1.026 -0.364  -1.161 -0.499  -1.271 -0.645  -1.295 -0.812  -1.462 -0.812  -1.271 -0.812
2#app#app25#app2538/y  -0.343 1.044  -0.454 0.934  -0.535 0.812  -0.535 0.656  -0.535 0.500  -0.535 0.344  -0.535 0.188  -0.535 0.032  -0.516 -0.105  -0.360 -0.105  -0.204 -0.105  -0.048 -0.105  0.108 -0.105  0.255 -0.082  0.365 0.028  0.475 0.139  0.586 0.249  0.696 0.359  0.806 0.470  0.962 0.470  0.998 0.590  1.058 0.721  1.168 0.831  1.190 0.979  1.117 0.990  0.992 0.897  0.868 0.803  0.743 0.709  0.618 0.616  0.493 0.522  0.368 0.428  0.244 0.335  0.119 0.241  -0.006 0.148  -0.131 0.054  -0.256 -0.040  -0.343 -0.152  -0.343 -0.308  -0.343 -0.464  -0.436 -0.581  -0.535 -0.696  -0.535 -0.852  -0.632 -0.968  -0.726 -1.085  -0.726 -1.241  -0.726 -1.397  -0.726 -1.553  -0.798 -1.638  -0.918 -1.674  -0.918 -1.830
2#app#app25#app2538/z  -0.744 1.106  -0.905 1.278  -0.650 1.278  -0.396 1.278  -0.141 1.278  0.114 1.278  0.196 1.106  0.451 1.106  0.533 1.278  0.742 1.169  0.923 0.989  0.977 0.757  0.915 0.528  0.805 0.319  0.676 0.117  0.446 0.059  0.256 -0.098  0.002 -0.098  -0.253 -0.098  -0.476 -0.175  -0.656 -0.355  -0.874 -0.443  -0.957 -0.615  -1.088 -0.738  -1.055 -0.959  -0.800 -0.959  -0.546 -0.959  -0.291 -0.959  -0.037 -0.959  0.218 -0.959  0.473 -0.959  0.727 -0.959  0.805 -1.126  0.727 -0.920  0.499 -0.806  0.271 -0.692  0.043 -0.578  -0.184 -0.464  -0.412 -0.351  -0.640 -0.237  -0.868 -0.123  -0.888 0.074  -0.633 0.074  -0.379 0.074  -0.124 0.074  0.131 0.074  0.385 0.074  0.640 0.074  0.895 0.074  1.149 0.074
