2#app#app08#app0896/A  -0.231 1.423  -0.231 1.156  -0.267 0.896  -0.335 0.641  -0.431 0.397  -0.500 0.140  -0.544 -0.121  -0.544 -0.388  -0.544 -0.654  -0.612 -0.904  -0.648 -1.162  -0.648 -1.429  -0.555 -1.602  -0.440 -1.390  -0.440 -1.123  -0.340 -0.881  -0.301 -0.629  -0.231 -0.392  -0.231 -0.126  -0.231 0.141  -0.172 0.393  -0.127 0.649  -0.127 0.915  -0.127 1.182  -0.127 1.448  -0.022 1.671  -0.022 1.742  0.082 1.501  0.142 1.259  0.251 1.021  0.353 0.776  0.426 0.527  0.545 0.289  0.617 0.039  0.753 -0.187  0.894 -0.410  0.996 -0.638  1.125 -0.851  1.139 -0.939  0.892 -0.837  0.646 -0.736  0.400 -0.635  0.153 -0.533  -0.093 -0.432  -0.339 -0.330  -0.499 -0.246  -0.232 -0.246  0.018 -0.206  0.257 -0.142  0.499 -0.037
2#app#app08#app0896/n  -0.870 0.738  -0.870 0.593  -0.870 0.448  -0.858 0.309  -0.755 0.206  -0.731 0.072  -0.731 -0.073  -0.731 -0.218  -0.731 -0.362  -0.671 -0.493  -0.606 -0.622  -0.593 -0.764  -0.593 -0.909  -0.593 -1.053  -0.593 -1.198  -0.593 -1.068  -0.593 -0.924  -0.593 -0.779  -0.593 -0.634  -0.593 -0.489  -0.580 -0.348  -0.515 -0.218  -0.454 -0.088  -0.454 0.057  -0.445 0.199  -0.381 0.329  -0.316 0.458  -0.312 0.602  -0.210 0.704  -0.108 0.806  -0.005 0.909  0.097 1.011  0.240 1.015  0.342 0.913  0.445 0.811  0.559 0.738  0.690 0.704  0.792 0.602  0.858 0.473  0.923 0.344  1.019 0.237  1.073 0.115  1.125 -0.008  1.212 -0.117  1.212 -0.262  1.246 -0.373  1.351 -0.412  1.383 -0.544  1.485 -0.646  1.489 -0.789
2#app#app08#app0896/a  0.645 0.473  0.628 0.656  0.493 0.791  0.309 0.806  0.119 0.806  -0.056 0.770  -0.193 0.639  -0.383 0.639  -0.557 0.602  -0.692 0.467  -0.826 0.333  -0.961 0.198  -1.095 0.063  -1.230 -0.071  -1.351 -0.211  -1.351 -0.401  -1.351 -0.591  -1.351 -0.782  -1.237 -0.858  -1.047 -0.858  -0.856 -0.858  -0.672 -0.844  -0.537 -0.709  -0.403 -0.575  -0.268 -0.440  -0.134 -0.306  0.001 -0.171  0.135 -0.037  0.270 0.098  0.404 0.232  0.478 0.392  0.478 0.582  0.478 0.772  0.478 0.963  0.478 1.124  0.478 0.934  0.478 0.743  0.478 0.553  0.478 0.363  0.478 0.173  0.478 -0.018  0.478 -0.208  0.506 -0.386  0.641 -0.521  0.775 -0.656  0.910 -0.790  1.072 -0.858  1.144 -0.976  1.286 -1.024  1.476 -1.024
2#app#app08#app0896/n  -0.734 1.113  -0.734 0.937  -0.734 0.762  -0.610 0.711  -0.600 0.546  -0.600 0.370  -0.600 0.195  -0.490 0.065  -0.466 -0.100  -0.466 -0.275  -0.426 -0.441  -0.348 -0.598  -0.332 -0.769  -0.332 -0.945  -0.269 -1.094  -0.198 -1.240  -0.198 -1.415  -0.309 -1.322  -0.332 -1.157  -0.332 -0.981  -0.332 -0.806  -0.426 -0.670  -0.466 -0.511  -0.466 -0.336  -0.466 -0.160  -0.466 0.015  -0.466 0.190  -0.466 0.365  -0.422 0.530  -0.344 0.687  -0.321 0.855  -0.198 0.979  -0.156 1.113  0.019 1.113  0.195 1.113  0.236 0.979  0.338 0.906  0.419 0.764  0.543 0.640  0.644 0.500  0.723 0.343  0.837 0.212  0.961 0.088  1.008 -0.068  1.114 -0.199  1.238 -0.323  1.362 -0.447  1.410 -0.602  1.515 -0.734  1.544 -0.897
2#app#app08#app0896/d  0.372 -0.319  0.372 -0.126  0.265 0.023  0.076 0.034  -0.117 0.034  -0.310 0.034  -0.452 -0.086  -0.496 -0.267  -0.603 -0.427  -0.688 -0.595  -0.770 -0.754  -0.805 -0.933  -0.805 -1.126  -0.688 -1.271  -0.603 -1.379  -0.527 -1.497  -0.334 -1.497  -0.163 -1.443  -0.026 -1.306  0.111 -1.169  0.164 -0.998  0.254 -0.842  0.254 -0.649  0.324 -0.485  0.372 -0.311  0.372 -0.118  0.372 0.075  0.372 0.269  0.372 0.462  0.372 0.655  0.372 0.849  0.372 1.042  0.372 1.235  0.372 1.429  0.372 1.622  0.278 1.776  0.137 1.758  0.099 1.571  0.038 1.388  -0.040 1.211  -0.099 1.032  -0.099 0.839  -0.099 0.645  -0.099 0.452  -0.041 0.272  0.060 0.110  0.137 -0.051  0.167 -0.232  0.286 -0.382  0.372 -0.555
2#app#app08#app0896/h  -0.611 1.554  -0.752 1.554  -0.823 1.484  -0.823 1.343  -0.823 1.202  -0.823 1.061  -0.823 0.920  -0.823 0.779  -0.791 0.645  -0.728 0.519  -0.717 0.381  -0.697 0.245  -0.634 0.119  -0.611 -0.017  -0.597 -0.152  -0.505 -0.255  -0.505 -0.396  -0.505 -0.537  -0.422 -0.644  -0.400 -0.775  -0.372 -0.905  -0.273 -0.962  -0.188 -0.857  -0.188 -0.716  -0.123 -0.601  -0.082 -0.477  -0.082 -0.336  -0.082 -0.195  -0.045 -0.063  0.018 0.063  0.023 0.203  0.064 0.327  0.129 0.441  0.214 0.497  0.351 0.487  0.450 0.387  0.550 0.287  0.650 0.187  0.750 0.088  0.764 -0.047  0.799 -0.174  0.869 -0.286  0.924 -0.404  1.024 -0.504  1.108 -0.615  1.171 -0.741  1.186 -0.878  1.222 -0.984  1.292 -1.054  1.292 -1.195
2#app#app08#app0896/i  -0.084 0.144  -0.084 0.036  -0.084 -0.072  -0.084 -0.180  -0.084 -0.288  -0.111 -0.384  -0.188 -0.461  -0.210 -0.559  -0.210 -0.667  -0.210 -0.775  -0.210 -0.883  -0.210 -0.991  -0.210 -1.099  -0.210 -1.207  -0.210 -1.315  -0.210 -1.423  -0.202 -1.441  -0.182 -1.335  -0.163 -1.228  -0.144 -1.122  -0.124 -1.016  -0.105 -0.910  -0.086 -0.804  -0.067 -0.698  -0.047 -0.591  -0.028 -0.485  -0.009 -0.379  0.011 -0.273  0.030 -0.167  0.049 -0.060  0.069 0.046  0.088 0.152  0.107 0.258  0.127 0.364  0.146 0.471  0.165 0.577  0.184 0.683  0.204 0.789  0.223 0.895  0.242 1.002  0.262 1.108  0.281 1.214  0.257 1.307  0.181 1.383  0.166 1.485  0.166 1.593  0.166 1.701  0.166 1.809  0.184 1.899  0.292 1.899
2#app#app08#app0896/d  0.390 0.165  0.198 0.165  0.007 0.165  -0.156 0.093  -0.291 -0.043  -0.388 -0.206  -0.494 -0.364  -0.629 -0.499  -0.676 -0.672  -0.733 -0.840  -0.795 -1.006  -0.795 -1.198  -0.701 -1.351  -0.558 -1.414  -0.446 -1.494  -0.274 -1.447  -0.138 -1.311  -0.002 -1.176  0.133 -1.040  0.185 -0.870  0.272 -0.714  0.272 -0.522  0.272 -0.330  0.272 -0.138  0.272 0.054  0.272 0.246  0.272 0.437  0.272 0.629  0.272 0.821  0.272 1.013  0.272 1.205  0.272 1.397  0.187 1.553  0.153 1.731  0.054 1.824  0.035 1.651  0.035 1.459  0.035 1.267  0.035 1.076  0.035 0.884  0.035 0.692  0.035 0.500  0.035 0.308  0.109 0.134  0.153 -0.047  0.228 -0.222  0.314 -0.393  0.405 -0.561  0.509 -0.710  0.509 -0.902
2#app#app08#app0896/e  -0.909 0.277  -0.909 0.114  -1.013 -0.006  -1.050 -0.121  -0.935 -0.236  -0.782 -0.262  -0.619 -0.262  -0.466 -0.220  -0.321 -0.147  -0.173 -0.082  -0.011 -0.081  0.104 0.034  0.241 0.097  0.404 0.097  0.555 0.125  0.670 0.240  0.785 0.356  0.906 0.456  1.065 0.460  1.065 0.623  1.065 0.786  1.065 0.949  1.065 1.111  0.965 1.174  0.803 1.174  0.659 1.127  0.544 1.012  0.388 0.995  0.261 0.909  0.146 0.794  0.031 0.678  -0.084 0.563  -0.199 0.448  -0.314 0.333  -0.430 0.218  -0.545 0.103  -0.550 -0.058  -0.550 -0.221  -0.550 -0.384  -0.550 -0.546  -0.550 -0.709  -0.550 -0.872  -0.511 -1.019  -0.396 -1.134  -0.281 -1.249  -0.166 -1.364  -0.051 -1.479  0.096 -1.518  0.232 -1.583  0.347 -1.698
2#app#app08#app0896/o  0.057 1.042  -0.078 0.974  -0.214 0.907  -0.331 0.815  -0.443 0.720  -0.587 0.713  -0.587 0.561  -0.692 0.454  -0.780 0.333  -0.848 0.198  -0.909 0.061  -0.909 -0.090  -0.909 -0.241  -0.909 -0.392  -0.909 -0.543  -0.819 -0.657  -0.712 -0.764  -0.605 -0.871  -0.498 -0.978  -0.377 -1.050  -0.226 -1.050  -0.075 -1.050  0.077 -1.050  0.228 -1.050  0.379 -1.050  0.530 -1.050  0.681 -1.050  0.794 -0.957  0.901 -0.850  1.008 -0.743  1.022 -0.598  1.022 -0.447  1.022 -0.296  0.951 -0.174  0.861 -0.060  0.861 0.091  0.858 0.241  0.751 0.348  0.644 0.455  0.540 0.563  0.540 0.714  0.437 0.822  0.310 0.881  0.159 0.881  0.008 0.881  -0.143 0.881  -0.294 0.881  -0.445 0.881  -0.597 0.881  -0.748 0.881
2#app#app08#app0896/u  -0.978 0.989  -0.978 0.846  -1.069 0.739  -1.138 0.624  -1.138 0.481  -1.138 0.337  -1.138 0.193  -1.138 0.050  -1.138 -0.094  -1.138 -0.237  -1.094 -0.371  -1.030 -0.499  -0.959 -0.623  -0.857 -0.724  -0.730 -0.762  -0.660 -0.836  -0.602 -0.922  -0.458 -0.922  -0.314 -0.922  -0.171 -0.922  -0.027 -0.922  0.076 -0.823  0.162 -0.711  0.226 -0.582  0.291 -0.454  0.296 -0.311  0.378 -0.202  0.455 -0.090  0.455 0.054  0.458 0.196  0.559 0.298  0.614 0.418  0.637 0.557  0.701 0.685  0.765 0.814  0.773 0.955  0.773 1.099  0.773 1.054  0.773 0.911  0.773 0.767  0.773 0.623  0.773 0.480  0.773 0.336  0.773 0.193  0.773 0.049  0.773 -0.095  0.773 -0.238  0.773 -0.382  0.831 -0.502  0.933 -0.603
2#app#app08#app0896/s  0.779 0.674  0.779 0.799  0.666 0.813  0.540 0.813  0.500 0.899  0.427 0.952  0.301 0.952  0.175 0.952  0.049 0.952  -0.077 0.952  -0.203 0.952  -0.329 0.952  -0.420 0.866  -0.523 0.813  -0.649 0.813  -0.775 0.813  -0.898 0.805  -0.987 0.716  -1.030 0.608  -1.030 0.482  -0.990 0.395  -0.872 0.377  -0.783 0.287  -0.694 0.198  -0.601 0.117  -0.475 0.117  -0.386 0.029  -0.297 -0.060  -0.208 -0.149  -0.098 -0.210  0.015 -0.266  0.132 -0.300  0.248 -0.326  0.337 -0.415  0.426 -0.504  0.521 -0.579  0.645 -0.584  0.734 -0.673  0.779 -0.780  0.779 -0.906  0.779 -1.032  0.762 -1.152  0.673 -1.241  0.561 -1.274  0.435 -1.274  0.309 -1.274  0.183 -1.274  0.057 -1.274  -0.069 -1.274  -0.195 -1.274
2#app#app08#app0896/l  0.074 1.594  0.002 1.594  -0.068 1.593  -0.068 1.521  -0.068 1.449  -0.068 1.377  -0.068 1.306  -0.068 1.234  -0.068 1.162  -0.068 1.090  -0.068 1.018  -0.068 0.947  -0.068 0.875  -0.068 0.803  -0.068 0.731  -0.068 0.660  -0.068 0.588  -0.068 0.516  -0.068 0.444  -0.068 0.373  -0.068 0.301  -0.068 0.229  -0.068 0.157  -0.068 0.086  -0.068 0.014  -0.068 -0.058  -0.068 -0.130  -0.068 -0.201  -0.068 -0.273  -0.068 -0.345  -0.068 -0.417  -0.068 -0.489  -0.068 -0.560  -0.068 -0.632  -0.045 -0.694  0.006 -0.745  0.057 -0.796  0.074 -0.860  0.074 -0.932  0.074 -1.004  0.074 -1.076  0.110 -1.132  0.161 -1.183  0.212 -1.234  0.216 -1.304  0.216 -1.376  0.216 -1.448  0.216 -1.519  0.216 -1.591  0.216 -1.663
2#app#app08#app0896/y  -0.378 0.876  -0.472 0.783  -0.490 0.658  -0.490 0.525  -0.455 0.428  -0.378 0.484  -0.302 0.540  -0.169 0.540  -0.071 0.623  0.023 0.717  0.117 0.811  0.211 0.905  0.295 1.002  0.319 1.125  0.407 1.221  0.407 1.354  0.385 1.393  0.326 1.275  0.250 1.168  0.183 1.063  0.183 0.930  0.183 0.798  0.138 0.675  0.079 0.557  0.071 0.426  0.071 0.293  0.071 0.161  0.071 0.028  0.108 -0.096  0.167 -0.215  0.183 -0.344  0.188 -0.474  0.281 -0.568  0.295 -0.695  0.302 -0.827  0.344 -0.953  0.386 -1.079  0.407 -1.208  0.407 -1.340  0.301 -1.367  0.168 -1.367  0.036 -1.367  -0.091 -1.342  -0.210 -1.283  -0.334 -1.238  -0.462 -1.206  -0.591 -1.174  -0.718 -1.139  -0.812 -1.045  -0.939 -1.031
