2#apb#apb10#app1032/F  -0.457 0.267  -0.300 0.285  -0.089 0.397  0.101 0.546  0.239 0.740  0.307 0.970  0.239 0.828  0.140 0.607  0.044 0.385  -0.065 0.169  -0.180 -0.044  -0.296 -0.256  -0.410 -0.469  -0.523 -0.683  -0.637 -0.896  -0.754 -1.108  -0.873 -1.319  -0.988 -1.532  -1.087 -1.751  -1.008 -1.622  -0.900 -1.406  -0.791 -1.190  -0.683 -0.973  -0.575 -0.757  -0.467 -0.540  -0.359 -0.324  -0.251 -0.108  -0.142 0.109  -0.034 0.325  0.074 0.541  0.250 0.643  0.484 0.703  0.713 0.781  0.942 0.858  1.172 0.934  1.399 1.017  1.503 1.017  1.298 0.889  1.093 0.761  0.888 0.633  0.682 0.505  0.477 0.377  0.272 0.249  0.067 0.121  -0.139 -0.007  -0.344 -0.135  -0.351 -0.251  -0.121 -0.178  0.106 -0.096  0.331 -0.013
2#apb#apb10#app1032/n  -0.487 0.729  -0.450 0.609  -0.450 0.473  -0.461 0.342  -0.547 0.237  -0.634 0.133  -0.723 0.030  -0.811 -0.073  -0.892 -0.181  -0.964 -0.296  -1.036 -0.411  -1.118 -0.519  -1.202 -0.626  -1.252 -0.751  -1.275 -0.883  -1.153 -0.822  -1.057 -0.729  -0.969 -0.626  -0.879 -0.525  -0.783 -0.429  -0.687 -0.333  -0.591 -0.237  -0.495 -0.141  -0.399 -0.045  -0.303 0.051  -0.204 0.142  -0.088 0.213  0.028 0.284  0.143 0.354  0.259 0.425  0.375 0.496  0.495 0.559  0.621 0.608  0.748 0.656  0.874 0.705  1.006 0.729  1.141 0.729  1.269 0.695  1.234 0.569  1.188 0.442  1.133 0.318  1.078 0.194  1.034 0.066  1.001 -0.066  0.975 -0.198  0.975 -0.334  0.975 -0.470  1.044 -0.586  1.118 -0.699  1.200 -0.808
2#apb#apb10#app1032/s  0.776 1.084  0.679 1.095  0.590 1.139  0.502 1.183  0.413 1.228  0.316 1.237  0.217 1.237  0.118 1.237  0.019 1.237  -0.080 1.237  -0.156 1.199  -0.201 1.111  -0.269 1.043  -0.349 0.983  -0.385 0.895  -0.407 0.799  -0.421 0.701  -0.435 0.603  -0.429 0.506  -0.402 0.411  -0.375 0.315  -0.324 0.232  -0.264 0.154  -0.203 0.075  -0.142 -0.003  -0.077 -0.077  -0.002 -0.142  0.072 -0.208  0.147 -0.273  0.218 -0.341  0.275 -0.422  0.333 -0.503  0.390 -0.583  0.420 -0.677  0.447 -0.773  0.467 -0.868  0.436 -0.962  0.405 -1.056  0.332 -1.112  0.241 -1.151  0.150 -1.190  0.052 -1.199  -0.047 -1.199  -0.146 -1.199  -0.245 -1.199  -0.344 -1.199  -0.443 -1.199  -0.539 -1.186  -0.624 -1.135  -0.708 -1.084
2#apb#apb10#app1032/t  0.866 1.828  0.905 1.913  0.871 1.768  0.796 1.634  0.714 1.504  0.633 1.374  0.545 1.247  0.456 1.122  0.366 0.997  0.283 0.869  0.204 0.737  0.125 0.605  0.046 0.473  -0.036 0.343  -0.126 0.219  -0.217 0.095  -0.308 -0.029  -0.399 -0.153  -0.479 -0.284  -0.547 -0.421  -0.616 -0.559  -0.684 -0.697  -0.743 -0.838  -0.733 -0.976  -0.622 -1.067  -0.474 -1.105  -0.321 -1.119  -0.167 -1.120  -0.013 -1.119  0.140 -1.107  0.291 -1.083  0.443 -1.062  0.497 -1.006  0.382 -0.905  0.267 -0.803  0.152 -0.701  0.037 -0.599  -0.078 -0.498  -0.194 -0.396  -0.309 -0.294  -0.424 -0.193  -0.539 -0.091  -0.617 0.028  -0.502 0.120  -0.356 0.168  -0.207 0.206  -0.057 0.233  0.097 0.244  0.250 0.248  0.404 0.248
2#apb#apb10#app1032/o  0.529 0.289  0.543 0.452  0.558 0.615  0.540 0.775  0.487 0.926  0.326 0.953  0.163 0.961  -0.000 0.961  -0.150 0.904  -0.296 0.831  -0.442 0.758  -0.589 0.685  -0.698 0.565  -0.804 0.440  -0.909 0.315  -1.006 0.185  -1.075 0.037  -1.143 -0.112  -1.203 -0.262  -1.203 -0.426  -1.203 -0.589  -1.157 -0.725  -1.013 -0.804  -0.870 -0.882  -0.715 -0.923  -0.552 -0.941  -0.390 -0.959  -0.228 -0.977  -0.067 -0.958  0.092 -0.923  0.252 -0.887  0.412 -0.852  0.568 -0.805  0.723 -0.753  0.878 -0.702  1.003 -0.597  1.127 -0.490  1.173 -0.334  1.175 -0.179  1.115 -0.027  1.048 0.120  0.915 0.215  0.782 0.310  0.649 0.405  0.507 0.477  0.346 0.509  0.186 0.542  0.026 0.575  -0.129 0.626  -0.284 0.678
2#apb#apb10#app1032/m  -1.207 0.055  -1.055 0.188  -0.880 0.304  -0.702 0.414  -0.514 0.505  -0.622 0.325  -0.742 0.151  -0.874 -0.011  -1.017 -0.166  -1.117 -0.351  -1.232 -0.525  -1.364 -0.689  -1.399 -0.779  -1.277 -0.607  -1.154 -0.436  -1.032 -0.265  -0.871 -0.170  -0.661 -0.170  -0.496 -0.052  -0.317 0.055  -0.130 0.151  0.044 0.268  0.230 0.349  0.289 0.289  0.173 0.114  0.084 -0.077  -0.041 -0.245  -0.159 -0.418  -0.257 -0.604  -0.201 -0.667  -0.106 -0.479  -0.012 -0.291  0.082 -0.103  0.257 -0.021  0.459 0.036  0.644 0.131  0.819 0.247  0.996 0.360  1.175 0.471  1.357 0.576  1.514 0.715  1.691 0.811  1.617 0.677  1.499 0.504  1.363 0.343  1.235 0.176  1.110 0.007  1.003 -0.174  0.907 -0.360  0.892 -0.563
2#apb#apb10#app1032/y  -0.060 1.035  -0.117 0.999  -0.210 0.893  -0.304 0.787  -0.392 0.677  -0.480 0.567  -0.531 0.438  -0.549 0.298  -0.501 0.177  -0.366 0.144  -0.227 0.117  -0.116 0.195  -0.007 0.286  0.102 0.376  0.211 0.466  0.320 0.556  0.428 0.646  0.537 0.737  0.646 0.827  0.755 0.917  0.838 1.013  0.759 1.129  0.688 1.117  0.634 0.986  0.567 0.862  0.513 0.731  0.466 0.598  0.427 0.463  0.416 0.322  0.406 0.181  0.400 0.040  0.400 -0.102  0.393 -0.243  0.379 -0.383  0.334 -0.517  0.285 -0.649  0.226 -0.777  0.148 -0.894  0.060 -1.005  -0.054 -1.087  -0.172 -1.164  -0.296 -1.233  -0.420 -1.300  -0.554 -1.344  -0.690 -1.382  -0.831 -1.391  -0.972 -1.386  -1.108 -1.356  -1.192 -1.252  -1.191 -1.114
2#apb#apb10#app1032/h  -0.758 0.237  -0.613 0.334  -0.432 0.427  -0.261 0.537  -0.095 0.654  0.069 0.774  0.227 0.901  0.371 1.045  0.475 1.218  0.600 1.377  0.724 1.536  0.839 1.655  0.736 1.480  0.630 1.306  0.525 1.132  0.425 0.955  0.326 0.777  0.220 0.604  0.108 0.435  -0.005 0.266  -0.120 0.098  -0.236 -0.069  -0.352 -0.236  -0.466 -0.404  -0.579 -0.573  -0.692 -0.742  -0.799 -0.915  -0.904 -1.089  -1.000 -1.268  -1.003 -1.286  -0.900 -1.111  -0.798 -0.935  -0.695 -0.760  -0.563 -0.662  -0.368 -0.605  -0.175 -0.541  0.011 -0.460  0.184 -0.354  0.352 -0.239  0.514 -0.119  0.654 0.024  0.829 0.100  0.749 -0.086  0.636 -0.255  0.520 -0.422  0.401 -0.587  0.297 -0.761  0.200 -0.939  0.118 -1.126  0.073 -1.323
2#apb#apb10#app1032/o  0.682 0.491  0.754 0.602  0.721 0.736  0.640 0.846  0.525 0.928  0.396 0.983  0.264 1.030  0.123 1.030  -0.016 1.022  -0.139 0.955  -0.263 0.887  -0.387 0.820  -0.488 0.723  -0.588 0.623  -0.688 0.523  -0.787 0.423  -0.882 0.319  -0.976 0.214  -1.071 0.109  -1.123 -0.014  -1.139 -0.154  -1.145 -0.294  -1.117 -0.432  -1.090 -0.570  -1.013 -0.680  -0.907 -0.773  -0.801 -0.866  -0.664 -0.883  -0.523 -0.892  -0.382 -0.902  -0.242 -0.910  -0.101 -0.900  0.040 -0.891  0.180 -0.882  0.318 -0.860  0.446 -0.801  0.574 -0.742  0.702 -0.683  0.817 -0.604  0.924 -0.513  1.014 -0.410  1.048 -0.273  1.073 -0.136  1.042 0.001  1.012 0.139  0.903 0.213  0.775 0.270  0.647 0.329  0.520 0.392  0.394 0.455
2#apb#apb10#app1032/u  -0.829 0.628  -0.701 0.572  -0.593 0.473  -0.536 0.345  -0.611 0.219  -0.687 0.093  -0.806 0.010  -0.930 -0.068  -1.055 -0.145  -1.182 -0.219  -1.309 -0.293  -1.394 -0.411  -1.475 -0.533  -1.376 -0.624  -1.233 -0.655  -1.097 -0.709  -0.961 -0.760  -0.821 -0.714  -0.680 -0.676  -0.535 -0.660  -0.389 -0.645  -0.242 -0.632  -0.118 -0.571  -0.013 -0.469  0.093 -0.367  0.198 -0.265  0.304 -0.163  0.410 -0.061  0.515 0.041  0.621 0.143  0.726 0.245  0.832 0.347  0.937 0.449  1.043 0.550  1.148 0.652  1.254 0.754  1.360 0.856  1.321 0.899  1.190 0.833  1.080 0.739  0.976 0.635  0.891 0.516  0.807 0.396  0.728 0.272  0.653 0.146  0.572 0.023  0.487 -0.096  0.450 -0.237  0.442 -0.375  0.533 -0.489
2#apb#apb10#app1032/s  0.610 1.144  0.563 1.238  0.479 1.293  0.381 1.319  0.282 1.285  0.182 1.252  0.082 1.219  -0.017 1.186  -0.117 1.153  -0.198 1.088  -0.272 1.014  -0.337 0.933  -0.379 0.839  -0.327 0.748  -0.275 0.657  -0.197 0.590  -0.109 0.532  -0.022 0.474  0.066 0.416  0.155 0.360  0.244 0.304  0.332 0.247  0.408 0.174  0.482 0.100  0.554 0.024  0.596 -0.072  0.639 -0.168  0.663 -0.266  0.637 -0.368  0.612 -0.470  0.560 -0.561  0.506 -0.651  0.452 -0.741  0.373 -0.803  0.277 -0.844  0.180 -0.886  0.084 -0.927  -0.014 -0.965  -0.115 -0.993  -0.217 -1.021  -0.318 -1.048  -0.423 -1.049  -0.528 -1.049  -0.633 -1.049  -0.735 -1.027  -0.837 -0.999  -0.938 -0.971  -1.035 -0.933  -1.129 -0.886  -1.223 -0.839
2#apb#apb10#app1032/e  0.082 0.085  0.164 0.182  0.254 0.268  0.368 0.325  0.478 0.387  0.582 0.460  0.686 0.532  0.785 0.612  0.880 0.696  0.983 0.768  1.097 0.821  1.036 0.911  0.912 0.919  0.785 0.919  0.661 0.896  0.536 0.871  0.412 0.846  0.288 0.817  0.165 0.787  0.042 0.756  -0.081 0.725  -0.194 0.667  -0.306 0.607  -0.419 0.548  -0.531 0.489  -0.636 0.421  -0.722 0.328  -0.808 0.234  -0.895 0.141  -0.960 0.036  -0.995 -0.086  -1.030 -0.208  -1.043 -0.326  -0.970 -0.431  -0.898 -0.535  -0.826 -0.639  -0.729 -0.718  -0.623 -0.789  -0.518 -0.859  -0.412 -0.930  -0.299 -0.986  -0.183 -1.040  -0.068 -1.093  0.053 -1.130  0.176 -1.158  0.300 -1.187  0.426 -1.194  0.553 -1.194  0.667 -1.243  0.777 -1.306
2#apb#apb10#app1032/a  0.679 0.381  0.585 0.257  0.527 0.152  0.581 0.189  0.581 0.344  0.581 0.500  0.581 0.655  0.538 0.804  0.492 0.952  0.447 1.100  0.314 1.180  0.166 1.165  0.017 1.124  -0.116 1.043  -0.248 0.962  -0.380 0.880  -0.493 0.774  -0.603 0.664  -0.713 0.554  -0.819 0.440  -0.915 0.318  -1.011 0.196  -1.107 0.073  -1.181 -0.062  -1.238 -0.206  -1.264 -0.352  -1.221 -0.501  -1.125 -0.620  -1.015 -0.728  -0.859 -0.728  -0.704 -0.728  -0.558 -0.675  -0.414 -0.617  -0.270 -0.560  -0.127 -0.498  0.014 -0.432  0.154 -0.366  0.296 -0.301  0.442 -0.248  0.588 -0.195  0.730 -0.132  0.859 -0.142  0.874 -0.294  0.874 -0.450  0.874 -0.605  0.874 -0.761  0.874 -0.916  0.874 -1.071  0.927 -1.205  1.037 -1.315
2#apb#apb10#app1032/s  0.970 1.240  0.909 1.150  0.784 1.146  0.658 1.134  0.533 1.121  0.409 1.100  0.285 1.077  0.162 1.052  0.042 1.015  -0.078 0.978  -0.199 0.941  -0.315 0.892  -0.428 0.839  -0.526 0.760  -0.543 0.658  -0.476 0.552  -0.403 0.450  -0.300 0.381  -0.189 0.321  -0.079 0.261  0.033 0.204  0.149 0.154  0.265 0.105  0.380 0.055  0.480 -0.018  0.569 -0.107  0.658 -0.196  0.743 -0.288  0.813 -0.393  0.849 -0.507  0.813 -0.622  0.743 -0.727  0.630 -0.763  0.505 -0.781  0.382 -0.804  0.258 -0.827  0.134 -0.850  0.010 -0.867  -0.116 -0.860  -0.241 -0.853  -0.367 -0.847  -0.493 -0.840  -0.618 -0.825  -0.742 -0.809  -0.867 -0.794  -0.992 -0.778  -1.118 -0.778  -1.244 -0.778  -1.363 -0.804  -1.471 -0.869
2#apb#apb10#app1032/k  -0.167 0.805  -0.004 0.878  0.217 1.012  0.374 1.219  0.509 1.441  0.589 1.686  0.574 1.595  0.445 1.370  0.302 1.152  0.175 0.924  0.043 0.700  -0.094 0.478  -0.233 0.258  -0.373 0.038  -0.502 -0.189  -0.626 -0.418  -0.755 -0.644  -0.885 -0.870  -1.028 -1.088  -1.173 -1.305  -1.324 -1.517  -1.195 -1.417  -1.003 -1.241  -0.811 -1.064  -0.619 -0.888  -0.427 -0.711  -0.235 -0.535  -0.043 -0.359  0.149 -0.182  0.340 -0.006  0.532 0.171  0.724 0.347  0.916 0.524  1.029 0.689  0.877 0.501  0.677 0.334  0.471 0.174  0.267 0.011  0.057 -0.141  -0.128 -0.323  -0.342 -0.471  -0.207 -0.458  -0.055 -0.318  0.170 -0.185  0.399 -0.061  0.634 0.052  0.621 -0.149  0.505 -0.381  0.363 -0.597  0.268 -0.839
2#apb#apb10#app1032/L  -0.436 0.395  -0.371 0.365  -0.229 0.384  -0.091 0.429  0.049 0.469  0.177 0.537  0.309 0.596  0.441 0.658  0.566 0.731  0.677 0.825  0.795 0.910  0.903 1.007  0.993 1.121  1.039 1.254  1.009 1.323  0.946 1.214  0.869 1.092  0.808 0.963  0.720 0.847  0.636 0.729  0.552 0.610  0.470 0.490  0.390 0.369  0.304 0.252  0.215 0.137  0.120 0.027  0.020 -0.078  -0.082 -0.182  -0.184 -0.285  -0.283 -0.392  -0.378 -0.501  -0.481 -0.604  -0.594 -0.695  -0.704 -0.789  -0.813 -0.886  -0.920 -0.985  -1.027 -1.083  -1.133 -1.167  -1.100 -1.102  -0.999 -0.998  -0.884 -0.910  -0.768 -0.823  -0.644 -0.748  -0.508 -0.698  -0.367 -0.664  -0.224 -0.661  -0.090 -0.713  0.014 -0.813  0.089 -0.937  0.199 -1.019
2#apb#apb10#app1032/a  1.031 0.083  0.959 0.014  0.933 0.159  0.842 0.272  0.798 0.408  0.777 0.556  0.735 0.698  0.711 0.845  0.654 0.982  0.537 1.051  0.390 1.050  0.243 1.029  0.100 0.987  -0.043 0.945  -0.177 0.886  -0.299 0.800  -0.421 0.715  -0.534 0.619  -0.634 0.509  -0.734 0.398  -0.830 0.285  -0.908 0.158  -0.986 0.032  -1.065 -0.095  -1.138 -0.225  -1.205 -0.358  -1.271 -0.491  -1.293 -0.635  -1.231 -0.763  -1.113 -0.825  -0.964 -0.825  -0.815 -0.823  -0.673 -0.779  -0.531 -0.734  -0.389 -0.690  -0.247 -0.646  -0.109 -0.591  0.030 -0.536  0.168 -0.480  0.306 -0.425  0.423 -0.333  0.541 -0.242  0.661 -0.154  0.788 -0.077  0.907 -0.105  0.969 -0.240  1.016 -0.381  1.031 -0.527  1.031 -0.676  1.031 -0.825
2#apb#apb10#app1032/u  -0.568 0.698  -0.670 0.596  -0.778 0.500  -0.888 0.406  -1.006 0.322  -1.124 0.240  -1.228 0.142  -1.311 0.023  -1.394 -0.095  -1.438 -0.232  -1.443 -0.370  -1.390 -0.501  -1.266 -0.576  -1.124 -0.585  -0.981 -0.605  -0.837 -0.613  -0.694 -0.605  -0.558 -0.554  -0.419 -0.520  -0.275 -0.509  -0.131 -0.499  -0.005 -0.445  0.103 -0.350  0.212 -0.254  0.320 -0.159  0.429 -0.063  0.537 0.032  0.646 0.128  0.754 0.223  0.863 0.319  0.971 0.414  1.080 0.510  1.188 0.605  1.297 0.701  1.405 0.796  1.331 0.761  1.206 0.688  1.085 0.608  0.965 0.528  0.857 0.432  0.750 0.335  0.643 0.238  0.560 0.120  0.483 -0.002  0.409 -0.126  0.364 -0.263  0.318 -0.400  0.275 -0.538  0.237 -0.677  0.237 -0.822
2#apb#apb10#app1032/r  -0.305 0.450  -0.333 0.450  -0.329 0.368  -0.360 0.259  -0.402 0.155  -0.457 0.056  -0.512 -0.043  -0.564 -0.144  -0.606 -0.249  -0.648 -0.354  -0.690 -0.459  -0.732 -0.564  -0.774 -0.669  -0.816 -0.775  -0.834 -0.884  -0.834 -0.998  -0.834 -1.111  -0.811 -1.124  -0.763 -1.022  -0.715 -0.919  -0.666 -0.817  -0.618 -0.715  -0.570 -0.612  -0.521 -0.510  -0.473 -0.407  -0.425 -0.305  -0.376 -0.203  -0.328 -0.100  -0.280 0.002  -0.230 0.104  -0.168 0.198  -0.064 0.241  0.042 0.281  0.147 0.323  0.248 0.374  0.349 0.425  0.454 0.467  0.562 0.500  0.671 0.533  0.779 0.567  0.887 0.600  0.994 0.636  1.102 0.672  1.209 0.708  1.318 0.736  1.431 0.749  1.543 0.763  1.655 0.776  1.768 0.789  1.880 0.802
