1b#ced#risn4711_s_1i/M  -0.418 -0.079  -0.418 0.163  -0.459 0.398  -0.479 0.638  -0.560 0.494  -0.620 0.260  -0.672 0.025  -0.723 -0.211  -0.767 -0.448  -0.832 -0.681  -0.878 -0.918  -0.928 -1.155  -0.920 -1.228  -0.860 -0.994  -0.812 -0.758  -0.754 -0.523  -0.723 -0.283  -0.665 -0.049  -0.599 0.184  -0.547 0.420  -0.507 0.658  -0.445 0.892  -0.382 1.125  -0.261 1.252  -0.191 1.022  -0.148 0.784  -0.104 0.546  -0.066 0.307  -0.021 0.070  0.073 -0.152  0.198 -0.345  0.382 -0.211  0.512 -0.008  0.628 0.204  0.726 0.425  0.808 0.652  0.877 0.883  0.984 1.098  1.005 0.950  0.984 0.711  0.962 0.470  0.930 0.230  0.902 -0.010  0.883 -0.251  0.870 -0.492  0.843 -0.732  0.813 -0.972  0.801 -1.214  0.797 -1.455  0.781 -1.695
1b#ced#risn4711_s_1i/Z  -0.871 0.665  -1.013 0.686  -1.160 0.690  -1.208 0.731  -1.076 0.773  -0.935 0.816  -0.788 0.816  -0.644 0.841  -0.497 0.845  -0.352 0.866  -0.205 0.878  -0.059 0.891  0.088 0.891  0.232 0.916  0.379 0.916  0.523 0.887  0.652 0.833  0.683 0.706  0.628 0.572  0.534 0.458  0.430 0.354  0.326 0.250  0.208 0.162  0.092 0.070  -0.016 -0.029  -0.127 -0.125  -0.242 -0.213  -0.343 -0.318  -0.444 -0.424  -0.554 -0.520  -0.674 -0.605  -0.781 -0.704  -0.821 -0.842  -0.694 -0.884  -0.546 -0.884  -0.402 -0.856  -0.258 -0.828  -0.112 -0.804  0.033 -0.783  0.181 -0.783  0.327 -0.765  0.472 -0.744  0.619 -0.733  0.766 -0.724  0.911 -0.702  1.057 -0.678  1.202 -0.657  1.349 -0.654  1.493 -0.623  1.634 -0.632
1b#ced#risn4711_s_1i/E  -0.332 0.768  -0.295 0.968  -0.339 1.123  -0.485 0.979  -0.570 0.782  -0.642 0.579  -0.728 0.385  -0.775 0.175  -0.787 -0.039  -0.790 -0.249  -0.775 -0.464  -0.729 -0.673  -0.647 -0.872  -0.515 -1.025  -0.392 -1.202  -0.229 -1.334  -0.042 -1.438  0.167 -1.491  0.381 -1.504  0.597 -1.503  0.801 -1.437  0.833 -1.288  0.735 -1.096  0.636 -0.905  0.537 -0.713  0.438 -0.521  0.340 -0.330  0.221 -0.161  0.013 -0.103  -0.192 -0.058  -0.218 0.062  -0.015 0.121  0.194 0.158  0.405 0.195  0.618 0.220  0.831 0.238  0.825 0.330  0.641 0.443  0.457 0.556  0.274 0.669  0.087 0.776  -0.124 0.805  -0.331 0.842  -0.546 0.842  -0.442 0.925  -0.235 0.985  -0.029 1.047  0.182 1.093  0.395 1.129  0.592 1.211
1b#ced#risn4711_s_1i/N  -0.478 0.331  -0.599 0.447  -0.691 0.575  -0.803 0.475  -0.815 0.306  -0.815 0.136  -0.815 -0.035  -0.815 -0.205  -0.815 -0.375  -0.815 -0.546  -0.815 -0.716  -0.806 -0.886  -0.782 -1.053  -0.741 -1.009  -0.718 -0.840  -0.718 -0.670  -0.694 -0.502  -0.694 -0.332  -0.694 -0.161  -0.672 0.008  -0.667 0.177  -0.629 0.344  -0.622 0.513  -0.588 0.677  -0.466 0.732  -0.346 0.615  -0.246 0.477  -0.150 0.336  -0.054 0.196  0.043 0.055  0.149 -0.078  0.239 -0.222  0.343 -0.357  0.458 -0.483  0.565 -0.615  0.688 -0.732  0.850 -0.777  0.975 -0.675  1.038 -0.519  1.075 -0.352  1.103 -0.184  1.131 -0.016  1.159 0.152  1.183 0.321  1.209 0.489  1.230 0.658  1.237 0.828  1.265 0.996  1.296 1.164  1.329 1.331
1b#ced#risn4711_s_1i/J  0.572 0.402  0.585 0.568  0.609 0.732  0.628 0.773  0.628 0.606  0.628 0.438  0.609 0.272  0.586 0.107  0.559 -0.059  0.535 -0.224  0.490 -0.385  0.465 -0.551  0.440 -0.716  0.391 -0.876  0.339 -1.035  0.295 -1.196  0.240 -1.348  0.101 -1.441  -0.061 -1.442  -0.221 -1.404  -0.372 -1.338  -0.529 -1.279  -0.671 -1.192  -0.773 -1.066  -0.756 -0.903  -0.722 -0.739  -0.689 -0.575  -0.655 -0.411  -0.621 -0.247  -0.588 -0.083  -0.554 0.081  -0.520 0.245  -0.487 0.410  -0.453 0.574  -0.419 0.738  -0.512 0.778  -0.677 0.792  -0.841 0.791  -0.713 0.778  -0.548 0.797  -0.382 0.816  -0.215 0.816  -0.049 0.835  0.118 0.843  0.285 0.854  0.451 0.867  0.619 0.873  0.785 0.887  0.952 0.906  1.118 0.929
1b#ced#risn4711_s_1i/U  -0.535 0.766  -0.509 0.890  -0.509 1.016  -0.509 1.143  -0.577 1.213  -0.653 1.115  -0.690 0.995  -0.690 0.868  -0.690 0.742  -0.690 0.615  -0.665 0.491  -0.645 0.366  -0.625 0.241  -0.605 0.116  -0.584 -0.009  -0.563 -0.134  -0.542 -0.259  -0.521 -0.384  -0.490 -0.506  -0.445 -0.624  -0.405 -0.744  -0.348 -0.858  -0.297 -0.973  -0.257 -1.092  -0.185 -1.195  -0.107 -1.294  -0.000 -1.358  0.120 -1.328  0.219 -1.249  0.284 -1.141  0.341 -1.028  0.392 -0.912  0.439 -0.795  0.482 -0.676  0.517 -0.554  0.556 -0.433  0.583 -0.310  0.598 -0.184  0.632 -0.062  0.651 0.062  0.652 0.188  0.687 0.310  0.713 0.434  0.729 0.559  0.729 0.686  0.758 0.809  0.783 0.933  0.808 1.057  0.832 1.181  0.832 1.308
1b#ced#risn4711_s_1i/G  -0.483 1.192  -0.415 1.333  -0.414 1.394  -0.526 1.282  -0.616 1.152  -0.702 1.019  -0.760 0.873  -0.810 0.724  -0.881 0.583  -0.938 0.435  -0.968 0.280  -0.997 0.124  -1.015 -0.033  -1.015 -0.191  -0.985 -0.346  -0.914 -0.488  -0.834 -0.624  -0.728 -0.742  -0.607 -0.835  -0.460 -0.877  -0.312 -0.921  -0.156 -0.897  -0.015 -0.832  0.113 -0.739  0.151 -0.587  0.169 -0.430  0.148 -0.275  0.086 -0.130  0.002 0.005  -0.116 0.108  -0.231 0.216  -0.207 0.213  -0.067 0.219  0.085 0.194  0.241 0.204  0.383 0.194  0.542 0.194  0.700 0.194  0.852 0.230  1.010 0.234  1.165 0.257  1.276 0.177  1.255 0.025  1.207 -0.122  1.169 -0.273  1.153 -0.429  1.138 -0.585  1.126 -0.742  1.100 -0.898  1.100 -1.057
1b#ced#risn4711_s_1i/S  1.483 0.852  1.499 1.024  1.398 1.175  1.238 1.250  1.066 1.219  0.908 1.168  0.730 1.187  0.554 1.151  0.379 1.102  0.227 1.007  0.075 0.919  -0.058 0.799  -0.185 0.682  -0.198 0.519  -0.048 0.420  0.119 0.349  0.293 0.299  0.455 0.222  0.608 0.124  0.725 -0.011  0.781 -0.178  0.768 -0.353  0.663 -0.498  0.504 -0.586  0.336 -0.653  0.163 -0.701  -0.017 -0.711  -0.184 -0.660  -0.347 -0.580  -0.510 -0.501  -0.673 -0.421  -0.836 -0.341  -0.997 -0.259  -1.058 -0.333  -0.955 -0.483  -0.820 -0.599  -0.703 -0.633  -0.867 -0.554  -1.030 -0.476  -1.187 -0.496  -1.081 -0.571  -0.902 -0.553  -0.721 -0.553  -0.543 -0.518  -0.368 -0.470  -0.191 -0.431  -0.041 -0.423  0.013 -0.580  -0.144 -0.658  -0.322 -0.683
1b#ced#risn4711_s_1i/Q  -0.055 0.457  -0.034 0.667  0.015 0.876  0.029 1.089  -0.082 1.036  -0.232 0.886  -0.379 0.732  -0.494 0.551  -0.627 0.383  -0.748 0.205  -0.845 0.014  -0.954 -0.171  -1.026 -0.373  -1.087 -0.579  -1.121 -0.791  -1.063 -0.991  -0.895 -1.112  -0.689 -1.163  -0.474 -1.163  -0.264 -1.118  -0.057 -1.059  0.141 -0.975  0.333 -0.879  0.504 -0.750  0.669 -0.612  0.828 -0.468  0.916 -0.277  1.005 -0.081  1.053 0.127  1.034 0.340  0.987 0.548  0.890 0.740  0.786 0.926  0.633 1.075  0.446 1.175  0.234 1.209  0.024 1.183  -0.136 1.046  -0.240 0.861  -0.280 0.650  -0.285 0.435  -0.237 0.227  -0.182 0.021  -0.084 -0.169  0.029 -0.352  0.141 -0.535  0.267 -0.709  0.394 -0.882  0.535 -1.044  0.677 -1.205
1b#ced#risn4711_s_1i/U  -0.548 0.810  -0.528 0.925  -0.482 1.035  -0.444 1.149  -0.455 1.144  -0.499 1.033  -0.555 0.929  -0.582 0.812  -0.606 0.695  -0.636 0.579  -0.676 0.467  -0.695 0.349  -0.698 0.229  -0.713 0.111  -0.720 -0.009  -0.720 -0.128  -0.720 -0.248  -0.705 -0.367  -0.685 -0.485  -0.666 -0.603  -0.646 -0.721  -0.601 -0.832  -0.532 -0.929  -0.448 -1.015  -0.358 -1.086  -0.240 -1.102  -0.123 -1.127  -0.007 -1.116  0.110 -1.087  0.206 -1.016  0.291 -0.932  0.376 -0.847  0.454 -0.757  0.522 -0.659  0.575 -0.552  0.629 -0.445  0.679 -0.336  0.725 -0.225  0.758 -0.110  0.790 0.005  0.821 0.121  0.854 0.236  0.880 0.353  0.904 0.470  0.942 0.583  0.944 0.703  0.961 0.821  0.969 0.940  0.953 1.058  0.944 1.177
1b#ced#risn4711_s_1i/I  0.455 0.296  0.455 0.386  0.446 0.475  0.424 0.562  0.402 0.649  0.380 0.737  0.359 0.824  0.359 0.914  0.359 1.004  0.359 1.094  0.359 1.184  0.359 1.274  0.348 1.330  0.294 1.258  0.240 1.186  0.200 1.107  0.172 1.021  0.149 0.934  0.127 0.847  0.105 0.759  0.084 0.672  0.058 0.586  0.030 0.500  0.001 0.415  -0.025 0.329  -0.043 0.241  -0.061 0.153  -0.077 0.064  -0.092 -0.025  -0.107 -0.114  -0.126 -0.201  -0.159 -0.285  -0.193 -0.368  -0.219 -0.454  -0.234 -0.543  -0.249 -0.632  -0.263 -0.720  -0.277 -0.809  -0.291 -0.898  -0.304 -0.987  -0.317 -1.076  -0.330 -1.166  -0.343 -1.255  -0.356 -1.344  -0.370 -1.433  -0.385 -1.521  -0.400 -1.610  -0.417 -1.699  -0.434 -1.787  -0.452 -1.875
1b#ced#risn4711_s_1i/C  0.718 0.873  0.742 0.941  0.747 1.032  0.757 1.120  0.701 1.184  0.615 1.211  0.524 1.203  0.437 1.174  0.356 1.131  0.275 1.087  0.193 1.045  0.113 1.000  0.040 0.944  -0.026 0.879  -0.097 0.821  -0.167 0.761  -0.233 0.696  -0.298 0.631  -0.358 0.562  -0.406 0.483  -0.459 0.408  -0.507 0.330  -0.546 0.246  -0.572 0.159  -0.587 0.068  -0.616 -0.020  -0.637 -0.109  -0.637 -0.201  -0.622 -0.292  -0.606 -0.382  -0.587 -0.473  -0.553 -0.558  -0.510 -0.640  -0.462 -0.718  -0.407 -0.792  -0.330 -0.840  -0.258 -0.896  -0.191 -0.958  -0.105 -0.992  -0.028 -1.041  0.052 -1.083  0.142 -1.104  0.232 -1.122  0.323 -1.140  0.414 -1.147  0.506 -1.139  0.595 -1.118  0.686 -1.100  0.774 -1.072  0.863 -1.050
1b#ced#risn4711_s_1i/K  -0.396 0.906  -0.361 1.125  -0.361 1.350  -0.326 1.569  -0.326 1.489  -0.326 1.264  -0.353 1.042  -0.396 0.822  -0.406 0.598  -0.446 0.376  -0.486 0.155  -0.521 -0.067  -0.577 -0.284  -0.628 -0.502  -0.686 -0.719  -0.735 -0.938  -0.777 -1.158  -0.633 -1.036  -0.471 -0.880  -0.309 -0.724  -0.147 -0.568  0.015 -0.413  0.186 -0.268  0.366 -0.136  0.519 0.029  0.656 0.207  0.825 0.354  1.006 0.487  1.075 0.691  0.855 0.696  0.632 0.677  0.409 0.660  0.190 0.622  -0.022 0.556  -0.239 0.507  -0.457 0.453  -0.663 0.389  -0.651 0.174  -0.536 -0.017  -0.393 -0.188  -0.224 -0.334  -0.058 -0.486  0.129 -0.610  0.313 -0.738  0.489 -0.878  0.680 -0.997  0.860 -1.132  1.040 -1.265  1.241 -1.366  1.425 -1.493
1b#ced#risn4711_s_1i/B  -0.321 0.802  -0.353 0.982  -0.422 0.764  -0.512 0.553  -0.563 0.329  -0.627 0.108  -0.691 -0.113  -0.737 -0.339  -0.790 -0.562  -0.840 -0.786  -0.885 -1.012  -0.972 -1.204  -0.952 -0.981  -0.891 -0.759  -0.830 -0.538  -0.738 -0.326  -0.659 -0.111  -0.570 0.101  -0.460 0.304  -0.370 0.515  -0.254 0.714  -0.126 0.905  0.008 1.093  0.150 1.273  0.327 1.420  0.542 1.491  0.691 1.337  0.712 1.111  0.672 0.885  0.606 0.665  0.524 0.450  0.416 0.247  0.292 0.053  0.152 -0.130  0.011 -0.311  -0.151 -0.399  0.018 -0.252  0.220 -0.143  0.428 -0.049  0.656 -0.029  0.883 -0.057  1.065 -0.189  1.156 -0.392  1.094 -0.613  0.981 -0.812  0.821 -0.977  0.634 -1.111  0.433 -1.220  0.220 -1.308  0.003 -1.376
1b#ced#risn4711_s_1i/R  0.054 0.086  0.082 0.317  0.109 0.549  0.062 0.777  -0.028 0.854  -0.045 0.621  -0.132 0.403  -0.191 0.175  -0.273 -0.045  -0.347 -0.269  -0.418 -0.493  -0.514 -0.708  -0.609 -0.923  -0.714 -1.134  -0.841 -1.332  -0.962 -1.327  -0.925 -1.096  -0.847 -0.874  -0.763 -0.654  -0.657 -0.444  -0.566 -0.227  -0.454 -0.020  -0.325 0.177  -0.193 0.372  -0.062 0.567  0.062 0.765  0.220 0.939  0.387 1.105  0.576 1.245  0.784 1.354  1.017 1.377  1.220 1.291  1.263 1.064  1.176 0.851  1.008 0.685  0.830 0.532  0.625 0.419  0.406 0.331  0.192 0.235  -0.024 0.142  -0.250 0.076  -0.427 -0.052  -0.355 -0.261  -0.239 -0.464  -0.105 -0.653  0.011 -0.858  0.110 -1.071  0.231 -1.271  0.348 -1.475  0.494 -1.658
1b#ced#risn4711_s_1i/O  -0.097 0.586  0.018 0.671  0.131 0.759  0.216 0.866  0.287 0.989  0.287 1.133  0.186 1.201  0.043 1.196  -0.091 1.143  -0.204 1.057  -0.293 0.945  -0.395 0.843  -0.487 0.733  -0.562 0.611  -0.639 0.490  -0.709 0.365  -0.762 0.232  -0.809 0.096  -0.831 -0.046  -0.858 -0.187  -0.886 -0.328  -0.880 -0.469  -0.852 -0.610  -0.808 -0.746  -0.743 -0.875  -0.659 -0.989  -0.558 -1.091  -0.443 -1.177  -0.305 -1.215  -0.165 -1.244  -0.021 -1.240  0.118 -1.202  0.253 -1.153  0.368 -1.068  0.458 -0.955  0.568 -0.864  0.644 -0.745  0.712 -0.618  0.783 -0.494  0.829 -0.357  0.862 -0.218  0.872 -0.075  0.872 0.069  0.872 0.213  0.827 0.350  0.770 0.482  0.681 0.592  0.579 0.694  0.472 0.789  0.349 0.863
1b#ced#risn4711_s_1i/W  -0.844 0.550  -0.770 0.713  -0.690 0.870  -0.613 1.034  -0.527 1.154  -0.544 0.980  -0.588 0.803  -0.624 0.625  -0.659 0.447  -0.687 0.267  -0.736 0.092  -0.770 -0.086  -0.814 -0.262  -0.841 -0.442  -0.852 -0.623  -0.868 -0.803  -0.888 -0.982  -0.772 -0.894  -0.685 -0.735  -0.617 -0.566  -0.539 -0.402  -0.477 -0.231  -0.400 -0.067  -0.325 0.099  -0.248 0.263  -0.147 0.414  -0.019 0.405  0.023 0.229  0.047 0.050  0.081 -0.129  0.092 -0.310  0.132 -0.487  0.170 -0.665  0.228 -0.835  0.325 -0.989  0.469 -1.064  0.615 -0.964  0.725 -0.822  0.806 -0.660  0.883 -0.495  0.955 -0.328  1.026 -0.161  1.079 0.013  1.134 0.186  1.175 0.362  1.218 0.539  1.274 0.712  1.322 0.887  1.357 1.065  1.406 1.241
1b#ced#risn4711_s_1i/N  -0.551 0.917  -0.432 1.075  -0.358 1.255  -0.380 1.195  -0.447 1.010  -0.490 0.817  -0.533 0.624  -0.590 0.437  -0.632 0.245  -0.693 0.058  -0.730 -0.136  -0.772 -0.329  -0.820 -0.520  -0.883 -0.708  -0.836 -0.620  -0.781 -0.430  -0.738 -0.239  -0.694 -0.052  -0.651 0.141  -0.588 0.328  -0.537 0.518  -0.489 0.710  -0.432 0.899  -0.328 1.003  -0.245 0.831  -0.194 0.640  -0.121 0.457  -0.061 0.269  0.001 0.082  0.062 -0.106  0.125 -0.293  0.187 -0.481  0.254 -0.667  0.320 -0.853  0.393 -1.037  0.491 -1.207  0.567 -1.387  0.690 -1.483  0.771 -1.309  0.821 -1.118  0.857 -0.924  0.886 -0.728  0.912 -0.532  0.955 -0.340  1.005 -0.149  1.049 0.044  1.091 0.237  1.139 0.428  1.187 0.620  1.242 0.810
