2#app#app13#app1342/P  -0.071 0.427  -0.130 0.311  -0.186 0.193  -0.071 0.066  -0.071 -0.110  -0.071 -0.285  -0.071 -0.460  -0.071 -0.635  -0.071 -0.811  -0.085 -0.980  -0.187 -1.113  -0.187 -1.288  -0.187 -1.464  -0.187 -1.639  -0.187 -1.744  -0.187 -1.569  -0.210 -1.396  -0.236 -1.222  -0.262 -1.049  -0.288 -0.876  -0.314 -0.702  -0.340 -0.529  -0.366 -0.356  -0.392 -0.182  -0.418 -0.009  -0.444 0.164  -0.470 0.338  -0.496 0.511  -0.522 0.684  -0.536 0.859  -0.510 1.008  -0.420 1.093  -0.318 1.226  -0.187 1.279  -0.089 1.356  0.086 1.356  0.261 1.356  0.390 1.243  0.548 1.202  0.626 1.058  0.714 0.920  0.756 0.762  0.858 0.629  0.858 0.454  0.858 0.278  0.793 0.130  0.742 -0.024  0.627 -0.152  0.452 -0.154  0.277 -0.154
2#app#app13#app1342/l  0.180 1.683  0.180 1.612  0.180 1.540  0.180 1.469  0.180 1.398  0.180 1.326  0.180 1.255  0.180 1.184  0.180 1.112  0.145 1.055  0.095 1.005  0.044 0.955  0.032 0.889  0.032 0.817  0.032 0.746  0.032 0.675  0.032 0.603  0.032 0.532  0.032 0.461  0.032 0.389  0.032 0.318  0.032 0.247  0.032 0.175  0.032 0.104  0.025 0.034  0.003 -0.034  -0.020 -0.101  -0.042 -0.169  -0.065 -0.237  -0.087 -0.304  -0.110 -0.372  -0.117 -0.442  -0.117 -0.514  -0.117 -0.585  -0.117 -0.656  -0.117 -0.728  -0.117 -0.799  -0.117 -0.870  -0.117 -0.941  -0.117 -1.013  -0.117 -1.084  -0.117 -1.155  -0.117 -1.227  -0.117 -1.298  -0.117 -1.369  -0.117 -1.441  -0.117 -1.512  -0.111 -1.578  -0.040 -1.578  0.032 -1.578
2#app#app13#app1342/a  0.179 0.853  0.041 0.853  -0.043 0.907  -0.043 1.045  -0.043 1.183  -0.067 1.296  -0.205 1.296  -0.264 1.217  -0.264 1.080  -0.397 1.075  -0.486 1.025  -0.486 0.888  -0.486 0.750  -0.500 0.618  -0.597 0.520  -0.695 0.423  -0.707 0.290  -0.707 0.153  -0.707 0.015  -0.707 -0.123  -0.707 -0.261  -0.707 -0.399  -0.707 -0.536  -0.707 -0.674  -0.707 -0.812  -0.676 -0.919  -0.539 -0.919  -0.486 -1.004  -0.485 -1.140  -0.347 -1.140  -0.225 -1.101  -0.128 -1.004  -0.030 -0.906  0.067 -0.809  0.165 -0.711  0.297 -0.697  0.424 -0.673  0.522 -0.576  0.619 -0.478  0.717 -0.381  0.814 -0.283  0.843 -0.158  0.852 -0.024  0.950 0.074  1.047 0.171  1.178 0.189  1.286 0.159  1.286 0.021  1.286 -0.117  1.286 -0.254
2#app#app13#app1342/s  0.613 1.591  0.519 1.591  0.430 1.578  0.364 1.512  0.297 1.446  0.231 1.379  0.165 1.313  0.098 1.246  0.032 1.180  -0.034 1.114  -0.067 1.033  -0.067 0.939  -0.067 0.846  -0.067 0.752  -0.067 0.658  -0.074 0.572  -0.168 0.572  -0.237 0.546  -0.237 0.452  -0.237 0.358  -0.237 0.265  -0.237 0.171  -0.237 0.077  -0.237 -0.017  -0.234 -0.108  -0.140 -0.108  -0.067 -0.129  -0.067 -0.222  -0.067 -0.316  -0.067 -0.410  -0.011 -0.448  0.083 -0.448  0.155 -0.500  0.222 -0.567  0.273 -0.639  0.273 -0.733  0.273 -0.827  0.273 -0.921  0.232 -0.998  0.166 -1.064  0.103 -1.132  0.103 -1.226  0.080 -1.297  -0.013 -1.297  -0.107 -1.297  -0.201 -1.297  -0.295 -1.297  -0.389 -1.297  -0.483 -1.297  -0.577 -1.297
2#app#app13#app1342/s  0.369 1.212  0.369 1.301  0.345 1.366  0.256 1.366  0.181 1.332  0.118 1.269  0.053 1.212  -0.036 1.212  -0.093 1.180  -0.093 1.091  -0.149 1.058  -0.238 1.058  -0.247 0.978  -0.258 0.893  -0.321 0.830  -0.383 0.767  -0.401 0.685  -0.401 0.596  -0.401 0.507  -0.401 0.418  -0.401 0.329  -0.401 0.240  -0.401 0.151  -0.351 0.083  -0.288 0.020  -0.225 -0.043  -0.162 -0.106  -0.099 -0.169  -0.036 -0.232  0.027 -0.295  0.090 -0.358  0.153 -0.421  0.216 -0.484  0.279 -0.547  0.342 -0.610  0.369 -0.687  0.369 -0.776  0.369 -0.865  0.369 -0.954  0.369 -1.043  0.346 -1.123  0.283 -1.186  0.220 -1.249  0.215 -1.336  0.198 -1.408  0.109 -1.408  0.020 -1.408  -0.069 -1.408  -0.093 -1.473  -0.093 -1.562
2#app#app13#app1342/p  -0.225 0.388  -0.225 0.222  -0.225 0.055  -0.225 -0.111  -0.225 -0.277  -0.241 -0.437  -0.341 -0.562  -0.341 -0.729  -0.341 -0.895  -0.384 -1.043  -0.456 -1.180  -0.456 -1.346  -0.456 -1.513  -0.456 -1.679  -0.341 -1.657  -0.337 -1.490  -0.330 -1.324  -0.323 -1.158  -0.316 -0.992  -0.309 -0.825  -0.302 -0.659  -0.295 -0.493  -0.288 -0.327  -0.281 -0.160  -0.275 0.006  -0.268 0.172  -0.261 0.338  -0.254 0.504  -0.247 0.671  -0.240 0.837  -0.233 1.003  -0.226 1.169  -0.087 1.198  0.058 1.249  0.198 1.313  0.365 1.313  0.469 1.251  0.582 1.198  0.700 1.150  0.770 1.012  0.816 0.865  0.924 0.743  0.931 0.580  0.931 0.413  0.816 0.363  0.762 0.219  0.621 0.157  0.455 0.157  0.288 0.157  0.122 0.157
2#app#app13#app1342/l  0.158 1.698  0.158 1.627  0.158 1.555  0.158 1.484  0.158 1.412  0.158 1.341  0.158 1.269  0.158 1.198  0.158 1.126  0.158 1.055  0.158 0.983  0.158 0.912  0.158 0.840  0.158 0.769  0.158 0.697  0.158 0.626  0.158 0.554  0.158 0.483  0.158 0.411  0.130 0.351  0.080 0.301  0.029 0.250  -0.021 0.199  -0.031 0.132  -0.031 0.061  -0.031 -0.011  -0.031 -0.082  -0.031 -0.154  -0.031 -0.225  -0.031 -0.297  -0.031 -0.368  -0.031 -0.440  -0.031 -0.511  -0.037 -0.582  -0.059 -0.650  -0.082 -0.718  -0.105 -0.786  -0.127 -0.853  -0.150 -0.921  -0.172 -0.989  -0.195 -1.057  -0.218 -1.125  -0.220 -1.196  -0.220 -1.267  -0.220 -1.339  -0.220 -1.410  -0.220 -1.482  -0.220 -1.553  -0.220 -1.625  -0.220 -1.696
2#app#app13#app1342/a  -0.076 0.892  -0.207 0.892  -0.293 0.936  -0.293 1.067  -0.381 1.109  -0.510 1.107  -0.510 0.976  -0.556 0.892  -0.687 0.892  -0.727 0.801  -0.727 0.671  -0.727 0.540  -0.761 0.424  -0.854 0.331  -0.944 0.238  -0.944 0.108  -0.944 -0.023  -0.944 -0.154  -0.880 -0.258  -0.788 -0.350  -0.727 -0.456  -0.727 -0.586  -0.727 -0.717  -0.725 -0.845  -0.594 -0.845  -0.463 -0.845  -0.333 -0.845  -0.202 -0.845  -0.072 -0.845  0.059 -0.845  0.190 -0.845  0.320 -0.845  0.424 -0.780  0.516 -0.687  0.609 -0.595  0.701 -0.502  0.793 -0.410  0.793 -0.279  0.793 -0.148  0.793 -0.018  0.856 0.087  0.948 0.179  1.041 0.271  1.133 0.364  1.225 0.456  1.227 0.329  1.227 0.198  1.227 0.067  1.227 -0.063  1.227 -0.194
2#app#app13#app1342/t  -0.010 1.365  -0.010 1.202  -0.010 1.039  -0.010 0.876  -0.010 0.713  -0.010 0.550  -0.010 0.387  -0.010 0.224  -0.010 0.062  -0.010 -0.101  -0.010 -0.264  -0.010 -0.427  -0.010 -0.590  -0.010 -0.753  -0.010 -0.916  -0.010 -1.079  -0.010 -1.242  -0.010 -1.405  -0.010 -1.568  -0.010 -1.731  -0.033 -1.704  -0.073 -1.546  -0.112 -1.388  -0.152 -1.230  -0.191 -1.072  -0.231 -0.914  -0.270 -0.755  -0.310 -0.597  -0.349 -0.439  -0.389 -0.281  -0.428 -0.123  -0.468 0.035  -0.507 0.193  -0.547 0.351  -0.587 0.509  -0.626 0.667  -0.547 0.732  -0.384 0.732  -0.221 0.732  -0.058 0.732  0.105 0.732  0.268 0.732  0.431 0.732  0.594 0.732  0.622 0.867  0.622 1.029  0.766 1.049  0.929 1.049  1.092 1.049  1.255 1.049
2#app#app13#app1342/e  -0.813 -0.659  -0.660 -0.659  -0.508 -0.659  -0.356 -0.659  -0.204 -0.659  -0.061 -0.636  0.046 -0.528  0.154 -0.421  0.262 -0.313  0.369 -0.205  0.401 -0.066  0.408 0.084  0.476 0.220  0.545 0.356  0.613 0.492  0.702 0.613  0.810 0.721  0.887 0.841  0.887 0.993  0.887 1.146  0.872 1.283  0.720 1.283  0.567 1.283  0.415 1.283  0.401 1.145  0.354 1.040  0.201 1.040  0.081 0.963  -0.026 0.855  -0.084 0.727  -0.084 0.575  -0.216 0.555  -0.327 0.513  -0.327 0.361  -0.327 0.209  -0.336 0.061  -0.444 -0.047  -0.551 -0.155  -0.570 -0.299  -0.570 -0.451  -0.570 -0.603  -0.570 -0.756  -0.570 -0.908  -0.570 -1.060  -0.570 -1.212  -0.570 -1.364  -0.478 -1.479  -0.371 -1.586  -0.237 -1.630  -0.084 -1.630
2#app#app13#app1342/s  0.409 1.527  0.318 1.527  0.227 1.527  0.219 1.444  0.219 1.353  0.144 1.337  0.053 1.337  0.029 1.269  0.029 1.178  -0.013 1.104  -0.078 1.040  -0.142 0.976  -0.206 0.911  -0.271 0.847  -0.335 0.782  -0.351 0.698  -0.351 0.607  -0.351 0.515  -0.351 0.424  -0.351 0.333  -0.351 0.242  -0.351 0.151  -0.351 0.060  -0.351 -0.031  -0.351 -0.122  -0.331 -0.205  -0.266 -0.269  -0.202 -0.334  -0.127 -0.374  -0.036 -0.374  0.029 -0.400  0.029 -0.491  0.047 -0.565  0.138 -0.565  0.226 -0.572  0.291 -0.636  0.355 -0.701  0.409 -0.769  0.409 -0.861  0.409 -0.952  0.409 -1.043  0.409 -1.134  0.346 -1.199  0.281 -1.263  0.216 -1.325  0.125 -1.325  0.034 -1.325  -0.032 -1.386  -0.097 -1.451  -0.161 -1.515
2#app#app13#app1342/w  -1.259 0.898  -1.259 0.773  -1.259 0.649  -1.259 0.524  -1.259 0.400  -1.259 0.275  -1.259 0.151  -1.240 0.034  -1.152 -0.054  -1.118 -0.164  -1.058 -0.229  -0.934 -0.229  -0.817 -0.209  -0.729 -0.121  -0.641 -0.033  -0.555 0.055  -0.555 0.180  -0.444 0.194  -0.414 0.288  -0.336 0.334  -0.212 0.334  -0.087 0.334  0.008 0.306  0.008 0.181  0.008 0.057  0.008 -0.068  0.008 -0.192  0.008 -0.317  0.008 -0.441  0.064 -0.510  0.149 -0.549  0.172 -0.651  0.296 -0.651  0.421 -0.651  0.545 -0.651  0.641 -0.582  0.736 -0.510  0.853 -0.503  0.853 -0.379  0.935 -0.288  1.023 -0.200  1.111 -0.112  1.199 -0.024  1.276 0.068  1.276 0.193  1.363 0.281  1.465 0.334  1.557 0.367  1.557 0.492  1.557 0.616
2#app#app13#app1342/e  -0.839 -0.272  -0.683 -0.272  -0.526 -0.272  -0.370 -0.272  -0.214 -0.272  -0.058 -0.272  0.033 -0.206  0.037 -0.054  0.193 -0.054  0.250 0.044  0.288 0.163  0.444 0.163  0.561 0.257  0.672 0.367  0.782 0.477  0.893 0.588  0.904 0.739  0.904 0.896  0.904 1.052  0.904 1.208  0.792 1.253  0.636 1.253  0.480 1.253  0.324 1.253  0.192 1.194  0.081 1.083  -0.029 0.973  -0.140 0.863  -0.250 0.752  -0.361 0.642  -0.446 0.513  -0.516 0.374  -0.586 0.234  -0.621 0.086  -0.621 -0.070  -0.621 -0.226  -0.621 -0.383  -0.621 -0.539  -0.621 -0.695  -0.621 -0.851  -0.539 -0.926  -0.403 -0.946  -0.403 -1.102  -0.322 -1.225  -0.212 -1.335  -0.066 -1.361  0.073 -1.402  0.184 -1.512  0.312 -1.579  0.468 -1.579
2#app#app13#app1342/r  -0.832 -0.532  -0.832 -0.614  -0.832 -0.696  -0.832 -0.778  -0.832 -0.861  -0.832 -0.943  -0.832 -1.025  -0.829 -1.104  -0.746 -1.104  -0.664 -1.104  -0.599 -1.062  -0.541 -1.004  -0.483 -0.945  -0.425 -0.887  -0.366 -0.829  -0.308 -0.771  -0.260 -0.708  -0.260 -0.626  -0.260 -0.544  -0.210 -0.482  -0.152 -0.424  -0.094 -0.366  -0.069 -0.294  -0.069 -0.211  -0.054 -0.135  0.004 -0.077  0.062 -0.019  0.120 0.040  0.179 0.098  0.237 0.156  0.295 0.214  0.313 0.289  0.313 0.371  0.327 0.450  0.363 0.524  0.400 0.598  0.437 0.671  0.474 0.745  0.504 0.820  0.504 0.903  0.504 0.985  0.554 1.046  0.613 1.104  0.671 1.163  0.729 1.221  0.787 1.279  0.846 1.337  0.911 1.377  0.994 1.377  1.076 1.377
2#app#app13#app1342/e  -1.109 -0.381  -0.939 -0.381  -0.770 -0.381  -0.600 -0.381  -0.430 -0.381  -0.268 -0.374  -0.268 -0.204  -0.146 -0.110  0.006 -0.034  0.158 0.039  0.328 0.039  0.458 0.134  0.572 0.257  0.572 0.426  0.709 0.459  0.783 0.555  0.822 0.709  0.942 0.829  0.993 0.977  0.952 1.130  0.833 1.250  0.684 1.300  0.514 1.300  0.362 1.282  0.362 1.112  0.215 1.090  0.077 1.015  -0.043 0.895  -0.058 0.731  -0.135 0.593  -0.255 0.473  -0.374 0.353  -0.494 0.233  -0.614 0.113  -0.689 -0.026  -0.689 -0.195  -0.689 -0.365  -0.689 -0.535  -0.689 -0.704  -0.689 -0.874  -0.666 -1.034  -0.546 -1.154  -0.405 -1.222  -0.235 -1.222  -0.066 -1.222  0.104 -1.222  0.274 -1.222  0.443 -1.222  0.613 -1.222  0.783 -1.222
