2#apb#apb41#app4196/O  0.294 0.405  0.336 0.555  0.376 0.705  0.395 0.855  0.293 0.973  0.137 0.973  -0.010 0.940  -0.150 0.870  -0.289 0.800  -0.409 0.703  -0.527 0.601  -0.644 0.498  -0.758 0.393  -0.847 0.266  -0.936 0.138  -1.025 0.010  -1.062 -0.139  -1.086 -0.292  -1.109 -0.446  -1.092 -0.599  -1.058 -0.750  -1.018 -0.899  -0.884 -0.977  -0.749 -1.055  -0.605 -1.088  -0.450 -1.069  -0.296 -1.050  -0.141 -1.031  0.005 -0.985  0.145 -0.917  0.285 -0.850  0.425 -0.782  0.563 -0.710  0.695 -0.628  0.827 -0.545  0.959 -0.463  1.050 -0.337  1.136 -0.208  1.146 -0.058  1.137 0.097  1.056 0.228  0.968 0.356  0.851 0.454  0.716 0.532  0.582 0.611  0.444 0.682  0.301 0.742  0.157 0.802  0.010 0.844  -0.146 0.844
2#apb#apb41#app4196/t  -0.122 2.116  -0.093 1.996  -0.073 1.875  -0.053 1.753  -0.037 1.631  -0.024 1.509  -0.010 1.386  0.004 1.264  0.039 1.146  0.075 1.028  0.110 0.910  0.146 0.792  0.180 0.673  0.215 0.555  0.249 0.437  0.284 0.319  0.318 0.200  0.347 0.081  0.373 -0.040  0.399 -0.160  0.425 -0.281  0.451 -0.401  0.480 -0.521  0.508 -0.641  0.537 -0.761  0.566 -0.880  0.509 -0.925  0.387 -0.911  0.264 -0.896  0.142 -0.882  0.020 -0.868  -0.103 -0.854  -0.225 -0.839  -0.347 -0.825  -0.470 -0.811  -0.592 -0.796  -0.715 -0.782  -0.837 -0.768  -0.895 -0.731  -0.794 -0.661  -0.690 -0.596  -0.585 -0.531  -0.469 -0.494  -0.348 -0.471  -0.227 -0.448  -0.106 -0.425  0.015 -0.402  0.136 -0.379  0.257 -0.356  0.378 -0.333
2#apb#apb41#app4196/Q  0.077 0.927  -0.131 0.944  -0.341 0.930  -0.519 0.830  -0.690 0.707  -0.818 0.544  -0.939 0.372  -1.027 0.183  -1.101 -0.013  -1.144 -0.215  -1.144 -0.425  -1.100 -0.623  -0.988 -0.800  -0.836 -0.905  -0.626 -0.905  -0.416 -0.905  -0.212 -0.858  -0.010 -0.803  0.193 -0.749  0.389 -0.676  0.578 -0.585  0.767 -0.493  0.942 -0.384  1.073 -0.220  1.204 -0.057  1.254 0.147  1.247 0.347  1.171 0.543  1.018 0.674  0.838 0.782  0.644 0.860  0.444 0.924  0.244 0.985  0.036 1.011  -0.173 1.037  -0.378 0.995  -0.423 0.838  -0.398 0.630  -0.373 0.421  -0.347 0.213  -0.322 0.004  -0.297 -0.204  -0.203 -0.353  -0.113 -0.541  0.018 -0.700  0.185 -0.828  0.385 -0.891  0.590 -0.935  0.791 -0.932  0.984 -0.849
2#apb#apb41#app4196/u  -1.228 0.738  -1.331 0.788  -1.381 0.683  -1.381 0.557  -1.363 0.433  -1.339 0.310  -1.306 0.189  -1.246 0.078  -1.186 -0.033  -1.126 -0.144  -1.063 -0.253  -0.999 -0.361  -0.934 -0.469  -0.826 -0.522  -0.706 -0.562  -0.587 -0.602  -0.463 -0.607  -0.337 -0.597  -0.212 -0.587  -0.094 -0.551  0.016 -0.490  0.127 -0.430  0.216 -0.347  0.281 -0.239  0.345 -0.131  0.383 -0.013  0.406 0.111  0.428 0.235  0.406 0.358  0.378 0.481  0.323 0.592  0.253 0.697  0.193 0.671  0.185 0.546  0.190 0.422  0.255 0.314  0.320 0.206  0.396 0.111  0.511 0.060  0.626 0.009  0.743 -0.038  0.860 -0.085  0.977 -0.132  1.094 -0.179  1.219 -0.184  1.345 -0.184  1.471 -0.184  1.595 -0.200  1.719 -0.223  1.843 -0.245
2#apb#apb41#app4196/i  0.593 0.101  0.539 0.019  0.510 -0.075  0.483 -0.170  0.478 -0.268  0.478 -0.367  0.484 -0.465  0.521 -0.556  0.557 -0.648  0.594 -0.740  0.633 -0.830  0.672 -0.921  0.723 -1.005  0.778 -1.087  0.853 -1.142  0.792 -1.064  0.730 -0.987  0.669 -0.909  0.608 -0.832  0.547 -0.755  0.485 -0.677  0.424 -0.600  0.363 -0.522  0.302 -0.445  0.240 -0.367  0.179 -0.290  0.118 -0.212  0.057 -0.135  -0.005 -0.057  -0.066 0.020  -0.127 0.097  -0.188 0.175  -0.250 0.252  -0.311 0.330  -0.372 0.407  -0.433 0.485  -0.495 0.562  -0.556 0.640  -0.617 0.717  -0.678 0.795  -0.740 0.872  -0.801 0.950  -0.862 1.027  -0.923 1.104  -0.985 1.182  -1.046 1.259  -1.107 1.337  -1.193 1.306  -1.281 1.262  -1.374 1.229
2#apb#apb41#app4196/n  -1.219 0.406  -1.174 0.295  -1.130 0.185  -1.086 0.075  -1.048 -0.038  -1.010 -0.151  -0.969 -0.262  -0.910 -0.365  -0.851 -0.469  -0.817 -0.582  -0.788 -0.697  -0.749 -0.809  -0.708 -0.920  -0.670 -0.831  -0.684 -0.713  -0.699 -0.595  -0.694 -0.477  -0.678 -0.359  -0.662 -0.241  -0.647 -0.123  -0.612 -0.014  -0.534 0.076  -0.456 0.165  -0.376 0.253  -0.292 0.338  -0.208 0.422  -0.124 0.506  -0.023 0.561  0.091 0.594  0.206 0.627  0.320 0.659  0.435 0.689  0.551 0.715  0.667 0.741  0.781 0.722  0.894 0.685  1.007 0.647  1.074 0.551  1.140 0.452  1.169 0.337  1.192 0.221  1.215 0.104  1.195 -0.013  1.171 -0.129  1.148 -0.246  1.136 -0.364  1.124 -0.483  1.111 -0.601  1.082 -0.716  1.114 -0.829
2#apb#apb41#app4196/n  -0.869 0.543  -0.832 0.451  -0.832 0.322  -0.832 0.193  -0.803 0.067  -0.767 -0.057  -0.750 -0.185  -0.740 -0.313  -0.730 -0.442  -0.720 -0.571  -0.682 -0.695  -0.638 -0.816  -0.572 -0.927  -0.532 -1.045  -0.501 -1.077  -0.532 -0.952  -0.545 -0.823  -0.558 -0.694  -0.568 -0.566  -0.561 -0.437  -0.553 -0.308  -0.545 -0.178  -0.538 -0.049  -0.526 0.079  -0.494 0.205  -0.463 0.330  -0.432 0.456  -0.374 0.569  -0.299 0.674  -0.219 0.774  -0.104 0.832  0.013 0.875  0.138 0.841  0.263 0.807  0.388 0.773  0.496 0.705  0.602 0.631  0.708 0.557  0.809 0.476  0.896 0.380  0.983 0.285  1.071 0.190  1.158 0.094  1.248 0.001  1.339 -0.090  1.431 -0.182  1.522 -0.273  1.606 -0.371  1.681 -0.477  1.756 -0.582
2#apb#apb41#app4196/R  -0.456 0.201  -0.424 0.020  -0.426 -0.162  -0.435 -0.345  -0.411 -0.526  -0.383 -0.707  -0.401 -0.889  -0.419 -1.072  -0.419 -1.255  -0.419 -1.367  -0.446 -1.186  -0.485 -1.007  -0.529 -0.829  -0.570 -0.650  -0.607 -0.471  -0.644 -0.291  -0.670 -0.110  -0.696 0.072  -0.711 0.253  -0.681 0.434  -0.651 0.615  -0.565 0.772  -0.456 0.919  -0.342 1.063  -0.218 1.197  -0.073 1.297  0.105 1.339  0.287 1.356  0.470 1.356  0.645 1.304  0.803 1.216  0.886 1.074  0.871 0.894  0.794 0.728  0.678 0.589  0.548 0.459  0.415 0.333  0.281 0.208  0.134 0.099  -0.010 -0.014  -0.009 -0.153  0.121 -0.283  0.275 -0.381  0.435 -0.469  0.599 -0.551  0.729 -0.678  0.813 -0.835  0.853 -1.013  0.886 -1.193  0.924 -1.365
2#apb#apb41#app4196/u  -1.739 0.166  -1.729 0.225  -1.681 0.122  -1.608 0.035  -1.527 -0.045  -1.446 -0.126  -1.365 -0.207  -1.284 -0.288  -1.203 -0.369  -1.093 -0.389  -0.979 -0.404  -0.866 -0.420  -0.753 -0.431  -0.639 -0.424  -0.525 -0.416  -0.410 -0.409  -0.297 -0.396  -0.185 -0.375  -0.072 -0.354  0.040 -0.333  0.139 -0.289  0.210 -0.200  0.282 -0.111  0.350 -0.020  0.402 0.083  0.453 0.185  0.478 0.291  0.456 0.403  0.434 0.515  0.404 0.625  0.373 0.735  0.293 0.816  0.247 0.746  0.231 0.633  0.262 0.524  0.299 0.416  0.366 0.330  0.460 0.265  0.553 0.199  0.647 0.134  0.741 0.069  0.835 0.004  0.929 -0.061  1.032 -0.108  1.142 -0.139  1.252 -0.170  1.362 -0.202  1.469 -0.240  1.577 -0.279  1.684 -0.318
2#apb#apb41#app4196/s  -0.058 0.918  -0.196 0.903  -0.328 0.876  -0.439 0.794  -0.551 0.714  -0.675 0.652  -0.798 0.590  -0.925 0.535  -1.054 0.488  -1.181 0.436  -1.271 0.332  -1.368 0.236  -1.425 0.164  -1.287 0.164  -1.149 0.170  -1.011 0.179  -0.873 0.188  -0.735 0.200  -0.598 0.214  -0.461 0.227  -0.323 0.241  -0.185 0.248  -0.047 0.248  0.091 0.248  0.229 0.248  0.366 0.234  0.503 0.218  0.641 0.202  0.778 0.188  0.916 0.178  1.053 0.167  1.180 0.117  1.288 0.036  1.355 -0.082  1.385 -0.211  1.306 -0.325  1.226 -0.438  1.122 -0.524  1.003 -0.595  0.885 -0.666  0.765 -0.733  0.631 -0.766  0.497 -0.800  0.363 -0.833  0.230 -0.870  0.097 -0.908  -0.036 -0.946  -0.173 -0.953  -0.311 -0.953  -0.449 -0.953
2#apb#apb41#app4196/s  -0.127 0.988  -0.235 0.942  -0.343 0.897  -0.451 0.851  -0.559 0.806  -0.667 0.760  -0.778 0.726  -0.895 0.726  -1.004 0.703  -1.094 0.628  -1.187 0.558  -1.270 0.501  -1.270 0.384  -1.204 0.321  -1.089 0.297  -0.976 0.266  -0.863 0.235  -0.750 0.204  -0.634 0.221  -0.518 0.239  -0.402 0.257  -0.286 0.264  -0.170 0.249  -0.054 0.233  0.063 0.218  0.178 0.201  0.292 0.170  0.405 0.139  0.518 0.108  0.631 0.077  0.744 0.046  0.857 0.015  0.948 -0.055  1.030 -0.137  1.108 -0.225  1.179 -0.318  1.160 -0.434  1.128 -0.545  1.068 -0.646  1.008 -0.746  0.945 -0.844  0.837 -0.891  0.730 -0.938  0.623 -0.985  0.515 -1.032  0.406 -1.071  0.289 -1.079  0.172 -1.087  0.055 -1.095  -0.062 -1.103
2#apb#apb41#app4196/e  -1.278 0.090  -1.119 0.109  -0.961 0.132  -0.802 0.107  -0.644 0.083  -0.485 0.058  -0.339 0.093  -0.206 0.182  -0.072 0.271  0.061 0.360  0.200 0.442  0.341 0.519  0.481 0.596  0.627 0.655  0.787 0.655  0.852 0.751  0.817 0.907  0.773 1.062  0.672 1.183  0.538 1.172  0.395 1.100  0.251 1.029  0.120 0.938  -0.004 0.836  -0.129 0.734  -0.253 0.633  -0.357 0.511  -0.455 0.384  -0.554 0.258  -0.646 0.126  -0.735 -0.007  -0.824 -0.141  -0.831 -0.295  -0.815 -0.455  -0.794 -0.612  -0.680 -0.725  -0.567 -0.839  -0.437 -0.922  -0.279 -0.953  -0.122 -0.985  0.036 -1.016  0.193 -1.047  0.351 -1.079  0.509 -1.062  0.667 -1.036  0.826 -1.011  0.985 -0.986  1.143 -0.960  1.302 -0.935  1.460 -0.910
2#apb#apb41#app4196/l  -0.378 1.653  -0.369 1.584  -0.360 1.514  -0.351 1.445  -0.342 1.376  -0.333 1.306  -0.324 1.237  -0.315 1.168  -0.306 1.098  -0.297 1.029  -0.288 0.960  -0.279 0.890  -0.270 0.821  -0.261 0.752  -0.253 0.682  -0.244 0.613  -0.235 0.543  -0.227 0.474  -0.218 0.405  -0.209 0.335  -0.201 0.266  -0.173 0.202  -0.141 0.140  -0.108 0.079  -0.075 0.017  -0.042 -0.045  -0.010 -0.107  0.023 -0.169  0.056 -0.230  0.088 -0.292  0.121 -0.354  0.144 -0.420  0.165 -0.487  0.186 -0.554  0.207 -0.620  0.228 -0.687  0.249 -0.754  0.270 -0.820  0.291 -0.887  0.312 -0.954  0.333 -1.020  0.354 -1.087  0.375 -1.154  0.396 -1.221  0.417 -1.287  0.438 -1.354  0.458 -1.421  0.479 -1.488  0.500 -1.554  0.521 -1.621
2#apb#apb41#app4196/l  -0.210 1.648  -0.249 1.590  -0.274 1.528  -0.274 1.457  -0.274 1.387  -0.274 1.317  -0.274 1.247  -0.274 1.177  -0.274 1.107  -0.274 1.037  -0.274 0.967  -0.274 0.896  -0.274 0.826  -0.274 0.756  -0.274 0.686  -0.274 0.616  -0.274 0.546  -0.265 0.477  -0.239 0.412  -0.213 0.347  -0.187 0.282  -0.161 0.217  -0.135 0.152  -0.109 0.087  -0.083 0.022  -0.057 -0.044  -0.031 -0.109  -0.006 -0.174  0.019 -0.240  0.043 -0.306  0.067 -0.372  0.091 -0.437  0.116 -0.503  0.140 -0.569  0.164 -0.635  0.188 -0.701  0.212 -0.766  0.236 -0.833  0.259 -0.899  0.282 -0.965  0.306 -1.031  0.329 -1.097  0.352 -1.163  0.376 -1.229  0.400 -1.295  0.431 -1.358  0.462 -1.421  0.494 -1.483  0.525 -1.546  0.557 -1.609
