1c#apb#apb32#app3256/a  0.129 0.173  0.237 0.245  0.289 0.399  0.262 0.565  0.268 0.729  0.354 0.862  0.330 1.007  0.162 0.997  -0.004 0.969  -0.170 0.938  -0.320 0.862  -0.471 0.787  -0.622 0.712  -0.752 0.607  -0.871 0.488  -0.991 0.368  -1.109 0.248  -1.222 0.123  -1.335 -0.003  -1.388 -0.154  -1.405 -0.322  -1.320 -0.449  -1.192 -0.559  -1.033 -0.615  -0.873 -0.668  -0.709 -0.685  -0.541 -0.673  -0.373 -0.657  -0.214 -0.600  -0.055 -0.543  0.097 -0.475  0.230 -0.372  0.358 -0.264  0.421 -0.107  0.482 0.050  0.482 0.218  0.482 0.387  0.418 0.472  0.443 0.309  0.512 0.155  0.606 0.018  0.725 -0.102  0.836 -0.227  0.933 -0.366  1.030 -0.503  1.150 -0.623  1.269 -0.742  1.388 -0.861  1.472 -1.006  1.604 -1.109
1c#apb#apb32#app3256/w  -1.509 0.928  -1.469 1.029  -1.405 0.902  -1.342 0.775  -1.272 0.651  -1.201 0.529  -1.133 0.404  -1.067 0.279  -1.000 0.153  -0.930 0.030  -0.859 -0.093  -0.784 -0.214  -0.708 -0.334  -0.626 -0.450  -0.523 -0.471  -0.459 -0.347  -0.413 -0.213  -0.391 -0.073  -0.363 0.066  -0.320 0.201  -0.278 0.337  -0.258 0.477  -0.240 0.618  -0.155 0.645  -0.102 0.513  -0.041 0.386  0.029 0.262  0.099 0.139  0.170 0.016  0.258 -0.095  0.346 -0.207  0.434 -0.318  0.533 -0.420  0.639 -0.514  0.745 -0.608  0.851 -0.703  0.956 -0.798  1.060 -0.894  1.143 -0.976  1.144 -0.838  1.115 -0.699  1.067 -0.565  1.019 -0.431  1.009 -0.290  1.000 -0.148  1.003 -0.007  1.011 0.135  1.029 0.275  1.073 0.410  1.118 0.544
1c#apb#apb32#app3256/e  -1.040 -0.401  -0.930 -0.291  -0.812 -0.195  -0.661 -0.157  -0.510 -0.119  -0.359 -0.084  -0.207 -0.050  -0.059 -0.002  0.085 0.055  0.230 0.112  0.377 0.165  0.523 0.218  0.667 0.278  0.805 0.345  0.915 0.455  0.995 0.588  1.057 0.727  1.057 0.883  0.944 0.982  0.804 1.048  0.658 1.092  0.504 1.071  0.350 1.051  0.196 1.030  0.046 0.988  -0.104 0.945  -0.253 0.903  -0.373 0.806  -0.488 0.702  -0.604 0.597  -0.695 0.473  -0.775 0.339  -0.838 0.202  -0.826 0.047  -0.814 -0.108  -0.769 -0.251  -0.674 -0.374  -0.579 -0.497  -0.484 -0.621  -0.379 -0.736  -0.274 -0.850  -0.168 -0.964  -0.062 -1.078  0.075 -1.147  0.220 -1.204  0.364 -1.262  0.507 -1.324  0.646 -1.394  0.785 -1.463  0.924 -1.533
1c#apb#apb32#app3256/l  -0.214 1.679  -0.192 1.613  -0.170 1.547  -0.160 1.480  -0.163 1.410  -0.166 1.341  -0.170 1.271  -0.173 1.202  -0.176 1.132  -0.173 1.063  -0.167 0.993  -0.162 0.924  -0.157 0.855  -0.151 0.785  -0.146 0.716  -0.141 0.646  -0.129 0.578  -0.116 0.509  -0.104 0.441  -0.091 0.373  -0.078 0.304  -0.066 0.236  -0.053 0.167  -0.039 0.099  -0.024 0.031  -0.009 -0.037  0.006 -0.105  0.021 -0.173  0.036 -0.240  0.051 -0.308  0.066 -0.376  0.080 -0.445  0.094 -0.513  0.107 -0.581  0.121 -0.649  0.135 -0.718  0.148 -0.786  0.159 -0.854  0.159 -0.924  0.159 -0.993  0.159 -1.063  0.159 -1.133  0.165 -1.202  0.181 -1.269  0.196 -1.337  0.212 -1.405  0.220 -1.474  0.227 -1.543  0.240 -1.610  0.289 -1.659
1c#apb#apb32#app3256/e  -1.150 0.101  -1.127 0.208  -0.964 0.232  -0.806 0.179  -0.648 0.124  -0.496 0.054  -0.344 -0.015  -0.182 -0.035  -0.015 -0.035  0.152 -0.035  0.319 -0.048  0.485 -0.063  0.651 -0.057  0.817 -0.036  0.961 0.048  1.084 0.158  1.095 0.321  1.031 0.456  0.897 0.556  0.760 0.651  0.619 0.741  0.478 0.831  0.326 0.898  0.171 0.960  0.016 1.022  -0.145 1.053  -0.312 1.053  -0.477 1.042  -0.638 0.996  -0.722 0.865  -0.784 0.710  -0.810 0.548  -0.810 0.381  -0.798 0.217  -0.715 0.072  -0.633 -0.073  -0.550 -0.218  -0.443 -0.346  -0.332 -0.470  -0.221 -0.595  -0.110 -0.720  0.001 -0.845  0.119 -0.963  0.237 -1.081  0.355 -1.200  0.473 -1.318  0.599 -1.426  0.731 -1.530  0.862 -1.633  0.993 -1.736
1c#apb#apb32#app3256/r  -0.573 1.499  -0.614 1.459  -0.629 1.341  -0.644 1.222  -0.660 1.104  -0.676 0.986  -0.692 0.868  -0.696 0.750  -0.677 0.632  -0.657 0.515  -0.637 0.397  -0.618 0.279  -0.592 0.163  -0.557 0.049  -0.521 -0.064  -0.485 -0.178  -0.449 -0.292  -0.413 -0.405  -0.385 -0.521  -0.358 -0.637  -0.331 -0.753  -0.303 -0.869  -0.271 -0.984  -0.217 -1.090  -0.164 -1.197  -0.119 -1.306  -0.051 -1.343  0.003 -1.236  0.051 -1.127  0.086 -1.013  0.122 -0.899  0.157 -0.786  0.205 -0.677  0.263 -0.573  0.322 -0.469  0.380 -0.365  0.439 -0.262  0.489 -0.154  0.533 -0.043  0.577 0.068  0.622 0.178  0.670 0.287  0.738 0.385  0.806 0.483  0.874 0.581  0.942 0.679  1.030 0.759  1.120 0.836  1.221 0.875  1.338 0.852
1c#apb#apb32#app3256/s  0.372 1.309  0.279 1.346  0.196 1.402  0.105 1.399  0.010 1.368  -0.085 1.336  -0.181 1.304  -0.269 1.259  -0.348 1.198  -0.428 1.136  -0.488 1.056  -0.545 0.974  -0.600 0.890  -0.641 0.798  -0.682 0.706  -0.684 0.606  -0.673 0.507  -0.645 0.411  -0.595 0.325  -0.537 0.243  -0.479 0.161  -0.399 0.100  -0.320 0.038  -0.240 -0.023  -0.160 -0.083  -0.078 -0.142  0.004 -0.200  0.086 -0.258  0.162 -0.323  0.233 -0.394  0.304 -0.465  0.375 -0.536  0.443 -0.610  0.505 -0.689  0.568 -0.767  0.635 -0.842  0.706 -0.913  0.732 -1.003  0.726 -1.101  0.658 -1.175  0.589 -1.243  0.503 -1.212  0.415 -1.162  0.327 -1.114  0.239 -1.066  0.151 -1.016  0.066 -0.963  -0.019 -0.910  -0.104 -0.857  -0.189 -0.803
1c#apb#apb32#app3256/o  0.294 0.843  0.321 0.976  0.299 1.110  0.270 1.222  0.134 1.222  0.003 1.188  -0.128 1.148  -0.234 1.070  -0.327 0.970  -0.419 0.870  -0.512 0.770  -0.607 0.672  -0.703 0.576  -0.800 0.479  -0.896 0.383  -0.948 0.263  -0.973 0.129  -0.998 -0.005  -1.013 -0.138  -0.958 -0.262  -0.904 -0.387  -0.849 -0.512  -0.771 -0.618  -0.658 -0.693  -0.544 -0.769  -0.431 -0.845  -0.308 -0.898  -0.176 -0.933  -0.044 -0.968  0.088 -1.003  0.221 -1.032  0.355 -1.052  0.490 -1.071  0.624 -1.072  0.753 -1.029  0.852 -0.961  0.866 -0.826  0.876 -0.690  0.860 -0.555  0.844 -0.419  0.828 -0.284  0.796 -0.153  0.745 -0.027  0.693 0.099  0.641 0.225  0.586 0.350  0.528 0.474  0.471 0.597  0.413 0.721  0.352 0.843
1c#apb#apb32#app3256/c  0.328 0.439  0.354 0.537  0.354 0.640  0.349 0.741  0.317 0.838  0.270 0.928  0.211 1.011  0.137 1.062  0.035 1.051  -0.067 1.039  -0.168 1.023  -0.269 1.006  -0.370 0.989  -0.461 0.943  -0.551 0.894  -0.641 0.846  -0.723 0.790  -0.759 0.694  -0.796 0.599  -0.833 0.503  -0.843 0.404  -0.836 0.301  -0.828 0.199  -0.820 0.098  -0.762 0.013  -0.703 -0.071  -0.645 -0.155  -0.587 -0.239  -0.510 -0.307  -0.433 -0.374  -0.356 -0.441  -0.279 -0.509  -0.202 -0.576  -0.117 -0.632  -0.025 -0.677  0.066 -0.723  0.158 -0.769  0.250 -0.815  0.344 -0.851  0.444 -0.876  0.543 -0.901  0.642 -0.926  0.742 -0.945  0.845 -0.945  0.947 -0.945  1.049 -0.945  1.148 -0.971  1.247 -0.998  1.349 -0.998  1.451 -0.998
1c#apb#apb32#app3256/k  -1.029 1.444  -1.062 1.313  -1.071 1.175  -1.060 1.037  -1.048 0.900  -1.031 0.763  -1.010 0.626  -0.989 0.490  -0.946 0.359  -0.901 0.228  -0.856 0.098  -0.812 -0.033  -0.769 -0.164  -0.723 -0.294  -0.677 -0.425  -0.627 -0.554  -0.590 -0.686  -0.526 -0.676  -0.445 -0.565  -0.373 -0.447  -0.297 -0.333  -0.213 -0.223  -0.129 -0.113  -0.049 -0.001  0.030 0.113  0.108 0.226  0.199 0.330  0.292 0.433  0.386 0.533  0.493 0.621  0.612 0.690  0.697 0.633  0.656 0.501  0.615 0.369  0.574 0.237  0.533 0.105  0.492 -0.027  0.451 -0.158  0.410 -0.290  0.374 -0.420  0.483 -0.505  0.593 -0.589  0.705 -0.667  0.832 -0.723  0.958 -0.779  1.086 -0.832  1.214 -0.882  1.347 -0.919  1.480 -0.954  1.616 -0.963
1c#apb#apb32#app3256/o  0.229 0.832  0.177 0.959  0.121 1.061  -0.012 1.080  -0.150 1.059  -0.288 1.037  -0.413 0.975  -0.537 0.913  -0.662 0.850  -0.778 0.776  -0.872 0.673  -0.967 0.571  -1.034 0.457  -1.034 0.318  -1.034 0.178  -1.034 0.039  -0.966 -0.076  -0.878 -0.185  -0.790 -0.293  -0.702 -0.401  -0.599 -0.495  -0.495 -0.588  -0.391 -0.682  -0.288 -0.775  -0.184 -0.868  -0.056 -0.924  0.072 -0.980  0.199 -1.035  0.327 -1.091  0.459 -1.134  0.597 -1.155  0.735 -1.176  0.843 -1.093  0.924 -0.991  0.924 -0.852  0.906 -0.716  0.858 -0.585  0.810 -0.454  0.761 -0.323  0.715 -0.192  0.669 -0.060  0.623 0.072  0.577 0.204  0.530 0.335  0.479 0.464  0.427 0.594  0.375 0.723  0.324 0.853  0.276 0.984  0.229 1.115
1c#apb#apb32#app3256/u  -0.903 0.555  -0.885 0.665  -0.854 0.774  -0.853 0.887  -0.920 0.908  -0.946 0.799  -0.966 0.688  -0.974 0.577  -0.967 0.464  -0.961 0.351  -0.954 0.238  -0.915 0.134  -0.864 0.033  -0.814 -0.068  -0.763 -0.168  -0.708 -0.267  -0.644 -0.360  -0.580 -0.453  -0.516 -0.546  -0.449 -0.636  -0.353 -0.694  -0.256 -0.752  -0.159 -0.810  -0.060 -0.864  0.044 -0.909  0.147 -0.953  0.251 -0.998  0.363 -0.989  0.475 -0.976  0.556 -0.899  0.636 -0.820  0.708 -0.735  0.741 -0.627  0.774 -0.519  0.801 -0.410  0.801 -0.297  0.801 -0.184  0.801 -0.072  0.801 0.041  0.797 0.154  0.791 0.267  0.786 0.380  0.781 0.492  0.776 0.605  0.776 0.718  0.776 0.831  0.776 0.944  0.772 1.057  0.760 1.169  0.776 1.271
1c#apb#apb32#app3256/d  0.129 -0.220  0.177 -0.032  0.096 0.145  -0.086 0.191  -0.279 0.146  -0.466 0.079  -0.645 -0.006  -0.805 -0.116  -0.926 -0.274  -1.035 -0.440  -1.108 -0.618  -1.062 -0.811  -0.962 -0.976  -0.817 -1.106  -0.626 -1.161  -0.432 -1.129  -0.244 -1.072  -0.089 -0.948  0.024 -0.793  0.095 -0.607  0.147 -0.416  0.181 -0.220  0.214 -0.024  0.217 0.175  0.217 0.374  0.217 0.573  0.217 0.772  0.217 0.971  0.217 1.170  0.230 1.368  0.252 1.566  0.275 1.764  0.269 1.737  0.209 1.547  0.177 1.351  0.151 1.153  0.131 0.956  0.142 0.757  0.152 0.559  0.163 0.360  0.210 0.167  0.261 -0.025  0.312 -0.218  0.386 -0.402  0.466 -0.584  0.546 -0.767  0.615 -0.953  0.680 -1.141  0.760 -1.323  0.830 -1.499
1c#apb#apb32#app3256/g  0.667 0.636  0.628 0.775  0.581 0.910  0.498 1.027  0.395 1.127  0.254 1.152  0.112 1.169  -0.026 1.127  -0.164 1.085  -0.295 1.029  -0.421 0.958  -0.546 0.888  -0.653 0.794  -0.747 0.685  -0.799 0.557  -0.816 0.414  -0.756 0.290  -0.672 0.174  -0.552 0.094  -0.430 0.020  -0.286 0.028  -0.143 0.040  -0.008 0.088  0.099 0.172  0.172 0.296  0.227 0.429  0.281 0.563  0.345 0.691  0.333 0.598  0.350 0.456  0.350 0.312  0.350 0.167  0.354 0.023  0.359 -0.121  0.364 -0.265  0.364 -0.409  0.359 -0.553  0.353 -0.697  0.345 -0.840  0.333 -0.984  0.322 -1.128  0.272 -1.261  0.208 -1.390  0.115 -1.494  -0.003 -1.576  -0.139 -1.620  -0.279 -1.653  -0.422 -1.648  -0.556 -1.608  -0.678 -1.531
1c#apb#apb32#app3256/e  -0.604 -0.088  -0.748 -0.065  -0.772 -0.006  -0.631 0.070  -0.470 0.110  -0.304 0.116  -0.138 0.116  0.028 0.123  0.194 0.141  0.359 0.158  0.522 0.193  0.683 0.234  0.839 0.289  0.991 0.358  1.128 0.451  1.143 0.595  1.026 0.712  0.887 0.789  0.723 0.820  0.560 0.851  0.396 0.882  0.233 0.913  0.069 0.925  -0.095 0.896  -0.259 0.868  -0.422 0.836  -0.580 0.783  -0.737 0.730  -0.858 0.630  -0.948 0.490  -1.025 0.344  -1.071 0.184  -1.081 0.028  -1.003 -0.119  -0.926 -0.267  -0.827 -0.395  -0.692 -0.492  -0.556 -0.589  -0.421 -0.686  -0.274 -0.762  -0.124 -0.834  0.026 -0.906  0.176 -0.979  0.327 -1.047  0.481 -1.111  0.635 -1.175  0.788 -1.239  0.952 -1.267  1.116 -1.291  1.281 -1.314
1c#apb#apb32#app3256/t  0.253 1.338  0.154 1.195  0.060 1.049  -0.006 0.890  -0.060 0.725  -0.100 0.556  -0.134 0.386  -0.168 0.216  -0.170 0.042  -0.170 -0.131  -0.165 -0.305  -0.153 -0.478  -0.140 -0.651  -0.117 -0.823  -0.094 -0.995  -0.069 -1.167  -0.076 -1.339  -0.048 -1.508  -0.035 -1.499  -0.109 -1.342  -0.184 -1.185  -0.258 -1.029  -0.333 -0.872  -0.407 -0.715  -0.482 -0.558  -0.556 -0.401  -0.631 -0.245  -0.705 -0.088  -0.780 0.069  -0.854 0.226  -0.929 0.383  -1.003 0.539  -0.983 0.603  -0.824 0.539  -0.650 0.546  -0.477 0.553  -0.304 0.536  -0.132 0.515  0.040 0.494  0.213 0.475  0.385 0.456  0.558 0.437  0.730 0.414  0.902 0.389  1.073 0.363  1.245 0.336  1.416 0.307  1.587 0.277  1.759 0.251  1.930 0.225
