2#apb#apb17#app1719/a  0.230 0.490  0.304 0.674  0.387 0.856  0.398 1.053  0.345 1.246  0.201 1.379  0.007 1.339  -0.169 1.249  -0.320 1.116  -0.445 0.959  -0.558 0.795  -0.648 0.615  -0.735 0.434  -0.816 0.250  -0.895 0.066  -0.920 -0.134  -0.945 -0.333  -0.946 -0.534  -0.943 -0.734  -0.915 -0.933  -0.861 -1.121  -0.712 -1.249  -0.519 -1.252  -0.385 -1.103  -0.256 -0.949  -0.139 -0.786  -0.024 -0.621  0.066 -0.442  0.155 -0.262  0.219 -0.072  0.275 0.121  0.303 0.319  0.326 0.519  0.323 0.719  0.299 0.918  0.283 0.960  0.283 0.759  0.253 0.561  0.230 0.363  0.232 0.162  0.259 -0.037  0.290 -0.235  0.365 -0.422  0.450 -0.603  0.548 -0.778  0.671 -0.936  0.837 -1.043  1.017 -1.133  1.212 -1.158  1.381 -1.053
2#apb#apb17#app1719/l  0.103 1.545  0.083 1.611  0.101 1.574  0.103 1.504  0.094 1.435  0.075 1.367  0.055 1.299  0.044 1.230  0.036 1.160  0.029 1.090  0.022 1.020  0.017 0.950  0.013 0.879  0.008 0.809  0.003 0.739  -0.002 0.668  -0.006 0.598  -0.010 0.528  -0.015 0.457  -0.019 0.387  -0.024 0.317  -0.028 0.246  -0.026 0.176  -0.022 0.106  -0.017 0.036  -0.013 -0.035  -0.009 -0.105  -0.004 -0.175  -0.003 -0.246  -0.003 -0.316  -0.003 -0.387  -0.003 -0.457  -0.003 -0.528  -0.003 -0.598  -0.003 -0.669  -0.003 -0.739  -0.003 -0.810  -0.003 -0.880  -0.003 -0.950  -0.006 -1.021  -0.013 -1.091  -0.020 -1.161  -0.027 -1.231  -0.043 -1.300  -0.062 -1.367  -0.081 -1.435  -0.082 -1.505  -0.072 -1.574  -0.070 -1.608  -0.082 -1.543
2#apb#apb17#app1719/m  -0.917 0.950  -0.859 0.780  -0.852 0.584  -0.874 0.387  -0.889 0.189  -0.939 -0.003  -0.983 -0.196  -1.013 -0.392  -1.020 -0.590  -1.020 -0.789  -0.978 -0.606  -0.941 -0.411  -0.906 -0.216  -0.871 -0.020  -0.831 0.174  -0.748 0.354  -0.672 0.537  -0.615 0.727  -0.459 0.845  -0.282 0.769  -0.188 0.599  -0.173 0.403  -0.156 0.206  -0.124 0.010  -0.105 -0.187  -0.109 -0.385  -0.111 -0.582  -0.062 -0.769  0.012 -0.679  0.091 -0.499  0.148 -0.309  0.206 -0.119  0.261 0.072  0.316 0.262  0.379 0.451  0.482 0.608  0.649 0.715  0.838 0.768  1.012 0.679  1.178 0.571  1.227 0.381  1.238 0.184  1.238 -0.015  1.209 -0.211  1.190 -0.408  1.204 -0.606  1.212 -0.804  1.212 -1.003  1.212 -1.201  1.186 -1.205
2#apb#apb17#app1719/n  -0.882 0.989  -0.770 1.064  -0.652 1.034  -0.627 0.893  -0.608 0.752  -0.608 0.609  -0.608 0.466  -0.625 0.324  -0.643 0.183  -0.661 0.041  -0.681 -0.101  -0.702 -0.242  -0.707 -0.385  -0.707 -0.528  -0.711 -0.670  -0.725 -0.813  -0.720 -0.954  -0.695 -0.969  -0.667 -0.829  -0.658 -0.687  -0.658 -0.544  -0.630 -0.404  -0.600 -0.264  -0.565 -0.126  -0.523 0.011  -0.478 0.146  -0.383 0.253  -0.288 0.360  -0.176 0.448  -0.064 0.536  0.067 0.594  0.198 0.651  0.328 0.709  0.469 0.700  0.608 0.671  0.739 0.615  0.840 0.514  0.942 0.413  1.043 0.312  1.086 0.180  1.114 0.040  1.114 -0.103  1.126 -0.245  1.154 -0.385  1.164 -0.527  1.164 -0.670  1.177 -0.811  1.212 -0.950  1.214 -1.093  1.264 -1.207
2#apb#apb17#app1719/o  -0.073 1.071  -0.210 1.071  -0.327 1.003  -0.445 0.933  -0.498 0.808  -0.549 0.681  -0.602 0.556  -0.656 0.430  -0.695 0.300  -0.719 0.166  -0.743 0.031  -0.754 -0.104  -0.754 -0.241  -0.754 -0.377  -0.751 -0.513  -0.718 -0.646  -0.685 -0.778  -0.638 -0.904  -0.552 -1.010  -0.465 -1.115  -0.352 -1.188  -0.232 -1.254  -0.103 -1.258  0.031 -1.229  0.160 -1.190  0.270 -1.109  0.380 -1.029  0.490 -0.948  0.575 -0.841  0.660 -0.735  0.746 -0.628  0.792 -0.503  0.822 -0.370  0.852 -0.236  0.855 -0.102  0.835 0.033  0.815 0.168  0.792 0.302  0.734 0.426  0.676 0.549  0.617 0.673  0.542 0.784  0.445 0.881  0.349 0.977  0.238 1.056  0.123 1.130  -0.003 1.165  -0.140 1.165  -0.191 1.043  -0.191 0.907
2#apb#apb17#app1719/p  0.019 0.761  -0.081 0.637  -0.136 0.468  -0.163 0.291  -0.176 0.112  -0.187 -0.066  -0.188 -0.245  -0.188 -0.424  -0.183 -0.603  -0.174 -0.782  -0.167 -0.961  -0.167 -1.140  -0.158 -1.319  -0.132 -1.496  -0.089 -1.670  -0.042 -1.802  -0.022 -1.624  -0.057 -1.448  -0.091 -1.273  -0.125 -1.097  -0.160 -0.921  -0.194 -0.745  -0.228 -0.570  -0.263 -0.394  -0.297 -0.218  -0.331 -0.042  -0.366 0.134  -0.400 0.309  -0.434 0.485  -0.469 0.661  -0.503 0.837  -0.537 1.012  -0.428 1.144  -0.283 1.248  -0.126 1.333  0.046 1.380  0.213 1.445  0.372 1.407  0.528 1.318  0.628 1.175  0.692 1.009  0.741 0.837  0.745 0.658  0.735 0.480  0.709 0.302  0.641 0.139  0.555 -0.018  0.457 -0.167  0.319 -0.279  0.144 -0.276
2#apb#apb17#app1719/q  0.287 1.006  0.257 1.170  0.152 1.301  -0.016 1.326  -0.187 1.338  -0.337 1.255  -0.452 1.134  -0.510 0.971  -0.520 0.803  -0.436 0.662  -0.273 0.654  -0.113 0.715  0.020 0.826  0.156 0.931  0.287 1.042  0.398 1.174  0.426 1.165  0.327 1.025  0.248 0.873  0.186 0.713  0.119 0.553  0.052 0.394  -0.016 0.236  -0.085 0.078  -0.144 -0.084  -0.197 -0.248  -0.246 -0.413  -0.272 -0.583  -0.298 -0.754  -0.324 -0.924  -0.349 -1.095  -0.313 -1.261  -0.222 -1.402  -0.090 -1.507  0.075 -1.557  0.242 -1.521  0.394 -1.443  0.501 -1.317  0.563 -1.157  0.582 -0.986  0.574 -0.816  0.538 -0.647  0.442 -0.511  0.302 -0.421  0.134 -0.382  -0.036 -0.393  -0.206 -0.420  -0.374 -0.457  -0.542 -0.498  -0.707 -0.549
2#apb#apb17#app1719/r  -0.494 1.130  -0.372 1.148  -0.372 1.011  -0.352 0.876  -0.325 0.742  -0.312 0.606  -0.312 0.469  -0.312 0.332  -0.296 0.196  -0.278 0.060  -0.260 -0.076  -0.247 -0.212  -0.238 -0.349  -0.230 -0.486  -0.221 -0.623  -0.202 -0.758  -0.183 -0.894  -0.163 -1.030  -0.160 -1.167  -0.160 -1.304  -0.160 -1.441  -0.196 -1.556  -0.286 -1.480  -0.332 -1.354  -0.362 -1.220  -0.372 -1.084  -0.372 -0.947  -0.372 -0.810  -0.357 -0.674  -0.336 -0.539  -0.316 -0.403  -0.296 -0.268  -0.261 -0.137  -0.195 -0.017  -0.128 0.103  -0.061 0.223  0.005 0.342  0.098 0.441  0.199 0.534  0.301 0.626  0.402 0.718  0.504 0.810  0.605 0.902  0.712 0.984  0.846 1.012  0.980 1.041  1.114 1.070  1.245 1.110  1.376 1.150  1.507 1.191
2#apb#apb17#app1719/s  -0.325 -0.969  -0.360 -0.887  -0.428 -0.931  -0.442 -1.032  -0.418 -1.128  -0.335 -1.194  -0.231 -1.202  -0.124 -1.195  -0.018 -1.184  0.080 -1.149  0.174 -1.098  0.268 -1.047  0.362 -0.995  0.455 -0.944  0.548 -0.892  0.637 -0.833  0.704 -0.755  0.747 -0.659  0.709 -0.559  0.667 -0.461  0.608 -0.372  0.549 -0.284  0.473 -0.209  0.394 -0.137  0.315 -0.065  0.230 -0.002  0.140 0.055  0.050 0.113  -0.040 0.170  -0.130 0.227  -0.220 0.285  -0.294 0.361  -0.365 0.441  -0.437 0.520  -0.499 0.606  -0.559 0.694  -0.580 0.799  -0.601 0.903  -0.578 1.005  -0.540 1.105  -0.498 1.203  -0.415 1.263  -0.318 1.306  -0.217 1.340  -0.115 1.359  -0.013 1.330  0.092 1.311  0.198 1.298  0.299 1.263  0.399 1.226
2#apb#apb17#app1719/t  0.212 1.750  0.316 1.855  0.412 1.748  0.450 1.604  0.450 1.451  0.450 1.299  0.450 1.146  0.446 0.993  0.431 0.842  0.416 0.690  0.401 0.538  0.386 0.386  0.370 0.234  0.355 0.082  0.338 -0.070  0.314 -0.221  0.290 -0.372  0.266 -0.522  0.265 -0.675  0.265 -0.828  0.265 -0.981  0.265 -1.133  0.265 -1.286  0.291 -1.436  0.340 -1.509  0.244 -1.390  0.149 -1.271  0.053 -1.152  -0.043 -1.033  -0.138 -0.913  -0.234 -0.794  -0.330 -0.675  -0.425 -0.556  -0.521 -0.437  -0.616 -0.318  -0.712 -0.199  -0.808 -0.080  -0.903 0.039  -0.999 0.158  -1.075 0.264  -0.922 0.264  -0.769 0.264  -0.616 0.264  -0.464 0.264  -0.311 0.264  -0.158 0.266  -0.006 0.279  0.146 0.291  0.298 0.304  0.450 0.317
2#apb#apb17#app1719/u  -1.023 1.013  -1.013 0.915  -1.023 0.753  -1.024 0.590  -1.036 0.428  -1.049 0.266  -1.060 0.103  -1.072 -0.059  -1.058 -0.220  -1.033 -0.381  -0.971 -0.528  -0.886 -0.667  -0.820 -0.815  -0.716 -0.930  -0.562 -0.963  -0.400 -0.957  -0.243 -0.918  -0.126 -0.810  -0.017 -0.689  0.091 -0.567  0.198 -0.445  0.246 -0.290  0.294 -0.135  0.343 0.021  0.391 0.176  0.435 0.332  0.452 0.494  0.468 0.656  0.484 0.818  0.506 0.979  0.529 1.140  0.571 1.296  0.533 1.332  0.498 1.173  0.485 1.012  0.485 0.849  0.485 0.687  0.485 0.524  0.485 0.361  0.485 0.199  0.485 0.036  0.500 -0.126  0.519 -0.287  0.538 -0.449  0.565 -0.609  0.595 -0.769  0.663 -0.917  0.726 -1.066  0.765 -1.224  0.824 -1.328
2#apb#apb17#app1719/v  -1.136 1.072  -1.018 1.059  -0.922 0.983  -0.841 0.891  -0.773 0.792  -0.749 0.672  -0.723 0.552  -0.678 0.438  -0.632 0.324  -0.611 0.204  -0.596 0.082  -0.581 -0.040  -0.544 -0.154  -0.479 -0.259  -0.415 -0.363  -0.356 -0.470  -0.313 -0.585  -0.270 -0.700  -0.227 -0.815  -0.167 -0.921  -0.099 -1.023  -0.031 -1.125  0.044 -1.222  0.123 -1.316  0.210 -1.403  0.253 -1.315  0.288 -1.198  0.312 -1.078  0.331 -0.957  0.350 -0.835  0.358 -0.713  0.365 -0.590  0.372 -0.468  0.381 -0.345  0.391 -0.223  0.402 -0.101  0.412 0.021  0.423 0.144  0.441 0.265  0.465 0.385  0.489 0.506  0.513 0.626  0.535 0.747  0.553 0.868  0.570 0.990  0.598 1.108  0.648 1.220  0.701 1.330  0.766 1.434  0.864 1.508
2#apb#apb17#app1719/w  -1.429 0.642  -1.330 0.711  -1.171 0.660  -1.095 0.524  -1.027 0.370  -0.964 0.215  -0.951 0.046  -0.929 -0.121  -0.894 -0.286  -0.859 -0.452  -0.824 -0.617  -0.755 -0.771  -0.682 -0.923  -0.611 -0.879  -0.547 -0.724  -0.499 -0.562  -0.455 -0.399  -0.412 -0.236  -0.384 -0.069  -0.356 0.098  -0.322 0.263  -0.281 0.427  -0.238 0.591  -0.186 0.725  -0.103 0.585  -0.063 0.421  -0.023 0.257  0.026 0.095  0.084 -0.063  0.149 -0.219  0.209 -0.377  0.267 -0.536  0.330 -0.693  0.439 -0.816  0.497 -0.955  0.574 -0.858  0.660 -0.713  0.772 -0.586  0.854 -0.444  0.895 -0.280  0.939 -0.117  0.995 0.043  1.050 0.202  1.100 0.364  1.131 0.530  1.163 0.696  1.200 0.860  1.249 1.022  1.323 1.174  1.484 1.174
2#apb#apb17#app1719/x  1.141 0.989  1.039 1.075  0.889 0.949  0.759 0.804  0.638 0.650  0.524 0.492  0.444 0.314  0.364 0.135  0.280 -0.041  0.169 -0.203  0.058 -0.364  -0.034 -0.534  -0.100 -0.719  -0.165 -0.903  -0.255 -1.077  -0.350 -1.248  -0.450 -1.414  -0.479 -1.506  -0.503 -1.312  -0.507 -1.117  -0.510 -0.921  -0.514 -0.725  -0.518 -0.530  -0.521 -0.334  -0.525 -0.138  -0.529 0.057  -0.532 0.253  -0.536 0.449  -0.540 0.644  -0.543 0.840  -0.547 1.036  -0.550 1.231  -0.554 1.427  -0.502 1.483  -0.436 1.300  -0.377 1.114  -0.307 0.931  -0.229 0.752  -0.132 0.582  -0.035 0.412  0.053 0.237  0.140 0.062  0.237 -0.108  0.343 -0.273  0.453 -0.434  0.583 -0.580  0.710 -0.729  0.834 -0.881  0.978 -1.010  1.141 -1.119
2#apb#apb17#app1719/y  -1.016 0.732  -0.876 0.783  -0.741 0.771  -0.625 0.677  -0.521 0.575  -0.454 0.441  -0.398 0.302  -0.330 0.168  -0.246 0.046  -0.147 -0.067  -0.050 -0.181  0.049 -0.293  0.183 -0.325  0.240 -0.205  0.270 -0.058  0.300 0.089  0.331 0.236  0.361 0.382  0.391 0.529  0.422 0.676  0.452 0.823  0.482 0.970  0.513 1.116  0.543 1.263  0.523 1.399  0.482 1.300  0.442 1.156  0.395 1.014  0.357 0.869  0.325 0.723  0.293 0.576  0.261 0.430  0.229 0.283  0.194 0.137  0.158 -0.008  0.122 -0.153  0.079 -0.297  0.031 -0.439  -0.016 -0.581  -0.065 -0.723  -0.114 -0.865  -0.163 -1.006  -0.209 -1.149  -0.252 -1.293  -0.293 -1.437  -0.319 -1.584  -0.345 -1.732  -0.379 -1.878  -0.416 -2.023  -0.454 -2.167
2#apb#apb17#app1719/z  -0.869 0.788  -0.833 0.998  -0.646 1.087  -0.433 1.131  -0.219 1.167  -0.029 1.270  0.167 1.356  0.379 1.405  0.595 1.409  0.697 1.352  0.632 1.146  0.502 0.974  0.365 0.806  0.241 0.629  0.133 0.441  0.016 0.258  -0.107 0.079  -0.209 -0.112  -0.306 -0.306  -0.397 -0.503  -0.482 -0.703  -0.545 -0.909  -0.538 -1.123  -0.379 -1.217  -0.162 -1.202  0.049 -1.156  0.264 -1.146  0.481 -1.146  0.699 -1.146  0.910 -1.167  1.012 -1.129  0.824 -1.021  0.635 -0.912  0.447 -0.804  0.259 -0.696  0.071 -0.588  -0.117 -0.480  -0.305 -0.372  -0.493 -0.263  -0.682 -0.155  -0.870 -0.047  -0.939 0.103  -0.729 0.159  -0.518 0.208  -0.301 0.215  -0.084 0.215  0.130 0.249  0.345 0.282  0.561 0.287  0.778 0.287
