2#tos#f1#f1053060/!  0.355 1.960  0.355 1.859  0.341 1.765  0.310 1.678  0.310 1.578  0.300 1.479  0.269 1.384  0.265 1.285  0.265 1.185  0.237 1.091  0.219 0.995  0.219 0.895  0.219 0.795  0.174 0.740  0.164 0.650  0.129 0.585  0.129 0.485  0.101 0.396  0.084 0.304  0.084 0.203  0.034 0.153  -0.009 0.094  -0.028 -0.004  -0.046 -0.103  -0.065 -0.201  -0.084 -0.299  -0.103 -0.398  -0.121 -0.496  -0.140 -0.594  -0.159 -0.693  -0.178 -0.791  -0.199 -0.889  -0.223 -0.986  -0.289 -1.050  -0.287 -1.014  -0.232 -0.930  -0.176 -0.847  -0.121 -0.764  -0.065 -0.680  -0.127 -0.660  -0.187 -0.699  -0.187 -0.800  -0.142 -0.854  -0.142 -0.955  -0.142 -1.055  -0.185 -1.111  -0.232 -1.165  -0.277 -1.246  -0.232 -1.166  -0.187 -1.111
2#tos#f1#f1053060/9  0.321 0.275  0.321 0.104  0.365 -0.023  0.417 0.096  0.580 0.117  0.656 0.266  0.679 0.434  0.708 0.583  0.857 0.647  0.857 0.818  0.857 0.990  0.857 1.161  0.738 1.213  0.643 1.289  0.472 1.289  0.305 1.264  0.145 1.201  -0.008 1.125  -0.162 1.066  -0.291 0.959  -0.368 0.806  -0.487 0.691  -0.621 0.585  -0.682 0.427  -0.693 0.258  -0.693 0.086  -0.693 -0.085  -0.693 -0.256  -0.592 -0.355  -0.485 -0.440  -0.313 -0.440  -0.142 -0.440  0.016 -0.384  0.129 -0.288  0.261 -0.239  0.321 -0.157  0.254 -0.261  0.115 -0.315  0.023 -0.453  -0.042 -0.560  -0.097 -0.677  -0.174 -0.816  -0.232 -0.967  -0.276 -1.131  -0.358 -1.243  -0.454 -1.345  -0.498 -1.498  -0.574 -1.638  -0.574 -1.809  -0.693 -1.931
2#tos#f1#f1053060/C  0.184 0.774  0.207 0.880  0.244 0.983  0.244 1.095  0.231 1.194  0.119 1.194  0.007 1.194  -0.105 1.194  -0.157 1.254  -0.269 1.254  -0.296 1.169  -0.356 1.117  -0.362 1.008  -0.441 0.929  -0.475 0.831  -0.475 0.719  -0.475 0.608  -0.475 0.496  -0.475 0.384  -0.549 0.318  -0.595 0.235  -0.595 0.123  -0.595 0.011  -0.595 -0.101  -0.595 -0.213  -0.595 -0.324  -0.573 -0.433  -0.537 -0.539  -0.535 -0.650  -0.502 -0.741  -0.401 -0.785  -0.356 -0.851  -0.303 -0.931  -0.199 -0.964  -0.087 -0.964  0.024 -0.964  0.136 -0.964  0.248 -0.964  0.360 -0.964  0.454 -0.905  0.547 -0.845  0.659 -0.845  0.771 -0.845  0.866 -0.790  0.959 -0.728  1.059 -0.677  1.083 -0.580  1.099 -0.485  1.211 -0.485  1.263 -0.425
2#tos#f1#f1053060/D  -0.291 1.184  -0.406 1.072  -0.359 0.868  -0.359 0.653  -0.359 0.439  -0.359 0.224  -0.359 0.009  -0.359 -0.205  -0.359 -0.420  -0.359 -0.635  -0.359 -0.849  -0.428 -1.036  -0.428 -1.250  -0.428 -1.465  -0.422 -1.306  -0.410 -1.091  -0.399 -0.877  -0.388 -0.663  -0.377 -0.448  -0.365 -0.234  -0.354 -0.019  -0.343 0.195  -0.332 0.409  -0.320 0.624  -0.309 0.838  -0.298 1.052  -0.305 1.253  -0.336 1.253  -0.122 1.253  0.093 1.253  0.308 1.253  0.454 1.184  0.533 1.048  0.739 1.040  0.739 0.825  0.780 0.620  0.876 0.440  0.876 0.226  0.945 0.080  0.931 -0.127  0.807 -0.265  0.807 -0.480  0.672 -0.622  0.500 -0.738  0.435 -0.904  0.327 -1.034  0.159 -1.081  -0.044 -1.109  -0.213 -1.218  -0.428 -1.218
2#tos#f1#f1053060/E  -1.009 0.870  -1.155 0.731  -1.061 0.593  -0.807 0.593  -0.582 0.687  -0.424 0.870  -0.170 0.870  0.043 0.957  0.207 1.088  0.431 1.120  0.652 1.153  0.455 1.163  0.224 1.059  -0.008 0.955  -0.240 0.851  -0.471 0.746  -0.621 0.609  -0.621 0.355  -0.566 0.156  -0.566 -0.098  -0.566 -0.352  -0.566 -0.606  -0.566 -0.860  -0.566 -1.114  -0.566 -1.368  -0.344 -1.400  -0.090 -1.400  0.054 -1.290  0.297 -1.246  0.537 -1.162  0.756 -1.044  0.984 -0.952  1.133 -0.847  0.990 -0.706  0.766 -0.586  0.542 -0.466  0.318 -0.346  0.094 -0.226  -0.129 -0.106  -0.353 0.014  -0.511 -0.051  -0.388 -0.182  -0.189 -0.127  0.063 -0.108  0.255 -0.001  0.481 0.090  0.733 0.095  0.874 0.251  1.040 0.339  1.206 0.427
2#tos#f1#f1053060/I  -0.108 1.635  -0.108 1.563  -0.108 1.492  -0.108 1.420  -0.108 1.349  -0.075 1.311  -0.043 1.271  -0.043 1.199  0.010 1.181  0.021 1.121  0.021 1.050  0.021 0.979  0.021 0.907  0.021 0.836  0.021 0.764  0.021 0.693  0.021 0.621  0.021 0.550  0.021 0.478  0.021 0.407  0.021 0.335  0.021 0.264  0.021 0.193  0.021 0.121  0.021 0.050  0.021 -0.022  0.021 -0.093  0.021 -0.165  0.021 -0.236  0.021 -0.308  0.021 -0.379  0.021 -0.450  0.021 -0.522  0.021 -0.593  0.021 -0.665  0.021 -0.736  0.021 -0.808  0.021 -0.879  0.021 -0.951  0.021 -1.022  0.021 -1.093  0.021 -1.165  0.021 -1.236  0.021 -1.308  0.021 -1.379  0.021 -1.451  0.021 -1.522  0.021 -1.594  -0.037 -1.607  -0.108 -1.607
2#tos#f1#f1053060/N  -0.765 0.943  -0.859 0.782  -0.765 0.723  -0.692 0.574  -0.582 0.428  -0.557 0.244  -0.557 0.050  -0.572 -0.141  -0.599 -0.330  -0.599 -0.524  -0.599 -0.718  -0.682 -0.860  -0.749 -1.011  -0.801 -0.875  -0.792 -0.681  -0.783 -0.488  -0.774 -0.294  -0.765 -0.101  -0.757 0.093  -0.748 0.287  -0.739 0.480  -0.730 0.674  -0.771 0.813  -0.711 0.703  -0.602 0.610  -0.461 0.521  -0.362 0.388  -0.226 0.278  -0.089 0.142  0.029 0.006  0.150 -0.113  0.294 -0.178  0.398 -0.324  0.521 -0.467  0.658 -0.563  0.804 -0.679  0.929 -0.803  1.064 -0.894  1.064 -0.935  1.064 -0.741  1.064 -0.547  1.064 -0.353  1.073 -0.162  1.118 0.022  1.148 0.211  1.149 0.405  1.235 0.578  1.272 0.763  1.272 0.957  1.314 1.109
2#tos#f1#f1053060/O  -0.124 0.856  -0.236 0.821  -0.302 0.735  -0.348 0.607  -0.408 0.521  -0.543 0.493  -0.619 0.369  -0.683 0.248  -0.735 0.111  -0.790 -0.025  -0.795 -0.171  -0.795 -0.317  -0.851 -0.441  -0.851 -0.588  -0.851 -0.734  -0.848 -0.880  -0.795 -1.004  -0.745 -1.101  -0.598 -1.101  -0.474 -1.157  -0.328 -1.157  -0.181 -1.157  -0.034 -1.157  0.076 -1.069  0.201 -0.994  0.339 -0.946  0.426 -0.839  0.491 -0.708  0.538 -0.569  0.664 -0.542  0.714 -0.445  0.770 -0.321  0.809 -0.184  0.875 -0.053  0.882 0.092  0.882 0.239  0.882 0.385  0.882 0.532  0.882 0.679  0.861 0.814  0.739 0.896  0.625 0.963  0.541 1.080  0.394 1.080  0.247 1.080  0.101 1.080  -0.046 1.080  -0.185 1.049  -0.307 0.993  -0.348 0.856
2#tos#f1#f1053060/Q  0.184 -0.465  0.184 -0.690  0.050 -0.780  -0.085 -0.869  -0.310 -0.870  -0.534 -0.870  -0.759 -0.870  -0.934 -0.790  -1.074 -0.675  -1.119 -0.461  -1.119 -0.237  -1.119 -0.012  -1.119 0.212  -1.052 0.409  -0.914 0.531  -0.826 0.725  -0.714 0.903  -0.577 1.033  -0.399 1.152  -0.354 1.331  -0.140 1.376  0.085 1.376  0.309 1.376  0.513 1.307  0.702 1.217  0.750 1.008  0.858 0.817  0.903 0.600  0.903 0.375  0.862 0.168  0.775 -0.032  0.681 -0.209  0.559 -0.390  0.371 -0.465  0.282 -0.600  0.083 -0.673  -0.119 -0.735  -0.119 -0.522  -0.107 -0.297  -0.096 -0.073  -0.118 0.119  -0.143 -0.016  0.049 -0.109  0.222 -0.192  0.385 -0.345  0.578 -0.460  0.678 -0.649  0.840 -0.730  0.962 -0.899  1.082 -1.049
2#tos#f1#f1053060/S  0.558 1.460  0.456 1.445  0.426 1.359  0.310 1.359  0.193 1.359  0.128 1.288  0.070 1.206  -0.047 1.206  -0.103 1.145  -0.125 1.043  -0.230 0.990  -0.328 0.930  -0.412 0.851  -0.521 0.819  -0.593 0.734  -0.611 0.622  -0.611 0.505  -0.557 0.441  -0.474 0.358  -0.458 0.248  -0.400 0.190  -0.305 0.138  -0.201 0.085  -0.153 -0.012  -0.038 -0.013  0.070 -0.033  0.166 -0.097  0.258 -0.166  0.374 -0.166  0.406 -0.251  0.455 -0.318  0.507 -0.383  0.507 -0.499  0.592 -0.564  0.609 -0.670  0.609 -0.786  0.583 -0.877  0.507 -0.918  0.432 -1.004  0.330 -1.055  0.253 -1.116  0.152 -1.131  0.035 -1.131  -0.079 -1.151  -0.192 -1.179  -0.298 -1.229  -0.413 -1.233  -0.530 -1.233  -0.647 -1.233  -0.662 -1.335
2#tos#f1#f1053060/T  -1.595 0.281  -1.666 0.183  -1.626 0.098  -1.476 0.098  -1.326 0.098  -1.176 0.098  -1.027 0.098  -0.877 0.098  -0.741 0.130  -0.617 0.202  -0.470 0.232  -0.375 0.319  -0.239 0.380  -0.094 0.416  0.056 0.418  0.187 0.463  0.335 0.469  0.475 0.509  0.613 0.550  0.747 0.600  0.883 0.623  0.985 0.707  1.112 0.783  1.120 0.783  0.979 0.736  0.839 0.681  0.700 0.627  0.561 0.572  0.421 0.518  0.282 0.463  0.142 0.408  -0.001 0.372  -0.042 0.264  -0.058 0.189  0.004 0.101  0.139 0.052  0.191 -0.049  0.232 -0.189  0.232 -0.339  0.232 -0.489  0.234 -0.638  0.277 -0.777  0.277 -0.927  0.277 -1.077  0.236 -1.201  0.186 -1.320  0.167 -1.466  0.140 -1.612  0.095 -1.716  0.049 -1.820
2#tos#f1#f1053060/U  -0.964 1.183  -0.964 1.074  -0.964 0.965  -0.964 0.856  -0.915 0.767  -0.915 0.658  -0.849 0.576  -0.817 0.481  -0.817 0.371  -0.817 0.262  -0.817 0.153  -0.817 0.044  -0.797 -0.045  -0.768 -0.125  -0.768 -0.234  -0.767 -0.343  -0.732 -0.446  -0.669 -0.504  -0.669 -0.613  -0.596 -0.683  -0.522 -0.752  -0.442 -0.781  -0.333 -0.781  -0.224 -0.781  -0.115 -0.781  -0.006 -0.781  0.103 -0.781  0.212 -0.781  0.317 -0.773  0.370 -0.683  0.460 -0.664  0.490 -0.585  0.587 -0.556  0.661 -0.477  0.715 -0.384  0.804 -0.330  0.804 -0.221  0.840 -0.120  0.902 -0.035  0.902 0.074  0.912 0.182  0.947 0.285  0.951 0.394  0.951 0.503  0.951 0.612  0.986 0.713  1.013 0.815  1.049 0.916  1.049 1.025  1.049 1.134
