1c#apa#apa03#app0327/b  -0.819 1.874  -0.819 1.702  -0.819 1.530  -0.819 1.358  -0.819 1.186  -0.819 1.014  -0.815 0.843  -0.738 0.690  -0.674 0.533  -0.674 0.361  -0.674 0.189  -0.674 0.018  -0.674 -0.154  -0.562 -0.280  -0.528 -0.438  -0.526 -0.609  -0.404 -0.730  -0.382 -0.893  -0.382 -1.065  -0.382 -1.144  -0.382 -0.972  -0.312 -0.829  -0.236 -0.689  -0.236 -0.517  -0.236 -0.345  -0.136 -0.215  -0.090 -0.062  -0.090 0.110  0.023 0.235  0.144 0.357  0.202 0.505  0.318 0.561  0.490 0.561  0.662 0.561  0.785 0.512  0.785 0.341  0.885 0.269  0.931 0.143  1.077 0.117  1.077 -0.055  1.077 -0.227  1.077 -0.399  0.967 -0.461  0.931 -0.597  0.785 -0.623  0.743 -0.752  0.639 -0.820  0.545 -0.898  0.374 -0.898  0.202 -0.898
1c#apa#apa03#app0327/s  0.256 0.781  0.256 0.900  0.256 1.019  0.249 1.132  0.130 1.132  0.011 1.132  -0.108 1.132  -0.227 1.132  -0.347 1.132  -0.466 1.132  -0.585 1.132  -0.680 1.073  -0.764 0.988  -0.796 0.882  -0.796 0.763  -0.796 0.644  -0.796 0.525  -0.771 0.430  -0.652 0.430  -0.621 0.342  -0.589 0.255  -0.470 0.255  -0.378 0.188  -0.294 0.104  -0.185 0.079  -0.094 0.050  -0.094 -0.069  -0.002 -0.096  0.106 -0.121  0.191 -0.206  0.283 -0.271  0.402 -0.271  0.495 -0.334  0.579 -0.419  0.663 -0.503  0.748 -0.587  0.783 -0.692  0.783 -0.811  0.783 -0.931  0.783 -1.050  0.762 -1.148  0.643 -1.148  0.532 -1.186  0.426 -1.239  0.319 -1.292  0.207 -1.324  0.088 -1.324  -0.031 -1.324  -0.094 -1.268  -0.094 -1.148
1c#apa#apa03#app0327/e  -0.191 -0.191  -0.039 -0.191  0.113 -0.191  0.265 -0.191  0.406 -0.164  0.514 -0.057  0.642 -0.000  0.761 0.033  0.761 0.185  0.761 0.337  0.761 0.489  0.761 0.642  0.738 0.784  0.630 0.892  0.570 1.019  0.541 1.142  0.389 1.142  0.237 1.142  0.085 1.142  -0.047 1.095  -0.155 0.988  -0.292 0.952  -0.444 0.952  -0.583 0.930  -0.651 0.794  -0.719 0.658  -0.801 0.532  -0.908 0.425  -0.953 0.291  -0.953 0.139  -0.953 -0.013  -0.953 -0.165  -0.953 -0.317  -0.864 -0.381  -0.762 -0.431  -0.751 -0.571  -0.599 -0.571  -0.483 -0.660  -0.376 -0.768  -0.268 -0.875  -0.148 -0.952  0.003 -0.955  0.110 -1.063  0.229 -1.142  0.381 -1.142  0.533 -1.142  0.685 -1.142  0.837 -1.142  0.989 -1.142  1.141 -1.142
1c#apa#apa03#app0327/l  0.120 1.695  0.120 1.623  0.120 1.552  0.120 1.481  0.120 1.410  0.120 1.339  0.120 1.267  0.120 1.196  0.120 1.125  0.120 1.054  0.120 0.983  0.120 0.911  0.120 0.840  0.120 0.769  0.120 0.698  0.120 0.627  0.118 0.556  0.068 0.506  0.017 0.456  -0.033 0.405  -0.070 0.349  -0.070 0.278  -0.070 0.207  -0.070 0.136  -0.070 0.064  -0.070 -0.007  -0.070 -0.078  -0.070 -0.149  -0.070 -0.220  -0.070 -0.292  -0.070 -0.363  -0.070 -0.434  -0.070 -0.505  -0.070 -0.576  -0.070 -0.648  -0.070 -0.719  -0.070 -0.790  -0.070 -0.861  -0.070 -0.932  -0.070 -1.003  -0.070 -1.075  -0.070 -1.146  -0.070 -1.217  -0.070 -1.288  -0.070 -1.359  -0.070 -1.431  -0.070 -1.502  -0.070 -1.573  -0.070 -1.644  -0.070 -1.715
1c#apa#apa03#app0327/l  0.232 1.652  0.232 1.581  0.232 1.510  0.189 1.456  0.139 1.406  0.088 1.355  0.079 1.288  0.079 1.216  0.079 1.145  0.079 1.074  0.079 1.002  0.079 0.931  0.079 0.859  0.079 0.788  0.079 0.717  0.079 0.645  0.079 0.574  0.079 0.503  0.079 0.431  0.031 0.379  -0.019 0.329  -0.069 0.279  -0.074 0.209  -0.074 0.138  -0.074 0.066  -0.074 -0.005  -0.074 -0.076  -0.074 -0.148  -0.074 -0.219  -0.074 -0.290  -0.074 -0.362  -0.074 -0.433  -0.074 -0.504  -0.074 -0.576  -0.074 -0.647  -0.074 -0.719  -0.074 -0.790  -0.074 -0.861  -0.074 -0.933  -0.074 -1.004  -0.074 -1.075  -0.074 -1.147  -0.074 -1.218  -0.074 -1.290  -0.074 -1.361  -0.074 -1.432  -0.074 -1.504  -0.074 -1.575  -0.074 -1.646  -0.074 -1.718
1c#apa#apa03#app0327/e  0.386 1.400  0.295 1.400  0.204 1.400  0.113 1.400  0.022 1.400  -0.008 1.339  -0.008 1.248  -0.054 1.203  -0.145 1.203  -0.205 1.172  -0.205 1.081  -0.217 0.995  -0.281 0.930  -0.345 0.866  -0.402 0.798  -0.402 0.707  -0.402 0.616  -0.402 0.525  -0.402 0.434  -0.402 0.343  -0.402 0.252  -0.402 0.161  -0.402 0.070  -0.402 -0.021  -0.402 -0.112  -0.389 -0.200  -0.349 -0.281  -0.308 -0.362  -0.267 -0.444  -0.226 -0.525  -0.162 -0.568  -0.071 -0.568  -0.008 -0.596  -0.008 -0.687  0.005 -0.765  0.096 -0.765  0.187 -0.765  0.189 -0.854  0.189 -0.945  0.263 -0.962  0.354 -0.962  0.386 -1.022  0.386 -1.113  0.430 -1.159  0.521 -1.159  0.612 -1.159  0.703 -1.159  0.779 -1.174  0.779 -1.265  0.779 -1.356
1c#apa#apa03#app0327/r  -0.438 0.735  -0.438 0.594  -0.438 0.453  -0.438 0.312  -0.438 0.171  -0.435 0.030  -0.372 -0.096  -0.309 -0.222  -0.263 -0.352  -0.263 -0.493  -0.263 -0.634  -0.263 -0.775  -0.263 -0.916  -0.233 -1.045  -0.133 -1.145  -0.088 -1.267  -0.088 -1.408  -0.088 -1.533  -0.088 -1.392  -0.203 -1.366  -0.263 -1.285  -0.263 -1.144  -0.263 -1.003  -0.263 -0.862  -0.263 -0.720  -0.263 -0.579  -0.263 -0.438  -0.263 -0.297  -0.263 -0.156  -0.263 -0.015  -0.263 0.126  -0.263 0.267  -0.263 0.408  -0.263 0.549  -0.171 0.652  -0.088 0.758  -0.088 0.899  0.043 0.910  0.184 0.910  0.263 0.972  0.291 1.085  0.432 1.085  0.573 1.085  0.714 1.085  0.855 1.085  0.996 1.085  1.137 1.085  1.237 0.986  1.347 0.910  1.488 0.910
1c#apa#apa03#app0327/i  -0.035 0.656  -0.035 0.531  -0.035 0.405  -0.035 0.279  -0.035 0.153  -0.035 0.027  -0.035 -0.098  0.027 -0.162  0.153 -0.162  0.170 -0.271  0.170 -0.397  0.170 -0.523  0.170 -0.649  0.170 -0.775  0.170 -0.900  0.170 -1.026  0.170 -1.152  0.170 -1.278  0.170 -1.404  0.170 -1.529  0.162 -1.535  0.147 -1.410  0.131 -1.285  0.116 -1.160  0.100 -1.035  0.084 -0.910  0.069 -0.786  0.053 -0.661  0.038 -0.536  0.022 -0.411  0.006 -0.286  -0.009 -0.161  -0.025 -0.037  -0.040 0.088  -0.056 0.213  -0.072 0.338  -0.087 0.463  -0.103 0.588  -0.118 0.713  -0.134 0.837  -0.150 0.962  -0.165 1.087  -0.181 1.212  -0.197 1.337  -0.212 1.462  -0.228 1.587  -0.239 1.712  -0.239 1.837  -0.239 1.963  -0.239 2.089
1c#apa#apa03#app0327/n  -1.007 1.009  -0.839 1.009  -0.807 0.875  -0.807 0.707  -0.807 0.540  -0.807 0.373  -0.807 0.206  -0.807 0.039  -0.807 -0.128  -0.807 -0.295  -0.807 -0.462  -0.807 -0.629  -0.807 -0.797  -0.807 -0.964  -0.661 -0.984  -0.608 -0.870  -0.608 -0.703  -0.558 -0.586  -0.408 -0.568  -0.408 -0.401  -0.408 -0.234  -0.324 -0.102  -0.205 0.016  -0.087 0.134  -0.010 0.269  0.008 0.429  0.126 0.547  0.190 0.688  0.222 0.842  0.340 0.960  0.458 1.078  0.576 1.196  0.588 1.059  0.588 0.892  0.674 0.810  0.788 0.757  0.788 0.590  0.788 0.423  0.788 0.256  0.788 0.089  0.788 -0.078  0.788 -0.246  0.788 -0.413  0.788 -0.580  0.788 -0.747  0.788 -0.914  0.788 -1.081  0.788 -1.248  0.820 -1.383  0.987 -1.383
1c#apa#apa03#app0327/c  0.800 1.060  0.800 1.148  0.800 1.235  0.747 1.270  0.659 1.270  0.577 1.256  0.515 1.194  0.453 1.132  0.390 1.070  0.328 1.008  0.266 0.946  0.204 0.884  0.131 0.850  0.043 0.850  -0.040 0.845  -0.040 0.757  -0.040 0.670  -0.081 0.599  -0.143 0.537  -0.205 0.475  -0.267 0.413  -0.329 0.351  -0.391 0.289  -0.453 0.227  -0.459 0.141  -0.459 0.054  -0.459 -0.034  -0.459 -0.122  -0.459 -0.210  -0.459 -0.297  -0.459 -0.385  -0.459 -0.473  -0.459 -0.560  -0.459 -0.648  -0.459 -0.736  -0.459 -0.824  -0.401 -0.887  -0.339 -0.949  -0.277 -1.011  -0.215 -1.073  -0.153 -1.135  -0.091 -1.197  -0.024 -1.249  0.064 -1.249  0.151 -1.249  0.239 -1.249  0.327 -1.249  0.415 -1.249  0.502 -1.249  0.590 -1.249
1c#apa#apa03#app0327/e  -0.033 -0.105  0.115 -0.105  0.144 -0.224  0.234 -0.283  0.322 -0.223  0.353 -0.105  0.501 -0.105  0.649 -0.105  0.677 0.015  0.741 0.136  0.846 0.241  0.855 0.386  0.855 0.534  0.855 0.682  0.821 0.816  0.716 0.921  0.611 1.026  0.506 1.131  0.361 1.137  0.213 1.137  0.064 1.137  -0.084 1.137  -0.211 1.116  -0.211 0.968  -0.351 0.960  -0.388 0.849  -0.470 0.782  -0.566 0.730  -0.582 0.589  -0.687 0.484  -0.743 0.359  -0.743 0.211  -0.743 0.063  -0.743 -0.085  -0.743 -0.234  -0.743 -0.382  -0.743 -0.530  -0.743 -0.678  -0.736 -0.823  -0.631 -0.928  -0.526 -1.033  -0.421 -1.138  -0.287 -1.171  -0.160 -1.222  -0.055 -1.326  0.084 -1.348  0.232 -1.348  0.381 -1.348  0.529 -1.348  0.677 -1.348
1c#apa#apa03#app0327/w  -1.264 0.842  -1.264 0.708  -1.264 0.575  -1.264 0.442  -1.264 0.308  -1.264 0.175  -1.264 0.042  -1.264 -0.092  -1.264 -0.225  -1.205 -0.334  -1.099 -0.399  -0.965 -0.399  -0.832 -0.399  -0.699 -0.399  -0.565 -0.399  -0.458 -0.337  -0.363 -0.243  -0.268 -0.151  -0.147 -0.139  -0.147 -0.005  -0.116 0.097  -0.063 0.097  -0.147 0.048  -0.147 -0.086  -0.147 -0.219  -0.147 -0.353  -0.061 -0.399  -0.023 -0.495  0.082 -0.523  0.215 -0.523  0.349 -0.523  0.482 -0.523  0.615 -0.523  0.749 -0.523  0.846 -0.487  0.891 -0.399  0.970 -0.344  0.970 -0.211  1.043 -0.151  1.094 -0.068  1.094 0.065  1.094 0.199  1.094 0.332  1.094 0.465  1.094 0.599  1.094 0.732  1.094 0.865  1.071 0.989  0.976 1.083  0.970 1.214
1c#apa#apa03#app0327/i  0.060 0.654  0.060 0.518  0.060 0.383  -0.057 0.365  -0.084 0.257  -0.183 0.221  -0.228 0.131  -0.286 0.020  -0.373 -0.080  -0.373 -0.215  -0.373 -0.350  -0.502 -0.356  -0.517 -0.476  -0.517 -0.611  -0.517 -0.746  -0.517 -0.881  -0.517 -1.017  -0.517 -1.152  -0.451 -1.221  -0.373 -1.278  -0.325 -1.365  -0.190 -1.365  -0.055 -1.365  0.062 -1.345  0.075 -1.210  0.088 -1.076  0.100 -0.941  0.113 -0.807  0.126 -0.672  0.139 -0.538  0.152 -0.403  0.164 -0.269  0.177 -0.134  0.190 0.000  0.203 0.135  0.216 0.269  0.229 0.404  0.241 0.539  0.254 0.673  0.267 0.808  0.280 0.942  0.293 1.077  0.305 1.211  0.318 1.346  0.331 1.480  0.344 1.615  0.435 1.663  0.493 1.741  0.541 1.759  0.637 1.663
1c#apa#apa03#app0327/n  -0.580 0.903  -0.580 0.742  -0.738 0.740  -0.743 0.584  -0.743 0.423  -0.743 0.263  -0.743 0.102  -0.808 -0.044  -0.880 -0.187  -0.907 -0.342  -0.976 -0.474  -1.070 -0.596  -1.070 -0.756  -1.070 -0.917  -1.050 -1.058  -0.894 -1.046  -0.781 -0.932  -0.667 -0.818  -0.580 -0.694  -0.545 -0.568  -0.417 -0.535  -0.396 -0.383  -0.282 -0.270  -0.168 -0.156  -0.090 -0.028  -0.056 0.119  0.057 0.233  0.171 0.347  0.285 0.460  0.398 0.574  0.400 0.734  0.510 0.849  0.564 0.988  0.646 1.066  0.807 1.066  0.891 0.990  0.943 0.851  1.054 0.736  1.054 0.575  1.054 0.414  1.054 0.254  1.054 0.093  0.945 -0.023  0.891 -0.161  0.891 -0.322  0.891 -0.483  0.837 -0.621  0.727 -0.736  0.727 -0.897  0.727 -1.058
