2#tos#f3#f3067059/!  0.514 1.603  0.483 1.563  0.483 1.491  0.483 1.420  0.482 1.349  0.464 1.280  0.445 1.212  0.418 1.146  0.392 1.080  0.361 1.016  0.329 0.953  0.297 0.889  0.284 0.819  0.273 0.749  0.254 0.681  0.217 0.620  0.181 0.559  0.158 0.493  0.141 0.424  0.124 0.355  0.105 0.286  0.079 0.220  0.053 0.154  0.036 0.085  0.022 0.015  0.015 -0.055  0.015 -0.126  0.004 -0.196  -0.010 -0.266  -0.043 -0.326  -0.085 -0.381  -0.108 -0.448  -0.110 -0.519  -0.129 -0.586  -0.160 -0.649  -0.172 -0.718  -0.205 -0.777  -0.249 -0.833  -0.293 -0.889  -0.337 -0.945  -0.381 -1.001  -0.425 -1.057  -0.469 -1.113  -0.513 -1.169  -0.535 -1.233  -0.575 -1.292  -0.577 -1.363  -0.577 -1.434  -0.577 -1.505  -0.577 -1.576
2#tos#f3#f3067059/_  -1.399 -0.144  -1.464 -0.176  -1.530 -0.209  -1.521 -0.224  -1.448 -0.224  -1.375 -0.224  -1.302 -0.224  -1.229 -0.224  -1.156 -0.224  -1.082 -0.224  -1.009 -0.224  -0.936 -0.224  -0.863 -0.224  -0.803 -0.192  -0.751 -0.142  -0.681 -0.119  -0.612 -0.096  -0.542 -0.073  -0.471 -0.063  -0.398 -0.063  -0.325 -0.063  -0.254 -0.054  -0.188 -0.022  -0.123 0.011  -0.051 0.018  0.022 0.018  0.095 0.018  0.166 0.029  0.235 0.052  0.305 0.075  0.374 0.098  0.447 0.098  0.520 0.098  0.594 0.098  0.667 0.098  0.740 0.098  0.809 0.114  0.874 0.147  0.940 0.179  1.013 0.179  1.086 0.179  1.159 0.179  1.232 0.179  1.306 0.179  1.341 0.216  1.371 0.259  1.444 0.259  1.517 0.259  1.591 0.259  1.664 0.259
2#tos#f3#f3067059/{  0.508 1.631  0.406 1.631  0.303 1.631  0.224 1.573  0.152 1.500  0.093 1.422  0.018 1.366  0.018 1.263  -0.020 1.198  -0.020 1.096  -0.020 0.993  -0.009 0.893  0.056 0.834  0.105 0.752  0.131 0.660  0.169 0.573  0.207 0.479  0.207 0.377  0.140 0.315  0.114 0.235  0.087 0.160  -0.016 0.160  -0.036 0.068  -0.114 0.009  -0.208 0.000  -0.266 -0.067  -0.214 -0.105  -0.118 -0.119  -0.062 -0.180  0.018 -0.202  0.018 -0.305  0.018 -0.408  0.018 -0.510  0.018 -0.613  -0.020 -0.700  -0.087 -0.775  -0.186 -0.784  -0.256 -0.824  -0.281 -0.924  -0.322 -0.989  -0.278 -1.048  -0.246 -1.119  -0.186 -1.161  -0.171 -1.248  -0.131 -1.312  -0.057 -1.363  -0.023 -1.457  0.056 -1.484  0.093 -1.549  0.169 -1.576
2#tos#f3#f3067059/}  -0.378 1.504  -0.455 1.444  -0.365 1.427  -0.257 1.427  -0.188 1.389  -0.096 1.363  -0.020 1.312  0.087 1.312  0.160 1.254  0.160 1.147  0.160 1.039  0.160 0.932  0.102 0.860  0.044 0.780  0.044 0.672  0.006 0.574  -0.052 0.495  -0.109 0.422  -0.143 0.323  -0.148 0.216  -0.107 0.120  -0.009 0.097  0.067 0.021  0.168 0.005  0.276 0.005  0.383 0.005  0.452 -0.033  0.491 -0.077  0.390 -0.112  0.352 -0.210  0.264 -0.237  0.168 -0.264  0.105 -0.347  0.044 -0.409  0.006 -0.478  -0.032 -0.547  -0.032 -0.655  0.005 -0.725  0.006 -0.832  0.006 -0.939  -0.032 -1.031  -0.062 -1.131  -0.071 -1.237  -0.071 -1.344  -0.144 -1.379  -0.186 -1.444  -0.212 -1.546  -0.253 -1.638  -0.302 -1.726  -0.378 -1.802
2#tos#f3#f3067059/0  0.188 1.087  0.053 1.068  -0.059 0.987  -0.156 0.887  -0.190 0.751  -0.250 0.626  -0.328 0.510  -0.402 0.391  -0.425 0.253  -0.448 0.115  -0.542 0.014  -0.641 -0.086  -0.645 -0.224  -0.656 -0.362  -0.708 -0.492  -0.743 -0.626  -0.743 -0.766  -0.743 -0.906  -0.743 -1.046  -0.743 -1.186  -0.701 -1.309  -0.584 -1.364  -0.443 -1.364  -0.317 -1.331  -0.209 -1.244  -0.099 -1.161  -0.021 -1.047  0.041 -0.921  0.076 -0.798  0.189 -0.714  0.273 -0.607  0.335 -0.482  0.392 -0.354  0.426 -0.218  0.482 -0.090  0.545 0.035  0.607 0.160  0.647 0.294  0.675 0.431  0.733 0.558  0.790 0.686  0.826 0.820  0.826 0.960  0.826 1.100  0.771 1.185  0.631 1.185  0.490 1.185  0.350 1.185  0.230 1.136  0.139 1.087
2#tos#f3#f3067059/1  0.844 1.237  0.915 1.237  0.892 1.237  0.822 1.237  0.751 1.237  0.701 1.189  0.652 1.138  0.621 1.074  0.589 1.011  0.557 0.948  0.526 0.885  0.494 0.822  0.462 0.759  0.419 0.703  0.377 0.646  0.335 0.590  0.292 0.533  0.250 0.477  0.207 0.420  0.169 0.361  0.138 0.298  0.106 0.235  0.075 0.172  0.043 0.108  0.011 0.045  -0.020 -0.018  -0.052 -0.081  -0.083 -0.144  -0.117 -0.206  -0.153 -0.267  -0.190 -0.328  -0.226 -0.388  -0.262 -0.449  -0.299 -0.509  -0.335 -0.570  -0.371 -0.630  -0.405 -0.692  -0.436 -0.756  -0.468 -0.819  -0.500 -0.882  -0.531 -0.945  -0.563 -1.008  -0.605 -1.064  -0.655 -1.114  -0.705 -1.164  -0.755 -1.214  -0.805 -1.263  -0.855 -1.313  -0.905 -1.363  -0.955 -1.413
2#tos#f3#f3067059/3  0.373 0.869  0.325 0.939  0.302 1.036  0.306 1.150  0.425 1.150  0.543 1.150  0.662 1.150  0.780 1.150  0.898 1.150  0.935 1.068  0.935 0.950  0.918 0.835  0.865 0.729  0.812 0.623  0.738 0.532  0.654 0.449  0.566 0.372  0.454 0.334  0.344 0.293  0.238 0.240  0.150 0.163  0.037 0.125  -0.068 0.077  -0.166 0.026  -0.284 0.026  -0.395 -0.006  -0.504 -0.044  -0.458 -0.044  -0.340 -0.044  -0.221 -0.044  -0.119 -0.060  -0.119 -0.178  -0.030 -0.222  0.022 -0.328  0.022 -0.446  0.001 -0.556  -0.083 -0.640  -0.167 -0.724  -0.250 -0.807  -0.354 -0.864  -0.430 -0.947  -0.490 -1.047  -0.583 -1.119  -0.689 -1.168  -0.808 -1.168  -0.923 -1.183  -1.028 -1.236  -1.146 -1.238  -1.265 -1.238  -1.383 -1.238
2#tos#f3#f3067059/6  0.552 1.331  0.608 1.441  0.614 1.563  0.661 1.641  0.641 1.550  0.544 1.473  0.448 1.396  0.353 1.317  0.265 1.230  0.201 1.125  0.146 1.015  0.091 0.904  0.033 0.795  -0.031 0.689  -0.095 0.583  -0.158 0.477  -0.222 0.371  -0.285 0.265  -0.340 0.155  -0.386 0.040  -0.432 -0.075  -0.496 -0.180  -0.564 -0.283  -0.564 -0.406  -0.564 -0.530  -0.564 -0.654  -0.564 -0.777  -0.564 -0.901  -0.564 -1.025  -0.564 -1.148  -0.522 -1.254  -0.406 -1.274  -0.282 -1.274  -0.159 -1.274  -0.045 -1.251  0.043 -1.163  0.103 -1.056  0.158 -0.946  0.247 -0.869  0.304 -0.781  0.346 -0.674  0.366 -0.559  0.366 -0.435  0.366 -0.312  0.366 -0.188  0.283 -0.116  0.164 -0.095  0.118 -0.018  0.049 0.063  -0.068 0.091
2#tos#f3#f3067059/7  0.079 0.590  0.079 0.733  -0.022 0.775  -0.166 0.775  -0.309 0.775  -0.452 0.775  -0.596 0.775  -0.712 0.693  -0.826 0.607  -0.930 0.508  -1.032 0.407  -1.133 0.306  -1.051 0.294  -0.909 0.312  -0.767 0.329  -0.636 0.370  -0.506 0.404  -0.392 0.452  -0.296 0.528  -0.153 0.528  -0.009 0.528  0.134 0.528  0.278 0.528  0.421 0.528  0.564 0.528  0.708 0.528  0.851 0.528  0.995 0.528  1.126 0.523  1.016 0.431  0.897 0.352  0.827 0.229  0.762 0.101  0.677 -0.015  0.591 -0.129  0.538 -0.261  0.492 -0.397  0.443 -0.531  0.342 -0.632  0.240 -0.734  0.146 -0.842  0.057 -0.954  -0.033 -1.066  -0.065 -1.203  -0.089 -1.345  -0.124 -1.482  -0.198 -1.605  -0.272 -1.728  -0.292 -1.865  -0.292 -2.009
2#tos#f3#f3067059/8  1.032 0.110  0.982 0.214  0.982 0.368  0.932 0.511  0.885 0.654  0.815 0.792  0.761 0.930  0.663 1.047  0.555 1.146  0.416 1.208  0.269 1.240  0.144 1.327  -0.003 1.357  0.003 1.320  0.081 1.187  0.134 1.049  0.134 0.894  0.134 0.740  0.134 0.586  0.134 0.431  0.134 0.277  0.134 0.123  0.071 -0.017  0.034 -0.162  0.034 -0.317  -0.045 -0.445  -0.123 -0.575  -0.153 -0.726  -0.206 -0.869  -0.281 -1.003  -0.390 -1.113  -0.415 -1.256  -0.502 -1.375  -0.611 -1.484  -0.764 -1.487  -0.814 -1.383  -0.811 -1.229  -0.764 -1.082  -0.764 -0.928  -0.683 -0.807  -0.593 -0.685  -0.536 -0.542  -0.491 -0.395  -0.433 -0.257  -0.323 -0.148  -0.214 -0.039  -0.105 0.070  0.013 0.169  0.137 0.261  0.283 0.309
2#tos#f3#f3067059/9  0.735 -0.264  0.740 -0.082  0.793 0.089  0.909 0.200  0.966 0.370  1.022 0.540  1.024 0.723  1.001 0.902  0.895 1.014  0.731 1.096  0.555 1.123  0.372 1.123  0.188 1.123  0.005 1.123  -0.152 1.046  -0.323 0.990  -0.459 0.869  -0.616 0.774  -0.762 0.666  -0.903 0.551  -1.015 0.420  -1.056 0.242  -1.056 0.059  -1.041 -0.121  -0.936 -0.268  -0.787 -0.370  -0.630 -0.437  -0.447 -0.437  -0.263 -0.437  -0.080 -0.437  0.103 -0.436  0.276 -0.378  0.440 -0.296  0.604 -0.214  0.710 -0.074  0.793 0.058  0.647 0.053  0.496 -0.049  0.339 -0.143  0.241 -0.297  0.140 -0.447  -0.017 -0.542  -0.161 -0.650  -0.271 -0.796  -0.375 -0.947  -0.477 -1.099  -0.575 -1.254  -0.670 -1.411  -0.773 -1.562  -0.883 -1.708
2#tos#f3#f3067059/B  0.035 0.981  0.035 1.216  0.095 1.053  -0.026 0.854  -0.065 0.623  -0.163 0.422  -0.327 0.255  -0.373 0.024  -0.461 -0.192  -0.566 -0.402  -0.732 -0.568  -0.868 -0.746  -0.868 -0.981  -0.816 -0.799  -0.759 -0.572  -0.703 -0.344  -0.646 -0.116  -0.589 0.112  -0.532 0.340  -0.448 0.557  -0.360 0.740  -0.146 0.830  0.033 0.979  0.264 0.997  0.492 1.041  0.727 1.041  0.957 1.014  1.186 0.981  1.298 0.858  1.241 0.680  1.107 0.489  0.931 0.335  0.722 0.240  0.498 0.181  0.310 0.050  0.081 0.018  -0.116 -0.073  -0.193 -0.102  0.028 -0.162  0.194 -0.275  0.350 -0.371  0.396 -0.595  0.396 -0.830  0.288 -0.998  0.094 -1.126  -0.046 -1.307  -0.196 -1.426  -0.413 -1.499  -0.599 -1.638  -0.747 -1.787
2#tos#f3#f3067059/E  -0.687 0.836  -0.625 0.763  -0.385 0.833  -0.161 0.940  0.084 0.964  0.319 1.052  0.561 1.090  0.785 1.202  1.018 1.291  1.183 1.331  0.942 1.263  0.701 1.195  0.460 1.128  0.218 1.060  -0.023 0.992  -0.123 0.796  -0.228 0.570  -0.314 0.336  -0.351 0.093  -0.423 -0.147  -0.486 -0.386  -0.591 -0.610  -0.603 -0.818  -0.524 -0.581  -0.444 -0.343  -0.376 -0.104  -0.181 -0.048  0.010 0.057  0.218 0.179  0.457 0.224  0.666 0.282  0.491 0.102  0.316 -0.077  0.141 -0.256  -0.034 -0.435  -0.209 -0.615  -0.384 -0.794  -0.559 -0.973  -0.734 -1.153  -0.909 -1.332  -0.803 -1.305  -0.592 -1.210  -0.399 -1.055  -0.211 -0.897  0.003 -0.838  0.222 -0.760  0.418 -0.697  0.610 -0.825  0.708 -1.055  0.830 -1.266
2#tos#f3#f3067059/J  -0.302 1.027  -0.314 0.928  -0.409 0.881  -0.334 0.874  -0.232 0.882  -0.147 0.935  -0.046 0.956  0.050 0.996  0.153 1.015  0.258 1.028  0.362 1.049  0.460 1.086  0.566 1.088  0.562 1.074  0.459 1.049  0.356 1.023  0.253 0.997  0.157 0.986  0.157 0.880  0.154 0.775  0.127 0.675  0.127 0.569  0.127 0.463  0.127 0.357  0.127 0.251  0.127 0.145  0.127 0.038  0.127 -0.068  0.110 -0.172  0.096 -0.276  0.096 -0.382  0.077 -0.486  0.066 -0.591  0.066 -0.697  0.066 -0.803  0.046 -0.907  0.035 -1.012  0.035 -1.118  0.035 -1.224  0.012 -1.321  -0.050 -1.402  -0.121 -1.451  -0.227 -1.451  -0.332 -1.450  -0.377 -1.379  -0.454 -1.333  -0.514 -1.259  -0.562 -1.174  -0.611 -1.080  -0.669 -0.992
2#tos#f3#f3067059/L  -0.382 1.776  -0.426 1.673  -0.361 1.578  -0.338 1.467  -0.338 1.345  -0.338 1.224  -0.338 1.103  -0.338 0.981  -0.338 0.860  -0.338 0.739  -0.375 0.625  -0.420 0.512  -0.443 0.393  -0.463 0.273  -0.470 0.153  -0.481 0.034  -0.536 -0.075  -0.558 -0.191  -0.561 -0.312  -0.585 -0.431  -0.602 -0.550  -0.602 -0.672  -0.642 -0.776  -0.655 -0.895  -0.681 -1.001  -0.646 -0.914  -0.568 -0.845  -0.464 -0.793  -0.381 -0.713  -0.307 -0.618  -0.221 -0.532  -0.123 -0.461  -0.030 -0.385  0.067 -0.314  0.175 -0.260  0.283 -0.204  0.369 -0.119  0.482 -0.084  0.595 -0.050  0.702 -0.006  0.771 -0.031  0.844 -0.093  0.953 -0.147  1.045 -0.224  1.135 -0.305  1.235 -0.370  1.321 -0.456  1.368 -0.565  1.443 -0.654  1.558 -0.692
2#tos#f3#f3067059/O  -0.314 0.986  -0.388 0.898  -0.466 0.790  -0.536 0.674  -0.579 0.547  -0.580 0.411  -0.677 0.314  -0.733 0.195  -0.781 0.069  -0.863 -0.040  -0.888 -0.169  -0.907 -0.304  -0.932 -0.438  -0.932 -0.575  -0.932 -0.711  -0.932 -0.848  -0.891 -0.973  -0.807 -1.080  -0.674 -1.088  -0.537 -1.088  -0.400 -1.088  -0.265 -1.075  -0.133 -1.041  -0.012 -0.977  0.105 -0.907  0.213 -0.825  0.310 -0.728  0.407 -0.632  0.512 -0.545  0.619 -0.460  0.695 -0.346  0.747 -0.221  0.800 -0.094  0.861 0.028  0.929 0.146  0.999 0.264  1.032 0.395  1.053 0.530  1.053 0.667  1.053 0.804  0.975 0.892  0.840 0.897  0.703 0.897  0.566 0.897  0.430 0.897  0.293 0.897  0.161 0.865  0.037 0.809  -0.096 0.804  -0.138 0.677
2#tos#f3#f3067059/Q  0.429 1.450  0.275 1.336  0.086 1.175  -0.096 1.006  -0.286 0.847  -0.427 0.646  -0.559 0.436  -0.698 0.232  -0.733 -0.014  -0.877 -0.213  -0.897 -0.454  -0.897 -0.702  -0.897 -0.951  -0.844 -1.186  -0.729 -1.402  -0.480 -1.402  -0.262 -1.330  -0.053 -1.200  0.076 -0.991  0.240 -0.805  0.385 -0.604  0.540 -0.410  0.616 -0.175  0.714 0.053  0.825 0.275  0.905 0.510  0.984 0.745  1.031 0.988  0.980 1.209  0.737 1.196  0.550 1.088  0.448 0.891  0.250 0.741  0.052 0.592  -0.146 0.442  -0.344 0.292  -0.542 0.142  -0.740 -0.008  -0.937 -0.158  -0.928 -0.317  -0.680 -0.317  -0.472 -0.277  -0.240 -0.237  -0.004 -0.172  0.231 -0.117  0.453 -0.181  0.617 -0.345  0.692 -0.549  0.782 -0.775  0.871 -1.000
2#tos#f3#f3067059/R  -0.543 0.843  -0.422 0.938  -0.352 0.886  -0.366 0.673  -0.453 0.477  -0.489 0.263  -0.551 0.057  -0.624 -0.146  -0.694 -0.350  -0.730 -0.563  -0.805 -0.765  -0.898 -0.961  -0.900 -0.856  -0.867 -0.642  -0.835 -0.428  -0.802 -0.214  -0.770 -0.001  -0.738 0.213  -0.705 0.427  -0.606 0.584  -0.416 0.668  -0.215 0.746  -0.010 0.795  0.167 0.890  0.383 0.890  0.599 0.890  0.815 0.890  1.031 0.890  1.247 0.890  1.447 0.851  1.503 0.658  1.404 0.484  1.285 0.313  1.144 0.151  0.974 0.018  0.816 -0.129  0.641 -0.254  0.448 -0.352  0.268 -0.472  0.077 -0.568  -0.133 -0.596  -0.324 -0.679  -0.495 -0.634  -0.377 -0.537  -0.230 -0.659  -0.058 -0.787  0.071 -0.960  0.224 -1.113  0.360 -1.280  0.504 -1.441
2#tos#f3#f3067059/a  0.741 0.026  0.677 0.168  0.795 0.219  0.805 0.378  0.805 0.547  0.805 0.716  0.805 0.885  0.805 1.054  0.777 1.212  0.623 1.248  0.454 1.248  0.286 1.244  0.167 1.124  0.011 1.059  -0.146 0.996  -0.217 0.847  -0.280 0.690  -0.419 0.604  -0.560 0.517  -0.647 0.372  -0.734 0.227  -0.852 0.106  -0.945 -0.029  -0.986 -0.193  -1.054 -0.347  -1.098 -0.510  -1.125 -0.676  -1.125 -0.845  -1.125 -1.014  -1.009 -1.068  -0.856 -1.004  -0.702 -0.967  -0.582 -0.847  -0.459 -0.732  -0.318 -0.638  -0.178 -0.544  -0.033 -0.458  0.110 -0.368  0.245 -0.266  0.341 -0.132  0.416 0.020  0.548 0.071  0.548 -0.098  0.548 -0.267  0.548 -0.436  0.548 -0.605  0.575 -0.755  0.735 -0.809  0.793 -0.965  0.934 -1.004
