2#tos#t1#t1009064/&  0.949 0.194  0.768 0.124  0.644 -0.050  0.538 -0.228  0.400 -0.415  0.265 -0.610  0.044 -0.663  -0.084 -0.832  -0.275 -0.892  -0.525 -0.892  -0.776 -0.892  -0.906 -0.771  -1.036 -0.651  -1.106 -0.470  -1.102 -0.336  -0.982 -0.206  -0.953 0.027  -0.713 0.073  -0.488 0.134  -0.297 0.194  -0.047 0.194  0.084 0.315  0.334 0.315  0.466 0.433  0.580 0.616  0.649 0.799  0.661 0.978  0.556 1.160  0.426 1.280  0.285 1.391  0.059 1.461  -0.131 1.522  -0.261 1.401  -0.391 1.280  -0.439 1.077  -0.439 0.826  -0.378 0.590  -0.318 0.399  -0.223 0.207  -0.137 0.033  -0.054 -0.152  0.036 -0.386  0.149 -0.530  0.254 -0.711  0.313 -0.919  0.466 -1.036  0.587 -1.166  0.708 -1.296  0.829 -1.426  1.010 -1.495
2#tos#t1#t1009064/0  0.018 1.001  -0.118 0.984  -0.243 0.955  -0.351 0.909  -0.483 0.888  -0.520 0.760  -0.620 0.679  -0.620 0.526  -0.702 0.426  -0.757 0.320  -0.757 0.167  -0.757 0.013  -0.798 -0.131  -0.803 -0.283  -0.803 -0.437  -0.803 -0.591  -0.757 -0.699  -0.745 -0.849  -0.632 -0.916  -0.615 -1.053  -0.507 -1.098  -0.445 -1.189  -0.291 -1.189  -0.138 -1.189  0.016 -1.189  0.170 -1.189  0.201 -1.067  0.321 -1.007  0.402 -0.897  0.488 -0.779  0.566 -0.703  0.611 -0.595  0.657 -0.487  0.657 -0.333  0.703 -0.225  0.748 -0.117  0.748 0.037  0.748 0.190  0.776 0.316  0.749 0.407  0.748 0.560  0.748 0.714  0.657 0.776  0.657 0.930  0.566 0.992  0.514 1.098  0.383 1.143  0.269 1.183  0.125 1.145  0.018 1.092
2#tos#t1#t1009064/1  -0.470 1.147  -0.478 1.031  -0.586 1.015  -0.528 0.949  -0.437 0.915  -0.313 0.915  -0.204 0.950  -0.090 0.973  0.024 1.017  0.087 1.089  0.110 1.190  0.207 1.254  0.225 1.367  0.167 1.325  0.167 1.201  0.167 1.077  0.167 0.953  0.225 0.887  0.225 0.763  0.225 0.639  0.225 0.515  0.225 0.391  0.157 0.336  0.110 0.259  0.110 0.135  0.110 0.011  0.110 -0.113  0.110 -0.237  0.110 -0.360  0.110 -0.484  0.097 -0.603  0.052 -0.708  0.052 -0.832  -0.019 -0.907  -0.135 -0.950  -0.251 -0.994  -0.368 -1.038  -0.488 -1.054  -0.528 -1.139  -0.435 -1.170  -0.311 -1.170  -0.187 -1.170  -0.063 -1.170  0.061 -1.170  0.110 -1.129  0.193 -1.170  0.317 -1.170  0.441 -1.170  0.565 -1.170  0.631 -1.228
2#tos#t1#t1009064/2  -0.308 0.520  -0.417 0.440  -0.573 0.434  -0.609 0.556  -0.695 0.628  -0.738 0.656  -0.702 0.805  -0.652 0.918  -0.580 1.021  -0.438 1.078  -0.341 1.164  -0.184 1.164  -0.069 1.207  0.088 1.207  0.207 1.168  0.318 1.121  0.432 1.078  0.508 0.996  0.605 0.927  0.637 0.777  0.680 0.663  0.680 0.505  0.637 0.390  0.608 0.262  0.551 0.136  0.465 0.064  0.411 -0.039  0.296 -0.082  0.207 -0.176  0.108 -0.267  0.006 -0.340  -0.066 -0.425  -0.138 -0.511  -0.252 -0.554  -0.308 -0.656  -0.394 -0.728  -0.424 -0.855  -0.480 -0.957  -0.525 -1.070  -0.566 -1.186  -0.463 -1.242  -0.306 -1.242  -0.191 -1.199  -0.034 -1.199  0.124 -1.199  0.282 -1.199  0.429 -1.156  0.585 -1.167  0.737 -1.199  0.852 -1.242
2#tos#t1#t1009064/4  0.331 1.341  0.169 1.218  0.125 1.136  -0.035 1.034  -0.100 0.814  -0.223 0.700  -0.339 0.542  -0.469 0.435  -0.592 0.320  -0.715 0.205  -0.797 0.050  -0.961 -0.024  -1.022 -0.200  -1.188 -0.319  -1.364 -0.381  -1.514 -0.468  -1.312 -0.504  -1.075 -0.504  -0.837 -0.504  -0.599 -0.504  -0.362 -0.504  -0.124 -0.504  0.113 -0.504  0.351 -0.504  0.585 -0.512  0.775 -0.627  1.013 -0.627  1.251 -0.627  1.231 -0.474  1.117 -0.266  1.003 -0.058  0.888 0.151  0.774 0.359  0.660 0.567  0.546 0.776  0.431 0.984  0.317 1.192  0.193 1.165  0.146 0.942  0.146 0.704  0.146 0.467  0.146 0.229  0.146 -0.009  0.146 -0.246  0.146 -0.484  0.146 -0.722  0.146 -0.959  0.146 -1.197  0.146 -1.434  0.146 -1.672
2#tos#t1#t1009064/5  -0.146 1.311  -0.252 1.223  -0.279 1.054  -0.279 0.858  -0.279 0.663  -0.279 0.468  -0.283 0.273  -0.323 0.082  -0.327 -0.110  -0.391 -0.199  -0.240 -0.154  -0.045 -0.154  0.150 -0.154  0.327 -0.199  0.434 -0.288  0.585 -0.332  0.654 -0.459  0.756 -0.612  0.787 -0.794  0.787 -0.990  0.699 -1.131  0.682 -1.309  0.486 -1.309  0.380 -1.398  0.184 -1.398  -0.011 -1.398  -0.160 -1.346  -0.303 -1.265  -0.417 -1.131  -0.545 -1.039  -0.526 -0.844  -0.507 -0.650  -0.488 -0.455  -0.469 -0.261  -0.450 -0.066  -0.431 0.128  -0.412 0.322  -0.393 0.517  -0.374 0.711  -0.354 0.906  -0.335 1.100  -0.343 1.158  -0.296 1.134  -0.101 1.134  0.095 1.134  0.246 1.089  0.441 1.089  0.592 1.045  0.788 1.045  0.965 1.000
2#tos#t1#t1009064/6  0.445 1.690  0.373 1.591  0.250 1.541  0.128 1.491  0.006 1.441  -0.067 1.342  -0.146 1.213  -0.203 1.091  -0.302 1.019  -0.352 0.897  -0.414 0.763  -0.502 0.664  -0.551 0.541  -0.601 0.390  -0.651 0.268  -0.651 0.095  -0.651 -0.077  -0.651 -0.249  -0.651 -0.421  -0.651 -0.593  -0.637 -0.751  -0.601 -0.888  -0.502 -0.989  -0.390 -1.050  -0.218 -1.050  -0.146 -1.150  -0.003 -1.180  0.149 -1.200  0.271 -1.150  0.395 -1.102  0.545 -1.079  0.588 -0.950  0.744 -0.896  0.821 -0.801  0.894 -0.701  0.894 -0.529  0.894 -0.357  0.894 -0.185  0.803 -0.103  0.730 -0.004  0.595 0.062  0.456 0.096  0.296 0.107  0.162 0.146  0.040 0.196  -0.103 0.225  -0.252 0.243  -0.370 0.178  -0.502 0.119  -0.601 0.046
2#tos#t1#t1009064/7  -0.712 0.550  -0.864 0.546  -0.864 0.389  -0.864 0.232  -0.864 0.075  -0.930 -0.041  -0.965 -0.176  -0.944 -0.312  -0.885 -0.188  -0.848 -0.035  -0.812 0.117  -0.776 0.270  -0.739 0.423  -0.703 0.575  -0.667 0.728  -0.780 0.702  -0.689 0.702  -0.532 0.702  -0.375 0.702  -0.218 0.702  -0.062 0.702  0.095 0.702  0.252 0.702  0.409 0.702  0.566 0.702  0.723 0.702  0.872 0.671  0.974 0.601  1.080 0.550  1.042 0.500  0.962 0.423  0.911 0.316  0.860 0.181  0.792 0.085  0.658 0.031  0.641 -0.109  0.505 -0.160  0.505 -0.317  0.495 -0.464  0.353 -0.518  0.353 -0.675  0.353 -0.832  0.252 -0.887  0.230 -1.022  0.201 -1.150  0.201 -1.307  0.201 -1.464  0.201 -1.621  0.201 -1.778  0.201 -1.934
2#tos#t1#t1009064/8  0.627 1.260  0.403 1.210  0.220 1.260  -0.013 1.260  -0.242 1.247  -0.416 1.161  -0.549 1.061  -0.633 0.912  -0.806 0.770  -0.813 0.540  -0.714 0.407  -0.571 0.316  -0.360 0.267  -0.177 0.217  -0.068 0.093  0.139 0.068  0.329 0.025  0.455 -0.081  0.589 -0.180  0.672 -0.329  0.726 -0.507  0.776 -0.690  0.726 -0.873  0.587 -1.024  0.454 -1.124  0.329 -1.231  0.138 -1.273  -0.045 -1.322  -0.277 -1.322  -0.510 -1.322  -0.664 -1.244  -0.763 -1.111  -0.863 -0.977  -0.912 -0.794  -0.843 -0.587  -0.714 -0.461  -0.614 -0.328  -0.530 -0.180  -0.347 -0.131  -0.114 -0.131  0.069 -0.081  0.237 0.025  0.431 0.118  0.577 0.204  0.642 0.381  0.726 0.549  0.776 0.732  0.774 0.962  0.677 1.098  0.478 1.161
2#tos#t1#t1009064/9  0.568 0.517  0.489 0.369  0.421 0.223  0.321 0.137  0.248 0.024  0.161 -0.075  0.025 -0.124  -0.161 -0.124  -0.347 -0.124  -0.532 -0.124  -0.717 -0.121  -0.813 -0.004  -0.871 0.123  -0.961 0.257  -0.961 0.442  -0.949 0.616  -0.862 0.715  -0.786 0.840  -0.709 0.964  -0.534 1.010  -0.468 1.129  -0.311 1.158  -0.125 1.158  0.061 1.158  0.226 1.109  0.313 1.010  0.423 0.885  0.568 0.827  0.640 0.714  0.716 0.575  0.765 0.439  0.814 0.302  0.814 0.117  0.716 0.030  0.716 -0.156  0.653 -0.303  0.571 -0.420  0.484 -0.518  0.446 -0.666  0.371 -0.777  0.321 -0.913  0.233 -1.040  0.109 -1.110  0.072 -1.258  -0.073 -1.299  -0.201 -1.357  -0.288 -1.455  -0.404 -1.554  -0.527 -1.624  -0.665 -1.702
2#tos#t1#t1009064/H  -0.812 1.089  -0.936 1.031  -0.936 0.848  -0.936 0.665  -0.895 0.499  -0.895 0.316  -0.895 0.133  -0.895 -0.050  -0.895 -0.233  -0.895 -0.416  -0.895 -0.599  -0.895 -0.782  -0.936 -0.923  -0.910 -0.874  -0.869 -0.696  -0.827 -0.517  -0.786 -0.339  -0.745 -0.161  -0.704 0.018  -0.772 0.028  -0.771 -0.033  -0.588 -0.033  -0.405 -0.033  -0.249 0.011  -0.091 0.050  0.092 0.050  0.275 0.050  0.458 0.050  0.641 0.050  0.824 0.050  0.887 0.165  0.880 0.348  0.872 0.531  0.865 0.714  0.857 0.897  0.819 1.048  0.809 0.933  0.809 0.750  0.809 0.567  0.809 0.384  0.809 0.201  0.809 0.018  0.816 -0.157  0.851 -0.306  0.851 -0.489  0.851 -0.672  0.892 -0.814  0.934 -0.955  0.934 -1.138  0.975 -1.279
2#tos#t1#t1009064/J  -0.379 1.135  -0.505 1.135  -0.507 1.012  -0.387 1.007  -0.262 1.007  -0.136 1.007  -0.011 1.007  0.114 1.007  0.239 1.007  0.322 0.965  0.447 0.965  0.573 0.965  0.698 0.965  0.718 0.965  0.593 0.965  0.467 0.965  0.347 0.937  0.302 0.844  0.302 0.719  0.302 0.593  0.334 0.476  0.360 0.368  0.387 0.270  0.387 0.145  0.387 0.020  0.387 -0.105  0.387 -0.231  0.387 -0.356  0.387 -0.481  0.345 -0.564  0.345 -0.689  0.345 -0.814  0.279 -0.899  0.217 -0.970  0.159 -1.037  0.119 -1.122  -0.003 -1.129  -0.114 -1.165  -0.239 -1.165  -0.365 -1.165  -0.464 -1.139  -0.530 -1.080  -0.645 -1.037  -0.685 -0.952  -0.768 -0.909  -0.848 -0.864  -0.891 -0.781  -0.933 -0.674  -0.990 -0.597  -0.976 -0.526
2#tos#t1#t1009064/M  -0.811 0.687  -0.941 0.553  -0.941 0.288  -0.941 0.023  -0.984 -0.198  -0.984 -0.463  -0.984 -0.727  -0.984 -0.992  -0.984 -1.257  -0.966 -1.184  -0.938 -0.921  -0.910 -0.657  -0.882 -0.394  -0.854 -0.131  -0.826 0.132  -0.798 0.396  -0.770 0.659  -0.914 0.600  -0.724 0.526  -0.551 0.384  -0.417 0.253  -0.195 0.210  -0.104 0.036  0.101 -0.057  0.249 -0.149  0.384 0.078  0.519 0.306  0.653 0.534  0.788 0.762  0.638 0.644  0.535 0.449  0.354 0.340  0.274 0.155  0.187 -0.023  0.173 -0.015  0.352 0.180  0.531 0.375  0.710 0.571  0.889 0.766  1.037 0.948  0.969 0.752  0.969 0.487  1.012 0.266  1.012 0.001  1.012 -0.264  1.012 -0.528  1.012 -0.793  1.012 -0.996  1.012 -1.261  1.012 -1.352
2#tos#t1#t1009064/N  -0.870 0.954  -0.999 0.763  -0.956 0.536  -0.944 0.297  -0.913 0.065  -0.913 -0.180  -0.913 -0.425  -0.913 -0.669  -0.913 -0.914  -0.870 -1.116  -0.860 -1.120  -0.840 -0.876  -0.820 -0.633  -0.801 -0.389  -0.781 -0.145  -0.761 0.099  -0.741 0.343  -0.721 0.587  -0.701 0.831  -0.862 0.825  -0.730 0.696  -0.532 0.635  -0.385 0.491  -0.268 0.355  -0.108 0.247  0.030 0.100  0.203 -0.030  0.340 -0.164  0.464 -0.286  0.593 -0.401  0.687 -0.552  0.851 -0.665  0.937 -0.796  0.937 -0.551  0.937 -0.306  0.937 -0.062  0.937 0.183  0.937 0.428  0.937 0.672  0.937 0.917  0.816 1.040  0.830 0.825  0.851 0.602  0.851 0.357  0.851 0.112  0.808 -0.089  0.808 -0.334  0.851 -0.536  0.894 -0.737  0.894 -0.982
2#tos#t1#t1009064/Q  0.111 -0.744  -0.027 -0.865  -0.245 -0.825  -0.463 -0.784  -0.620 -0.682  -0.767 -0.556  -0.882 -0.341  -0.985 -0.138  -1.026 0.104  -1.107 0.282  -1.107 0.541  -1.067 0.783  -0.945 0.920  -0.808 1.042  -0.630 1.124  -0.453 1.205  -0.227 1.286  0.015 1.327  0.233 1.367  0.443 1.312  0.598 1.183  0.719 1.046  0.841 0.909  0.942 0.739  0.989 0.515  1.004 0.271  1.004 0.012  0.882 -0.157  0.773 -0.338  0.653 -0.500  0.492 -0.622  0.314 -0.703  0.096 -0.744  -0.122 -0.784  -0.341 -0.744  -0.357 -0.643  -0.336 -0.573  -0.539 -0.533  -0.580 -0.291  -0.518 -0.094  -0.309 -0.013  -0.091 0.028  0.151 0.011  0.336 -0.076  0.457 -0.257  0.517 -0.456  0.557 -0.674  0.638 -0.852  0.785 -0.987  1.004 -1.028
2#tos#t1#t1009064/R  -0.546 0.961  -0.653 0.891  -0.653 0.607  -0.653 0.324  -0.653 0.040  -0.683 -0.213  -0.706 -0.474  -0.706 -0.758  -0.706 -1.041  -0.706 -1.325  -0.649 -1.220  -0.643 -0.936  -0.637 -0.652  -0.630 -0.369  -0.624 -0.085  -0.618 0.198  -0.611 0.482  -0.605 0.766  -0.634 1.015  -0.837 0.961  -0.567 0.994  -0.314 1.068  -0.084 1.121  0.200 1.121  0.480 1.100  0.735 1.000  0.842 0.823  1.002 0.699  1.002 0.415  0.895 0.239  0.767 0.043  0.609 -0.126  0.346 -0.200  0.073 -0.235  -0.198 -0.266  -0.375 -0.373  -0.648 -0.371  -0.383 -0.270  -0.118 -0.169  0.147 -0.068  0.412 0.033  0.351 -0.053  0.468 -0.196  0.628 -0.320  0.792 -0.480  0.948 -0.608  1.055 -0.785  1.248 -0.907  1.359 -1.121  1.482 -1.281
2#tos#t1#t1009064/S  0.697 1.414  0.604 1.370  0.609 1.193  0.609 1.012  0.609 0.830  0.609 0.648  0.521 0.693  0.445 0.799  0.308 0.843  0.214 0.931  0.082 0.981  -0.062 1.019  -0.243 1.019  -0.425 1.019  -0.577 0.990  -0.656 0.887  -0.665 0.714  -0.753 0.620  -0.709 0.483  -0.665 0.345  -0.574 0.228  -0.455 0.141  -0.273 0.141  -0.135 0.097  0.044 0.090  0.210 0.053  0.348 0.009  0.485 -0.035  0.579 -0.123  0.673 -0.211  0.728 -0.362  0.784 -0.496  0.740 -0.660  0.697 -0.798  0.601 -0.922  0.526 -1.065  0.394 -1.133  0.257 -1.177  0.075 -1.177  -0.107 -1.177  -0.270 -1.158  -0.426 -1.133  -0.489 -1.015  -0.577 -0.887  -0.665 -0.793  -0.709 -0.630  -0.753 -0.632  -0.753 -0.814  -0.753 -0.995  -0.753 -1.177
2#tos#t1#t1009064/T  -1.306 0.662  -1.394 0.610  -1.411 0.558  -1.270 0.558  -1.130 0.558  -0.989 0.558  -0.848 0.558  -0.715 0.524  -0.579 0.506  -0.438 0.506  -0.297 0.506  -0.156 0.506  -0.015 0.506  0.113 0.453  0.254 0.453  0.395 0.453  0.536 0.453  0.676 0.453  0.817 0.453  0.906 0.401  1.047 0.401  1.187 0.401  1.230 0.350  1.089 0.356  0.948 0.362  0.808 0.368  0.667 0.375  0.526 0.381  0.386 0.387  0.245 0.393  0.104 0.399  -0.037 0.401  -0.073 0.297  -0.105 0.188  -0.105 0.047  -0.053 -0.042  -0.053 -0.182  -0.053 -0.323  -0.053 -0.464  -0.053 -0.605  -0.053 -0.746  -0.053 -0.886  -0.053 -1.027  -0.053 -1.168  -0.070 -1.305  -0.105 -1.437  -0.105 -1.578  -0.105 -1.719  -0.105 -1.860  -0.105 -2.001
2#tos#t1#t1009064/X  -0.979 1.252  -1.141 1.202  -1.087 1.045  -0.979 0.911  -0.913 0.766  -0.763 0.663  -0.655 0.560  -0.492 0.439  -0.350 0.316  -0.255 0.172  -0.128 0.023  -0.052 -0.152  0.079 -0.292  0.214 -0.422  0.317 -0.530  0.424 -0.633  0.478 -0.790  0.586 -0.893  0.694 -1.038  0.802 -1.141  0.851 -1.057  0.841 -0.846  0.832 -0.636  0.822 -0.425  0.812 -0.214  0.803 -0.003  0.793 0.208  0.784 0.418  0.774 0.629  0.765 0.840  0.755 1.051  0.703 1.152  0.572 1.036  0.474 0.919  0.354 0.749  0.240 0.613  0.155 0.463  0.032 0.334  -0.007 0.162  -0.142 0.065  -0.207 -0.117  -0.396 -0.173  -0.439 -0.374  -0.494 -0.531  -0.655 -0.612  -0.763 -0.715  -0.852 -0.889  -0.979 -1.016  -1.087 -1.151  -1.141 -1.339
