3#apa#apa03#app0325/B  -0.702 1.013  -0.573 1.070  -0.573 0.816  -0.573 0.563  -0.573 0.309  -0.573 0.056  -0.573 -0.198  -0.573 -0.451  -0.573 -0.705  -0.573 -0.958  -0.573 -1.133  -0.597 -0.881  -0.633 -0.630  -0.668 -0.379  -0.704 -0.128  -0.740 0.123  -0.776 0.374  -0.812 0.625  -0.710 0.756  -0.585 0.885  -0.445 0.998  -0.206 1.013  0.016 1.088  0.247 1.142  0.501 1.142  0.742 1.112  0.841 0.899  0.712 0.774  0.546 0.590  0.366 0.410  0.198 0.302  0.005 0.242  -0.059 0.174  0.127 0.242  0.252 0.113  0.505 0.113  0.630 -0.015  0.755 -0.144  0.880 -0.272  1.098 -0.308  1.098 -0.562  1.069 -0.787  0.944 -0.915  0.819 -1.044  0.694 -1.172  0.455 -1.187  0.316 -1.301  0.062 -1.301  -0.191 -1.301  -0.316 -1.172
3#apa#apa03#app0325/t  0.725 1.894  0.586 1.854  0.530 1.699  0.448 1.555  0.448 1.377  0.445 1.201  0.309 1.159  0.309 0.981  0.309 0.802  0.293 0.631  0.170 0.503  0.170 0.325  0.170 0.147  0.170 -0.032  0.170 -0.210  0.170 -0.388  0.170 -0.567  0.170 -0.745  0.170 -0.923  0.170 -1.102  0.170 -1.280  0.196 -1.433  0.309 -1.498  0.248 -1.486  0.144 -1.340  0.041 -1.195  -0.063 -1.050  -0.167 -0.905  -0.270 -0.760  -0.374 -0.615  -0.478 -0.470  -0.581 -0.325  -0.685 -0.180  -0.789 -0.035  -0.892 0.110  -0.996 0.256  -1.077 0.331  -0.999 0.231  -0.821 0.231  -0.781 0.092  -0.603 0.092  -0.424 0.092  -0.246 0.092  -0.068 0.092  0.110 0.092  0.289 0.092  0.467 0.092  0.645 0.092  0.725 0.191  0.863 0.231
3#apa#apa03#app0325/h  -0.211 2.079  -0.211 1.927  -0.211 1.774  -0.211 1.622  -0.211 1.470  -0.211 1.318  -0.262 1.187  -0.331 1.064  -0.331 0.912  -0.331 0.760  -0.331 0.608  -0.331 0.456  -0.373 0.314  -0.441 0.178  -0.452 0.028  -0.452 -0.124  -0.452 -0.276  -0.498 -0.417  -0.566 -0.553  -0.572 -0.704  -0.572 -0.856  -0.572 -1.008  -0.572 -1.160  -0.552 -1.265  -0.452 -1.155  -0.422 -1.015  -0.315 -0.907  -0.211 -0.798  -0.185 -0.657  -0.091 -0.544  -0.054 -0.407  0.029 -0.289  0.076 -0.157  0.149 -0.035  0.206 0.093  0.313 0.201  0.389 0.322  0.466 0.397  0.509 0.288  0.629 0.257  0.629 0.104  0.689 -0.023  0.750 -0.150  0.819 -0.273  0.870 -0.404  0.870 -0.556  0.870 -0.708  0.870 -0.860  0.870 -1.012  0.990 -1.044
3#apa#apa03#app0325/a  0.450 0.980  0.450 1.156  0.288 1.170  0.112 1.170  -0.064 1.170  -0.240 1.170  -0.310 1.064  -0.402 0.980  -0.500 0.902  -0.545 0.745  -0.670 0.620  -0.794 0.496  -0.880 0.356  -0.909 0.191  -1.033 0.067  -1.070 -0.094  -1.070 -0.270  -1.070 -0.446  -1.070 -0.622  -1.003 -0.731  -0.880 -0.784  -0.853 -0.948  -0.728 -1.073  -0.568 -1.111  -0.424 -1.034  -0.295 -0.921  -0.119 -0.920  0.006 -0.795  0.130 -0.671  0.255 -0.546  0.379 -0.422  0.503 -0.298  0.628 -0.173  0.640 -0.002  0.640 0.174  0.733 0.312  0.831 0.447  0.831 0.623  0.831 0.781  0.831 0.605  0.831 0.429  0.831 0.252  0.767 0.092  0.688 -0.066  0.640 -0.231  0.640 -0.407  0.640 -0.583  0.640 -0.759  0.640 -0.935  0.640 -1.111
3#apa#apa03#app0325/t  0.634 1.977  0.634 1.857  0.581 1.750  0.528 1.642  0.512 1.526  0.512 1.406  0.455 1.309  0.389 1.216  0.389 1.096  0.389 0.976  0.389 0.856  0.376 0.741  0.291 0.656  0.267 0.546  0.267 0.426  0.267 0.306  0.232 0.194  0.178 0.087  0.145 -0.026  0.145 -0.146  0.145 -0.266  0.117 -0.374  0.032 -0.459  0.023 -0.575  0.023 -0.696  0.023 -0.816  -0.049 -0.906  -0.100 -1.005  -0.100 -1.125  -0.100 -1.245  -0.100 -1.366  -0.115 -1.410  -0.161 -1.300  -0.207 -1.189  -0.253 -1.078  -0.300 -0.967  -0.346 -0.856  -0.392 -0.745  -0.438 -0.634  -0.484 -0.523  -0.531 -0.413  -0.577 -0.302  -0.623 -0.191  -0.669 -0.080  -0.700 0.021  -0.580 0.021  -0.460 0.021  -0.340 0.021  -0.220 0.021  -0.100 0.021
3#apa#apa03#app0325/d  0.764 1.896  0.764 1.717  0.731 1.545  0.651 1.385  0.621 1.213  0.621 1.034  0.590 0.867  0.478 0.734  0.460 0.558  0.403 0.388  0.347 0.218  0.336 0.041  0.336 -0.139  0.336 -0.318  0.336 -0.497  0.336 -0.664  0.336 -0.484  0.336 -0.305  0.336 -0.126  0.336 0.053  0.336 0.232  0.336 0.412  0.251 0.556  0.095 0.613  -0.084 0.613  -0.263 0.613  -0.423 0.567  -0.558 0.451  -0.718 0.371  -0.805 0.245  -0.889 0.101  -0.947 -0.054  -1.081 -0.100  -1.090 -0.270  -1.090 -0.449  -1.090 -0.628  -1.090 -0.808  -0.967 -0.936  -0.840 -1.062  -0.675 -1.098  -0.496 -1.098  -0.334 -1.055  -0.197 -0.955  -0.017 -0.955  0.129 -0.877  0.282 -0.813  0.461 -0.813  0.623 -0.740  0.779 -0.654  0.906 -0.527
3#apa#apa03#app0325/i  0.188 0.654  0.188 0.527  0.135 0.422  0.045 0.331  0.009 0.219  -0.002 0.094  -0.059 -0.020  -0.116 -0.134  -0.170 -0.249  -0.170 -0.376  -0.254 -0.420  -0.349 -0.452  -0.349 -0.580  -0.349 -0.707  -0.349 -0.834  -0.349 -0.962  -0.349 -1.089  -0.349 -1.217  -0.349 -1.344  -0.349 -1.472  -0.243 -1.494  -0.161 -1.440  -0.141 -1.315  -0.122 -1.189  -0.102 -1.063  -0.082 -0.937  -0.062 -0.811  -0.042 -0.685  -0.022 -0.559  -0.002 -0.433  0.018 -0.308  0.037 -0.182  0.057 -0.056  0.077 0.070  0.097 0.196  0.117 0.322  0.137 0.448  0.157 0.573  0.177 0.699  0.196 0.825  0.216 0.951  0.236 1.077  0.256 1.203  0.276 1.329  0.296 1.455  0.316 1.580  0.336 1.706  0.355 1.832  0.419 1.907  0.546 1.907
3#apa#apa03#app0325/s  0.427 1.275  0.304 1.275  0.181 1.275  0.059 1.275  -0.064 1.275  -0.154 1.242  -0.154 1.120  -0.239 1.082  -0.362 1.082  -0.485 1.082  -0.542 1.016  -0.542 0.893  -0.660 0.888  -0.736 0.841  -0.736 0.718  -0.736 0.595  -0.716 0.480  -0.629 0.393  -0.542 0.307  -0.419 0.306  -0.296 0.306  -0.173 0.306  -0.154 0.203  -0.121 0.113  0.002 0.113  0.100 0.053  0.187 -0.034  0.274 -0.121  0.360 -0.208  0.456 -0.275  0.578 -0.275  0.621 -0.355  0.628 -0.475  0.715 -0.562  0.802 -0.649  0.741 -0.736  0.654 -0.823  0.621 -0.932  0.616 -1.050  0.493 -1.050  0.370 -1.050  0.248 -1.050  0.233 -1.159  0.196 -1.244  0.073 -1.244  -0.050 -1.244  -0.173 -1.244  -0.296 -1.244  -0.419 -1.244  -0.542 -1.244
3#apa#apa03#app0325/a  0.253 0.834  0.072 0.834  -0.109 0.834  -0.290 0.834  -0.471 0.834  -0.652 0.834  -0.767 0.767  -0.798 0.599  -0.926 0.471  -1.054 0.343  -1.175 0.212  -1.175 0.031  -1.175 -0.150  -1.175 -0.331  -1.175 -0.512  -1.077 -0.595  -0.971 -0.671  -0.934 -0.836  -0.806 -0.964  -0.641 -1.003  -0.490 -0.930  -0.362 -0.802  -0.182 -0.799  -0.155 -0.645  -0.024 -0.595  0.049 -0.487  0.134 -0.391  0.253 -0.329  0.253 -0.148  0.264 0.029  0.392 0.157  0.457 0.311  0.504 0.473  0.632 0.601  0.661 0.770  0.661 0.951  0.756 1.038  0.865 0.966  0.865 0.785  0.865 0.604  0.865 0.423  0.865 0.242  0.865 0.061  0.865 -0.120  0.865 -0.302  0.865 -0.483  0.865 -0.664  0.865 -0.845  0.865 -1.026  0.865 -1.207
3#apa#apa03#app0325/s  0.117 1.034  0.117 1.143  0.105 1.240  -0.003 1.240  -0.112 1.240  -0.220 1.240  -0.329 1.240  -0.437 1.240  -0.533 1.208  -0.610 1.132  -0.687 1.055  -0.707 0.955  -0.707 0.846  -0.707 0.738  -0.707 0.629  -0.707 0.521  -0.703 0.416  -0.595 0.416  -0.501 0.401  -0.501 0.292  -0.475 0.210  -0.366 0.210  -0.295 0.172  -0.295 0.064  -0.247 0.004  -0.138 0.004  -0.047 -0.038  0.030 -0.115  0.106 -0.192  0.117 -0.296  0.117 -0.405  0.222 -0.408  0.323 -0.416  0.323 -0.525  0.342 -0.614  0.450 -0.614  0.529 -0.644  0.529 -0.753  0.570 -0.820  0.679 -0.820  0.735 -0.873  0.735 -0.981  0.735 -1.090  0.735 -1.198  0.659 -1.232  0.551 -1.232  0.529 -1.318  0.529 -1.427  0.431 -1.438  0.323 -1.438
3#apa#apa03#app0325/t  0.550 1.576  0.684 1.559  0.560 1.435  0.550 1.265  0.527 1.101  0.403 0.978  0.391 0.807  0.313 0.651  0.250 0.491  0.225 0.323  0.147 0.167  0.099 0.004  0.099 -0.170  0.099 -0.345  0.099 -0.519  0.026 -0.676  -0.051 -0.832  -0.051 -1.007  -0.051 -1.181  -0.051 -1.355  0.019 -1.501  0.099 -1.642  0.065 -1.653  -0.004 -1.494  -0.074 -1.334  -0.144 -1.174  -0.214 -1.015  -0.284 -0.855  -0.354 -0.695  -0.424 -0.535  -0.494 -0.376  -0.563 -0.216  -0.633 -0.056  -0.703 0.103  -0.773 0.263  -0.843 0.423  -0.913 0.583  -0.900 0.621  -0.766 0.524  -0.592 0.524  -0.417 0.524  -0.243 0.524  -0.069 0.524  0.106 0.524  0.280 0.524  0.454 0.524  0.629 0.524  0.803 0.524  0.977 0.524  1.152 0.524
3#apa#apa03#app0325/e  -0.498 0.150  -0.336 0.150  -0.287 0.037  -0.223 -0.060  -0.062 -0.060  0.100 -0.060  0.262 -0.060  0.400 -0.004  0.514 0.111  0.659 0.150  0.764 0.207  0.764 0.369  0.764 0.530  0.764 0.692  0.764 0.854  0.747 1.008  0.633 1.122  0.504 1.202  0.342 1.202  0.181 1.202  0.019 1.202  -0.077 1.136  -0.094 0.991  -0.255 0.991  -0.417 0.991  -0.498 0.910  -0.520 0.758  -0.635 0.644  -0.708 0.513  -0.708 0.351  -0.708 0.190  -0.708 0.028  -0.708 -0.133  -0.708 -0.295  -0.708 -0.457  -0.708 -0.618  -0.645 -0.754  -0.531 -0.868  -0.383 -0.901  -0.287 -0.967  -0.270 -1.111  -0.108 -1.111  0.053 -1.111  0.133 -1.193  0.166 -1.321  0.328 -1.321  0.489 -1.321  0.651 -1.321  0.813 -1.321  0.974 -1.321
3#apa#apa03#app0325/r  -0.426 0.782  -0.426 0.641  -0.426 0.499  -0.426 0.358  -0.426 0.217  -0.426 0.076  -0.426 -0.065  -0.426 -0.206  -0.426 -0.347  -0.426 -0.488  -0.426 -0.629  -0.426 -0.771  -0.426 -0.912  -0.426 -1.053  -0.426 -1.194  -0.426 -1.335  -0.426 -1.476  -0.426 -1.399  -0.426 -1.258  -0.426 -1.117  -0.426 -0.976  -0.426 -0.835  -0.426 -0.693  -0.426 -0.552  -0.426 -0.411  -0.426 -0.270  -0.426 -0.129  -0.426 0.012  -0.426 0.153  -0.341 0.209  -0.236 0.245  -0.236 0.386  -0.236 0.527  -0.159 0.591  -0.045 0.618  -0.045 0.759  0.074 0.782  0.215 0.782  0.356 0.782  0.497 0.782  0.638 0.782  0.779 0.782  0.921 0.782  1.062 0.782  1.192 0.736  1.318 0.673  1.444 0.609  1.581 0.591  1.722 0.591  1.863 0.591
3#apa#apa03#app0325/s  0.415 0.323  0.415 0.451  0.415 0.579  0.415 0.707  0.415 0.835  0.415 0.963  0.312 0.988  0.249 1.053  0.222 1.155  0.094 1.155  -0.034 1.155  -0.162 1.155  -0.251 1.115  -0.252 0.988  -0.380 0.988  -0.508 0.988  -0.584 0.936  -0.594 0.812  -0.684 0.721  -0.750 0.620  -0.750 0.492  -0.662 0.401  -0.566 0.323  -0.438 0.323  -0.417 0.215  -0.348 0.156  -0.251 0.125  -0.251 -0.003  -0.130 -0.010  -0.084 -0.093  -0.040 -0.177  0.086 -0.181  0.177 -0.271  0.268 -0.362  0.358 -0.453  0.436 -0.552  0.494 -0.667  0.551 -0.781  0.581 -0.902  0.581 -1.030  0.581 -1.159  0.503 -1.254  0.412 -1.345  0.321 -1.435  0.223 -1.508  0.095 -1.508  -0.033 -1.508  -0.161 -1.508  -0.289 -1.508  -0.417 -1.508
3#apa#apa03#app0325/t  0.519 1.848  0.616 1.848  0.451 1.780  0.374 1.618  0.241 1.558  0.147 1.396  0.083 1.217  0.083 1.024  0.082 0.831  -0.054 0.694  -0.062 0.504  -0.062 0.310  -0.062 0.117  -0.062 -0.077  -0.122 -0.245  -0.207 -0.404  -0.207 -0.597  -0.207 -0.791  -0.135 -0.911  -0.062 -1.032  -0.038 -1.202  0.083 -1.274  0.204 -1.347  0.397 -1.347  0.591 -1.347  0.579 -1.262  0.442 -1.125  0.306 -0.989  0.169 -0.852  0.032 -0.715  -0.105 -0.578  -0.242 -0.441  -0.379 -0.305  -0.515 -0.168  -0.652 -0.031  -0.789 0.106  -0.926 0.243  -1.063 0.380  -0.958 0.275  -0.779 0.241  -0.642 0.105  -0.448 0.105  -0.255 0.105  -0.061 0.105  0.132 0.105  0.326 0.105  0.519 0.105  0.713 0.105  0.906 0.105  1.100 0.105
3#apa#apa03#app0325/r  -0.319 0.732  -0.319 0.590  -0.227 0.540  -0.127 0.498  -0.127 0.356  -0.127 0.214  -0.127 0.072  -0.127 -0.070  -0.127 -0.212  -0.127 -0.354  -0.127 -0.496  -0.127 -0.638  -0.127 -0.780  -0.127 -0.921  -0.127 -1.063  -0.127 -1.205  -0.127 -1.347  -0.127 -1.489  -0.188 -1.571  -0.319 -1.561  -0.319 -1.419  -0.319 -1.277  -0.319 -1.135  -0.319 -0.993  -0.319 -0.851  -0.319 -0.709  -0.319 -0.567  -0.319 -0.425  -0.319 -0.283  -0.319 -0.141  -0.319 0.001  -0.319 0.142  -0.319 0.284  -0.319 0.426  -0.299 0.560  -0.199 0.660  -0.127 0.773  -0.127 0.915  0.005 0.924  0.123 0.982  0.223 1.083  0.352 1.116  0.494 1.116  0.636 1.116  0.778 1.116  0.919 1.116  1.061 1.116  1.203 1.116  1.307 1.024  1.408 0.924
3#apa#apa03#app0325/u  -1.002 0.863  -1.002 0.722  -1.002 0.580  -1.080 0.471  -1.159 0.363  -1.159 0.222  -1.159 0.081  -1.159 -0.060  -1.159 -0.202  -1.159 -0.343  -1.066 -0.391  -1.002 -0.468  -1.002 -0.609  -0.956 -0.704  -0.815 -0.704  -0.674 -0.704  -0.533 -0.704  -0.433 -0.605  -0.333 -0.505  -0.233 -0.405  -0.098 -0.391  -0.062 -0.286  0.001 -0.171  0.095 -0.068  0.095 0.073  0.190 0.175  0.251 0.290  0.269 0.427  0.332 0.554  0.395 0.680  0.487 0.785  0.587 0.885  0.687 0.985  0.814 1.019  0.878 0.943  0.878 0.802  0.878 0.660  0.878 0.519  0.878 0.378  0.878 0.237  0.878 0.096  0.878 -0.045  0.878 -0.186  0.878 -0.328  0.878 -0.469  0.878 -0.610  0.878 -0.751  0.878 -0.892  0.878 -1.033  0.878 -1.174
3#apa#apa03#app0325/c  0.714 1.020  0.714 1.114  0.713 1.206  0.619 1.206  0.526 1.206  0.433 1.206  0.343 1.203  0.343 1.109  0.338 1.020  0.245 1.020  0.152 1.020  0.058 1.020  -0.028 1.014  -0.028 0.920  -0.036 0.835  -0.129 0.835  -0.214 0.826  -0.214 0.732  -0.214 0.639  -0.214 0.546  -0.222 0.456  -0.288 0.390  -0.354 0.324  -0.399 0.249  -0.399 0.156  -0.399 0.063  -0.399 -0.031  -0.399 -0.124  -0.399 -0.217  -0.399 -0.311  -0.399 -0.404  -0.384 -0.494  -0.342 -0.577  -0.301 -0.661  -0.259 -0.744  -0.217 -0.828  -0.214 -0.920  -0.214 -1.013  -0.127 -1.020  -0.034 -1.020  -0.028 -1.108  -0.028 -1.201  0.061 -1.206  0.154 -1.206  0.157 -1.296  0.157 -1.389  0.248 -1.391  0.342 -1.391  0.435 -1.391  0.528 -1.391
3#apa#apa03#app0325/k  0.113 2.027  0.113 1.814  0.113 1.600  0.008 1.429  -0.051 1.241  -0.051 1.027  -0.051 0.813  -0.051 0.600  -0.213 0.548  -0.216 0.337  -0.216 0.123  -0.319 -0.048  -0.380 -0.236  -0.380 -0.450  -0.380 -0.664  -0.458 -0.845  -0.544 -1.023  -0.544 -1.237  -0.535 -1.400  -0.455 -1.201  -0.376 -1.003  -0.297 -0.805  -0.217 -0.606  -0.138 -0.408  -0.058 -0.210  0.021 -0.011  0.100 0.187  0.180 0.386  0.259 0.584  0.338 0.782  0.418 0.981  0.293 1.041  0.113 1.007  0.030 0.877  -0.184 0.877  -0.216 0.695  -0.216 0.481  -0.216 0.268  -0.216 0.054  -0.180 -0.145  -0.051 -0.305  0.030 -0.438  0.171 -0.555  0.267 -0.746  0.412 -0.901  0.563 -1.052  0.714 -1.203  0.904 -1.260  0.948 -1.437  1.099 -1.589
