1d#ced#sncn4237/:  -0.556 0.911  -0.514 0.912  -0.431 0.951  -0.332 0.951  -0.312 0.950  -0.272 0.951  -0.231 0.892  -0.227 0.870  -0.286 0.829  -0.345 0.870  -0.376 0.956  -0.393 1.052  -0.353 1.134  -0.285 1.182  -0.190 1.195  -0.109 1.153  -0.090 1.055  -0.072 0.957  -0.053 0.860  -0.034 0.762  -0.016 0.664  0.003 0.566  0.021 0.468  0.040 0.370  0.058 0.273  0.077 0.175  0.095 0.077  0.114 -0.021  0.133 -0.119  0.151 -0.217  0.170 -0.315  0.188 -0.412  0.207 -0.510  0.225 -0.608  0.244 -0.706  0.262 -0.804  0.281 -0.902  0.300 -0.999  0.318 -1.097  0.337 -1.195  0.297 -1.285  0.255 -1.365  0.176 -1.345  0.214 -1.284  0.297 -1.325  0.297 -1.424  0.297 -1.524  0.230 -1.514  0.136 -1.528  0.054 -1.487
1d#ced#sncn4237/'  -0.026 0.315  0.072 0.315  0.171 0.315  0.243 0.379  0.312 0.449  0.382 0.518  0.426 0.606  0.470 0.694  0.485 0.789  0.529 0.870  0.599 0.940  0.668 1.009  0.690 1.099  0.754 1.133  0.792 1.072  0.752 0.990  0.679 0.928  0.587 0.921  0.585 0.824  0.515 0.754  0.460 0.674  0.416 0.586  0.366 0.502  0.296 0.432  0.246 0.348  0.202 0.260  0.146 0.180  0.077 0.111  0.032 0.023  -0.012 -0.065  -0.056 -0.154  -0.100 -0.242  -0.153 -0.323  -0.223 -0.393  -0.292 -0.463  -0.362 -0.532  -0.432 -0.602  -0.501 -0.672  -0.559 -0.750  -0.603 -0.838  -0.645 -0.927  -0.676 -1.021  -0.707 -1.114  -0.739 -1.208  -0.803 -1.281  -0.873 -1.350  -0.943 -1.420  -1.012 -1.490  -1.082 -1.559  -1.152 -1.629
1d#ced#sncn4237/\"  -0.972 0.391  -0.957 0.478  -0.942 0.545  -0.955 0.531  -0.997 0.443  -1.031 0.352  -1.073 0.260  -1.127 0.174  -1.156 0.078  -1.087 0.130  -1.011 0.198  -0.934 0.266  -0.858 0.334  -0.781 0.402  -0.705 0.470  -0.628 0.538  -0.549 0.602  -0.467 0.651  -0.468 0.571  -0.515 0.480  -0.559 0.389  -0.589 0.291  -0.545 0.218  -0.451 0.176  -0.358 0.135  -0.264 0.093  -0.171 0.052  -0.077 0.010  0.017 -0.031  0.110 -0.073  0.204 -0.114  0.297 -0.156  0.391 -0.197  0.484 -0.239  0.578 -0.280  0.672 -0.322  0.765 -0.363  0.859 -0.405  0.952 -0.446  1.046 -0.488  1.139 -0.529  1.233 -0.571  1.327 -0.612  1.420 -0.654  1.514 -0.696  1.434 -0.659  1.348 -0.621  1.377 -0.606  1.480 -0.606  1.580 -0.590
1d#ced#sncn4237/=  -0.012 0.884  0.115 0.884  0.241 0.884  0.368 0.884  0.494 0.884  0.621 0.884  0.748 0.884  0.871 0.866  0.992 0.826  1.112 0.853  1.233 0.884  1.310 0.867  1.208 0.791  1.107 0.715  1.006 0.639  0.904 0.563  0.803 0.487  0.702 0.411  0.601 0.335  0.499 0.259  0.398 0.183  0.297 0.107  0.195 0.031  0.094 -0.045  -0.007 -0.121  -0.108 -0.197  -0.209 -0.274  -0.299 -0.363  -0.411 -0.396  -0.534 -0.421  -0.654 -0.461  -0.767 -0.518  -0.887 -0.560  -1.005 -0.605  -1.114 -0.667  -1.220 -0.716  -1.331 -0.755  -1.265 -0.780  -1.138 -0.780  -1.076 -0.716  -0.949 -0.716  -0.827 -0.689  -0.706 -0.652  -0.580 -0.652  -0.453 -0.652  -0.326 -0.652  -0.200 -0.652  -0.073 -0.652  0.053 -0.652  0.180 -0.652
1d#ced#sncn4237/\"  -0.691 -0.013  -0.595 0.091  -0.547 0.234  -0.499 0.348  -0.451 0.463  -0.362 0.597  -0.355 0.695  -0.424 0.589  -0.506 0.460  -0.611 0.338  -0.684 0.192  -0.757 0.047  -0.830 -0.099  -0.871 -0.256  -0.931 -0.406  -0.965 -0.561  -1.027 -0.709  -1.067 -0.862  -1.111 -1.008  -1.121 -1.163  -0.994 -1.060  -0.868 -0.957  -0.741 -0.855  -0.615 -0.752  -0.488 -0.650  -0.362 -0.547  -0.236 -0.445  -0.109 -0.342  0.017 -0.240  0.144 -0.137  0.270 -0.035  0.397 0.068  0.523 0.170  0.650 0.273  0.737 0.408  0.852 0.523  0.940 0.658  1.075 0.745  1.156 0.875  1.271 0.990  1.324 0.886  1.276 0.743  1.220 0.603  1.133 0.468  1.096 0.317  1.036 0.172  1.013 0.013  0.950 -0.137  0.895 -0.290  0.844 -0.444
1d#ced#sncn4237/$  0.760 0.536  0.916 0.707  0.965 0.932  0.748 1.035  0.500 1.020  0.252 0.989  0.004 0.949  -0.241 0.896  -0.475 0.807  -0.630 0.623  -0.548 0.393  -0.353 0.239  -0.147 0.097  0.052 -0.058  0.236 -0.227  0.423 -0.394  0.556 -0.604  0.605 -0.845  0.549 -1.082  0.373 -1.258  0.135 -1.333  -0.111 -1.378  -0.360 -1.358  -0.598 -1.286  -0.790 -1.136  -0.769 -0.899  -0.669 -0.669  -0.569 -0.438  -0.469 -0.207  -0.370 0.023  -0.270 0.254  -0.170 0.485  -0.070 0.716  -0.009 0.948  -0.004 1.198  -0.013 1.444  0.018 1.545  0.048 1.298  0.034 1.049  0.049 0.799  0.049 0.547  0.049 0.296  0.049 0.045  0.029 -0.206  0.013 -0.456  0.014 -0.707  0.029 -0.957  0.049 -1.207  0.061 -1.457  0.070 -1.708
1d#ced#sncn4237/,  -1.045 0.033  -1.045 0.134  -1.045 0.122  -1.045 0.044  -1.045 0.145  -1.045 0.246  -1.022 0.324  -0.922 0.324  -0.900 0.403  -0.876 0.493  -0.804 0.565  -0.724 0.614  -0.624 0.614  -0.609 0.701  -0.567 0.760  -0.467 0.760  -0.395 0.829  -0.323 0.900  -0.225 0.905  -0.124 0.905  -0.025 0.902  0.047 0.831  0.118 0.759  0.189 0.688  0.260 0.617  0.332 0.546  0.403 0.474  0.474 0.403  0.545 0.332  0.554 0.235  0.554 0.134  0.554 0.033  0.554 -0.067  0.579 -0.162  0.624 -0.252  0.669 -0.342  0.699 -0.436  0.699 -0.537  0.699 -0.638  0.679 -0.734  0.634 -0.824  0.589 -0.914  0.554 -1.006  0.554 -1.107  0.554 -1.208  0.554 -1.308  0.554 -1.409  0.554 -1.510  0.554 -1.611  0.554 -1.711
1d#ced#sncn4237/!  0.108 0.823  0.125 0.907  0.125 0.993  0.130 1.079  0.142 1.164  0.159 1.247  0.175 1.330  0.200 1.408  0.217 1.458  0.217 1.372  0.187 1.291  0.157 1.210  0.139 1.126  0.122 1.041  0.108 0.956  0.081 0.874  0.065 0.789  0.053 0.703  0.041 0.618  0.026 0.533  0.015 0.447  0.004 0.361  -0.008 0.276  -0.022 0.190  -0.026 0.104  -0.031 0.018  -0.043 -0.068  -0.051 -0.154  -0.059 -0.240  -0.067 -0.326  -0.076 -0.412  -0.084 -0.498  -0.092 -0.584  -0.100 -0.670  -0.109 -0.756  -0.117 -0.842  -0.125 -0.928  -0.133 -1.014  -0.142 -1.100  -0.150 -1.186  -0.158 -1.272  -0.143 -1.318  -0.109 -1.271  -0.042 -1.257  -0.052 -1.341  -0.062 -1.424  -0.112 -1.488  -0.166 -1.466  -0.176 -1.384  -0.143 -1.321
1d#ced#sncn4237/'  0.727 0.598  0.666 0.660  0.604 0.721  0.543 0.783  0.515 0.858  0.470 0.927  0.445 1.003  0.384 1.053  0.320 1.111  0.303 1.192  0.303 1.260  0.303 1.173  0.266 1.109  0.188 1.071  0.115 1.023  0.046 0.970  -0.004 0.902  -0.043 0.824  -0.082 0.746  -0.121 0.668  -0.160 0.590  -0.199 0.512  -0.238 0.435  -0.262 0.353  -0.262 0.266  -0.262 0.179  -0.262 0.092  -0.262 0.005  -0.276 -0.080  -0.304 -0.163  -0.331 -0.245  -0.333 -0.332  -0.333 -0.419  -0.319 -0.504  -0.292 -0.587  -0.264 -0.669  -0.262 -0.756  -0.262 -0.843  -0.249 -0.928  -0.221 -1.011  -0.193 -1.093  -0.155 -1.171  -0.118 -1.250  -0.090 -1.332  -0.063 -1.415  -0.050 -1.500  -0.050 -1.587  -0.005 -1.661  0.043 -1.733  0.091 -1.806
1d#ced#sncn4237/'  -0.730 0.104  -0.656 0.178  -0.581 0.253  -0.507 0.327  -0.434 0.402  -0.434 0.507  -0.434 0.612  -0.412 0.695  -0.307 0.695  -0.227 0.755  -0.153 0.829  -0.078 0.903  -0.004 0.978  0.070 1.052  0.145 1.126  0.157 1.226  0.202 1.287  0.305 1.285  0.305 1.180  0.305 1.075  0.305 0.969  0.305 0.864  0.305 0.759  0.305 0.654  0.305 0.549  0.305 0.444  0.305 0.339  0.305 0.234  0.305 0.129  0.305 0.024  0.305 -0.081  0.305 -0.186  0.305 -0.291  0.280 -0.390  0.233 -0.484  0.186 -0.578  0.144 -0.675  0.111 -0.774  0.078 -0.874  0.044 -0.974  0.011 -1.073  -0.035 -1.168  -0.082 -1.262  -0.129 -1.356  -0.159 -1.456  -0.184 -1.558  -0.210 -1.660  -0.235 -1.762  -0.261 -1.864  -0.286 -1.966
1d#ced#sncn4237/!  0.360 1.317  0.331 1.376  0.301 1.436  0.274 1.507  0.231 1.554  0.204 1.486  0.176 1.411  0.154 1.334  0.137 1.256  0.119 1.178  0.098 1.101  0.076 1.024  0.063 0.945  0.051 0.866  0.040 0.786  0.028 0.707  0.011 0.629  -0.010 0.552  -0.010 0.472  -0.018 0.392  -0.032 0.313  -0.046 0.234  -0.054 0.155  -0.058 0.075  -0.069 -0.004  -0.070 -0.084  -0.074 -0.164  -0.078 -0.244  -0.081 -0.324  -0.085 -0.404  -0.089 -0.484  -0.093 -0.564  -0.096 -0.644  -0.100 -0.724  -0.104 -0.804  -0.108 -0.884  -0.111 -0.964  -0.115 -1.044  -0.119 -1.124  -0.123 -1.204  -0.126 -1.284  -0.149 -1.306  -0.142 -1.237  -0.097 -1.252  -0.069 -1.292  -0.136 -1.275  -0.141 -1.220  -0.081 -1.190  -0.019 -1.178  0.049 -1.208
1d#ced#sncn4237/=  -0.090 0.704  -0.250 0.704  -0.409 0.704  -0.555 0.673  -0.682 0.704  -0.842 0.704  -0.825 0.759  -0.672 0.745  -0.529 0.704  -0.370 0.704  -0.216 0.674  -0.060 0.650  0.099 0.650  0.258 0.650  0.417 0.650  0.575 0.668  0.733 0.691  0.888 0.724  1.041 0.759  1.201 0.759  1.360 0.759  1.254 0.665  1.131 0.564  1.007 0.464  0.884 0.363  0.760 0.263  0.637 0.163  0.513 0.062  0.389 -0.038  0.266 -0.139  0.142 -0.239  0.019 -0.339  -0.105 -0.440  -0.228 -0.540  -0.352 -0.641  -0.501 -0.695  -0.645 -0.763  -0.787 -0.834  -0.912 -0.929  -1.010 -1.016  -1.024 -1.081  -0.907 -1.086  -0.750 -1.081  -0.591 -1.081  -0.432 -1.081  -0.272 -1.081  -0.120 -1.036  0.033 -1.057  0.188 -1.065  0.342 -1.026
