2#apa#apa00#app0090/T  0.210 0.788  0.273 0.918  0.277 0.905  0.277 0.749  0.236 0.599  0.210 0.446  0.210 0.290  0.190 0.135  0.164 -0.020  0.142 -0.175  0.142 -0.331  0.142 -0.488  0.142 -0.645  0.142 -0.801  0.142 -0.958  0.142 -1.115  0.092 -1.259  0.075 -1.412  0.081 -1.566  0.141 -1.693  0.075 -1.551  0.008 -1.409  -0.058 -1.267  -0.124 -1.125  -0.191 -0.984  -0.257 -0.842  -0.324 -0.700  -0.390 -0.558  -0.457 -0.416  -0.523 -0.274  -0.590 -0.133  -0.656 0.009  -0.723 0.151  -0.789 0.293  -0.856 0.435  -0.734 0.484  -0.653 0.587  -0.514 0.615  -0.426 0.735  -0.280 0.793  -0.135 0.851  0.013 0.902  0.157 0.963  0.302 1.020  0.449 1.075  0.589 1.145  0.735 1.191  0.888 1.198  1.019 1.254  1.015 1.191
2#apa#apa00#app0090/d  0.150 -0.052  0.125 0.128  0.010 0.218  -0.172 0.164  -0.343 0.083  -0.424 -0.088  -0.569 -0.233  -0.657 -0.401  -0.744 -0.585  -0.747 -0.789  -0.747 -0.993  -0.747 -1.198  -0.657 -1.365  -0.485 -1.397  -0.388 -1.237  -0.257 -1.086  -0.209 -0.902  -0.136 -0.714  -0.085 -0.522  -0.029 -0.330  -0.029 -0.126  0.060 0.042  0.070 0.245  0.134 0.439  0.196 0.622  0.240 0.808  0.330 0.923  0.419 1.091  0.419 1.295  0.419 1.500  0.456 1.689  0.470 1.832  0.419 1.678  0.330 1.511  0.255 1.324  0.240 1.123  0.192 0.929  0.150 0.735  0.150 0.530  0.078 0.342  0.060 0.142  0.060 -0.063  0.069 -0.266  0.119 -0.465  0.150 -0.665  0.158 -0.867  0.240 -1.037  0.257 -1.235  0.402 -1.379  0.599 -1.397
2#apa#apa00#app0090/p  0.015 0.885  -0.078 0.791  -0.121 0.614  -0.171 0.440  -0.171 0.253  -0.171 0.067  -0.171 -0.120  -0.171 -0.306  -0.171 -0.493  -0.171 -0.679  -0.171 -0.866  -0.171 -1.052  -0.171 -1.239  -0.171 -1.425  -0.092 -1.593  -0.078 -1.776  -0.084 -1.834  -0.101 -1.649  -0.118 -1.463  -0.135 -1.277  -0.152 -1.091  -0.168 -0.906  -0.185 -0.720  -0.202 -0.534  -0.219 -0.348  -0.236 -0.163  -0.253 0.023  -0.270 0.209  -0.287 0.394  -0.304 0.580  -0.320 0.766  -0.337 0.952  -0.354 1.137  -0.264 1.285  -0.140 1.348  -0.047 1.441  0.140 1.441  0.289 1.352  0.436 1.256  0.571 1.150  0.585 0.977  0.664 0.870  0.664 0.683  0.664 0.497  0.664 0.310  0.651 0.129  0.519 -0.003  0.349 -0.043  0.201 -0.135  0.015 -0.136
2#apa#apa00#app0090/o  -0.227 1.070  -0.357 1.070  -0.458 1.000  -0.550 0.907  -0.550 0.777  -0.594 0.657  -0.653 0.541  -0.711 0.424  -0.711 0.294  -0.711 0.163  -0.711 0.033  -0.711 -0.097  -0.711 -0.228  -0.711 -0.358  -0.711 -0.488  -0.659 -0.597  -0.567 -0.689  -0.550 -0.812  -0.497 -0.921  -0.405 -1.013  -0.313 -1.105  -0.218 -1.191  -0.088 -1.191  0.043 -1.191  0.173 -1.191  0.304 -1.191  0.430 -1.181  0.522 -1.089  0.581 -0.983  0.581 -0.853  0.581 -0.722  0.581 -0.592  0.581 -0.462  0.581 -0.331  0.581 -0.201  0.581 -0.071  0.581 0.060  0.581 0.190  0.581 0.320  0.581 0.451  0.581 0.581  0.525 0.698  0.466 0.815  0.419 0.934  0.419 1.064  0.419 1.195  0.326 1.232  0.258 1.294  0.258 1.424  0.258 1.555
2#apa#apa00#app0090/s  -0.057 1.396  -0.166 1.396  -0.274 1.396  -0.373 1.372  -0.450 1.295  -0.540 1.251  -0.639 1.242  -0.639 1.133  -0.639 1.025  -0.608 0.929  -0.532 0.852  -0.455 0.775  -0.378 0.699  -0.282 0.669  -0.174 0.669  -0.065 0.669  0.014 0.598  0.091 0.521  0.167 0.444  0.249 0.378  0.357 0.378  0.440 0.317  0.517 0.240  0.524 0.135  0.585 0.087  0.670 0.063  0.670 -0.045  0.670 -0.154  0.670 -0.262  0.670 -0.371  0.670 -0.480  0.670 -0.588  0.630 -0.680  0.553 -0.757  0.476 -0.833  0.400 -0.910  0.300 -0.931  0.191 -0.931  0.084 -0.935  0.008 -1.011  -0.074 -1.076  -0.183 -1.076  -0.291 -1.076  -0.400 -1.076  -0.504 -1.086  -0.581 -1.163  -0.621 -1.204  -0.544 -1.127  -0.457 -1.076  -0.348 -1.076
2#apa#apa00#app0090/e  -0.627 -0.772  -0.474 -0.772  -0.357 -0.685  -0.249 -0.577  -0.141 -0.469  -0.032 -0.361  0.076 -0.253  0.184 -0.144  0.292 -0.036  0.400 0.072  0.508 0.180  0.616 0.288  0.725 0.396  0.833 0.505  0.837 0.656  0.837 0.809  0.837 0.962  0.779 1.057  0.654 1.085  0.654 1.238  0.503 1.240  0.350 1.240  0.197 1.240  0.044 1.240  -0.100 1.218  -0.208 1.110  -0.316 1.002  -0.424 0.894  -0.444 0.749  -0.511 0.624  -0.619 0.516  -0.627 0.366  -0.627 0.213  -0.627 0.060  -0.627 -0.093  -0.627 -0.246  -0.627 -0.399  -0.627 -0.552  -0.545 -0.671  -0.444 -0.782  -0.444 -0.935  -0.350 -1.049  -0.234 -1.138  -0.081 -1.138  -0.078 -1.288  0.042 -1.321  0.195 -1.321  0.348 -1.321  0.501 -1.321  0.654 -1.321
2#apa#apa00#app0090/d  0.190 0.182  0.073 0.262  -0.086 0.300  -0.282 0.297  -0.432 0.182  -0.595 0.101  -0.761 0.000  -0.923 -0.109  -1.062 -0.248  -1.101 -0.429  -1.101 -0.626  -1.101 -0.823  -1.081 -1.011  -0.924 -1.108  -0.845 -1.226  -0.648 -1.226  -0.469 -1.181  -0.330 -1.042  -0.157 -0.986  -0.027 -0.839  0.061 -0.663  0.110 -0.484  0.190 -0.321  0.222 -0.137  0.307 0.024  0.307 0.221  0.308 0.418  0.425 0.567  0.425 0.763  0.425 0.960  0.533 1.112  0.624 1.286  0.659 1.475  0.659 1.671  0.659 1.547  0.573 1.386  0.526 1.206  0.438 1.030  0.402 0.841  0.314 0.665  0.307 0.470  0.307 0.273  0.307 0.076  0.307 -0.121  0.307 -0.318  0.307 -0.515  0.307 -0.711  0.375 -0.892  0.425 -1.077  0.542 -1.226
2#apa#apa00#app0090/a  -1.114 0.804  -1.114 0.950  -0.973 0.955  -0.964 1.091  -0.832 1.105  -0.686 1.105  -0.541 1.105  -0.395 1.105  -0.249 1.105  -0.103 1.105  0.042 1.105  0.089 1.006  0.089 0.860  -0.001 0.804  -0.062 0.719  -0.062 0.573  -0.138 0.504  -0.212 0.432  -0.212 0.286  -0.256 0.159  -0.359 0.056  -0.362 -0.089  -0.362 -0.234  -0.455 -0.342  -0.513 -0.464  -0.513 -0.609  -0.474 -0.739  -0.371 -0.842  -0.362 -0.984  -0.271 -1.092  -0.149 -1.151  -0.004 -1.151  0.142 -1.151  0.288 -1.151  0.434 -1.151  0.579 -1.151  0.690 -1.116  0.720 -1.001  0.841 -0.975  0.841 -0.829  0.841 -0.684  0.841 -0.538  0.841 -0.392  0.841 -0.246  0.841 -0.101  0.740 0.003  0.690 0.129  0.640 0.253  0.540 0.358  0.540 0.504
2#apa#apa00#app0090/l  0.070 1.759  0.070 1.680  0.070 1.600  0.043 1.531  -0.014 1.475  -0.031 1.402  -0.031 1.322  -0.041 1.247  -0.097 1.190  -0.132 1.125  -0.132 1.045  -0.132 0.965  -0.132 0.886  -0.132 0.806  -0.132 0.726  -0.132 0.646  -0.132 0.566  -0.132 0.487  -0.132 0.407  -0.132 0.327  -0.132 0.247  -0.132 0.167  -0.132 0.088  -0.132 0.008  -0.132 -0.072  -0.132 -0.152  -0.132 -0.231  -0.132 -0.311  -0.132 -0.391  -0.132 -0.471  -0.132 -0.551  -0.132 -0.630  -0.132 -0.710  -0.132 -0.790  -0.132 -0.870  -0.132 -0.949  -0.132 -1.029  -0.082 -1.060  -0.031 -1.088  -0.023 -1.160  0.056 -1.160  0.136 -1.160  0.216 -1.160  0.296 -1.160  0.375 -1.160  0.455 -1.160  0.472 -1.098  0.514 -1.060  0.594 -1.060  0.674 -1.060
2#apa#apa00#app0090/o  0.227 1.103  0.089 1.103  -0.024 1.044  -0.121 0.946  -0.245 0.912  -0.373 0.886  -0.470 0.789  -0.539 0.679  -0.539 0.541  -0.664 0.529  -0.781 0.478  -0.879 0.380  -0.922 0.260  -0.922 0.122  -0.922 -0.016  -0.922 -0.154  -0.922 -0.292  -0.921 -0.430  -0.860 -0.553  -0.798 -0.677  -0.736 -0.800  -0.605 -0.812  -0.539 -0.883  -0.521 -1.003  -0.383 -1.003  -0.245 -1.003  -0.107 -1.003  0.031 -1.003  0.169 -1.003  0.307 -1.003  0.438 -0.985  0.535 -0.887  0.610 -0.780  0.610 -0.642  0.726 -0.620  0.802 -0.558  0.802 -0.420  0.802 -0.282  0.802 -0.144  0.802 -0.006  0.802 0.132  0.802 0.270  0.802 0.408  0.802 0.546  0.802 0.684  0.730 0.792  0.632 0.890  0.610 1.019  0.610 1.157  0.610 1.295
2#apa#apa00#app0090/n  -0.805 1.268  -0.805 1.088  -0.805 0.908  -0.805 0.728  -0.805 0.548  -0.805 0.368  -0.805 0.188  -0.805 0.008  -0.805 -0.172  -0.805 -0.352  -0.805 -0.533  -0.805 -0.713  -0.805 -0.893  -0.805 -1.073  -0.637 -1.085  -0.591 -0.951  -0.591 -0.771  -0.591 -0.591  -0.559 -0.443  -0.379 -0.443  -0.377 -0.265  -0.377 -0.085  -0.266 -0.016  -0.163 0.061  -0.163 0.241  -0.154 0.412  0.026 0.412  0.160 0.522  0.265 0.659  0.265 0.839  0.443 0.840  0.624 0.840  0.692 0.951  0.770 1.054  0.906 1.010  0.900 0.833  0.772 0.706  0.692 0.559  0.692 0.379  0.692 0.199  0.692 0.019  0.692 -0.161  0.692 -0.341  0.692 -0.521  0.724 -0.688  0.851 -0.816  0.906 -0.973  0.906 -1.153  0.940 -1.299  1.120 -1.299
2#apa#apa00#app0090/g  0.007 1.107  -0.032 1.198  -0.162 1.198  -0.258 1.115  -0.350 1.023  -0.449 0.987  -0.496 0.877  -0.540 0.765  -0.540 0.634  -0.540 0.504  -0.473 0.402  -0.353 0.378  -0.235 0.409  -0.130 0.469  -0.084 0.553  -0.062 0.673  0.007 0.775  0.007 0.905  0.007 1.035  0.066 1.107  0.105 1.015  0.189 0.970  0.189 0.840  0.189 0.709  0.240 0.600  0.280 0.487  0.280 0.357  0.280 0.227  0.280 0.097  0.280 -0.033  0.280 -0.163  0.304 -0.284  0.371 -0.386  0.371 -0.516  0.371 -0.646  0.371 -0.776  0.371 -0.906  0.371 -1.036  0.371 -1.167  0.347 -1.287  0.280 -1.389  0.206 -1.444  0.167 -1.536  0.037 -1.536  -0.093 -1.536  -0.224 -1.536  -0.266 -1.448  -0.356 -1.355  -0.448 -1.263  -0.540 -1.171
2#apa#apa00#app0090/s  0.622 1.378  0.508 1.378  0.395 1.378  0.281 1.378  0.168 1.378  0.054 1.378  -0.060 1.378  -0.142 1.303  -0.222 1.223  -0.303 1.142  -0.383 1.062  -0.463 0.982  -0.544 0.901  -0.584 0.804  -0.584 0.691  -0.584 0.577  -0.546 0.479  -0.466 0.399  -0.412 0.308  -0.412 0.194  -0.320 0.172  -0.239 0.139  -0.239 0.026  -0.151 0.000  -0.038 0.000  0.076 0.000  0.105 -0.084  0.123 -0.190  0.204 -0.271  0.284 -0.351  0.364 -0.431  0.445 -0.512  0.525 -0.592  0.605 -0.672  0.622 -0.779  0.622 -0.892  0.622 -1.006  0.536 -1.033  0.422 -1.033  0.308 -1.033  0.277 -1.116  0.254 -1.206  0.140 -1.206  0.026 -1.206  -0.081 -1.191  -0.162 -1.111  -0.243 -1.033  -0.357 -1.033  -0.470 -1.033  -0.584 -1.033
2#apa#apa00#app0090/i  -0.155 0.589  -0.155 0.460  -0.267 0.443  -0.301 0.347  -0.301 0.218  -0.301 0.088  -0.301 -0.041  -0.301 -0.171  -0.301 -0.300  -0.301 -0.430  -0.301 -0.559  -0.301 -0.688  -0.301 -0.818  -0.301 -0.947  -0.301 -1.077  -0.301 -1.206  -0.279 -1.314  -0.150 -1.314  -0.020 -1.314  -0.008 -1.196  0.092 -1.167  0.138 -1.083  0.205 -1.021  0.284 -0.971  0.318 -0.874  0.442 -0.863  0.534 -0.771  0.556 -0.663  0.517 -0.540  0.478 -0.416  0.439 -0.293  0.401 -0.169  0.362 -0.046  0.323 0.078  0.284 0.201  0.245 0.324  0.206 0.448  0.167 0.571  0.128 0.695  0.089 0.818  0.050 0.942  0.011 1.065  -0.028 1.189  -0.067 1.312  -0.106 1.435  -0.145 1.559  -0.184 1.682  -0.223 1.806  -0.262 1.929  -0.301 2.053
2#apa#apa00#app0090/d  0.105 -0.015  0.105 0.190  -0.087 0.202  -0.243 0.082  -0.426 -0.009  -0.604 -0.074  -0.749 -0.219  -0.870 -0.373  -0.870 -0.577  -0.870 -0.781  -0.870 -0.985  -0.778 -1.098  -0.682 -1.206  -0.478 -1.206  -0.328 -1.088  -0.328 -0.884  -0.220 -0.788  -0.139 -0.665  -0.112 -0.488  0.005 -0.332  0.105 -0.169  0.127 0.030  0.213 0.214  0.213 0.418  0.305 0.601  0.396 0.784  0.430 0.980  0.482 1.172  0.538 1.363  0.647 1.522  0.647 1.726  0.574 1.754  0.506 1.578  0.430 1.405  0.322 1.246  0.226 1.081  0.213 0.882  0.213 0.678  0.141 0.490  0.105 0.295  0.105 0.090  0.105 -0.114  0.105 -0.318  0.105 -0.522  0.105 -0.727  0.105 -0.931  0.105 -1.135  0.213 -1.231  0.226 -1.423  0.430 -1.423
2#apa#apa00#app0090/e  -0.047 -0.201  0.047 -0.107  0.142 -0.016  0.275 -0.016  0.384 0.044  0.478 0.138  0.598 0.170  0.720 0.195  0.815 0.289  0.909 0.383  1.003 0.478  1.067 0.584  1.067 0.717  1.067 0.851  0.995 0.912  0.862 0.912  0.729 0.912  0.596 0.912  0.463 0.912  0.330 0.912  0.196 0.912  0.063 0.912  -0.047 0.890  -0.047 0.757  -0.150 0.727  -0.269 0.691  -0.363 0.597  -0.419 0.487  -0.420 0.356  -0.554 0.356  -0.604 0.273  -0.625 0.149  -0.720 0.055  -0.790 -0.050  -0.790 -0.183  -0.790 -0.316  -0.790 -0.449  -0.790 -0.582  -0.790 -0.715  -0.790 -0.848  -0.763 -0.971  -0.669 -1.065  -0.563 -1.130  -0.430 -1.130  -0.332 -1.216  -0.238 -1.310  -0.144 -1.404  -0.050 -1.498  0.044 -1.592  0.138 -1.687
2#apa#apa00#app0090/a  -0.099 0.990  0.104 0.990  0.178 1.120  0.373 1.128  0.332 1.128  0.133 1.106  -0.049 1.015  -0.203 0.886  -0.388 0.839  -0.532 0.695  -0.676 0.551  -0.820 0.407  -0.964 0.263  -1.068 0.103  -1.154 -0.065  -1.206 -0.247  -1.181 -0.445  -1.090 -0.627  -1.052 -0.809  -0.930 -0.890  -0.783 -0.948  -0.580 -0.948  -0.376 -0.948  -0.238 -0.883  -0.107 -0.809  0.039 -0.671  0.085 -0.487  0.178 -0.321  0.178 -0.118  0.316 0.029  0.316 0.232  0.316 0.436  0.316 0.640  0.316 0.843  0.316 0.932  0.316 0.729  0.183 0.580  0.178 0.379  0.178 0.175  0.178 -0.028  0.259 -0.199  0.316 -0.378  0.449 -0.527  0.593 -0.671  0.777 -0.717  0.943 -0.809  1.146 -0.809  1.293 -0.948  1.496 -0.948  1.700 -0.948
